target_chembl_id,gene_symbol,target_class_l1,assay_lane,calibration_status,positive_compounds,negative_compounds,computed_pocket_evidence,evidence_compute_route,next_compute_action_zh,wetlab_priority,CONPLEX_TARGET_TOP5PCT_FRAGMENT_EXPLORATORY,TWO_MODEL_TARGET_TOP10PCT_PREDICTED_POCKET
CHEMBL1914276,KCNJ2,Ion channel,ION_CHANNEL_FUNCTIONAL,T5_SPARSE_OR_NONE,0,4,P2_FPOCKET_GEOMETRIC_RESCUE,R4_GEOMETRIC_RESCUE_CONTROL_ACQUISITION,同时补对照和构象证据；不得用单一fpocket位点做发现排序,W2_MINIMUM_CONTROL_AND_POCKET_VALIDATION,0.0,6.0
CHEMBL1938222,PIKFYVE,Enzyme,ENZYME_BIOCHEMICAL,T1_RICH_POSITIVE_NEGATIVE,74,111,P1_P2RANK_FPOCKET_SAME_SITE,R1_DUAL_POCKET_WITH_MEASURED_CONTROLS,先用历史正负化合物在预测位点建立靶点内分布；通过后运行类别专属GNINA/Boltz,W1_IMMEDIATE_CONTROL_AND_BINDING_PANEL,0.0,5.0
CHEMBL1964,KCND3,Ion channel,ION_CHANNEL_FUNCTIONAL,T5_SPARSE_OR_NONE,0,8,P2_FPOCKET_GEOMETRIC_RESCUE,R4_GEOMETRIC_RESCUE_CONTROL_ACQUISITION,同时补对照和构象证据；不得用单一fpocket位点做发现排序,W2_MINIMUM_CONTROL_AND_POCKET_VALIDATION,0.0,11.0
CHEMBL1973,TYR,Enzyme,ENZYME_BIOCHEMICAL,T2_ADEQUATE_POSITIVE_NEGATIVE,24,119,P1_P2RANK_FPOCKET_SAME_SITE,R1_DUAL_POCKET_WITH_MEASURED_CONTROLS,先用历史正负化合物在预测位点建立靶点内分布；通过后运行类别专属GNINA/Boltz,W1_IMMEDIATE_CONTROL_AND_BINDING_PANEL,0.0,10.0
CHEMBL2019,DIO1,Enzyme,ENZYME_BIOCHEMICAL,T5_SPARSE_OR_NONE,0,0,P3_LOW_CONFIDENCE_FRAGMENT_HYPOTHESIS,R5_LOW_CONFIDENCE_STRUCTURE_FIRST,先用实验/同源结构或带MSA模型提高局部结构置信度，再复核口袋,W3_CONTROL_OR_STRUCTURE_ACQUISITION,36.0,0.0
CHEMBL2044,ABAT,Enzyme,ENZYME_BIOCHEMICAL,T5_SPARSE_OR_NONE,1,8,P1_P2RANK_FPOCKET_SAME_SITE,R2_DUAL_POCKET_CONTROL_ACQUISITION,双方法口袋可用，但先补足实测阴性/阳性对照；当前仅做探索性局部计算,W3_CONTROL_OR_STRUCTURE_ACQUISITION,0.0,7.0
CHEMBL2046267,ANO1,Ion channel,ION_CHANNEL_FUNCTIONAL,T2_ADEQUATE_POSITIVE_NEGATIVE,33,46,P1_P2RANK_FPOCKET_SAME_SITE,R1_DUAL_POCKET_WITH_MEASURED_CONTROLS,先用历史正负化合物在预测位点建立靶点内分布；通过后运行类别专属GNINA/Boltz,W1_IMMEDIATE_CONTROL_AND_BINDING_PANEL,0.0,9.0
CHEMBL2063,UGCG,Enzyme,ENZYME_BIOCHEMICAL,T2_ADEQUATE_POSITIVE_NEGATIVE,207,21,P1_P2RANK_FPOCKET_SAME_SITE,R1_DUAL_POCKET_WITH_MEASURED_CONTROLS,先用历史正负化合物在预测位点建立靶点内分布；通过后运行类别专属GNINA/Boltz,W1_IMMEDIATE_CONTROL_AND_BINDING_PANEL,0.0,8.0
CHEMBL2073,YES1,Enzyme,KINASE_BIOCHEMICAL,T1_RICH_POSITIVE_NEGATIVE,126,348,P1_P2RANK_FPOCKET_SAME_SITE,R1_DUAL_POCKET_WITH_MEASURED_CONTROLS,先用历史正负化合物在预测位点建立靶点内分布；通过后运行类别专属GNINA/Boltz,W1_IMMEDIATE_CONTROL_AND_BINDING_PANEL,0.0,9.0
CHEMBL2216739,CPT1B,Transporter,TRANSPORTER_MEMBRANE_FUNCTIONAL,T1_RICH_POSITIVE_NEGATIVE,50,81,P1_P2RANK_FPOCKET_SAME_SITE,R1_DUAL_POCKET_WITH_MEASURED_CONTROLS,先用历史正负化合物在预测位点建立靶点内分布；通过后运行类别专属GNINA/Boltz,W1_IMMEDIATE_CONTROL_AND_BINDING_PANEL,0.0,5.0
CHEMBL2243,FAAH,Enzyme,ENZYME_BIOCHEMICAL,T1_RICH_POSITIVE_NEGATIVE,1069,210,P1_P2RANK_FPOCKET_SAME_SITE,R1_DUAL_POCKET_WITH_MEASURED_CONTROLS,先用历史正负化合物在预测位点建立靶点内分布；通过后运行类别专属GNINA/Boltz,W1_IMMEDIATE_CONTROL_AND_BINDING_PANEL,0.0,4.0
CHEMBL2331042,KCNK18,Ion channel,ION_CHANNEL_FUNCTIONAL,T5_SPARSE_OR_NONE,0,0,P2_FPOCKET_GEOMETRIC_RESCUE,R4_GEOMETRIC_RESCUE_CONTROL_ACQUISITION,同时补对照和构象证据；不得用单一fpocket位点做发现排序,W2_MINIMUM_CONTROL_AND_POCKET_VALIDATION,0.0,8.0
CHEMBL2331059,DHCR24,Enzyme,ENZYME_BIOCHEMICAL,T3_MINIMUM_POSITIVE_NEGATIVE,13,240,P1_P2RANK_FPOCKET_SAME_SITE,R1_DUAL_POCKET_WITH_MEASURED_CONTROLS,先用历史正负化合物在预测位点建立靶点内分布；通过后运行类别专属GNINA/Boltz,W2_MINIMUM_CONTROL_AND_POCKET_VALIDATION,0.0,1.0
CHEMBL2435,PPP2CB,Enzyme,ENZYME_BIOCHEMICAL,T5_SPARSE_OR_NONE,0,0,P1_P2RANK_FPOCKET_SAME_SITE,R2_DUAL_POCKET_CONTROL_ACQUISITION,双方法口袋可用，但先补足实测阴性/阳性对照；当前仅做探索性局部计算,W3_CONTROL_OR_STRUCTURE_ACQUISITION,0.0,6.0
CHEMBL2778,SLC10A2,Transporter,TRANSPORTER_MEMBRANE_FUNCTIONAL,T2_ADEQUATE_POSITIVE_NEGATIVE,145,49,P1_P2RANK_FPOCKET_SAME_SITE,R1_DUAL_POCKET_WITH_MEASURED_CONTROLS,先用历史正负化合物在预测位点建立靶点内分布；通过后运行类别专属GNINA/Boltz,W1_IMMEDIATE_CONTROL_AND_BINDING_PANEL,0.0,4.0
CHEMBL2873,MAP3K10,Enzyme,KINASE_BIOCHEMICAL,T3_MINIMUM_POSITIVE_NEGATIVE,10,118,P1_P2RANK_FPOCKET_SAME_SITE,R1_DUAL_POCKET_WITH_MEASURED_CONTROLS,先用历史正负化合物在预测位点建立靶点内分布；通过后运行类别专属GNINA/Boltz,W2_MINIMUM_CONTROL_AND_POCKET_VALIDATION,0.0,6.0
CHEMBL3023,SPHK2,Enzyme,ENZYME_BIOCHEMICAL,T1_RICH_POSITIVE_NEGATIVE,95,115,P1_P2RANK_FPOCKET_SAME_SITE,R1_DUAL_POCKET_WITH_MEASURED_CONTROLS,先用历史正负化合物在预测位点建立靶点内分布；通过后运行类别专属GNINA/Boltz,W1_IMMEDIATE_CONTROL_AND_BINDING_PANEL,0.0,0.0
CHEMBL3094,MAPKAPK5,Enzyme,KINASE_BIOCHEMICAL,T2_ADEQUATE_POSITIVE_NEGATIVE,23,359,P1_P2RANK_FPOCKET_SAME_SITE,R1_DUAL_POCKET_WITH_MEASURED_CONTROLS,先用历史正负化合物在预测位点建立靶点内分布；通过后运行类别专属GNINA/Boltz,W1_IMMEDIATE_CONTROL_AND_BINDING_PANEL,0.0,3.0
CHEMBL3145,PIK3CB,Enzyme,ENZYME_BIOCHEMICAL,T1_RICH_POSITIVE_NEGATIVE,1283,237,P1_P2RANK_FPOCKET_SAME_SITE,R1_DUAL_POCKET_WITH_MEASURED_CONTROLS,先用历史正负化合物在预测位点建立靶点内分布；通过后运行类别专属GNINA/Boltz,W1_IMMEDIATE_CONTROL_AND_BINDING_PANEL,0.0,4.0
CHEMBL3172,DPYD,Enzyme,ENZYME_BIOCHEMICAL,T5_SPARSE_OR_NONE,0,0,P1_P2RANK_FPOCKET_SAME_SITE,R2_DUAL_POCKET_CONTROL_ACQUISITION,双方法口袋可用，但先补足实测阴性/阳性对照；当前仅做探索性局部计算,W3_CONTROL_OR_STRUCTURE_ACQUISITION,0.0,0.0
CHEMBL3238,CPT2,Enzyme,ENZYME_BIOCHEMICAL,T2_ADEQUATE_POSITIVE_NEGATIVE,34,156,P1_P2RANK_FPOCKET_SAME_SITE,R1_DUAL_POCKET_WITH_MEASURED_CONTROLS,先用历史正负化合物在预测位点建立靶点内分布；通过后运行类别专属GNINA/Boltz,W1_IMMEDIATE_CONTROL_AND_BINDING_PANEL,0.0,4.0
CHEMBL3310,HDAC11,Epigenetic regulator,NUCLEAR_EPIGENETIC_DOMAIN,T1_RICH_POSITIVE_NEGATIVE,281,87,P1_P2RANK_FPOCKET_SAME_SITE,R1_DUAL_POCKET_WITH_MEASURED_CONTROLS,先用历史正负化合物在预测位点建立靶点内分布；通过后运行类别专属GNINA/Boltz,W1_IMMEDIATE_CONTROL_AND_BINDING_PANEL,0.0,10.0
CHEMBL3391681,GPD2,Enzyme,ENZYME_BIOCHEMICAL,T5_SPARSE_OR_NONE,0,0,P1_P2RANK_FPOCKET_SAME_SITE,R2_DUAL_POCKET_CONTROL_ACQUISITION,双方法口袋可用，但先补足实测阴性/阳性对照；当前仅做探索性局部计算,W3_CONTROL_OR_STRUCTURE_ACQUISITION,0.0,9.0
CHEMBL3670,HSD3B2,Enzyme,ENZYME_BIOCHEMICAL,T5_SPARSE_OR_NONE,0,0,P1_P2RANK_FPOCKET_SAME_SITE,R2_DUAL_POCKET_CONTROL_ACQUISITION,双方法口袋可用，但先补足实测阴性/阳性对照；当前仅做探索性局部计算,W3_CONTROL_OR_STRUCTURE_ACQUISITION,0.0,8.0
CHEMBL3714029,LOXL2,Enzyme,ENZYME_BIOCHEMICAL,T3_MINIMUM_POSITIVE_NEGATIVE,237,14,P1_P2RANK_FPOCKET_SAME_SITE,R1_DUAL_POCKET_WITH_MEASURED_CONTROLS,先用历史正负化合物在预测位点建立靶点内分布；通过后运行类别专属GNINA/Boltz,W2_MINIMUM_CONTROL_AND_POCKET_VALIDATION,0.0,6.0
CHEMBL3831182,RPE65,Enzyme,ENZYME_BIOCHEMICAL,T5_SPARSE_OR_NONE,0,0,P1_P2RANK_FPOCKET_SAME_SITE,R2_DUAL_POCKET_CONTROL_ACQUISITION,双方法口袋可用，但先补足实测阴性/阳性对照；当前仅做探索性局部计算,W3_CONTROL_OR_STRUCTURE_ACQUISITION,0.0,7.0
CHEMBL3896,CACNA2D2,Auxiliary transport protein,TRANSPORTER_MEMBRANE_FUNCTIONAL,T5_SPARSE_OR_NONE,1,0,P1_P2RANK_FPOCKET_SAME_SITE,R2_DUAL_POCKET_CONTROL_ACQUISITION,双方法口袋可用，但先补足实测阴性/阳性对照；当前仅做探索性局部计算,W3_CONTROL_OR_STRUCTURE_ACQUISITION,0.0,9.0
CHEMBL4223,FRK,Enzyme,KINASE_BIOCHEMICAL,T1_RICH_POSITIVE_NEGATIVE,70,325,P1_P2RANK_FPOCKET_SAME_SITE,R1_DUAL_POCKET_WITH_MEASURED_CONTROLS,先用历史正负化合物在预测位点建立靶点内分布；通过后运行类别专属GNINA/Boltz,W1_IMMEDIATE_CONTROL_AND_BINDING_PANEL,0.0,9.0
CHEMBL4306,KCNA5,Ion channel,ION_CHANNEL_FUNCTIONAL,T1_RICH_POSITIVE_NEGATIVE,384,76,P2_FPOCKET_GEOMETRIC_RESCUE,R3_GEOMETRIC_RESCUE_WITH_MEASURED_CONTROLS,用历史正负对照筛选构象与口袋；至少两构象复现后才进入pair计算,W2_MINIMUM_CONTROL_AND_POCKET_VALIDATION,0.0,4.0
CHEMBL4523586,TRAF3IP2,Enzyme,ENZYME_BIOCHEMICAL,T5_SPARSE_OR_NONE,0,0,P2_FPOCKET_GEOMETRIC_RESCUE,R4_GEOMETRIC_RESCUE_CONTROL_ACQUISITION,同时补对照和构象证据；不得用单一fpocket位点做发现排序,W2_MINIMUM_CONTROL_AND_POCKET_VALIDATION,0.0,4.0
CHEMBL4665582,POLR3A,Enzyme,ENZYME_BIOCHEMICAL,T5_SPARSE_OR_NONE,0,0,P1_P2RANK_FPOCKET_SAME_SITE,R2_DUAL_POCKET_CONTROL_ACQUISITION,双方法口袋可用，但先补足实测阴性/阳性对照；当前仅做探索性局部计算,W3_CONTROL_OR_STRUCTURE_ACQUISITION,0.0,7.0
CHEMBL4770,KCNJ8,Ion channel,ION_CHANNEL_FUNCTIONAL,T5_SPARSE_OR_NONE,0,0,P2_FPOCKET_GEOMETRIC_RESCUE,R4_GEOMETRIC_RESCUE_CONTROL_ACQUISITION,同时补对照和构象证据；不得用单一fpocket位点做发现排序,W2_MINIMUM_CONTROL_AND_POCKET_VALIDATION,0.0,9.0
CHEMBL4816,AKT3,Enzyme,KINASE_BIOCHEMICAL,T1_RICH_POSITIVE_NEGATIVE,171,367,P1_P2RANK_FPOCKET_SAME_SITE,R1_DUAL_POCKET_WITH_MEASURED_CONTROLS,先用历史正负化合物在预测位点建立靶点内分布；通过后运行类别专属GNINA/Boltz,W1_IMMEDIATE_CONTROL_AND_BINDING_PANEL,0.0,1.0
CHEMBL5141,CYP26A1,Enzyme,ENZYME_BIOCHEMICAL,T2_ADEQUATE_POSITIVE_NEGATIVE,77,26,P1_P2RANK_FPOCKET_SAME_SITE,R1_DUAL_POCKET_WITH_MEASURED_CONTROLS,先用历史正负化合物在预测位点建立靶点内分布；通过后运行类别专属GNINA/Boltz,W1_IMMEDIATE_CONTROL_AND_BINDING_PANEL,0.0,5.0
CHEMBL5167,SCN11A,Ion channel,ION_CHANNEL_FUNCTIONAL,T5_SPARSE_OR_NONE,0,0,P1_P2RANK_FPOCKET_SAME_SITE,R2_DUAL_POCKET_CONTROL_ACQUISITION,双方法口袋可用，但先补足实测阴性/阳性对照；当前仅做探索性局部计算,W3_CONTROL_OR_STRUCTURE_ACQUISITION,0.0,12.0
CHEMBL5705,EGLN3,Enzyme,ENZYME_BIOCHEMICAL,T4_POSITIVE_ONLY,65,5,P1_P2RANK_FPOCKET_SAME_SITE,R2_DUAL_POCKET_CONTROL_ACQUISITION,双方法口袋可用，但先补足实测阴性/阳性对照；当前仅做探索性局部计算,W3_CONTROL_OR_STRUCTURE_ACQUISITION,0.0,4.0
