排序,原候选编号,小分子药物名称,新靶点名称,当前实验建议,pair_id,原冻结药内排名_384,A药内靶点排名_384,A靶点内药物排名_720,A固定名额重选保留,A三个种子保留次数,B药内靶点排名_384,B靶点内药物排名_720,B固定名额重选保留,B三个种子保留次数,AB共同保留,AB至少一个保留
21,C384-222,lenalidomide,AXL — Tyrosine-protein kinase receptor UFO,仍可探索,GOTYRUGSSMKFNF-UHFFFAOYSA-N__CHEMBL4895,3,118,383,False,0,275,284,False,0,False,False
22,C384-288,ixabepilone,CSF1R — Macrophage colony-stimulating factor 1 receptor,仍可探索,FABUFPQFXZVHFB-PVYNADRNSA-N__CHEMBL1844,3,98,173,False,1,48,172,False,2,False,False
23,C384-304,esketamine,GSK3A — Glycogen synthase kinase-3 alpha,仍可探索,YQEZLKZALYSWHR-ZDUSSCGKSA-N__CHEMBL2850,3,88,415,False,0,121,414,False,0,False,False
24,C384-080,ibuprofen,CA4 — Carbonic anhydrase 4,仍可探索,HEFNNWSXXWATRW-UHFFFAOYSA-N__CHEMBL3729,4,214,705,False,0,3,302,False,0,False,False
25,C384-082,lisinopril,REN — Renin,仍可探索,RLAWWYSOJDYHDC-BZSNNMDCSA-N__CHEMBL286,4,109,261,False,0,34,228,False,1,False,False
26,C384-004,apixaban,FLT3 — Receptor-type tyrosine-protein kinase FLT3,仍可探索,QNZCBYKSOIHPEH-UHFFFAOYSA-N__CHEMBL1974,4,379,683,False,0,215,234,False,0,False,False
27,C384-102,nimodipine,CA7 — Carbonic anhydrase 7,仍可探索,UIAGMCDKSXEBJQ-UHFFFAOYSA-N__CHEMBL2326,4,5,52,True,2,3,53,True,2,True,True
28,C384-103,etravirine,FLT3 — Receptor-type tyrosine-protein kinase FLT3,仍可探索,PYGWGZALEOIKDF-UHFFFAOYSA-N__CHEMBL1974,4,67,414,False,0,78,311,False,0,False,False
29,C384-129,darunavir,FKBP1A — Peptidyl-prolyl cis-trans isomerase FKBP1A,仍可探索,CJBJHOAVZSMMDJ-HEXNFIEUSA-N__CHEMBL1902,4,114,80,False,0,52,107,False,0,False,False
30,C384-162,bupivacaine,CTSC — Dipeptidyl peptidase 1,仍可探索,LEBVLXFERQHONN-UHFFFAOYSA-N__CHEMBL2252,4,84,505,False,1,29,544,False,0,False,False
31,C384-163,belzutifan,PGR — Progesterone receptor,仍可探索,LOMMPXLFBTZENJ-ZACQAIPSSA-N__CHEMBL208,4,5,87,False,0,29,87,False,0,False,False
32,C384-198,oxaprozin,FAAH — Fatty-acid amide hydrolase 1,仍可探索,OFPXSFXSNFPTHF-UHFFFAOYSA-N__CHEMBL2243,4,151,454,False,0,31,411,False,0,False,False
33,C384-290,cobimetinib,PARP2 — Poly [ADP-ribose] polymerase 2,仍可探索,BSMCAPRUBJMWDF-KRWDZBQOSA-N__CHEMBL5366,4,257,716,False,0,263,714,False,0,False,False
34,C384-305,lumateperone,COMT — Catechol O-methyltransferase,仍可探索,HOIIHACBCFLJET-SFTDATJTSA-N__CHEMBL2023,4,329,167,True,3,289,140,True,3,True,True
35,C384-307,tafamidis,RARB — Retinoic acid receptor beta,仍可探索,TXEIIPDJKFWEEC-UHFFFAOYSA-N__CHEMBL2008,4,147,267,False,0,5,118,False,1,False,False
36,C384-006,pregabalin,MME — Neprilysin,仍可探索,AYXYPKUFHZROOJ-ZETCQYMHSA-N__CHEMBL1944,5,55,320,False,0,38,328,False,1,False,False
37,C384-027,cabotegravir,"ALDH2 — Aldehyde dehydrogenase, mitochondrial",仍可探索,WCWSTNLSLKSJPK-LKFCYVNXSA-N__CHEMBL1935,5,115,120,False,0,100,76,False,0,False,False
38,C384-164,pacritinib,CA7 — Carbonic anhydrase 7,仍可探索,HWXVIOGONBBTBY-ONEGZZNKSA-N__CHEMBL2326,5,22,460,False,0,68,567,False,0,False,False
39,C384-166,bictegravir,MET — Hepatocyte growth factor receptor,仍可探索,SOLUWJRYJLAZCX-LYOVBCGYSA-N__CHEMBL3717,5,52,171,False,0,247,194,False,0,False,False
40,C384-167,rimegepant,REN — Renin,仍可探索,KRNAOFGYEFKHPB-ANJVHQHFSA-N__CHEMBL286,5,2,7,True,3,175,148,True,2,True,True
41,C384-217,calcipotriene,NR3C2 — Mineralocorticoid receptor,仍可探索,LWQQLNNNIPYSNX-UROSTWAQSA-N__CHEMBL1994,5,1,10,True,3,104,26,True,3,True,True
42,C384-122,olanzapine,DYRK1A — Dual specificity tyrosine-phosphorylation-regulated kinase 1A,仍可探索,KVWDHTXUZHCGIO-UHFFFAOYSA-N__CHEMBL2292,5,259,563,False,0,172,263,False,0,False,False
43,C384-291,avibactam,MMP8 — Neutrophil collagenase,仍可探索,NDCUAPJVLWFHHB-UHNVWZDZSA-N__CHEMBL4588,5,20,229,False,0,45,88,False,1,False,False
44,C384-308,tapentadol,ESR1 — Estrogen receptor,仍可探索,KWTWDQCKEHXFFR-SMDDNHRTSA-N__CHEMBL206,5,316,573,False,0,98,275,False,0,False,False
45,C384-008,lubiprostone,AR — Androgen receptor,仍可探索,WGFOBBZOWHGYQH-MXHNKVEKSA-N__CHEMBL1871,6,38,311,False,0,236,382,False,0,False,False
46,C384-199,bupivacaine,FKBP1A — Peptidyl-prolyl cis-trans isomerase FKBP1A,仍可探索,LEBVLXFERQHONN-UHFFFAOYSA-N__CHEMBL1902,6,121,425,False,0,238,667,False,0,False,False
47,C384-200,sotagliflozin,REN — Renin,仍可探索,QKDRXGFQVGOQKS-CRSSMBPESA-N__CHEMBL286,6,266,258,False,1,208,47,True,2,False,True
48,C384-084,glasdegib,KIT — Mast/stem cell growth factor receptor Kit,仍可探索,SFNSLLSYNZWZQG-VQIMIIECSA-N__CHEMBL1936,6,215,538,False,0,20,145,False,0,False,False
49,C384-131,selinexor,BRAF — Serine/threonine-protein kinase B-raf,仍可探索,DEVSOMFAQLZNKR-RJRFIUFISA-N__CHEMBL5145,6,157,112,False,0,24,102,False,1,False,False
50,C384-310,avibactam,MMP7 — Matrilysin,仍可探索,NDCUAPJVLWFHHB-UHNVWZDZSA-N__CHEMBL4073,6,107,343,False,0,249,92,True,1,False,True
51,C384-321,fluocinonide,PRKCB — Protein kinase C beta type,仍可探索,WJOHZNCJWYWUJD-IUGZLZTKSA-N__CHEMBL3045,6,80,162,False,2,164,105,False,2,False,False
52,C384-032,desonide,NR3C2 — Mineralocorticoid receptor,仍可探索,WBGKWQHBNHJJPZ-LECWWXJVSA-N__CHEMBL1994,7,1,64,True,0,5,53,True,2,True,True
53,C384-009,alpelisib,DPP4 — Dipeptidyl peptidase 4,仍可探索,STUWGJZDJHPWGZ-LBPRGKRZSA-N__CHEMBL284,7,18,598,False,0,121,702,False,0,False,False
54,C384-031,atrasentan,EGLN3 — Prolyl hydroxylase EGLN3,仍可探索,MOTJMGVDPWRKOC-QPVYNBJUSA-N__CHEMBL5705,7,53,590,False,0,107,651,False,0,False,False
55,C384-201,methocarbamol,CA4 — Carbonic anhydrase 4,仍可探索,GNXFOGHNGIVQEH-UHFFFAOYSA-N__CHEMBL3729,7,14,616,False,0,5,313,False,0,False,False
56,C384-204,avanafil,FKBP1A — Peptidyl-prolyl cis-trans isomerase FKBP1A,仍可探索,WEAJZXNPAWBCOA-INIZCTEOSA-N__CHEMBL1902,7,233,379,False,0,250,489,False,0,False,False
57,C384-205,indacaterol,JAK3 — Tyrosine-protein kinase JAK3,仍可探索,QZZUEBNBZAPZLX-QFIPXVFZSA-N__CHEMBL2148,7,347,598,False,0,363,570,False,0,False,False
58,C384-207,etravirine,MAPK9 — Mitogen-activated protein kinase 9,仍可探索,PYGWGZALEOIKDF-UHFFFAOYSA-N__CHEMBL4179,7,87,340,False,0,212,275,False,0,False,False
59,C384-132,diltiazem,MMP12 — Macrophage metalloelastase,仍可探索,HSUGRBWQSSZJOP-RTWAWAEBSA-N__CHEMBL4393,7,27,142,False,1,39,245,False,1,False,False
60,C384-313,ozanimod,"PDE4D — 3',5'-cyclic-AMP phosphodiesterase 4D",仍可探索,XRVDGNKRPOAQTN-FQEVSTJZSA-N__CHEMBL288,7,237,297,False,0,13,37,False,0,False,False
61,C384-314,furosemide,REN — Renin,仍可探索,ZZUFCTLCJUWOSV-UHFFFAOYSA-N__CHEMBL286,7,21,263,False,0,206,674,False,0,False,False
62,C384-322,guanfacine,GSK3A — Glycogen synthase kinase-3 alpha,仍可探索,INJOMKTZOLKMBF-UHFFFAOYSA-N__CHEMBL2850,7,204,215,False,1,314,520,False,0,False,False
63,C384-010,lasmiditan,FLT3 — Receptor-type tyrosine-protein kinase FLT3,仍可探索,XEDHVZKDSYZQBF-UHFFFAOYSA-N__CHEMBL1974,8,65,454,False,0,125,479,False,0,False,False
64,C384-033,pregabalin,ACE — Angiotensin-converting enzyme,仍可探索,AYXYPKUFHZROOJ-ZETCQYMHSA-N__CHEMBL1808,8,100,340,False,0,187,370,False,0,False,False
65,C384-034,etravirine,SRC — Proto-oncogene tyrosine-protein kinase Src,仍可探索,PYGWGZALEOIKDF-UHFFFAOYSA-N__CHEMBL267,8,145,404,False,0,199,226,False,0,False,False
66,C384-073,zavegepant,PTK2 — Focal adhesion kinase 1,仍可探索,JJVAPHYEOZSKJZ-JGCGQSQUSA-N__CHEMBL2695,8,125,83,False,0,194,41,False,0,False,False
67,C384-124,dasabuvir,PGR — Progesterone receptor,仍可探索,NBRBXGKOEOGLOI-UHFFFAOYSA-N__CHEMBL208,8,6,149,False,0,35,108,False,0,False,False
68,C384-085,imiquimod,FDPS — Farnesyl pyrophosphate synthase,仍可探索,DOUYETYNHWVLEO-UHFFFAOYSA-N__CHEMBL1782,8,80,264,False,0,246,359,False,0,False,False
69,C384-134,varenicline,"PDE9A — High affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A",仍可探索,JQSHBVHOMNKWFT-DTORHVGOSA-N__CHEMBL3535,8,49,645,False,0,148,471,False,0,False,False
70,C384-268,lacosamide,MAOB — Amine oxidase [flavin-containing] B,仍可探索,VPPJLAIAVCUEMN-GFCCVEGCSA-N__CHEMBL2039,8,26,420,False,0,41,405,False,0,False,False
71,C384-323,indomethacin,CTSC — Dipeptidyl peptidase 1,仍可探索,CGIGDMFJXJATDK-UHFFFAOYSA-N__CHEMBL2252,8,19,246,True,3,298,667,False,0,False,True
72,C384-325,tofacitinib,PARP2 — Poly [ADP-ribose] polymerase 2,仍可探索,UJLAWZDWDVHWOW-YPMHNXCESA-N__CHEMBL5366,8,138,625,False,0,122,651,False,0,False,False
73,C384-326,guanfacine,THRB — Thyroid hormone receptor beta,仍可探索,INJOMKTZOLKMBF-UHFFFAOYSA-N__CHEMBL1947,8,311,246,False,1,216,386,False,0,False,False
74,C384-012,cabotegravir,PPARG — Peroxisome proliferator-activated receptor gamma,仍可探索,WCWSTNLSLKSJPK-LKFCYVNXSA-N__CHEMBL235,9,252,377,False,0,233,265,False,0,False,False
75,C384-037,terazosin,NTRK3 — NT-3 growth factor receptor,仍可探索,VCKUSRYTPJJLNI-UHFFFAOYSA-N__CHEMBL5608,9,248,430,False,0,35,241,False,0,False,False
76,C384-038,sufentanil,PDGFRA — Platelet-derived growth factor receptor alpha,仍可探索,GGCSSNBKKAUURC-UHFFFAOYSA-N__CHEMBL2007,9,123,106,False,2,90,151,False,0,False,False
77,C384-125,vaborbactam,CA1 — Carbonic anhydrase 1,仍可探索,IOOWNWLVCOUUEX-WPRPVWTQSA-N__CHEMBL261,9,8,15,True,1,102,88,False,0,False,True
78,C384-126,metoprolol,CA7 — Carbonic anhydrase 7,仍可探索,IUBSYMUCCVWXPE-UHFFFAOYSA-N__CHEMBL2326,9,2,488,False,0,4,564,False,0,False,False
79,C384-209,indacaterol,CA2 — Carbonic anhydrase 2,仍可探索,QZZUEBNBZAPZLX-QFIPXVFZSA-N__CHEMBL205,9,20,210,False,0,12,164,False,0,False,False
80,C384-211,elvitegravir,MAPK8 — Mitogen-activated protein kinase 8,仍可探索,JUZYLCPPVHEVSV-LJQANCHMSA-N__CHEMBL2276,9,102,104,True,1,163,158,False,0,False,True
81,C384-269,brexanolone,ESR2 — Estrogen receptor beta,仍可探索,AURFZBICLPNKBZ-SYBPFIFISA-N__CHEMBL242,9,241,184,False,0,121,218,False,0,False,False
82,C384-316,bumetanide,FAAH — Fatty-acid amide hydrolase 1,仍可探索,MAEIEVLCKWDQJH-UHFFFAOYSA-N__CHEMBL2243,9,99,391,False,0,198,647,False,0,False,False
83,C384-328,selegiline,ACE — Angiotensin-converting enzyme,仍可探索,MEZLKOACVSPNER-GFCCVEGCSA-N__CHEMBL1808,9,146,569,False,0,254,475,False,0,False,False
84,C384-329,tizanidine,GSK3A — Glycogen synthase kinase-3 alpha,仍可探索,XFYDIVBRZNQMJC-UHFFFAOYSA-N__CHEMBL2850,9,93,115,False,0,147,225,False,0,False,False
85,C384-013,pitavastatin,MMP12 — Macrophage metalloelastase,仍可探索,VGYFMXBACGZSIL-MCBHFWOFSA-N__CHEMBL4393,10,42,361,False,0,43,137,False,1,False,False
86,C384-014,lasmiditan,NTRK2 — BDNF/NT-3 growth factors receptor,仍可探索,XEDHVZKDSYZQBF-UHFFFAOYSA-N__CHEMBL4898,10,125,356,False,0,202,485,False,0,False,False
87,C384-212,glimepiride,CA4 — Carbonic anhydrase 4,仍可探索,WIGIZIANZCJQQY-RUCARUNLSA-N__CHEMBL3729,10,189,286,False,0,41,56,False,0,False,False
88,C384-213,aprepitant,HMGCR — 3-hydroxy-3-methylglutaryl-coenzyme A reductase,仍可探索,ATALOFNDEOCMKK-OITMNORJSA-N__CHEMBL402,10,82,124,False,0,156,192,False,0,False,False
89,C384-214,vaborbactam,MME — Neprilysin,仍可探索,IOOWNWLVCOUUEX-WPRPVWTQSA-N__CHEMBL1944,10,26,51,True,3,92,138,True,2,True,True
90,C384-215,memantine,NR3C2 — Mineralocorticoid receptor,仍可探索,BUGYDGFZZOZRHP-UHFFFAOYSA-N__CHEMBL1994,10,22,414,False,0,10,258,False,0,False,False
91,C384-135,sotalol,"ALDH2 — Aldehyde dehydrogenase, mitochondrial",仍可探索,ZBMZVLHSJCTVON-UHFFFAOYSA-N__CHEMBL1935,10,180,492,False,0,86,451,False,0,False,False
92,C384-136,enasidenib,BRAF — Serine/threonine-protein kinase B-raf,仍可探索,DYLUUSLLRIQKOE-UHFFFAOYSA-N__CHEMBL5145,10,67,334,False,0,234,269,False,0,False,False
93,C384-137,desoximetasone,PRKCB — Protein kinase C beta type,仍可探索,VWVSBHGCDBMOOT-IIEHVVJPSA-N__CHEMBL3045,10,39,117,True,0,244,222,False,1,False,True
94,C384-226,nimodipine,CA12 — Carbonic anhydrase 12,仍可探索,UIAGMCDKSXEBJQ-UHFFFAOYSA-N__CHEMBL3242,10,9,94,False,0,1,26,True,2,False,True
95,C384-271,thalidomide,CDK9 — Cyclin-dependent kinase 9,仍可探索,UEJJHQNACJXSKW-UHFFFAOYSA-N__CHEMBL3116,10,312,678,False,0,36,216,False,0,False,False
96,C384-317,binimetinib,PARP2 — Poly [ADP-ribose] polymerase 2,仍可探索,ACWZRVQXLIRSDF-UHFFFAOYSA-N__CHEMBL5366,10,259,704,False,0,247,715,False,0,False,False
97,C384-318,ticagrelor,"PDE9A — High affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A",仍可探索,OEKWJQXRCDYSHL-FNOIDJSQSA-N__CHEMBL3535,10,47,487,False,0,12,98,True,1,False,True
98,C384-319,ixabepilone,PRKCB — Protein kinase C beta type,仍可探索,FABUFPQFXZVHFB-PVYNADRNSA-N__CHEMBL3045,10,99,100,True,1,77,65,True,2,True,True
99,C384-330,lumateperone,ACHE — Acetylcholinesterase,仍可探索,HOIIHACBCFLJET-SFTDATJTSA-N__CHEMBL220,10,66,65,False,0,278,76,False,0,False,False
100,C384-331,alprazolam,GSK3A — Glycogen synthase kinase-3 alpha,仍可探索,VREFGVBLTWBCJP-UHFFFAOYSA-N__CHEMBL2850,10,165,454,False,0,119,444,False,0,False,False
101,C384-043,indacaterol,JAK1 — Tyrosine-protein kinase JAK1,仍可探索,QZZUEBNBZAPZLX-QFIPXVFZSA-N__CHEMBL2835,11,209,503,False,0,109,373,False,0,False,False
102,C384-044,rimegepant,JAK2 — Tyrosine-protein kinase JAK2,仍可探索,KRNAOFGYEFKHPB-ANJVHQHFSA-N__CHEMBL2971,11,94,48,False,0,58,55,False,0,False,False
103,C384-045,arformoterol,MMP12 — Macrophage metalloelastase,仍可探索,BPZSYCZIITTYBL-YJYMSZOUSA-N__CHEMBL4393,11,199,502,False,0,330,416,False,0,False,False
104,C384-138,carbinoxamine,FAAH — Fatty-acid amide hydrolase 1,仍可探索,OJFSXZCBGQGRNV-UHFFFAOYSA-N__CHEMBL2243,11,129,353,False,0,283,677,False,0,False,False
105,C384-139,ranolazine,KDR — Vascular endothelial growth factor receptor 2,仍可探索,XKLMZUWKNUAPSZ-UHFFFAOYSA-N__CHEMBL279,11,182,317,False,0,13,111,False,0,False,False
106,C384-227,tetracaine,CTSC — Dipeptidyl peptidase 1,仍可探索,GKCBAIGFKIBETG-UHFFFAOYSA-N__CHEMBL2252,11,227,530,False,1,97,651,False,0,False,False
107,C384-228,cyclobenzaprine,MAOB — Amine oxidase [flavin-containing] B,仍可探索,JURKNVYFZMSNLP-UHFFFAOYSA-N__CHEMBL2039,11,322,459,False,0,102,162,False,0,False,False
108,C384-277,piperacillin,MME — Neprilysin,仍可探索,IVBHGBMCVLDMKU-GXNBUGAJSA-N__CHEMBL1944,11,30,258,False,1,19,109,True,2,False,True
109,C384-111,lisinopril,NR3C2 — Mineralocorticoid receptor,仍可探索,RLAWWYSOJDYHDC-BZSNNMDCSA-N__CHEMBL1994,11,4,277,False,0,20,282,False,0,False,False
110,C384-169,varenicline,ESRRG — Estrogen-related receptor gamma,仍可探索,JQSHBVHOMNKWFT-DTORHVGOSA-N__CHEMBL4245,11,105,636,False,0,177,584,False,0,False,False
111,C384-218,bazedoxifene,THRB — Thyroid hormone receptor beta,仍可探索,UCJGJABZCDBEDK-UHFFFAOYSA-N__CHEMBL1947,11,297,113,False,0,118,108,False,0,False,False
112,C384-334,talazoparib,MET — Hepatocyte growth factor receptor,仍可探索,HWGQMRYQVZSGDQ-HZPDHXFCSA-N__CHEMBL3717,11,41,99,False,0,71,145,False,0,False,False
113,C384-335,relebactam,MMP8 — Neutrophil collagenase,仍可探索,SMOBCLHAZXOKDQ-ZJUUUORDSA-N__CHEMBL4588,11,3,176,False,1,2,21,True,2,False,True
114,C384-046,elvitegravir,ERBB2 — Receptor tyrosine-protein kinase erbB-2,仍可探索,JUZYLCPPVHEVSV-LJQANCHMSA-N__CHEMBL1824,12,213,158,False,0,298,464,False,0,False,False
115,C384-047,ivabradine,FGFR2 — Fibroblast growth factor receptor 2,仍可探索,ACRHBAYQBXXRTO-OAQYLSRUSA-N__CHEMBL4142,12,65,129,False,0,56,299,False,0,False,False
116,C384-048,cilastatin,PPARG — Peroxisome proliferator-activated receptor gamma,仍可探索,DHSUYTOATWAVLW-WFVMDLQDSA-N__CHEMBL235,12,96,415,False,0,207,324,False,0,False,False
117,C384-142,vibegron,NR3C2 — Mineralocorticoid receptor,仍可探索,DJXRIQMCROIRCZ-XOEOCAAJSA-N__CHEMBL1994,12,143,290,False,0,13,267,False,0,False,False
118,C384-143,palbociclib,REN — Renin,仍可探索,AHJRHEGDXFFMBM-UHFFFAOYSA-N__CHEMBL286,12,107,271,False,1,47,201,False,1,False,False
119,C384-230,ondansetron,FAAH — Fatty-acid amide hydrolase 1,仍可探索,FELGMEQIXOGIFQ-UHFFFAOYSA-N__CHEMBL2243,12,47,333,False,0,70,131,False,0,False,False
120,C384-232,glimepiride,REN — Renin,仍可探索,WIGIZIANZCJQQY-RUCARUNLSA-N__CHEMBL286,12,35,31,True,3,125,142,True,0,True,True
121,C384-170,anastrozole,ALK — ALK tyrosine kinase receptor,仍可探索,YBBLVLTVTVSKRW-UHFFFAOYSA-N__CHEMBL4247,12,271,543,False,0,93,248,False,0,False,False
122,C384-293,tapinarof,ALOX5 — Polyunsaturated fatty acid 5-lipoxygenase,仍可探索,ZISJNXNHJRQYJO-CMDGGOBGSA-N__CHEMBL215,12,341,516,False,0,30,151,False,0,False,False
123,C384-294,benoxinate,DHFR — Dihydrofolate reductase,仍可探索,CMHHMUWAYWTMGS-UHFFFAOYSA-N__CHEMBL202,12,231,170,False,1,52,550,False,0,False,False
124,C384-295,donepezil,"PDE9A — High affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A",仍可探索,ADEBPBSSDYVVLD-UHFFFAOYSA-N__CHEMBL3535,12,118,533,False,0,376,695,False,0,False,False
125,C384-336,dextromethorphan,CTSC — Dipeptidyl peptidase 1,仍可探索,MKXZASYAUGDDCJ-NJAFHUGGSA-N__CHEMBL2252,12,88,377,True,2,115,433,True,2,True,True
126,C384-337,mirdametinib,DHFR — Dihydrofolate reductase,仍可探索,SUDAHWBOROXANE-SECBINFHSA-N__CHEMBL202,12,94,637,False,0,120,706,False,0,False,False
127,C384-338,apremilast,JAK3 — Tyrosine-protein kinase JAK3,仍可探索,IMOZEMNVLZVGJZ-QGZVFWFLSA-N__CHEMBL2148,12,13,192,False,0,168,317,False,0,False,False
128,C384-364,cabotegravir,"PDE4D — 3',5'-cyclic-AMP phosphodiesterase 4D",仍可探索,WCWSTNLSLKSJPK-LKFCYVNXSA-N__CHEMBL288,12,51,221,False,0,202,266,False,0,False,False
129,C384-383,ivosidenib,GSK3B — Glycogen synthase kinase-3 beta,仍可探索,WIJZXSAJMHAVGX-DHLKQENFSA-N__CHEMBL262,12,251,297,False,0,375,197,False,0,False,False
130,C384-049,pregabalin,ENPEP — Glutamyl aminopeptidase,仍可探索,AYXYPKUFHZROOJ-ZETCQYMHSA-N__CHEMBL3439,13,38,257,False,0,216,369,False,0,False,False
131,C384-051,rasagiline,GBA1 — Lysosomal acid glucosylceramidase,仍可探索,RUOKEQAAGRXIBM-GFCCVEGCSA-N__CHEMBL2179,13,142,301,False,0,46,284,False,0,False,False
132,C384-145,vorinostat,ECE1 — Endothelin-converting enzyme 1,仍可探索,WAEXFXRVDQXREF-UHFFFAOYSA-N__CHEMBL4791,13,116,270,False,1,110,162,True,2,False,True
133,C384-234,palonosetron,FKBP1A — Peptidyl-prolyl cis-trans isomerase FKBP1A,仍可探索,CPZBLNMUGSZIPR-NVXWUHKLSA-N__CHEMBL1902,13,134,112,False,0,100,102,False,0,False,False
134,C384-272,apixaban,CA4 — Carbonic anhydrase 4,仍可探索,QNZCBYKSOIHPEH-UHFFFAOYSA-N__CHEMBL3729,13,138,271,False,0,223,209,False,0,False,False
135,C384-296,pomalidomide,NTRK2 — BDNF/NT-3 growth factors receptor,仍可探索,UVSMNLNDYGZFPF-UHFFFAOYSA-N__CHEMBL4898,13,150,469,False,0,71,182,False,0,False,False
136,C384-339,pramipexole,CA2 — Carbonic anhydrase 2,仍可探索,FASDKYOPVNHBLU-ZETCQYMHSA-N__CHEMBL205,13,20,221,False,0,1,100,False,0,False,False
137,C384-367,enzalutamide,BRAF — Serine/threonine-protein kinase B-raf,仍可探索,WXCXUHSOUPDCQV-UHFFFAOYSA-N__CHEMBL5145,13,29,233,False,0,62,230,False,0,False,False
138,C384-368,donepezil,COMT — Catechol O-methyltransferase,仍可探索,ADEBPBSSDYVVLD-UHFFFAOYSA-N__CHEMBL2023,13,140,422,False,0,66,412,True,2,False,True
139,C384-052,memantine,AR — Androgen receptor,仍可探索,BUGYDGFZZOZRHP-UHFFFAOYSA-N__CHEMBL1871,14,34,408,False,0,3,155,False,1,False,False
