对照编号,新靶点名称,新靶点的已知药物名称,精确对照原始证据已匹配,对照身份,对照证据类型,对照确认状态,对照ChEMBL编号,对照完整InChIKey,对照SMILES,新靶点ChEMBL编号,新靶点基因,原对照名称,参考证据层级,真实ChEMBL实验编号,真实ChEMBL文献编号,证据文献DOI,原pair_id,对照用途,pair_id,原对照编号,替换前对照名称,替换前对照ChEMBL编号,对照修订版本,本次FDA替换,FDA身份状态,FDA审批申请号,FDA审批来源,对照构建适用条件,替换依据,选用参考activity_id,选用参考端点,选用参考值_nM,选用参考实验描述,对照原靶点名称,对照原靶点编号,对照原作用机制
CTRL-011,"CYP11B1 — Cytochrome P450 11B1, mitochondrial",KETOCONAZOLE,True,通用名称已收录,IC50,仅功能/其他活性记录，SPR对照尚未落实,CHEMBL157101,XMAYWYJOQHXEEK-UHFFFAOYSA-N,CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,CHEMBL1908,CYP11B1,KETOCONAZOLE,FUNCTIONAL_OR_OTHER_ONLY,CHEMBL1004810; CHEMBL3868073; CHEMBL881287,CHEMBL1141125; CHEMBL1156598; CHEMBL3867461,10.1016/j.bmcl.2016.10.016; 10.1021/jm0503704; 10.1021/jm800355c,XMAYWYJOQHXEEK-UHFFFAOYSA-N__CHEMBL1908,每个靶点另计参考；不计入384候选；不是384次重复采购,XMAYWYJOQHXEEK-UHFFFAOYSA-N__CHEMBL1908,CTRL-011,KETOCONAZOLE,CHEMBL157101,20260910_FDA_V2,False,本轮未确认FDA批准身份,,,,,,,,,,,
CTRL-FDA-012,XDH — Xanthine dehydrogenase/oxidase,FEBUXOSTAT,True,FDA获批药物精确结构已匹配,Ki,FDA药物拟用对照；本次依据Ki记录，非SPR实测Kd；待实验室确认构建并测通,CHEMBL1164729,BQSJTQLCZDPROO-UHFFFAOYSA-N,Cc1nc(-c2ccc(OCC(C)C)c(C#N)c2)sc1C(=O)O,CHEMBL1929,XDH,TOPIROXOSTAT,Ki_NO_Kd_RECORD,CHEMBL4054643,CHEMBL4052641,10.1016/j.ejmech.2017.04.031,UBVZQGOVTLIHLH-UHFFFAOYSA-N__CHEMBL1929,每个靶点另计参考；不计入384候选；不是384次重复采购,BQSJTQLCZDPROO-UHFFFAOYSA-N__CHEMBL1929,CTRL-012,TOPIROXOSTAT,CHEMBL1078685,20260910_FDA_V2,True,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,NDA021856,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021856,来源为人源黄嘌呤氧化酶形式；确认XDH/XO蛋白状态及辅因子装配；仅酶学Ki。,替换拟用对照；FDA身份与具体活性记录已核对，实验室构建和SPR适用性仍待确认,18252132,Ki,0.1,Non-competitive inhibition of human xanthine oxidase,Xanthine dehydrogenase/oxidase,CHEMBL1929,Xanthine dehydrogenase inhibitor
CTRL-013,"ALDH2 — Aldehyde dehydrogenase, mitochondrial",PRUNETIN,True,通用名称已收录,Ki,仅Ki记录，需先确认SPR结合适用性,CHEMBL491174,KQMVAGISDHMXJJ-UHFFFAOYSA-N,COc1cc(O)c2c(=O)c(-c3ccc(O)cc3)coc2c1,CHEMBL1935,ALDH2,PRUNETIN,Ki_NO_Kd_RECORD,CHEMBL989246,CHEMBL1155835,10.1021/jm800488j,KQMVAGISDHMXJJ-UHFFFAOYSA-N__CHEMBL1935,每个靶点另计参考；不计入384候选；不是384次重复采购,KQMVAGISDHMXJJ-UHFFFAOYSA-N__CHEMBL1935,CTRL-013,PRUNETIN,CHEMBL491174,20260910_FDA_V2,False,本轮未确认FDA批准身份,,,,,,,,,,,
CTRL-FDA-014,KIT — Mast/stem cell growth factor receptor Kit,SUNITINIB,True,FDA获批药物精确结构已匹配,Kd,FDA药物拟用对照；有选用Kd结合记录；待实验室确认构建并测通,CHEMBL535,WINHZLLDWRZWRT-ATVHPVEESA-N,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,CHEMBL1936,KIT,STAUROSPORINE,Kd_RECORD_PRESENT,CHEMBL1060197,CHEMBL1150977,10.1038/nbt1358,HKSZLNNOFSGOKW-FYTWVXJKSA-N__CHEMBL1936,每个靶点另计参考；不计入384候选；不是384次重复采购,WINHZLLDWRZWRT-ATVHPVEESA-N__CHEMBL1936,CTRL-014,STAUROSPORINE,CHEMBL388978,20260910_FDA_V2,True,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,NDA021938; NDA021968,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021938; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021968,包含完整药物结合位点的人源野生型胞内激酶域；不适用于仅胞外结构域，需确认活性构象。,替换拟用对照；FDA身份与具体活性记录已核对，实验室构建和SPR适用性仍待确认,2895955,Kd,0.37,Binding constant for KIT kinase domain,Macrophage colony-stimulating factor 1 receptor; Mast/stem cell growth factor receptor Kit; Platelet-derived growth factor receptor; Platelet-derived growth factor receptor alpha; Platelet-derived growth factor receptor beta; Proto-oncogene tyrosine-protein kinase receptor Ret; Receptor-type tyrosine-protein kinase FLT3; Vascular endothelial growth factor receptor; Vascular endothelial growth factor receptor 1; Vascular endothelial growth factor receptor 2; Vascular endothelial growth factor receptor 3,CHEMBL1844; CHEMBL1868; CHEMBL1913; CHEMBL1936; CHEMBL1955; CHEMBL1974; CHEMBL2007; CHEMBL2041; CHEMBL2095189; CHEMBL2095227; CHEMBL279,Macrophage colony stimulating factor receptor inhibitor; Platelet-derived growth factor receptor alpha inhibitor; Platelet-derived growth factor receptor beta inhibitor; Platelet-derived growth factor receptor inhibitor; Stem cell growth factor receptor inhibitor; Tyrosine-protein kinase receptor FLT3 inhibitor; Tyrosine-protein kinase receptor RET inhibitor; Vascular endothelial growth factor receptor 1 inhibitor; Vascular endothelial growth factor receptor 2 inhibitor; Vascular endothelial growth factor receptor 3 inhibitor; Vascular endothelial growth factor receptor inhibitor
CTRL-FDA-015,HDAC2 — Histone deacetylase 2,VORINOSTAT,True,FDA获批药物精确结构已匹配,Ki,FDA药物拟用对照；本次依据Ki记录，非SPR实测Kd；待实验室确认构建并测通,CHEMBL98,WAEXFXRVDQXREF-UHFFFAOYSA-N,O=C(CCCCCCC(=O)Nc1ccccc1)NO,CHEMBL1937,HDAC2,CHEMBL235842,Ki_NO_Kd_RECORD,CHEMBL1216983,CHEMBL1212811,10.1038/nchembio.313,ABZSPJVXTTUFAA-UHFFFAOYSA-N__CHEMBL1937,每个靶点另计参考；不计入384候选；不是384次重复采购,WAEXFXRVDQXREF-UHFFFAOYSA-N__CHEMBL1937,CTRL-015,研究化合物 CHEMBL235842（无通用名称）,CHEMBL235842,20260910_FDA_V2,True,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,NDA021991,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021991,具有活性的HDAC2催化构建及金属辅因子；本次采用Ki记录，不能视为SPR实测Kd。,替换拟用对照；FDA身份与具体活性记录已核对，实验室构建和SPR适用性仍待确认,3390003,Ki,1.6,Inhibition of human HDAC2,Histone deacetylase 1; Histone deacetylase 2; Histone deacetylase 3; Protein deacetylase HDAC6,CHEMBL1829; CHEMBL1865; CHEMBL1937; CHEMBL325,Histone deacetylase 1 inhibitor; Histone deacetylase 2 inhibitor; Histone deacetylase 3 inhibitor; Histone deacetylase 6 inhibitor
CTRL-016,MME — Neprilysin,OMAPATRILAT,True,通用名称已收录,"Ki,IC50",仅Ki记录，需先确认SPR结合适用性,CHEMBL289556,LVRLSYPNFFBYCZ-VGWMRTNUSA-N,O=C(N[C@H]1CCS[C@H]2CCC[C@@H](C(=O)O)N2C1=O)[C@@H](S)Cc1ccccc1,CHEMBL1944,MME,OMAPATRILAT,Ki_NO_Kd_RECORD,CHEMBL1045248; CHEMBL4311872; CHEMBL6079416; CHEMBL6079417; CHEMBL6119898,CHEMBL1156752; CHEMBL4308919; CHEMBL6078628; CHEMBL6115051,10.1016/j.ejmech.2024.116932; 10.1021/acs.jmedchem.5c00329; 10.1021/acsmedchemlett.8b00462; 10.1021/jm9010803,LVRLSYPNFFBYCZ-VGWMRTNUSA-N__CHEMBL1944,每个靶点另计参考；不计入384候选；不是384次重复采购,LVRLSYPNFFBYCZ-VGWMRTNUSA-N__CHEMBL1944,CTRL-016,OMAPATRILAT,CHEMBL289556,20260910_FDA_V2,False,本轮未确认FDA批准身份,,,,,,,,,,,
CTRL-017,THRB — Thyroid hormone receptor beta,LIOTHYRONINE,True,通用名称已收录,"Kd,IC50,Ki",有Kd记录，待确认构建与SPR实测活性,CHEMBL1544,AUYYCJSJGJYCDS-LBPRGKRZSA-N,N[C@@H](Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O,CHEMBL1947,THRB,LIOTHYRONINE,Kd_RECORD_PRESENT,CHEMBL2038197; CHEMBL3131651; CHEMBL811897; CHEMBL814602; CHEMBL882591; CHEMBL939180; CHEMBL949480,CHEMBL1134818; CHEMBL1135520; CHEMBL1142857; CHEMBL1143954; CHEMBL1152303; CHEMBL2034970; CHEMBL3124871,10.1016/j.bmc.2007.10.040; 10.1016/j.bmc.2012.03.056; 10.1016/j.bmc.2013.11.001; 10.1016/j.bmcl.2005.06.093; 10.1016/s0960-894x(01)00521-2; 10.1021/jm0201013; 10.1021/jm800824d,AUYYCJSJGJYCDS-LBPRGKRZSA-N__CHEMBL1947,每个靶点另计参考；不计入384候选；不是384次重复采购,AUYYCJSJGJYCDS-LBPRGKRZSA-N__CHEMBL1947,CTRL-017,LIOTHYRONINE,CHEMBL1544,20260910_FDA_V2,False,FDA名称匹配；精确结构身份待复核,ANDA076923; ANDA090097; ANDA091382; ANDA200295; ANDA211510; ANDA214803; ANDA218070; NDA010379,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=076923; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=090097; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=091382,,,,,,,,,
CTRL-018,TYMS — Thymidylate synthase,5-FLUORODEOXYURIDYLATE,True,通用名称已收录,Ki,仅Ki记录，需先确认SPR结合适用性,CHEMBL886,HFEKDTCAMMOLQP-RRKCRQDMSA-N,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](COP(=O)(O)O)O2)cc1F,CHEMBL1952,TYMS,5-FLUORODEOXYURIDYLATE,Ki_NO_Kd_RECORD,CHEMBL2186825,CHEMBL2177012,10.1021/jm300850v,HFEKDTCAMMOLQP-RRKCRQDMSA-N__CHEMBL1952,每个靶点另计参考；不计入384候选；不是384次重复采购,HFEKDTCAMMOLQP-RRKCRQDMSA-N__CHEMBL1952,CTRL-018,5-FLUORODEOXYURIDYLATE,CHEMBL886,20260910_FDA_V2,False,本轮未确认FDA批准身份,,,,,,,,,,,
CTRL-019,IGF1R — Insulin-like growth factor 1 receptor,LINSITINIB,True,通用名称已收录,"IC50,Kd",有Kd记录，待确认构建与SPR实测活性,CHEMBL1091644,PKCDDUHJAFVJJB-VLZXCDOPSA-N,C[C@]1(O)C[C@@H](c2nc(-c3ccc4ccc(-c5ccccc5)nc4c3)c3c(N)nccn32)C1,CHEMBL1957,IGF1R,LINSITINIB,Kd_RECORD_PRESENT,CHEMBL1108834; CHEMBL2410391; CHEMBL2410392; CHEMBL3412613; CHEMBL3789672; CHEMBL3789673; CHEMBL3789674; CHEMBL3991735; CHEMBL5210125; CHEMBL5210318; CHEMBL5664292; CHEMBL5664320; CHEMBL5664327; CHEMBL5664464; CHEMBL5664479; CHEMBL5664480,CHEMBL1156213; CHEMBL2406928; CHEMBL3407404; CHEMBL3785066; CHEMBL3991601; CHEMBL5210121; CHEMBL5210307; CHEMBL5661980,10.1016/j.bmcl.2010.03.015; 10.1016/j.bmcl.2016.02.075; 10.1016/j.ejmech.2014.12.053; 10.1021/ml400160a; 10.1126/science.aan4368; 10.4155/fmc.09.89; 10.6019/CHEMBL5210121; 10.6019/CHEMBL5210307,PKCDDUHJAFVJJB-VLZXCDOPSA-N__CHEMBL1957,每个靶点另计参考；不计入384候选；不是384次重复采购,PKCDDUHJAFVJJB-VLZXCDOPSA-N__CHEMBL1957,CTRL-019,LINSITINIB,CHEMBL1091644,20260910_FDA_V2,False,本轮未确认FDA批准身份,,,,,,,,,,,
CTRL-FDA-020,FLT3 — Receptor-type tyrosine-protein kinase FLT3,SUNITINIB,True,FDA获批药物精确结构已匹配,Kd,FDA药物拟用对照；有选用Kd结合记录；待实验室确认构建并测通,CHEMBL535,WINHZLLDWRZWRT-ATVHPVEESA-N,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,CHEMBL1974,FLT3,STAUROSPORINE,Kd_RECORD_PRESENT,CHEMBL1061898,CHEMBL1150977,10.1038/nbt1358,HKSZLNNOFSGOKW-FYTWVXJKSA-N__CHEMBL1974,每个靶点另计参考；不计入384候选；不是384次重复采购,WINHZLLDWRZWRT-ATVHPVEESA-N__CHEMBL1974,CTRL-020,STAUROSPORINE,CHEMBL388978,20260910_FDA_V2,True,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,NDA021938; NDA021968,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021938; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021968,包含完整药物结合位点的人源野生型胞内激酶域；不适用于仅胞外结构域，需确认活性构象。,替换拟用对照；FDA身份与具体活性记录已核对，实验室构建和SPR适用性仍待确认,2907411,Kd,0.47,Binding constant for FLT3 kinase domain,Macrophage colony-stimulating factor 1 receptor; Mast/stem cell growth factor receptor Kit; Platelet-derived growth factor receptor; Platelet-derived growth factor receptor alpha; Platelet-derived growth factor receptor beta; Proto-oncogene tyrosine-protein kinase receptor Ret; Receptor-type tyrosine-protein kinase FLT3; Vascular endothelial growth factor receptor; Vascular endothelial growth factor receptor 1; Vascular endothelial growth factor receptor 2; Vascular endothelial growth factor receptor 3,CHEMBL1844; CHEMBL1868; CHEMBL1913; CHEMBL1936; CHEMBL1955; CHEMBL1974; CHEMBL2007; CHEMBL2041; CHEMBL2095189; CHEMBL2095227; CHEMBL279,Macrophage colony stimulating factor receptor inhibitor; Platelet-derived growth factor receptor alpha inhibitor; Platelet-derived growth factor receptor beta inhibitor; Platelet-derived growth factor receptor inhibitor; Stem cell growth factor receptor inhibitor; Tyrosine-protein kinase receptor FLT3 inhibitor; Tyrosine-protein kinase receptor RET inhibitor; Vascular endothelial growth factor receptor 1 inhibitor; Vascular endothelial growth factor receptor 2 inhibitor; Vascular endothelial growth factor receptor 3 inhibitor; Vascular endothelial growth factor receptor inhibitor
CTRL-021,VDR — Vitamin D3 receptor,研究化合物 CHEMBL4066573（无通用名称）,True,仅研究编号，实物待落实,Kd,有Kd记录，待确认构建与SPR实测活性；须按结构落实实物,CHEMBL4066573,UBDHJEXXHMTARH-DRVSFAKCSA-N,CC[C@H](C)[C@H](NC(=O)[C@H](CCCCN)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)CCNC(=S)Nc1ccc2c(c1)C(=O)OC21c2ccc(O)cc2Oc2cc(O)ccc21)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(N)=O)C(N)=O,CHEMBL1977,VDR,CHEMBL4066573,Kd_RECORD_PRESENT,CHEMBL4020678,CHEMBL4017549,10.1021/acs.jmedchem.7b00732,UBDHJEXXHMTARH-DRVSFAKCSA-N__CHEMBL1977,每个靶点另计参考；不计入384候选；不是384次重复采购,UBDHJEXXHMTARH-DRVSFAKCSA-N__CHEMBL1977,CTRL-021,研究化合物 CHEMBL4066573（无通用名称）,CHEMBL4066573,20260910_FDA_V2,False,本轮未确认FDA批准身份,,,,,,,,,,,
CTRL-022,CYP19A1 — Aromatase,ANASTROZOLE,True,通用名称已收录,"IC50,Ki",仅Ki记录，需先确认SPR结合适用性,CHEMBL1399,YBBLVLTVTVSKRW-UHFFFAOYSA-N,CC(C)(C#N)c1cc(Cn2cncn2)cc(C(C)(C)C#N)c1,CHEMBL1978,CYP19A1,ANASTROZOLE,Ki_NO_Kd_RECORD,CHEMBL1067556; CHEMBL1961307; CHEMBL1961308; CHEMBL3820543; CHEMBL865872; CHEMBL915480; CHEMBL967987,CHEMBL1139479; CHEMBL1149390; CHEMBL1155912; CHEMBL1157574; CHEMBL1955720; CHEMBL3817793,10.1016/j.bmc.2012.01.047; 10.1016/j.bmcl.2008.06.094; 10.1021/acs.jmedchem.5b01281; 10.1021/jm0508282; 10.1021/jm058042r; 10.1021/jm901705h,YBBLVLTVTVSKRW-UHFFFAOYSA-N__CHEMBL1978,每个靶点另计参考；不计入384候选；不是384次重复采购,YBBLVLTVTVSKRW-UHFFFAOYSA-N__CHEMBL1978,CTRL-022,ANASTROZOLE,CHEMBL1399,20260910_FDA_V2,False,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,NDA022214,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=022214,,,,,,,Aromatase,CHEMBL1978,Cytochrome P450 19A1 inhibitor
CTRL-023,INSR — Insulin receptor,STAUROSPORINE,True,通用名称已收录,"Kd,IC50",有Kd记录，待确认构建与SPR实测活性,CHEMBL388978,HKSZLNNOFSGOKW-FYTWVXJKSA-N,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,CHEMBL1981,INSR,STAUROSPORINE,Kd_RECORD_PRESENT,CHEMBL1060195; CHEMBL3820500; CHEMBL4145876; CHEMBL4328453; CHEMBL5654418; CHEMBL5720755; CHEMBL859866,CHEMBL1144455; CHEMBL1150977; CHEMBL3817824; CHEMBL4145442; CHEMBL4325871; CHEMBL5653609; CHEMBL5715954,10.1016/j.bmc.2016.05.057; 10.1016/j.ejmech.2017.10.003; 10.1016/j.ejmech.2018.10.052; 10.1038/nbt1068; 10.1038/nbt1358; 10.1074/jbc.m112.357384; 10.1182/blood-2016-08-731240,HKSZLNNOFSGOKW-FYTWVXJKSA-N__CHEMBL1981,每个靶点另计参考；不计入384候选；不是384次重复采购,HKSZLNNOFSGOKW-FYTWVXJKSA-N__CHEMBL1981,CTRL-023,STAUROSPORINE,CHEMBL388978,20260910_FDA_V2,False,本轮未确认FDA批准身份,,,,,,,,,,,
CTRL-024,DNMT1 — DNA (cytosine-5)-methyltransferase 1,研究化合物 CHEMBL5592841（无通用名称）,True,仅研究编号，实物待落实,Kd,有Kd记录，待确认构建与SPR实测活性；须按结构落实实物,CHEMBL5592841,YEBBNJGBFNBLTF-UHFFFAOYSA-N,O=C(O)C(Cn1c2ccc(Cl)cc2c2cc(Cl)cc(Cl)c21)N1C(=O)c2ccccc2C1=O,CHEMBL1993,DNMT1,CHEMBL5592841,Kd_RECORD_PRESENT,CHEMBL5580613,CHEMBL5579818,10.1016/j.ejmech.2024.116538,YEBBNJGBFNBLTF-UHFFFAOYSA-N__CHEMBL1993,每个靶点另计参考；不计入384候选；不是384次重复采购,YEBBNJGBFNBLTF-UHFFFAOYSA-N__CHEMBL1993,CTRL-024,研究化合物 CHEMBL5592841（无通用名称）,CHEMBL5592841,20260910_FDA_V2,False,本轮未确认FDA批准身份,,,,,,,,,,,
CTRL-025,NR3C2 — Mineralocorticoid receptor,ALDOSTERONE,True,通用名称已收录,"Kd,IC50",有Kd记录，待确认构建与SPR实测活性,CHEMBL273453,PQSUYGKTWSAVDQ-ZVIOFETBSA-N,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@]2(C=O)[C@@H](C(=O)CO)CC[C@@H]12,CHEMBL1994,NR3C2,ALDOSTERONE,Kd_RECORD_PRESENT,CHEMBL4008026; CHEMBL4263480,CHEMBL4007392; CHEMBL4261581,10.1016/j.ejmech.2018.08.006; 10.1021/acs.jmedchem.6b01065,PQSUYGKTWSAVDQ-ZVIOFETBSA-N__CHEMBL1994,每个靶点另计参考；不计入384候选；不是384次重复采购,PQSUYGKTWSAVDQ-ZVIOFETBSA-N__CHEMBL1994,CTRL-025,ALDOSTERONE,CHEMBL273453,20260910_FDA_V2,False,本轮未确认FDA批准身份,,,,,,,,,,,
CTRL-FDA-026,PDGFRA — Platelet-derived growth factor receptor alpha,SUNITINIB,True,FDA获批药物精确结构已匹配,Kd,FDA药物拟用对照；有选用Kd结合记录；待实验室确认构建并测通,CHEMBL535,WINHZLLDWRZWRT-ATVHPVEESA-N,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,CHEMBL2007,PDGFRA,STAUROSPORINE,Kd_RECORD_PRESENT,CHEMBL1062783,CHEMBL1150977,10.1038/nbt1358,HKSZLNNOFSGOKW-FYTWVXJKSA-N__CHEMBL2007,每个靶点另计参考；不计入384候选；不是384次重复采购,WINHZLLDWRZWRT-ATVHPVEESA-N__CHEMBL2007,CTRL-026,STAUROSPORINE,CHEMBL388978,20260910_FDA_V2,True,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,NDA021938; NDA021968,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021938; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021968,包含完整药物结合位点的人源野生型胞内激酶域；不适用于仅胞外结构域，需确认活性构象。,替换拟用对照；FDA身份与具体活性记录已核对，实验室构建和SPR适用性仍待确认,2899059,Kd,0.79,Binding constant for PDGFRA kinase domain,Macrophage colony-stimulating factor 1 receptor; Mast/stem cell growth factor receptor Kit; Platelet-derived growth factor receptor; Platelet-derived growth factor receptor alpha; Platelet-derived growth factor receptor beta; Proto-oncogene tyrosine-protein kinase receptor Ret; Receptor-type tyrosine-protein kinase FLT3; Vascular endothelial growth factor receptor; Vascular endothelial growth factor receptor 1; Vascular endothelial growth factor receptor 2; Vascular endothelial growth factor receptor 3,CHEMBL1844; CHEMBL1868; CHEMBL1913; CHEMBL1936; CHEMBL1955; CHEMBL1974; CHEMBL2007; CHEMBL2041; CHEMBL2095189; CHEMBL2095227; CHEMBL279,Macrophage colony stimulating factor receptor inhibitor; Platelet-derived growth factor receptor alpha inhibitor; Platelet-derived growth factor receptor beta inhibitor; Platelet-derived growth factor receptor inhibitor; Stem cell growth factor receptor inhibitor; Tyrosine-protein kinase receptor FLT3 inhibitor; Tyrosine-protein kinase receptor RET inhibitor; Vascular endothelial growth factor receptor 1 inhibitor; Vascular endothelial growth factor receptor 2 inhibitor; Vascular endothelial growth factor receptor 3 inhibitor; Vascular endothelial growth factor receptor inhibitor
CTRL-027,RARB — Retinoic acid receptor beta,TRETINOIN,True,通用名称已收录,"Kd,IC50",有Kd记录，待确认构建与SPR实测活性,CHEMBL38,SHGAZHPCJJPHSC-YCNIQYBTSA-N,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1,CHEMBL2008,RARB,TRETINOIN,Kd_RECORD_PRESENT,CHEMBL798911; CHEMBL798913; CHEMBL807724; CHEMBL916389,CHEMBL1129343; CHEMBL1134232; CHEMBL1136268; CHEMBL1149300,10.1016/s0960-894x(01)00058-0; 10.1016/s0960-894x(02)00924-1; 10.1021/jm0401457; 10.1021/jm9502293,SHGAZHPCJJPHSC-YCNIQYBTSA-N__CHEMBL2008,每个靶点另计参考；不计入384候选；不是384次重复采购,SHGAZHPCJJPHSC-YCNIQYBTSA-N__CHEMBL2008,CTRL-027,TRETINOIN,CHEMBL38,20260910_FDA_V2,False,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,NDA022070; NDA050802; NDA050803; NDA209353; NDA214902,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=022070; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=050802; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=050803,,,,,,,Retinoic acid receptor,CHEMBL2363069,Retinoic acid receptor agonist
CTRL-028,DHFR — Dihydrofolate reductase,研究化合物 CHEMBL310759（无通用名称）,True,仅研究编号，实物待落实,Kd,有Kd记录，待确认构建与SPR实测活性；须按结构落实实物,CHEMBL310759,AVRPDIOCAAWICH-UHFFFAOYSA-N,Nc1nc(N)c2c(Sc3ccc(Cl)cc3)cccc2n1,CHEMBL202,DHFR,CHEMBL310759,Kd_RECORD_PRESENT,CHEMBL3369565,CHEMBL3351755,10.1021/jm500325k,AVRPDIOCAAWICH-UHFFFAOYSA-N__CHEMBL202,每个靶点另计参考；不计入384候选；不是384次重复采购,AVRPDIOCAAWICH-UHFFFAOYSA-N__CHEMBL202,CTRL-028,研究化合物 CHEMBL310759（无通用名称）,CHEMBL310759,20260910_FDA_V2,False,本轮未确认FDA批准身份,,,,,,,,,,,
CTRL-FDA-029,COMT — Catechol O-methyltransferase,OPICAPONE,True,FDA获批药物精确结构已匹配,Ki,FDA药物拟用对照；本次依据Ki记录，非SPR实测Kd；待实验室确认构建并测通,CHEMBL1089318,ASOADIZOVZTJSR-UHFFFAOYSA-N,Cc1c(Cl)c(C)[n+]([O-])c(Cl)c1-c1noc(-c2cc(O)c(O)c([N+](=O)[O-])c2)n1,CHEMBL2023,COMT,CHEMBL5653589,Ki_NO_Kd_RECORD,CHEMBL3291944,CHEMBL3286156,10.1021/jm500475k,MWKSRKSEWLRPBL-UHFFFAOYSA-N__CHEMBL2023,每个靶点另计参考；不计入384候选；不是384次重复采购,ASOADIZOVZTJSR-UHFFFAOYSA-N__CHEMBL2023,CTRL-029,研究化合物 CHEMBL5653589（无通用名称）,CHEMBL5653589,20260910_FDA_V2,True,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,NDA212489,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=212489,核对COMT可溶/膜结合亚型、SAM及Mg2+条件；证据为酶学Ki。,替换拟用对照；FDA身份与具体活性记录已核对，实验室构建和SPR适用性仍待确认,14722835,Ki,1.0,Inhibition of catalytic activity of human cloned COMT expressed in Escherichia coli using [3H]-S-adenosylmethionine as substrate after 20 mins by liquid scintillation counting,Catechol O-methyltransferase,CHEMBL2023,Catechol O-methyltransferase inhibitor
