对照编号,新靶点名称,新靶点的已知药物名称,精确对照原始证据已匹配,对照身份,对照证据类型,对照确认状态,对照ChEMBL编号,对照完整InChIKey,对照SMILES,新靶点ChEMBL编号,新靶点基因,原对照名称,参考证据层级,真实ChEMBL实验编号,真实ChEMBL文献编号,证据文献DOI,原pair_id,对照用途,pair_id,原对照编号,替换前对照名称,替换前对照ChEMBL编号,对照修订版本,本次FDA替换,FDA身份状态,FDA审批申请号,FDA审批来源,对照构建适用条件,替换依据,选用参考activity_id,选用参考端点,选用参考值_nM,选用参考实验描述,对照原靶点名称,对照原靶点编号,对照原作用机制
CTRL-FDA-034,ESR1 — Estrogen receptor,RALOXIFENE,True,FDA获批药物精确结构已匹配,Ki,FDA药物拟用对照；本次依据Ki记录，非SPR实测Kd；待实验室确认构建并测通,CHEMBL81,GZUITABIAKMVPG-UHFFFAOYSA-N,O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,CHEMBL206,ESR1,CHEMBL377849,Ki_NO_Kd_RECORD,CHEMBL983675,CHEMBL1144155,10.1016/j.bmcl.2008.07.121,ANMCTAWGJSYPPA-LPYMAVHISA-N__CHEMBL206,每个靶点另计参考；不计入384候选；不是384次重复采购,GZUITABIAKMVPG-UHFFFAOYSA-N__CHEMBL206,CTRL-034,研究化合物 CHEMBL377849（无通用名称）,CHEMBL377849,20260910_FDA_V2,True,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,NDA022042,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=022042,人源ERalpha完整配体结合域；来源使用全长受体的竞争结合。,替换拟用对照；FDA身份与具体活性记录已核对，实验室构建和SPR适用性仍待确认,2369799,Ki,2.0,Displacement of [3H]estradiol from full length biotinylated human ERalpha by scintillation proximity assay,Estrogen receptor; Estrogen receptor beta,CHEMBL206; CHEMBL242,Estrogen receptor beta modulator; Estrogen receptor modulator
CTRL-FDA-037,PGR — Progesterone receptor,NORETHINDRONE,True,FDA获批药物精确结构已匹配,Ki,FDA药物拟用对照；本次依据Ki记录，非SPR实测Kd；待实验室确认构建并测通,CHEMBL1162,VIKNJXKGJWUCNN-XGXHKTLJSA-N,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C,CHEMBL208,PGR,CHEMBL2311103,Ki_NO_Kd_RECORD,CHEMBL765846,CHEMBL1131299,10.1021/jm9705770,IJLXLZGJDSJGIQ-BILPMHSYSA-N__CHEMBL208,每个靶点另计参考；不计入384候选；不是384次重复采购,VIKNJXKGJWUCNN-XGXHKTLJSA-N__CHEMBL208,CTRL-037,研究化合物 CHEMBL2311103（无通用名称）,CHEMBL2311103,20260910_FDA_V2,True,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,NDA022001; NDA022501; NDA204426; NDA213388; NDA214846; NDA218718,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=022001; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=022501; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=204426,PR-A或包含相同完整配体结合域的构建；核对受体亚型。,替换拟用对照；FDA身份与具体活性记录已核对，实验室构建和SPR适用性仍待确认,700985,Ki,1.87,The binding affinity measured using baculovirus-expressed hPR-A in sf21 cells.,Progesterone receptor,CHEMBL208,Progesterone receptor agonist
CTRL-FDA-039,JAK3 — Tyrosine-protein kinase JAK3,TOFACITINIB,True,FDA获批药物精确结构已匹配,Kd,FDA药物拟用对照；有选用Kd结合记录；待实验室确认构建并测通,CHEMBL221959,UJLAWZDWDVHWOW-YPMHNXCESA-N,C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12,CHEMBL2148,JAK3,STAUROSPORINE,Kd_RECORD_PRESENT,CHEMBL1051335,CHEMBL1150977,10.1038/nbt1358,HKSZLNNOFSGOKW-FYTWVXJKSA-N__CHEMBL2148,每个靶点另计参考；不计入384候选；不是384次重复采购,UJLAWZDWDVHWOW-YPMHNXCESA-N__CHEMBL2148,CTRL-039,STAUROSPORINE,CHEMBL388978,20260910_FDA_V2,True,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,NDA203214; NDA208246; NDA213082,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=203214; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=208246; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=213082,JH1催化域；不得用于只有JH2假激酶域的构建。,替换拟用对照；FDA身份与具体活性记录已核对，实验室构建和SPR适用性仍待确认,2895854,Kd,2.2,Binding constant for JAK3(Kin.Dom.2/JH1 - catalytic) kinase domain,Janus Kinase (JAK),CHEMBL2363062,Janus Kinase (JAK) inhibitor
CTRL-FDA-043,ACHE — Acetylcholinesterase,DONEPEZIL,True,FDA获批药物精确结构已匹配,Kd,FDA药物拟用对照；有选用Kd结合记录；待实验室确认构建并测通,CHEMBL502,ADEBPBSSDYVVLD-UHFFFAOYSA-N,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,CHEMBL220,ACHE,HUPERZINE A,Kd_RECORD_PRESENT,CHEMBL4815506,CHEMBL4813953,10.1021/acs.jmedchem.0c01863,ZRJBHWIHUMBLCN-YQEJDHNASA-N__CHEMBL220,每个靶点另计参考；不计入384候选；不是384次重复采购,ADEBPBSSDYVVLD-UHFFFAOYSA-N__CHEMBL220,CTRL-043,HUPERZINE A,CHEMBL395280,20260910_FDA_V2,True,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,NDA022568; NDA206439,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=022568; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=206439,人源重组AChE；已有CM5固定SPR记录，仍须本批蛋白和芯片条件测通。,替换拟用对照；FDA身份与具体活性记录已核对，实验室构建和SPR适用性仍待确认,23176017,Kd,8.0,Binding affinity to CM5 sensor chip immobilized recombinant human AChE assessed as dissociation constant at 298.15 K by surface plasmon resonance assay,Acetylcholinesterase,CHEMBL220,Acetylcholinesterase inhibitor
CTRL-FDA-048,DYRK1A — Dual specificity tyrosine-phosphorylation-regulated kinase 1A,ABEMACICLIB,True,FDA获批药物精确结构已匹配,Kd,FDA药物拟用对照；有选用Kd结合记录；待实验室确认构建并测通,CHEMBL3301610,UZWDCWONPYILKI-UHFFFAOYSA-N,CCN1CCN(Cc2ccc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C(C)C)c5c4)n3)nc2)CC1,CHEMBL2292,DYRK1A,HARMINE,Kd_RECORD_PRESENT,CHEMBL5251383,CHEMBL5247649,10.1021/acs.jmedchem.2c02068,BXNJHAXVSOCGBA-UHFFFAOYSA-N__CHEMBL2292,每个靶点另计参考；不计入384候选；不是384次重复采购,UZWDCWONPYILKI-UHFFFAOYSA-N__CHEMBL2292,CTRL-048,HARMINE,CHEMBL269538,20260910_FDA_V2,True,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,NDA208716; NDA208855,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=208716; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=208855,包含完整药物结合位点的人源野生型胞内激酶域；不适用于仅胞外结构域，需确认活性构象。,替换拟用对照；FDA身份与具体活性记录已核对，实验室构建和SPR适用性仍待确认,25065162,Kd,3.349,Binding affinity to human DYRK1A assessed as equilibrium dissociation constant measured upto 240 min by TR-FRET assay,Cyclin-dependent kinase 4; Cyclin-dependent kinase 6,CHEMBL2508; CHEMBL331,Cyclin-dependent kinase 4 inhibitor; Cyclin-dependent kinase 6 inhibitor
CTRL-FDA-050,PPARG — Peroxisome proliferator-activated receptor gamma,PIOGLITAZONE,True,FDA获批药物精确结构已匹配,Ki,FDA药物拟用对照；本次依据Ki记录，非SPR实测Kd；待实验室确认构建并测通,CHEMBL595,HYAFETHFCAUJAY-UHFFFAOYSA-N,CCc1ccc(CCOc2ccc(CC3SC(=O)NC3=O)cc2)nc1,CHEMBL235,PPARG,REVERSE TRIIODOTHYRONINE,Ki_NO_Kd_RECORD,CHEMBL4413918,CHEMBL4411325,10.1021/acs.jmedchem.8b01573,HZCBWYNLGPIQRK-LBPRGKRZSA-N__CHEMBL235,每个靶点另计参考；不计入384候选；不是384次重复采购,HYAFETHFCAUJAY-UHFFFAOYSA-N__CHEMBL235,CTRL-050,REVERSE TRIIODOTHYRONINE,CHEMBL1743304,20260910_FDA_V2,True,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,NDA021842; NDA021925; NDA022426,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021842; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021925; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=022426,PPARgamma配体结合域，来源为isoform 1的203–477位点；使用配体竞争Ki，未把共激活肽结合数据作为药物Kd。,替换拟用对照；FDA身份与具体活性记录已核对，实验室构建和SPR适用性仍待确认,19302627,Ki,420.0,Displacement of fluormone PanPPAR green tracer ligand from human 6His-tagged PPARgamma isoform 1 LBD (203 to 477 residues) expressed in Escherichia coli BL21(DE3) after 1 hr by TR-FRET assay,Peroxisome proliferator-activated receptor gamma,CHEMBL235,Peroxisome proliferator-activated receptor gamma agonist
CTRL-FDA-052,ESR2 — Estrogen receptor beta,RALOXIFENE,True,FDA获批药物精确结构已匹配,Ki,FDA药物拟用对照；本次依据Ki记录，非SPR实测Kd；待实验室确认构建并测通,CHEMBL81,GZUITABIAKMVPG-UHFFFAOYSA-N,O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,CHEMBL242,ESR2,CHEMBL475278,Ki_NO_Kd_RECORD,CHEMBL983676,CHEMBL1144155,10.1016/j.bmcl.2008.07.121,ZDSSMGFPICRDHW-VIZOYTHASA-N__CHEMBL242,每个靶点另计参考；不计入384候选；不是384次重复采购,GZUITABIAKMVPG-UHFFFAOYSA-N__CHEMBL242,CTRL-052,研究化合物 CHEMBL475278（无通用名称）,CHEMBL475278,20260910_FDA_V2,True,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,NDA022042,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=022042,人源ERbeta完整配体结合域；来源使用全长受体的竞争结合。,替换拟用对照；FDA身份与具体活性记录已核对，实验室构建和SPR适用性仍待确认,2369811,Ki,23.0,Displacement of [3H]estradiol from full length biotinylated human ERbeta by scintillation proximity assay,Estrogen receptor; Estrogen receptor beta,CHEMBL206; CHEMBL242,Estrogen receptor beta modulator; Estrogen receptor modulator
CTRL-FDA-056,GSK3B — Glycogen synthase kinase-3 beta,ABEMACICLIB,True,FDA获批药物精确结构已匹配,Kd,FDA药物拟用对照；有选用Kd结合记录；待实验室确认构建并测通,CHEMBL3301610,UZWDCWONPYILKI-UHFFFAOYSA-N,CCN1CCN(Cc2ccc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C(C)C)c5c4)n3)nc2)CC1,CHEMBL262,GSK3B,STAUROSPORINE,Kd_RECORD_PRESENT,CHEMBL5251385,CHEMBL5247649,10.1021/acs.jmedchem.2c02068,HKSZLNNOFSGOKW-FYTWVXJKSA-N__CHEMBL262,每个靶点另计参考；不计入384候选；不是384次重复采购,UZWDCWONPYILKI-UHFFFAOYSA-N__CHEMBL262,CTRL-056,STAUROSPORINE,CHEMBL388978,20260910_FDA_V2,True,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,NDA208716; NDA208855,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=208716; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=208855,包含完整药物结合位点的人源野生型胞内激酶域；不适用于仅胞外结构域，需确认活性构象。,替换拟用对照；FDA身份与具体活性记录已核对，实验室构建和SPR适用性仍待确认,25065236,Kd,7.673,Binding affinity to human GSK-3beta assessed as equilibrium dissociation constant measured upto 240 min by TR-FRET assay,Cyclin-dependent kinase 4; Cyclin-dependent kinase 6,CHEMBL2508; CHEMBL331,Cyclin-dependent kinase 4 inhibitor; Cyclin-dependent kinase 6 inhibitor
CTRL-FDA-060,KDR — Vascular endothelial growth factor receptor 2,SUNITINIB,True,FDA获批药物精确结构已匹配,Kd,FDA药物拟用对照；有选用Kd结合记录；待实验室确认构建并测通,CHEMBL535,WINHZLLDWRZWRT-ATVHPVEESA-N,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,CHEMBL279,KDR,LINIFANIB,Kd_RECORD_PRESENT,CHEMBL1051261,CHEMBL1150977,10.1038/nbt1358,MPVGZUGXCQEXTM-UHFFFAOYSA-N__CHEMBL279,每个靶点另计参考；不计入384候选；不是384次重复采购,WINHZLLDWRZWRT-ATVHPVEESA-N__CHEMBL279,CTRL-060,LINIFANIB,CHEMBL223360,20260910_FDA_V2,True,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,NDA021938; NDA021968,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021938; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021968,包含完整药物结合位点的人源野生型胞内激酶域；不适用于仅胞外结构域，需确认活性构象。,替换拟用对照；FDA身份与具体活性记录已核对，实验室构建和SPR适用性仍待确认,2891429,Kd,1.5,Binding constant for VEGFR2 kinase domain,Macrophage colony-stimulating factor 1 receptor; Mast/stem cell growth factor receptor Kit; Platelet-derived growth factor receptor; Platelet-derived growth factor receptor alpha; Platelet-derived growth factor receptor beta; Proto-oncogene tyrosine-protein kinase receptor Ret; Receptor-type tyrosine-protein kinase FLT3; Vascular endothelial growth factor receptor; Vascular endothelial growth factor receptor 1; Vascular endothelial growth factor receptor 2; Vascular endothelial growth factor receptor 3,CHEMBL1844; CHEMBL1868; CHEMBL1913; CHEMBL1936; CHEMBL1955; CHEMBL1974; CHEMBL2007; CHEMBL2041; CHEMBL2095189; CHEMBL2095227; CHEMBL279,Macrophage colony stimulating factor receptor inhibitor; Platelet-derived growth factor receptor alpha inhibitor; Platelet-derived growth factor receptor beta inhibitor; Platelet-derived growth factor receptor inhibitor; Stem cell growth factor receptor inhibitor; Tyrosine-protein kinase receptor FLT3 inhibitor; Tyrosine-protein kinase receptor RET inhibitor; Vascular endothelial growth factor receptor 1 inhibitor; Vascular endothelial growth factor receptor 2 inhibitor; Vascular endothelial growth factor receptor 3 inhibitor; Vascular endothelial growth factor receptor inhibitor
CTRL-FDA-064,JAK1 — Tyrosine-protein kinase JAK1,RUXOLITINIB,True,FDA获批药物精确结构已匹配,Ki,FDA药物拟用对照；本次依据Ki记录，非SPR实测Kd；待实验室确认构建并测通,CHEMBL1789941,HFNKQEVNSGCOJV-OAHLLOKOSA-N,N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,CHEMBL2835,JAK1,CRAVACITINIB,Ki_NO_Kd_RECORD,CHEMBL2389433,CHEMBL2385054,10.1021/jm400266t,BZZKEPGENYLQSC-UHFFFAOYSA-N__CHEMBL2835,每个靶点另计参考；不计入384候选；不是384次重复采购,HFNKQEVNSGCOJV-OAHLLOKOSA-N__CHEMBL2835,CTRL-064,CRAVACITINIB,CHEMBL4596392,20260910_FDA_V2,True,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,NDA202192; NDA215309; NDA217180,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=202192; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=215309; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=217180,JH1催化域，参考构建837–1142；不适用于仅JH2域。,替换拟用对照；FDA身份与具体活性记录已核对，实验室构建和SPR适用性仍待确认,13317342,Ki,0.2,Inhibition of human JAK1 (837-1142) expressed in baculovirus-infected Sf9 cells using EQEDEPEGDYFEWLE as substrate after 1 hr by HTRF assay,Non-receptor tyrosine-protein kinase TYK2; Tyrosine-protein kinase JAK1; Tyrosine-protein kinase JAK2; Tyrosine-protein kinase JAK3,CHEMBL2148; CHEMBL2835; CHEMBL2971; CHEMBL3553,Tyrosine-protein kinase JAK1 inhibitor; Tyrosine-protein kinase JAK2 inhibitor; Tyrosine-protein kinase JAK3 inhibitor; Tyrosine-protein kinase TYK2 inhibitor
CTRL-FDA-073,"PIK3CB — Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform",GEDATOLISIB,True,FDA获批药物精确结构已匹配,Kd,FDA药物拟用对照；有选用Kd结合记录；待实验室确认构建并测通,CHEMBL592445,DWZAEMINVBZMHQ-UHFFFAOYSA-N,CN(C)C1CCN(C(=O)c2ccc(NC(=O)Nc3ccc(-c4nc(N5CCOCC5)nc(N5CCOCC5)n4)cc3)cc2)CC1,CHEMBL3145,PIK3CB,PICTILISIB,Kd_RECORD_PRESENT,CHEMBL4019280,CHEMBL4017506,10.1021/acs.jmedchem.7b00930,LHNIIDJUOCFXAP-UHFFFAOYSA-N__CHEMBL3145,每个靶点另计参考；不计入384候选；不是384次重复采购,DWZAEMINVBZMHQ-UHFFFAOYSA-N__CHEMBL3145,CTRL-073,PICTILISIB,CHEMBL521851,20260910_FDA_V2,True,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,NDA219908,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=219908,人源PI3Kbeta催化蛋白；参考构建118–1070，核对调节亚基与蛋白状态。,替换拟用对照；FDA身份与具体活性记录已核对，实验室构建和SPR适用性仍待确认,18088192,Kd,3.5,Binding affinity to human PI3Kbeta (P118 to S1070 residues) expressed in mammalian expression system by Kinomescan assay,PI3-kinase class I; Serine/threonine-protein kinase mTOR,CHEMBL2842; CHEMBL3559703,PI3-kinase class I inhibitor; Serine/threonine-protein kinase mTOR inhibitor
CTRL-FDA-076,HDAC1 — Histone deacetylase 1,VORINOSTAT,True,FDA获批药物精确结构已匹配,Ki,FDA药物拟用对照；本次依据Ki记录，非SPR实测Kd；待实验室确认构建并测通,CHEMBL98,WAEXFXRVDQXREF-UHFFFAOYSA-N,O=C(CCCCCCC(=O)Nc1ccccc1)NO,CHEMBL325,HDAC1,TRICHOSTATIN,Ki_NO_Kd_RECORD,CHEMBL1216982,CHEMBL1212811,10.1038/nchembio.313,RTKIYFITIVXBLE-QEQCGCAPSA-N__CHEMBL325,每个靶点另计参考；不计入384候选；不是384次重复采购,WAEXFXRVDQXREF-UHFFFAOYSA-N__CHEMBL325,CTRL-076,TRICHOSTATIN,CHEMBL99,20260910_FDA_V2,True,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,NDA021991,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021991,具有活性的HDAC1催化构建及金属辅因子；采用Ki记录，不能视为SPR实测Kd。,替换拟用对照；FDA身份与具体活性记录已核对，实验室构建和SPR适用性仍待确认,3390002,Ki,1.3,Inhibition of human HDAC1,Histone deacetylase 1; Histone deacetylase 2; Histone deacetylase 3; Protein deacetylase HDAC6,CHEMBL1829; CHEMBL1865; CHEMBL1937; CHEMBL325,Histone deacetylase 1 inhibitor; Histone deacetylase 2 inhibitor; Histone deacetylase 3 inhibitor; Histone deacetylase 6 inhibitor
CTRL-FDA-077,"PIK3CG — Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform",GEDATOLISIB,True,FDA获批药物精确结构已匹配,Kd,FDA药物拟用对照；有选用Kd结合记录；待实验室确认构建并测通,CHEMBL592445,DWZAEMINVBZMHQ-UHFFFAOYSA-N,CN(C)C1CCN(C(=O)c2ccc(NC(=O)Nc3ccc(-c4nc(N5CCOCC5)nc(N5CCOCC5)n4)cc3)cc2)CC1,CHEMBL3267,PIK3CG,PICTILISIB,Kd_RECORD_PRESENT,CHEMBL4019281,CHEMBL4017506,10.1021/acs.jmedchem.7b00930,LHNIIDJUOCFXAP-UHFFFAOYSA-N__CHEMBL3267,每个靶点另计参考；不计入384候选；不是384次重复采购,DWZAEMINVBZMHQ-UHFFFAOYSA-N__CHEMBL3267,CTRL-077,PICTILISIB,CHEMBL521851,20260910_FDA_V2,True,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,NDA219908,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=219908,人源PI3Kgamma催化蛋白；参考构建144–1102，核对调节亚基与蛋白状态。,替换拟用对照；FDA身份与具体活性记录已核对，实验室构建和SPR适用性仍待确认,18088198,Kd,24.0,Binding affinity to human PI3Kgamma (S144 to A1102 residues) expressed in mammalian expression system by Kinomescan assay,PI3-kinase class I; Serine/threonine-protein kinase mTOR,CHEMBL2842; CHEMBL3559703,PI3-kinase class I inhibitor; Serine/threonine-protein kinase mTOR inhibitor
CTRL-FDA-082,TYK2 — Non-receptor tyrosine-protein kinase TYK2,TOFACITINIB,True,FDA获批药物精确结构已匹配,Ki,FDA药物拟用对照；本次依据Ki记录，非SPR实测Kd；待实验室确认构建并测通,CHEMBL221959,UJLAWZDWDVHWOW-YPMHNXCESA-N,C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12,CHEMBL3553,TYK2,STAUROSPORINE,Ki_NO_Kd_RECORD,CHEMBL2155752,CHEMBL2150873,10.1021/jm300438j,HKSZLNNOFSGOKW-FYTWVXJKSA-N__CHEMBL3553,每个靶点另计参考；不计入384候选；不是384次重复采购,UJLAWZDWDVHWOW-YPMHNXCESA-N__CHEMBL3553,CTRL-082,STAUROSPORINE,CHEMBL388978,20260910_FDA_V2,True,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,NDA203214; NDA208246; NDA213082,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=203214; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=208246; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=213082,具有活性的JH1催化域；参考酶学Ki，不适用于仅JH2域。,替换拟用对照；FDA身份与具体活性记录已核对，实验室构建和SPR适用性仍待确认,12062098,Ki,4.39,Inhibition of human recombinant GST-tagged TYK2 using 5-FAM-KKSRGDYMTMQIG as substrate by peptide mobility shift assay,Janus Kinase (JAK),CHEMBL2363062,Janus Kinase (JAK) inhibitor
CTRL-FDA-089,"PIK3CA — Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform",GEDATOLISIB,True,FDA获批药物精确结构已匹配,Kd,FDA药物拟用对照；有选用Kd结合记录；待实验室确认构建并测通,CHEMBL592445,DWZAEMINVBZMHQ-UHFFFAOYSA-N,CN(C)C1CCN(C(=O)c2ccc(NC(=O)Nc3ccc(-c4nc(N5CCOCC5)nc(N5CCOCC5)n4)cc3)cc2)CC1,CHEMBL4005,PIK3CA,WORTMANNIN,Kd_RECORD_PRESENT,CHEMBL4019279,CHEMBL4017506,10.1021/acs.jmedchem.7b00930,QDLHCMPXEPAAMD-QAIWCSMKSA-N__CHEMBL4005,每个靶点另计参考；不计入384候选；不是384次重复采购,DWZAEMINVBZMHQ-UHFFFAOYSA-N__CHEMBL4005,CTRL-089,WORTMANNIN,CHEMBL428496,20260910_FDA_V2,True,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,NDA219908,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=219908,人源PI3Kalpha催化蛋白；参考构建108–1068，核对调节亚基与蛋白状态。,替换拟用对照；FDA身份与具体活性记录已核对，实验室构建和SPR适用性仍待确认,18088186,Kd,1.0,Binding affinity to human PI3Kalpha (R108 to N1068 residues) expressed in mammalian expression system by Kinomescan assay,PI3-kinase class I; Serine/threonine-protein kinase mTOR,CHEMBL2842; CHEMBL3559703,PI3-kinase class I inhibitor; Serine/threonine-protein kinase mTOR inhibitor
CTRL-FDA-092,FGFR2 — Fibroblast growth factor receptor 2,PAZOPANIB,True,FDA获批药物精确结构已匹配,Kd,FDA药物拟用对照；有选用Kd结合记录；待实验室确认构建并测通,CHEMBL477772,CUIHSIWYWATEQL-UHFFFAOYSA-N,Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O,CHEMBL4142,FGFR2,FEXAGRATINIB,Kd_RECORD_PRESENT,CHEMBL1048161,CHEMBL1150977,10.1038/nbt1358,VRQMAABPASPXMW-HDICACEKSA-N__CHEMBL4142,每个靶点另计参考；不计入384候选；不是384次重复采购,CUIHSIWYWATEQL-UHFFFAOYSA-N__CHEMBL4142,CTRL-092,FEXAGRATINIB,CHEMBL3348846,20260910_FDA_V2,True,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,NDA022465,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=022465,包含完整药物结合位点的人源野生型胞内激酶域；不适用于仅胞外结构域，需确认活性构象。,替换拟用对照；FDA身份与具体活性记录已核对，实验室构建和SPR适用性仍待确认,2907166,Kd,210.0,Binding constant for FGFR2 kinase domain,Fibroblast growth factor receptor 1; Fibroblast growth factor receptor 3; Macrophage colony-stimulating factor 1 receptor; Mast/stem cell growth factor receptor Kit; Platelet-derived growth factor receptor; Tyrosine-protein kinase ITK/TSK; Tyrosine-protein kinase Lck; Vascular endothelial growth factor receptor,CHEMBL1844; CHEMBL1936; CHEMBL2095189; CHEMBL2095227; CHEMBL258; CHEMBL2742; CHEMBL2959; CHEMBL3650,Fibroblast growth factor receptor 1 inhibitor; Fibroblast growth factor receptor 3 inhibitor; Macrophage colony stimulating factor receptor inhibitor; Platelet-derived growth factor receptor inhibitor; Stem cell growth factor receptor inhibitor; Tyrosine-protein kinase ITK/TSK inhibitor; Tyrosine-protein kinase LCK inhibitor; Vascular endothelial growth factor receptor inhibitor
