target_chembl_id,gene_symbol,target_compute_class_zh,assay_lane,historical_experimental_evidence,computed_pocket_evidence,evidence_compute_route,wetlab_priority,wetlab_primary_orthogonal_assay_zh,wetlab_control_design_zh,authorization_scope
CHEMBL4223,FRK,激酶,KINASE_BIOCHEMICAL,H1_RICH_POSITIVE_NEGATIVE,P1_P2RANK_FPOCKET_SAME_SITE,R1_DUAL_POCKET_WITH_MEASURED_CONTROLS,W1_IMMEDIATE_CONTROL_AND_BINDING_PANEL,激酶生化活性/结合剂量反应 + NanoBRET或细胞磷酸化正交复核,参考抑制剂、无活性类似物、载体、近缘激酶选择性面板,LOCAL_AND_PREDECLARED_REMOTE_ONLY_AFTER_PREDICTED_POCKET_GATE
CHEMBL1163124,MAP3K13,激酶,KINASE_BIOCHEMICAL,H2_ADEQUATE_POSITIVE_NEGATIVE,P1_P2RANK_FPOCKET_SAME_SITE,R1_DUAL_POCKET_WITH_MEASURED_CONTROLS,W1_IMMEDIATE_CONTROL_AND_BINDING_PANEL,激酶生化活性/结合剂量反应 + NanoBRET或细胞磷酸化正交复核,参考抑制剂、无活性类似物、载体、近缘激酶选择性面板,LOCAL_AND_PREDECLARED_REMOTE_ONLY_AFTER_PREDICTED_POCKET_GATE
CHEMBL3094,MAPKAPK5,激酶,KINASE_BIOCHEMICAL,H2_ADEQUATE_POSITIVE_NEGATIVE,P1_P2RANK_FPOCKET_SAME_SITE,R1_DUAL_POCKET_WITH_MEASURED_CONTROLS,W1_IMMEDIATE_CONTROL_AND_BINDING_PANEL,激酶生化活性/结合剂量反应 + NanoBRET或细胞磷酸化正交复核,参考抑制剂、无活性类似物、载体、近缘激酶选择性面板,LOCAL_AND_PREDECLARED_REMOTE_ONLY_AFTER_PREDICTED_POCKET_GATE
CHEMBL2073,YES1,激酶,KINASE_BIOCHEMICAL,H1_RICH_POSITIVE_NEGATIVE,P1_P2RANK_FPOCKET_SAME_SITE,R1_DUAL_POCKET_WITH_MEASURED_CONTROLS,W1_IMMEDIATE_CONTROL_AND_BINDING_PANEL,激酶生化活性/结合剂量反应 + NanoBRET或细胞磷酸化正交复核,参考抑制剂、无活性类似物、载体、近缘激酶选择性面板,LOCAL_AND_PREDECLARED_REMOTE_ONLY_AFTER_PREDICTED_POCKET_GATE
CHEMBL3310,HDAC11,核内/表观遗传蛋白,NUCLEAR_EPIGENETIC_DOMAIN,H1_RICH_POSITIVE_NEGATIVE,P1_P2RANK_FPOCKET_SAME_SITE,R1_DUAL_POCKET_WITH_MEASURED_CONTROLS,W1_IMMEDIATE_CONTROL_AND_BINDING_PANEL,TR-FRET/AlphaScreen/酶活或共调节因子招募 + NanoBRET/SPR/BLI复核,参考配体、突变结构域、载体、非相关核内蛋白,LOCAL_AND_PREDECLARED_REMOTE_ONLY_AFTER_PREDICTED_POCKET_GATE
CHEMBL2216739,CPT1B,转运体,TRANSPORTER_MEMBRANE_FUNCTIONAL,H1_RICH_POSITIVE_NEGATIVE,P1_P2RANK_FPOCKET_SAME_SITE,R1_DUAL_POCKET_WITH_MEASURED_CONTROLS,W1_IMMEDIATE_CONTROL_AND_BINDING_PANEL,细胞/膜泡摄取或外排剂量反应 + 靶点占有率/竞争结合复核,已知底物/抑制剂、敲除细胞、载体、非相关转运体,LOCAL_AND_PREDECLARED_REMOTE_ONLY_AFTER_PREDICTED_POCKET_GATE
CHEMBL2778,SLC10A2,转运体,TRANSPORTER_MEMBRANE_FUNCTIONAL,H2_ADEQUATE_POSITIVE_NEGATIVE,P1_P2RANK_FPOCKET_SAME_SITE,R1_DUAL_POCKET_WITH_MEASURED_CONTROLS,W1_IMMEDIATE_CONTROL_AND_BINDING_PANEL,细胞/膜泡摄取或外排剂量反应 + 靶点占有率/竞争结合复核,已知底物/抑制剂、敲除细胞、载体、非相关转运体,LOCAL_AND_PREDECLARED_REMOTE_ONLY_AFTER_PREDICTED_POCKET_GATE
CHEMBL2331059,DHCR24,非激酶酶,ENZYME_BIOCHEMICAL,H3_MINIMUM_POSITIVE_NEGATIVE,P1_P2RANK_FPOCKET_SAME_SITE,R1_DUAL_POCKET_WITH_MEASURED_CONTROLS,W2_MINIMUM_CONTROL_AND_POCKET_VALIDATION,纯化酶活性剂量反应 + SPR/BLI/MST或DSF直接结合复核,已知底物/抑制剂、无酶空白、载体、结构相近阴性化合物,LOCAL_AND_PREDECLARED_REMOTE_ONLY_AFTER_PREDICTED_POCKET_GATE
CHEMBL3714029,LOXL2,非激酶酶,ENZYME_BIOCHEMICAL,H3_MINIMUM_POSITIVE_NEGATIVE,P1_P2RANK_FPOCKET_SAME_SITE,R1_DUAL_POCKET_WITH_MEASURED_CONTROLS,W2_MINIMUM_CONTROL_AND_POCKET_VALIDATION,纯化酶活性剂量反应 + SPR/BLI/MST或DSF直接结合复核,已知底物/抑制剂、无酶空白、载体、结构相近阴性化合物,LOCAL_AND_PREDECLARED_REMOTE_ONLY_AFTER_PREDICTED_POCKET_GATE
CHEMBL2873,MAP3K10,激酶,KINASE_BIOCHEMICAL,H3_MINIMUM_POSITIVE_NEGATIVE,P1_P2RANK_FPOCKET_SAME_SITE,R1_DUAL_POCKET_WITH_MEASURED_CONTROLS,W2_MINIMUM_CONTROL_AND_POCKET_VALIDATION,激酶生化活性/结合剂量反应 + NanoBRET或细胞磷酸化正交复核,参考抑制剂、无活性类似物、载体、近缘激酶选择性面板,LOCAL_AND_PREDECLARED_REMOTE_ONLY_AFTER_PREDICTED_POCKET_GATE
CHEMBL1287628,NOX1,转运体,TRANSPORTER_MEMBRANE_FUNCTIONAL,H3_MINIMUM_POSITIVE_NEGATIVE,P1_P2RANK_FPOCKET_SAME_SITE,R1_DUAL_POCKET_WITH_MEASURED_CONTROLS,W2_MINIMUM_CONTROL_AND_POCKET_VALIDATION,细胞/膜泡摄取或外排剂量反应 + 靶点占有率/竞争结合复核,已知底物/抑制剂、敲除细胞、载体、非相关转运体,LOCAL_AND_PREDECLARED_REMOTE_ONLY_AFTER_PREDICTED_POCKET_GATE
CHEMBL4306,KCNA5,离子通道,ION_CHANNEL_FUNCTIONAL,H1_RICH_POSITIVE_NEGATIVE,P2_FPOCKET_GEOMETRIC_RESCUE,R3_GEOMETRIC_RESCUE_WITH_MEASURED_CONTROLS,W2_MINIMUM_CONTROL_AND_POCKET_VALIDATION,自动膜片钳多电压/多状态剂量反应 + 离子通量或位点突变复核,参考阻断剂/激动剂、未表达细胞、载体、电生理质量控制,POCKET_ENSEMBLE_DIAGNOSTIC_UNTIL_REPRODUCED
CHEMBL4523586,TRAF3IP2,非激酶酶,ENZYME_BIOCHEMICAL,H5_SPARSE_OR_NONE,P2_FPOCKET_GEOMETRIC_RESCUE,R4_GEOMETRIC_RESCUE_CONTROL_ACQUISITION,W2_MINIMUM_CONTROL_AND_POCKET_VALIDATION,纯化酶活性剂量反应 + SPR/BLI/MST或DSF直接结合复核,已知底物/抑制剂、无酶空白、载体、结构相近阴性化合物,NO_DISCOVERY_RANKING_YET
CHEMBL1964,KCND3,离子通道,ION_CHANNEL_FUNCTIONAL,H5_SPARSE_OR_NONE,P2_FPOCKET_GEOMETRIC_RESCUE,R4_GEOMETRIC_RESCUE_CONTROL_ACQUISITION,W2_MINIMUM_CONTROL_AND_POCKET_VALIDATION,自动膜片钳多电压/多状态剂量反应 + 离子通量或位点突变复核,参考阻断剂/激动剂、未表达细胞、载体、电生理质量控制,NO_DISCOVERY_RANKING_YET
CHEMBL1914276,KCNJ2,离子通道,ION_CHANNEL_FUNCTIONAL,H5_SPARSE_OR_NONE,P2_FPOCKET_GEOMETRIC_RESCUE,R4_GEOMETRIC_RESCUE_CONTROL_ACQUISITION,W2_MINIMUM_CONTROL_AND_POCKET_VALIDATION,自动膜片钳多电压/多状态剂量反应 + 离子通量或位点突变复核,参考阻断剂/激动剂、未表达细胞、载体、电生理质量控制,NO_DISCOVERY_RANKING_YET
CHEMBL4770,KCNJ8,离子通道,ION_CHANNEL_FUNCTIONAL,H5_SPARSE_OR_NONE,P2_FPOCKET_GEOMETRIC_RESCUE,R4_GEOMETRIC_RESCUE_CONTROL_ACQUISITION,W2_MINIMUM_CONTROL_AND_POCKET_VALIDATION,自动膜片钳多电压/多状态剂量反应 + 离子通量或位点突变复核,参考阻断剂/激动剂、未表达细胞、载体、电生理质量控制,NO_DISCOVERY_RANKING_YET
CHEMBL2331042,KCNK18,离子通道,ION_CHANNEL_FUNCTIONAL,H5_SPARSE_OR_NONE,P2_FPOCKET_GEOMETRIC_RESCUE,R4_GEOMETRIC_RESCUE_CONTROL_ACQUISITION,W2_MINIMUM_CONTROL_AND_POCKET_VALIDATION,自动膜片钳多电压/多状态剂量反应 + 离子通量或位点突变复核,参考阻断剂/激动剂、未表达细胞、载体、电生理质量控制,NO_DISCOVERY_RANKING_YET
CHEMBL1075094,NFE2L2,核内/表观遗传蛋白,NUCLEAR_EPIGENETIC_DOMAIN,H5_SPARSE_OR_NONE,P2_FPOCKET_GEOMETRIC_RESCUE,R4_GEOMETRIC_RESCUE_CONTROL_ACQUISITION,W2_MINIMUM_CONTROL_AND_POCKET_VALIDATION,TR-FRET/AlphaScreen/酶活或共调节因子招募 + NanoBRET/SPR/BLI复核,参考配体、突变结构域、载体、非相关核内蛋白,NO_DISCOVERY_RANKING_YET
CHEMBL2044,ABAT,非激酶酶,ENZYME_BIOCHEMICAL,H5_SPARSE_OR_NONE,P1_P2RANK_FPOCKET_SAME_SITE,R2_DUAL_POCKET_CONTROL_ACQUISITION,W3_CONTROL_OR_STRUCTURE_ACQUISITION,纯化酶活性剂量反应 + SPR/BLI/MST或DSF直接结合复核,已知底物/抑制剂、无酶空白、载体、结构相近阴性化合物,DIAGNOSTIC_LOCAL_ONLY
CHEMBL3172,DPYD,非激酶酶,ENZYME_BIOCHEMICAL,H5_SPARSE_OR_NONE,P1_P2RANK_FPOCKET_SAME_SITE,R2_DUAL_POCKET_CONTROL_ACQUISITION,W3_CONTROL_OR_STRUCTURE_ACQUISITION,纯化酶活性剂量反应 + SPR/BLI/MST或DSF直接结合复核,已知底物/抑制剂、无酶空白、载体、结构相近阴性化合物,DIAGNOSTIC_LOCAL_ONLY
CHEMBL5705,EGLN3,非激酶酶,ENZYME_BIOCHEMICAL,H4_POSITIVE_ONLY,P1_P2RANK_FPOCKET_SAME_SITE,R2_DUAL_POCKET_CONTROL_ACQUISITION,W3_CONTROL_OR_STRUCTURE_ACQUISITION,纯化酶活性剂量反应 + SPR/BLI/MST或DSF直接结合复核,已知底物/抑制剂、无酶空白、载体、结构相近阴性化合物,DIAGNOSTIC_LOCAL_ONLY
CHEMBL3391681,GPD2,非激酶酶,ENZYME_BIOCHEMICAL,H5_SPARSE_OR_NONE,P1_P2RANK_FPOCKET_SAME_SITE,R2_DUAL_POCKET_CONTROL_ACQUISITION,W3_CONTROL_OR_STRUCTURE_ACQUISITION,纯化酶活性剂量反应 + SPR/BLI/MST或DSF直接结合复核,已知底物/抑制剂、无酶空白、载体、结构相近阴性化合物,DIAGNOSTIC_LOCAL_ONLY
CHEMBL3670,HSD3B2,非激酶酶,ENZYME_BIOCHEMICAL,H5_SPARSE_OR_NONE,P1_P2RANK_FPOCKET_SAME_SITE,R2_DUAL_POCKET_CONTROL_ACQUISITION,W3_CONTROL_OR_STRUCTURE_ACQUISITION,纯化酶活性剂量反应 + SPR/BLI/MST或DSF直接结合复核,已知底物/抑制剂、无酶空白、载体、结构相近阴性化合物,DIAGNOSTIC_LOCAL_ONLY
CHEMBL1641353,POLR2A,非激酶酶,ENZYME_BIOCHEMICAL,H5_SPARSE_OR_NONE,P1_P2RANK_FPOCKET_SAME_SITE,R2_DUAL_POCKET_CONTROL_ACQUISITION,W3_CONTROL_OR_STRUCTURE_ACQUISITION,纯化酶活性剂量反应 + SPR/BLI/MST或DSF直接结合复核,已知底物/抑制剂、无酶空白、载体、结构相近阴性化合物,DIAGNOSTIC_LOCAL_ONLY
CHEMBL4665582,POLR3A,非激酶酶,ENZYME_BIOCHEMICAL,H5_SPARSE_OR_NONE,P1_P2RANK_FPOCKET_SAME_SITE,R2_DUAL_POCKET_CONTROL_ACQUISITION,W3_CONTROL_OR_STRUCTURE_ACQUISITION,纯化酶活性剂量反应 + SPR/BLI/MST或DSF直接结合复核,已知底物/抑制剂、无酶空白、载体、结构相近阴性化合物,DIAGNOSTIC_LOCAL_ONLY
CHEMBL2435,PPP2CB,非激酶酶,ENZYME_BIOCHEMICAL,H5_SPARSE_OR_NONE,P1_P2RANK_FPOCKET_SAME_SITE,R2_DUAL_POCKET_CONTROL_ACQUISITION,W3_CONTROL_OR_STRUCTURE_ACQUISITION,纯化酶活性剂量反应 + SPR/BLI/MST或DSF直接结合复核,已知底物/抑制剂、无酶空白、载体、结构相近阴性化合物,DIAGNOSTIC_LOCAL_ONLY
CHEMBL3831182,RPE65,非激酶酶,ENZYME_BIOCHEMICAL,H5_SPARSE_OR_NONE,P1_P2RANK_FPOCKET_SAME_SITE,R2_DUAL_POCKET_CONTROL_ACQUISITION,W3_CONTROL_OR_STRUCTURE_ACQUISITION,纯化酶活性剂量反应 + SPR/BLI/MST或DSF直接结合复核,已知底物/抑制剂、无酶空白、载体、结构相近阴性化合物,DIAGNOSTIC_LOCAL_ONLY
CHEMBL1839,TPO,非激酶酶,ENZYME_BIOCHEMICAL,H5_SPARSE_OR_NONE,P1_P2RANK_FPOCKET_SAME_SITE,R2_DUAL_POCKET_CONTROL_ACQUISITION,W3_CONTROL_OR_STRUCTURE_ACQUISITION,纯化酶活性剂量反应 + SPR/BLI/MST或DSF直接结合复核,已知底物/抑制剂、无酶空白、载体、结构相近阴性化合物,DIAGNOSTIC_LOCAL_ONLY
CHEMBL5167,SCN11A,离子通道,ION_CHANNEL_FUNCTIONAL,H5_SPARSE_OR_NONE,P1_P2RANK_FPOCKET_SAME_SITE,R2_DUAL_POCKET_CONTROL_ACQUISITION,W3_CONTROL_OR_STRUCTURE_ACQUISITION,自动膜片钳多电压/多状态剂量反应 + 离子通量或位点突变复核,参考阻断剂/激动剂、未表达细胞、载体、电生理质量控制,DIAGNOSTIC_LOCAL_ONLY
CHEMBL3896,CACNA2D2,转运体,TRANSPORTER_MEMBRANE_FUNCTIONAL,H5_SPARSE_OR_NONE,P1_P2RANK_FPOCKET_SAME_SITE,R2_DUAL_POCKET_CONTROL_ACQUISITION,W3_CONTROL_OR_STRUCTURE_ACQUISITION,细胞/膜泡摄取或外排剂量反应 + 靶点占有率/竞争结合复核,已知底物/抑制剂、敲除细胞、载体、非相关转运体,DIAGNOSTIC_LOCAL_ONLY
CHEMBL1874,SLC12A1,转运体,TRANSPORTER_MEMBRANE_FUNCTIONAL,H5_SPARSE_OR_NONE,P1_P2RANK_FPOCKET_SAME_SITE,R2_DUAL_POCKET_CONTROL_ACQUISITION,W3_CONTROL_OR_STRUCTURE_ACQUISITION,细胞/膜泡摄取或外排剂量反应 + 靶点占有率/竞争结合复核,已知底物/抑制剂、敲除细胞、载体、非相关转运体,DIAGNOSTIC_LOCAL_ONLY
CHEMBL1641348,SLC22A8,转运体,TRANSPORTER_MEMBRANE_FUNCTIONAL,H5_SPARSE_OR_NONE,P1_P2RANK_FPOCKET_SAME_SITE,R2_DUAL_POCKET_CONTROL_ACQUISITION,W3_CONTROL_OR_STRUCTURE_ACQUISITION,细胞/膜泡摄取或外排剂量反应 + 靶点占有率/竞争结合复核,已知底物/抑制剂、敲除细胞、载体、非相关转运体,DIAGNOSTIC_LOCAL_ONLY
CHEMBL2019,DIO1,非激酶酶,ENZYME_BIOCHEMICAL,H5_SPARSE_OR_NONE,P3_LOW_CONFIDENCE_FRAGMENT_HYPOTHESIS,R5_LOW_CONFIDENCE_STRUCTURE_FIRST,W3_CONTROL_OR_STRUCTURE_ACQUISITION,纯化酶活性剂量反应 + SPR/BLI/MST或DSF直接结合复核,已知底物/抑制剂、无酶空白、载体、结构相近阴性化合物,NO_PAIR_PROMOTION_FROM_LOW_CONFIDENCE_FRAGMENT_MODEL
CHEMBL1846,RYR1,离子通道,ION_CHANNEL_FUNCTIONAL,H5_SPARSE_OR_NONE,P3_LOW_CONFIDENCE_FRAGMENT_HYPOTHESIS,R5_LOW_CONFIDENCE_STRUCTURE_FIRST,W3_CONTROL_OR_STRUCTURE_ACQUISITION,自动膜片钳多电压/多状态剂量反应 + 离子通量或位点突变复核,参考阻断剂/激动剂、未表达细胞、载体、电生理质量控制,NO_PAIR_PROMOTION_FROM_LOW_CONFIDENCE_FRAGMENT_MODEL
