drug_names,origin_areas,origin_summary,origin_status,source_urls,scope_limits
cabotegravir,INFECTION,HIV暴露前预防及特定已抑制患者联合rilpivirine短期治疗/注射前导或桥接,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=4338428e-43d4-4e02-ac9d-bd98e738a7da;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=66d450fb-cca4-476c-b0c7-c0730e3e4cf3,已逐药阅读所抓indications；抓取上限/制剂/地区差异使本表不是完整全球获批历史。疾病领域是人工保守归类；不含副作用及明确不适用项。
carbinoxamine,IMMUNE_INFLAMMATORY;EYE_ENT;DERMATOLOGIC,过敏性/血管运动性鼻炎、过敏结膜炎、荨麻疹/血管水肿/皮肤划痕；过敏反应和输血过敏辅助,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=199f46e5-6288-5627-e063-6294a90ae086;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=c40b3f4e-2d71-41a1-a1fc-f64f38724879;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=163db29b-f035-6696-e063-6294a90a7e06;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=14266e97-674b-b6a9-37a2-a955f0a01c4f,已逐药阅读所抓indications；抓取上限/制剂/地区差异使本表不是完整全球获批历史。疾病领域是人工保守归类；不含副作用及明确不适用项。
choline fenofibrate;fenofibrate,ENDOCRINE_METABOLIC_REPRODUCTIVE,高胆固醇/混合血脂异常和重度高甘油三酯血症,EXTERNAL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=84b2af1b-365e-4723-ac5f-bc826ec47772,已逐药阅读所抓indications；抓取上限/制剂/地区差异使本表不是完整全球获批历史。疾病领域是人工保守归类；不含副作用及明确不适用项。合并名可能混入fenofibric acid胆碱盐和fenofibrate酯；仅原用途领域可判定，精确试验物种另核。
clobazam,NEURO_PSYCHIATRIC,Lennox-Gastaut综合征相关癫痫辅助,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=fd1e63bf-496c-427c-83b7-6acabc00a5e5;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=07e0ae51-cc71-427f-83cb-311b7fcc5993;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=6783eaa8-e236-4957-aaa9-b42bf8e709a7;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=721dde68-db83-4dad-8649-8046cb455372,已逐药阅读所抓indications；抓取上限/制剂/地区差异使本表不是完整全球获批历史。疾病领域是人工保守归类；不含副作用及明确不适用项。
colchicine,ENDOCRINE_METABOLIC_REPRODUCTIVE;MUSCULOSKELETAL_CONNECTIVE;IMMUNE_INFLAMMATORY;CARDIOVASCULAR,痛风发作预防/治疗、家族性地中海热；LODOCO心脑血管事件及死亡风险降低,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=5a0b4246-e7dd-29e5-e063-6294a90a2871;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=ac12e420-9f29-018e-e053-2a95a90ab612;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=ff06d68f-d65f-d097-e053-6294a90a7e5f;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=5c1ceff7-8f00-48cc-8ea4-678106455ff1,已逐药阅读所抓indications；抓取上限/制剂/地区差异使本表不是完整全球获批历史。疾病领域是人工保守归类；不含副作用及明确不适用项。
crisaborole,DERMATOLOGIC;IMMUNE_INFLAMMATORY,轻中度特应性皮炎局部治疗,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=609b77de-1ca3-4783-b8f5-01a9c0f1d77d,已逐药阅读所抓indications；抓取上限/制剂/地区差异使本表不是完整全球获批历史。疾病领域是人工保守归类；不含副作用及明确不适用项。
darunavir,INFECTION,与ritonavir及其他抗逆转录病毒药合用治疗HIV,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=e80e44f8-1987-4b78-a63d-a4e4d5122ddb;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=42cc1b58-2660-f0be-e063-6394a90abe4c;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=56daf67e-7501-4cd5-be22-566d7997d42e;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=814301f9-c990-46a5-b481-2879a521a16f,已逐药阅读所抓indications；抓取上限/制剂/地区差异使本表不是完整全球获批历史。疾病领域是人工保守归类；不含副作用及明确不适用项。
desoximetasone,DERMATOLOGIC;IMMUNE_INFLAMMATORY,糖皮质激素敏感皮肤病炎症/瘙痒,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=827aee22-cf48-477c-8791-c74f16da954d;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=c84c7168-3d46-4e05-a25c-3d594ff94268;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=54743c9d-badd-47ce-bf86-6a8c398f7f07;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=fdee36f3-7630-4298-ab7c-f5f8ff7c4c04,已逐药阅读所抓indications；抓取上限/制剂/地区差异使本表不是完整全球获批历史。疾病领域是人工保守归类；不含副作用及明确不适用项。
deutivacaftor;ivacaftor,RESPIRATORY,符合CFTR变异条件的囊性纤维化；deutivacaftor为ALYFTREK复方成分，ivacaftor另有单药KALYDECO,EXTERNAL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=7e635909-c6fd-4f0d-ae77-cdff03653a20;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=0ab0c9f8-3eee-4e0f-9f3f-c1e16aaffe25,已逐药阅读所抓indications；抓取上限/制剂/地区差异使本表不是完整全球获批历史。疾病领域是人工保守归类；不含副作用及明确不适用项。氘代体与非氘代体不可自动合一；仅两者囊性纤维化原领域均明确。
dextromethorphan,RESPIRATORY;NEURO_PSYCHIATRIC,单药镇咳；与quinidine复方治疗假性延髓情感；与bupropion复方治疗MDD及AD痴呆相关激越,EXTERNAL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=47b713bd-4c1e-f44a-e063-6294a90a63d3;https://dailymed.nlm.nih.gov/dailymed/fda/fdaDrugXsl.cfm?setid=dcefda7c-9a68-278e-e053-2995a90aec79;https://dailymed.nlm.nih.gov/dailymed/fda/fdaDrugXsl.cfm?setid=484e0918-3442-49dc-8ccf-177f1f3ee9f3,已逐药阅读所抓indications；抓取上限/制剂/地区差异使本表不是完整全球获批历史。疾病领域是人工保守归类；不含副作用及明确不适用项。区分OTC单药与神经复方；复方适应症不等于单药获批。
diltiazem,CARDIOVASCULAR,高血压、慢性稳定/冠痉挛心绞痛；注射用于房颤/房扑心率控制及PSVT转复,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=5a0f67ad-17d8-a3f4-e063-6394a90afb32;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=fc02db0f-5311-4b61-896e-bfe340832735;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=59464700-f7f1-6ab0-e063-6394a90aa778;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=c567fe7e-887e-4291-a0d1-2dd3f25cbf25,已逐药阅读所抓indications；抓取上限/制剂/地区差异使本表不是完整全球获批历史。疾病领域是人工保守归类；不含副作用及明确不适用项。
donepezil,NEURO_PSYCHIATRIC,轻中重度阿尔茨海默型痴呆,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=0516d548-db9b-410a-aec9-79aedbc3f6e9;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=a085ed33-c262-44ab-e053-2a95a90a5557;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=c942a4c9-dbe5-4131-bb6c-aa2d31b387e7;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=8138f616-83f3-4c47-84ef-1bce2db339f7,已逐药阅读所抓indications；抓取上限/制剂/地区差异使本表不是完整全球获批历史。疾病领域是人工保守归类；不含副作用及明确不适用项。
dronabinol,GASTROINTESTINAL;ONCOLOGY;INFECTION,AIDS相关厌食体重下降及难治化疗恶心呕吐的支持治疗；不治疗HIV或癌症本体,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=fd8c5d57-0173-4f62-8ff0-d8147986a976;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=adb1801c-0fb5-4e16-b969-1db91230e0b9;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=a7801c70-995d-46a2-91ee-141ef427c6b5;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=66f36fe0-9808-4b73-a99a-794d86ff0c1c,已逐药阅读所抓indications；抓取上限/制剂/地区差异使本表不是完整全球获批历史。疾病领域是人工保守归类；不含副作用及明确不适用项。ONCOLOGY/INFECTION仅支持治疗场景，不是癌症/病毒病直接治疗。
duvelisib,ONCOLOGY,经至少两线治疗的复发难治CLL/SLL；不将标签明确不推荐的一/二线计入,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=e3c5ac56-e1f6-473a-bc73-687836534780,已逐药阅读所抓indications；抓取上限/制剂/地区差异使本表不是完整全球获批历史。疾病领域是人工保守归类；不含副作用及明确不适用项。
elexacaftor,RESPIRATORY,TRIKAFTA复方治疗符合CFTR条件的囊性纤维化,EXTERNAL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/fda/fdaDrugXsl.cfm?setid=f354423a-85c2-41c3-a9db-0f3aee135d8d&type=display,已逐药阅读所抓indications；抓取上限/制剂/地区差异使本表不是完整全球获批历史。疾病领域是人工保守归类；不含副作用及明确不适用项。仅复方成分；不能声称单药获批治疗CF。
enasidenib,ONCOLOGY,IDH2突变复发难治AML,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=a5b4cdf0-3fa8-4c6c-80f6-8d8a00e3a5b6,已逐药阅读所抓indications；抓取上限/制剂/地区差异使本表不是完整全球获批历史。疾病领域是人工保守归类；不含副作用及明确不适用项。
esketamine,NEURO_PSYCHIATRIC,难治抑郁及伴急性自杀意念/行为的MDD抑郁症状；不是已证实自杀预防，也非标签麻醉,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=d81a6a79-a74a-44b7-822c-0dfa3036eaed,已逐药阅读所抓indications；抓取上限/制剂/地区差异使本表不是完整全球获批历史。疾病领域是人工保守归类；不含副作用及明确不适用项。
etravirine,INFECTION,经治HIV患者联合抗逆转录病毒治疗,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=ea3856f6-fedf-ee88-e053-2a95a90a33ce;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=458bb39e-2e87-b4b4-e063-6394a90ae867;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=4e009f19-4609-4020-bee1-dc27c504046c;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=50ca19cb-0f43-4d7b-8c9e-8b3aaded0546,已逐药阅读所抓indications；抓取上限/制剂/地区差异使本表不是完整全球获批历史。疾病领域是人工保守归类；不含副作用及明确不适用项。
flunisolide,EYE_ENT;RESPIRATORY;IMMUNE_INFLAMMATORY,季节/常年鼻炎鼻部症状；AEROSPAN历史标签哮喘维持及减少口服激素需求,EXTERNAL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=50d87523-e1fb-4342-825f-9dba972c6a25;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=f39cae46-c68f-47ef-82f3-4fd3dd46c74c;https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/021247s017lbl.pdf,已逐药阅读所抓indications；抓取上限/制剂/地区差异使本表不是完整全球获批历史。疾病领域是人工保守归类；不含副作用及明确不适用项。补核历史吸入哮喘标签，未声明当前销售状态。
furosemide,CARDIOVASCULAR;RENAL_URINARY;GASTROINTESTINAL;RESPIRATORY,心衰/肝硬化/肾病相关水肿、高血压；急性肺水肿辅助，非各器官原病通用治疗,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=dba00759-87b4-4ecf-998e-ba03ed3d2f1a;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=58cc1e38-6000-1489-e063-6394a90a5978;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=7cdcd001-ab4b-4210-a455-2e17a7bc4972;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=3d312ab0-589c-427b-84da-18887244bfc9,已逐药阅读所抓indications；抓取上限/制剂/地区差异使本表不是完整全球获批历史。疾病领域是人工保守归类；不含副作用及明确不适用项。
gepirone,NEURO_PSYCHIATRIC,成人MDD,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=0c78edd8-6acb-433c-9d34-2527da8d64e1,已逐药阅读所抓indications；抓取上限/制剂/地区差异使本表不是完整全球获批历史。疾病领域是人工保守归类；不含副作用及明确不适用项。
glimepiride,ENDOCRINE_METABOLIC_REPRODUCTIVE,成人2型糖尿病血糖控制；不包括1型及酮症酸中毒,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=fc9d8495-184c-3af1-e053-6394a90a5e29;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=9e863f84-d6f2-4d61-8250-774569e84353;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=cc2bc07f-3fab-4df1-85cc-dc0c8e60b4fa;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=744a5cca-7863-491a-b43a-1b649791702c,已逐药阅读所抓indications；抓取上限/制剂/地区差异使本表不是完整全球获批历史。疾病领域是人工保守归类；不含副作用及明确不适用项。
hydroxychloroquine,INFECTION;IMMUNE_INFLAMMATORY;MUSCULOSKELETAL_CONNECTIVE;DERMATOLOGIC,敏感疟原虫疟疾治疗/预防；类风湿关节炎、系统性及盘状红斑狼疮,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=ebe00e35-ed3d-40f4-9a93-a37b0da01ddb;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=da435181-0c5a-4188-8d59-51234116b005;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=68d6439d-b927-47e6-86ef-20e572e81941;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=6971241c-8323-456e-91a4-a404a9e100de,已逐药阅读所抓indications；抓取上限/制剂/地区差异使本表不是完整全球获批历史。疾病领域是人工保守归类；不含副作用及明确不适用项。
imipenem,INFECTION,与cilastatin合用治疗敏感菌严重感染,EXTERNAL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=f41d8abd-7792-4918-1b93-bd83ea01955e,已逐药阅读所抓indications；抓取上限/制剂/地区差异使本表不是完整全球获批历史。疾病领域是人工保守归类；不含副作用及明确不适用项。cilastatin复方，不能将协同给药要求删除。
indapamide,CARDIOVASCULAR,高血压、充血心衰盐水潴留；不把正常妊娠水肿/子痫预防记作常规用途,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=59cd3331-7afe-432a-8b50-39533fd5f392;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=25b5bb79-400d-e266-e063-6394a90abfd8;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=0687ed93-4761-4f9c-887d-95309c03f60e,已逐药阅读所抓indications；抓取上限/制剂/地区差异使本表不是完整全球获批历史。疾病领域是人工保守归类；不含副作用及明确不适用项。
ivosidenib,ONCOLOGY,特定IDH1突变AML、MDS及经治胆管癌,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=65d254c0-67ad-42c4-b972-ad463b755b2d,已逐药阅读所抓indications；抓取上限/制剂/地区差异使本表不是完整全球获批历史。疾病领域是人工保守归类；不含副作用及明确不适用项。
labetalol,CARDIOVASCULAR,高血压/严重高血压控制；风险管理中的糖尿病等不是本药适应症,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=e2e50571-d8c1-43e7-b90f-877ba1c35c9b;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=5954cc5c-3e73-e039-e063-6394a90a7d6a;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=abfc6b75-1ed5-41f1-0484-4597488237bc;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=30281c4d-2fd1-167a-e063-6294a90a77c4,已逐药阅读所抓indications；抓取上限/制剂/地区差异使本表不是完整全球获批历史。疾病领域是人工保守归类；不含副作用及明确不适用项。
larotrectinib,ONCOLOGY,符合NTRK融合及晚期/手术代价等条件的实体瘤，不按器官拆跨类,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=0c8ca614-58b2-4aa4-83d3-0387a8f782fd;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=9525f887-a055-4e33-8e92-898d42828cd1,已逐药阅读所抓indications；抓取上限/制剂/地区差异使本表不是完整全球获批历史。疾病领域是人工保守归类；不含副作用及明确不适用项。
lesinurad,ENDOCRINE_METABOLIC_REPRODUCTIVE;MUSCULOSKELETAL_CONNECTIVE,与黄嘌呤氧化酶抑制剂联合治疗未达标的痛风高尿酸血症,EXTERNAL_REVIEWED,https://www.accessdata.fda.gov/drugsatfda_docs/label/2015/207988lbl.pdf,已逐药阅读所抓indications；抓取上限/制剂/地区差异使本表不是完整全球获批历史。疾病领域是人工保守归类；不含副作用及明确不适用项。历史2015获批用途；未据此断言现仍在售。
lidocaine,NEURO_PSYCHIATRIC;CARDIOVASCULAR,局部/区域/黏膜麻醉及局部镇痛；静脉用于急性室性心律失常,EXTERNAL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=6f8d20d2-6a91-4a5b-bfe8-f1baada38442;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=1986c302-82a0-95a9-e063-6294a90a3339;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=9920daef-b156-4a14-b641-f714191ffb5c;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=dfef4554-aeb4-4bdf-9557-648d3e84af3c;https://dailymed.nlm.nih.gov/dailymed/fda/fdaDrugXsl.cfm?setid=6947af02-f4e0-7f9c-e053-2a91aa0a45cd,已逐药阅读所抓indications；抓取上限/制剂/地区差异使本表不是完整全球获批历史。疾病领域是人工保守归类；不含副作用及明确不适用项。
lisinopril,CARDIOVASCULAR,高血压、收缩性心衰辅助、急性心梗降低死亡；卒中风险降低属CV收益,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=34bb4602-ccff-4939-91b9-26a63bfd40f7;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=0e6364a4-6d66-4151-8197-d45e2a762895;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=6051cc96-86e0-bd0b-e053-2a91aa0a5dcf;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=42f49299-7ae5-4d30-86eb-66b739c0e95d,已逐药阅读所抓indications；抓取上限/制剂/地区差异使本表不是完整全球获批历史。疾病领域是人工保守归类；不含副作用及明确不适用项。
