drug_names,origin_areas,origin_summary,origin_status,source_urls,scope_limits,origin_scope_note
clozapine,NEURO_PSYCHIATRIC,其他标准抗精神病治疗失败的重症精神分裂症；精神分裂症/分裂情感障碍反复自杀行为风险降低,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=2592c9a8-fd74-4e0d-a895-b07b014cf355;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=61fe53d5-ed5c-4e45-9189-709d08d386cb;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=7c748f8a-73ce-4bd3-aa30-9c66657f06ec;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=883b5d43-0339-7dc1-f775-93791fb9b978,仅审核本次抓取的美国标签适应证片段；不是完整历史/全球获批登记。摘要保留主要用途，详细年龄、剂型、基因、既往治疗及联合/排除条件以输入原文为准；未将不良反应或机制当适应证。,Reviewed retrieved official-label/regulatory material; not a complete worldwide approval registry; formulation/combination/historical limits retained.
conivaptan,ENDOCRINE_METABOLIC_REPRODUCTIVE;RENAL_URINARY,VAPRISOL 静脉用：住院等容量或高容量低钠血症患者提高血清钠；总连续输注不超过4天,EXTERNAL_REVIEWED,https://www.accessdata.fda.gov/drugsatfda_docs/label/2016/021697s005lbl.pdf,逐项核对所列官方标签/监管原文；EXTERNAL_REVIEWED 表示完成该来源审核，不代表穷尽全球/历史批准或核实当前商业供应。未把副作用、机制或禁忌证当适应证。 FDA 2016 标签；明确未获批治疗心衰症状/体征，提高血钠的症状获益未确立；不能把合并心衰当心衰治疗原适应证。当前供应未核。,Reviewed retrieved official-label/regulatory material; not a complete worldwide approval registry; formulation/combination/historical limits retained.
cyclobenzaprine,MUSCULOSKELETAL_CONNECTIVE,急性疼痛肌骨病肌痉挛的休息/理疗辅助；限2–3周；不将脑脊髓病痉挛或儿童脑瘫当用途,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=34e57aff-dc4b-4631-9d57-31020244835d;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=37056cab-953e-43ba-9b4c-163a739a52f7;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=30e61110-5bc8-4134-8456-538558479735;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=ba659e1a-0091-45f6-b418-f4f36c9a2c79,仅审核本次抓取的美国标签适应证片段；不是完整历史/全球获批登记。摘要保留主要用途，详细年龄、剂型、基因、既往治疗及联合/排除条件以输入原文为准；未将不良反应或机制当适应证。,Reviewed retrieved official-label/regulatory material; not a complete worldwide approval registry; formulation/combination/historical limits retained.
dasabuvir,INFECTION,Exviera 原欧盟成人慢性丙肝治疗，须与其他药物联合，具体 HCV 基因型及肝病状态按原产品信息,EXTERNAL_REVIEWED,https://www.ema.europa.eu/en/medicines/human/EPAR/exviera|https://www.ema.europa.eu/en/documents/public-statement/public-statement-exviera-withdrawal-marketing-authorisation-european-union_en.pdf,逐项核对所列官方标签/监管原文；EXTERNAL_REVIEWED 表示完成该来源审核，不代表穷尽全球/历史批准或核实当前商业供应。未把副作用、机制或禁忌证当适应证。 HISTORICAL_EU_WITHDRAWN：欧盟授权于 2024-09-25 撤回；保留既有抗 HCV 用途背景，不表示现行单药批准或当前美国供应。,Reviewed retrieved official-label/regulatory material; not a complete worldwide approval registry; formulation/combination/historical limits retained.
desvenlafaxine,NEURO_PSYCHIATRIC,成人重度抑郁障碍,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=ff837eb1-24c3-4c63-9b4b-c6b5935a9b47;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=25bdfc41-c7cb-4d16-b6a8-f102f9b8c984;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=56c9e8ee-1460-4a4c-8033-65d9afb358c8;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=1d8889c9-9403-4b4b-8abd-7dc9a9fc1816,仅审核本次抓取的美国标签适应证片段；不是完整历史/全球获批登记。摘要保留主要用途，详细年龄、剂型、基因、既往治疗及联合/排除条件以输入原文为准；未将不良反应或机制当适应证。,Reviewed retrieved official-label/regulatory material; not a complete worldwide approval registry; formulation/combination/historical limits retained.
dexmethylphenidate;serdexmethylphenidate,NEURO_PSYCHIATRIC,模型实体 dexmethylphenidate：成人及≥6岁儿童 ADHD 治疗；所核口服长效胶囊,EXTERNAL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=4ed9f3c8-c71f-499e-bb91-c19847bf4444,逐项核对所列官方标签/监管原文；EXTERNAL_REVIEWED 表示完成该来源审核，不代表穷尽全球/历史批准或核实当前商业供应。未把副作用、机制或禁忌证当适应证。 全结构键核定模型为 dexmethylphenidate，不是 serdexmethylphenidate 前药；不将 AZSTARYS 复方等同当前单分子。,Reviewed retrieved official-label/regulatory material; not a complete worldwide approval registry; formulation/combination/historical limits retained.
diazepam,NEURO_PSYCHIATRIC;MUSCULOSKELETAL_CONNECTIVE,焦虑短期缓解、急性酒精戒断症状、肌痉挛/痉挛状态辅助、癫痫辅助及注射剂癫痫持续状态/操作镇静与术前用药；口服非唯一抗惊厥疗法,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=ba953b22-f0cd-4be5-9e0e-178bded88727;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=260e2041-2bb3-482f-850e-b5d47a7bdbe6;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=c57af2a2-aa9a-4dac-a200-e0d845005d05;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=b4a045e4-d6ce-475d-abe4-590941bd3815,仅审核本次抓取的美国标签适应证片段；不是完整历史/全球获批登记。摘要保留主要用途，详细年龄、剂型、基因、既往治疗及联合/排除条件以输入原文为准；未将不良反应或机制当适应证。,Reviewed retrieved official-label/regulatory material; not a complete worldwide approval registry; formulation/combination/historical limits retained.
dimethyl fumarate,NEURO_PSYCHIATRIC;IMMUNE_INFLAMMATORY,成人复发型MS含临床孤立综合征、复发缓解及活动继发进展,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=5361d5c6-c3eb-88e6-e063-6294a90ac08c;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=b8e5184d-5d1d-0a89-e053-2995a90a2d6d;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=b4a200c1-f25a-4aa8-8770-06182fdeda9d;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=b00dcf89-59d3-9ab2-fd9b-16b9ec2d677b,仅审核本次抓取的美国标签适应证片段；不是完整历史/全球获批登记。摘要保留主要用途，详细年龄、剂型、基因、既往治疗及联合/排除条件以输入原文为准；未将不良反应或机制当适应证。,Reviewed retrieved official-label/regulatory material; not a complete worldwide approval registry; formulation/combination/historical limits retained.
doravirine,INFECTION,联合抗逆转录病毒治疗HIV1；初治或稳定病毒抑制后符合无失败/耐药条件的替换；≥35kg,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=ff06e5cc-f47a-4779-816b-0e5b13e88a25,仅审核本次抓取的美国标签适应证片段；不是完整历史/全球获批登记。摘要保留主要用途，详细年龄、剂型、基因、既往治疗及联合/排除条件以输入原文为准；未将不良反应或机制当适应证。,Reviewed retrieved official-label/regulatory material; not a complete worldwide approval registry; formulation/combination/historical limits retained.
droxidopa;norepinephrine,CARDIOVASCULAR,模型实体 norepinephrine：成人严重急性低血压时静脉升压,EXTERNAL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=4b054c27-ed64-40e2-8eba-b7f2ec780a82,逐项核对所列官方标签/监管原文；EXTERNAL_REVIEWED 表示完成该来源审核，不代表穷尽全球/历史批准或核实当前商业供应。未把副作用、机制或禁忌证当适应证。 全结构键核定模型为 norepinephrine，不是口服前药 droxidopa；不继承 droxidopa 神经源性体位性低血压适应证，也不据前药适应证添加 NEURO_PSYCHIATRIC。,Reviewed retrieved official-label/regulatory material; not a complete worldwide approval registry; formulation/combination/historical limits retained.
edoxaban,CARDIOVASCULAR;HEMATOLOGIC,NVAF卒中/系统栓塞风险降低；注射抗凝5–10天后DVT/PE治疗；NVAF的CrCL>95限制,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=e77d3400-56ad-11e3-949a-0800200c9a66,仅审核本次抓取的美国标签适应证片段；不是完整历史/全球获批登记。摘要保留主要用途，详细年龄、剂型、基因、既往治疗及联合/排除条件以输入原文为准；未将不良反应或机制当适应证。,Reviewed retrieved official-label/regulatory material; not a complete worldwide approval registry; formulation/combination/historical limits retained.
eltrombopag,HEMATOLOGIC;IMMUNE_INFLAMMATORY,既往治疗不足的持续/慢性ITP；HCV相关血小板减少以支持干扰素疗法；重度再障一线联合IST或IST反应不足；非MDS，非直接抗病毒,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=9af1e314-91ca-4ebc-ac12-f9fddc6d7902;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=52ba8e06-aa7d-caa6-e063-6294a90a5ce5;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=4af8f855-f710-e96f-e063-6294a90abb46;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=20e91f76-06a8-4ab7-86c7-1df29850b5bd,仅审核本次抓取的美国标签适应证片段；不是完整历史/全球获批登记。摘要保留主要用途，详细年龄、剂型、基因、既往治疗及联合/排除条件以输入原文为准；未将不良反应或机制当适应证。,Reviewed retrieved official-label/regulatory material; not a complete worldwide approval registry; formulation/combination/historical limits retained.
enzalutamide,ONCOLOGY,去势抵抗、转移去势敏感及高转移风险生化复发非转移去势敏感前列腺癌,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=b129fdc9-1d8e-425c-a5a9-8a2ed36dfbdf,仅审核本次抓取的美国标签适应证片段；不是完整历史/全球获批登记。摘要保留主要用途，详细年龄、剂型、基因、既往治疗及联合/排除条件以输入原文为准；未将不良反应或机制当适应证。,Reviewed retrieved official-label/regulatory material; not a complete worldwide approval registry; formulation/combination/historical limits retained.
esmolol,CARDIOVASCULAR,短期室上速含房颤/房扑心室率控制、非代偿窦速及围手术期心动过速/高血压控制,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=01ad7942-99c3-40ee-9cfb-272fb6c44e2b;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=3853a26d-782d-f4e7-e063-6294a90a6e47;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=38a8b23a-fca8-45f4-a09a-9c8b21f522cd;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=9c1e3a64-0ef0-4071-ad6f-63ff8789b198,仅审核本次抓取的美国标签适应证片段；不是完整历史/全球获批登记。摘要保留主要用途，详细年龄、剂型、基因、既往治疗及联合/排除条件以输入原文为准；未将不良反应或机制当适应证。,Reviewed retrieved official-label/regulatory material; not a complete worldwide approval registry; formulation/combination/historical limits retained.
fentanyl,NEURO_PSYCHIATRIC,注射剂麻醉期/术后短时镇痛及麻醉辅助；贴剂限阿片耐受者严重持续疼痛、替代不足且非PRN；不将手术器官当原疾病,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=bfa8018a-4cbc-434b-e09e-782872b0340a;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=e15a7e9b-8025-49dd-9a6d-bafcccf1959f;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=73897c38-e4ec-40bc-9f41-3359ee23a5a8;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=bf02ffd0-cc5d-446b-b648-378f6885052f,仅审核本次抓取的美国标签适应证片段；不是完整历史/全球获批登记。摘要保留主要用途，详细年龄、剂型、基因、既往治疗及联合/排除条件以输入原文为准；未将不良反应或机制当适应证。,Reviewed retrieved official-label/regulatory material; not a complete worldwide approval registry; formulation/combination/historical limits retained.
fluocinonide,DERMATOLOGIC;IMMUNE_INFLAMMATORY,皮质激素反应性皮肤病炎症与瘙痒缓解,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=9bad56f2-6070-44fc-a39d-bb00280057f0;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=20f8e9a2-a63d-4bee-bc14-b9f04087d87b;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=80b72854-3fae-4cc7-bc41-2bdeb3e2cbe1;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=f5f39a14-005a-4124-9c00-500598e28012,仅审核本次抓取的美国标签适应证片段；不是完整历史/全球获批登记。摘要保留主要用途，详细年龄、剂型、基因、既往治疗及联合/排除条件以输入原文为准；未将不良反应或机制当适应证。,Reviewed retrieved official-label/regulatory material; not a complete worldwide approval registry; formulation/combination/historical limits retained.
galantamine,NEURO_PSYCHIATRIC,轻至中度Alzheimer型痴呆,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=261889d3-41c8-4655-98f7-41317778e7a1;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=18fd8860-d9ab-1b17-e063-6294a90aad9a;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=0f74a146-f6ee-4910-82a3-177153526dd0;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=d0b75970-8d3d-408b-9e17-9cbad0f776b1,仅审核本次抓取的美国标签适应证片段；不是完整历史/全球获批登记。摘要保留主要用途，详细年龄、剂型、基因、既往治疗及联合/排除条件以输入原文为准；未将不良反应或机制当适应证。,Reviewed retrieved official-label/regulatory material; not a complete worldwide approval registry; formulation/combination/historical limits retained.
