candidate_id,pair_id,modeled_entity_name,drug_names,gene_symbol,target_chembl_id,recommendation_band,evidence_utility_unvalidated,within_target_review_order,execution_condition,proposed_stage
C384-037,VCKUSRYTPJJLNI-UHFFFAOYSA-N__CHEMBL5608,terazosin,terazosin,NTRK3,CHEMBL5608,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,8.0,2,"Qualified matching reference, construct/activity, compound identity/solubility and buffer stability required before interpretation.",FOLLOW_UP_AFTER_TARGET_QC
C384-038,GGCSSNBKKAUURC-UHFFFAOYSA-N__CHEMBL2007,sufentanil,sufentanil,PDGFRA,CHEMBL2007,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,8.0,1,"Qualified matching reference, construct/activity, compound identity/solubility and buffer stability required before interpretation.",FOLLOW_UP_AFTER_TARGET_QC
C384-039,XRVDGNKRPOAQTN-FQEVSTJZSA-N__CHEMBL2189110,ozanimod,ozanimod,EZH2,CHEMBL2189110,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,8.0,1,"Qualified matching reference, construct/activity, compound identity/solubility and buffer stability required before interpretation.",FOLLOW_UP_AFTER_TARGET_QC
C384-040,IVBHGBMCVLDMKU-GXNBUGAJSA-N__CHEMBL261,piperacillin,piperacillin,CA1,CHEMBL261,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,7.75,1,"Qualified matching reference, construct/activity, compound identity/solubility and buffer stability required before interpretation.",FOLLOW_UP_AFTER_TARGET_QC
C384-041,WMDSZGFJQKSLLH-RBBKRZOGSA-N__CHEMBL5141,landiolol,landiolol,CYP26A1,CHEMBL5141,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,7.75,2,"Qualified matching reference, construct/activity, compound identity/solubility and buffer stability required before interpretation.",FOLLOW_UP_AFTER_TARGET_QC
C384-042,ANGKOCUUWGHLCE-HKUYNNGSSA-N__CHEMBL5141,glycopyrronium,glycopyrronium,CYP26A1,CHEMBL5141,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,7.5,3,"Qualified matching reference, construct/activity, compound identity/solubility and buffer stability required before interpretation.",FOLLOW_UP_AFTER_TARGET_QC
C384-043,QZZUEBNBZAPZLX-QFIPXVFZSA-N__CHEMBL2835,indacaterol,indacaterol,JAK1,CHEMBL2835,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,7.5,1,"Qualified matching reference, construct/activity, compound identity/solubility and buffer stability required before interpretation.",FOLLOW_UP_AFTER_TARGET_QC
C384-044,KRNAOFGYEFKHPB-ANJVHQHFSA-N__CHEMBL2971,rimegepant,rimegepant,JAK2,CHEMBL2971,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,7.5,2,"Qualified matching reference, construct/activity, compound identity/solubility and buffer stability required before interpretation.",FOLLOW_UP_AFTER_TARGET_QC
C384-045,BPZSYCZIITTYBL-YJYMSZOUSA-N__CHEMBL4393,arformoterol,arformoterol,MMP12,CHEMBL4393,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,7.5,3,"Qualified matching reference, construct/activity, compound identity/solubility and buffer stability required before interpretation.",FOLLOW_UP_AFTER_TARGET_QC
C384-046,JUZYLCPPVHEVSV-LJQANCHMSA-N__CHEMBL1824,elvitegravir,elvitegravir,ERBB2,CHEMBL1824,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,7.5,2,"Qualified matching reference, construct/activity, compound identity/solubility and buffer stability required before interpretation.",FOLLOW_UP_AFTER_TARGET_QC
C384-047,ACRHBAYQBXXRTO-OAQYLSRUSA-N__CHEMBL4142,ivabradine,ivabradine,FGFR2,CHEMBL4142,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,7.5,1,"Qualified matching reference, construct/activity, compound identity/solubility and buffer stability required before interpretation.",FOLLOW_UP_AFTER_TARGET_QC
C384-048,DHSUYTOATWAVLW-WFVMDLQDSA-N__CHEMBL235,cilastatin,cilastatin,PPARG,CHEMBL235,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,7.5,2,"Qualified matching reference, construct/activity, compound identity/solubility and buffer stability required before interpretation.",FOLLOW_UP_AFTER_TARGET_QC
C384-049,AYXYPKUFHZROOJ-ZETCQYMHSA-N__CHEMBL3439,pregabalin,pregabalin,ENPEP,CHEMBL3439,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,7.5,1,"Qualified matching reference, construct/activity, compound identity/solubility and buffer stability required before interpretation.",FOLLOW_UP_AFTER_TARGET_QC
C384-050,GGCSSNBKKAUURC-UHFFFAOYSA-N__CHEMBL2821,sufentanil,sufentanil,F12,CHEMBL2821,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,7.5,1,"Qualified matching reference, construct/activity, compound identity/solubility and buffer stability required before interpretation.",FOLLOW_UP_AFTER_TARGET_QC
C384-051,RUOKEQAAGRXIBM-GFCCVEGCSA-N__CHEMBL2179,rasagiline,rasagiline,GBA1,CHEMBL2179,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,7.5,1,"Qualified matching reference, construct/activity, compound identity/solubility and buffer stability required before interpretation.",FOLLOW_UP_AFTER_TARGET_QC
C384-052,BUGYDGFZZOZRHP-UHFFFAOYSA-N__CHEMBL1871,memantine,memantine,AR,CHEMBL1871,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,7.5,4,"Qualified matching reference, construct/activity, compound identity/solubility and buffer stability required before interpretation.",FOLLOW_UP_AFTER_TARGET_QC
C384-053,DKNWSYNQZKUICI-UHFFFAOYSA-N__CHEMBL2179,amantadine,amantadine,GBA1,CHEMBL2179,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,7.5,2,"Qualified matching reference, construct/activity, compound identity/solubility and buffer stability required before interpretation.",FOLLOW_UP_AFTER_TARGET_QC
C384-054,LEBVLXFERQHONN-UHFFFAOYSA-N__CHEMBL4393,bupivacaine,bupivacaine,MMP12,CHEMBL4393,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,7.5,4,"Qualified matching reference, construct/activity, compound identity/solubility and buffer stability required before interpretation.",FOLLOW_UP_AFTER_TARGET_QC
C384-055,AYXYPKUFHZROOJ-ZETCQYMHSA-N__CHEMBL286,pregabalin,pregabalin,REN,CHEMBL286,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,7.5,1,"Qualified matching reference, construct/activity, compound identity/solubility and buffer stability required before interpretation.",FOLLOW_UP_AFTER_TARGET_QC
C384-056,QZZUEBNBZAPZLX-QFIPXVFZSA-N__CHEMBL3553,indacaterol,indacaterol,TYK2,CHEMBL3553,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,7.5,2,"Qualified matching reference, construct/activity, compound identity/solubility and buffer stability required before interpretation.",FOLLOW_UP_AFTER_TARGET_QC
C384-057,LOUPRKONTZGTKE-LHHVKLHASA-N__CHEMBL5311,quinidine,quinidine,ACVRL1,CHEMBL5311,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,7.5,1,"Qualified matching reference, construct/activity, compound identity/solubility and buffer stability required before interpretation.",FOLLOW_UP_AFTER_TARGET_QC
C384-058,OYYDSUSKLWTMMQ-JKHIJQBDSA-N__CHEMBL5141,trospium,trospium,CYP26A1,CHEMBL5141,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,7.5,4,"Qualified matching reference, construct/activity, compound identity/solubility and buffer stability required before interpretation.",FOLLOW_UP_AFTER_TARGET_QC
C384-059,NDCUAPJVLWFHHB-UHNVWZDZSA-N__CHEMBL284,avibactam,avibactam,DPP4,CHEMBL284,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,7.5,2,"Qualified matching reference, construct/activity, compound identity/solubility and buffer stability required before interpretation.",FOLLOW_UP_AFTER_TARGET_QC
C384-060,SGUAFYQXFOLMHL-UHFFFAOYSA-N__CHEMBL5705,labetalol,labetalol,EGLN3,CHEMBL5705,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,7.5,4,"Qualified matching reference, construct/activity, compound identity/solubility and buffer stability required before interpretation.",FOLLOW_UP_AFTER_TARGET_QC
C384-061,OPXLLQIJSORQAM-UHFFFAOYSA-N__CHEMBL4142,mebendazole,mebendazole,FGFR2,CHEMBL4142,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,7.5,2,"Qualified matching reference, construct/activity, compound identity/solubility and buffer stability required before interpretation.",FOLLOW_UP_AFTER_TARGET_QC
C384-062,NQDJXKOVJZTUJA-UHFFFAOYSA-N__CHEMBL4282,nevirapine,nevirapine,AKT1,CHEMBL4282,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,7.5,1,"Qualified matching reference, construct/activity, compound identity/solubility and buffer stability required before interpretation.",FOLLOW_UP_AFTER_TARGET_QC
C384-063,NBRBXGKOEOGLOI-UHFFFAOYSA-N__CHEMBL4247,dasabuvir,dasabuvir,ALK,CHEMBL4247,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,7.5,1,"Qualified matching reference, construct/activity, compound identity/solubility and buffer stability required before interpretation.",FOLLOW_UP_AFTER_TARGET_QC
C384-064,ZZUFCTLCJUWOSV-UHFFFAOYSA-N__CHEMBL3991,furosemide,furosemide,F7,CHEMBL3991,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,7.5,2,"Qualified matching reference, construct/activity, compound identity/solubility and buffer stability required before interpretation.",FOLLOW_UP_AFTER_TARGET_QC
C384-065,XZWYZXLIPXDOLR-UHFFFAOYSA-N__CHEMBL2971,metformin,metformin,JAK2,CHEMBL2971,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,7.5,3,"Qualified matching reference, construct/activity, compound identity/solubility and buffer stability required before interpretation.",FOLLOW_UP_AFTER_TARGET_QC
C384-066,ZIAOVIPSKUPPQW-UHFFFAOYSA-N__CHEMBL2034,doravirine,doravirine,NR3C1,CHEMBL2034,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,7.5,1,"Qualified matching reference, construct/activity, compound identity/solubility and buffer stability required before interpretation.",FOLLOW_UP_AFTER_TARGET_QC
C384-067,FNKQXYHWGSIFBK-RPDRRWSUSA-N__CHEMBL2527,sapropterin,sapropterin,CHEK2,CHEMBL2527,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,7.5,1,"Qualified matching reference, construct/activity, compound identity/solubility and buffer stability required before interpretation.",FOLLOW_UP_AFTER_TARGET_QC
C384-068,GKCBAIGFKIBETG-UHFFFAOYSA-N__CHEMBL2821,tetracaine,tetracaine,F12,CHEMBL2821,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,7.5,2,"Qualified matching reference, construct/activity, compound identity/solubility and buffer stability required before interpretation.",FOLLOW_UP_AFTER_TARGET_QC
C384-069,XFALPSLJIHVRKE-GFCCVEGCSA-N__CHEMBL402,tedizolid,tedizolid,HMGCR,CHEMBL402,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,7.5,1,"Qualified matching reference, construct/activity, compound identity/solubility and buffer stability required before interpretation.",FOLLOW_UP_AFTER_TARGET_QC
C384-070,WGFOBBZOWHGYQH-MXHNKVEKSA-N__CHEMBL1994,lubiprostone,lubiprostone,NR3C2,CHEMBL1994,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,7.5,2,"Qualified matching reference, construct/activity, compound identity/solubility and buffer stability required before interpretation.",FOLLOW_UP_AFTER_TARGET_QC
C384-071,JQSHBVHOMNKWFT-DTORHVGOSA-N__CHEMBL5608,varenicline,varenicline,NTRK3,CHEMBL5608,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,7.5,3,"Qualified matching reference, construct/activity, compound identity/solubility and buffer stability required before interpretation.",FOLLOW_UP_AFTER_TARGET_QC
C384-072,LWQQLNNNIPYSNX-UROSTWAQSA-N__CHEMBL5705,calcipotriene,calcipotriene,EGLN3,CHEMBL5705,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,7.25,5,"Qualified matching reference, construct/activity, compound identity/solubility and buffer stability required before interpretation.",FOLLOW_UP_AFTER_TARGET_QC
C384-073,JJVAPHYEOZSKJZ-JGCGQSQUSA-N__CHEMBL2695,zavegepant,zavegepant,PTK2,CHEMBL2695,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,7.25,1,"Qualified matching reference, construct/activity, compound identity/solubility and buffer stability required before interpretation.",FOLLOW_UP_AFTER_TARGET_QC
C384-074,ZBMZVLHSJCTVON-UHFFFAOYSA-N__CHEMBL1994,sotalol,sotalol,NR3C2,CHEMBL1994,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,7.0,3,"Qualified matching reference, construct/activity, compound identity/solubility and buffer stability required before interpretation.",FOLLOW_UP_AFTER_TARGET_QC
C384-075,LIOLIMKSCNQPLV-UHFFFAOYSA-N__CHEMBL2189110,capmatinib,capmatinib,EZH2,CHEMBL2189110,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,7.0,2,"Qualified matching reference, construct/activity, compound identity/solubility and buffer stability required before interpretation.",FOLLOW_UP_AFTER_TARGET_QC
C384-076,FVTWTVQXNAJTQP-UHFFFAOYSA-N__CHEMBL5705,umeclidinium,umeclidinium,EGLN3,CHEMBL5705,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,6.75,6,"Qualified matching reference, construct/activity, compound identity/solubility and buffer stability required before interpretation.",FOLLOW_UP_AFTER_TARGET_QC
C384-077,MVRHVFSOIWFBTE-INIZCTEOSA-N__CHEMBL3267,elexacaftor,elexacaftor,PIK3CG,CHEMBL3267,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,6.75,1,"Qualified matching reference, construct/activity, compound identity/solubility and buffer stability required before interpretation.",FOLLOW_UP_AFTER_TARGET_QC
C384-078,AOMXMOCNKJTRQP-UHFFFAOYSA-N__CHEMBL1868,relugolix,relugolix,FLT1,CHEMBL1868,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,6.75,2,"Qualified matching reference, construct/activity, compound identity/solubility and buffer stability required before interpretation.",FOLLOW_UP_AFTER_TARGET_QC
C384-079,IFSDAJWBUCMOAH-HNNXBMFYSA-N__CHEMBL3310,idelalisib,idelalisib,HDAC11,CHEMBL3310,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,6.5,1,"Qualified matching reference, construct/activity, compound identity/solubility and buffer stability required before interpretation.",FOLLOW_UP_AFTER_TARGET_QC
C384-080,HEFNNWSXXWATRW-UHFFFAOYSA-N__CHEMBL3729,ibuprofen,ibuprofen,CA4,CHEMBL3729,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,6.5,1,"Qualified matching reference, construct/activity, compound identity/solubility and buffer stability required before interpretation.",FOLLOW_UP_AFTER_TARGET_QC
C384-081,SJVQHLPISAIATJ-ZDUSSCGKSA-N__CHEMBL3310,duvelisib,duvelisib,HDAC11,CHEMBL3310,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,6.5,2,"Qualified matching reference, construct/activity, compound identity/solubility and buffer stability required before interpretation.",FOLLOW_UP_AFTER_TARGET_QC
C384-082,RLAWWYSOJDYHDC-BZSNNMDCSA-N__CHEMBL286,lisinopril,lisinopril,REN,CHEMBL286,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,6.5,2,"Qualified matching reference, construct/activity, compound identity/solubility and buffer stability required before interpretation.",FOLLOW_UP_AFTER_TARGET_QC
