step,head,query,candidates
333,1,4,720
334,0,641,384
335,1,116,720
336,0,56,384
337,1,158,720
338,0,602,384
339,1,179,720
340,0,260,384
341,1,194,720
342,0,210,384
343,1,65,720
344,0,623,384
345,1,210,720
346,0,204,384
347,1,86,720
348,0,372,384
349,1,13,720
350,0,712,384
351,1,244,720
352,0,454,384
353,1,354,720
354,0,68,384
355,1,103,720
356,0,177,384
357,1,353,720
358,0,141,384
359,1,81,720
360,0,54,384
361,1,177,720
362,0,308,384
363,1,223,720
364,0,636,384
365,1,327,720
366,0,129,384
367,1,252,720
368,0,584,384
369,1,222,720
370,0,568,384
371,1,213,720
372,0,305,384
373,1,155,720
374,0,392,384
375,1,39,720
376,0,674,384
377,0,264,384
378,0,545,384
379,0,406,384
380,0,256,384
381,0,231,384
382,0,11,384
383,0,138,384
384,0,57,384
385,0,86,384
386,0,564,384
387,0,567,384
388,0,381,384
389,0,7,384
390,0,135,384
391,0,186,384
392,0,607,384
393,0,289,384
394,0,190,384
395,0,78,384
396,0,589,384
397,0,376,384
398,0,532,384
399,0,201,384
400,0,337,384
401,0,671,384
402,0,439,384
403,0,578,384
404,0,35,384
405,0,172,384
406,0,501,384
407,0,313,384
408,0,216,384
409,0,646,384
410,0,3,384
411,0,32,384
412,0,320,384
413,0,495,384
414,0,667,384
415,0,325,384
416,0,659,384
417,0,178,384
418,0,30,384
419,0,234,384
420,0,165,384
421,0,290,384
