target_feature_index,sequence_sha256,length,selected_actual_residues,pocket_union_residues,selected_pocket_residues,full_mean_coverage
23,8e144ac7eadb8b0b53e0e195deec103c4626a452c2e9d6b3d76b1590d2ef1112,465,96,0,0,465
24,57bf41a20daca07077287ad2d41a3724e4370a8a0d0136404bf44a32b2c14b91,514,96,41,41,514
25,a5f256fc653515d110f6dd48ad55b8ea21bf6d45af33b7f5c182c6c31455b636,1255,96,82,82,1255
26,c5b3e22fca3e7eb5509db07f615e1e9cfb78fbfb82b25c1541f882b2613f56a3,875,96,64,64,875
27,9d0bf140dd3e9610a05d0391d0b3076177bb6c5932d4b003e913cd9bfb378d81,428,96,18,18,428
28,2527e74d770f31ba23b27e94f47140ab3b881c5f75f5f675cd15269c21c43def,533,96,63,63,533
29,5ef0edb0ae15eab922119f2b67389d5724f897d5a6430209a7fc299242e56d98,933,96,72,72,933
30,a25f82cd1b4be74e9b43bdc43c058fe9ce987dc011b712f1ce43a21e4d45d0a4,537,96,67,67,537
31,b58d47b64e57c2bcc0ce08c90525cc9827590c4c915163a5664c66f25057eb86,480,96,19,19,480
32,52b1cbc0ca3474810cb7949467e3a5a2851350643eb734f1c33aaca65b4a6fe4,972,96,50,50,972
33,13ec7d20623e4c991345c6e854938a42b0c3ba3acffa421ee016a700bcc189ef,5038,96,0,0,5038
34,7f10a0276ca0f6917022cb3000efe665000389079d05be3da18888261d53eba2,473,96,0,0,473
35,7be15bef7aeb161cc050a294e7a4a2e1f70cd9358f41b59831a41a435a20ebed,254,96,47,47,254
36,a64a69646209bd7078de92ee938caf58bd2616e8e36c85917fc353526695ee56,2353,96,70,70,2353
37,11e560a685bf1b104cc898e25b632bc4bd7d8e027955f2d7e663ee781abe6ae5,393,96,49,49,393
38,bf5ccc817349256c1c2f16dd66d61bfcd29ac4897fdead01d85e01cd84e33670,1130,96,68,68,1130
39,9a7fa3c16640c215ee56fb067330853d5928b50181834259d9e00abb24e9b751,1215,96,40,40,1215
40,cabcd0382ed2f6481aa338d4235c57b559cc4d1a254f9c9aae6c341230ecaa90,1338,96,38,38,1338
41,043f80df5b673d9048e118735cb0230b0baaa23f788c3bae0010f9995412d852,920,96,16,16,920
42,4d29fd09ba426cc617b6e576d98a128ec8eacdad5c5c1704381f32f5b0963348,562,96,0,0,562
43,da02982123f1f4c22734b86851c507afb751568922ebc5feb52d3c74a9e37d6a,1099,96,50,50,1099
44,88a8c1a1f2cf753a5c462e5f24930bbc0dd9ff72cc88a4aafa5800d2e014f52f,1021,96,38,38,1021
45,607eea43ecd23c2d43d7d12cc6f26edfeb0c9ab22a17b1d09c9281e301ed99c7,390,96,0,0,390
46,0b6a052b9555faa3d4d4664f357b23e5ca0f6f71a459d41757d4b10000fce676,514,96,25,25,514
47,ce82cc02fd301ba6e478be5129ef6dd8f51452ce094b362910739b89e26b4995,478,96,21,21,478
48,ea6689b6c8edb306fc5da3e16dba9d7362e6e517d15f469c38e5c4fb8858d27f,316,96,31,31,316
49,7c2c9a4005a08f9f8ed2ce2e3b7d9432dd39547abafef80ffab6adbb89753b2c,108,96,13,13,108
50,9061011260b9d045e365e5402f4e150b7e1bc166a21b6dcd06b0d24f3294833e,599,96,62,62,599
51,cccfc1d98eae3098eabc4172a1261029642e3f31e5bbc317cc8a820a75086f1d,648,96,64,64,648
52,8759d02877c2edf1cd747fc987a8e5230be180fb1e10bb4f5b2db0e8fdcf9319,503,96,72,72,503
53,b43db80f7a2a9a1a5499909e2cd5fab0a2376b5a8fb9dfbe694828f9de6e91fa,859,96,37,37,859
54,f4124bbcd051f8182a69fa8eb7767b80cfc460fdd1a01eb6e8567315f1bc4b97,363,96,24,24,363
55,75d56b10a2333553c758f86a0f55199fce32b36120f166f2fca7fe1365931dbb,535,96,39,39,535
56,67540da68467479faeedb7ebcd6629f2494423b949be8f07de2c5dd364d133a9,602,96,37,37,602
57,5273734e985e4411938cd0c003f7a41812701c66824eec43a4270f95cb2acbc8,427,96,0,0,427
58,00db91b4578ef5aae6a919976e58dcdc9cd9ca77a912f999f0aa62c9cacee3c0,918,96,63,63,918
59,e03d2e2ed78aa1bafd41b89899496ec841b53734dee0bf878a1743bb56279654,1103,96,53,53,1103
60,63fb88d51865ca1fa791eef9900e8427c18a26134c89a4066fbaec1b10829c45,649,96,0,0,649
61,ac8a99218b7d0124307d89d41cee6bdb225105c8c24eae60ef2be8577b84c3a3,1333,96,130,96,1333
62,f8e6c25683dd1eb29c9ddee6be595cb5ac278018a028b0d07316b906a864763d,163,96,31,31,163
63,c6dc987207be93233446f3947fccc4d81639830021577c917834d80f57fd44dd,517,96,51,51,517
64,7b430dd4888d7410e8d65d331b8bd4f5bd9abd4f3a9290f2a93f37b0ed495c5c,976,96,40,40,976
65,955979c609c58538ca00aee39b91bfe3f7988d4c5d7ac63d68ced1c874449011,488,96,39,39,488
66,da3b17f4cd227b0ca94d4dcdc252f3ec7e7969b638b367ebf09dd8d7577263ea,2098,96,74,74,2098
67,1a916537b7b555892eb6262b941745a4bee0eec5d0d65b73609e69a3a5ace44f,750,96,58,58,750
68,94438bfcc4ab0fe4309b0436589d66e5d9aa4804cf0e4c4c7d2745ad7dabbaf4,461,96,20,20,461
69,92962676f214e5a64a684dcb0daea96f595b5c4ccf2e8db1315ae9d36623e43b,527,96,82,82,527
70,d4978a79f2cd2a7fa529c8632ede803a9632661f71146ce517d787c3dc5aebdd,313,96,36,36,313
71,e11a8ca0d0d551f3fa704c31f4d0af57361c9d19d838a54bdd6b63528cbb7a1e,1367,96,51,51,1367
72,b7c5362c168b0a1efb482e33444363f383ebfedc7cbf97406491bbca73a78b70,456,96,0,0,456
73,7ed37e7b0bd23b2e4067bbae94ccbcdfecf8992873fa005a302b8c23521f0a5c,655,96,0,0,655
74,e3d665dad3dbf6901bc5aeccd28ef9d87f5be7797ab459a04aa59f95824cf051,395,96,66,66,395
75,7842020d78ef36d2f31b7f9d468cc6729f9b16037e1b06f28adea4f7b1bfc2fb,528,96,56,56,528
76,1e865dd08ec23cfb4ba716c63359e383fb948aa26261eeb5a0f9d7462536db0f,1464,96,56,56,1464
77,462c157a4444fcbfb9ba57b67f342db52b80887f3370f552ba8e2109caa035e2,529,96,49,49,529
78,68d60cea30219da8cef67dbcc1b81dcdebc8456663f7f54b6fb8cc6666a7b416,993,96,30,30,993
79,535363783c0c533c3a927c0ad3ef395e2a62e8f7b3fbe3ece2c45a98e2b59b25,427,96,34,34,427
80,a3095681f690b2ae6282a9116df5485f601548b49602ebf94ef3c4eff4d99b55,503,96,48,48,503
81,3b1719ba4947964cb94b865175fff405120a047e44643495f0965aa8178f7f49,2016,96,108,96,2016
82,90397a156f87a91b9bb1e01e97437e9f353b3b37025d48c3c0efdf77fe4ccaf8,1382,96,63,63,1382
83,05d60a6f764021e918cb82ec1f692b68d8c8f288fcec0a06b353b54f82973e02,411,96,17,17,411
84,22705f55903aa2007eb23dc3b4909f6525a7ab6303fb968f9a8f156a8b5d15f3,756,96,60,60,756
85,fc574e32e4a88543e8f5373b656b0b1999faaac2fec70fcdbe637f375aa2f65a,1616,96,64,64,1616
86,cc3ab1bd86da746c869394db023aa68c2e557d769f04f80ee36b584a8929621c,984,96,42,42,984
87,49bca4bf056d239c66207751c15e2f1bf5c5f810a8685932c00ef588360f46ae,456,96,49,49,456
88,c5d9213c34bf5df524998185d5e67ff22d9413864b0dbf5f6b446919ba2204e9,742,96,59,59,742
89,4f30314865693bc9810ba484ea21699089d5bbcd2d4c75461668db8c9468bbf4,638,96,42,42,638
90,20d95bbd7219ed692991fc802f5ec153736cebcc544b1d5f94408f674165e914,454,96,37,37,454
91,96a4d83a02900a0cba9954d64106f1a532b0209e0d2b86d205a98bd847335682,1089,96,23,23,1089
92,5c99fe8bf1991cd76f6c3552589adbbf6067dea9f85a4be30a041aed43113415,414,96,17,17,414
93,73c83ae388f8feb7c4dc79ffcbcd63aebac2d46b63bf76339a088ecdf3e67bc5,455,96,21,21,455
94,d470ce9e5cd48738569283710aac2d2c179cb6ca14c10de393aa380d06b4d0ee,758,96,70,70,758
95,ef5a49ff0a8ce2699162595f67025d2bcaef0689dc49f83401c7b5aecc30d912,249,96,0,0,249
96,f01679b357e85183133b6e765b5bbb10fb34aac343f1185d3cae27b684632907,187,96,31,31,187
97,fc502f28a5134139f882e1cd5f20b4d641ea2c1f06edf89614d705d32c7fe408,271,96,27,27,271
98,dbb4583267ad40a7dfd854ee3c44ce4be38e137d0570e3eb76cf1854a74e7246,1210,96,47,47,1210
99,a97380fe4bf1f95f9d7ca044c8c320981c944c020311ffe61542426c78221856,521,96,76,76,521
100,c1fd6a3590b53159505eb6b17dec8d5d5f5e8fbe40b0c075bea4b0b518dcca11,777,96,20,20,777
101,5c619dcb6235f38247072eacd7fa6ad3aa7e69d3d4f661ebfdc4251e2b2752b4,520,96,77,77,520
102,351664067c22d7e6a071e811ddb3b5759e91101e0c46d4454fc61ce4bca10fa2,622,96,18,18,622
103,10ec8a9e8316e42cd33c02e147ccc5d057ce4ecac76498c455a230ec4485d6be,1114,96,39,39,1114
104,54b8ff6cb53707afb9a9b02349f5a054c83ecbaa7c35613a520a7ffa5f12a384,500,96,41,41,500
105,67d0180c2237bd5632e91bb92196fa42a3c92129e8c6b900363df248cd1368e0,986,96,68,68,986
106,450a21105b740fd60df57b1fa1f127cbbcfe9167e01cd5ddd638d7d55c4c53e5,486,96,54,54,486
107,e6a24c903c1ef211037c64a6835a8a484f48b17be1cae50d6998913f21acf7d4,260,96,30,30,260
108,8004a1c9c217fe6012b36949fb19437e9570870715c656d08f9b5e16ac29a282,462,96,21,21,462
109,59afaf3c8774c9cec06a003e9fa0d1fb1da47637c45ea570236e0ca79b5a0a44,595,96,46,46,595
110,8e243e32883cfc5ef70c61b40fccb9f5c9241e4ff31f0797437cd643f82d9740,462,96,21,21,462
111,3fa0f2fc8c5395c93141b3c1870f877958a9c3128714567c02f81c25cbb569bf,394,96,58,58,394
112,29416c9490a3c35fa69a9086f09fb7c75915d5d7467cb594e5b517e8fa9f344f,976,96,49,49,976
113,d4b6667304f841b9798dc5b85e5de6e0aa708b3efbb34e8b63c4acc6c14b1420,1836,96,109,96,1836
114,346cb787e598f5e4716e72b52876c6d754b1a6dab9ed0f94e7677f3b5738d813,543,96,56,56,543
115,be19ce51c4f3249082c6b7afdfafccaeace5a2a13254f2238c619aeebf5300c4,2753,96,0,0,2753
116,55af49dbd176eaddc736537238e00422c66a0de2d3ff6fb967010908ca36a64d,933,96,36,36,933
117,6fcd7510546f6916475197b4cc685730be47749ee22261b24813a38c97516602,115,96,0,0,115
118,3f536bf8d9a0d26399b1b95ed86e80aa89933eae3643f266d0eb8b65c5575c1e,751,96,82,82,751
119,00054e79d2c1f21a1744d2060bc18390be7446bb9a9477d37dabba316f3ebfcb,669,96,17,17,669
120,18a68eca96f64db10c5b38e1f1bf1b013e7dd5091fad780578010a93474da833,1124,96,90,90,1124
121,48dadd9917c0a709ac9463f4394ce35885b7791bd3cbd6398c60f27e34d6eab6,674,96,69,69,674
122,89b6935d8d5a99809a7ad4248ac8f8a498ab29e6b864ea77eb4d272755a2fd90,253,96,0,0,253
123,38e97d50880fc5ed6f0b961be3eff31062d9e7c8ddaa271c5384bb59ca0ce846,536,96,20,20,536
124,0f99982b545e61cc6fa4ca70be1e2f0f503d3e26f44fdb3067dd3c6905bb2788,344,96,54,54,344
125,4c4d28512cf712104d0b7374cb68ae9d3cf5d4f5d7e81c617fb0ad49332165f7,746,96,60,60,746
126,1d5a9ab11f64cb886d8ffa08a153c412b2d190fcf70e5690cd4b4c7efcdee53a,189,96,21,21,189
127,b5e7ca71ef5af9ce9e3ffc10eebc77b2bb95d592400670484ee596f06be68e78,614,96,46,46,614
128,df15bebcbad0a9711a70ad11c6497f18e8780c41854a77dfe793b0be9164d90c,400,96,21,21,400
129,a93d8265b260ba945a147042f68980aeec2ea04e8b4588fbcc912da3ec27dc1e,772,96,60,60,772
130,7f69aba6b465001d13b7bd7589de4d14647de313773b2cdfa0446b095330ee08,617,96,65,65,617
131,230062b9df5cd3cae4733c4846754a164253baff8678a5f36679cc8daff348bd,579,96,39,39,579
132,11218c4d9b56cea287841837e6126434a6d3e34733904e87928c45e26a9e6beb,463,96,52,52,463
133,e21eccad4aa906413ff8b7fcb1a5b107b313731e4054371ff21c72b73ba7ed6f,427,96,20,20,427
134,08ab69187b319cff68eba5e95e6d06f77a7a8e75e4b1a83c000f7ed2c160d37f,630,96,79,79,630
135,c7f982aa0afa168f06fb22ba0d66abd196aa829ba1086730aeea6a759cb9c485,930,96,53,53,930
136,ca8783b8053e1373c8358af24d59933449f4a63bbae1a5f44f9b3c81490c6c7f,763,96,42,42,763
137,e68aee34450b6e76702b13eaa365d21b896beea374590ad39bfdd7e8d6c145a8,604,96,84,84,604
138,7960e9cf1aca3a128f8499714b480e1bfa7940bba066f62f5e848bf0671233b0,394,96,26,26,394
139,450f49966564e0d2c6fd76f6e8ff87cdea199af3f851173d6695a04424f3f627,374,96,11,11,374
140,438dc726c30d0ff5ba1dfed88531d0758ecfa43be6730b09dce8957af6ef8e39,426,96,36,36,426
141,e4a9ea745635c950475641c84676edde20d12f8fc62fb2c5df55eabe66448254,264,96,30,30,264
142,87932b006a468d0082ca6d023f78fb2ddccafe498ce651b71fcda079d3627856,538,96,34,34,538
143,f361d925fefd6f05b6b6744b27baa67387e3d878959303ad383b7ea97baa85e4,384,96,0,0,384
144,ffa75f4fe09bf9ffc4f5b5d5b32a54d9d240a77390218f19626c6e2fe8f1d4d2,516,96,74,74,516
145,022c267c8428b62788b29f05279a1243080b944a7d58045a0c103edd1af36027,505,96,33,33,505
146,c942a402c587890f8ae3ac39a033212f5b4b109d0b4b26170e7294dbac3b5553,706,96,77,77,706
147,1a9d5667abcfbe96d50f29121e815eef32ae5fbfb3de52728d9a2de30d764b20,505,96,37,37,505
148,3136cc5cb28231272477a2bcc16add022b5fc6d26aa161cedaa8d3271e785d34,2261,96,72,72,2261
149,66622a82f290497bf9ea701076a942aa9e037bad7e6e5146f97a7133dfd22940,1500,96,120,96,1500
150,b94221f783eb87845713fd033590015677926a71ee9010789aeb11e63c50cbd0,620,96,70,70,620
151,764ef6f778faca895ff91fffd4fa52f9d65cec8f985aed444769b03068e81c4b,468,96,42,42,468
152,287332153da38b59cc1be9554cc3a29f14d3b9e2a33150b4d54137773b22d1f7,1159,96,56,56,1159
153,1c9241b56a619d629499ed1269bc3662f154bd72a3a25f047061c832e374af14,555,96,59,59,555
154,5cc627f3bab4b5d0006257cb64797e8ae1bffa09b4726998f79b8e504c56e301,1141,96,72,72,1141
155,7f3d679eff5a0b39202fe2696e4b76106c26dd5b3df9d615e208dbdf4bc35724,530,96,31,31,530
156,31df09ee54136584c9d22b78c72cb3401adeedaa4ef3491b7618f82c9f676527,481,96,32,32,481
157,2c059b5d887c76e8b9c0a49db785f10d0f81564a5167f42ec47ddc8ea3026781,309,96,14,14,309
158,60676beee4960e060cc78a55a5410118d39b40fbd63e1c600b9498427d1c4eb0,745,96,82,82,745
159,ea032885773058ac2c1adb9e98b95aa360b089ec83a35113d9152151e5f5e995,488,96,0,0,488
160,a3002bf1c1ab1c7b8d77ea7745647f5608ecbf067ed3fa8b7bc7cda007846d13,872,96,0,0,872
161,d6b94d57bf52bc0af4eb1f2866d0175f26a7bd411b9720c512e1b7d133843602,267,96,0,0,267
162,3d3fd12195f3efe1864680cfd15e17e255a74320c5605f79da077747b27e84c2,502,96,14,14,502
163,051fc4732e4921492421cda1544c298561f4d5e41751c6e73886e38ed9280207,326,96,23,23,326
164,a3757f6fbdeed39e8596df6cc5a20fd246063146afc4cbe937193a64fcc3e99e,429,96,12,12,429
165,e81f5dcd44302c3c277b4599449c71b5f2a7b3eb761bc2c584db236d9fbb8632,543,96,31,31,543
166,7a35c5b4006d9a7e80fc848a1691b4033874f87f578229f3fc6a0f98635b384b,556,96,59,59,556
167,01b6c32eee0d173b181b1bb3926e78b1014c3c8a350003ef462b97fcad650063,509,96,60,60,509
168,52dacce1ddca9fd8fb4569f19a8d82ad0456ba36260370784d604d66e8b697b2,635,96,44,44,635
169,539a4d890afc072187b18b4a970c82df0c180f5a8e93ab2442dbfe99c0aec049,360,96,26,26,360
170,70dda9e7bae131bb456a3b38859dd051dafc31855b16c33df9289fc7c396099b,952,96,57,57,952
171,5862305c8302b2d7dd9de31f34102a1220d9099d9f6f7b961610ed4337934880,261,96,37,37,261
172,2ca842f3e7a01314833c340d495dc171c89dca6271a7cf89edb90e6194b06fa3,420,96,48,48,420
173,808152c23dd7903f79cd211e69be307502872a8319329ebfdb49ad3c6d25ad55,464,96,20,20,464
174,bfb0c691493b552212f52a3e68ec9d6c2e67dc37339f19b6e71c22fd202292f8,536,96,49,49,536
175,13aade37cfa34320dabd0a767557abf7f24021728a2bdf4e9e605a99b86a70b2,329,96,0,0,329
176,223384aa416b5e9b85eba0bd82b798c35b38f8ae4325c35ff46c78dbac5325ed,1400,96,67,67,1400
177,673a5ff1e9eb71e9f4ce597ab556006ebebba414fa71bbe2287e813bbd3ddf7e,1052,96,69,69,1052
178,d21db1e4df818384f2c9357ac27257fff3f091e740b2823da319c1b572a51e39,1997,96,20,20,1997
179,223bf6426d9ad4fccd858bc2988b9ec441020f239760a0e13758c1f2e3dfc124,503,96,75,75,503
180,9c4089da85ef3c06dde2c14def7afc4a2e1452947ca9abf34025f90a101db770,806,96,29,29,806
181,814d7e6114e40802ecf4cea971d5d98de724ce7451f094ffdee525c1371e301c,522,96,45,45,522
182,314374051a4251883f154b5aa9b4a54ee7ad5d2fa3047b6c8dedf6a65f48abbf,348,96,41,41,348
183,5e20157298f92ee27a802e24a197e856d15db127bc8ac7d4660b4407ebe43b0e,550,96,121,96,550
184,fc7e217443f8e66fc4af3971109e40c570f998fb293d1bf4f799cffcc127e76b,1356,96,60,60,1356
185,5ae8fa403b7a6a5166305caad46d6b2b661dd0cc41344f282175ed24eb3781f0,471,96,43,43,471
186,930ebc290600ab8f12f93fc9a88f07aafbd39ee68720b02c19e357865ad59626,447,96,26,26,447
187,c17cbbd68c27235daefe2b9862da81fedd3a349c2589358be6a4b8f13cd12b63,796,96,42,42,796
188,31d4d2f5301bb477b0b173ab4a9959776cb9d1398d429b828bf6de5396a44a36,625,96,64,64,625
189,4f4d7a2fa9173996aa1493243c8853c00cc8f0653abfeab8bd0de60114577129,615,96,30,30,615
190,bc389b758c19f1d32f942839e8c94698ba1429dad6237bc90f8198b164cff6d2,477,96,44,44,477
191,1c6644344a12e467bac221d095a23fc2da3d2eb868d6085259979d4b76029cba,1154,96,104,96,1154
192,272729ea12e07654f922db22308673539882764491f0b55e31767ec1f714c328,766,96,52,52,766
193,14c12f3038e6dde2d28b78c0961e52dae3040876f6c8e2ce7208899bca679c80,2549,96,59,59,2549
194,67ced0ee45a5604018657739b01b5cc9768f680f2dd9cde0fd1b2564d2c7a677,483,96,24,24,483
195,fcfb09a6bd3571f67e1a10ecdcd3005e00f3bd03a7e392bbe0ad742723ca029f,406,96,21,21,406
196,6d5dc046360ddf30d8e647741d3fcf83873c4b533f6da6801cfe749d7921d896,1104,96,40,40,1104
197,2217216aa2f83359a0dbae70c3ab138e4f03b64cfd6a0b079049ecf160f72e3a,954,96,33,33,954
198,b670d96ac031d642bcd46a7d3df563138ff90dbe4e385dcc2b475467300706ea,809,96,34,34,809
199,acd1c3790427993ba8eea8553653c4d23fb6fe8590d065f65035e0aab0301c0a,331,96,0,0,331
200,33e035b87b94c840395554b01f49e9c988594ecea98632b70b107be32d538bc4,620,96,52,52,620
201,679986c39e4cb9599dc08211bd0f7b4941586aff6eabbf20148fcc35d02c21f4,400,96,40,40,400
202,21017319c2c8714bf0b97157e13f2184664d2d13b899b37276195af86ca0720a,1132,96,107,96,1132
203,2674aa9015e37da743be74d67bce80b3cb35df6161e9182af9b87d25cb645d52,1388,96,34,34,1388
204,0ade5cb5055eb17bde6b4f539f3f72f19246f20d8d5ee17be1f1cfac3fba4f44,397,96,0,0,397
205,e6d2ca75ad62139dc7684b05ef50eb7e6732950e26a0bb3b5a309286f342c4cf,1531,96,109,96,1531
206,1d456f9470d2ff57ac97450faa7588aef382adc7eff33d54259187c71584d11a,1308,96,45,45,1308
207,fe22d91e18cd544a85d7c768cd864172200252df906b774d890dc103224f7c8d,298,96,24,24,298
208,440707fe07775ac5a8e888c6aef2878f3c2bec58efef7110ba796ec2f53694b0,654,96,71,71,654
209,03bfae282c699ad0b358e53c924c5fc3b921d43eccfec4f32b71a4382263a1f4,603,96,70,70,603
210,0f3d4a587055bb5b934e059d9d3bd38f783a3ae09a8821792d023b48cf4621ae,492,96,29,29,492
211,337ff1ca94c9724ace872091c611e5bd2915db6f5f5967f4e596a0bee4a3695e,407,96,29,29,407
212,16ffa90895441e3c32abb8702ebfe89e4438f590980615be67ff8928f20bd1c9,671,96,71,71,671
213,2a5c3173293b02025db072c77174be6a288eb4a6f97c0af6a9f7c8fe8ab5d3a2,346,96,16,16,346
214,82a10d76551a9414922a5d44292c93f21c722864c4991c2e42886d4fd0cd8353,452,96,47,47,452
215,1abdf9f5fe8a5ce4b11f9b7b9cbbd0bc1697da6c82615add5f03f1f0cb3a0cbf,297,96,21,21,297
216,528542a10fef0b8a0f93112ede0727889adc00b81a2b3f9391b82d79d775531a,473,96,38,38,473
217,0ca26b54f0c45d0135ce37c885e5d97403dfe1e0e8b7752d3773a6b8966fa1a9,1014,96,81,81,1014
218,9d7c09e39a68cce1de0ca98909ddcf23cd3c3d699234d5b7b01317a13a663af3,482,96,35,35,482
219,2709b182438598d2b9f146586fb2c8549857ef08c97505fddab5a0a8782aaee7,372,96,24,24,372
220,33693b303138ed8342c492fd4e8eb7ef52dbb288038c72355590e4c266128662,457,96,56,56,457
221,001c5d2b571d4e8910b9409e8aaffc73b1ebe78a6b944bc951a7b21717ea1499,871,96,51,51,871
222,f3c1cbb6ec13c808a714f03f6f44fd482c327deaa69ee5845ebf9affa4afbbed,1044,96,70,70,1044
223,0b73a9ecfe713d096e2570931e596b9d42e47a4359a3d72144f02dde6c361636,4128,96,0,0,4128
224,549e89f067b7e11976787b867a566923f91938b9234ea1766f9c05bae8d2f0b4,1070,96,58,58,1070
225,b36c458f3bcedadad27b226feb1cd4b7843949bc226d5b6124e0a83e2b0a9947,1025,96,108,96,1025
226,4602a348ca21f49c27d1dfd706dbfb54f20ab49a7de362ece550dbb1dd236c87,377,96,15,15,377
227,37e405aacce2a3f7dce748db4891554b5e5bbedc23dc555869faf6d865e697b3,848,96,31,31,848
228,a865eb88e9d38d1113581e1982794bf124434ae60b97220ecdb4f06d1a0ab662,707,96,45,45,707
229,bd65d9ee0f06d8b5a3bd439e675adb40ddfe5d83aa100e62fd04f3da7a9520e3,526,96,59,59,526
230,d1cd75a0dd4ecc23a4cf430e9fb3d777e219283d6387f3607588492a4216c201,658,96,50,50,658
231,d89aa1703772ab0d843c4b6d2d4fdb768a09306cfd03519f41314fa57166024c,354,96,22,22,354
232,7289cbc54521bc202bb99244e249eff3fd381af091772ac7e1cfdbd1b155c545,482,96,40,40,482
233,8caecf83dffab0bac6b72623e6a7428c5a8cc791b0858bcc7f1f4bc67a8bed5b,1102,96,88,88,1102
234,b51fefb32007ce55cbcddddd69c471c6b4d798d8ffad2c7fe98ff6a6de84ba92,834,96,65,65,834
235,7d6b5983744e2ea501d7ee312e22bd1b9426e47216ef063ef2cce66e089a59d9,1720,96,49,49,1720
236,94f997e8d7d44225d61d08b97659620e755c3a48269a7711847ad349a9125830,303,96,20,20,303
237,65581bd1ddc53f130cac84c8df83f80295c1a3162d64cce850465d69c2faeab1,347,96,25,25,347
238,9777b390daeddca2aa6c9052607145f49b8f48a6fc39ca40b0fab62cd153d314,469,96,15,15,469
239,e4520c62aed3a6fd2854bdbaef518173baa30a0b701e11622b8b0d9d7ac1c295,660,96,58,58,660
240,f9537e5da6e5e72a4aba42c80daa21b614f459c5a11e7973bf23377f8918891b,417,96,45,45,417
241,920d53f2ba8db9ed226d6430fe54f562849c9cd1a5c72a52e854cc4e3bc78348,712,96,23,23,712
242,ea70f94ced8c73b71298700f937023c6fc660ef5e672a6c07738c08930a7925e,379,96,42,42,379
243,16acf8ec266adf7496ad0d234749b75d18270a557adc63a9f786ad010e8c986c,727,96,95,95,727
244,d98b2269ed529294b838f8aa92181c343c8be8aaa38704c019ad61866028ee6d,503,96,72,72,503
245,f486bd8745bc94336c6ed7b32c34b73eaf0259ff1b489161802856de636d3342,499,96,37,37,499
246,cc9657ed9d24be73f3ac2409be1b57319f8dfa7b1db7a59a3cd08630064a38a1,190,96,30,30,190
247,462359258ec669436763287109f8c6e8b5abc18eaea3865a9f123c8852a40ea4,957,96,60,60,957
248,650f90f781d9587cf7e61bc4dea41923a4ad0637252769e342ad329c0221f9ff,144,96,19,19,144
249,c14a1285a61abbca445e7369adf981bd085e703ad3cecc8acb5499797b348e1c,441,96,28,28,441
250,83618860fad41d20f0945e036b4bc270c90e6c96b6ddd84eff31402ffef38fa4,508,96,72,72,508
251,bc510befd27fd42cb2f578bf430c05cecbde0e650ff593efb7c1af6450c7421c,593,96,54,54,593
