sequence_key,primary_gene,representative_protein_id,target_assay_family,structure_bin,pdb_path,scope_source,inclusion_reason
SEQ000022,ALDH2,P05091,enzyme,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P05091-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000023,ALDH5A1,P51649,enzyme,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P51649-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000024,ALK,Q9UM73,kinase,C_manual_review_structure,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-Q9UM73-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000025,ALOX12,P18054,enzyme,C_manual_review_structure,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P18054-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000026,ALOX5,P09917,enzyme,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P09917-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000027,AMY2A,P04746,enzyme,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P04746-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000030,ANO1,Q5XXA6,ion_channel,D_no_primary_structure_support,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-Q5XXA6-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000031,AOC1,P19801,enzyme,B_strict_supported_overlap,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P19801-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000033,AR,P10275,nuclear_epigenetic,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P10275-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000037,AXL,P30530,kinase,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P30530-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000038,BCHE,P06276,enzyme,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P06276-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000040,BCL2,P10415,other_assayable,D_no_primary_structure_support,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P10415-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000042,BMPR1A,P36894,enzyme,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P36894-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000043,BMPR1B,O00238,enzyme,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-O00238-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000044,BMPR2,Q13873,enzyme,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-Q13873-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000045,BRAF,P15056,kinase,B_strict_supported_overlap,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P15056-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000046,BTK,Q06187,kinase,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-Q06187-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000047,C1S,P09871,enzyme,D_no_primary_structure_support,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P09871-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000051,CA1,P00915,enzyme,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P00915-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000052,CA12,O43570,enzyme,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-O43570-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000053,CA2,P00918,enzyme,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P00918-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000054,CA4,P22748,enzyme,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P22748-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000055,CA7,P43166,enzyme,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P43166-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000056,CACNA1B,Q00975,ion_channel,C_manual_review_structure,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-Q00975-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000069,CD38,P28907,enzyme,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P28907-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000076,CDA,P32320,enzyme,B_strict_supported_overlap,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P32320-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000077,CDK4,P11802,kinase,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P11802-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000078,CDK6,Q00534,kinase,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-Q00534-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000080,CFB,P00751,enzyme,C_manual_review_structure,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P00751-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000081,CFD,P00746,enzyme,D_no_primary_structure_support,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P00746-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000082,CFTR,P13569,ion_channel,B_strict_supported_overlap,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P13569-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000087,CLCN2,P51788,ion_channel,D_no_primary_structure_support,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P51788-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000091,COMT,P21964-2,enzyme,B_strict_supported_overlap,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P21964-2-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000092,CPS1,P31327,enzyme,C_manual_review_structure,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P31327-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000093,CPT1B,Q92523,transporter,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-Q92523-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000094,CPT2,P23786,enzyme,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P23786-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000096,CSF1R,P07333,enzyme,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P07333-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000098,CSNK1E,P49674,kinase,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P49674-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000101,CYP11A1,P05108,enzyme,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P05108-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000102,CYP11B1,P15538,enzyme,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P15538-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000103,CYP11B2,P19099,enzyme,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P19099-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000104,CYP17A1,P05093,enzyme,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P05093-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000105,CYP19A1,P11511,enzyme,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P11511-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000107,DDC,P20711,enzyme,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P20711-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000108,DDR2,Q16832,enzyme,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-Q16832-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000109,DHCR24,Q15392,enzyme,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-Q15392-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000110,DHFR,P00374,enzyme,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P00374-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000111,DHODH,Q02127,enzyme,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-Q02127-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000112,DIO1,P49895-7,enzyme,D_no_primary_structure_support,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P49895-7-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000115,DNMT1,P26358-3,nuclear_epigenetic,C_manual_review_structure,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P26358-3-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000116,DNMT3A,Q9Y6K1,nuclear_epigenetic,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-Q9Y6K1-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000117,DPEP1,P16444,enzyme,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P16444-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000118,DPP4,P27487,enzyme,C_manual_review_structure,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P27487-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000125,EGFR,P00533,kinase,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P00533-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000126,EGLN1,Q9GZT9-3,enzyme,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-Q9GZT9-3-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000127,EGLN2,Q96KS0-2,enzyme,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-Q96KS0-2-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000128,EGLN3,Q9H6Z9,enzyme,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-Q9H6Z9-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000129,ELANE,P08246,enzyme,D_no_primary_structure_support,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P08246-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000131,EPAS1,Q99814,nuclear_epigenetic,C_manual_review_structure,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-Q99814-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000133,EPHA2,P29317,enzyme,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P29317-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000135,ERBB2,P04626,kinase,C_manual_review_structure,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P04626-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000136,ERBB4,Q15303,kinase,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-Q15303-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000137,ESR1,P03372,nuclear_epigenetic,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P03372-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000138,ESR2,Q92731,nuclear_epigenetic,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-Q92731-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000139,EZH2,Q15910,nuclear_epigenetic,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-Q15910-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000140,F10,P00742,enzyme,D_no_primary_structure_support,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P00742-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000141,F11,P03951,enzyme,C_manual_review_structure,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P03951-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000142,F12,P00748,enzyme,D_no_primary_structure_support,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P00748-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000143,F13A1,P00488,enzyme,C_manual_review_structure,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P00488-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000144,F2,P00734,enzyme,D_no_primary_structure_support,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P00734-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000147,F5,P12259,enzyme,C_manual_review_structure,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P12259-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000148,F7,P08709-2,enzyme,C_manual_review_structure,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P08709-2-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000149,F8,P00451-2,enzyme,D_no_primary_structure_support,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P00451-2-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000150,F9,P00740-2,enzyme,D_no_primary_structure_support,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P00740-2-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000151,FAAH,O00519,enzyme,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-O00519-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000153,FDPS,P14324-2,enzyme,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P14324-2-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000155,FGFR1,P11362,enzyme,C_manual_review_structure,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P11362-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000156,FGFR2,P21802,enzyme,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P21802-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000157,FGFR3,P22607,enzyme,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P22607-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000158,FKBP1A,P62942,enzyme,B_strict_supported_overlap,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P62942-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000159,FLT1,P17948,enzyme,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P17948-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000160,FLT3,P36888,kinase,B_strict_supported_overlap,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P36888-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000161,FLT4,P35916,enzyme,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P35916-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000163,FOLH1,Q04609-6,enzyme,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-Q04609-6-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000165,FRK,P42685,kinase,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P42685-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000167,GAA,P10253,enzyme,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P10253-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000168,GART,P22102-2,enzyme,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P22102-2-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000170,GGCX,P38435,enzyme,C_manual_review_structure,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P38435-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000175,GLA,P06280,enzyme,B_strict_supported_overlap,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P06280-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000179,GPD2,P43304-2,enzyme,B_strict_supported_overlap,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P43304-2-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000181,GRIN2A,Q12879,ion_channel,C_manual_review_structure,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-Q12879-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000182,GSR,P00390,enzyme,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P00390-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000183,GUCY2C,P25092,enzyme,C_manual_review_structure,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P25092-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000185,HCK,P08631,kinase,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P08631-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000186,HCN4,Q9Y3Q4,ion_channel,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-Q9Y3Q4-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000189,HDAC1,Q13547,nuclear_epigenetic,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-Q13547-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000190,HDAC2,Q92769-3,nuclear_epigenetic,C_manual_review_structure,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-Q92769-3-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000191,HDAC3,O15379,nuclear_epigenetic,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-O15379-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000192,HDAC6,Q9UBN7,nuclear_epigenetic,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-Q9UBN7-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000193,HMGCR,P04035,enzyme,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P04035-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
