sequence_key,primary_gene,representative_protein_id,pdb_path,expected_representative_protein_id,expected_sequence_length,expected_sequence_sha256,template_sequence_length,template_sequence_sha256,receptor_pdb_sha256,pocket_definition_sha256,pocket_definition_status,sequence_match_status
SEQ000020,AHR,P35869,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P35869-F1-model_v6.pdb,A4D130,848,37e405aacce2a3f7dce748db4891554b5e5bbedc23dc555869faf6d865e697b3,848,37e405aacce2a3f7dce748db4891554b5e5bbedc23dc555869faf6d865e697b3,d1623fe5911f8e5873624307dc222ab79d41a3d6d4d0cb94c5624867973ff802,4f689a3e89da05c510d122d5071d7cbef6d5e633ce94d1e8b8ab74acf1448a42,present,exact_match
SEQ000021,AKR1B1,P15121,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P15121-F1-model_v6.pdb,B2R8N3,316,ea6689b6c8edb306fc5da3e16dba9d7362e6e517d15f469c38e5c4fb8858d27f,316,ea6689b6c8edb306fc5da3e16dba9d7362e6e517d15f469c38e5c4fb8858d27f,e105eb160e33f0849e2e1e558d66f7ab51dd00b28fb7d791efd4b0caa36c5e37,e26118d80e8dc6063a6057ee3ad003def0ffe6860d3e647a9833a6050b904cf4,present,exact_match
SEQ000022,ALDH2,P05091,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P05091-F1-model_v6.pdb,B4DW54,517,c6dc987207be93233446f3947fccc4d81639830021577c917834d80f57fd44dd,517,c6dc987207be93233446f3947fccc4d81639830021577c917834d80f57fd44dd,e063d790965064c2aaa9c9273929370f6547ba1d7028fff812c8ff8139c2f559,3319f14d63eb998bdc06a0c08727cbbc9dfc08597b2bc946df90aec2a777a6af,present,exact_match
SEQ000023,ALDH5A1,P51649,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P51649-F1-model_v6.pdb,B2RD26,535,75d56b10a2333553c758f86a0f55199fce32b36120f166f2fca7fe1365931dbb,535,75d56b10a2333553c758f86a0f55199fce32b36120f166f2fca7fe1365931dbb,357dd98d978b53e5ff8b097324675982aa1259d14945efd81ba7c31339be79b3,1766c389d46bdb5fbc8f373f1fb2699574d0374ca5257ec5c55824b8441cfa1f,present,exact_match
SEQ000024,ALK,Q9UM73,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-Q9UM73-F1-model_v6.pdb,Q4ZFX9,1620,74716bef5c87821e4b00db1043b6b1f1b4e661f13f1fc7dc3e9b3ceb33ba71d9,1620,74716bef5c87821e4b00db1043b6b1f1b4e661f13f1fc7dc3e9b3ceb33ba71d9,1ca4b3901a9315bfc73425e520d354e4ef90d2d80857b174a13d68e3fb9bdd94,220c8f0799edd494475d6ba0ed4944569161a3898528c4ac2bf7b37b1fc0b194,present,exact_match
SEQ000025,ALOX12,P18054,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P18054-F1-model_v6.pdb,O95569,663,b8c0da372cb95f619176f62b3fc72e6e5d9f61e414d27b8729e4cf94beee0cf4,663,b8c0da372cb95f619176f62b3fc72e6e5d9f61e414d27b8729e4cf94beee0cf4,80fc00a7032fc0175f124237c6678a54d3953f1a21a4ae0d55eb51f20c613ab0,4810d037475c813b0fcf02faaf2a2c24bb47e2c665dbf92c0513040958b4c21e,present,exact_match
SEQ000026,ALOX5,P09917,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P09917-F1-model_v6.pdb,B7ZLS0,674,48dadd9917c0a709ac9463f4394ce35885b7791bd3cbd6398c60f27e34d6eab6,674,48dadd9917c0a709ac9463f4394ce35885b7791bd3cbd6398c60f27e34d6eab6,39c2494f580267af27868c159453d76ac7b5682087c37584af39663301148c1c,101e928f5c2de4a8ccf4685d126de496204242b1c7d84d60ebd40bebbc33b5f0,present,exact_match
SEQ000027,AMY2A,P04746,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P04746-F1-model_v6.pdb,B9EJG1,511,427556ee7e35633327c1f10323a53d0dd5f99eadf9f9c82b9eeac4ca4690350f,511,427556ee7e35633327c1f10323a53d0dd5f99eadf9f9c82b9eeac4ca4690350f,987aa6aaec37c49852b774f76eca3798d871f8eba89dead2f3e17c7ed82a2102,30db76fbac1b39b71c7a42970685d71e5b2e2d02433df4cb94dfacb867da3e0b,present,exact_match
SEQ000030,ANO1,Q5XXA6,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-Q5XXA6-F1-model_v6.pdb,A0A2H4Y9B2,986,67d0180c2237bd5632e91bb92196fa42a3c92129e8c6b900363df248cd1368e0,986,67d0180c2237bd5632e91bb92196fa42a3c92129e8c6b900363df248cd1368e0,8b5b1661a8af3b36552ff743a2757cb0c71a76157356d97dc57c98c837eb495f,3de0a4d643491011effdcacd0d9ed96fbd20e8c93ede9b9534dea492511711ce,present,exact_match
SEQ000031,AOC1,P19801,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P19801-F1-model_v6.pdb,C9J690,751,3f536bf8d9a0d26399b1b95ed86e80aa89933eae3643f266d0eb8b65c5575c1e,751,3f536bf8d9a0d26399b1b95ed86e80aa89933eae3643f266d0eb8b65c5575c1e,1fb06659691135332fb1093cd486fbf8ac5777bb5de2afcbb81e04e928177dc0,13f34059a912fc4fef1b41969d51cbee4382257d15938e48f82d084f09319ae8,present,exact_match
SEQ000033,AR,P10275,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P10275-F1-model_v6.pdb,A0A0B4J1T2,920,043f80df5b673d9048e118735cb0230b0baaa23f788c3bae0010f9995412d852,920,043f80df5b673d9048e118735cb0230b0baaa23f788c3bae0010f9995412d852,770a7afba3d90490ad9ee1c7ee4398a8cf5ccf4693c2a1495596bd201db7f4c5,dd85b8b1998048544785ab8082cb89975e97ff743894fd2213cb40597e74d3ab,present,exact_match
SEQ000037,AXL,P30530,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P30530-F1-model_v6.pdb,Q8N5L2,894,0e1b606ba4a2733bcc0bfda24d9072606dc3876638804d08520b6d5c668ea019,894,0e1b606ba4a2733bcc0bfda24d9072606dc3876638804d08520b6d5c668ea019,a1c837d8865f057f9b3f655fcfc26aa6e17cd6c14c897f9d9bfbbca41184007b,a9e00104f5a8af6632219456851c56ab52cc3fa1e9afbd36c2f956e0eb5320d9,present,exact_match
SEQ000038,BCHE,P06276,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P06276-F1-model_v6.pdb,A8K7P8,602,67540da68467479faeedb7ebcd6629f2494423b949be8f07de2c5dd364d133a9,602,67540da68467479faeedb7ebcd6629f2494423b949be8f07de2c5dd364d133a9,635e16d2689a902c664a7782a4b40f6d2b96a5f5712bb7cf456752c43b621bac,5349e5a2965934c57b3815c361137bc1ac4bde0e0f29dbba662981888c45c114,present,exact_match
SEQ000040,BCL2,P10415,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P10415-F1-model_v6.pdb,C9JHD5,239,fff13b41ef65181ecfd036c714d8c453d73781b4e2a5bd73a6cbe02d9829fb19,239,fff13b41ef65181ecfd036c714d8c453d73781b4e2a5bd73a6cbe02d9829fb19,1b74f47f9e4c212fa51d3a5905266ac78ef54b57a9e0d1252f6503ac12e2facd,dcadaa45bbb57e602fd7ff1d3bb66771126577469f61ada387055dd9cf15b96c,present,exact_match
SEQ000042,BMPR1A,P36894,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P36894-F1-model_v6.pdb,A8K6U9,532,2d43213963de67d768d71ee3edbd337e1d66e34f88a5ef5ebdcbee782cb3980d,532,2d43213963de67d768d71ee3edbd337e1d66e34f88a5ef5ebdcbee782cb3980d,9a2afcd12a1c155558b524ec11d99caa2c74e3857a97801e8f22924600278626,dde6eaeb0c5bc2a6299332182573743d2c2e3c7e3e20a6491f0ac31f726aeb91,present,exact_match
SEQ000043,BMPR1B,O00238,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-O00238-F1-model_v6.pdb,B2R953,502,ce1def7aae1584f1d555b8d5bc63790ee6e9c5a5474f8b1eba016a52c334af8e,502,ce1def7aae1584f1d555b8d5bc63790ee6e9c5a5474f8b1eba016a52c334af8e,b9292719e9945864e5178a37ac1dd87a5241ce496f33c61ca7f75d535d569ada,d458a2ff3b0a646f101d3880f107b236c774c1f3a8a111c0cf35f11fbd1a331a,present,exact_match
SEQ000044,BMPR2,Q13873,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-Q13873-F1-model_v6.pdb,Q13161,1038,8cf7ac731c31e2b6a6f1e239a4eb72e5fdc74cbf4b78e6e632c88ee776a35da0,1038,8cf7ac731c31e2b6a6f1e239a4eb72e5fdc74cbf4b78e6e632c88ee776a35da0,6542e6fea57efe4b122df29c6e33c449da1dd8b57172cde10d4a978dbe38e1a8,dfef02c90fa2ab6818858a7d4aebfb9bb9d98261c28e0e583ef24106c37766ae,present,exact_match
SEQ000045,BRAF,P15056,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P15056-F1-model_v6.pdb,A4D1T4,766,1a1d669b0622fbe831f52ddb1be8e99ed35c39eea791b55b52db12a80811e274,766,1a1d669b0622fbe831f52ddb1be8e99ed35c39eea791b55b52db12a80811e274,73e7fde74dca04df65fb3370fd969cd485d83b2f9dd102975f10a87fdfa78766,13cfc12123175b459584615767616d2c42d859aea51611b760a6a57073500390,present,exact_match
SEQ000046,BTK,Q06187,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-Q06187-F1-model_v6.pdb,B2RAW1,659,2050e121c40716b1679af0b304ba648e1f3f6d4bf32ac563318974ec64d5167a,659,2050e121c40716b1679af0b304ba648e1f3f6d4bf32ac563318974ec64d5167a,84e0dfa98c835797ccf5ca449d242a2ef2fb3095d56a94c229186b42356bfe18,f5bc14bb991da0e3c76ee6cb204a92a3224e94656c17b2ca7343f24f8169078c,present,exact_match
SEQ000047,C1S,P09871,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P09871-F1-model_v6.pdb,D3DUT4,688,7710c1bd275b8d3816f9cd396e4e65814337bdf886aa89294e17959ee841432f,688,7710c1bd275b8d3816f9cd396e4e65814337bdf886aa89294e17959ee841432f,866083fb24110009e0d8c5e4d1bec783cca2b21ae2edf7f8da6cf409c93f485c,027d118e79d76fadb136795aab790cd1f17ee3f4040eb0ac0fdf66e6991166b2,present,exact_match
SEQ000051,CA1,P00915,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P00915-F1-model_v6.pdb,P00915,261,5862305c8302b2d7dd9de31f34102a1220d9099d9f6f7b961610ed4337934880,261,5862305c8302b2d7dd9de31f34102a1220d9099d9f6f7b961610ed4337934880,5e1c8f47c6195d754ea8c818e20d76b9e1c3cdfaba22021a136716786b8c00fc,2c197ee9351967ff837b59c0588a85afa8fce720f19022da394bcf709c9c10d9,present,exact_match
SEQ000052,CA12,O43570,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-O43570-F1-model_v6.pdb,B2RE24,354,d89aa1703772ab0d843c4b6d2d4fdb768a09306cfd03519f41314fa57166024c,354,d89aa1703772ab0d843c4b6d2d4fdb768a09306cfd03519f41314fa57166024c,5e3d726fbdcf8824dea6e14798179dd1965a8bdb5aa614415344261e0b46ea49,cf8196d688285299889bcf3cf43fc19a9a32b4300a19a8c861973ee3ef87c0e7,present,exact_match
SEQ000053,CA2,P00918,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P00918-F1-model_v6.pdb,B2R7G8,260,e6a24c903c1ef211037c64a6835a8a484f48b17be1cae50d6998913f21acf7d4,260,e6a24c903c1ef211037c64a6835a8a484f48b17be1cae50d6998913f21acf7d4,b8b736bf9d72c8357054523386e2f8e30d526ba074e135760981510cfda90d53,82f1a55b0c9697546d6c0229dbfb37e94fceb18c596905f5dfbcfb6e230b57b9,present,exact_match
SEQ000054,CA4,P22748,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P22748-F1-model_v6.pdb,B4DQA4,312,62f5e1881b0efc28f2f60c2972f6226477c26b841e00762613f38246a2677974,312,62f5e1881b0efc28f2f60c2972f6226477c26b841e00762613f38246a2677974,bdc990fc20661519a52c692dc6472560795d2359dec06af9c2b5a262686f8401,436ac286c79fdfdfbfa042212ba71324a5c0b8c0eddd254c7d8030058a4d80b5,present,exact_match
SEQ000055,CA7,P43166,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P43166-F1-model_v6.pdb,Q541F0,264,e4a9ea745635c950475641c84676edde20d12f8fc62fb2c5df55eabe66448254,264,e4a9ea745635c950475641c84676edde20d12f8fc62fb2c5df55eabe66448254,7d3e3b694e34bda6f49124679c3dadbe6f067aacd4ee348cdf3d2c2f93bc9db5,f44f3b3faa10c6c05801198b5755e7639ffed3b0fce2639bdfb8cdc39492bddd,present,exact_match
SEQ000056,CACNA1B,Q00975,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-Q00975-F1-model_v6.pdb,B1AQK5,2339,455a3743ead4dc373fcf76bcaa0ba8a3cd517d97ac52e18988d560da6c3747c9,2339,455a3743ead4dc373fcf76bcaa0ba8a3cd517d97ac52e18988d560da6c3747c9,d992cefcf97d04793a67c7cb886b53365e6c602e2089cdecbe8ad7dadf8bccc4,0b27b6e491d8ab89ce2471115fc4afc833f7273621d807e1abf71f7a2f1b3535,present,exact_match
SEQ000069,CD38,P28907,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P28907-F1-model_v6.pdb,O00121,300,cd93638e360115a76f40fc9134aac479b8c46054174220c524975b8e00665fab,300,cd93638e360115a76f40fc9134aac479b8c46054174220c524975b8e00665fab,2e12e395f5178258a5575968e45bcb0e711a2add65a9e6aed42c9df221f9ed3e,eb726424f46d0a5bae81c93f7776b901c1a2050c499e68acd1e145b2f7718d69,present,exact_match
SEQ000076,CDA,P32320,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P32320-F1-model_v6.pdb,P32320,146,6bac7f2ffc270dc95b451aae54c85ce01ab5e4f15f7ced5e397d76fe1501dea2,146,6bac7f2ffc270dc95b451aae54c85ce01ab5e4f15f7ced5e397d76fe1501dea2,68633605ec1c06f28bd2867bc5432bd663554a04e784b45e3ea2ce72022646c1,e02a36b788b58ba42942f5c46277ee652a888fe463638be5e45b829bb264b966,present,exact_match
SEQ000077,CDK4,P11802,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P11802-F1-model_v6.pdb,B2R9A0,303,94f997e8d7d44225d61d08b97659620e755c3a48269a7711847ad349a9125830,303,94f997e8d7d44225d61d08b97659620e755c3a48269a7711847ad349a9125830,55a26fd71279bfcea1fa11be912e6afed8abac266a688bde7ab7773d4f7d38a8,fdd08c53fc3132cb63c8b7343069afc9bb4954f10f84a5b0e636f892924585c3,present,exact_match
SEQ000078,CDK6,Q00534,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-Q00534-F1-model_v6.pdb,A4D1G0,326,051fc4732e4921492421cda1544c298561f4d5e41751c6e73886e38ed9280207,326,051fc4732e4921492421cda1544c298561f4d5e41751c6e73886e38ed9280207,fb58b3879059bc5757d946331e11160b8fb185a805bb54c202b5522e4212f2c7,1aa778a330770da0b4b63754542a64798f0ddbe20b997867bf380a8f96851f7a,present,exact_match
SEQ000080,CFB,P00751,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P00751-F1-model_v6.pdb,B0QZQ6,764,f9c47916ec9ee1cf8af91ccc42f6a3a095bebec36067307a68a484b6c928c423,764,f9c47916ec9ee1cf8af91ccc42f6a3a095bebec36067307a68a484b6c928c423,a806fd7b2b7a04966940840eef2227ebb5fe27debf5a7e69f8571bff6f840cab,ca13b71c624c5bab55f43db8c1665b89014d01798ab090a2bdaf4a286141c783,present,exact_match
SEQ000081,CFD,P00746,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P00746-F1-model_v6.pdb,B4DV76,253,89b6935d8d5a99809a7ad4248ac8f8a498ab29e6b864ea77eb4d272755a2fd90,253,89b6935d8d5a99809a7ad4248ac8f8a498ab29e6b864ea77eb4d272755a2fd90,55844521d1d26d7744c6d7b58f2fff2c084fff71a1a8350837041e5f4f2592eb,94f4ff8d59bbf3d7dafc065a0494985e598dd7853a4359c58696aa1a849f4dd9,present,exact_match
SEQ000082,CFTR,P13569,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P13569-F1-model_v6.pdb,Q20BG8,1480,a86f7dbeb9c5f48401a1a452b440d782c35067d2da152180a09ce26f76d11639,1480,a86f7dbeb9c5f48401a1a452b440d782c35067d2da152180a09ce26f76d11639,afd373f7f29fe06e0b0a5eb630ec3e5ab86371f3796b02cc668a3808c95e8611,12fe96c72134b5c0071fceae9e385f066b4a4afbd317f317f1603ebaca2f1760,present,exact_match
SEQ000087,CLCN2,P51788,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P51788-F1-model_v6.pdb,B4DQT9,898,7756423b3cb4a3ce6ad2f3dba705c7a6aa3804e8306021e09b6040c2b2f4a110,898,7756423b3cb4a3ce6ad2f3dba705c7a6aa3804e8306021e09b6040c2b2f4a110,1b65ef450ecc47f293d16e263c85b92e8dddc4fdc6c2974c237720c706ad9bec,612cbbb5d25b0b6a5eaa1a1278ca85498fb9c561bae1fcf19c1dc0950df1fc5e,present,exact_match
SEQ000091,COMT,P21964-2,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P21964-2-F1-model_v6.pdb,A8MPV9,271,fc502f28a5134139f882e1cd5f20b4d641ea2c1f06edf89614d705d32c7fe408,221,622e00eb9660a40ee94aeb7a918e2be0fa91ac290f029516b9f0569d2b56e2ee,957cc1fb5b3d5ed111f68d3b60b597ceb97e41c6ec091e70882e330ad6399c19,11315655638e8c928cbc663b8ea0cf76672001a5633e488a91f12b8ef0dced8c,present,sequence_mismatch
SEQ000092,CPS1,P31327,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P31327-F1-model_v6.pdb,B7Z818,1500,66622a82f290497bf9ea701076a942aa9e037bad7e6e5146f97a7133dfd22940,1500,66622a82f290497bf9ea701076a942aa9e037bad7e6e5146f97a7133dfd22940,4b301c46d0ae6f39c50a7dfb28a33c76479a406949fde3d046bd2047515e451c,6f4a9a08b804ca9fd12c0fefe9417ce181660741102697760f676c5f0ce5eaff,present,exact_match
SEQ000093,CPT1B,Q92523,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-Q92523-F1-model_v6.pdb,B7Z4U4,772,a93d8265b260ba945a147042f68980aeec2ea04e8b4588fbcc912da3ec27dc1e,772,a93d8265b260ba945a147042f68980aeec2ea04e8b4588fbcc912da3ec27dc1e,66673976001903b45a957e77bf5652575737c99130c9d5b5a1b47186acfca898,34528e5c801afbc3332a77d0d51b7d005c2f8a162fbe60af95a2fa2b0b5fbe63,present,exact_match
SEQ000094,CPT2,P23786,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P23786-F1-model_v6.pdb,B2R6S0,658,d1cd75a0dd4ecc23a4cf430e9fb3d777e219283d6387f3607588492a4216c201,658,d1cd75a0dd4ecc23a4cf430e9fb3d777e219283d6387f3607588492a4216c201,f04d98938d81b41ed52bd763d5c4f2ac3e945e30b5655fe0dfc8bd286c6f210b,8ae6954c814e5db1310d6dd0702340b6d143a314f723429e01f34afc182545cf,present,exact_match
SEQ000096,CSF1R,P07333,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P07333-F1-model_v6.pdb,B5A955,972,52b1cbc0ca3474810cb7949467e3a5a2851350643eb734f1c33aaca65b4a6fe4,972,52b1cbc0ca3474810cb7949467e3a5a2851350643eb734f1c33aaca65b4a6fe4,51410072a22e704f1c192e1fdfbebbd09a90c1e39776ce49f662034d69297de4,9feb289ec26a24dab54421098539101c33e391ee02730b102f37a585c67fcc16,present,exact_match
SEQ000098,CSNK1E,P49674,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P49674-F1-model_v6.pdb,P49674,416,2546fc8eb85f6ddb0c86a8118b17e473bd385a8c6e3d14c60d4193d21d098fc1,416,2546fc8eb85f6ddb0c86a8118b17e473bd385a8c6e3d14c60d4193d21d098fc1,09c87f1a87b76f3b27dcb6b33fabe973cbab77c3b79482453b9f638df0d22b8c,f6d1668b176558108a327a099e38b3e88e7e1536eaae510fbed5ee4cda256be3,present,exact_match
SEQ000101,CYP11A1,P05108,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P05108-F1-model_v6.pdb,A8K8D5,521,a97380fe4bf1f95f9d7ca044c8c320981c944c020311ffe61542426c78221856,521,a97380fe4bf1f95f9d7ca044c8c320981c944c020311ffe61542426c78221856,c552c53614bbb39c5e1e8fdf33c87a7e91383555fd4786100e8d6cc0bf323f26,c5086d92d92bfabca0fbee272d941107ba13fec0a3839f4ef9da4705b0a30c2d,present,exact_match
SEQ000102,CYP11B1,P15538,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P15538-F1-model_v6.pdb,Q14095,503,8759d02877c2edf1cd747fc987a8e5230be180fb1e10bb4f5b2db0e8fdcf9319,503,8759d02877c2edf1cd747fc987a8e5230be180fb1e10bb4f5b2db0e8fdcf9319,ac94a43f5d01f20099e479ea9a8605df0850397bd51304a2427523c72ed29907,638b97a62b53e20227d34f10ed8034af71ce51997ce799c6f38fa5937ffdbf95,present,exact_match
