原候选编号,药物完整InChIKey,新靶点ChEMBL编号,小分子药物名称,新靶点基因,canonical_target_id,exact_pair_id,connectivity_pair,accepted_exact_source_records,accepted_connectivity_related_source_records,note
C384-094,FBOUYBDGKBSUES-VXKWHMMOSA-N,CHEMBL2326,solifenacin,CA7,SEQ:e4a9ea745635c950475641c84676edde20d12f8fc62fb2c5df55eabe66448254,FBOUYBDGKBSUES-VXKWHMMOSA-N__SEQ:e4a9ea745635c950475641c84676edde20d12f8fc62fb2c5df55eabe66448254,FBOUYBDGKBSUES__SEQ:e4a9ea745635c950475641c84676edde20d12f8fc62fb2c5df55eabe66448254,0,0,All related historical records reserved; connectivity-only matches are not exact experimental evidence for the frozen candidate.
C384-128,UJVDJAPJQWZRFR-DHIUTWEWSA-N,CHEMBL1808,macimorelin,ACE,SEQ:9b90c234c007ae25d011f573a0deccfd96ca908b193a043413120f802384f402,UJVDJAPJQWZRFR-DHIUTWEWSA-N__SEQ:9b90c234c007ae25d011f573a0deccfd96ca908b193a043413120f802384f402,UJVDJAPJQWZRFR__SEQ:9b90c234c007ae25d011f573a0deccfd96ca908b193a043413120f802384f402,0,0,All related historical records reserved; connectivity-only matches are not exact experimental evidence for the frozen candidate.
C384-157,BRUQQQPBMZOVGD-XFKAJCMBSA-N,CHEMBL2326,oxycodone,CA7,SEQ:e4a9ea745635c950475641c84676edde20d12f8fc62fb2c5df55eabe66448254,BRUQQQPBMZOVGD-XFKAJCMBSA-N__SEQ:e4a9ea745635c950475641c84676edde20d12f8fc62fb2c5df55eabe66448254,BRUQQQPBMZOVGD__SEQ:e4a9ea745635c950475641c84676edde20d12f8fc62fb2c5df55eabe66448254,0,0,All related historical records reserved; connectivity-only matches are not exact experimental evidence for the frozen candidate.
C384-158,JVLBPIPGETUEET-WIXLDOGYSA-O,CHEMBL1902,methylnaltrexone,FKBP1A,SEQ:7c2c9a4005a08f9f8ed2ce2e3b7d9432dd39547abafef80ffab6adbb89753b2c,JVLBPIPGETUEET-WIXLDOGYSA-O__SEQ:7c2c9a4005a08f9f8ed2ce2e3b7d9432dd39547abafef80ffab6adbb89753b2c,JVLBPIPGETUEET__SEQ:7c2c9a4005a08f9f8ed2ce2e3b7d9432dd39547abafef80ffab6adbb89753b2c,0,0,All related historical records reserved; connectivity-only matches are not exact experimental evidence for the frozen candidate.
C384-196,UEJJHQNACJXSKW-UHFFFAOYSA-N,CHEMBL2085,thalidomide,MIF,SEQ:6fcd7510546f6916475197b4cc685730be47749ee22261b24813a38c97516602,UEJJHQNACJXSKW-UHFFFAOYSA-N__SEQ:6fcd7510546f6916475197b4cc685730be47749ee22261b24813a38c97516602,UEJJHQNACJXSKW__SEQ:6fcd7510546f6916475197b4cc685730be47749ee22261b24813a38c97516602,0,0,All related historical records reserved; connectivity-only matches are not exact experimental evidence for the frozen candidate.
C384-197,YFGHCGITMMYXAQ-LJQANCHMSA-N,CHEMBL1994,armodafinil,NR3C2,SEQ:cc3ab1bd86da746c869394db023aa68c2e557d769f04f80ee36b584a8929621c,YFGHCGITMMYXAQ-LJQANCHMSA-N__SEQ:cc3ab1bd86da746c869394db023aa68c2e557d769f04f80ee36b584a8929621c,YFGHCGITMMYXAQ__SEQ:cc3ab1bd86da746c869394db023aa68c2e557d769f04f80ee36b584a8929621c,0,0,All related historical records reserved; connectivity-only matches are not exact experimental evidence for the frozen candidate.
C384-287,HSUGRBWQSSZJOP-RTWAWAEBSA-N,CHEMBL286,diltiazem,REN,SEQ:fcfb09a6bd3571f67e1a10ecdcd3005e00f3bd03a7e392bbe0ad742723ca029f,HSUGRBWQSSZJOP-RTWAWAEBSA-N__SEQ:fcfb09a6bd3571f67e1a10ecdcd3005e00f3bd03a7e392bbe0ad742723ca029f,HSUGRBWQSSZJOP__SEQ:fcfb09a6bd3571f67e1a10ecdcd3005e00f3bd03a7e392bbe0ad742723ca029f,0,0,All related historical records reserved; connectivity-only matches are not exact experimental evidence for the frozen candidate.
C384-303,WYQFJHHDOKWSHR-MNOVXSKESA-N,CHEMBL3045,upadacitinib,PRKCB,SEQ:16ffa90895441e3c32abb8702ebfe89e4438f590980615be67ff8928f20bd1c9,WYQFJHHDOKWSHR-MNOVXSKESA-N__SEQ:16ffa90895441e3c32abb8702ebfe89e4438f590980615be67ff8928f20bd1c9,WYQFJHHDOKWSHR__SEQ:16ffa90895441e3c32abb8702ebfe89e4438f590980615be67ff8928f20bd1c9,0,0,All related historical records reserved; connectivity-only matches are not exact experimental evidence for the frozen candidate.
C384-003,LCQLHJZYVOQKHU-VKHMYHEASA-N,CHEMBL4393,carglumic acid,MMP12,SEQ:d33636de0202233be8069eb472da2746f837b54b1ddb71cc15ccd39b47d43373,LCQLHJZYVOQKHU-VKHMYHEASA-N__SEQ:d33636de0202233be8069eb472da2746f837b54b1ddb71cc15ccd39b47d43373,LCQLHJZYVOQKHU__SEQ:d33636de0202233be8069eb472da2746f837b54b1ddb71cc15ccd39b47d43373,0,0,All related historical records reserved; connectivity-only matches are not exact experimental evidence for the frozen candidate.
C384-121,GDLBFKVLRPITMI-UHFFFAOYSA-N,CHEMBL1844,diazoxide,CSF1R,SEQ:52b1cbc0ca3474810cb7949467e3a5a2851350643eb734f1c33aaca65b4a6fe4,GDLBFKVLRPITMI-UHFFFAOYSA-N__SEQ:52b1cbc0ca3474810cb7949467e3a5a2851350643eb734f1c33aaca65b4a6fe4,GDLBFKVLRPITMI__SEQ:52b1cbc0ca3474810cb7949467e3a5a2851350643eb734f1c33aaca65b4a6fe4,0,0,All related historical records reserved; connectivity-only matches are not exact experimental evidence for the frozen candidate.
C384-222,GOTYRUGSSMKFNF-UHFFFAOYSA-N,CHEMBL4895,lenalidomide,AXL,SEQ:0e1b606ba4a2733bcc0bfda24d9072606dc3876638804d08520b6d5c668ea019,GOTYRUGSSMKFNF-UHFFFAOYSA-N__SEQ:0e1b606ba4a2733bcc0bfda24d9072606dc3876638804d08520b6d5c668ea019,GOTYRUGSSMKFNF__SEQ:0e1b606ba4a2733bcc0bfda24d9072606dc3876638804d08520b6d5c668ea019,0,0,All related historical records reserved; connectivity-only matches are not exact experimental evidence for the frozen candidate.
C384-288,FABUFPQFXZVHFB-PVYNADRNSA-N,CHEMBL1844,ixabepilone,CSF1R,SEQ:52b1cbc0ca3474810cb7949467e3a5a2851350643eb734f1c33aaca65b4a6fe4,FABUFPQFXZVHFB-PVYNADRNSA-N__SEQ:52b1cbc0ca3474810cb7949467e3a5a2851350643eb734f1c33aaca65b4a6fe4,FABUFPQFXZVHFB__SEQ:52b1cbc0ca3474810cb7949467e3a5a2851350643eb734f1c33aaca65b4a6fe4,0,0,All related historical records reserved; connectivity-only matches are not exact experimental evidence for the frozen candidate.
C384-304,YQEZLKZALYSWHR-ZDUSSCGKSA-N,CHEMBL2850,esketamine,GSK3A,SEQ:67ced0ee45a5604018657739b01b5cc9768f680f2dd9cde0fd1b2564d2c7a677,YQEZLKZALYSWHR-ZDUSSCGKSA-N__SEQ:67ced0ee45a5604018657739b01b5cc9768f680f2dd9cde0fd1b2564d2c7a677,YQEZLKZALYSWHR__SEQ:67ced0ee45a5604018657739b01b5cc9768f680f2dd9cde0fd1b2564d2c7a677,0,0,All related historical records reserved; connectivity-only matches are not exact experimental evidence for the frozen candidate.
C384-080,HEFNNWSXXWATRW-UHFFFAOYSA-N,CHEMBL3729,ibuprofen,CA4,SEQ:62f5e1881b0efc28f2f60c2972f6226477c26b841e00762613f38246a2677974,HEFNNWSXXWATRW-UHFFFAOYSA-N__SEQ:62f5e1881b0efc28f2f60c2972f6226477c26b841e00762613f38246a2677974,HEFNNWSXXWATRW__SEQ:62f5e1881b0efc28f2f60c2972f6226477c26b841e00762613f38246a2677974,0,0,All related historical records reserved; connectivity-only matches are not exact experimental evidence for the frozen candidate.
C384-082,RLAWWYSOJDYHDC-BZSNNMDCSA-N,CHEMBL286,lisinopril,REN,SEQ:fcfb09a6bd3571f67e1a10ecdcd3005e00f3bd03a7e392bbe0ad742723ca029f,RLAWWYSOJDYHDC-BZSNNMDCSA-N__SEQ:fcfb09a6bd3571f67e1a10ecdcd3005e00f3bd03a7e392bbe0ad742723ca029f,RLAWWYSOJDYHDC__SEQ:fcfb09a6bd3571f67e1a10ecdcd3005e00f3bd03a7e392bbe0ad742723ca029f,0,0,All related historical records reserved; connectivity-only matches are not exact experimental evidence for the frozen candidate.
C384-004,QNZCBYKSOIHPEH-UHFFFAOYSA-N,CHEMBL1974,apixaban,FLT3,SEQ:68d60cea30219da8cef67dbcc1b81dcdebc8456663f7f54b6fb8cc6666a7b416,QNZCBYKSOIHPEH-UHFFFAOYSA-N__SEQ:68d60cea30219da8cef67dbcc1b81dcdebc8456663f7f54b6fb8cc6666a7b416,QNZCBYKSOIHPEH__SEQ:68d60cea30219da8cef67dbcc1b81dcdebc8456663f7f54b6fb8cc6666a7b416,0,0,All related historical records reserved; connectivity-only matches are not exact experimental evidence for the frozen candidate.
C384-102,UIAGMCDKSXEBJQ-UHFFFAOYSA-N,CHEMBL2326,nimodipine,CA7,SEQ:e4a9ea745635c950475641c84676edde20d12f8fc62fb2c5df55eabe66448254,UIAGMCDKSXEBJQ-UHFFFAOYSA-N__SEQ:e4a9ea745635c950475641c84676edde20d12f8fc62fb2c5df55eabe66448254,UIAGMCDKSXEBJQ__SEQ:e4a9ea745635c950475641c84676edde20d12f8fc62fb2c5df55eabe66448254,0,0,All related historical records reserved; connectivity-only matches are not exact experimental evidence for the frozen candidate.
C384-103,PYGWGZALEOIKDF-UHFFFAOYSA-N,CHEMBL1974,etravirine,FLT3,SEQ:68d60cea30219da8cef67dbcc1b81dcdebc8456663f7f54b6fb8cc6666a7b416,PYGWGZALEOIKDF-UHFFFAOYSA-N__SEQ:68d60cea30219da8cef67dbcc1b81dcdebc8456663f7f54b6fb8cc6666a7b416,PYGWGZALEOIKDF__SEQ:68d60cea30219da8cef67dbcc1b81dcdebc8456663f7f54b6fb8cc6666a7b416,0,0,All related historical records reserved; connectivity-only matches are not exact experimental evidence for the frozen candidate.
C384-129,CJBJHOAVZSMMDJ-HEXNFIEUSA-N,CHEMBL1902,darunavir,FKBP1A,SEQ:7c2c9a4005a08f9f8ed2ce2e3b7d9432dd39547abafef80ffab6adbb89753b2c,CJBJHOAVZSMMDJ-HEXNFIEUSA-N__SEQ:7c2c9a4005a08f9f8ed2ce2e3b7d9432dd39547abafef80ffab6adbb89753b2c,CJBJHOAVZSMMDJ__SEQ:7c2c9a4005a08f9f8ed2ce2e3b7d9432dd39547abafef80ffab6adbb89753b2c,0,0,All related historical records reserved; connectivity-only matches are not exact experimental evidence for the frozen candidate.
C384-162,LEBVLXFERQHONN-UHFFFAOYSA-N,CHEMBL2252,bupivacaine,CTSC,SEQ:11218c4d9b56cea287841837e6126434a6d3e34733904e87928c45e26a9e6beb,LEBVLXFERQHONN-UHFFFAOYSA-N__SEQ:11218c4d9b56cea287841837e6126434a6d3e34733904e87928c45e26a9e6beb,LEBVLXFERQHONN__SEQ:11218c4d9b56cea287841837e6126434a6d3e34733904e87928c45e26a9e6beb,0,0,All related historical records reserved; connectivity-only matches are not exact experimental evidence for the frozen candidate.
C384-163,LOMMPXLFBTZENJ-ZACQAIPSSA-N,CHEMBL208,belzutifan,PGR,SEQ:55af49dbd176eaddc736537238e00422c66a0de2d3ff6fb967010908ca36a64d,LOMMPXLFBTZENJ-ZACQAIPSSA-N__SEQ:55af49dbd176eaddc736537238e00422c66a0de2d3ff6fb967010908ca36a64d,LOMMPXLFBTZENJ__SEQ:55af49dbd176eaddc736537238e00422c66a0de2d3ff6fb967010908ca36a64d,0,0,All related historical records reserved; connectivity-only matches are not exact experimental evidence for the frozen candidate.
C384-198,OFPXSFXSNFPTHF-UHFFFAOYSA-N,CHEMBL2243,oxaprozin,FAAH,SEQ:230062b9df5cd3cae4733c4846754a164253baff8678a5f36679cc8daff348bd,OFPXSFXSNFPTHF-UHFFFAOYSA-N__SEQ:230062b9df5cd3cae4733c4846754a164253baff8678a5f36679cc8daff348bd,OFPXSFXSNFPTHF__SEQ:230062b9df5cd3cae4733c4846754a164253baff8678a5f36679cc8daff348bd,0,0,All related historical records reserved; connectivity-only matches are not exact experimental evidence for the frozen candidate.
C384-290,BSMCAPRUBJMWDF-KRWDZBQOSA-N,CHEMBL5366,cobimetinib,PARP2,SEQ:632f3cd643185c2ab1b1d79edf533faab80d97ad98dab3ec2b2e20ad3635b044,BSMCAPRUBJMWDF-KRWDZBQOSA-N__SEQ:632f3cd643185c2ab1b1d79edf533faab80d97ad98dab3ec2b2e20ad3635b044,BSMCAPRUBJMWDF__SEQ:632f3cd643185c2ab1b1d79edf533faab80d97ad98dab3ec2b2e20ad3635b044,0,0,All related historical records reserved; connectivity-only matches are not exact experimental evidence for the frozen candidate.
C384-305,HOIIHACBCFLJET-SFTDATJTSA-N,CHEMBL2023,lumateperone,COMT,SEQ:fc502f28a5134139f882e1cd5f20b4d641ea2c1f06edf89614d705d32c7fe408,HOIIHACBCFLJET-SFTDATJTSA-N__SEQ:fc502f28a5134139f882e1cd5f20b4d641ea2c1f06edf89614d705d32c7fe408,HOIIHACBCFLJET__SEQ:fc502f28a5134139f882e1cd5f20b4d641ea2c1f06edf89614d705d32c7fe408,0,0,All related historical records reserved; connectivity-only matches are not exact experimental evidence for the frozen candidate.
C384-307,TXEIIPDJKFWEEC-UHFFFAOYSA-N,CHEMBL2008,tafamidis,RARB,SEQ:73c83ae388f8feb7c4dc79ffcbcd63aebac2d46b63bf76339a088ecdf3e67bc5,TXEIIPDJKFWEEC-UHFFFAOYSA-N__SEQ:73c83ae388f8feb7c4dc79ffcbcd63aebac2d46b63bf76339a088ecdf3e67bc5,TXEIIPDJKFWEEC__SEQ:73c83ae388f8feb7c4dc79ffcbcd63aebac2d46b63bf76339a088ecdf3e67bc5,0,0,All related historical records reserved; connectivity-only matches are not exact experimental evidence for the frozen candidate.
C384-006,AYXYPKUFHZROOJ-ZETCQYMHSA-N,CHEMBL1944,pregabalin,MME,SEQ:1a916537b7b555892eb6262b941745a4bee0eec5d0d65b73609e69a3a5ace44f,AYXYPKUFHZROOJ-ZETCQYMHSA-N__SEQ:1a916537b7b555892eb6262b941745a4bee0eec5d0d65b73609e69a3a5ace44f,AYXYPKUFHZROOJ__SEQ:1a916537b7b555892eb6262b941745a4bee0eec5d0d65b73609e69a3a5ace44f,0,0,All related historical records reserved; connectivity-only matches are not exact experimental evidence for the frozen candidate.
C384-027,WCWSTNLSLKSJPK-LKFCYVNXSA-N,CHEMBL1935,cabotegravir,ALDH2,SEQ:c6dc987207be93233446f3947fccc4d81639830021577c917834d80f57fd44dd,WCWSTNLSLKSJPK-LKFCYVNXSA-N__SEQ:c6dc987207be93233446f3947fccc4d81639830021577c917834d80f57fd44dd,WCWSTNLSLKSJPK__SEQ:c6dc987207be93233446f3947fccc4d81639830021577c917834d80f57fd44dd,0,0,All related historical records reserved; connectivity-only matches are not exact experimental evidence for the frozen candidate.
C384-164,HWXVIOGONBBTBY-ONEGZZNKSA-N,CHEMBL2326,pacritinib,CA7,SEQ:e4a9ea745635c950475641c84676edde20d12f8fc62fb2c5df55eabe66448254,HWXVIOGONBBTBY-ONEGZZNKSA-N__SEQ:e4a9ea745635c950475641c84676edde20d12f8fc62fb2c5df55eabe66448254,HWXVIOGONBBTBY__SEQ:e4a9ea745635c950475641c84676edde20d12f8fc62fb2c5df55eabe66448254,0,0,All related historical records reserved; connectivity-only matches are not exact experimental evidence for the frozen candidate.
C384-166,SOLUWJRYJLAZCX-LYOVBCGYSA-N,CHEMBL3717,bictegravir,MET,SEQ:cc24e8701a5717fd1fa418174adb3b6cbaeae8a76f78b33a995f44c5bb394056,SOLUWJRYJLAZCX-LYOVBCGYSA-N__SEQ:cc24e8701a5717fd1fa418174adb3b6cbaeae8a76f78b33a995f44c5bb394056,SOLUWJRYJLAZCX__SEQ:cc24e8701a5717fd1fa418174adb3b6cbaeae8a76f78b33a995f44c5bb394056,0,0,All related historical records reserved; connectivity-only matches are not exact experimental evidence for the frozen candidate.
C384-167,KRNAOFGYEFKHPB-ANJVHQHFSA-N,CHEMBL286,rimegepant,REN,SEQ:fcfb09a6bd3571f67e1a10ecdcd3005e00f3bd03a7e392bbe0ad742723ca029f,KRNAOFGYEFKHPB-ANJVHQHFSA-N__SEQ:fcfb09a6bd3571f67e1a10ecdcd3005e00f3bd03a7e392bbe0ad742723ca029f,KRNAOFGYEFKHPB__SEQ:fcfb09a6bd3571f67e1a10ecdcd3005e00f3bd03a7e392bbe0ad742723ca029f,0,0,All related historical records reserved; connectivity-only matches are not exact experimental evidence for the frozen candidate.
C384-217,LWQQLNNNIPYSNX-UROSTWAQSA-N,CHEMBL1994,calcipotriene,NR3C2,SEQ:cc3ab1bd86da746c869394db023aa68c2e557d769f04f80ee36b584a8929621c,LWQQLNNNIPYSNX-UROSTWAQSA-N__SEQ:cc3ab1bd86da746c869394db023aa68c2e557d769f04f80ee36b584a8929621c,LWQQLNNNIPYSNX__SEQ:cc3ab1bd86da746c869394db023aa68c2e557d769f04f80ee36b584a8929621c,0,0,All related historical records reserved; connectivity-only matches are not exact experimental evidence for the frozen candidate.
C384-122,KVWDHTXUZHCGIO-UHFFFAOYSA-N,CHEMBL2292,olanzapine,DYRK1A,SEQ:ca8783b8053e1373c8358af24d59933449f4a63bbae1a5f44f9b3c81490c6c7f,KVWDHTXUZHCGIO-UHFFFAOYSA-N__SEQ:ca8783b8053e1373c8358af24d59933449f4a63bbae1a5f44f9b3c81490c6c7f,KVWDHTXUZHCGIO__SEQ:ca8783b8053e1373c8358af24d59933449f4a63bbae1a5f44f9b3c81490c6c7f,0,0,All related historical records reserved; connectivity-only matches are not exact experimental evidence for the frozen candidate.
C384-291,NDCUAPJVLWFHHB-UHNVWZDZSA-N,CHEMBL4588,avibactam,MMP8,SEQ:105be8ac4b61f7c2148c4b1815409b66f38ac0f3b2e42851f3f5da1e2b3d77ab,NDCUAPJVLWFHHB-UHNVWZDZSA-N__SEQ:105be8ac4b61f7c2148c4b1815409b66f38ac0f3b2e42851f3f5da1e2b3d77ab,NDCUAPJVLWFHHB__SEQ:105be8ac4b61f7c2148c4b1815409b66f38ac0f3b2e42851f3f5da1e2b3d77ab,0,0,All related historical records reserved; connectivity-only matches are not exact experimental evidence for the frozen candidate.
C384-308,KWTWDQCKEHXFFR-SMDDNHRTSA-N,CHEMBL206,tapentadol,ESR1,SEQ:59afaf3c8774c9cec06a003e9fa0d1fb1da47637c45ea570236e0ca79b5a0a44,KWTWDQCKEHXFFR-SMDDNHRTSA-N__SEQ:59afaf3c8774c9cec06a003e9fa0d1fb1da47637c45ea570236e0ca79b5a0a44,KWTWDQCKEHXFFR__SEQ:59afaf3c8774c9cec06a003e9fa0d1fb1da47637c45ea570236e0ca79b5a0a44,0,0,All related historical records reserved; connectivity-only matches are not exact experimental evidence for the frozen candidate.
C384-008,WGFOBBZOWHGYQH-MXHNKVEKSA-N,CHEMBL1871,lubiprostone,AR,SEQ:043f80df5b673d9048e118735cb0230b0baaa23f788c3bae0010f9995412d852,WGFOBBZOWHGYQH-MXHNKVEKSA-N__SEQ:043f80df5b673d9048e118735cb0230b0baaa23f788c3bae0010f9995412d852,WGFOBBZOWHGYQH__SEQ:043f80df5b673d9048e118735cb0230b0baaa23f788c3bae0010f9995412d852,0,0,All related historical records reserved; connectivity-only matches are not exact experimental evidence for the frozen candidate.
C384-199,LEBVLXFERQHONN-UHFFFAOYSA-N,CHEMBL1902,bupivacaine,FKBP1A,SEQ:7c2c9a4005a08f9f8ed2ce2e3b7d9432dd39547abafef80ffab6adbb89753b2c,LEBVLXFERQHONN-UHFFFAOYSA-N__SEQ:7c2c9a4005a08f9f8ed2ce2e3b7d9432dd39547abafef80ffab6adbb89753b2c,LEBVLXFERQHONN__SEQ:7c2c9a4005a08f9f8ed2ce2e3b7d9432dd39547abafef80ffab6adbb89753b2c,0,0,All related historical records reserved; connectivity-only matches are not exact experimental evidence for the frozen candidate.
C384-200,QKDRXGFQVGOQKS-CRSSMBPESA-N,CHEMBL286,sotagliflozin,REN,SEQ:fcfb09a6bd3571f67e1a10ecdcd3005e00f3bd03a7e392bbe0ad742723ca029f,QKDRXGFQVGOQKS-CRSSMBPESA-N__SEQ:fcfb09a6bd3571f67e1a10ecdcd3005e00f3bd03a7e392bbe0ad742723ca029f,QKDRXGFQVGOQKS__SEQ:fcfb09a6bd3571f67e1a10ecdcd3005e00f3bd03a7e392bbe0ad742723ca029f,0,0,All related historical records reserved; connectivity-only matches are not exact experimental evidence for the frozen candidate.
C384-084,SFNSLLSYNZWZQG-VQIMIIECSA-N,CHEMBL1936,glasdegib,KIT,SEQ:7b430dd4888d7410e8d65d331b8bd4f5bd9abd4f3a9290f2a93f37b0ed495c5c,SFNSLLSYNZWZQG-VQIMIIECSA-N__SEQ:7b430dd4888d7410e8d65d331b8bd4f5bd9abd4f3a9290f2a93f37b0ed495c5c,SFNSLLSYNZWZQG__SEQ:7b430dd4888d7410e8d65d331b8bd4f5bd9abd4f3a9290f2a93f37b0ed495c5c,0,0,All related historical records reserved; connectivity-only matches are not exact experimental evidence for the frozen candidate.
C384-131,DEVSOMFAQLZNKR-RJRFIUFISA-N,CHEMBL5145,selinexor,BRAF,SEQ:1a1d669b0622fbe831f52ddb1be8e99ed35c39eea791b55b52db12a80811e274,DEVSOMFAQLZNKR-RJRFIUFISA-N__SEQ:1a1d669b0622fbe831f52ddb1be8e99ed35c39eea791b55b52db12a80811e274,DEVSOMFAQLZNKR__SEQ:1a1d669b0622fbe831f52ddb1be8e99ed35c39eea791b55b52db12a80811e274,0,0,All related historical records reserved; connectivity-only matches are not exact experimental evidence for the frozen candidate.
