target_chembl_id,gene_symbol,uniprot_accession,target_name,assay_lane,computed_pocket_evidence,pocket_consensus_class,active_target_branch,binding_site_evidence_source,first_exclusion_reason
CHEMBL4306,KCNA5,P22460,Potassium voltage-gated channel subfamily A member 5,ION_CHANNEL_FUNCTIONAL,P2_FPOCKET_GEOMETRIC_RESCUE,C4_FPOCKET_RESCUE,RECOVERED_NO_EXPERIMENTAL_POCKET_46,COMPUTATIONAL_POCKET_PREDICTION,EXCLUDE_NO_ELIGIBLE_EXPERIMENTAL_POCKET
CHEMBL1964,KCND3,Q9UK17,A-type voltage-gated potassium channel KCND3,ION_CHANNEL_FUNCTIONAL,P2_FPOCKET_GEOMETRIC_RESCUE,C4_FPOCKET_RESCUE,RECOVERED_NO_EXPERIMENTAL_POCKET_46,COMPUTATIONAL_POCKET_PREDICTION,EXCLUDE_NO_ELIGIBLE_EXPERIMENTAL_POCKET
CHEMBL1914276,KCNJ2,P63252,Inward rectifier potassium channel 2,ION_CHANNEL_FUNCTIONAL,P2_FPOCKET_GEOMETRIC_RESCUE,C4_FPOCKET_RESCUE,RECOVERED_NO_EXPERIMENTAL_POCKET_46,COMPUTATIONAL_POCKET_PREDICTION,EXCLUDE_NO_ELIGIBLE_EXPERIMENTAL_POCKET
CHEMBL4770,KCNJ8,Q15842,ATP-sensitive inward rectifier potassium channel 8,ION_CHANNEL_FUNCTIONAL,P2_FPOCKET_GEOMETRIC_RESCUE,C4_FPOCKET_RESCUE,RECOVERED_NO_EXPERIMENTAL_POCKET_46,COMPUTATIONAL_POCKET_PREDICTION,EXCLUDE_NO_ELIGIBLE_EXPERIMENTAL_POCKET
CHEMBL2331042,KCNK18,Q7Z418,Potassium channel subfamily K member 18,ION_CHANNEL_FUNCTIONAL,P2_FPOCKET_GEOMETRIC_RESCUE,C4_FPOCKET_RESCUE,RECOVERED_NO_EXPERIMENTAL_POCKET_46,COMPUTATIONAL_POCKET_PREDICTION,EXCLUDE_NO_ELIGIBLE_EXPERIMENTAL_POCKET
CHEMBL3714029,LOXL2,Q9Y4K0,Lysyl oxidase homolog 2,ENZYME_BIOCHEMICAL,P1_P2RANK_FPOCKET_SAME_SITE,C1_DUAL_METHOD_SAME_SITE,RECOVERED_NO_EXPERIMENTAL_POCKET_46,COMPUTATIONAL_POCKET_PREDICTION,EXCLUDE_NO_ELIGIBLE_EXPERIMENTAL_POCKET
CHEMBL2873,MAP3K10,Q02779,Mitogen-activated protein kinase kinase kinase 10,KINASE_BIOCHEMICAL,P1_P2RANK_FPOCKET_SAME_SITE,C1_DUAL_METHOD_SAME_SITE,RECOVERED_NO_EXPERIMENTAL_POCKET_46,COMPUTATIONAL_POCKET_PREDICTION,EXCLUDE_NO_ELIGIBLE_EXPERIMENTAL_POCKET
CHEMBL1163124,MAP3K13,O43283,Mitogen-activated protein kinase kinase kinase 13,KINASE_BIOCHEMICAL,P1_P2RANK_FPOCKET_SAME_SITE,C1_DUAL_METHOD_SAME_SITE,RECOVERED_NO_EXPERIMENTAL_POCKET_46,COMPUTATIONAL_POCKET_PREDICTION,EXCLUDE_NO_ELIGIBLE_EXPERIMENTAL_POCKET
CHEMBL3094,MAPKAPK5,Q8IW41,MAP kinase-activated protein kinase 5,KINASE_BIOCHEMICAL,P1_P2RANK_FPOCKET_SAME_SITE,C1_DUAL_METHOD_SAME_SITE,RECOVERED_NO_EXPERIMENTAL_POCKET_46,COMPUTATIONAL_POCKET_PREDICTION,EXCLUDE_NO_ELIGIBLE_EXPERIMENTAL_POCKET
CHEMBL1075094,NFE2L2,Q16236,Nuclear factor erythroid 2-related factor 2,NUCLEAR_EPIGENETIC_DOMAIN,P2_FPOCKET_GEOMETRIC_RESCUE,C4_FPOCKET_RESCUE,RECOVERED_NO_EXPERIMENTAL_POCKET_46,COMPUTATIONAL_POCKET_PREDICTION,EXCLUDE_NO_ELIGIBLE_EXPERIMENTAL_POCKET
CHEMBL1287628,NOX1,Q9Y5S8,NADPH oxidase 1,TRANSPORTER_MEMBRANE_FUNCTIONAL,P1_P2RANK_FPOCKET_SAME_SITE,C1_DUAL_METHOD_SAME_SITE,RECOVERED_NO_EXPERIMENTAL_POCKET_46,COMPUTATIONAL_POCKET_PREDICTION,EXCLUDE_NO_ELIGIBLE_EXPERIMENTAL_POCKET
CHEMBL1250375,NOX4,Q9NPH5,NADPH oxidase 4,ENZYME_BIOCHEMICAL,P1_P2RANK_FPOCKET_SAME_SITE,C1_DUAL_METHOD_SAME_SITE,RECOVERED_NO_EXPERIMENTAL_POCKET_46,COMPUTATIONAL_POCKET_PREDICTION,EXCLUDE_NO_ELIGIBLE_EXPERIMENTAL_POCKET
CHEMBL3145,PIK3CB,P42338,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform",ENZYME_BIOCHEMICAL,P1_P2RANK_FPOCKET_SAME_SITE,C1_DUAL_METHOD_SAME_SITE,RECOVERED_NO_EXPERIMENTAL_POCKET_46,COMPUTATIONAL_POCKET_PREDICTION,EXCLUDE_NO_ELIGIBLE_EXPERIMENTAL_POCKET
CHEMBL1938222,PIKFYVE,Q9Y2I7,1-phosphatidylinositol 3-phosphate 5-kinase,ENZYME_BIOCHEMICAL,P1_P2RANK_FPOCKET_SAME_SITE,C1_DUAL_METHOD_SAME_SITE,RECOVERED_NO_EXPERIMENTAL_POCKET_46,COMPUTATIONAL_POCKET_PREDICTION,EXCLUDE_NO_ELIGIBLE_EXPERIMENTAL_POCKET
CHEMBL1641353,POLR2A,P24928,DNA-directed RNA polymerase II subunit RPB1,ENZYME_BIOCHEMICAL,P1_P2RANK_FPOCKET_SAME_SITE,C1_DUAL_METHOD_SAME_SITE,RECOVERED_NO_EXPERIMENTAL_POCKET_46,COMPUTATIONAL_POCKET_PREDICTION,EXCLUDE_NO_ELIGIBLE_EXPERIMENTAL_POCKET
CHEMBL4665582,POLR3A,O14802,DNA-directed RNA polymerase III subunit RPC1,ENZYME_BIOCHEMICAL,P1_P2RANK_FPOCKET_SAME_SITE,C1_DUAL_METHOD_SAME_SITE,RECOVERED_NO_EXPERIMENTAL_POCKET_46,COMPUTATIONAL_POCKET_PREDICTION,EXCLUDE_NO_ELIGIBLE_EXPERIMENTAL_POCKET
CHEMBL2435,PPP2CB,P62714,Serine/threonine-protein phosphatase 2A catalytic subunit beta isoform,ENZYME_BIOCHEMICAL,P1_P2RANK_FPOCKET_SAME_SITE,C1_DUAL_METHOD_SAME_SITE,RECOVERED_NO_EXPERIMENTAL_POCKET_46,COMPUTATIONAL_POCKET_PREDICTION,EXCLUDE_NO_ELIGIBLE_EXPERIMENTAL_POCKET
CHEMBL3831182,RPE65,Q16518,Retinoid isomerohydrolase,ENZYME_BIOCHEMICAL,P1_P2RANK_FPOCKET_SAME_SITE,C1_DUAL_METHOD_SAME_SITE,RECOVERED_NO_EXPERIMENTAL_POCKET_46,COMPUTATIONAL_POCKET_PREDICTION,EXCLUDE_NO_ELIGIBLE_EXPERIMENTAL_POCKET
CHEMBL1846,RYR1,P21817,Ryanodine receptor 1,ION_CHANNEL_FUNCTIONAL,P3_LOW_CONFIDENCE_FRAGMENT_HYPOTHESIS,C6_STRUCTURE_FIRST_NO_EXACT_MODEL,RECOVERED_NO_EXPERIMENTAL_POCKET_46,COMPUTATIONAL_POCKET_PREDICTION,EXCLUDE_NO_ELIGIBLE_EXPERIMENTAL_POCKET
CHEMBL5167,SCN11A,Q9UI33,Sodium channel protein type 11 subunit alpha,ION_CHANNEL_FUNCTIONAL,P1_P2RANK_FPOCKET_SAME_SITE,C1_DUAL_METHOD_SAME_SITE,RECOVERED_NO_EXPERIMENTAL_POCKET_46,COMPUTATIONAL_POCKET_PREDICTION,EXCLUDE_NO_ELIGIBLE_EXPERIMENTAL_POCKET
CHEMBL2778,SLC10A2,Q12908,Ileal sodium/bile acid cotransporter,TRANSPORTER_MEMBRANE_FUNCTIONAL,P1_P2RANK_FPOCKET_SAME_SITE,C1_DUAL_METHOD_SAME_SITE,RECOVERED_NO_EXPERIMENTAL_POCKET_46,COMPUTATIONAL_POCKET_PREDICTION,EXCLUDE_NO_ELIGIBLE_EXPERIMENTAL_POCKET
CHEMBL1874,SLC12A1,Q13621,Solute carrier family 12 member 1,TRANSPORTER_MEMBRANE_FUNCTIONAL,P1_P2RANK_FPOCKET_SAME_SITE,C1_DUAL_METHOD_SAME_SITE,RECOVERED_NO_EXPERIMENTAL_POCKET_46,COMPUTATIONAL_POCKET_PREDICTION,EXCLUDE_NO_ELIGIBLE_EXPERIMENTAL_POCKET
CHEMBL1641348,SLC22A8,Q8TCC7,Organic anion transporter 3,TRANSPORTER_MEMBRANE_FUNCTIONAL,P1_P2RANK_FPOCKET_SAME_SITE,C1_DUAL_METHOD_SAME_SITE,RECOVERED_NO_EXPERIMENTAL_POCKET_46,COMPUTATIONAL_POCKET_PREDICTION,EXCLUDE_NO_ELIGIBLE_EXPERIMENTAL_POCKET
CHEMBL3023,SPHK2,Q9NRA0,Sphingosine kinase 2,ENZYME_BIOCHEMICAL,P1_P2RANK_FPOCKET_SAME_SITE,C1_DUAL_METHOD_SAME_SITE,RECOVERED_NO_EXPERIMENTAL_POCKET_46,COMPUTATIONAL_POCKET_PREDICTION,EXCLUDE_NO_ELIGIBLE_EXPERIMENTAL_POCKET
CHEMBL1835,TBXAS1,P24557,Thromboxane-A synthase,ENZYME_BIOCHEMICAL,P1_P2RANK_FPOCKET_SAME_SITE,C1_DUAL_METHOD_SAME_SITE,RECOVERED_NO_EXPERIMENTAL_POCKET_46,COMPUTATIONAL_POCKET_PREDICTION,EXCLUDE_NO_ELIGIBLE_EXPERIMENTAL_POCKET
CHEMBL1839,TPO,P07202,Thyroid peroxidase,ENZYME_BIOCHEMICAL,P1_P2RANK_FPOCKET_SAME_SITE,C1_DUAL_METHOD_SAME_SITE,RECOVERED_NO_EXPERIMENTAL_POCKET_46,COMPUTATIONAL_POCKET_PREDICTION,EXCLUDE_NO_ELIGIBLE_EXPERIMENTAL_POCKET
CHEMBL4523586,TRAF3IP2,O43734,E3 ubiquitin ligase TRAF3IP2,ENZYME_BIOCHEMICAL,P2_FPOCKET_GEOMETRIC_RESCUE,C4_FPOCKET_RESCUE,RECOVERED_NO_EXPERIMENTAL_POCKET_46,COMPUTATIONAL_POCKET_PREDICTION,EXCLUDE_NO_ELIGIBLE_EXPERIMENTAL_POCKET
CHEMBL1973,TYR,P14679,Tyrosinase,ENZYME_BIOCHEMICAL,P1_P2RANK_FPOCKET_SAME_SITE,C1_DUAL_METHOD_SAME_SITE,RECOVERED_NO_EXPERIMENTAL_POCKET_46,COMPUTATIONAL_POCKET_PREDICTION,EXCLUDE_NO_ELIGIBLE_EXPERIMENTAL_POCKET
CHEMBL2063,UGCG,Q16739,Ceramide glucosyltransferase,ENZYME_BIOCHEMICAL,P1_P2RANK_FPOCKET_SAME_SITE,C1_DUAL_METHOD_SAME_SITE,RECOVERED_NO_EXPERIMENTAL_POCKET_46,COMPUTATIONAL_POCKET_PREDICTION,EXCLUDE_NO_ELIGIBLE_EXPERIMENTAL_POCKET
CHEMBL2073,YES1,P07947,Tyrosine-protein kinase Yes,KINASE_BIOCHEMICAL,P1_P2RANK_FPOCKET_SAME_SITE,C1_DUAL_METHOD_SAME_SITE,RECOVERED_NO_EXPERIMENTAL_POCKET_46,COMPUTATIONAL_POCKET_PREDICTION,EXCLUDE_NO_ELIGIBLE_EXPERIMENTAL_POCKET
CHEMBL2362986,ABCA1,O95477,Phospholipid-transporting ATPase ABCA1,TRANSPORTER_MEMBRANE_FUNCTIONAL,,,STRICT_EXPERIMENTAL_POCKET_MAINLINE_338,PREFERRED_DRUGLIKE_HOLO_EXPERIMENTAL_POCKET,INCLUDED
CHEMBL4302,ABCB1,P08183,ATP-dependent translocase ABCB1,TRANSPORTER_MEMBRANE_FUNCTIONAL,,,STRICT_EXPERIMENTAL_POCKET_MAINLINE_338,PREFERRED_DRUGLIKE_HOLO_EXPERIMENTAL_POCKET,INCLUDED
CHEMBL3004,ABCC1,P33527,Multidrug resistance-associated protein 1,TRANSPORTER_MEMBRANE_FUNCTIONAL,,,STRICT_EXPERIMENTAL_POCKET_MAINLINE_338,PREFERRED_DRUGLIKE_HOLO_EXPERIMENTAL_POCKET,INCLUDED
CHEMBL1862,ABL1,P00519,Tyrosine-protein kinase ABL1,KINASE_BIOCHEMICAL,,,STRICT_EXPERIMENTAL_POCKET_MAINLINE_338,PREFERRED_DRUGLIKE_HOLO_EXPERIMENTAL_POCKET,INCLUDED
CHEMBL1808,ACE,P12821,Angiotensin-converting enzyme,ENZYME_BIOCHEMICAL,,,STRICT_EXPERIMENTAL_POCKET_MAINLINE_338,PREFERRED_DRUGLIKE_HOLO_EXPERIMENTAL_POCKET,INCLUDED
CHEMBL220,ACHE,P22303,Acetylcholinesterase,ENZYME_BIOCHEMICAL,,,STRICT_EXPERIMENTAL_POCKET_MAINLINE_338,PREFERRED_DRUGLIKE_HOLO_EXPERIMENTAL_POCKET,INCLUDED
CHEMBL3720,ACLY,P53396,ATP-citrate synthase,ENZYME_BIOCHEMICAL,,,STRICT_EXPERIMENTAL_POCKET_MAINLINE_338,PREFERRED_DRUGLIKE_HOLO_EXPERIMENTAL_POCKET,INCLUDED
CHEMBL5903,ACVR1,Q04771,Activin receptor type-1,KINASE_BIOCHEMICAL,,,STRICT_EXPERIMENTAL_POCKET_MAINLINE_338,PREFERRED_DRUGLIKE_HOLO_EXPERIMENTAL_POCKET,INCLUDED
CHEMBL5311,ACVRL1,P37023,Activin receptor type-1-like,KINASE_BIOCHEMICAL,,,STRICT_EXPERIMENTAL_POCKET_MAINLINE_338,PREFERRED_DRUGLIKE_HOLO_EXPERIMENTAL_POCKET,INCLUDED
CHEMBL1910,ADA,P00813,Adenosine deaminase,ENZYME_BIOCHEMICAL,,,STRICT_EXPERIMENTAL_POCKET_MAINLINE_338,PREFERRED_DRUGLIKE_HOLO_EXPERIMENTAL_POCKET,INCLUDED
CHEMBL3706,ADAM17,P78536,Disintegrin and metalloproteinase domain-containing protein 17,ENZYME_BIOCHEMICAL,,,STRICT_EXPERIMENTAL_POCKET_MAINLINE_338,PREFERRED_DRUGLIKE_HOLO_EXPERIMENTAL_POCKET,INCLUDED
CHEMBL2285,ADAMTS5,Q9UNA0,A disintegrin and metalloproteinase with thrombospondin motifs 5,ENZYME_BIOCHEMICAL,,,STRICT_EXPERIMENTAL_POCKET_MAINLINE_338,PREFERRED_DRUGLIKE_HOLO_EXPERIMENTAL_POCKET,INCLUDED
CHEMBL4116,ADH5,P11766,Alcohol dehydrogenase class-3,ENZYME_BIOCHEMICAL,,,STRICT_EXPERIMENTAL_POCKET_MAINLINE_338,PREFERRED_DRUGLIKE_HOLO_EXPERIMENTAL_POCKET,INCLUDED
CHEMBL3201,AHR,P35869,Aryl hydrocarbon receptor,NUCLEAR_EPIGENETIC_DOMAIN,,,STRICT_EXPERIMENTAL_POCKET_MAINLINE_338,PREFERRED_DRUGLIKE_HOLO_EXPERIMENTAL_POCKET,INCLUDED
CHEMBL1900,AKR1B1,P15121,Aldo-keto reductase family 1 member B1,ENZYME_BIOCHEMICAL,,,STRICT_EXPERIMENTAL_POCKET_MAINLINE_338,PREFERRED_DRUGLIKE_HOLO_EXPERIMENTAL_POCKET,INCLUDED
CHEMBL4282,AKT1,P31749,RAC-alpha serine/threonine-protein kinase,KINASE_BIOCHEMICAL,,,STRICT_EXPERIMENTAL_POCKET_MAINLINE_338,PREFERRED_DRUGLIKE_HOLO_EXPERIMENTAL_POCKET,INCLUDED
CHEMBL2431,AKT2,P31751,RAC-beta serine/threonine-protein kinase,KINASE_BIOCHEMICAL,,,STRICT_EXPERIMENTAL_POCKET_MAINLINE_338,PREFERRED_DRUGLIKE_HOLO_EXPERIMENTAL_POCKET,INCLUDED
CHEMBL1935,ALDH2,P05091,"Aldehyde dehydrogenase, mitochondrial",ENZYME_BIOCHEMICAL,,,STRICT_EXPERIMENTAL_POCKET_MAINLINE_338,PREFERRED_DRUGLIKE_HOLO_EXPERIMENTAL_POCKET,INCLUDED
CHEMBL1911,ALDH5A1,P51649,"Succinate-semialdehyde dehydrogenase, mitochondrial",ENZYME_BIOCHEMICAL,,,STRICT_EXPERIMENTAL_POCKET_MAINLINE_338,PREFERRED_DRUGLIKE_HOLO_EXPERIMENTAL_POCKET,INCLUDED
CHEMBL4247,ALK,Q9UM73,ALK tyrosine kinase receptor,KINASE_BIOCHEMICAL,,,STRICT_EXPERIMENTAL_POCKET_MAINLINE_338,PREFERRED_DRUGLIKE_HOLO_EXPERIMENTAL_POCKET,INCLUDED
CHEMBL3687,ALOX12,P18054,Polyunsaturated fatty acid lipoxygenase ALOX12,ENZYME_BIOCHEMICAL,,,STRICT_EXPERIMENTAL_POCKET_MAINLINE_338,PREFERRED_DRUGLIKE_HOLO_EXPERIMENTAL_POCKET,INCLUDED
CHEMBL215,ALOX5,P09917,Polyunsaturated fatty acid 5-lipoxygenase,ENZYME_BIOCHEMICAL,,,STRICT_EXPERIMENTAL_POCKET_MAINLINE_338,PREFERRED_DRUGLIKE_HOLO_EXPERIMENTAL_POCKET,INCLUDED
CHEMBL2118,AOC1,P19801,Diamine oxidase [copper-containing],ENZYME_BIOCHEMICAL,,,STRICT_EXPERIMENTAL_POCKET_MAINLINE_338,PREFERRED_DRUGLIKE_HOLO_EXPERIMENTAL_POCKET,INCLUDED
CHEMBL5619,APEX1,P27695,DNA repair nuclease/redox regulator APEX1,ENZYME_BIOCHEMICAL,,,STRICT_EXPERIMENTAL_POCKET_MAINLINE_338,PREFERRED_DRUGLIKE_HOLO_EXPERIMENTAL_POCKET,INCLUDED
CHEMBL1871,AR,P10275,Androgen receptor,NUCLEAR_EPIGENETIC_DOMAIN,,,STRICT_EXPERIMENTAL_POCKET_MAINLINE_338,PREFERRED_DRUGLIKE_HOLO_EXPERIMENTAL_POCKET,INCLUDED
CHEMBL1169596,ARAF,P10398,Serine/threonine-protein kinase A-Raf,KINASE_BIOCHEMICAL,,,STRICT_EXPERIMENTAL_POCKET_MAINLINE_338,PREFERRED_DRUGLIKE_HOLO_EXPERIMENTAL_POCKET,INCLUDED
CHEMBL3901,ATP2A2,P16615,Sarcoplasmic/endoplasmic reticulum calcium ATPase 2,ENZYME_BIOCHEMICAL,,,STRICT_EXPERIMENTAL_POCKET_MAINLINE_338,PREFERRED_DRUGLIKE_HOLO_EXPERIMENTAL_POCKET,INCLUDED
CHEMBL4722,AURKA,O14965,Aurora kinase A,KINASE_BIOCHEMICAL,,,STRICT_EXPERIMENTAL_POCKET_MAINLINE_338,PREFERRED_DRUGLIKE_HOLO_EXPERIMENTAL_POCKET,INCLUDED
CHEMBL2185,AURKB,Q96GD4,Aurora kinase B,KINASE_BIOCHEMICAL,,,STRICT_EXPERIMENTAL_POCKET_MAINLINE_338,PREFERRED_DRUGLIKE_HOLO_EXPERIMENTAL_POCKET,INCLUDED
CHEMBL3935,AURKC,Q9UQB9,Aurora kinase C,KINASE_BIOCHEMICAL,,,STRICT_EXPERIMENTAL_POCKET_MAINLINE_338,PREFERRED_DRUGLIKE_HOLO_EXPERIMENTAL_POCKET,INCLUDED
CHEMBL4895,AXL,P30530,Tyrosine-protein kinase receptor UFO,KINASE_BIOCHEMICAL,,,STRICT_EXPERIMENTAL_POCKET_MAINLINE_338,PREFERRED_DRUGLIKE_HOLO_EXPERIMENTAL_POCKET,INCLUDED
CHEMBL4822,BACE1,P56817,Beta-secretase 1,ENZYME_BIOCHEMICAL,,,STRICT_EXPERIMENTAL_POCKET_MAINLINE_338,PREFERRED_DRUGLIKE_HOLO_EXPERIMENTAL_POCKET,INCLUDED
CHEMBL1914,BCHE,P06276,Cholinesterase,ENZYME_BIOCHEMICAL,,,STRICT_EXPERIMENTAL_POCKET_MAINLINE_338,PREFERRED_DRUGLIKE_HOLO_EXPERIMENTAL_POCKET,INCLUDED
CHEMBL4860,BCL2,P10415,Apoptosis regulator Bcl-2,ION_CHANNEL_FUNCTIONAL,,,STRICT_EXPERIMENTAL_POCKET_MAINLINE_338,PREFERRED_DRUGLIKE_HOLO_EXPERIMENTAL_POCKET,INCLUDED
CHEMBL6044,BCL2A1,Q16548,Bcl-2-related protein A1,ION_CHANNEL_FUNCTIONAL,,,STRICT_EXPERIMENTAL_POCKET_MAINLINE_338,PREFERRED_DRUGLIKE_HOLO_EXPERIMENTAL_POCKET,INCLUDED
CHEMBL4625,BCL2L1,Q07817,Bcl-2-like protein 1,ION_CHANNEL_FUNCTIONAL,,,STRICT_EXPERIMENTAL_POCKET_MAINLINE_338,PREFERRED_DRUGLIKE_HOLO_EXPERIMENTAL_POCKET,INCLUDED
CHEMBL5145,BRAF,P15056,Serine/threonine-protein kinase B-raf,KINASE_BIOCHEMICAL,,,STRICT_EXPERIMENTAL_POCKET_MAINLINE_338,PREFERRED_DRUGLIKE_HOLO_EXPERIMENTAL_POCKET,INCLUDED
CHEMBL5251,BTK,Q06187,Tyrosine-protein kinase BTK,KINASE_BIOCHEMICAL,,,STRICT_EXPERIMENTAL_POCKET_MAINLINE_338,PREFERRED_DRUGLIKE_HOLO_EXPERIMENTAL_POCKET,INCLUDED
CHEMBL261,CA1,P00915,Carbonic anhydrase 1,ENZYME_BIOCHEMICAL,,,STRICT_EXPERIMENTAL_POCKET_MAINLINE_338,PREFERRED_DRUGLIKE_HOLO_EXPERIMENTAL_POCKET,INCLUDED
