target_chembl_id,gene_symbol,target_name,legacy_assay_lane,mechanistic_branch,mechanistic_branch_zh,mechanistic_subclass,required_structural_biochemical_context_zh,class_specific_compute_protocol_zh,target_specific_primary_assay_zh,orthogonal_assay_and_counterscreen_zh,required_controls_zh
CHEMBL2331059,DHCR24,Delta(24)-sterol reductase,ENZYME_BIOCHEMICAL,B03_COFACTOR_RED_OX_ENZYME,辅因子/金属依赖氧化还原酶,MEMBRANE_STEROL_REDUCTASE,膜、FAD/NADPH与甾醇底物,按靶点保留血红素、FAD/FMN、金属、硒或LTQ环境；预测口袋ensemble和双DTA；缺辅因子的生成式结构不得升级为结合证据,desmosterol到胆固醇的LC-MS定量,直接结合SPR/BLI/MST/DSF与产物LC-MS或辅因子相关光谱；同工酶反筛,参考抑制剂、无酶、无辅因子、底物空白、DMSO、同工酶
CHEMBL2019,DIO1,Type I iodothyronine deiodinase,ENZYME_BIOCHEMICAL,B03_COFACTOR_RED_OX_ENZYME,辅因子/金属依赖氧化还原酶,SELENOCYSTEINE_DEIODINASE,含硒半胱氨酸催化中心、膜环境与还原伴侣,按靶点保留血红素、FAD/FMN、金属、硒或LTQ环境；预测口袋ensemble和双DTA；缺辅因子的生成式结构不得升级为结合证据,甲状腺激素脱碘产物LC-MS；先获得可信全长/同源结构,直接结合SPR/BLI/MST/DSF与产物LC-MS或辅因子相关光谱；同工酶反筛,参考抑制剂、无酶、无辅因子、底物空白、DMSO、同工酶
CHEMBL3172,DPYD,Dihydropyrimidine dehydrogenase [NADP(+)],ENZYME_BIOCHEMICAL,B03_COFACTOR_RED_OX_ENZYME,辅因子/金属依赖氧化还原酶,MULTICOFACTOR_FLAVOENZYME,FAD、FMN、Fe-S、NADPH与寡聚体,按靶点保留血红素、FAD/FMN、金属、硒或LTQ环境；预测口袋ensemble和双DTA；缺辅因子的生成式结构不得升级为结合证据,尿嘧啶还原产物LC-MS或光谱动力学,直接结合SPR/BLI/MST/DSF与产物LC-MS或辅因子相关光谱；同工酶反筛,参考抑制剂、无酶、无辅因子、底物空白、DMSO、同工酶
CHEMBL5705,EGLN3,Prolyl hydroxylase EGLN3,ENZYME_BIOCHEMICAL,B03_COFACTOR_RED_OX_ENZYME,辅因子/金属依赖氧化还原酶,FE2_2OG_DIOXYGENASE,Fe(II)、2-氧戊二酸和底物肽,按靶点保留血红素、FAD/FMN、金属、硒或LTQ环境；预测口袋ensemble和双DTA；缺辅因子的生成式结构不得升级为结合证据,HIF肽羟化LC-MS或耦联读数,直接结合SPR/BLI/MST/DSF与产物LC-MS或辅因子相关光谱；同工酶反筛,参考抑制剂、无酶、无辅因子、底物空白、DMSO、同工酶
CHEMBL3391681,GPD2,"Glycerol-3-phosphate dehydrogenase, mitochondrial",ENZYME_BIOCHEMICAL,B03_COFACTOR_RED_OX_ENZYME,辅因子/金属依赖氧化还原酶,MITOCHONDRIAL_FAD_DEHYDROGENASE,线粒体膜、FAD与醌受体,按靶点保留血红素、FAD/FMN、金属、硒或LTQ环境；预测口袋ensemble和双DTA；缺辅因子的生成式结构不得升级为结合证据,甘油-3-磷酸氧化及醌还原读数,直接结合SPR/BLI/MST/DSF与产物LC-MS或辅因子相关光谱；同工酶反筛,参考抑制剂、无酶、无辅因子、底物空白、DMSO、同工酶
CHEMBL3670,HSD3B2,3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type 2,ENZYME_BIOCHEMICAL,B03_COFACTOR_RED_OX_ENZYME,辅因子/金属依赖氧化还原酶,MEMBRANE_STEROID_DEHYDROGENASE_ISOMERASE,膜、NAD+与甾体底物,按靶点保留血红素、FAD/FMN、金属、硒或LTQ环境；预测口袋ensemble和双DTA；缺辅因子的生成式结构不得升级为结合证据,甾体脱氢/异构化产物LC-MS,直接结合SPR/BLI/MST/DSF与产物LC-MS或辅因子相关光谱；同工酶反筛,参考抑制剂、无酶、无辅因子、底物空白、DMSO、同工酶
CHEMBL3714029,LOXL2,Lysyl oxidase homolog 2,ENZYME_BIOCHEMICAL,B03_COFACTOR_RED_OX_ENZYME,辅因子/金属依赖氧化还原酶,COPPER_LTQ_AMINE_OXIDASE,Cu与共价LTQ辅因子、成熟分泌蛋白,按靶点保留血红素、FAD/FMN、金属、硒或LTQ环境；预测口袋ensemble和双DTA；缺辅因子的生成式结构不得升级为结合证据,Cu/LTQ重构LOXL2胺氧化酶活与H2O2/醛产物定量,直接结合SPR/BLI/MST/DSF与产物LC-MS或辅因子相关光谱；同工酶反筛,参考抑制剂、无酶、无辅因子、底物空白、DMSO、同工酶
CHEMBL1835,TBXAS1,Thromboxane-A synthase,ENZYME_BIOCHEMICAL,B03_COFACTOR_RED_OX_ENZYME,辅因子/金属依赖氧化还原酶,HEME_P450_ISOMERASE,膜、血红素与PGH2底物,按靶点保留血红素、FAD/FMN、金属、硒或LTQ环境；预测口袋ensemble和双DTA；缺辅因子的生成式结构不得升级为结合证据,PGH2到TXA2稳定代谢物TXB2的LC-MS/免疫测定,直接结合SPR/BLI/MST/DSF与产物LC-MS或辅因子相关光谱；同工酶反筛,参考抑制剂、无酶、无辅因子、底物空白、DMSO、同工酶
CHEMBL1839,TPO,Thyroid peroxidase,ENZYME_BIOCHEMICAL,B03_COFACTOR_RED_OX_ENZYME,辅因子/金属依赖氧化还原酶,HEME_PEROXIDASE,血红素、H2O2、碘离子与胞外催化域,按靶点保留血红素、FAD/FMN、金属、硒或LTQ环境；预测口袋ensemble和双DTA；缺辅因子的生成式结构不得升级为结合证据,TPO过氧化/碘化活性及H2O2依赖性,直接结合SPR/BLI/MST/DSF与产物LC-MS或辅因子相关光谱；同工酶反筛,参考抑制剂、无酶、无辅因子、底物空白、DMSO、同工酶
CHEMBL1973,TYR,Tyrosinase,ENZYME_BIOCHEMICAL,B03_COFACTOR_RED_OX_ENZYME,辅因子/金属依赖氧化还原酶,DINUCLEAR_COPPER_OXIDASE,双铜中心、成熟糖基化膜蛋白与底物,按靶点保留血红素、FAD/FMN、金属、硒或LTQ环境；预测口袋ensemble和双DTA；缺辅因子的生成式结构不得升级为结合证据,L-DOPA/酪氨酸氧化及黑色素生成,直接结合SPR/BLI/MST/DSF与产物LC-MS或辅因子相关光谱；同工酶反筛,参考抑制剂、无酶、无辅因子、底物空白、DMSO、同工酶
CHEMBL1287628,NOX1,NADPH oxidase 1,TRANSPORTER_MEMBRANE_FUNCTIONAL,B04_MEMBRANE_NADPH_OXIDASE,膜NADPH氧化酶,REGULATED_NOX_MEMBRANE_OXIDASE,膜、双血红素、FAD/NADPH及NOXO1/NOXA1复合物,跨膜螺旋、双血红素、FAD/NADPH及膜环境联合建模；构象/口袋ensemble；GNINA仅在靶点内对照校准后解释,NOX1复合物依赖ROS生成的膜或细胞读数,膜或细胞ROS读数加直接结合/靶点占有；NOX同工酶及线粒体ROS反筛,已知NOX抑制剂、敲除/未表达细胞、无NADPH、ROS清除剂、NOX同工酶
CHEMBL1250375,NOX4,NADPH oxidase 4,ENZYME_BIOCHEMICAL,B04_MEMBRANE_NADPH_OXIDASE,膜NADPH氧化酶,CONSTITUTIVE_NOX_MEMBRANE_OXIDASE,膜、双血红素、FAD、NADPH与伴侣状态,跨膜螺旋、双血红素、FAD/NADPH及膜环境联合建模；构象/口袋ensemble；GNINA仅在靶点内对照校准后解释,NOX4依赖ROS/H2O2生成的膜或细胞读数,膜或细胞ROS读数加直接结合/靶点占有；NOX同工酶及线粒体ROS反筛,已知NOX抑制剂、敲除/未表达细胞、无NADPH、ROS清除剂、NOX同工酶
CHEMBL2044,ABAT,"4-aminobutyrate aminotransferase, mitochondrial",ENZYME_BIOCHEMICAL,B05_NONREDOX_METABOLIC_ENZYME,非氧化还原代谢酶,PLP_DEPENDENT_AMINOTRANSFERASE,PLP与底物/产物状态,底物、辅酶或膜界面感知的口袋ensemble；双DTA；历史正负对照校准GNINA；结构合格后才做候选复合物,PLP依赖GABA转氨反应的底物消耗或产物定量,直接结合与细胞/膜代谢产物定量；同工酶或相邻通路反筛,参考抑制剂、底物竞争、无酶、DMSO、结构相近阴性、同工酶
CHEMBL2216739,CPT1B,"Carnitine O-palmitoyltransferase 1, muscle isoform",TRANSPORTER_MEMBRANE_FUNCTIONAL,B05_NONREDOX_METABOLIC_ENZYME,非氧化还原代谢酶,MITOCHONDRIAL_MEMBRANE_ACYLTRANSFERASE,线粒体外膜、酰基CoA、肉碱和丙二酰CoA,底物、辅酶或膜界面感知的口袋ensemble；双DTA；历史正负对照校准GNINA；结构合格后才做候选复合物,CPT1B酰基转移与酰基肉碱LC-MS,直接结合与细胞/膜代谢产物定量；同工酶或相邻通路反筛,参考抑制剂、底物竞争、无酶、DMSO、结构相近阴性、同工酶
CHEMBL3238,CPT2,"Carnitine O-palmitoyltransferase 2, mitochondrial",ENZYME_BIOCHEMICAL,B05_NONREDOX_METABOLIC_ENZYME,非氧化还原代谢酶,MITOCHONDRIAL_ACYLTRANSFERASE,膜界面与酰基辅酶A/肉碱底物,底物、辅酶或膜界面感知的口袋ensemble；双DTA；历史正负对照校准GNINA；结构合格后才做候选复合物,线粒体CPT2酰基转移反应及酰基肉碱LC-MS,直接结合与细胞/膜代谢产物定量；同工酶或相邻通路反筛,参考抑制剂、底物竞争、无酶、DMSO、结构相近阴性、同工酶
CHEMBL2243,FAAH,Fatty-acid amide hydrolase 1,ENZYME_BIOCHEMICAL,B05_NONREDOX_METABOLIC_ENZYME,非氧化还原代谢酶,MEMBRANE_SERINE_HYDROLASE,膜界面与脂质底物通道,底物、辅酶或膜界面感知的口袋ensemble；双DTA；历史正负对照校准GNINA；结构合格后才做候选复合物,AEA/FA类脂质底物水解LC-MS或荧光底物,直接结合与细胞/膜代谢产物定量；同工酶或相邻通路反筛,参考抑制剂、底物竞争、无酶、DMSO、结构相近阴性、同工酶
CHEMBL2435,PPP2CB,Serine/threonine-protein phosphatase 2A catalytic subunit beta isoform,ENZYME_BIOCHEMICAL,B05_NONREDOX_METABOLIC_ENZYME,非氧化还原代谢酶,METAL_SER_THR_PHOSPHATASE,Mn/Mg金属与PP2A全酶调节亚基,底物、辅酶或膜界面感知的口袋ensemble；双DTA；历史正负对照校准GNINA；结构合格后才做候选复合物,PP2A底物肽去磷酸化及全酶复核,直接结合与细胞/膜代谢产物定量；同工酶或相邻通路反筛,参考抑制剂、底物竞争、无酶、DMSO、结构相近阴性、同工酶
CHEMBL3831182,RPE65,Retinoid isomerohydrolase,ENZYME_BIOCHEMICAL,B05_NONREDOX_METABOLIC_ENZYME,非氧化还原代谢酶,MEMBRANE_RETINOID_ISOMERASE,膜、Fe与视黄酯底物,底物、辅酶或膜界面感知的口袋ensemble；双DTA；历史正负对照校准GNINA；结构合格后才做候选复合物,全反式视黄酯到11-顺式视黄醇的LC-MS,直接结合与细胞/膜代谢产物定量；同工酶或相邻通路反筛,参考抑制剂、底物竞争、无酶、DMSO、结构相近阴性、同工酶
CHEMBL2063,UGCG,Ceramide glucosyltransferase,ENZYME_BIOCHEMICAL,B05_NONREDOX_METABOLIC_ENZYME,非氧化还原代谢酶,MEMBRANE_GLYCOSYLTRANSFERASE,膜、UDP-葡萄糖与神经酰胺,底物、辅酶或膜界面感知的口袋ensemble；双DTA；历史正负对照校准GNINA；结构合格后才做候选复合物,神经酰胺葡糖基化产物LC-MS,直接结合与细胞/膜代谢产物定量；同工酶或相邻通路反筛,参考抑制剂、底物竞争、无酶、DMSO、结构相近阴性、同工酶
CHEMBL1641353,POLR2A,DNA-directed RNA polymerase II subunit RPB1,ENZYME_BIOCHEMICAL,B06_MULTISUBUNIT_RNA_POLYMERASE,多亚基RNA聚合酶,RNA_POLYMERASE_II_CATALYTIC_SUBUNIT,完整Pol II复合物、DNA/RNA、Mg与NTP,使用完整复合物/关键亚基界面而非孤立全长单链口袋；核酸与金属状态ensemble；单链预测仅作定位假设,重构Pol II转录延伸或新生RNA读数,重构转录体系加细胞新生RNA读数；POLR家族与DNA聚合酶反筛,参考转录抑制剂、无模板、无NTP、无酶、POLR家族反筛
CHEMBL4665582,POLR3A,DNA-directed RNA polymerase III subunit RPC1,ENZYME_BIOCHEMICAL,B06_MULTISUBUNIT_RNA_POLYMERASE,多亚基RNA聚合酶,RNA_POLYMERASE_III_CATALYTIC_SUBUNIT,完整Pol III复合物、DNA/RNA、Mg与NTP,使用完整复合物/关键亚基界面而非孤立全长单链口袋；核酸与金属状态ensemble；单链预测仅作定位假设,重构Pol III转录或特异转录产物定量,重构转录体系加细胞新生RNA读数；POLR家族与DNA聚合酶反筛,参考转录抑制剂、无模板、无NTP、无酶、POLR家族反筛
CHEMBL4523586,TRAF3IP2,E3 ubiquitin ligase TRAF3IP2,ENZYME_BIOCHEMICAL,B07_UBIQUITIN_ADAPTOR,泛素连接/衔接蛋白,E3_LIGASE_ADAPTOR_INTERFACE,E1/E2/底物复合物与信号适配界面,优先复合物界面与变构热点；单体fpocket位点仅为几何假设；需要界面结构或突变支持,体外泛素化加TRAF3IP2依赖信号报告,体外泛素化/蛋白互作读数加细胞信号通路报告；界面突变复核,无E1/E2、无ATP、催化/界面突变体、DMSO、非相关E3/衔接蛋白
CHEMBL2046267,ANO1,Anoctamin-1,ION_CHANNEL_FUNCTIONAL,B08_ION_CHANNEL_PORE,成孔离子通道,CA_ACTIVATED_CHLORIDE_CHANNEL,膜、Ca结合与开放/关闭状态,开放、关闭、失活或配体门控状态的膜内ensemble；孔道/侧窗位点；口袋对照通过前不做发现排序,ANO1电流的自动膜片钳多Ca状态剂量反应,自动膜片钳加离子通量或位点突变；多电压和多状态协议,参考阻断剂/激动剂、未表达细胞、DMSO、seal/current质量控制、近缘通道
CHEMBL4306,KCNA5,Potassium voltage-gated channel subfamily A member 5,ION_CHANNEL_FUNCTIONAL,B08_ION_CHANNEL_PORE,成孔离子通道,VOLTAGE_GATED_POTASSIUM_CHANNEL,膜、开放/关闭/失活状态,开放、关闭、失活或配体门控状态的膜内ensemble；孔道/侧窗位点；口袋对照通过前不做发现排序,Kv1.5多电压自动膜片钳,自动膜片钳加离子通量或位点突变；多电压和多状态协议,参考阻断剂/激动剂、未表达细胞、DMSO、seal/current质量控制、近缘通道
CHEMBL1964,KCND3,A-type voltage-gated potassium channel KCND3,ION_CHANNEL_FUNCTIONAL,B08_ION_CHANNEL_PORE,成孔离子通道,A_TYPE_VOLTAGE_GATED_POTASSIUM_CHANNEL,膜、开放/关闭/失活状态及辅助亚基,开放、关闭、失活或配体门控状态的膜内ensemble；孔道/侧窗位点；口袋对照通过前不做发现排序,Kv4.3多状态自动膜片钳,自动膜片钳加离子通量或位点突变；多电压和多状态协议,参考阻断剂/激动剂、未表达细胞、DMSO、seal/current质量控制、近缘通道
CHEMBL1914276,KCNJ2,Inward rectifier potassium channel 2,ION_CHANNEL_FUNCTIONAL,B08_ION_CHANNEL_PORE,成孔离子通道,INWARD_RECTIFIER_POTASSIUM_CHANNEL,膜、PIP2与开放/关闭状态,开放、关闭、失活或配体门控状态的膜内ensemble；孔道/侧窗位点；口袋对照通过前不做发现排序,Kir2.1全细胞电流与PIP2依赖性,自动膜片钳加离子通量或位点突变；多电压和多状态协议,参考阻断剂/激动剂、未表达细胞、DMSO、seal/current质量控制、近缘通道
CHEMBL4770,KCNJ8,ATP-sensitive inward rectifier potassium channel 8,ION_CHANNEL_FUNCTIONAL,B08_ION_CHANNEL_PORE,成孔离子通道,KATP_PORE_SUBUNIT,膜、PIP2、ATP及SUR复合物,开放、关闭、失活或配体门控状态的膜内ensemble；孔道/侧窗位点；口袋对照通过前不做发现排序,Kir6.1/SUR复合物KATP电流,自动膜片钳加离子通量或位点突变；多电压和多状态协议,参考阻断剂/激动剂、未表达细胞、DMSO、seal/current质量控制、近缘通道
CHEMBL2331042,KCNK18,Potassium channel subfamily K member 18,ION_CHANNEL_FUNCTIONAL,B08_ION_CHANNEL_PORE,成孔离子通道,TWO_PORE_POTASSIUM_CHANNEL,膜、机械/脂质调控与门控状态,开放、关闭、失活或配体门控状态的膜内ensemble；孔道/侧窗位点；口袋对照通过前不做发现排序,TRESK全细胞电流及状态依赖性,自动膜片钳加离子通量或位点突变；多电压和多状态协议,参考阻断剂/激动剂、未表达细胞、DMSO、seal/current质量控制、近缘通道
CHEMBL1846,RYR1,Ryanodine receptor 1,ION_CHANNEL_FUNCTIONAL,B08_ION_CHANNEL_PORE,成孔离子通道,INTRACELLULAR_CA_RELEASE_CHANNEL,四聚体、膜、Ca/ATP/调节蛋白；可信全长结构,开放、关闭、失活或配体门控状态的膜内ensemble；孔道/侧窗位点；口袋对照通过前不做发现排序,肌浆网Ca释放/单通道测定；先补可信全长结构,自动膜片钳加离子通量或位点突变；多电压和多状态协议,参考阻断剂/激动剂、未表达细胞、DMSO、seal/current质量控制、近缘通道
CHEMBL5167,SCN11A,Sodium channel protein type 11 subunit alpha,ION_CHANNEL_FUNCTIONAL,B08_ION_CHANNEL_PORE,成孔离子通道,VOLTAGE_GATED_SODIUM_CHANNEL,膜、开放/关闭/失活状态,开放、关闭、失活或配体门控状态的膜内ensemble；孔道/侧窗位点；口袋对照通过前不做发现排序,Nav1.9多电压与状态依赖自动膜片钳,自动膜片钳加离子通量或位点突变；多电压和多状态协议,参考阻断剂/激动剂、未表达细胞、DMSO、seal/current质量控制、近缘通道
CHEMBL3896,CACNA2D2,Voltage-dependent calcium channel subunit alpha-2/delta-2,TRANSPORTER_MEMBRANE_FUNCTIONAL,B09_CHANNEL_AUXILIARY_SUBUNIT,离子通道辅助亚基,CALCIUM_CHANNEL_ALPHA2DELTA_AUXILIARY,与CaV成孔亚基复合物、膜和成熟糖基化状态,必须在与成孔亚基复合物和膜环境中评估结合位点；孤立亚基口袋仅用于假设生成,α2δ2配体结合加CaV电流/膜定位调制,配体结合加通道电流/膜定位调制；成孔亚基单独表达反筛,已知α2δ配体、未表达细胞、成孔亚基单独表达、DMSO、辅助亚基突变体
CHEMBL2778,SLC10A2,Ileal sodium/bile acid cotransporter,TRANSPORTER_MEMBRANE_FUNCTIONAL,B10_SOLUTE_TRANSPORTER,溶质转运体,SODIUM_BILE_ACID_COTRANSPORTER,膜、Na与胆汁酸底物；内外向状态,内向、外向、闭塞状态及底物/离子耦联的膜内ensemble；通道口袋与双DTA；靶点内对照校准,Na依赖胆汁酸摄取,细胞或膜泡摄取/外排加竞争结合或靶点占有；敲除细胞复核,已知底物/抑制剂、敲除细胞、离子替换、DMSO、近缘转运体
CHEMBL1874,SLC12A1,Solute carrier family 12 member 1,TRANSPORTER_MEMBRANE_FUNCTIONAL,B10_SOLUTE_TRANSPORTER,溶质转运体,NA_K_CL_COTRANSPORTER,膜、Na/K/Cl耦联及构象状态,内向、外向、闭塞状态及底物/离子耦联的膜内ensemble；通道口袋与双DTA；靶点内对照校准,NKCC2离子通量/摄取及离子依赖性,细胞或膜泡摄取/外排加竞争结合或靶点占有；敲除细胞复核,已知底物/抑制剂、敲除细胞、离子替换、DMSO、近缘转运体
CHEMBL1641348,SLC22A8,Organic anion transporter 3,TRANSPORTER_MEMBRANE_FUNCTIONAL,B10_SOLUTE_TRANSPORTER,溶质转运体,ORGANIC_ANION_TRANSPORTER,膜、底物通道及内外向状态,内向、外向、闭塞状态及底物/离子耦联的膜内ensemble；通道口袋与双DTA；靶点内对照校准,OAT3有机阴离子摄取与竞争抑制,细胞或膜泡摄取/外排加竞争结合或靶点占有；敲除细胞复核,已知底物/抑制剂、敲除细胞、离子替换、DMSO、近缘转运体
CHEMBL3310,HDAC11,Histone deacetylase 11,NUCLEAR_EPIGENETIC_DOMAIN,B11_EPIGENETIC_ENZYME,表观遗传酶,ZN_DEPENDENT_DEACYLASE,Zn、底物肽与催化状态,金属/底物状态与催化口袋ensemble；双DTA和对照校准GNINA；考虑HDAC同工型选择性,HDAC11去长链脂酰化/去酰化活性,去酰化酶活加NanoBRET/SPR/BLI；细胞底物修饰与HDAC家族反筛,参考抑制剂、无Zn/无酶、底物空白、DMSO、HDAC家族面板
CHEMBL1075094,NFE2L2,Nuclear factor erythroid 2-related factor 2,NUCLEAR_EPIGENETIC_DOMAIN,B12_TRANSCRIPTION_FACTOR_PPI,转录因子/蛋白互作,STRESS_RESPONSE_TRANSCRIPTION_FACTOR,KEAP1/共调节因子复合物与降解调控界面,优先共调节因子复合物界面、降解调控界面和变构热点；孤立转录因子fpocket不作发现依据,NFE2L2-KEAP1互作加ARE报告基因,蛋白互作TR-FRET/AlphaScreen或NanoBRET加细胞报告基因和靶基因表达,界面突变体、无蛋白、DMSO、非相关转录因子、通路阳性/阴性对照
