review_id,drug_name,target_gene,final_candidate_diseases_zh,final_mechanism_assessment_zh,final_feasibility_assessment_zh,assay_recommendation_zh,counterscreen_recommendation_zh,risk_level,priority_after_agent,agent_decision,agent_notes_zh
strict895_0641,Fluorouracil,PARP1,PARP1/HRD 相关乳腺癌；前列腺癌；DNA repair 缺陷肿瘤,"child Open Targets 最佳疾病为 breast cancer，score=0.579（genetic=0.000, clinical=0.904, literature=0.979），PARP1-疾病证据为中等。Fluorouracil→PARP1 主要由 ConPLEx=0.331/rank=1 支撑；PARP1 疾病证据较强且 rank=1，但 Fluorouracil 细胞毒性会强烈混杂机制。","原始 target-engagement 可行性=高; assay lane=biochemical/target-engagement; ConPLEx=0.331, rank=1; 自动优先级=P1_priority_manual_review. 可进入小规模验证；若 target engagement 或选择性不足，应及时停止。",建议验证：PARP1 纯化蛋白活性/结合实验（DSF、SPR、CETSA/TPP）；在 PARP1/HRD 相关乳腺癌 模型中做 target engagement 与下游功能 readout 的剂量响应。,同酶家族选择性、PAINS/聚集体、还原/螯合/荧光干扰反筛；加入 PARP1 同家族/上游下游通路反筛、母药已知主靶反筛、细胞毒性和溶解度/聚集体检查。特别排除 PAINS、金属螯合、氧化还原和荧光干扰。,medium,P2_medium,keep_medium,PARP1 疾病证据较强且 rank=1，但 Fluorouracil 细胞毒性会强烈混杂机制。 child_ot_status=child_ot_match; best_child=breast cancer; novelty=同靶点家族机制扩展，novelty 中等; major_risks=同靶点家族可能存在机制泄漏/选择性不足；疾病方向接近原适应症，老药新用 novelty 较弱
strict895_0642,Regorafenib,EGFR,EGFR 突变/依赖 NSCLC；头颈鳞癌；少突胶质细胞瘤探索,"child Open Targets 最佳疾病为 non-small cell lung carcinoma，score=0.853（genetic=0.746, clinical=0.996, literature=1.000），EGFR-疾病证据为强。Regorafenib→EGFR 主要由 ConPLEx=0.437/rank=4 支撑；EGFR-NSCLC 证据强，Regorafenib kinase 背景支持中优先级验证。","原始 target-engagement 可行性=高; assay lane=kinase biochemical/cellular; ConPLEx=0.437, rank=4; 自动优先级=P1_priority_manual_review. 可进入小规模验证；若 target engagement 或选择性不足，应及时停止。",建议验证：EGFR 重组 kinase IC50/Kd（ADP-Glo、迁移率法或 NanoBRET），并在 EGFR 突变/依赖 NSCLC 细胞模型检测目标磷酸化/下游 ERK-AKT 或 pRB readout。,同家族 kinase panel、ATP-competitive counterscreen、细胞毒性/增殖非特异反筛；加入 EGFR 同家族/上游下游通路反筛、母药已知主靶反筛、细胞毒性和溶解度/聚集体检查。特别做 kinase panel 和 ATP-competition 检查。,medium,P2_medium,keep_medium,EGFR-NSCLC 证据强，Regorafenib kinase 背景支持中优先级验证。 child_ot_status=child_ot_match; best_child=non-small cell lung carcinoma; novelty=同靶点家族机制扩展，novelty 中等; major_risks=同靶点家族可能存在机制泄漏/选择性不足；疾病方向接近原适应症，老药新用 novelty 较弱
strict895_0643,Apalutamide,CDK6,CDK6 依赖 HR+乳腺癌；AML/ALL；淋巴瘤,"child Open Targets 最佳疾病为 breast carcinoma，score=0.610（genetic=0.000, clinical=0.874, literature=0.696），CDK6-疾病证据为较强。Apalutamide→CDK6 主要由 ConPLEx=0.453/rank=8 支撑；CDK6 疾病证据较强，Apalutamide 转向细胞周期靶点需要排除内分泌轴间接效应。","原始 target-engagement 可行性=高; assay lane=kinase biochemical/cellular; ConPLEx=0.453, rank=8; 自动优先级=P1_priority_manual_review. 可进入小规模验证；若 target engagement 或选择性不足，应及时停止。",建议验证：CDK6 重组 kinase IC50/Kd（ADP-Glo、迁移率法或 NanoBRET），并在 CDK6 依赖 HR+乳腺癌 细胞模型检测目标磷酸化/下游 ERK-AKT 或 pRB readout。,同家族 kinase panel、ATP-competitive counterscreen、细胞毒性/增殖非特异反筛；加入 CDK6 同家族/上游下游通路反筛、母药已知主靶反筛、细胞毒性和溶解度/聚集体检查。特别做 kinase panel 和 ATP-competition 检查。,medium,P2_medium,keep_medium,CDK6 疾病证据较强，Apalutamide 转向细胞周期靶点需要排除内分泌轴间接效应。 child_ot_status=child_ot_match; best_child=breast carcinoma; novelty=同原适应症方向扩展，novelty 中等偏低; major_risks=疾病方向接近原适应症，老药新用 novelty 较弱
strict895_0644,Fosaprepitant Dimeglumine,BCL2,BCL2 依赖 CLL；AML；BCL2 依赖淋巴瘤,"child Open Targets 最佳疾病为 B-cell chronic lymphocytic leukemia，score=0.742（genetic=0.762, clinical=0.966, literature=0.973），BCL2-疾病证据为较强。Fosaprepitant Dimeglumine→BCL2 主要由 ConPLEx=0.239/rank=3 支撑；BCL2-CLL 证据强，但 Fosaprepitant-BCL2 ConPLEx 偏低且 target engagement 可行性仅中等。","原始 target-engagement 可行性=中; assay lane=ion channel functional; ConPLEx=0.239, rank=3; 自动优先级=P2_review_candidate. 仅建议低成本先导实验或人工排重后再决定，不应占用主验证资源。",低成本先导验证：BCL2 自动膜片钳或通量/膜电位 readout；在 BCL2 依赖 CLL 相关细胞中确认剂量依赖和可逆性。,hERG/SCN5A 安全性、细胞毒性、膜扰动、非特异离子通道 panel；加入 BCL2 同家族/上游下游通路反筛、母药已知主靶反筛、细胞毒性和溶解度/聚集体检查。特别加入 hERG、SCN5A 和膜扰动安全性面板。,high,P3_review_low,review_low,BCL2-CLL 证据强，但 Fosaprepitant-BCL2 ConPLEx 偏低且 target engagement 可行性仅中等。 child_ot_status=child_ot_match; best_child=B-cell chronic lymphocytic leukemia; novelty=同原适应症方向扩展，novelty 中等偏低; major_risks=离子通道实验成本较高，需安全性通道反筛；疾病方向接近原适应症，老药新用 novelty 较弱
strict895_0645,Ribociclib Succinate,RET,RET 融合 NSCLC；大细胞神经内分泌癌；RET 相关甲状腺癌,"child Open Targets 最佳疾病为 non-small cell lung carcinoma，score=0.706（genetic=0.000, clinical=0.977, literature=0.991），RET-疾病证据为较强。Ribociclib Succinate→RET 主要由 ConPLEx=0.308/rank=40 支撑；RET 疾病证据强，但 Ribociclib 对 RET 的 rank=40，优先级应下调。","原始 target-engagement 可行性=高; assay lane=kinase biochemical/cellular; ConPLEx=0.308, rank=40; 自动优先级=P1_priority_manual_review. 仅建议低成本先导实验或人工排重后再决定，不应占用主验证资源。",低成本先导验证：RET 重组 kinase IC50/Kd（ADP-Glo、迁移率法或 NanoBRET），并在 RET 融合 NSCLC 细胞模型检测目标磷酸化/下游 ERK-AKT 或 pRB readout。,同家族 kinase panel、ATP-competitive counterscreen、细胞毒性/增殖非特异反筛；加入 RET 同家族/上游下游通路反筛、母药已知主靶反筛、细胞毒性和溶解度/聚集体检查。特别做 kinase panel 和 ATP-competition 检查。,high,P3_review_low,review_low,RET 疾病证据强，但 Ribociclib 对 RET 的 rank=40，优先级应下调。 child_ot_status=child_ot_match; best_child=non-small cell lung carcinoma; novelty=同靶点家族机制扩展，novelty 中等; major_risks=同靶点家族可能存在机制泄漏/选择性不足；疾病方向接近原适应症，老药新用 novelty 较弱
strict895_0646,Ribociclib Succinate,BTK,暂不推荐具体肿瘤；BTK 依赖 CLL/淋巴瘤需重新匹配，当前 child OT 为肺鳞癌且无遗传/临床/文献支持,"child Open Targets 最佳疾病为 squamous cell lung carcinoma，score=0.277（genetic=0.000, clinical=0.000, literature=0.000），BTK-疾病证据为弱。Ribociclib Succinate→BTK 主要由 ConPLEx=0.469/rank=13 支撑；BTK 的 child OT 疾病落到肺鳞癌且证据分量为空，疾病映射不可信。","原始 target-engagement 可行性=高; assay lane=kinase biochemical/cellular; ConPLEx=0.469, rank=13; 自动优先级=P1_priority_manual_review. 不建议进入当前主验证队列，除非后续补充独立药物-靶点或疾病证据。",不进入主验证；如需保留，仅做最小化确认：BTK 重组 kinase IC50/Kd（ADP-Glo、迁移率法或 NanoBRET），并在 暂不推荐具体肿瘤 细胞模型检测目标磷酸化/下游 ERK-AKT 或 pRB readout。,同家族 kinase panel、ATP-competitive counterscreen、细胞毒性/增殖非特异反筛；加入 BTK 同家族/上游下游通路反筛、母药已知主靶反筛、细胞毒性和溶解度/聚集体检查。特别做 kinase panel 和 ATP-competition 检查。,high,P4_deprioritize,deprioritize,BTK 的 child OT 疾病落到肺鳞癌且证据分量为空，疾病映射不可信。 child_ot_status=child_ot_match; best_child=squamous cell lung carcinoma; novelty=同靶点家族机制扩展，novelty 中等; major_risks=同靶点家族可能存在机制泄漏/选择性不足；疾病方向接近原适应症，老药新用 novelty 较弱
strict895_0647,Enzalutamide,CDK6,CDK6 依赖 HR+乳腺癌；AML/ALL；淋巴瘤,"child Open Targets 最佳疾病为 breast carcinoma，score=0.610（genetic=0.000, clinical=0.874, literature=0.696），CDK6-疾病证据为较强。Enzalutamide→CDK6 主要由 ConPLEx=0.464/rank=49 支撑；CDK6 疾病证据可用，但 Enzalutamide rank=49 且方向接近原肿瘤内分泌适应症。","原始 target-engagement 可行性=高; assay lane=kinase biochemical/cellular; ConPLEx=0.464, rank=49; 自动优先级=P1_priority_manual_review. 仅建议低成本先导实验或人工排重后再决定，不应占用主验证资源。",低成本先导验证：CDK6 重组 kinase IC50/Kd（ADP-Glo、迁移率法或 NanoBRET），并在 CDK6 依赖 HR+乳腺癌 细胞模型检测目标磷酸化/下游 ERK-AKT 或 pRB readout。,同家族 kinase panel、ATP-competitive counterscreen、细胞毒性/增殖非特异反筛；加入 CDK6 同家族/上游下游通路反筛、母药已知主靶反筛、细胞毒性和溶解度/聚集体检查。特别做 kinase panel 和 ATP-competition 检查。,high,P3_review_low,review_low,CDK6 疾病证据可用，但 Enzalutamide rank=49 且方向接近原肿瘤内分泌适应症。 child_ot_status=child_ot_match; best_child=breast carcinoma; novelty=同原适应症方向扩展，novelty 中等偏低; major_risks=疾病方向接近原适应症，老药新用 novelty 较弱
strict895_0648,Capmatinib Hydrochloride,TYRP1,TYRP1 相关黑色素瘤/原位黑色素瘤；银屑病仅作探索,"child Open Targets 最佳疾病为 melanoma，score=0.126（genetic=0.000, clinical=0.076, literature=0.938），TYRP1-疾病证据为弱。Capmatinib Hydrochloride→TYRP1 主要由 ConPLEx=0.270/rank=12 支撑；TYRP1 child OT 综合分低，主要靠文献信号，Capmatinib 关联需低成本确认。","原始 target-engagement 可行性=中高; assay lane=biochemical/target-engagement; ConPLEx=0.270, rank=12; 自动优先级=P2_review_candidate. 仅建议低成本先导实验或人工排重后再决定，不应占用主验证资源。",低成本先导验证：TYRP1 纯化蛋白活性/结合实验（DSF、SPR、CETSA/TPP）；在 TYRP1 相关黑色素瘤/原位黑色素瘤 模型中做 target engagement 与下游功能 readout 的剂量响应。,同酶家族选择性、PAINS/聚集体、还原/螯合/荧光干扰反筛；加入 TYRP1 同家族/上游下游通路反筛、母药已知主靶反筛、细胞毒性和溶解度/聚集体检查。特别排除 PAINS、金属螯合、氧化还原和荧光干扰。,high,P3_review_low,review_low,TYRP1 child OT 综合分低，主要靠文献信号，Capmatinib 关联需低成本确认。 child_ot_status=child_ot_match; best_child=melanoma; novelty=同靶点家族机制扩展，novelty 中等; major_risks=同靶点家族可能存在机制泄漏/选择性不足
strict895_0649,Tucatinib,EGFR,EGFR 突变/依赖 NSCLC；头颈鳞癌；少突胶质细胞瘤探索,"child Open Targets 最佳疾病为 non-small cell lung carcinoma，score=0.853（genetic=0.746, clinical=0.996, literature=1.000），EGFR-疾病证据为强。Tucatinib→EGFR 主要由 ConPLEx=0.730/rank=1 支撑；Tucatinib-EGFR ConPLEx 高且 rank=1，EGFR-NSCLC child OT 证据非常强。","原始 target-engagement 可行性=高; assay lane=kinase biochemical/cellular; ConPLEx=0.730, rank=1; 自动优先级=P1_priority_manual_review. 疾病模型具体、验证路径清晰，建议进入优先实验队列，但仍需用正交 target engagement 排除多靶点解释。",建议验证：EGFR 重组 kinase IC50/Kd（ADP-Glo、迁移率法或 NanoBRET），并在 EGFR 突变/依赖 NSCLC 细胞模型检测目标磷酸化/下游 ERK-AKT 或 pRB readout。,同家族 kinase panel、ATP-competitive counterscreen、细胞毒性/增殖非特异反筛；加入 EGFR 同家族/上游下游通路反筛、母药已知主靶反筛、细胞毒性和溶解度/聚集体检查。特别做 kinase panel 和 ATP-competition 检查。,medium,P1_high,keep_high,Tucatinib-EGFR ConPLEx 高且 rank=1，EGFR-NSCLC child OT 证据非常强。 child_ot_status=child_ot_match; best_child=non-small cell lung carcinoma; novelty=同靶点家族机制扩展，novelty 中等; major_risks=同靶点家族可能存在机制泄漏/选择性不足；疾病方向接近原适应症，老药新用 novelty 较弱
strict895_0650,Regorafenib,RET,RET 融合 NSCLC；大细胞神经内分泌癌；RET 相关甲状腺癌,"child Open Targets 最佳疾病为 non-small cell lung carcinoma，score=0.706（genetic=0.000, clinical=0.977, literature=0.991），RET-疾病证据为较强。Regorafenib→RET 主要由 ConPLEx=0.376/rank=7 支撑；RET 疾病证据强，Regorafenib kinase 背景可支持中优先级验证。","原始 target-engagement 可行性=高; assay lane=kinase biochemical/cellular; ConPLEx=0.376, rank=7; 自动优先级=P1_priority_manual_review. 可进入小规模验证；若 target engagement 或选择性不足，应及时停止。",建议验证：RET 重组 kinase IC50/Kd（ADP-Glo、迁移率法或 NanoBRET），并在 RET 融合 NSCLC 细胞模型检测目标磷酸化/下游 ERK-AKT 或 pRB readout。,同家族 kinase panel、ATP-competitive counterscreen、细胞毒性/增殖非特异反筛；加入 RET 同家族/上游下游通路反筛、母药已知主靶反筛、细胞毒性和溶解度/聚集体检查。特别做 kinase panel 和 ATP-competition 检查。,medium,P2_medium,keep_medium,RET 疾病证据强，Regorafenib kinase 背景可支持中优先级验证。 child_ot_status=child_ot_match; best_child=non-small cell lung carcinoma; novelty=同靶点家族机制扩展，novelty 中等; major_risks=同靶点家族可能存在机制泄漏/选择性不足；疾病方向接近原适应症，老药新用 novelty 较弱
