排序,优先级,原候选编号,小分子药物名称,旧靶点名称,新靶点名称,新靶点的已知药物名称,新靶点实验参考化合物名称,结合排名_每药384靶点,当前实验建议,需先确认的事项,评价理由,原冻结药物名称,名称与实物核验说明,原适应症,目标适应症假设,跨原适应症大类,药物完整InChIKey,旧靶点ChEMBL编号,旧作用机制,新靶点基因,新靶点ChEMBL编号,参考化合物ChEMBL编号,参考化合物端点类型,参考化合物证据层级,参考化合物实验编号,参考化合物文献编号,已知药物作用类型,已知药物查询口径,参考化合物说明,阳性近邻Tanimoto,可用阳性近邻_ge04,TxGNN疾病排名,OT疾病关联分,pair_id
82,P1 前10排名且仍可探索,C384-316,bumetanide,Solute carrier family 12 member 1,FAAH — Fatty-acid amide hydrolase 1,ACETAMINOPHEN,MK-3168,9,仍可探索,纯FAAH功能独立于利尿表型，AKI获益另判。,布美他尼–FAAH未有直连，利尿不等于肾保护但也不否定新结合。,bumetanide,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,充血性心衰、肝病或肾病含肾病综合征相关水肿；口服/注射/鼻用剂型条件不同,acute kidney injury,False,MAEIEVLCKWDQJH-UHFFFAOYSA-N,CHEMBL1874,Sodium-(potassium)-chloride cotransporter 2 inhibitor,FAAH,CHEMBL2243,CHEMBL2386558,"Kd,IC50",Kd_RECORD_PRESENT,"960967,960986",73697,ACETAMINOPHEN: INHIBITOR,ChEMBL37：精确靶点ID＋直接机制记录＋max_phase=4＋未标记撤市；不保证当前上市状态，也不证明适合作SPR对照,来自冻结另计对照；可能为研究化合物，非必然获批药；尚需确认SPR适用性,0.296875,False,28.0,0.3285605972575297,MAEIEVLCKWDQJH-UHFFFAOYSA-N__CHEMBL2243
83,P1 前10排名且仍可探索,C384-328,selegiline,Amine oxidase [flavin-containing] B,ACE — Angiotensin-converting enzyme,BENAZEPRIL HYDROCHLORIDE; CAPTOPRIL; CILAZAPRIL; ENALAPRIL MALEATE; ENALAPRILAT; FOSINOPRIL SODIUM; IMIDAPRIL; LISINOPRIL; MOEXIPRIL HYDROCHLORIDE; PERINDOPRIL ARGININE; PERINDOPRIL ERBUMINE; QUINAPRIL HYDROCHLORIDE; RAMIPRIL; SPIRAPRIL HYDROCHLORIDE; TRANDOLAPRIL,LISINOPRIL ANHYDROUS,9,仍可探索,纯ACE酶活可探索，疾病方向另证。,司来吉兰ACE药合用不是ACE作用，精神疾病遗传关联也非直接绑定证据。,selegiline,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,帕金森患者左旋多巴治疗辅助；EMSAM贴剂成人MDD,schizophrenia,False,MEZLKOACVSPNER-GFCCVEGCSA-N,CHEMBL2039,Monoamine oxidase B inhibitor,ACE,CHEMBL1808,CHEMBL1237,"Ki,IC50,Kd",Kd_RECORD_PRESENT,"405414,405415,1720397,2157369,2157370,2667396","31795,106612,121869,137876",BENAZEPRIL HYDROCHLORIDE: INHIBITOR; CAPTOPRIL: INHIBITOR; CILAZAPRIL: INHIBITOR; ENALAPRIL MALEATE: INHIBITOR; ENALAPRILAT: INHIBITOR; FOSINOPRIL SODIUM: INHIBITOR; IMIDAPRIL: INHIBITOR; LISINOPRIL: INHIBITOR; MOEXIPRIL HYDROCHLORIDE: INHIBITOR; PERINDOPRIL ARGININE: INHIBITOR; PERINDOPRIL ERBUMINE: INHIBITOR; QUINAPRIL HYDROCHLORIDE: INHIBITOR; RAMIPRIL: INHIBITOR; SPIRAPRIL HYDROCHLORIDE: INHIBITOR; TRANDOLAPRIL: INHIBITOR,ChEMBL37：精确靶点ID＋直接机制记录＋max_phase=4＋未标记撤市；不保证当前上市状态，也不证明适合作SPR对照,来自冻结另计对照；可能为研究化合物，非必然获批药；尚需确认SPR适用性,0.28,False,7.0,0.3963400574426963,MEZLKOACVSPNER-GFCCVEGCSA-N__CHEMBL1808
84,P1 前10排名且仍可探索,C384-329,tizanidine,Adrenergic receptor alpha-2,GSK3A — Glycogen synthase kinase-3 alpha,本地ChEMBL37未检出符合口径的药物；见另列参考化合物,ABEMACICLIB,9,仍可探索,纯GSK3A功能验证。,替扎尼定–GSK3A属于文献缺口，较近阴性邻居与α2机制不同均非硬反证。,tizanidine,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,成人痉挛状态症状控制,depressive disorder,False,XFYDIVBRZNQMJC-UHFFFAOYSA-N,CHEMBL2095158,Adrenergic receptor alpha-2 agonist,GSK3A,CHEMBL2850,CHEMBL3301610,Kd,Kd_RECORD_PRESENT,1642906,103566,,ChEMBL37：精确靶点ID＋直接机制记录＋max_phase=4＋未标记撤市；不保证当前上市状态，也不证明适合作SPR对照,来自冻结另计对照；可能为研究化合物，非必然获批药；尚需确认SPR适用性,0.1707317073170731,False,35.0,0.3510171827603874,XFYDIVBRZNQMJC-UHFFFAOYSA-N__CHEMBL2850
85,P1 前10排名且仍可探索,C384-013,pitavastatin,3-hydroxy-3-methylglutaryl-coenzyme A reductase,MMP12 — Macrophage metalloelastase,本地ChEMBL37未检出符合口径的药物；见另列参考化合物,CHEMBL2385479,10,仍可探索,验证MMP12催化域结合和酶活，区别HMGCR介导的间接表达变化。,pitavastatin–MMP12不能挪用Mcl-1的SPR，移除误支持后仍是可测未知配对。,pitavastatin,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,原发高脂血症及杂合家族高胆固醇血症降低LDL,atherosclerosis,True,VGYFMXBACGZSIL-MCBHFWOFSA-N,CHEMBL402,HMG-CoA reductase inhibitor,MMP12,CHEMBL4393,CHEMBL2385479,"Ki,Kd",Kd_RECORD_PRESENT,"960929,1564753","73680,98640",,ChEMBL37：精确靶点ID＋直接机制记录＋max_phase=4＋未标记撤市；不保证当前上市状态，也不证明适合作SPR对照,来自冻结另计对照；可能为研究化合物，非必然获批药；尚需确认SPR适用性,0.3015873015873015,False,20.0,0.3893213629532507,VGYFMXBACGZSIL-MCBHFWOFSA-N__CHEMBL4393
86,P1 前10排名且仍可探索,C384-014,lasmiditan,5-hydroxytryptamine receptor 1F,NTRK2 — BDNF/NT-3 growth factors receptor,REPOTRECTINIB,STAUROSPORINE,10,仍可探索,已有TrkB体系时可少量侦察，否则先取得独立作用线索；阳性必须再区分受体激活与抑制。,lasmiditan–NTRK2没有直接文献不是反证，可在现有TrkB体系探索。,lasmiditan,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,成人伴或不伴先兆偏头痛急性治疗；不预防,obesity disorder,True,XEDHVZKDSYZQBF-UHFFFAOYSA-N,CHEMBL1805,Serotonin 1f (5-HT1f) receptor agonist,NTRK2,CHEMBL4898,CHEMBL388978,"Kd,IC50",Kd_RECORD_PRESENT,"586730,1327354,1327355,1828764,2065269,2583421","48311,81866,110936,119003,131258",REPOTRECTINIB: INHIBITOR,ChEMBL37：精确靶点ID＋直接机制记录＋max_phase=4＋未标记撤市；不保证当前上市状态，也不证明适合作SPR对照,来自冻结另计对照；可能为研究化合物，非必然获批药；尚需确认SPR适用性,0.3095238095238095,False,16.0,0.3540757904234692,XEDHVZKDSYZQBF-UHFFFAOYSA-N__CHEMBL4898
87,P1 前10排名且仍可探索,C384-212,glimepiride,"Sulfonylurea receptor 1, Kir6.2",CA4 — Carbonic anhydrase 4,ACETAZOLAMIDE; ACETAZOLAMIDE SODIUM; DICHLORPHENAMIDE; METHAZOLAMIDE; TOPIRAMATE,ACETAZOLAMIDE,10,仍可探索,CA4活性构建、CA1/2选择性及SPR互证。,格列美脲–CA4虽不能凭磺酰脲结构推断抑制，仍可检验新机制。,glimepiride,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,成人2型糖尿病血糖控制；不包括1型及酮症酸中毒,heart failure,True,WIGIZIANZCJQQY-RUCARUNLSA-N,CHEMBL2096972,"Sulfonylurea receptor 1, Kir6.2 blocker",CA4,CHEMBL3729,CHEMBL20,"Ki,Kd",Kd_RECORD_PRESENT,"302669,515684,801484,1441636,1657658,1816901,1816913,2081159,2279192,2341559,2602957","20788,45608,60975,89666,104260,110654,119561,125437,127254,136170",ACETAZOLAMIDE: INHIBITOR; ACETAZOLAMIDE SODIUM: INHIBITOR; DICHLORPHENAMIDE: INHIBITOR; METHAZOLAMIDE: INHIBITOR; TOPIRAMATE: INHIBITOR,ChEMBL37：精确靶点ID＋直接机制记录＋max_phase=4＋未标记撤市；不保证当前上市状态，也不证明适合作SPR对照,来自冻结另计对照；可能为研究化合物，非必然获批药；尚需确认SPR适用性,0.2976190476190476,False,20.0,0.3627802668557472,WIGIZIANZCJQQY-RUCARUNLSA-N__CHEMBL3729
88,P1 前10排名且仍可探索,C384-213,aprepitant,Substance-P receptor,HMGCR — 3-hydroxy-3-methylglutaryl-coenzyme A reductase,ATORVASTATIN CALCIUM; FLUVASTATIN SODIUM; LOVASTATIN; PITAVASTATIN CALCIUM; PITAVASTATIN MAGNESIUM; PITAVASTATIN SODIUM; PRAVASTATIN SODIUM; ROSUVASTATIN CALCIUM; SIMVASTATIN,ATORVASTATIN,10,仍可探索,检测阿瑞匹坦本体；不用福沙匹坦代替。,阿瑞匹坦–HMGCR证据薄但可探索，止吐用途和CYP相互作用均非反证。,aprepitant,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,化疗相关恶心呕吐预防的联合止吐方案；aprepitant另用于术后恶心呕吐预防,acute coronary syndrome,True,ATALOFNDEOCMKK-OITMNORJSA-N,CHEMBL249,Neurokinin 1 receptor antagonist,HMGCR,CHEMBL402,CHEMBL1487,"IC50,Ki",Ki_NO_Kd_RECORD,"305887,950486,1822383","20770,72873,110775",ATORVASTATIN CALCIUM: INHIBITOR; FLUVASTATIN SODIUM: INHIBITOR; LOVASTATIN: INHIBITOR; PITAVASTATIN CALCIUM: INHIBITOR; PITAVASTATIN MAGNESIUM: INHIBITOR; PITAVASTATIN SODIUM: INHIBITOR; PRAVASTATIN SODIUM: INHIBITOR; ROSUVASTATIN CALCIUM: INHIBITOR; SIMVASTATIN: INHIBITOR,ChEMBL37：精确靶点ID＋直接机制记录＋max_phase=4＋未标记撤市；不保证当前上市状态，也不证明适合作SPR对照,来自冻结另计对照；可能为研究化合物，非必然获批药；尚需确认SPR适用性,0.2065217391304347,False,13.0,0.4135820272568644,ATALOFNDEOCMKK-OITMNORJSA-N__CHEMBL402
89,P1 前10排名且仍可探索,C384-214,vaborbactam,Carbapenem-hydrolyzing beta-lactamase KPC,MME — Neprilysin,RACECADOTRIL; SACUBITRIL,OMAPATRILAT,10,仍可探索,单成分MME功能与金属酶反筛。,伐硼巴坦–MME没有直接支持，但细菌酶机制不同不该作为禁止探索理由。,vaborbactam,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,meropenem/vaborbactam复方复杂尿路感染含肾盂肾炎,congestive heart failure,True,IOOWNWLVCOUUEX-WPRPVWTQSA-N,CHEMBL6132,Carbepenem-hydrolyzing beta-lactamase KPC inhibitor,MME,CHEMBL1944,CHEMBL289556,"Ki,IC50",Ki_NO_Kd_RECORD,"595725,1812412,2604014,2604015,2640861","49077,110542,136223,137193",RACECADOTRIL: INHIBITOR; SACUBITRIL: INHIBITOR,ChEMBL37：精确靶点ID＋直接机制记录＋max_phase=4＋未标记撤市；不保证当前上市状态，也不证明适合作SPR对照,来自冻结另计对照；可能为研究化合物，非必然获批药；尚需确认SPR适用性,0.2222222222222222,False,32.0,0.5124733528993727,IOOWNWLVCOUUEX-WPRPVWTQSA-N__CHEMBL1944
90,P1 前10排名且仍可探索,C384-215,memantine,Glutamate [NMDA] receptor,NR3C2 — Mineralocorticoid receptor,DESOXYCORTICOSTERONE ACETATE; DESOXYCORTICOSTERONE PIVALATE; DROSPIRENONE; EPLERENONE; FELODIPINE; FINERENONE; FLUDROCORTISONE ACETATE; NIMODIPINE; SPIRONOLACTONE; VAMOROLONE,ALDOSTERONE,10,仍可探索,竞争/报告测方向，不把合并节点当特定病预测。,美金刚–MR可作受体机制探索；合并心血管疾病节点只限制用途解释。,memantine,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,中重度阿尔茨海默型痴呆,congestive heart failure,True,BUGYDGFZZOZRHP-UHFFFAOYSA-N,CHEMBL2094124,Glutamate [NMDA] receptor negative allosteric modulator,NR3C2,CHEMBL1994,CHEMBL273453,"Kd,IC50",Kd_RECORD_PRESENT,"1658414,1791561","104297,109666",DESOXYCORTICOSTERONE ACETATE: AGONIST; DESOXYCORTICOSTERONE PIVALATE: AGONIST; DROSPIRENONE: ANTAGONIST; EPLERENONE: ANTAGONIST; FELODIPINE: ANTAGONIST; FINERENONE: ANTAGONIST; FLUDROCORTISONE ACETATE: AGONIST; NIMODIPINE: ANTAGONIST; SPIRONOLACTONE: ANTAGONIST; VAMOROLONE: ANTAGONIST,ChEMBL37：精确靶点ID＋直接机制记录＋max_phase=4＋未标记撤市；不保证当前上市状态，也不证明适合作SPR对照,来自冻结另计对照；可能为研究化合物，非必然获批药；尚需确认SPR适用性,0.125,False,42.0,0.5934268835880285,BUGYDGFZZOZRHP-UHFFFAOYSA-N__CHEMBL1994
91,P1 前10排名且仍可探索,C384-135,sotalol,Beta-1 adrenergic receptor; Beta-2 adrenergic receptor; Voltage-gated inwardly rectifying potassium channel KCNH2,"ALDH2 — Aldehyde dehydrogenase, mitochondrial",DISULFIRAM,PRUNETIN,10,仍可探索,明确ALDH2参考物、辅因子及活性方向，优先用酶学筛查后决定SPR。,sotalol–ALDH2可探索直接酶作用，卒中意义需区分激活和抑制，不自动从疾病关联推出。,sotalol,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,已证实危及生命室性心律失常；高度症状AFIB/AFL复发延迟/窦律维持；未证实增生存、不用于低症状或易逆转情形,stroke disorder,False,ZBMZVLHSJCTVON-UHFFFAOYSA-N,CHEMBL210; CHEMBL213; CHEMBL240,Beta-1 adrenergic receptor antagonist; Beta-2 adrenergic receptor antagonist; HERG blocker,ALDH2,CHEMBL1935,CHEMBL491174,Ki,Ki_NO_Kd_RECORD,489763,43988,DISULFIRAM: INHIBITOR,ChEMBL37：精确靶点ID＋直接机制记录＋max_phase=4＋未标记撤市；不保证当前上市状态，也不证明适合作SPR对照,来自冻结另计对照；可能为研究化合物，非必然获批药；尚需确认SPR适用性,0.273972602739726,False,7.0,0.3826528494536529,ZBMZVLHSJCTVON-UHFFFAOYSA-N__CHEMBL1935
92,P1 前10排名且仍可探索,C384-136,enasidenib,"Isocitrate dehydrogenase [NADP], mitochondrial",BRAF — Serine/threonine-protein kinase B-raf,DABRAFENIB MESYLATE; ENCORAFENIB; REGORAFENIB; SORAFENIB TOSYLATE; VEMURAFENIB,SB590885,10,仍可探索,先查具体BRAF构建与配对活性，若只见下游通路变化则不升级。,enasidenib–BRAF阴性近邻更近不是本药阴性，白血病方向薄弱也不阻止纯激酶探索。,enasidenib,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,IDH2突变复发难治AML,"chronic myelogenous leukemia, BCR-ABL1 positive",False,DYLUUSLLRIQKOE-UHFFFAOYSA-N,CHEMBL3991501,"Isocitrate dehydrogenase [NADP], mitochondrial inhibitor",BRAF,CHEMBL5145,CHEMBL477989,"Kd,IC50,Ki",Kd_RECORD_PRESENT,"327805,789760,862419,1759726,2385439,2525539","30485,60328,65954,108280,128667,131036",DABRAFENIB MESYLATE: INHIBITOR; ENCORAFENIB: INHIBITOR; REGORAFENIB: INHIBITOR; SORAFENIB TOSYLATE: INHIBITOR; VEMURAFENIB: INHIBITOR,ChEMBL37：精确靶点ID＋直接机制记录＋max_phase=4＋未标记撤市；不保证当前上市状态，也不证明适合作SPR对照,来自冻结另计对照；可能为研究化合物，非必然获批药；尚需确认SPR适用性,0.2857142857142857,False,12.0,0.3020772510376185,DYLUUSLLRIQKOE-UHFFFAOYSA-N__CHEMBL5145
93,P1 前10排名且仍可探索,C384-137,desoximetasone,Glucocorticoid receptor,PRKCB — Protein kinase C beta type,本地ChEMBL37未检出符合口径的药物；见另列参考化合物,ENZASTAURIN,10,仍可探索,先用域匹配PKCβ活性检测寻找可重复线索，只有直接效应才增加SPR投入。,desoximetasone–PRKCB原皮肤用途附近的新机制仍可研究，同领域及近邻弱不构成硬排除。,desoximetasone,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,糖皮质激素敏感皮肤病炎症/瘙痒,psoriasis,False,VWVSBHGCDBMOOT-IIEHVVJPSA-N,CHEMBL2034,Glucocorticoid receptor agonist,PRKCB,CHEMBL3045,CHEMBL300138,"IC50,Kd",Kd_RECORD_PRESENT,"160462,160611,1643023,1777427,2255762,2578754","5538,103566,109000,124768,131242",,ChEMBL37：精确靶点ID＋直接机制记录＋max_phase=4＋未标记撤市；不保证当前上市状态，也不证明适合作SPR对照,来自冻结另计对照；可能为研究化合物，非必然获批药；尚需确认SPR适用性,0.1584158415841584,False,44.0,0.3414017903990017,VWVSBHGCDBMOOT-IIEHVVJPSA-N__CHEMBL3045
94,P1 前10排名且仍可探索,C384-226,nimodipine,Mineralocorticoid receptor; Voltage-gated L-type calcium channel,CA12 — Carbonic anhydrase 12,ACETAZOLAMIDE; ACETAZOLAMIDE SODIUM; DICHLORPHENAMIDE,INDAPAMIDE,10,仍可探索,CA12活性/溶解性合格即可探索。,尼莫地平–CA12没有本药直接数据，其他CA化合物论文与原机制差异均非硬反对。,nimodipine,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,动脉瘤破裂蛛网膜下腔出血后减少缺血神经缺损,congestive heart failure,False,UIAGMCDKSXEBJQ-UHFFFAOYSA-N,CHEMBL1994; CHEMBL2095229,Mineralocorticoid receptor antagonist; Voltage-gated L-type calcium channel blocker,CA12,CHEMBL3242,CHEMBL406,"Ki,Kd",Kd_RECORD_PRESENT,"515646,989826","45606,75385",ACETAZOLAMIDE: INHIBITOR; ACETAZOLAMIDE SODIUM: INHIBITOR; DICHLORPHENAMIDE: INHIBITOR,ChEMBL37：精确靶点ID＋直接机制记录＋max_phase=4＋未标记撤市；不保证当前上市状态，也不证明适合作SPR对照,来自冻结另计对照；可能为研究化合物，非必然获批药；尚需确认SPR适用性,0.3116883116883117,False,6.0,0.3695798546847018,UIAGMCDKSXEBJQ-UHFFFAOYSA-N__CHEMBL3242
95,P1 前10排名且仍可探索,C384-271,thalidomide,CRL4(CRBN) E3 ubiquitin ligase,CDK9 — Cyclin-dependent kinase 9,本地ChEMBL37未检出符合口径的药物；见另列参考化合物,DINACICLIB,10,仍可探索,仅接受纯沙利度胺CDK9生化结果，重审近邻来源。,THAL-SNS-032的CDK9端属于SNS-032，不能转给沙利度胺；去除错误支持后仍可探索。,thalidomide,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,新诊断MM联合dexamethasone；麻风结节性红斑皮肤表现急性治疗及复发预防/抑制（不是抗麻风菌）,B-cell chronic lymphocytic leukemia,False,UEJJHQNACJXSKW-UHFFFAOYSA-N,CHEMBL3833061,CRL4(CRBN) E3 ubiquitin ligase inhibitor,CDK9,CHEMBL3116,CHEMBL2103840,"IC50,Kd",Kd_RECORD_PRESENT,"1561754,1614449,1642843,2131737,2425619,2624413","98573,101132,103566,121231,128846,136755",,ChEMBL37：精确靶点ID＋直接机制记录＋max_phase=4＋未标记撤市；不保证当前上市状态，也不证明适合作SPR对照,来自冻结另计对照；可能为研究化合物，非必然获批药；尚需确认SPR适用性,0.3010752688172043,False,43.0,0.3618279940994673,UEJJHQNACJXSKW-UHFFFAOYSA-N__CHEMBL3116
96,P1 前10排名且仍可探索,C384-317,binimetinib,Dual specificity mitogen-activated protein kinase kinase 1; Dual specificity mitogen-activated protein kinase kinase 2,PARP2 — Poly [ADP-ribose] polymerase 2,NIRAPARIB; NIRAPARIB TOSYLATE MONOHYDRATE; TALAZOPARIB; TALAZOPARIB TOSYLATE,TALAZOPARIB,10,仍可探索,单药PARP2酶活，不用组合效果作证据。,比美替尼联合研究中的PARP药是他拉唑帕尼，不能据此断言PARP2命中或阴性。,binimetinib,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,BRAF特定突变黑色素瘤和NSCLC联合encorafenib治疗,non-small cell lung carcinoma,False,ACWZRVQXLIRSDF-UHFFFAOYSA-N,CHEMBL2964; CHEMBL3587,Dual specificity mitogen-activated protein kinase kinase 1 inhibitor; Dual specificity mitogen-activated protein kinase kinase 2 inhibitor,PARP2,CHEMBL5366,CHEMBL3137320,"Ki,IC50,Kd",Kd_RECORD_PRESENT,"1553354,1935249,2214662,2238133,2238144,2251539,2362426,2610722","98298,114631,123463,124310,124632,127965,136432",NIRAPARIB: INHIBITOR; NIRAPARIB TOSYLATE MONOHYDRATE: INHIBITOR; TALAZOPARIB: INHIBITOR; TALAZOPARIB TOSYLATE: INHIBITOR,ChEMBL37：精确靶点ID＋直接机制记录＋max_phase=4＋未标记撤市；不保证当前上市状态，也不证明适合作SPR对照,来自冻结另计对照；可能为研究化合物，非必然获批药；尚需确认SPR适用性,0.2346938775510204,False,31.0,0.3991994491436579,ACWZRVQXLIRSDF-UHFFFAOYSA-N__CHEMBL5366
97,P1 前10排名且仍可探索,C384-318,ticagrelor,P2Y purinoceptor 12,"PDE9A — High affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A",本地ChEMBL37未检出符合口径的药物；见另列参考化合物,CHEMBL5810180,10,仍可探索,纯PDE9A作用与P2Y12/ENT1分离。,替格瑞洛–PDE9A属于新靶点探索，卒中用途重叠只影响新适应症价值。,ticagrelor,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,ACS/心梗史、特定CAD及急性缺血卒中/TIA患者降低心脑血管/支架血栓事件,stroke disorder,False,OEKWJQXRCDYSHL-FNOIDJSQSA-N,CHEMBL2001,Purinergic receptor P2Y12 negative allosteric modulator,PDE9A,CHEMBL3535,CHEMBL5810180,Ki,Ki_NO_Kd_RECORD,"2593770,2594217","134415,134629",,ChEMBL37：精确靶点ID＋直接机制记录＋max_phase=4＋未标记撤市；不保证当前上市状态，也不证明适合作SPR对照,来自冻结另计对照；可能为研究化合物，非必然获批药；尚需确认SPR适用性,0.1834862385321101,False,15.0,0.5261379875719714,OEKWJQXRCDYSHL-FNOIDJSQSA-N__CHEMBL3535
98,P1 前10排名且仍可探索,C384-319,ixabepilone,Tubulin,PRKCB — Protein kinase C beta type,本地ChEMBL37未检出符合口径的药物；见另列参考化合物,ENZASTAURIN,10,仍可探索,纯PRKCB功能后再解释AML细胞效应。,伊沙匹隆–PRKCB缺直接数据，微管细胞毒性既不能证明也不能否定激酶结合。,ixabepilone,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,蒽环/紫杉耐药局晚或转移乳腺癌联合capecitabine；蒽环/紫杉/capecitabine失败后单药,acute myeloid leukemia by FAB classification,False,FABUFPQFXZVHFB-PVYNADRNSA-N,CHEMBL2095182,Tubulin inhibitor,PRKCB,CHEMBL3045,CHEMBL300138,"IC50,Kd",Kd_RECORD_PRESENT,"160462,160611,1643023,1777427,2255762,2578754","5538,103566,109000,124768,131242",,ChEMBL37：精确靶点ID＋直接机制记录＋max_phase=4＋未标记撤市；不保证当前上市状态，也不证明适合作SPR对照,来自冻结另计对照；可能为研究化合物，非必然获批药；尚需确认SPR适用性,0.2110091743119266,False,43.0,0.3695798546847018,FABUFPQFXZVHFB-PVYNADRNSA-N__CHEMBL3045
99,P1 前10排名且仍可探索,C384-330,lumateperone,5-hydroxytryptamine receptor 2A; D(2) dopamine receptor; Sodium-dependent serotonin transporter,ACHE — Acetylcholinesterase,AMBENONIUM CHLORIDE; BENZGALANTAMINE GLUCONATE; DEMECARIUM BROMIDE; DISTIGMINE; DONEPEZIL HYDROCHLORIDE; ECHOTHIOPHATE; ECHOTHIOPHATE IODIDE; EDROPHONIUM CHLORIDE; GALANTAMINE HYDROBROMIDE; HEXAFLUORENIUM BROMIDE; ISOFLUROPHATE; NEOSTIGMINE METHYLSULFATE; PHYSOSTIGMINE SALICYLATE; PRALIDOXIME CHLORIDE; PYRIDOSTIGMINE BROMIDE,HUPERZINE A,10,仍可探索,ACHE功能及光学干扰对照。,卢美哌隆–ACHE原抑郁用途重叠不影响新机制探索，低毒蕈碱亲和不是ACHE阴性。,lumateperone,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,成人精神分裂症、双相I/II抑郁发作单药或锂/丙戊酸辅助、MDD抗抑郁药辅助,depressive disorder,False,HOIIHACBCFLJET-SFTDATJTSA-N,CHEMBL217; CHEMBL224; CHEMBL228,Dopamine D2 receptor antagonist; Serotonin 2a (5-HT2a) receptor antagonist; Serotonin transporter inhibitor,ACHE,CHEMBL220,CHEMBL395280,"Ki,IC50,Kd",Kd_RECORD_PRESENT,"362147,606474,833863,945319,973813,1439748,1551243,1766084,1834120,1935994,2106831,2204620","31257,49254,62972,72583,74457,89362,97886,108509,111106,114663,120294,123102",AMBENONIUM CHLORIDE: INHIBITOR; BENZGALANTAMINE GLUCONATE: INHIBITOR; DEMECARIUM BROMIDE: INHIBITOR; DISTIGMINE: INHIBITOR; DONEPEZIL HYDROCHLORIDE: INHIBITOR; ECHOTHIOPHATE: INHIBITOR; ECHOTHIOPHATE IODIDE: INHIBITOR; EDROPHONIUM CHLORIDE: INHIBITOR; GALANTAMINE HYDROBROMIDE: INHIBITOR; HEXAFLUORENIUM BROMIDE: INHIBITOR; ISOFLUROPHATE: INHIBITOR; NEOSTIGMINE METHYLSULFATE: INHIBITOR; PHYSOSTIGMINE SALICYLATE: INHIBITOR; PRALIDOXIME CHLORIDE: ACTIVATOR; PYRIDOSTIGMINE BROMIDE: INHIBITOR,ChEMBL37：精确靶点ID＋直接机制记录＋max_phase=4＋未标记撤市；不保证当前上市状态，也不证明适合作SPR对照,来自冻结另计对照；可能为研究化合物，非必然获批药；尚需确认SPR适用性,0.2911392405063291,False,25.0,0.3780838115435963,HOIIHACBCFLJET-SFTDATJTSA-N__CHEMBL220
100,P1 前10排名且仍可探索,C384-331,alprazolam,GABA-A receptor; anion channel,GSK3A — Glycogen synthase kinase-3 alpha,本地ChEMBL37未检出符合口径的药物；见另列参考化合物,ABEMACICLIB,10,仍可探索,成熟GSK3A体系探索，独立于镇静表型。,阿普唑仑–GSK3A缺直连，镇静机制和MDD共现不应决定纯蛋白结合。,alprazolam,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,成人GAD急性治疗及伴/不伴广场恐惧的惊恐障碍；剂型和疗程证据限制依标签,major depressive disorder,False,VREFGVBLTWBCJP-UHFFFAOYSA-N,CHEMBL2093872,GABA-A receptor; anion channel positive allosteric modulator,GSK3A,CHEMBL2850,CHEMBL3301610,Kd,Kd_RECORD_PRESENT,1642906,103566,,ChEMBL37：精确靶点ID＋直接机制记录＋max_phase=4＋未标记撤市；不保证当前上市状态，也不证明适合作SPR对照,来自冻结另计对照；可能为研究化合物，非必然获批药；尚需确认SPR适用性,0.2394366197183098,False,19.0,0.5368611960321339,VREFGVBLTWBCJP-UHFFFAOYSA-N__CHEMBL2850
