排序,优先级,原候选编号,小分子药物名称,旧靶点名称,新靶点名称,新靶点的已知药物名称,新靶点实验参考化合物名称,结合排名_每药384靶点,当前实验建议,需先确认的事项,名称与实物核验说明
24,P1 前10排名且仍可探索,C384-080,ibuprofen,Cyclooxygenase,CA4 — Carbonic anhydrase 4,ACETAZOLAMIDE; ACETAZOLAMIDE SODIUM; DICHLORPHENAMIDE; METHAZOLAMIDE; TOPIRAMATE,ACETAZOLAMIDE,4,仍可探索,用含锌CA4胞外域及参照，酶活与结合一致再升级；先核是否已有未收录文献。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
25,P1 前10排名且仍可探索,C384-082,lisinopril,Angiotensin-converting enzyme,REN — Renin,ALISKIREN FUMARATE,REMIKIREN,4,仍可探索,用成熟活性肾素直接测酶活，先排ACE反馈解释，阳性再SPR复测。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
26,P1 前10排名且仍可探索,C384-004,apixaban,Coagulation factor X,FLT3 — Receptor-type tyrosine-protein kinase FLT3,FEDRATINIB; FEDRATINIB HYDROCHLORIDE; GILTERITINIB; GILTERITINIB FUMARATE; MIDOSTAURIN; PACRITINIB; PACRITINIB CITRATE; PEXIDARTINIB; PEXIDARTINIB HYDROCHLORIDE; QUIZARTINIB; QUIZARTINIB DIHYDROCHLORIDE; SORAFENIB TOSYLATE; SUNITINIB; SUNITINIB MALATE,STAUROSPORINE,4,仍可探索,先以FLT3激酶域和匹配对照验证结合，阳性再测酶活；细胞抗炎现象需排除原抗凝通路解释。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
27,P1 前10排名且仍可探索,C384-102,nimodipine,Mineralocorticoid receptor; Voltage-gated L-type calcium channel,CA7 — Carbonic anhydrase 7,METHAZOLAMIDE,ETHOXZOLAMIDE,4,仍可探索,确认含锌CA7及实际可溶浓度，结合和酶活一致再升级。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
28,P1 前10排名且仍可探索,C384-103,etravirine,Human immunodeficiency virus type 1 reverse transcriptase,FLT3 — Receptor-type tyrosine-protein kinase FLT3,FEDRATINIB; FEDRATINIB HYDROCHLORIDE; GILTERITINIB; GILTERITINIB FUMARATE; MIDOSTAURIN; PACRITINIB; PACRITINIB CITRATE; PEXIDARTINIB; PEXIDARTINIB HYDROCHLORIDE; QUIZARTINIB; QUIZARTINIB DIHYDROCHLORIDE; SORAFENIB TOSYLATE; SUNITINIB; SUNITINIB MALATE,STAUROSPORINE,4,仍可探索,匹配FLT3活性域及参照，直接结合/酶活后再核疾病亚型。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
29,P1 前10排名且仍可探索,C384-129,darunavir,Human immunodeficiency virus type 1 protease,FKBP1A — Peptidyl-prolyl cis-trans isomerase FKBP1A,EVEROLIMUS; PIMECROLIMUS; SIROLIMUS; TACROLIMUS; TEMSIROLIMUS,SIROLIMUS,4,仍可探索,先确认FKBP12参考配体响应及darunavir可溶浓度；若重复SPR响应成立，再做竞争结合并细化癌症机制。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
30,P1 前10排名且仍可探索,C384-162,bupivacaine,Sodium channel protein type 4 subunit alpha,CTSC — Dipeptidyl peptidase 1,本地ChEMBL37未检出符合口径的药物；见另列参考化合物,BRENSOCATIB,4,仍可探索,在成熟活性CTSC上先酶学检验，并区分局麻引起的细胞损伤与靶点效应。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
31,P1 前10排名且仍可探索,C384-163,belzutifan,Endothelial PAS domain-containing protein 1,PGR — Progesterone receptor,DANAZOL; DESOGESTREL; DROSPIRENONE; DYDROGESTERONE; ETHYNODIOL DIACETATE; ETONOGESTREL; LEVONORGESTREL; MEDROXYPROGESTERONE ACETATE; MEGESTROL ACETATE; MIFEPRISTONE; NOMEGESTROL; NOMEGESTROL ACETATE; NORELGESTROMIN; NORETHINDRONE; NORETHINDRONE ACETATE; NORETHYNODREL; NORGESTIMATE; NORGESTREL; PROGESTERONE; SEGESTERONE ACETATE; ULIPRISTAL,CHEMBL2311103,4,仍可探索,确认PGR域与配体竞争对照，SPR阳性后用功能报告区分方向再讨论骨病价值。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
32,P1 前10排名且仍可探索,C384-198,oxaprozin,Cyclooxygenase,FAAH — Fatty-acid amide hydrolase 1,ACETAMINOPHEN,MK-3168,4,仍可探索,先实测FAAH作用，原始数据待追溯。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
33,P1 前10排名且仍可探索,C384-290,cobimetinib,Dual specificity mitogen-activated protein kinase kinase 1; Dual specificity mitogen-activated protein kinase kinase 2,PARP2 — Poly [ADP-ribose] polymerase 2,NIRAPARIB; NIRAPARIB TOSYLATE MONOHYDRATE; TALAZOPARIB; TALAZOPARIB TOSYLATE,TALAZOPARIB,4,仍可探索,PARP2功能与MEK效应分离。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
34,P1 前10排名且仍可探索,C384-305,lumateperone,5-hydroxytryptamine receptor 2A; D(2) dopamine receptor; Sodium-dependent serotonin transporter,COMT — Catechol O-methyltransferase,ENTACAPONE; OPICAPONE,CHEMBL5653589,4,仍可探索,明确COMT构建及SAM条件，独立功能验证。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
35,P1 前10排名且仍可探索,C384-307,tafamidis,Transthyretin,RARB — Retinoic acid receptor beta,TAMIBAROTENE,TRETINOIN,4,仍可探索,竞争及报告基因确定受体方向。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
36,P1 前10排名且仍可探索,C384-006,pregabalin,Voltage-gated calcium channel,MME — Neprilysin,RACECADOTRIL; SACUBITRIL,OMAPATRILAT,5,仍可探索,先测可溶MME对照及正交酶活；直接结合和酶抑制一致才升级。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
37,P1 前10排名且仍可探索,C384-027,cabotegravir,Human immunodeficiency virus type 1 integrase,"ALDH2 — Aldehyde dehydrogenase, mitochondrial",DISULFIRAM,PRUNETIN,5,仍可探索,核对ALDH2辅因子和酶活，结合与功能一致才考虑升级。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
38,P1 前10排名且仍可探索,C384-164,pacritinib,Activin receptor type-1; Interleukin-1 receptor-associated kinase 1; Receptor-type tyrosine-protein kinase FLT3; Tyrosine-protein kinase JAK2,CA7 — Carbonic anhydrase 7,METHAZOLAMIDE,ETHOXZOLAMIDE,5,仍可探索,仅在CA7体系成熟且可低成本追加时先酶学测试，不直接安排全梯度。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
39,P1 前10排名且仍可探索,C384-166,bictegravir,Human immunodeficiency virus type 1 integrase,MET — Hepatocyte growth factor receptor,AMIVANTAMAB; BEPERMINOGENE PERPLASMID; CABOZANTINIB S-MALATE; CAPMATINIB; CAPMATINIB HYDROCHLORIDE; CRIZOTINIB; TEPOTINIB; TEPOTINIB HYDROCHLORIDE,TEPOTINIB,5,仍可探索,明确人MET激酶域及参考对照，先小规模活性筛查后用SPR和细胞MET信号复核。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
40,P1 前10排名且仍可探索,C384-167,rimegepant,Calcitonin gene-related peptide type 1 receptor,REN — Renin,ALISKIREN FUMARATE,REMIKIREN,5,仍可探索,先核对肾素催化活性、样品溶解度和竞争效应；只有重复直接效应才追加疾病验证。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
41,P1 前10排名且仍可探索,C384-217,calcipotriene,Vitamin D3 receptor,NR3C2 — Mineralocorticoid receptor,DESOXYCORTICOSTERONE ACETATE; DESOXYCORTICOSTERONE PIVALATE; DROSPIRENONE; EPLERENONE; FELODIPINE; FINERENONE; FLUDROCORTISONE ACETATE; NIMODIPINE; SPIRONOLACTONE; VAMOROLONE,ALDOSTERONE,5,仍可探索,MR竞争与溶解性确认，可与同药其他核受体并行。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
42,P1 前10排名且仍可探索,C384-122,olanzapine,5-hydroxytryptamine receptor 2A; 5-hydroxytryptamine receptor 2C; D2-like dopamine receptor,DYRK1A — Dual specificity tyrosine-phosphorylation-regulated kinase 1A,本地ChEMBL37未检出符合口径的药物；见另列参考化合物,HARMINE,5,仍可探索,先核对DYRK1A直接筛选数据及自闭症相关方向；有匹配构建的活性支持后再提升顺位。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
43,P1 前10排名且仍可探索,C384-291,avibactam,Beta-lactamase TEM,MMP8 — Neutrophil collagenase,DOXYCYCLINE; DOXYCYCLINE CALCIUM; DOXYCYCLINE HYCLATE,CIPEMASTAT,5,仍可探索,单成分成熟MMP8与金属/非特异对照。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
44,P1 前10排名且仍可探索,C384-308,tapentadol,Mu-type opioid receptor; Sodium-dependent noradrenaline transporter,ESR1 — Estrogen receptor,CLOMIPHENE CITRATE; DIETHYLSTILBESTROL; ELACESTRANT; ELACESTRANT HYDROCHLORIDE; ESTRADIOL; ESTRADIOL ACETATE; ESTRADIOL CYPIONATE; ESTRADIOL VALERATE; ESTRONE; ESTROPIPATE; ETHINYL ESTRADIOL; FULVESTRANT; MESTRANOL; POLYESTRADIOL PHOSPHATE; RALOXIFENE; TAMOXIFEN CITRATE,CHEMBL377849,5,仍可探索,ESR1竞争/报告后再判疾病方向。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
45,P1 前10排名且仍可探索,C384-008,lubiprostone,Chloride channel protein 2,AR — Androgen receptor,ABIRATERONE; APALUTAMIDE; BICALUTAMIDE; CLASCOTERONE; DANAZOL; DAROLUTAMIDE; DROMOSTANOLONE PROPIONATE; ENZALUTAMIDE; ETHYLESTRENOL; FLUOXYMESTERONE; FLUTAMIDE; METHYLTESTOSTERONE; NANDROLONE DECANOATE; NANDROLONE PHENPROPIONATE; NILUTAMIDE; OXANDROLONE; OXYMETHOLONE; STANOZOLOL; TESTOSTERONE; TESTOSTERONE CYPIONATE; TESTOSTERONE ENANTHATE; TESTOSTERONE PROPIONATE; TESTOSTERONE UNDECANOATE,TESTOSTERONE,6,仍可探索,如做，仅先验证纯母药AR结合；证据阳性后另审局部给药与激动/拮抗，不能直接按系统再利用推进。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
46,P1 前10排名且仍可探索,C384-199,bupivacaine,Sodium channel protein type 4 subunit alpha,FKBP1A — Peptidyl-prolyl cis-trans isomerase FKBP1A,EVEROLIMUS; PIMECROLIMUS; SIROLIMUS; TACROLIMUS; TEMSIROLIMUS,SIROLIMUS,6,仍可探索,纯蛋白竞争和非特异吸附对照，避免膜效应归因。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
47,P1 前10排名且仍可探索,C384-200,sotagliflozin,Sodium/glucose cotransporter 1; Sodium/glucose cotransporter 2,REN — Renin,ALISKIREN FUMARATE,REMIKIREN,6,仍可探索,以纯REN实验独立检验，生理肾素变化不作为直连。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
48,P1 前10排名且仍可探索,C384-084,glasdegib,Protein smoothened,KIT — Mast/stem cell growth factor receptor Kit,AVAPRITINIB; DASATINIB ANHYDROUS; IMATINIB MESYLATE; MIDOSTAURIN; PAZOPANIB HYDROCHLORIDE; PEXIDARTINIB; PEXIDARTINIB HYDROCHLORIDE; QUIZARTINIB; REGORAFENIB; RIPRETINIB; SORAFENIB TOSYLATE; SUNITINIB; SUNITINIB MALATE; TIVOZANIB HYDROCHLORIDE,STAUROSPORINE,6,仍可探索,核KIT活性域及突变状态，阳性再做酶活；不直接把AML原用途移到CML。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
49,P1 前10排名且仍可探索,C384-131,selinexor,Exportin-1,BRAF — Serine/threonine-protein kinase B-raf,DABRAFENIB MESYLATE; ENCORAFENIB; REGORAFENIB; SORAFENIB TOSYLATE; VEMURAFENIB,SB590885,6,仍可探索,先取得BRAF生化或直接结合证据；若只有细胞通路变化，保持后置并区分BRAF野生型与突变构建。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
50,P1 前10排名且仍可探索,C384-310,avibactam,Beta-lactamase TEM,MMP7 — Matrilysin,DOXYCYCLINE; DOXYCYCLINE CALCIUM; DOXYCYCLINE HYCLATE,PRINOMASTAT,6,仍可探索,单成分成熟MMP7功能及金属条件。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
51,P1 前10排名且仍可探索,C384-321,fluocinonide,Glucocorticoid receptor,PRKCB — Protein kinase C beta type,本地ChEMBL37未检出符合口径的药物；见另列参考化合物,ENZASTAURIN,6,仍可探索,纯PRKCB作用与GR效应分离，后续才评暴露。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
52,P1 前10排名且仍可探索,C384-032,desonide,Glucocorticoid receptor,NR3C2 — Mineralocorticoid receptor,DESOXYCORTICOSTERONE ACETATE; DESOXYCORTICOSTERONE PIVALATE; DROSPIRENONE; EPLERENONE; FELODIPINE; FINERENONE; FLUDROCORTISONE ACETATE; NIMODIPINE; SPIRONOLACTONE; VAMOROLONE,ALDOSTERONE,7,仍可探索,确认MR-LBD与GR选择性，结合阳性后分别测激动拮抗；再论肾病方向。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
53,P1 前10排名且仍可探索,C384-009,alpelisib,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform",DPP4 — Dipeptidyl peptidase 4,ALOGLIPTIN BENZOATE; ANAGLIPTIN; EVOGLIPTIN; GOSOGLIPTIN; LINAGLIPTIN; OMARIGLIPTIN; SAXAGLIPTIN HYDROCHLORIDE; SITAGLIPTIN FUMARATE; SITAGLIPTIN HYDROCHLORIDE MONOHYDRATE; SITAGLIPTIN PHOSPHATE; TENELIGLIPTIN; TRELAGLIPTIN SUCCINATE; VILDAGLIPTIN,LINAGLIPTIN,7,仍可探索,使用活性DPP4胞外域及参照，同时测酶活；若只见细胞通路变化不升级直接结合结论。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
54,P1 前10排名且仍可探索,C384-031,atrasentan,Endothelin-1 receptor,EGLN3 — Prolyl hydroxylase EGLN3,VADADUSTAT,CHEMBL3133890,7,仍可探索,查名单对应原始数据，未证成直接作用前不单独建体系。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
55,P1 前10排名且仍可探索,C384-201,methocarbamol,Carbonic anhydrase 1,CA4 — Carbonic anhydrase 4,ACETAZOLAMIDE; ACETAZOLAMIDE SODIUM; DICHLORPHENAMIDE; METHAZOLAMIDE; TOPIRAMATE,ACETAZOLAMIDE,7,仍可探索,同条件比较CA4与CA1/2，明确亚型。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
56,P1 前10排名且仍可探索,C384-204,avanafil,"cGMP-specific 3',5'-cyclic phosphodiesterase",FKBP1A — Peptidyl-prolyl cis-trans isomerase FKBP1A,EVEROLIMUS; PIMECROLIMUS; SIROLIMUS; TACROLIMUS; TEMSIROLIMUS,SIROLIMUS,7,仍可探索,用FKBP12竞争检验而非沿用血浆结合率。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
57,P1 前10排名且仍可探索,C384-205,indacaterol,Beta-2 adrenergic receptor,JAK3 — Tyrosine-protein kinase JAK3,DEURUXOLITINIB PHOSPHATE; FILGOTINIB; FILGOTINIB MALEATE; RITLECITINIB; RITLECITINIB TOSYLATE; UPADACITINIB HEMIHYDRATE,STAUROSPORINE,7,仍可探索,JAK3生化测定及JAK1/2反筛，细胞效应单独解释。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
58,P1 前10排名且仍可探索,C384-207,etravirine,Human immunodeficiency virus type 1 reverse transcriptase,MAPK9 — Mitogen-activated protein kinase 9,本地ChEMBL37未检出符合口径的药物；见另列参考化合物,TANZISERTIB,7,仍可探索,JNK亚型并行，功能阳性后收窄癌种。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
59,P1 前10排名且仍可探索,C384-132,diltiazem,Voltage-gated L-type calcium channel,MMP12 — Macrophage metalloelastase,本地ChEMBL37未检出符合口径的药物；见另列参考化合物,CHEMBL2385479,7,仍可探索,核对活性MMP12构建及钙/金属条件，用配套酶学先检验；避免把改变酶环境解释为特异结合。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
60,P1 前10排名且仍可探索,C384-313,ozanimod,Sphingosine 1-phosphate receptor 1; Sphingosine 1-phosphate receptor 5,"PDE4D — 3',5'-cyclic-AMP phosphodiesterase 4D",本地ChEMBL37未检出符合口径的药物；见另列参考化合物,ROLIPRAM,7,仍可探索,纯母药身份明确，不转移代谢物效应。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
61,P1 前10排名且仍可探索,C384-314,furosemide,Solute carrier family 12 member 1,REN — Renin,ALISKIREN FUMARATE,REMIKIREN,7,仍可探索,纯化REN测定独立于肾素释放研究。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
62,P1 前10排名且仍可探索,C384-322,guanfacine,Adrenergic receptor alpha-2,GSK3A — Glycogen synthase kinase-3 alpha,本地ChEMBL37未检出符合口径的药物；见另列参考化合物,ABEMACICLIB,7,仍可探索,纯GSK3A与亚型B功能比较。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
