范围,资产编号,模型系列,资产类型,状态,文件数,大小MiB,本地位置,集中链接,SHA256,哈希类型,同一路径别名,官方获取地址,许可备注,核验口径
核心DTI登记,multitask__all_inactive__joint__20260921,Palinova_AB,自训检查点,历史已训练；测试已查看,1,4.728,outputs/biomaster_endpoint_multitask_20260911/all_inactive__joint__seed_20260921/model.pt,data/research/dti_reliability_20260920_v1/model_assets/multitask__all_inactive__joint__20260921,667c437dd4363b71b060c575a9d6b018770520e0ab26a00c91f99b1c3e100ddf,file_sha256,,,See model registry,9月20日冻结哈希登记；本轮复核存在/文件大小；模型目录未重复全量哈希
核心DTI登记,multitask__all_inactive__joint__20260922,Palinova_AB,自训检查点,历史已训练；测试已查看,1,4.728,outputs/biomaster_endpoint_multitask_20260911/all_inactive__joint__seed_20260922/model.pt,data/research/dti_reliability_20260920_v1/model_assets/multitask__all_inactive__joint__20260922,b1d1ab93cf22fcc58ff15ff5eb41457830616dc71e512ceaa766fcc565b48ee9,file_sha256,,,See model registry,9月20日冻结哈希登记；本轮复核存在/文件大小；模型目录未重复全量哈希
核心DTI登记,multitask__all_inactive__joint__20260923,Palinova_AB,自训检查点,历史已训练；测试已查看,1,4.728,outputs/biomaster_endpoint_multitask_20260911/all_inactive__joint__seed_20260923/model.pt,data/research/dti_reliability_20260920_v1/model_assets/multitask__all_inactive__joint__20260923,dd34a603446f5b26b3ae8a639310e25f959942377b71d93b5f0fac889065053f,file_sha256,,,See model registry,9月20日冻结哈希登记；本轮复核存在/文件大小；模型目录未重复全量哈希
核心DTI登记,multitask__all_inactive__rank__20260921,Palinova_AB,自训检查点,历史已训练；测试已查看,1,4.728,outputs/biomaster_endpoint_multitask_20260911/all_inactive__rank__seed_20260921/model.pt,data/research/dti_reliability_20260920_v1/model_assets/multitask__all_inactive__rank__20260921,bbe1b5fbf9b4a1800dfbb211131d3e083fb5ce66c7e555c29a18762a408854a7,file_sha256,,,See model registry,9月20日冻结哈希登记；本轮复核存在/文件大小；模型目录未重复全量哈希
核心DTI登记,multitask__all_inactive__rank__20260922,Palinova_AB,自训检查点,历史已训练；测试已查看,1,4.728,outputs/biomaster_endpoint_multitask_20260911/all_inactive__rank__seed_20260922/model.pt,data/research/dti_reliability_20260920_v1/model_assets/multitask__all_inactive__rank__20260922,7506896beeb067be87b0d2c8d9337e3f3650d0ce85aacb7f4c6965458af9d670,file_sha256,,,See model registry,9月20日冻结哈希登记；本轮复核存在/文件大小；模型目录未重复全量哈希
核心DTI登记,multitask__all_inactive__rank__20260923,Palinova_AB,自训检查点,历史已训练；测试已查看,1,4.728,outputs/biomaster_endpoint_multitask_20260911/all_inactive__rank__seed_20260923/model.pt,data/research/dti_reliability_20260920_v1/model_assets/multitask__all_inactive__rank__20260923,7327839688fb97e0c7ee3bc794de931064a592db7bf1fa4d8a0c994f541c0ce3,file_sha256,,,See model registry,9月20日冻结哈希登记；本轮复核存在/文件大小；模型目录未重复全量哈希
核心DTI登记,multitask__all_inactive__regression__20260921,Palinova_AB,自训检查点,历史已训练；测试已查看,1,4.728,outputs/biomaster_endpoint_multitask_20260911/all_inactive__regression__seed_20260921/model.pt,data/research/dti_reliability_20260920_v1/model_assets/multitask__all_inactive__regression__20260921,b794013b77408da99ca71276481528a3a59f1988fd770cfdd395c69e697fc31d,file_sha256,,,See model registry,9月20日冻结哈希登记；本轮复核存在/文件大小；模型目录未重复全量哈希
核心DTI登记,multitask__all_inactive__regression__20260922,Palinova_AB,自训检查点,历史已训练；测试已查看,1,4.728,outputs/biomaster_endpoint_multitask_20260911/all_inactive__regression__seed_20260922/model.pt,data/research/dti_reliability_20260920_v1/model_assets/multitask__all_inactive__regression__20260922,b793e88b06ecf076ca4c3d202a196f712b1a1a8716467c8a57c4639d5ada38cd,file_sha256,,,See model registry,9月20日冻结哈希登记；本轮复核存在/文件大小；模型目录未重复全量哈希
核心DTI登记,multitask__all_inactive__regression__20260923,Palinova_AB,自训检查点,历史已训练；测试已查看,1,4.728,outputs/biomaster_endpoint_multitask_20260911/all_inactive__regression__seed_20260923/model.pt,data/research/dti_reliability_20260920_v1/model_assets/multitask__all_inactive__regression__20260923,f169fa95aada5a393f46f1168751f64359fcddfe9e31fe0009ff7d69d9c08fb6,file_sha256,,,See model registry,9月20日冻结哈希登记；本轮复核存在/文件大小；模型目录未重复全量哈希
核心DTI登记,multitask__kdki_inactive__binary__20260921,Palinova_AB,自训检查点,历史已训练；测试已查看,1,4.726,outputs/biomaster_endpoint_multitask_20260911/kdki_inactive__binary__seed_20260921/model.pt,data/research/dti_reliability_20260920_v1/model_assets/multitask__kdki_inactive__binary__20260921,8102a6b9dc0ffdfb162e884965873d4ec099b6270851eac423446cd173a69e80,file_sha256,,,See model registry,9月20日冻结哈希登记；本轮复核存在/文件大小；模型目录未重复全量哈希
核心DTI登记,multitask__kdki_inactive__binary__20260922,Palinova_AB,自训检查点,历史已训练；测试已查看,1,4.726,outputs/biomaster_endpoint_multitask_20260911/kdki_inactive__binary__seed_20260922/model.pt,data/research/dti_reliability_20260920_v1/model_assets/multitask__kdki_inactive__binary__20260922,1c4315005b8bc881aad08610fc0760a3ea7847b6a78b85927c1657c5e6176c29,file_sha256,,,See model registry,9月20日冻结哈希登记；本轮复核存在/文件大小；模型目录未重复全量哈希
核心DTI登记,multitask__kdki_inactive__binary__20260923,Palinova_AB,自训检查点,历史已训练；测试已查看,1,4.726,outputs/biomaster_endpoint_multitask_20260911/kdki_inactive__binary__seed_20260923/model.pt,data/research/dti_reliability_20260920_v1/model_assets/multitask__kdki_inactive__binary__20260923,5e3a09363979205d1c0db3cdeac4e3f2495bcd3984085c7ea2bf7d4568ba6cfc,file_sha256,,,See model registry,9月20日冻结哈希登记；本轮复核存在/文件大小；模型目录未重复全量哈希
核心DTI登记,multitask__kdki_inactive__joint__20260921,Palinova_AB,自训检查点,历史已训练；测试已查看,1,4.726,outputs/biomaster_endpoint_multitask_20260911/kdki_inactive__joint__seed_20260921/model.pt,data/research/dti_reliability_20260920_v1/model_assets/multitask__kdki_inactive__joint__20260921,6ceca6a0e48449a38b790929fb34b14d16b7e4277782ca644311a8a9d2a3911c,file_sha256,,,See model registry,9月20日冻结哈希登记；本轮复核存在/文件大小；模型目录未重复全量哈希
核心DTI登记,multitask__kdki_inactive__joint__20260922,Palinova_AB,自训检查点,历史已训练；测试已查看,1,4.726,outputs/biomaster_endpoint_multitask_20260911/kdki_inactive__joint__seed_20260922/model.pt,data/research/dti_reliability_20260920_v1/model_assets/multitask__kdki_inactive__joint__20260922,0fc8f842edf53552e32c5497a882259eebed518608c54f861ee3c2090f5d11cd,file_sha256,,,See model registry,9月20日冻结哈希登记；本轮复核存在/文件大小；模型目录未重复全量哈希
核心DTI登记,multitask__kdki_inactive__joint__20260923,Palinova_AB,自训检查点,历史已训练；测试已查看,1,4.726,outputs/biomaster_endpoint_multitask_20260911/kdki_inactive__joint__seed_20260923/model.pt,data/research/dti_reliability_20260920_v1/model_assets/multitask__kdki_inactive__joint__20260923,40261afc4a18e047a9343058d689dde781621945b2c31b6e6c4081ebd4b60e75,file_sha256,,,See model registry,9月20日冻结哈希登记；本轮复核存在/文件大小；模型目录未重复全量哈希
核心DTI登记,multitask__kdki_inactive__rank__20260921,Palinova_AB,自训检查点,历史已训练；测试已查看,1,4.726,outputs/biomaster_endpoint_multitask_20260911/kdki_inactive__rank__seed_20260921/model.pt,data/research/dti_reliability_20260920_v1/model_assets/multitask__kdki_inactive__rank__20260921,a62deed4e78dac6fb6074cda4f31972ca99bd8ff584c2d9fd27a19157770f246,file_sha256,,,See model registry,9月20日冻结哈希登记；本轮复核存在/文件大小；模型目录未重复全量哈希
核心DTI登记,multitask__kdki_inactive__rank__20260922,Palinova_AB,自训检查点,历史已训练；测试已查看,1,4.726,outputs/biomaster_endpoint_multitask_20260911/kdki_inactive__rank__seed_20260922/model.pt,data/research/dti_reliability_20260920_v1/model_assets/multitask__kdki_inactive__rank__20260922,9713caf50c3931af7b5921c16740ba9c694cbe327902c6bc00602e1cdeba354d,file_sha256,,,See model registry,9月20日冻结哈希登记；本轮复核存在/文件大小；模型目录未重复全量哈希
核心DTI登记,multitask__kdki_inactive__rank__20260923,Palinova_AB,自训检查点,历史已训练；测试已查看,1,4.726,outputs/biomaster_endpoint_multitask_20260911/kdki_inactive__rank__seed_20260923/model.pt,data/research/dti_reliability_20260920_v1/model_assets/multitask__kdki_inactive__rank__20260923,ad960401e72ce5dbd851df41bbd7dd47e213c8043e0bad16968e4cd442efa2a1,file_sha256,,,See model registry,9月20日冻结哈希登记；本轮复核存在/文件大小；模型目录未重复全量哈希
核心DTI登记,multitask__kdki_inactive__regression__20260921,Palinova_AB,自训检查点,历史已训练；测试已查看,1,4.726,outputs/biomaster_endpoint_multitask_20260911/kdki_inactive__regression__seed_20260921/model.pt,data/research/dti_reliability_20260920_v1/model_assets/multitask__kdki_inactive__regression__20260921,fecdebd1b79261e4cdea603157a9408ffdb817d7267269edeb0ec4ca787a8e9e,file_sha256,,,See model registry,9月20日冻结哈希登记；本轮复核存在/文件大小；模型目录未重复全量哈希
核心DTI登记,multitask__kdki_inactive__regression__20260922,Palinova_AB,自训检查点,历史已训练；测试已查看,1,4.726,outputs/biomaster_endpoint_multitask_20260911/kdki_inactive__regression__seed_20260922/model.pt,data/research/dti_reliability_20260920_v1/model_assets/multitask__kdki_inactive__regression__20260922,532035bfe9eec403a04d26bcbcf66d1a59907eafcb267ed1e50bee1083c7dcfb,file_sha256,,,See model registry,9月20日冻结哈希登记；本轮复核存在/文件大小；模型目录未重复全量哈希
核心DTI登记,multitask__kdki_inactive__regression__20260923,Palinova_AB,自训检查点,历史已训练；测试已查看,1,4.726,outputs/biomaster_endpoint_multitask_20260911/kdki_inactive__regression__seed_20260923/model.pt,data/research/dti_reliability_20260920_v1/model_assets/multitask__kdki_inactive__regression__20260923,594a0608aae9798ff55a33f17ed3545aa6522fbb94947931680f62e44f241935,file_sha256,,,See model registry,9月20日冻结哈希登记；本轮复核存在/文件大小；模型目录未重复全量哈希
核心DTI登记,assay_aware__all_inactive__assay__20260921,Palinova_AB,自训检查点,历史已训练；测试已查看,1,4.728,outputs/biomaster_assay_aware_20260911/all_inactive__assay__seed_20260921/model.pt,data/research/dti_reliability_20260920_v1/model_assets/assay_aware__all_inactive__assay__20260921,ae72163feac3437035b612d76aab0dc0b242ec379c1a9f14d4b147fc6132d9f4,file_sha256,,,See model registry,9月20日冻结哈希登记；本轮复核存在/文件大小；模型目录未重复全量哈希
核心DTI登记,assay_aware__all_inactive__assay__20260922,Palinova_AB,自训检查点,历史已训练；测试已查看,1,4.728,outputs/biomaster_assay_aware_20260911/all_inactive__assay__seed_20260922/model.pt,data/research/dti_reliability_20260920_v1/model_assets/assay_aware__all_inactive__assay__20260922,dcf8c9e5e510c93ab77059eede16c3263d80b9245bef273bb02020392d62f802,file_sha256,,,See model registry,9月20日冻结哈希登记；本轮复核存在/文件大小；模型目录未重复全量哈希
核心DTI登记,assay_aware__all_inactive__assay__20260923,Palinova_AB,自训检查点,历史已训练；测试已查看,1,4.728,outputs/biomaster_assay_aware_20260911/all_inactive__assay__seed_20260923/model.pt,data/research/dti_reliability_20260920_v1/model_assets/assay_aware__all_inactive__assay__20260923,0cc97747fe2aef3f585d3216fc2b4b2a428d865b6b98a82096e5651732ec93f4,file_sha256,,,See model registry,9月20日冻结哈希登记；本轮复核存在/文件大小；模型目录未重复全量哈希
核心DTI登记,assay_aware__all_inactive__balanced__20260921,Palinova_AB,自训检查点,历史已训练；测试已查看,1,4.728,outputs/biomaster_assay_aware_20260911/all_inactive__balanced__seed_20260921/model.pt,data/research/dti_reliability_20260920_v1/model_assets/assay_aware__all_inactive__balanced__20260921,ebbc2d136061b673dc99a59e61f34bb5d596d7a2c53ed46f5b769d7ecef00427,file_sha256,,,See model registry,9月20日冻结哈希登记；本轮复核存在/文件大小；模型目录未重复全量哈希
核心DTI登记,assay_aware__all_inactive__balanced__20260922,Palinova_AB,自训检查点,历史已训练；测试已查看,1,4.728,outputs/biomaster_assay_aware_20260911/all_inactive__balanced__seed_20260922/model.pt,data/research/dti_reliability_20260920_v1/model_assets/assay_aware__all_inactive__balanced__20260922,0be13b1fe5e1263be1ac438e2ca746afb9e827cb3997d779e18f6fbe07c7cd9f,file_sha256,,,See model registry,9月20日冻结哈希登记；本轮复核存在/文件大小；模型目录未重复全量哈希
核心DTI登记,assay_aware__all_inactive__balanced__20260923,Palinova_AB,自训检查点,历史已训练；测试已查看,1,4.728,outputs/biomaster_assay_aware_20260911/all_inactive__balanced__seed_20260923/model.pt,data/research/dti_reliability_20260920_v1/model_assets/assay_aware__all_inactive__balanced__20260923,b863bb0bd9a9c662ecc55cb4164f35553c4b66161e16898cfd38df0a2fe72b37,file_sha256,,,See model registry,9月20日冻结哈希登记；本轮复核存在/文件大小；模型目录未重复全量哈希
核心DTI登记,assay_aware__all_inactive__regression__20260921,Palinova_AB,自训检查点,历史已训练；测试已查看,1,4.728,outputs/biomaster_assay_aware_20260911/all_inactive__regression__seed_20260921/model.pt,data/research/dti_reliability_20260920_v1/model_assets/assay_aware__all_inactive__regression__20260921,a9857ff176f56ed1666e6c19916a234ff9f99633db17b94e34e2a4559331358d,file_sha256,,,See model registry,9月20日冻结哈希登记；本轮复核存在/文件大小；模型目录未重复全量哈希
核心DTI登记,assay_aware__all_inactive__regression__20260922,Palinova_AB,自训检查点,历史已训练；测试已查看,1,4.728,outputs/biomaster_assay_aware_20260911/all_inactive__regression__seed_20260922/model.pt,data/research/dti_reliability_20260920_v1/model_assets/assay_aware__all_inactive__regression__20260922,6ac2f8e727f0db3961a5e8a5ea655f00803114a16e0b1e4aafb31f0836b771c6,file_sha256,,,See model registry,9月20日冻结哈希登记；本轮复核存在/文件大小；模型目录未重复全量哈希
核心DTI登记,assay_aware__all_inactive__regression__20260923,Palinova_AB,自训检查点,历史已训练；测试已查看,1,4.728,outputs/biomaster_assay_aware_20260911/all_inactive__regression__seed_20260923/model.pt,data/research/dti_reliability_20260920_v1/model_assets/assay_aware__all_inactive__regression__20260923,a235a728e6a62febe53b8a9485977967e7cddc9b2002be92a872ef8af2e42000,file_sha256,,,See model registry,9月20日冻结哈希登记；本轮复核存在/文件大小；模型目录未重复全量哈希
核心DTI登记,assay_aware__all_inactive__rotate150__20260921,Palinova_AB,自训检查点,历史已训练；测试已查看,1,4.728,outputs/biomaster_assay_aware_20260911/all_inactive__rotate150__seed_20260921/model.pt,data/research/dti_reliability_20260920_v1/model_assets/assay_aware__all_inactive__rotate150__20260921,164b42626b7821f5fcc490ea1894a00059a2e899fe8f9a660a208343398ba219,file_sha256,,,See model registry,9月20日冻结哈希登记；本轮复核存在/文件大小；模型目录未重复全量哈希
核心DTI登记,assay_aware__all_inactive__rotate150__20260922,Palinova_AB,自训检查点,历史已训练；测试已查看,1,4.728,outputs/biomaster_assay_aware_20260911/all_inactive__rotate150__seed_20260922/model.pt,data/research/dti_reliability_20260920_v1/model_assets/assay_aware__all_inactive__rotate150__20260922,a9afa2f69c72f662087d79ce3d11fe8e125e67fb010ede7745b5c68b61a44f03,file_sha256,,,See model registry,9月20日冻结哈希登记；本轮复核存在/文件大小；模型目录未重复全量哈希
核心DTI登记,assay_aware__all_inactive__rotate150__20260923,Palinova_AB,自训检查点,历史已训练；测试已查看,1,4.728,outputs/biomaster_assay_aware_20260911/all_inactive__rotate150__seed_20260923/model.pt,data/research/dti_reliability_20260920_v1/model_assets/assay_aware__all_inactive__rotate150__20260923,a88a414abf33ffbc1ffc4cc033cb9b897f940a629f277baea9ea523648743501,file_sha256,,,See model registry,9月20日冻结哈希登记；本轮复核存在/文件大小；模型目录未重复全量哈希
核心DTI登记,assay_aware__kdki_inactive__adapt_from_B__20260921,Palinova_AB,自训检查点,历史已训练；测试已查看,1,4.726,outputs/biomaster_assay_aware_20260911/kdki_inactive__adapt_from_B__seed_20260921/model.pt,data/research/dti_reliability_20260920_v1/model_assets/assay_aware__kdki_inactive__adapt_from_B__20260921,a6caf166d0ba88ffab6819b0648e5bf49733707ca563c46c2705e82d5215fa3b,file_sha256,,,See model registry,9月20日冻结哈希登记；本轮复核存在/文件大小；模型目录未重复全量哈希
核心DTI登记,assay_aware__kdki_inactive__adapt_from_B__20260922,Palinova_AB,自训检查点,历史已训练；测试已查看,1,4.726,outputs/biomaster_assay_aware_20260911/kdki_inactive__adapt_from_B__seed_20260922/model.pt,data/research/dti_reliability_20260920_v1/model_assets/assay_aware__kdki_inactive__adapt_from_B__20260922,d9e08d56693755c1262b7ab22b618d556b3f5d32d2c20c43907bcb1f0b7f538f,file_sha256,,,See model registry,9月20日冻结哈希登记；本轮复核存在/文件大小；模型目录未重复全量哈希
核心DTI登记,assay_aware__kdki_inactive__adapt_from_B__20260923,Palinova_AB,自训检查点,历史已训练；测试已查看,1,4.726,outputs/biomaster_assay_aware_20260911/kdki_inactive__adapt_from_B__seed_20260923/model.pt,data/research/dti_reliability_20260920_v1/model_assets/assay_aware__kdki_inactive__adapt_from_B__20260923,d55b5689343a1affa0eb2827d6e439d51b56ac8a3330a7210cd3321956b9f1b4,file_sha256,,,See model registry,9月20日冻结哈希登记；本轮复核存在/文件大小；模型目录未重复全量哈希
核心DTI登记,assay_aware__kdki_inactive__assay__20260921,Palinova_AB,自训检查点,历史已训练；测试已查看,1,4.726,outputs/biomaster_assay_aware_20260911/kdki_inactive__assay__seed_20260921/model.pt,data/research/dti_reliability_20260920_v1/model_assets/assay_aware__kdki_inactive__assay__20260921,bbe2134d2a97adfbb45138b6b3530994d2b2a673a887c3827222bf630fdaa891,file_sha256,,,See model registry,9月20日冻结哈希登记；本轮复核存在/文件大小；模型目录未重复全量哈希
核心DTI登记,assay_aware__kdki_inactive__assay__20260922,Palinova_AB,自训检查点,历史已训练；测试已查看,1,4.726,outputs/biomaster_assay_aware_20260911/kdki_inactive__assay__seed_20260922/model.pt,data/research/dti_reliability_20260920_v1/model_assets/assay_aware__kdki_inactive__assay__20260922,f14e440529321d1f0b632abd479474de1cea5ce2d27469795f4d462b3d8e906f,file_sha256,,,See model registry,9月20日冻结哈希登记；本轮复核存在/文件大小；模型目录未重复全量哈希
核心DTI登记,assay_aware__kdki_inactive__assay__20260923,Palinova_AB,自训检查点,历史已训练；测试已查看,1,4.726,outputs/biomaster_assay_aware_20260911/kdki_inactive__assay__seed_20260923/model.pt,data/research/dti_reliability_20260920_v1/model_assets/assay_aware__kdki_inactive__assay__20260923,491f69fe1551aac038d59166457bd84791e2c53ca561e87c4bc0b12d8dd2df30,file_sha256,,,See model registry,9月20日冻结哈希登记；本轮复核存在/文件大小；模型目录未重复全量哈希
核心DTI登记,assay_aware__kdki_inactive__balanced__20260921,Palinova_AB,自训检查点,历史已训练；测试已查看,1,4.726,outputs/biomaster_assay_aware_20260911/kdki_inactive__balanced__seed_20260921/model.pt,data/research/dti_reliability_20260920_v1/model_assets/assay_aware__kdki_inactive__balanced__20260921,a1b83e36f039791954e1d8b52771984b14e5ad428c7fcc0be005736005a1b7ec,file_sha256,,,See model registry,9月20日冻结哈希登记；本轮复核存在/文件大小；模型目录未重复全量哈希
核心DTI登记,assay_aware__kdki_inactive__balanced__20260922,Palinova_AB,自训检查点,历史已训练；测试已查看,1,4.726,outputs/biomaster_assay_aware_20260911/kdki_inactive__balanced__seed_20260922/model.pt,data/research/dti_reliability_20260920_v1/model_assets/assay_aware__kdki_inactive__balanced__20260922,51235b77482b91ca2f9c9f5c0b8d73260db3760bf254de5e5ee0cd777145a2c0,file_sha256,,,See model registry,9月20日冻结哈希登记；本轮复核存在/文件大小；模型目录未重复全量哈希
核心DTI登记,assay_aware__kdki_inactive__balanced__20260923,Palinova_AB,自训检查点,历史已训练；测试已查看,1,4.726,outputs/biomaster_assay_aware_20260911/kdki_inactive__balanced__seed_20260923/model.pt,data/research/dti_reliability_20260920_v1/model_assets/assay_aware__kdki_inactive__balanced__20260923,c1e4a68d5dcb21a5459cd6419dd98445e3199c05ff4f0ea3430e233dadfbb76f,file_sha256,,,See model registry,9月20日冻结哈希登记；本轮复核存在/文件大小；模型目录未重复全量哈希
核心DTI登记,assay_aware__kdki_inactive__continue_A__20260921,Palinova_AB,自训检查点,历史已训练；测试已查看,1,4.726,outputs/biomaster_assay_aware_20260911/kdki_inactive__continue_A__seed_20260921/model.pt,data/research/dti_reliability_20260920_v1/model_assets/assay_aware__kdki_inactive__continue_A__20260921,a73d8afca219d7831d98b86cee4f0c17e87000bd930c187f1eaf9cc11a42aef7,file_sha256,,,See model registry,9月20日冻结哈希登记；本轮复核存在/文件大小；模型目录未重复全量哈希
核心DTI登记,assay_aware__kdki_inactive__continue_A__20260922,Palinova_AB,自训检查点,历史已训练；测试已查看,1,4.726,outputs/biomaster_assay_aware_20260911/kdki_inactive__continue_A__seed_20260922/model.pt,data/research/dti_reliability_20260920_v1/model_assets/assay_aware__kdki_inactive__continue_A__20260922,9770e8a571c7397c4c07c738781e931e3398a058cd4a64162c5bc72a938eef9e,file_sha256,,,See model registry,9月20日冻结哈希登记；本轮复核存在/文件大小；模型目录未重复全量哈希
核心DTI登记,assay_aware__kdki_inactive__continue_A__20260923,Palinova_AB,自训检查点,历史已训练；测试已查看,1,4.726,outputs/biomaster_assay_aware_20260911/kdki_inactive__continue_A__seed_20260923/model.pt,data/research/dti_reliability_20260920_v1/model_assets/assay_aware__kdki_inactive__continue_A__20260923,42ec2f302b242617b34bd4043482fbd2e46b3ad82ef843cc1b23d75882fba354,file_sha256,,,See model registry,9月20日冻结哈希登记；本轮复核存在/文件大小；模型目录未重复全量哈希
核心DTI登记,assay_aware__kdki_inactive__regression__20260921,Palinova_AB,自训检查点,历史已训练；测试已查看,1,4.726,outputs/biomaster_assay_aware_20260911/kdki_inactive__regression__seed_20260921/model.pt,data/research/dti_reliability_20260920_v1/model_assets/assay_aware__kdki_inactive__regression__20260921,c717a59c2bc7e178104ae9740a27f887383e14cae459565cec5173deec778c94,file_sha256,,,See model registry,9月20日冻结哈希登记；本轮复核存在/文件大小；模型目录未重复全量哈希
核心DTI登记,assay_aware__kdki_inactive__regression__20260922,Palinova_AB,自训检查点,历史已训练；测试已查看,1,4.726,outputs/biomaster_assay_aware_20260911/kdki_inactive__regression__seed_20260922/model.pt,data/research/dti_reliability_20260920_v1/model_assets/assay_aware__kdki_inactive__regression__20260922,b9255118e3eb31e737defb22a5d956799b753251bc8ea821d489c3f0160d1702,file_sha256,,,See model registry,9月20日冻结哈希登记；本轮复核存在/文件大小；模型目录未重复全量哈希
