matrix_target_index,gene_symbol,sequence_sha256,sequence_length,feature_route
23,SSTR1,8ffdbec24ecb1b23c467159169d8c701d3eeed0a8ff60bc4f506aff018a4440a,391,new_full_chain_esm2
24,SSTR3,cc3c2b385a13fc7a084e1bbae9c2ed56c9b102644bb34d4d8dd8d26e3dd1485a,418,new_full_chain_esm2
25,SSTR4,6324db6032479e3f69dec2ea4f333de7f2d484d6a2fe8d10704ed8dfa152b75f,388,new_full_chain_esm2
26,SSTR5,32c6abb77ea111acb620b24aa0c95e553bf6d20bd3106a6b8754b0271269ba80,364,new_full_chain_esm2
27,TSHR,abb482de486eda31e5b719a969581bd51545802ae5caf5c38765663b0168752d,764,new_full_chain_esm2
28,BMP10,a6d55531f663b5b8ab515808bdbc0bdcfaf489eca18b6945ba0203b1cca8a08f,424,new_full_chain_esm2
29,NPR2,fe3da7595d12a872ec6c59fd35c3753af901eb7fa06e5e3b2b618554ce4d737d,1047,new_full_chain_esm2
30,PPP3CA,f6aaf7e71a1fc00010820206a124962549475105134324cb83accc64b6d4e9c4,521,full_residue_bank
31,ADM,56b3521e74feff9aa509fd98a08f84d6d300e78b0c8714c0ca50283bc4cde322,185,new_full_chain_esm2
32,AFP,0590f87024f8791589bc82b1dd8b48f75932901468d02f45e5b6c8fc90ddc170,609,new_full_chain_esm2
33,AGT,3e106d5b69b639c7b4f421156675b42b5cc9093b574083b9f80dd2c3a35cd1e0,476,new_full_chain_esm2
34,ANGPT1,9161753d4a3aed6dd365d4dd67f36b96eeaee3eb7d9c43f362bdea5378fd569b,498,new_full_chain_esm2
35,ANGPT2,58a48a0d320451b38184841de60f41194033cb4b89641febb164b02d417be368,496,new_full_chain_esm2
36,C3,acb81aed23fd741ade0fd0b3aa26abe602ba3332f932ef310db5f4f08a27bdb2,1663,new_full_chain_esm2
37,C5,527e783f715430be06def9c928837ba1f9f074ac16b9417e47fe8fcf25dcd127,1676,new_full_chain_esm2
38,CCL11,066cd148df084ff5c1ce05c5a4e442ef4252675027d5fd3a4ead472795ba52bb,97,new_full_chain_esm2
39,CCL2,3812ea62049d89f00803ff2754ba5bec5cfce74fac5689379e293376b1bf27d3,99,new_full_chain_esm2
40,CCN2,90456dee53caa3316ad50ed23860a24b02d3cea2f9109a9f1a67f0a3633163ae,349,new_full_chain_esm2
41,CD19,955c8406920379b400b21284c1ef1af93f34653cb8cc11fdf61e3aa84ef2b15e,556,new_full_chain_esm2
42,CD2,4080fd6725910f5b756dcc471af6d42bfa0a049691757f52556bc1ad111af460,351,new_full_chain_esm2
43,CD27,7faacb066fc2b75daaf54dc109769f78ca0c90e03d1fa6655283145dbcd47ba8,260,new_full_chain_esm2
44,CD276,cfc4df123ba3da6e3b2e07252c3a396aa97265dcb448d12e36a85e241758eda5,534,new_full_chain_esm2
45,CD33,8fb99dae835bde979e1d51a7f507aaab6d497877d6889da514fcbbe87f15f14d,364,new_full_chain_esm2
46,CD4,b598cecf65abf705dba5812286f09dfd6921c638b3f0c7cbee5a156df090db63,458,new_full_chain_esm2
47,CD40LG,7aadf75ac4be57e27fe6c9a3ef83bd5019d3d7481d7f5495c0d8c7da20c2d4f0,261,new_full_chain_esm2
48,CD44,e19d744d038c01b8cc22bd7b2f0f42db427460e1ae0c3c033bfda05a992057ff,742,new_full_chain_esm2
49,CD52,489e041d5f56a20f813844dc227af3a6de587af3bdbc88ca252fbbd8bc3daf0f,61,new_full_chain_esm2
50,CD6,868c788cc1513726ed2424983448088ae1f78c025405f1095595397dcf3a1498,668,new_full_chain_esm2
51,CD70,8b8ce93f248bec6271b76629ed3485248e9d2585915b99fb4ce0b685c3ee38b1,193,new_full_chain_esm2
52,CD74,f6909ab67f84bc41d8ef8976b6e5634ebcb9031613d297ac41e582c377b48728,296,new_full_chain_esm2
53,CD80,a0a87cc578bb7670c00078c3717a006703ccde31f6a8efe1a3371dc81c7a19a9,288,new_full_chain_esm2
54,CD86,c77548b43927c4f8af0c1b6837a637ec340b920cbcd1c1d902c0d75262e319d0,329,new_full_chain_esm2
55,CDH3,2469935445ed65fca853e5f1237c7280a339fe2cc5d90f6b0f1ca319d21dff48,829,new_full_chain_esm2
56,CEACAM5,1d589a5cfe8738ca20f7b2a4658dceebfb6741b489707df585481e190c2d462c,702,new_full_chain_esm2
57,CSF1,60b10b993cfd888778f03d4b241102486f66f721101f22ff7a1c7fa7361b039b,554,new_full_chain_esm2
58,CSF2,51ef60bb7308febe36f4a30cc039227a8f8bb92d2efc40467937313ff02f22de,144,new_full_chain_esm2
59,CTLA4,0bf1f3a7b18a8a95d11f0f139917ecd97ad681a0e03704abbc83058db79d0fff,223,new_full_chain_esm2
60,CX3CL1,e027d8d07437525fdee990b0e01610f8518f9bf478b2f08825b79886609bc7dc,397,new_full_chain_esm2
61,CXCL10,9e0216db62967edf6d61794397651c946ae3429f4979dde516e926fa04e36ff4,98,new_full_chain_esm2
62,CXCL12,97c345aa7c221c00a4ed64f2679f4ca19d7fe8ffecf40851141881db0aedee14,93,added_residue_bank
63,CXCL8,5bf71a3f94a1fbf95b03cc89afcf2c71c866f23917cba1a3b8f668321cca098c,99,new_full_chain_esm2
64,DKK1,15fb464ccc8904d1402a58fd17dd72c77c76063025efd4c100ed1f04e2a4d0aa,266,new_full_chain_esm2
65,EGFL7,575e7b15017b3dac081d81da0ca3e85b14c763d6adcf54a3c97517c066b34d3e,273,new_full_chain_esm2
66,EPCAM,e5d527336d82e9309b5ea19a32a85ad410a303db94b245801462e791abd1623c,314,new_full_chain_esm2
67,F5,7adc7ddfa5f09bbef9f7fe550bb8f787efcbfe7f0e351a777e56a0c8ed6ca7ce,2224,full_residue_bank
68,F8,4700fc83b4ba933fb7ffc84b14b7615caa5eab47ff71ad94c8c9d7ee4bd217e4,2351,new_full_chain_esm2
69,FASLG,53a6da74b7f56161c0ca6ecefc9966b7566ee3b75ef1afa0dd752d168b8d4ea0,281,new_full_chain_esm2
70,FGB,099d334605bfb4edb5cb85224874841ee1502ff1d065d464258abd2698c657c7,491,new_full_chain_esm2
71,FGF2,25fd33ff81df33c9fddc2060d55474c1b6196bc12a34847b482a6b3f8da18afe,288,full_residue_bank
72,FGF23,7bcbe7a25d9b255cea604a3cc4e829f12b684c3b5e6d44a598de4eb4df86577c,251,new_full_chain_esm2
73,FN1,3e5cc6db5dca9962e84e305fe4faab34a481888f5d724769b25d8b11e17d0dc1,2477,new_full_chain_esm2
74,GAS6,7df33ec92371bd7ab9c4576fb6680c7660f627253cd1173b6fc270d0826f1491,678,new_full_chain_esm2
75,GDF2,66e9f25a192b58bd2e7559a2937d2375757275ca0ea4190332c8a4f448db7dcf,429,new_full_chain_esm2
76,HAMP,a14bae8ad7c75504571f241efb04575963d8a7a5edf310c5a914862c1b21d377,84,new_full_chain_esm2
77,HBB,9ebf320eb707d71644444fe5006ed58af56a0bf0ec9568eb6a3a65e0e8191465,147,new_full_chain_esm2
78,HBEGF,6624b33608cf3bf3120e7c3ff19925a4c30e1a84da1d44d8cd2c6dc5904053fc,208,new_full_chain_esm2
79,HGF,6b792f9f0f9499b4fd5f139e373266d8937f5ebb0da7814b0700fdac917414c6,728,requested_target_cache
80,ICAM1,c13e370f975e57b58c673f211cdb1e9bca2aab42a1783dcef93f5003aeaa27e9,532,added_residue_bank
81,ICAM3,8172da96733957621166cebb3d52dff19014beaf4d586befcffa0a619948ab0a,547,new_full_chain_esm2
82,IFNA1,f64ccb7c3ea059c6603736f6cf4ddb2d77be13f85a4c26137e277319aba27561,189,new_full_chain_esm2
83,IFNA2,e52eb90420ceaffef3e587f4a5b79dc6be48f9818b638e3e96253605c9c2b88e,188,new_full_chain_esm2
84,IFNB1,783298856c3779f3be0132fd9633d416590dc1e167c5ad0e447f4b682a5b21e6,187,new_full_chain_esm2
85,IFNG,62f4843c60cbed2b811412deaf7c7932eb8da01c0646c400fa694004491f67de,166,new_full_chain_esm2
86,IGF1,1262a27a2b8171ad653c5fc1b8e2d81da66b2d4f5d88b237ab7ec9ae03589a8e,195,new_full_chain_esm2
87,IGF2,f207ede2979646b787ad65abdf66c177980b10d145a1a44e4743d76185069d68,180,new_full_chain_esm2
88,IGHE,8a7573ba66d9b3284203b369c41a27c08ba54e62ad5359346d8f7dd55fa82f1d,546,new_full_chain_esm2
89,IL10,6e718bfe44d9eeac1e5299f4a819ce7f7b315f192593265d7a0205b203dc78ef,178,new_full_chain_esm2
90,IL13,fbf8287834087015194ae3540dc97ec6790f617b677b97dbd1284e0bf8a4012a,146,new_full_chain_esm2
91,IL15,eb801922daf84030260c754b2516f6ef584ec257e956d9285e48f4a45ee299a0,162,new_full_chain_esm2
92,IL17A,7cab4b9fcd5f2e204a31beff819af92520f6bf855e05cece79f5f15543157239,155,new_full_chain_esm2
93,IL17F,9d44f5cf4e33996baa7b01e43794e8ba3e50c7247fc4e65d2badb433eb294f3e,163,new_full_chain_esm2
94,IL18,06c23e2ed27e57dd2fd2b42d7251c3096047666d5ab51d70ceb14335ba388e10,193,new_full_chain_esm2
95,IL1A,a3fc455c47748690ab7c507c62094ac47a03d7ee61a48bacf2a97d68fdcffa77,271,new_full_chain_esm2
96,IL1B,b418f70224777134a1f0353cbb08098e62eee040839bebd2320e4222211eb581,269,added_residue_bank
97,IL20,aa228f7dc1964b144197f0b8a4ff587b7ab2ae3068a9a0fbba3a0377802ccd49,176,new_full_chain_esm2
98,IL21,6207e57b8d77aca4654faabe5ee5c8b1c05cee3f1a76c94cdf9c3f081af2eb5d,162,new_full_chain_esm2
99,IL22,5f864a690bcda5f29d00ed081cec5b494de3242d8a6c8be7053e8be8de43eaa2,179,new_full_chain_esm2
100,IL33,366784cc84122a70558c9c7a58cf9b683abbf9ab00110cd6a2731f38ab80ffc8,270,new_full_chain_esm2
101,IL4,aaeb8cf7fddcda22e6ae17eda53418fa7713e84f73ee90a47a706d654d4132de,153,new_full_chain_esm2
102,IL4R,a2a625c2ddbdbf826d7dff0c4248b871a0d5ed3323f7b46a27597d37fc7ee17e,825,new_full_chain_esm2
103,IL5,b536d3a02bc7e2f29dab0bfcbc26b7f040787562db36559fd93ca839c513102e,134,new_full_chain_esm2
104,IL6,ce9be1b6049442dbd48e2100bcef53a760817c8223f6bb6b07a625132a04eff8,212,new_full_chain_esm2
105,IL6R,0a6dd3532fb428ec0831e37a6623d71c25d45e753afe87bd4ac9721c9abfbf32,468,new_full_chain_esm2
106,IL9,601619098ca5457f314d06f9f87fa76f3c6d615f9c08d62ea6fa3e86935e48d8,144,new_full_chain_esm2
107,INHBA,562562e7f9ae9e5c9484eeac2cf9b44ef429832c8e1e34d41086b86e91eef13e,426,new_full_chain_esm2
108,LTA,a6b9c5f9518591b9e3cac86b3bbb79db73a05898cbdc8e43f367343248e2e3be,205,new_full_chain_esm2
109,MADCAM1,98012c7f3961d86cb8a471e2eb232f5bddffa8e239ae935d233c558c827c6b84,382,new_full_chain_esm2
110,MAG,28788d540965503ac4ba2957cf738ab146ac26405f42f0d7b99d0d273a39a065,626,new_full_chain_esm2
111,MSTN,1fbf97a91ea4591f1a7cf29bf1a2a83aa8700ea81163f5e0ef9ec6fbfb9fe805,375,new_full_chain_esm2
112,MUC5AC,4c1e3207815a013eb721d904a6d35e7541022282088331b14f741f60067cf0d9,5654,new_full_chain_esm2
113,NCAM1,1e6a17513bc245221c67313254cf83721a750652613850555cfc0c1a729c79fa,858,new_full_chain_esm2
114,NECTIN4,47dae33285446c4aba143bab37177a3613fd5469c2e26c63c55b73512ce0b218,510,new_full_chain_esm2
115,NGF,18790819ce711a8f61a2f25fdd0492030951e4c8d1ac71e40a3d279313bb186a,241,new_full_chain_esm2
116,PDCD1,c0f5745899a44e73098e606f4e09050e0b63f9b4f00cab49981806296b53d591,288,new_full_chain_esm2
117,PDGFB,d872cf8709ecf81d61cb70ea279f76570094ef9f3e4e6d240ffb6a5bdac98e04,241,new_full_chain_esm2
118,PGF,996f97c63c398c52b917c21cec8c89132d120a0a692b9aa2e403e718b8fbc9ab,221,new_full_chain_esm2
119,PTHLH,45a9760e78cad39e82338d395bda4e86ed5d94c2b38efb6c68be26d527adb742,177,new_full_chain_esm2
120,SELPLG,2169abeeb70453ed10e42d4a07d524fd87b25e55e74879736b8c185ed0b75b39,412,new_full_chain_esm2
121,SERPINC1,4d614fd7e710a9c2ec542f2c1fa94e23d9928786dcad8d5e0e05d31e0788ff80,464,new_full_chain_esm2
122,SPP1,7b95e3678367f3bff34ee42c83e8137ad9888f41e2af7334f6e4dea8c72455e3,314,new_full_chain_esm2
123,TGFB1,f878d83757db48cc3120917224e2369d0cdff3b9c6f56ef2558b6ed0eec8cdee,390,full_residue_bank
124,TGFB2,be8e8cbd9acd3238e7c0dc69fd7f238e6a4b2502a53cb6887cc4eb1ea98a0270,414,new_full_chain_esm2
125,TGFB3,c8fa66ccee1a253bfa016d1c9290725df0fd56da9b40f23223626586d81510cb,412,new_full_chain_esm2
126,TNF,8625b8e5664220caffd8c457d023faa6156bab712d487986eaeab87c99b668e5,233,full_residue_bank
127,TNFRSF8,9a61bc3ff7833fc4874fd53fce48683d782bd50295d5d6540448c418af0cf4f1,595,new_full_chain_esm2
128,TNFSF11,cecd15bac55731c8fd5c418e45d1939f0f08ccc4a5ae46bcbe8aa9b1876c6b1e,317,new_full_chain_esm2
129,TNFSF12,e42a0f16abd3a9a1f5b3696dbb346975ff446b79990e59f593784fef5eba511d,249,new_full_chain_esm2
130,TNFSF13,5656de7cebd5e4814025160facc412e74f06b3c62f104119182dd99188988d34,250,new_full_chain_esm2
131,TNFSF13B,b15dd89e15a78e42bbad5eb4d351833cac3afe5c5a5dc8de65522eb8235ca878,285,new_full_chain_esm2
132,TNFSF14,586e6a03c708a3e708d0d9a8472c2bea0f5084614ea0223ecf2cef97fda5668f,240,new_full_chain_esm2
133,TNFSF4,021fcbfe8a49f5b28561822ae8edf218c3793e066da31f35cf764dac8a623fcf,183,new_full_chain_esm2
134,TSLP,5e9c457073a540c05733e2d071b9b46725f890ad40ecd6f27a571d667bc8e711,159,new_full_chain_esm2
135,VEGFB,3bed1d485573a9450ce7661aac8da58b9a0b5163dfe7a647db8d5a06aad8b538,207,new_full_chain_esm2
136,VEGFC,8fd35aadc7b2b246d7fc01f3c8b59a3ae614a4cc872ec7a1d530e627e13523dc,419,new_full_chain_esm2
137,VWF,91a132cac0ed8c1777c8e469b380ff01451ee3a9e522eee8895f8030f3cd839c,2813,new_full_chain_esm2
138,VAMP2,109524acc3b740756240138b4d786a05131a77914585ef4a6937d5a880c6c1e1,116,new_full_chain_esm2
139,ALCAM,5a7d75d37b59d40a855df134ad4f62531934d3495f5d87b1fa7f0f541423b092,583,new_full_chain_esm2
140,ANGPTL3,4f18082fca937cf885ef68a12956b798f1a918630e2fa6b3872b19e4a75a9d02,460,new_full_chain_esm2
141,BCL11A,5ed67168e66267e7ecede171c8737f22ec760d1e287a1395df8b6ef447b1cd8c,835,new_full_chain_esm2
142,BIRC5,1d357222746a8c0506b6f912e649e731e960fa33432c5c5a33f81a9c0beebcb8,142,new_full_chain_esm2
143,CD200,0bb64c2c264604736cb55682994d6fc7658581911a587b755f518dc673c57a98,278,new_full_chain_esm2
144,CD248,5de140e38af6ff4da85214e6fdc7a93faa5b9be0b770eb0329f411900d5588c3,757,new_full_chain_esm2
145,CD274,b1b17c7fca3cbab15bc66b90bd4c07f73617cb5a03db105b0a38084fe7bca48b,290,new_full_chain_esm2
146,CD28,ecde17e42264c2bbec2b8d2dfe0fff4fb8be50b6c3d962af0b29816dbda0647f,220,new_full_chain_esm2
147,CD5,c3334126628292d093cfd45394f323a3ca2846ccb365862068b5196f3c27f2b4,495,new_full_chain_esm2
148,CD79B,7021075c68c610826a87b2da37f0fdc1493045d176d47e91ab6763f473d39134,229,new_full_chain_esm2
149,CLDN18,89c388e151022937dd56f7be9599e2f03f07e579e7c1308d4112f0c386b1491c,261,new_full_chain_esm2
150,COL4A4,198c30fd82f40a048ba04e9afd5babc446f763dd3b0a20d5f58e2ee7cdb20f06,1690,new_full_chain_esm2
151,COL7A1,509f2b37b55617c4a7620d901dae831c4007a3b545fe9c3f23b3b37ce6701b78,2944,new_full_chain_esm2
152,CRIPTO,375091d9bf2920a45facf50c3dbf18c45569e7fdcadd85f980a3bc9d12a1efad,188,new_full_chain_esm2
153,CTAG1A,8bc781a703ce6e2649f88d9263abc8327cf5e4a4846edf5103d0dde5d4a0a802,180,new_full_chain_esm2
154,DLL3,08655e45c9c70122a1320e3ba4b74aa9d81f6e2598e67d546a928ae5498e801e,618,new_full_chain_esm2
155,DLL4,c493b63e299b3245d088ff0cab36a90c477cd90b672953fe71ff07622e4e818e,685,new_full_chain_esm2
156,DMD,f57a786ef3672a3e253c59c58b9fbdb04109bcd856354d930117441f4328ff1a,3685,new_full_chain_esm2
157,EEF2,d793bf62344849552d82b76b57e79bb9bc24f70b1c6c730742c99de9a3f5f340,858,new_full_chain_esm2
158,EFNB2,d99c66976d599f008194ecc3283d6fb174fee0bdf6f1033c0f991778362e25a3,333,new_full_chain_esm2
159,ELN,72fc3ae62718f735b35798767fbe672ade951ec72db88f15503b35f89b4009c4,786,new_full_chain_esm2
160,ENG,9d83bcc4b07c00cde894c5077339d6e62f4ef394c3339ce76380957cc320da13,658,new_full_chain_esm2
161,EREG,d7a3af4abcb01729596e0b6193c05636a38d6cac43142e20d30dd26dcd16894d,169,new_full_chain_esm2
162,ERVW-1,835a8281ffe1a694db294d859d89332de72fa9de9b8793158a28cc05e5f39d2b,538,new_full_chain_esm2
163,FCGR2B,63347018c0546f586a0103dc47699e4684a641a4e8f356356a1d6a7171cc9a5c,310,new_full_chain_esm2
164,FCGRT,866223ef286528c1d0fc85282826478eed3a3714c289b5a33f6da461b1ea0a03,365,new_full_chain_esm2
165,FCRL5,5bdb053952ef7a0457676854b3d6757646861e6a22df3dcc4d5cb20a998fdbdf,977,new_full_chain_esm2
166,GP1BA,d2e24234727640e0c9c76c6cab1e22acf7c45c2da8048fa12fa2e3d3bbf56cde,652,new_full_chain_esm2
167,GPA33,215f76c7b8f0b91d349f701c41d9d579dad822a42ccfb1031207b3ed85cc30c3,319,new_full_chain_esm2
168,GPC3,77dfca719964bc76f8f4a345c1fa314a8b55845c770a272f9b3e2e81f348df23,580,new_full_chain_esm2
169,GPNMB,cfd3e0e603ce30feea8cb0df1377e9cbb69426a90675883f8b3a0aeb91c6a2c6,572,new_full_chain_esm2
170,HAVCR2,19fad6122957287e994f5b674a6ed813fad5c4be3a60f4403e005ed2dbed0ffa,301,new_full_chain_esm2
171,HMGB1,665631247a60f67442cdeb06062c767eda520eaca2f8369894710e5720d86093,215,new_full_chain_esm2
172,HSPA8,fb7792982e9928f0036d5d090309c0bab5a98e8285d14fe380913b5ff2fffb8c,646,new_full_chain_esm2
173,ICOS,480e59e625dcb7b3d3852c7b8cf8d62378e452426167f65c686cd7f8c9c8918a,199,new_full_chain_esm2
174,ICOSLG,0ca51f904c28299d8ed0b0dc85edc28e9f28df28a7968477d36f062d257722e0,302,new_full_chain_esm2
175,KLRC1,314831cbc6e4498d0fcc752197b9432f7f2f39b80bed7e4b715a72171ac2df7b,233,new_full_chain_esm2
176,LAG3,113644b29f7d57ec595b7e5bec205e538f0a12cb2c1872fe136ebf0f7534d9f5,525,new_full_chain_esm2
177,LEPR,ed51dbdc6fbf3281e7240f7d35e776f52c917004c907db3a046d49cd9091da1d,1165,new_full_chain_esm2
178,LGALS1,4c0cef143858b123b57fe94ba580d433ebbad7bbfb5265d8ae729c1e43be5e46,135,full_residue_bank
179,LILRA4,6c29d8da608bde3f24b34426ebf44430f6c4a5d9c8304e6953eddac9e54b10ad,499,new_full_chain_esm2
180,LINGO1,db3cd1c70a7409b0691ee8155963c2547ae25717997c3e0be43e289171ee3d23,620,new_full_chain_esm2
181,LRP1,410e11a3f99c2d0856c30719f5351be4032af31eac235f45354e3446dfffbf50,4544,new_full_chain_esm2
182,LY6E,aa7ecb4461835c5a89e0bd39c60993d49540437ced6c8c56f09837a87cd0bb72,131,new_full_chain_esm2
183,LY75,461254012a4d1730ee3cf11c55c6884de25c4ef4df51786597d4849674c809ee,1722,new_full_chain_esm2
184,MAGEA3,2144e0047f0cd67d310fa25f966fc8a76354fb49c104060a2986dabeb21defc2,314,new_full_chain_esm2
185,MAGEA4,660f85d6da75ad79cf925fe2843acea6d4e2abea2b6bf202c635609810a6a239,317,new_full_chain_esm2
186,MAPT,9ad5ef9ba35def920a684e5d92e22b0a2e05baefcec3c9f173e2773ca8cc0646,758,new_full_chain_esm2
187,MARCKS,a0ff1bec77195b3fef9795c96769bb32cf9e7cfcfe5152a58842cba8594e33bd,332,full_residue_bank
188,MFGE8,d10e581cf79b1bc41ba9ceb248ea818d58d3b9ed39a9dd587e73f21ce9392aa4,387,new_full_chain_esm2
189,MSLN,85dadcd8397d68d34972e3278f0fc47b51659537c8c6ba3e62243aee293108b3,630,new_full_chain_esm2
190,MUC1,5b9649b780e39a0610eaa2183ad064268ee6d69a66041595f91f93ca08444e66,1255,new_full_chain_esm2
191,MUC16,19b25ac9608340021e385b94874ec8a1b50464778c241c5fbafb768813859a9d,14507,new_full_chain_esm2
192,OSMR,165917db3e001410759a2b5a6b66a628f36704f3d3fd62f8dee94a3a6137148d,979,new_full_chain_esm2
193,PDCD1LG2,8bd3ab2005bd4b7272fd2bdd6d9a89d9886486c367f37c6ea57925fc49ce5dec,273,new_full_chain_esm2
194,PMEL,c2e9cc14b97d85829964a33da61aafed14fbf57775322a09e6f6421c79aab0a3,661,new_full_chain_esm2
195,PROS1,dc60fe368a602b29da69209260888dd9e7afd7ff8c416d9a91e6588d897ede1f,676,new_full_chain_esm2
196,PSCA,252effdba5d5a0e6749f95b5f0e761612b28f277185eb31177aa6f841a145759,114,new_full_chain_esm2
197,RGMA,befc8d1ee7622d163e941d3ff2237f0eda6f793d8e268b4f1df09ea8eda13e48,450,new_full_chain_esm2
198,RHD,e7857785c4ef5d343fad97a767bd2367b3ea852bdfdd36e80104f04bf6874b3d,417,new_full_chain_esm2
199,ROR1,ec6867bc5bacc933a118937a895d4f6d05381eab1f38a3f45a0f957b1f60ec69,937,full_residue_bank
200,RTN4,dc62a0671b1025f2fa9eb345f0cdc6137ceb9f94ebeb28a555047241a484cdfb,1192,new_full_chain_esm2
201,SDC1,ce823a478324441a65e43381043744ef5e9a52b44c22183402ca15f6ed44ba51,310,new_full_chain_esm2
202,SEMA4D,b5ac170945c554a1e6e067d996c9f4953de2ac62ca8ce766a020cc4a3aabd9c0,862,new_full_chain_esm2
203,SERPING1,c91d27d3352cd8619fffbd14d6583fb82e0a648bc8d24aff72e964c392da2589,500,new_full_chain_esm2
204,SIGLEC8,9f9a78aaf64bb0d91f2f040c1c7bc33947ead1e15528ba6b9c9869772ba1f7ae,499,new_full_chain_esm2
205,SNAP25,91a6e9a883600e47c7dc751635104ce2810e0a55cc45f218d2dca06fc0027f47,206,new_full_chain_esm2
206,SNCA,9a06387610edd099466d614941c42a433f444feb6a8f25375bb0b6ad8ec9c6f4,140,added_residue_bank
207,SOST,62e1db4d77cde391e99623203157394f589eeadbe1b8bebc9ae5f2af2928c25b,213,new_full_chain_esm2
208,STING1,8d1fc91f90056f7fc4e638d2dbf7cd73c12e30e4e9cb97c76cac1d5b308643ed,379,new_full_chain_esm2
209,TACSTD2,f337b2b4d3670cc9da5ce68671c1e4c1d5cbd6d6c9d04d0f76cffca42e43a1da,323,new_full_chain_esm2
210,TFPI,5cecbc2e4ec0d058cc443dd97c265bd85c7a278f04877b1e302b50b419810a68,304,new_full_chain_esm2
211,TGFA,d18a89bf2daa95c4bd4d581664e00678a12e814a203cbd84fac5e9425989754c,160,new_full_chain_esm2
212,TIGIT,22dc14d09647814c2a5f576164558a9a147cc6bce88d01b76d6bc884f8c1db64,244,new_full_chain_esm2
213,TNC,bf21266507be19728f27757a362844a9c950f7f952eaf3280339462128be02c2,2201,new_full_chain_esm2
214,TSG101,4cf30524790eb285d88a82368b6439e2c35c59a5891a1627d974fc81cf21a7ec,390,new_full_chain_esm2
215,VIM,dd267de63ea8560991af6a344f5f6e396a3458ef2be997b4f0f115e5a33859ad,466,new_full_chain_esm2
216,ASGR1,cc6f2ed182a2e8bb36e3ae081926e30444525e2e03659e1a553ea168b9404ead,291,new_full_chain_esm2
217,BSG,e4c2f484f4707a731baa61ab7f43e808c778198b657912e6500659e0a7e30308,385,new_full_chain_esm2
218,CD22,02a7fa9f4745cdff0335db445a7b4b1a7829e9bb3f6a0771bea04ed6d49fc3cb,847,new_full_chain_esm2
219,CD37,ff2bb9bfe0b98b8869b131f1ff394d20b56126e37849e5fb8d233dbb8c92a276,281,new_full_chain_esm2
