pair_id,ligand_inchikey,drug_names,gene_symbol,target_chembl_id,assay_lane,replacement_rank384,model,review_status,in_frozen384,decision,close_negative_review,new_identity_hold,disease_investment_hold,raw_prior_activity_hold,deep_review_investment_hold,reason,deep_reason,primary_reason
HKDLNTKNLJPAIY-WKWWZUSTSA-N__CHEMBL2820,HKDLNTKNLJPAIY-WKWWZUSTSA-N,ulipristal,F11,CHEMBL2820,ENZYME_BIOCHEMICAL,9,A_consensus,KNOWN_IDENTITY_HOLD,False,,,,,,,,,MOLECULE_IDENTITY_HOLD
IMOZEMNVLZVGJZ-QGZVFWFLSA-N__CHEMBL2034,IMOZEMNVLZVGJZ-QGZVFWFLSA-N,apremilast,NR3C1,CHEMBL2034,NUCLEAR_EPIGENETIC_DOMAIN,7,A_consensus,FROZEN_REVIEW_HOLD_OR_EXCLUSION,False,KEEP_REVIEW,False,False,False,True,False,apremilast–NR3C1: 结合名次4/384；阳性近邻T=0.316，阴性近邻T=0.240；共同疾病=rheumatoid arthritis。现有字段未见可硬排除事实，保留探索；共同疾病及化学近邻均不能确认直接结合。,,PRIOR_ACTIVITY_RECORD
LVXJQMNHJWSHET-AATRIKPKSA-N__CHEMBL5838,LVXJQMNHJWSHET-AATRIKPKSA-N,dacomitinib,ERBB3,CHEMBL5838,KINASE_BIOCHEMICAL,7,A_consensus,FROZEN_REVIEW_HOLD_OR_EXCLUSION,False,HOLD,False,False,False,True,False,dacomitinib–ERBB3: 结合排名4/384；阳性近邻Tanimoto=0.694、阴性近邻=0.443；共同疾病=rheumatoid arthritis，OT=0.351、TxGNN排名=2。 HER3为低催化活性伪激酶，但原始研究已证明小分子可结合；暂缓普通激酶路线，须核对胞内伪激酶域与独立结合参考物。未核实本药直接结合。,,PRIOR_AGENT_HOLD_OR_EXCLUSION
LWQQLNNNIPYSNX-UROSTWAQSA-N__CHEMBL2034,LWQQLNNNIPYSNX-UROSTWAQSA-N,calcipotriene,NR3C1,CHEMBL2034,NUCLEAR_EPIGENETIC_DOMAIN,5,A_consensus,FROZEN_REVIEW_HOLD_OR_EXCLUSION,False,HOLD,False,False,False,True,False,calcipotriene–NR3C1: 结合名次9/384；阳性近邻T=0.167，阴性近邻T=0.643；共同疾病=hemorrhoid。现有字段未见可硬排除事实，保留探索；共同疾病及化学近邻均不能确认直接结合。阴性近邻明显更接近，需回看原始浓度、终点和受体构建后才能纳入主队列；结构相似本身不是否定证据。TxGNN为合并疾病节点，具体疾病名称证据需降权。,,PRIOR_AGENT_HOLD_OR_EXCLUSION
NBRBXGKOEOGLOI-UHFFFAOYSA-N__CHEMBL1255163,NBRBXGKOEOGLOI-UHFFFAOYSA-N,dasabuvir,PORCN,CHEMBL1255163,ENZYME_BIOCHEMICAL,9,A_consensus,FROZEN_REVIEW_HOLD_OR_EXCLUSION,False,HOLD,False,False,False,False,False,结合排序11/384；同病TxGNN排序29，OT=0.383；阳性近邻Tanimoto=0.200、阴性近邻=0.143；化学迁移支持较薄，作为探索性备选；低相似度不代表不结合；当前常规可溶SPR路线未确认适配；暂移出384首轮，待专门构建确认后可恢复，非绝对不结合,,PRIOR_AGENT_HOLD_OR_EXCLUSION
NGBFQHCMQULJNZ-UHFFFAOYSA-N__CHEMBL230,NGBFQHCMQULJNZ-UHFFFAOYSA-N,torsemide,PTGS2,CHEMBL230,ENZYME_BIOCHEMICAL,18,A_consensus,FROZEN_REVIEW_HOLD_OR_EXCLUSION,False,KEEP_REVIEW,False,False,False,True,False,结合排序2/384；同病TxGNN排序20，OT=0.598；阳性近邻Tanimoto=0.517、阴性近邻=0.417,,PRIOR_ACTIVITY_RECORD
QNZCBYKSOIHPEH-UHFFFAOYSA-N__CHEMBL230,QNZCBYKSOIHPEH-UHFFFAOYSA-N,apixaban,PTGS2,CHEMBL230,ENZYME_BIOCHEMICAL,16,A_consensus,FROZEN_REVIEW_HOLD_OR_EXCLUSION,False,KEEP_REVIEW,False,False,False,True,False,结合排序6/384；同病TxGNN排序1，OT=0.598；阳性近邻Tanimoto=0.329、阴性近邻=0.317,,PRIOR_ACTIVITY_RECORD
QTGIAADRBBLJGA-UHFFFAOYSA-N__CHEMBL220,QTGIAADRBBLJGA-UHFFFAOYSA-N,articaine,ACHE,CHEMBL220,ENZYME_BIOCHEMICAL,6,A_consensus,FROZEN_REVIEW_HOLD_OR_EXCLUSION,False,KEEP_REVIEW,False,False,False,True,True,结合排序1/384；同病TxGNN排序46，OT=0.374；阳性近邻Tanimoto=0.564、阴性近邻=0.255,后续完整原始活性审计找到精确母药记录：ChEMBL activity25142808、CHEMBL5291723，AC50 >30000 nM；描述为人AChE无细胞吸光酶活，confidence8、relationshipH。已有30 µM范围功能反证，不再作为新颖高亲和首批；不能把血浆酯酶代谢当AChE抑制。,PRIOR_ACTIVITY_RECORD
RHXHGRAEPCAFML-UHFFFAOYSA-N__CHEMBL5366,RHXHGRAEPCAFML-UHFFFAOYSA-N,ribociclib,PARP2,CHEMBL5366,ENZYME_BIOCHEMICAL,16,A_consensus,FROZEN_REVIEW_HOLD_OR_EXCLUSION,False,KEEP_REVIEW,False,False,False,False,True,结合排序4/384；同病TxGNN排序34，OT=0.306；阳性近邻Tanimoto=0.478、阴性近邻=0.215；疾病预测来自合并节点，不应解释为精确疾病亚型的独立预测,结合排名4/384；阳性近邻Tanimoto 0.478。 FDA原用途早期/晚期HR+HER2-乳癌，共同疾病仅黑色素瘤且合并节点，不是跨大类。现有ribociclib论文描述PARP1转录下调，不能当直接PARP抑制。目前未核实该药与该靶点的直接Kd/IC50或完整KINOMEscan原始配对记录；缺失不是阴性。,DEEP_REVIEW_HOLD
RLAWWYSOJDYHDC-BZSNNMDCSA-N__CHEMBL204,RLAWWYSOJDYHDC-BZSNNMDCSA-N,lisinopril,F2,CHEMBL204,ENZYME_BIOCHEMICAL,8,A_consensus,FROZEN_REVIEW_HOLD_OR_EXCLUSION,False,LOW_PRIORITY,False,False,False,True,False,结合排序12/384；同病TxGNN排序28，OT=0.548；阳性近邻Tanimoto=0.474、阴性近邻=0.474；原始研究报告lisinopril 10 mM延长APTT；这是高浓度凝血功能端点，不能证明低浓度直接结合F2，也不构成直接结合硬反证,,PRIOR_ACTIVITY_RECORD
RNOAOAWBMHREKO-QFIPXVFZSA-N__CHEMBL3905,RNOAOAWBMHREKO-QFIPXVFZSA-N,zanubrutinib,LYN,CHEMBL3905,KINASE_BIOCHEMICAL,8,A_consensus,FROZEN_REVIEW_HOLD_OR_EXCLUSION,False,KEEP_REVIEW,False,False,False,True,False,"zanubrutinib–LYN: 结合排名7/384；阳性近邻Tanimoto=0.458、阴性近邻=0.225；共同疾病=chronic myelogenous leukemia, BCR-ABL1 positive，OT=0.598、TxGNN排名=3。 快速检索存在BTKi选择性面板相关报道，但本轮未核实本配对原始数值和浓度；保留待核，不能宣称已知阳性或阴性。",,PRIOR_ACTIVITY_RECORD
RUDATBOHQWOJDD-BSWAIDMHSA-N__CHEMBL2034,RUDATBOHQWOJDD-BSWAIDMHSA-N,chenodiol,NR3C1,CHEMBL2034,NUCLEAR_EPIGENETIC_DOMAIN,6,A_consensus,FROZEN_REVIEW_HOLD_OR_EXCLUSION,False,HOLD,True,False,False,True,False,chenodiol–NR3C1: 结合名次19/384；阳性近邻T=0.408，阴性近邻T=0.840；共同疾病=cystic fibrosis。现有字段未见可硬排除事实，保留探索；共同疾病及化学近邻均不能确认直接结合。阴性近邻明显更接近，需回看原始浓度、终点和受体构建后才能纳入主队列；结构相似本身不是否定证据。,,PRIOR_AGENT_HOLD_OR_EXCLUSION
VPPJLAIAVCUEMN-GFCCVEGCSA-N__CHEMBL2000,VPPJLAIAVCUEMN-GFCCVEGCSA-N,lacosamide,KLKB1,CHEMBL2000,ENZYME_BIOCHEMICAL,19,A_consensus,FROZEN_REVIEW_HOLD_OR_EXCLUSION,False,KEEP_REVIEW,False,False,False,False,True,结合排序11/384；同病TxGNN排序13，OT=0.448；阳性近邻Tanimoto=0.444、阴性近邻=0.379,未查得lacosamide直接抑制KLKB1原始证据；FDA标签反而列angioedema为上市后不良反应。共同疾病因此存在方向歧义，不能把不良事件当疗效，也不能推断该不良反应由KLKB1导致。,DEEP_REVIEW_HOLD
XIQVNETUBQGFHX-UHFFFAOYSA-N__CHEMBL2034,XIQVNETUBQGFHX-UHFFFAOYSA-N,oxybutynin,NR3C1,CHEMBL2034,NUCLEAR_EPIGENETIC_DOMAIN,17,A_consensus,FROZEN_REVIEW_HOLD_OR_EXCLUSION,False,KEEP_REVIEW,False,False,False,True,False,oxybutynin–NR3C1: 结合名次18/384；阳性近邻T=0.263，阴性近邻T=0.219；共同疾病=diarrheal disease。现有字段未见可硬排除事实，保留探索；共同疾病及化学近邻均不能确认直接结合。,,PRIOR_ACTIVITY_RECORD
XSFJVAJPIHIPKU-XWCQMRHXSA-N__CHEMBL208,XSFJVAJPIHIPKU-XWCQMRHXSA-N,flunisolide,PGR,CHEMBL208,NUCLEAR_EPIGENETIC_DOMAIN,12,A_consensus,FROZEN_REVIEW_HOLD_OR_EXCLUSION,False,KEEP_REVIEW,False,False,False,True,False,flunisolide–PGR: 结合名次8/384；阳性近邻T=0.532，阴性近邻T=0.198；共同疾病=cutaneous lupus erythematosus。现有字段未见可硬排除事实，保留探索；共同疾病及化学近邻均不能确认直接结合。TxGNN为合并疾病节点，具体疾病名称证据需降权。,,PRIOR_ACTIVITY_RECORD
ZIAOVIPSKUPPQW-UHFFFAOYSA-N__CHEMBL1250375,ZIAOVIPSKUPPQW-UHFFFAOYSA-N,doravirine,NOX4,CHEMBL1250375,ENZYME_BIOCHEMICAL,20,A_consensus,FROZEN_REVIEW_HOLD_OR_EXCLUSION,False,HOLD,False,False,False,False,False,结合排序12/384；同病TxGNN排序24，OT=0.398；阳性近邻Tanimoto=0.220、阴性近邻=0.146；化学迁移支持较薄，作为探索性备选；低相似度不代表不结合；当前常规可溶SPR路线未确认适配；暂移出384首轮，待专门构建确认后可恢复，非绝对不结合,,PRIOR_AGENT_HOLD_OR_EXCLUSION
AQNDDEOPVVGCPG-UHFFFAOYSA-N__CHEMBL261,AQNDDEOPVVGCPG-UHFFFAOYSA-N,esmolol,CA1,CHEMBL261,ENZYME_BIOCHEMICAL,1,B_consensus,FROZEN_REVIEW_HOLD_OR_EXCLUSION,False,KEEP_REVIEW,False,False,False,False,True,结合排序4/384；同病TxGNN排序28，OT=0.370；阳性近邻Tanimoto=0.552、阴性近邻=0.302,2018原始研究已报告人红细胞CA1酯酶IC50=5 mM，属于已有弱功能关系，不宜占首批高亲和新靶点位。药品标签显示母药血中快速酯水解、约9分钟消除半衰期。,DEEP_REVIEW_HOLD
BSYNRYMUTXBXSQ-UHFFFAOYSA-N__CHEMBL1856,BSYNRYMUTXBXSQ-UHFFFAOYSA-N,aspirin,SRD5A2,CHEMBL1856,ENZYME_BIOCHEMICAL,9,B_consensus,FROZEN_REVIEW_HOLD_OR_EXCLUSION,False,HOLD,False,False,False,False,False,结合排序3/384；同病TxGNN排序46，OT=0.423；阳性近邻Tanimoto=0.333、阴性近邻=0.244；当前常规可溶SPR路线未确认适配；暂移出384首轮，待专门构建确认后可恢复，非绝对不结合,,PRIOR_AGENT_HOLD_OR_EXCLUSION
BYBLEWFAAKGYCD-UHFFFAOYSA-N__CHEMBL2722,BYBLEWFAAKGYCD-UHFFFAOYSA-N,miconazole,CYP11B2,CHEMBL2722,ENZYME_BIOCHEMICAL,1,B_consensus,FROZEN_REVIEW_HOLD_OR_EXCLUSION,False,HOLD,False,False,False,False,False,结合排序3/384；同病TxGNN排序27，OT=0.490；阳性近邻Tanimoto=0.396、阴性近邻=0.283；本地理化风险分非零，需测实际可溶浓度；已有牛肾上腺P450(11)beta与醛固酮合成相关原始研究；物种/同工酶不能直接等同人CYP11B2，但新颖性需进一步核对,,PRIOR_AGENT_HOLD_OR_EXCLUSION
CEUORZQYGODEFX-UHFFFAOYSA-N__CHEMBL241,CEUORZQYGODEFX-UHFFFAOYSA-N,aripiprazole;aripiprazole lauroxil,PDE3A,CHEMBL241,ENZYME_BIOCHEMICAL,15,B_consensus,FROZEN_REVIEW_HOLD_OR_EXCLUSION,False,KEEP_REVIEW,False,False,False,True,False,结合排序3/384；同病TxGNN排序28，OT=0.330；阳性近邻Tanimoto=0.367、阴性近邻=0.287；疾病预测来自合并节点，不应解释为精确疾病亚型的独立预测,,PRIOR_ACTIVITY_RECORD
FNKQXYHWGSIFBK-RPDRRWSUSA-N__CHEMBL5443,FNKQXYHWGSIFBK-RPDRRWSUSA-N,sapropterin,CDC7,CHEMBL5443,KINASE_BIOCHEMICAL,10,B_consensus,FROZEN_REVIEW_HOLD_OR_EXCLUSION,False,HOLD,False,False,False,False,False,sapropterin–CDC7: 结合排名1/384；阳性近邻Tanimoto=0.242、阴性近邻=0.165；共同疾病=open-angle glaucoma，OT=0.302、TxGNN排名=10。 CDC7-DBF4构建影响活性位点构象；暂缓至确认复合物和参考抑制剂响应。,,PRIOR_AGENT_HOLD_OR_EXCLUSION
GCKFUYQCUCGESZ-BPIQYHPVSA-N__CHEMBL1871,GCKFUYQCUCGESZ-BPIQYHPVSA-N,etonogestrel,AR,CHEMBL1871,NUCLEAR_EPIGENETIC_DOMAIN,3,B_consensus,FROZEN_REVIEW_HOLD_OR_EXCLUSION,False,EXCLUDE,False,False,False,True,False,FDA原始NuvaRing药理审查Table6：MCF7细胞质受体结合实验中etonogestrel对AR相对结合4.47±0.67（DHT=100）；已知交叉结合，不应占新关系发现名额；可另列已知关系对照。旧文3-ketodesogestrel为etonogestrel别名。,,PRIOR_AGENT_HOLD_OR_EXCLUSION
GCKFUYQCUCGESZ-BPIQYHPVSA-N__CHEMBL1994,GCKFUYQCUCGESZ-BPIQYHPVSA-N,etonogestrel,NR3C2,CHEMBL1994,NUCLEAR_EPIGENETIC_DOMAIN,7,B_consensus,FROZEN_REVIEW_HOLD_OR_EXCLUSION,False,HOLD,False,False,False,False,False,同一原始研究报告3-ketodesogestrel对以aldosterone为参照的受体未测得亲和；与本模型Top1相冲突，需核实种属、浓度与检测限后再考虑。未测得不等于所有条件绝对不结合。,,PRIOR_AGENT_HOLD_OR_EXCLUSION
GCKFUYQCUCGESZ-BPIQYHPVSA-N__CHEMBL2034,GCKFUYQCUCGESZ-BPIQYHPVSA-N,etonogestrel,NR3C1,CHEMBL2034,NUCLEAR_EPIGENETIC_DOMAIN,5,B_consensus,FROZEN_REVIEW_HOLD_OR_EXCLUSION,False,HOLD,False,False,False,False,False,1990原始研究报告3-ketodesogestrel（etonogestrel）与glucocorticoid receptor结合；摘要含人/大鼠材料，需全文确认GR实验种属与构建，先移出新关系主队列；不能继续按无既有证据的新颖配对。,,PRIOR_AGENT_HOLD_OR_EXCLUSION
GPNHMOZDMYNCPO-PDUMRIMRSA-N__CHEMBL2034,GPNHMOZDMYNCPO-PDUMRIMRSA-N,clascoterone,NR3C1,CHEMBL2034,NUCLEAR_EPIGENETIC_DOMAIN,10,B_consensus,FROZEN_REVIEW_HOLD_OR_EXCLUSION,False,KEEP_REVIEW,False,False,False,False,True,clascoterone–NR3C1: 结合名次3/384；阳性近邻T=0.522，阴性近邻T=0.359；共同疾病=Cushing syndrome。现有字段未见可硬排除事实，保留探索；共同疾病及化学近邻均不能确认直接结合。,全部共同疾病为Cushing及肾上腺功能亢进。EMA已有54受体筛查未见offtarget总述，但未列名单/浓度，不能当作GR确证阴性。弱糖皮质激素样/代谢相关作用已经讨论；这不支持所需的GR拮抗方向。局部用药与代谢使系统Cushing假说更弱。,DEEP_REVIEW_HOLD
GPNHMOZDMYNCPO-PDUMRIMRSA-N__CHEMBL208,GPNHMOZDMYNCPO-PDUMRIMRSA-N,clascoterone,PGR,CHEMBL208,NUCLEAR_EPIGENETIC_DOMAIN,15,B_consensus,FROZEN_REVIEW_HOLD_OR_EXCLUSION,False,KEEP_REVIEW,False,False,False,False,True,clascoterone–PGR: 结合名次8/384；阳性近邻T=0.492，阴性近邻T=0.380；共同疾病=Cushing syndrome。现有字段未见可硬排除事实，保留探索；共同疾病及化学近邻均不能确认直接结合。,唯一共同疾病Cushing缺少PGR可操作方向。EMA页19–20兔实验有潜在孕激素样作用，页44概述却写无progesterone activity，报告内部需核验；两者均不是人PGR直接KD。既有功能药理与跨物种不确定性降低新颖性，局部给药不支持直接系统治疗设想。,DEEP_REVIEW_HOLD
GZUITABIAKMVPG-UHFFFAOYSA-N__CHEMBL279,GZUITABIAKMVPG-UHFFFAOYSA-N,raloxifene,KDR,CHEMBL279,KINASE_BIOCHEMICAL,9,B_consensus,FROZEN_REVIEW_HOLD_OR_EXCLUSION,False,KEEP_REVIEW,False,False,True,False,False,raloxifene–KDR: 结合排名8/384；阳性近邻Tanimoto=0.471、阴性近邻=0.364；共同疾病=endometriosis，OT=0.562、TxGNN排名=7。 检索发现该配对原始对接研究，但计算预测不等于直接结合测量，不作为已知实验关系排除。,,DISEASE_CONTEXT_HOLD
HKDLNTKNLJPAIY-WKWWZUSTSA-N__CHEMBL1974,HKDLNTKNLJPAIY-WKWWZUSTSA-N,ulipristal,FLT3,CHEMBL1974,KINASE_BIOCHEMICAL,6,B_consensus,KNOWN_IDENTITY_HOLD,False,,,,,,,,,MOLECULE_IDENTITY_HOLD
HKDLNTKNLJPAIY-WKWWZUSTSA-N__CHEMBL1994,HKDLNTKNLJPAIY-WKWWZUSTSA-N,ulipristal,NR3C2,CHEMBL1994,NUCLEAR_EPIGENETIC_DOMAIN,4,B_consensus,KNOWN_IDENTITY_HOLD,False,KEEP_REVIEW,False,True,False,False,True,ulipristal–NR3C2: 结合名次3/384；阳性近邻T=0.412，阴性近邻T=0.553；共同疾病=cardiovascular disorder。现有字段未见可硬排除事实，保留探索；共同疾病及化学近邻均不能确认直接结合。,模型结构HKDLNTKNLJPAIY-WKWWZUSTSA-N是17-OH、C28H35NO3、约433.59；ella实际为17-acetoxy ulipristal acetate，C30H37NO4、475.6，属共价酯差异，不是去盐。已发表UPA的MR低敏感/构效不能直接套该去乙酰结构；阴性近邻0.553高于阳性0.412，唯一共同疾病cardiovascular disorder过泛。,MOLECULE_IDENTITY_HOLD
HKDLNTKNLJPAIY-WKWWZUSTSA-N__CHEMBL2041,HKDLNTKNLJPAIY-WKWWZUSTSA-N,ulipristal,RET,CHEMBL2041,KINASE_BIOCHEMICAL,10,B_consensus,KNOWN_IDENTITY_HOLD,False,LOW_PRIORITY,False,True,False,False,False,ulipristal–RET: 结合排名18/384；阳性近邻Tanimoto=0.180、阴性近邻=0.167；共同疾病=plasma cell myeloma，OT=0.306、TxGNN排名=6。 化学邻域支持较弱，作为预算降序因素，不能据此认定不结合。,,MOLECULE_IDENTITY_HOLD
HKDLNTKNLJPAIY-WKWWZUSTSA-N__CHEMBL279,HKDLNTKNLJPAIY-WKWWZUSTSA-N,ulipristal,KDR,CHEMBL279,KINASE_BIOCHEMICAL,19,B_consensus,KNOWN_IDENTITY_HOLD,False,,,,,,,,,MOLECULE_IDENTITY_HOLD
HKDLNTKNLJPAIY-WKWWZUSTSA-N__CHEMBL284,HKDLNTKNLJPAIY-WKWWZUSTSA-N,ulipristal,DPP4,CHEMBL284,ENZYME_BIOCHEMICAL,14,B_consensus,KNOWN_IDENTITY_HOLD,False,,,,,,,,,MOLECULE_IDENTITY_HOLD
HKDLNTKNLJPAIY-WKWWZUSTSA-N__CHEMBL286,HKDLNTKNLJPAIY-WKWWZUSTSA-N,ulipristal,REN,CHEMBL286,ENZYME_BIOCHEMICAL,16,B_consensus,KNOWN_IDENTITY_HOLD,False,,,,,,,,,MOLECULE_IDENTITY_HOLD
HKDLNTKNLJPAIY-WKWWZUSTSA-N__CHEMBL288,HKDLNTKNLJPAIY-WKWWZUSTSA-N,ulipristal,PDE4D,CHEMBL288,ENZYME_BIOCHEMICAL,3,B_consensus,KNOWN_IDENTITY_HOLD,False,,,,,,,,,MOLECULE_IDENTITY_HOLD
HKDLNTKNLJPAIY-WKWWZUSTSA-N__CHEMBL5568,HKDLNTKNLJPAIY-WKWWZUSTSA-N,ulipristal,ROS1,CHEMBL5568,KINASE_BIOCHEMICAL,7,B_consensus,KNOWN_IDENTITY_HOLD,False,,,,,,,,,MOLECULE_IDENTITY_HOLD
IUBSYMUCCVWXPE-UHFFFAOYSA-N__CHEMBL261,IUBSYMUCCVWXPE-UHFFFAOYSA-N,metoprolol,CA1,CHEMBL261,ENZYME_BIOCHEMICAL,3,B_consensus,FROZEN_REVIEW_HOLD_OR_EXCLUSION,False,KEEP_REVIEW,False,False,False,False,True,结合排序5/384；同病TxGNN排序15，OT=0.370；阳性近邻Tanimoto=0.554、阴性近邻=0.320,2020原始Table1已测人CA1：水合IC50 400 µM、酯酶319 µM，故已有弱功能关系。标签β1作用相关血浆浓度30–540 nM显著较低；不能把其他β阻滞剂眼压用途当CA1机制。,DEEP_REVIEW_HOLD
LKJPYSCBVHEWIU-UHFFFAOYSA-N__CHEMBL1856,LKJPYSCBVHEWIU-UHFFFAOYSA-N,bicalutamide,SRD5A2,CHEMBL1856,ENZYME_BIOCHEMICAL,9,B_consensus,FROZEN_REVIEW_HOLD_OR_EXCLUSION,False,HOLD,False,False,False,True,False,结合排序17/384；同病TxGNN排序12，OT=0.392；阳性近邻Tanimoto=0.184、阴性近邻=0.132；化学迁移支持较薄，作为探索性备选；低相似度不代表不结合；当前常规可溶SPR路线未确认适配；暂移出384首轮，待专门构建确认后可恢复，非绝对不结合,,PRIOR_AGENT_HOLD_OR_EXCLUSION
