排序,原候选编号,小分子药物名称,新靶点名称,当前实验建议,pair_id,原药内排名_384,A药内排名_384,A排名变化_正数为后移,A排名区间,A原规则去向,A三个种子Top20次数,A_种子20260921_药内排名,A_种子20260922_药内排名,A_种子20260923_药内排名,A靶点内药物排名_720,B药内排名_384,B排名变化_正数为后移,B排名区间,B原规则去向,B三个种子Top20次数,B_种子20260921_药内排名,B_种子20260922_药内排名,B_种子20260923_药内排名,B靶点内药物排名_720,共识Top20组合
29,C384-129,darunavir,FKBP1A — Peptidyl-prolyl cis-trans isomerase FKBP1A,仍可探索,CJBJHOAVZSMMDJ-HEXNFIEUSA-N__CHEMBL1902,4,114,110,101–200,仅因药内排名超过20而未通过,0,165,176,203,80,52,48,51–100,仅因药内排名超过20而未通过,0,184,42,58,107,A和B均未进Top20
30,C384-162,bupivacaine,CTSC — Dipeptidyl peptidase 1,仍可探索,LEBVLXFERQHONN-UHFFFAOYSA-N__CHEMBL2252,4,84,80,51–100,仅因药内排名超过20而未通过,0,124,152,70,505,29,25,21–50,仅因药内排名超过20而未通过,0,31,24,64,544,A和B均未进Top20
31,C384-163,belzutifan,PGR — Progesterone receptor,仍可探索,LOMMPXLFBTZENJ-ZACQAIPSSA-N__CHEMBL208,4,5,1,1–10,通过原Top20及既有审核,2,52,4,6,87,29,25,21–50,仅因药内排名超过20而未通过,0,85,86,33,87,仅A在Top20
32,C384-198,oxaprozin,FAAH — Fatty-acid amide hydrolase 1,仍可探索,OFPXSFXSNFPTHF-UHFFFAOYSA-N__CHEMBL2243,4,151,147,101–200,仅因药内排名超过20而未通过,0,55,157,244,454,31,27,21–50,仅因药内排名超过20而未通过,0,50,53,21,411,A和B均未进Top20
33,C384-290,cobimetinib,PARP2 — Poly [ADP-ribose] polymerase 2,仍可探索,BSMCAPRUBJMWDF-KRWDZBQOSA-N__CHEMBL5366,4,257,253,201–384,仅因药内排名超过20而未通过,0,185,331,192,716,263,259,201–384,仅因药内排名超过20而未通过,0,281,338,101,714,A和B均未进Top20
34,C384-305,lumateperone,COMT — Catechol O-methyltransferase,仍可探索,HOIIHACBCFLJET-SFTDATJTSA-N__CHEMBL2023,4,329,325,201–384,仅因药内排名超过20而未通过,0,339,330,224,167,289,285,201–384,仅因药内排名超过20而未通过,0,181,324,281,140,A和B均未进Top20
35,C384-307,tafamidis,RARB — Retinoic acid receptor beta,仍可探索,TXEIIPDJKFWEEC-UHFFFAOYSA-N__CHEMBL2008,4,147,143,101–200,仅因药内排名超过20而未通过,0,169,147,150,267,5,1,1–10,通过原Top20及既有审核,2,32,2,9,118,仅B在Top20
36,C384-006,pregabalin,MME — Neprilysin,仍可探索,AYXYPKUFHZROOJ-ZETCQYMHSA-N__CHEMBL1944,5,55,50,51–100,仅因药内排名超过20而未通过,0,55,94,139,320,38,33,21–50,仅因药内排名超过20而未通过,1,116,192,18,328,A和B均未进Top20
37,C384-027,cabotegravir,"ALDH2 — Aldehyde dehydrogenase, mitochondrial",仍可探索,WCWSTNLSLKSJPK-LKFCYVNXSA-N__CHEMBL1935,5,115,110,101–200,仅因药内排名超过20而未通过,0,131,133,162,120,100,95,51–100,仅因药内排名超过20而未通过,0,116,141,132,76,A和B均未进Top20
38,C384-164,pacritinib,CA7 — Carbonic anhydrase 7,仍可探索,HWXVIOGONBBTBY-ONEGZZNKSA-N__CHEMBL2326,5,22,17,21–50,仅因药内排名超过20而未通过,1,48,97,10,460,68,63,51–100,仅因药内排名超过20而未通过,0,51,37,190,567,A和B均未进Top20
39,C384-166,bictegravir,MET — Hepatocyte growth factor receptor,仍可探索,SOLUWJRYJLAZCX-LYOVBCGYSA-N__CHEMBL3717,5,52,47,51–100,仅因药内排名超过20而未通过,0,77,103,44,171,247,242,201–384,仅因药内排名超过20而未通过,0,118,254,287,194,A和B均未进Top20
40,C384-167,rimegepant,REN — Renin,仍可探索,KRNAOFGYEFKHPB-ANJVHQHFSA-N__CHEMBL286,5,2,-3,1–10,通过原Top20及既有审核,2,6,29,7,7,175,170,101–200,仅因药内排名超过20而未通过,0,56,132,365,148,仅A在Top20
41,C384-217,calcipotriene,NR3C2 — Mineralocorticoid receptor,仍可探索,LWQQLNNNIPYSNX-UROSTWAQSA-N__CHEMBL1994,5,1,-4,1–10,通过原Top20及既有审核,3,1,9,10,10,104,99,101–200,仅因药内排名超过20而未通过,1,12,197,237,26,仅A在Top20
42,C384-122,olanzapine,DYRK1A — Dual specificity tyrosine-phosphorylation-regulated kinase 1A,仍可探索,KVWDHTXUZHCGIO-UHFFFAOYSA-N__CHEMBL2292,5,259,254,201–384,仅因药内排名超过20而未通过,0,215,203,217,563,172,167,101–200,仅因药内排名超过20而未通过,0,152,285,130,263,A和B均未进Top20
43,C384-291,avibactam,MMP8 — Neutrophil collagenase,仍可探索,NDCUAPJVLWFHHB-UHNVWZDZSA-N__CHEMBL4588,5,20,15,11–20,通过原Top20及既有审核,0,62,29,35,229,45,40,21–50,仅因药内排名超过20而未通过,0,40,110,80,88,仅A在Top20
44,C384-308,tapentadol,ESR1 — Estrogen receptor,仍可探索,KWTWDQCKEHXFFR-SMDDNHRTSA-N__CHEMBL206,5,316,311,201–384,仅因药内排名超过20而未通过,0,167,306,257,573,98,93,51–100,仅因药内排名超过20而未通过,0,167,67,103,275,A和B均未进Top20
45,C384-008,lubiprostone,AR — Androgen receptor,仍可探索,WGFOBBZOWHGYQH-MXHNKVEKSA-N__CHEMBL1871,6,38,32,21–50,仅因药内排名超过20而未通过,1,177,57,3,311,236,230,201–384,仅因药内排名超过20而未通过,0,209,145,327,382,A和B均未进Top20
46,C384-199,bupivacaine,FKBP1A — Peptidyl-prolyl cis-trans isomerase FKBP1A,仍可探索,LEBVLXFERQHONN-UHFFFAOYSA-N__CHEMBL1902,6,121,115,101–200,仅因药内排名超过20而未通过,1,146,16,244,425,238,232,201–384,仅因药内排名超过20而未通过,0,211,226,256,667,A和B均未进Top20
47,C384-200,sotagliflozin,REN — Renin,仍可探索,QKDRXGFQVGOQKS-CRSSMBPESA-N__CHEMBL286,6,266,260,201–384,仅因药内排名超过20而未通过,0,383,239,157,258,208,202,201–384,仅因药内排名超过20而未通过,0,225,307,48,47,A和B均未进Top20
48,C384-084,glasdegib,KIT — Mast/stem cell growth factor receptor Kit,仍可探索,SFNSLLSYNZWZQG-VQIMIIECSA-N__CHEMBL1936,6,215,209,201–384,仅因药内排名超过20而未通过,0,137,237,157,538,20,14,11–20,通过原Top20及既有审核,0,46,33,37,145,仅B在Top20
49,C384-131,selinexor,BRAF — Serine/threonine-protein kinase B-raf,仍可探索,DEVSOMFAQLZNKR-RJRFIUFISA-N__CHEMBL5145,6,157,151,101–200,仅因药内排名超过20而未通过,0,163,206,267,112,24,18,21–50,仅因药内排名超过20而未通过,0,101,36,49,102,A和B均未进Top20
50,C384-310,avibactam,MMP7 — Matrilysin,仍可探索,NDCUAPJVLWFHHB-UHNVWZDZSA-N__CHEMBL4073,6,107,101,101–200,仅因药内排名超过20而未通过,0,77,83,133,343,249,243,201–384,仅因药内排名超过20而未通过,0,142,259,292,92,A和B均未进Top20
51,C384-321,fluocinonide,PRKCB — Protein kinase C beta type,仍可探索,WJOHZNCJWYWUJD-IUGZLZTKSA-N__CHEMBL3045,6,80,74,51–100,仅因药内排名超过20而未通过,0,46,144,124,162,164,158,101–200,仅因药内排名超过20而未通过,0,123,45,374,105,A和B均未进Top20
52,C384-032,desonide,NR3C2 — Mineralocorticoid receptor,仍可探索,WBGKWQHBNHJJPZ-LECWWXJVSA-N__CHEMBL1994,7,1,-6,1–10,通过原Top20及既有审核,3,7,5,2,64,5,-2,1–10,通过原Top20及既有审核,2,18,12,83,53,A和B均在Top20
53,C384-009,alpelisib,DPP4 — Dipeptidyl peptidase 4,仍可探索,STUWGJZDJHPWGZ-LBPRGKRZSA-N__CHEMBL284,7,18,11,11–20,通过原Top20及既有审核,1,7,93,237,598,121,114,101–200,仅因药内排名超过20而未通过,0,119,92,143,702,仅A在Top20
54,C384-031,atrasentan,EGLN3 — Prolyl hydroxylase EGLN3,仍可探索,MOTJMGVDPWRKOC-QPVYNBJUSA-N__CHEMBL5705,7,53,46,51–100,仅因药内排名超过20而未通过,0,69,119,24,590,107,100,101–200,仅因药内排名超过20而未通过,0,28,218,215,651,A和B均未进Top20
55,C384-201,methocarbamol,CA4 — Carbonic anhydrase 4,仍可探索,GNXFOGHNGIVQEH-UHFFFAOYSA-N__CHEMBL3729,7,14,7,11–20,通过原Top20及既有审核,1,83,8,35,616,5,-2,1–10,通过原Top20及既有审核,2,52,2,6,313,A和B均在Top20
56,C384-204,avanafil,FKBP1A — Peptidyl-prolyl cis-trans isomerase FKBP1A,仍可探索,WEAJZXNPAWBCOA-INIZCTEOSA-N__CHEMBL1902,7,233,226,201–384,仅因药内排名超过20而未通过,0,313,349,116,379,250,243,201–384,仅因药内排名超过20而未通过,0,257,322,195,489,A和B均未进Top20
57,C384-205,indacaterol,JAK3 — Tyrosine-protein kinase JAK3,仍可探索,QZZUEBNBZAPZLX-QFIPXVFZSA-N__CHEMBL2148,7,347,340,201–384,仅因药内排名超过20而未通过,0,330,239,362,598,363,356,201–384,仅因药内排名超过20而未通过,0,272,357,338,570,A和B均未进Top20
58,C384-207,etravirine,MAPK9 — Mitogen-activated protein kinase 9,仍可探索,PYGWGZALEOIKDF-UHFFFAOYSA-N__CHEMBL4179,7,87,80,51–100,仅因药内排名超过20而未通过,0,61,286,71,340,212,205,201–384,仅因药内排名超过20而未通过,0,172,221,217,275,A和B均未进Top20
59,C384-132,diltiazem,MMP12 — Macrophage metalloelastase,仍可探索,HSUGRBWQSSZJOP-RTWAWAEBSA-N__CHEMBL4393,7,27,20,21–50,仅因药内排名超过20而未通过,1,3,79,67,142,39,32,21–50,仅因药内排名超过20而未通过,1,5,160,87,245,A和B均未进Top20
60,C384-313,ozanimod,"PDE4D — 3',5'-cyclic-AMP phosphodiesterase 4D",仍可探索,XRVDGNKRPOAQTN-FQEVSTJZSA-N__CHEMBL288,7,237,230,201–384,仅因药内排名超过20而未通过,0,287,234,221,297,13,6,11–20,通过原Top20及既有审核,0,31,44,24,37,仅B在Top20
61,C384-314,furosemide,REN — Renin,仍可探索,ZZUFCTLCJUWOSV-UHFFFAOYSA-N__CHEMBL286,7,21,14,21–50,仅因药内排名超过20而未通过,1,21,17,362,263,206,199,201–384,仅因药内排名超过20而未通过,0,300,200,117,674,A和B均未进Top20
62,C384-322,guanfacine,GSK3A — Glycogen synthase kinase-3 alpha,仍可探索,INJOMKTZOLKMBF-UHFFFAOYSA-N__CHEMBL2850,7,204,197,201–384,仅因药内排名超过20而未通过,0,292,48,209,215,314,307,201–384,仅因药内排名超过20而未通过,0,339,318,205,520,A和B均未进Top20
63,C384-010,lasmiditan,FLT3 — Receptor-type tyrosine-protein kinase FLT3,仍可探索,XEDHVZKDSYZQBF-UHFFFAOYSA-N__CHEMBL1974,8,65,57,51–100,仅因药内排名超过20而未通过,0,35,46,217,454,125,117,101–200,仅因药内排名超过20而未通过,0,86,178,157,479,A和B均未进Top20
64,C384-033,pregabalin,ACE — Angiotensin-converting enzyme,仍可探索,AYXYPKUFHZROOJ-ZETCQYMHSA-N__CHEMBL1808,8,100,92,51–100,仅因药内排名超过20而未通过,0,39,274,110,340,187,179,101–200,仅因药内排名超过20而未通过,0,226,297,86,370,A和B均未进Top20
65,C384-034,etravirine,SRC — Proto-oncogene tyrosine-protein kinase Src,仍可探索,PYGWGZALEOIKDF-UHFFFAOYSA-N__CHEMBL267,8,145,137,101–200,仅因药内排名超过20而未通过,0,307,383,64,404,199,191,101–200,仅因药内排名超过20而未通过,0,124,353,185,226,A和B均未进Top20
66,C384-073,zavegepant,PTK2 — Focal adhesion kinase 1,仍可探索,JJVAPHYEOZSKJZ-JGCGQSQUSA-N__CHEMBL2695,8,125,117,101–200,仅因药内排名超过20而未通过,0,189,38,78,83,194,186,101–200,仅因药内排名超过20而未通过,0,289,221,99,41,A和B均未进Top20
67,C384-124,dasabuvir,PGR — Progesterone receptor,仍可探索,NBRBXGKOEOGLOI-UHFFFAOYSA-N__CHEMBL208,8,6,-2,1–10,通过原Top20及既有审核,1,60,4,22,149,35,27,21–50,仅因药内排名超过20而未通过,0,45,66,90,108,仅A在Top20
68,C384-085,imiquimod,FDPS — Farnesyl pyrophosphate synthase,仍可探索,DOUYETYNHWVLEO-UHFFFAOYSA-N__CHEMBL1782,8,80,72,51–100,仅因药内排名超过20而未通过,0,107,95,107,264,246,238,201–384,仅因药内排名超过20而未通过,0,295,144,272,359,A和B均未进Top20
69,C384-134,varenicline,"PDE9A — High affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A",仍可探索,JQSHBVHOMNKWFT-DTORHVGOSA-N__CHEMBL3535,8,49,41,21–50,仅因药内排名超过20而未通过,0,22,71,206,645,148,140,101–200,仅因药内排名超过20而未通过,0,151,194,75,471,A和B均未进Top20
70,C384-268,lacosamide,MAOB — Amine oxidase [flavin-containing] B,仍可探索,VPPJLAIAVCUEMN-GFCCVEGCSA-N__CHEMBL2039,8,26,18,21–50,仅因药内排名超过20而未通过,1,57,204,9,420,41,33,21–50,仅因药内排名超过20而未通过,0,58,34,73,405,A和B均未进Top20
71,C384-323,indomethacin,CTSC — Dipeptidyl peptidase 1,仍可探索,CGIGDMFJXJATDK-UHFFFAOYSA-N__CHEMBL2252,8,19,11,11–20,通过原Top20及既有审核,0,34,63,38,246,298,290,201–384,仅因药内排名超过20而未通过,0,281,229,338,667,仅A在Top20
72,C384-325,tofacitinib,PARP2 — Poly [ADP-ribose] polymerase 2,仍可探索,UJLAWZDWDVHWOW-YPMHNXCESA-N__CHEMBL5366,8,138,130,101–200,仅因药内排名超过20而未通过,0,189,267,54,625,122,114,101–200,仅因药内排名超过20而未通过,0,111,77,192,651,A和B均未进Top20
73,C384-326,guanfacine,THRB — Thyroid hormone receptor beta,仍可探索,INJOMKTZOLKMBF-UHFFFAOYSA-N__CHEMBL1947,8,311,303,201–384,仅因药内排名超过20而未通过,0,373,310,228,246,216,208,201–384,仅因药内排名超过20而未通过,0,281,119,260,386,A和B均未进Top20
74,C384-012,cabotegravir,PPARG — Peroxisome proliferator-activated receptor gamma,仍可探索,WCWSTNLSLKSJPK-LKFCYVNXSA-N__CHEMBL235,9,252,243,201–384,仅因药内排名超过20而未通过,0,211,222,270,377,233,224,201–384,仅因药内排名超过20而未通过,0,133,271,317,265,A和B均未进Top20
75,C384-037,terazosin,NTRK3 — NT-3 growth factor receptor,仍可探索,VCKUSRYTPJJLNI-UHFFFAOYSA-N__CHEMBL5608,9,248,239,201–384,仅因药内排名超过20而未通过,0,202,343,118,430,35,26,21–50,仅因药内排名超过20而未通过,1,66,20,77,241,A和B均未进Top20
76,C384-038,sufentanil,PDGFRA — Platelet-derived growth factor receptor alpha,仍可探索,GGCSSNBKKAUURC-UHFFFAOYSA-N__CHEMBL2007,9,123,114,101–200,仅因药内排名超过20而未通过,0,24,39,233,106,90,81,51–100,仅因药内排名超过20而未通过,1,226,214,14,151,A和B均未进Top20
77,C384-125,vaborbactam,CA1 — Carbonic anhydrase 1,仍可探索,IOOWNWLVCOUUEX-WPRPVWTQSA-N__CHEMBL261,9,8,-1,1–10,通过原Top20及既有审核,1,55,4,116,15,102,93,101–200,仅因药内排名超过20而未通过,0,23,89,266,88,仅A在Top20
78,C384-126,metoprolol,CA7 — Carbonic anhydrase 7,仍可探索,IUBSYMUCCVWXPE-UHFFFAOYSA-N__CHEMBL2326,9,2,-7,1–10,通过原Top20及既有审核,2,2,151,2,488,4,-5,1–10,通过原Top20及既有审核,3,8,12,2,564,A和B均在Top20
79,C384-209,indacaterol,CA2 — Carbonic anhydrase 2,仍可探索,QZZUEBNBZAPZLX-QFIPXVFZSA-N__CHEMBL205,9,20,11,11–20,通过原Top20及既有审核,1,21,6,53,210,12,3,11–20,通过原Top20及既有审核,3,15,20,13,164,A和B均在Top20
80,C384-211,elvitegravir,MAPK8 — Mitogen-activated protein kinase 8,仍可探索,JUZYLCPPVHEVSV-LJQANCHMSA-N__CHEMBL2276,9,102,93,101–200,仅因药内排名超过20而未通过,0,109,186,179,104,163,154,101–200,仅因药内排名超过20而未通过,0,238,77,150,158,A和B均未进Top20
81,C384-269,brexanolone,ESR2 — Estrogen receptor beta,仍可探索,AURFZBICLPNKBZ-SYBPFIFISA-N__CHEMBL242,9,241,232,201–384,仅因药内排名超过20而未通过,0,221,333,179,184,121,112,101–200,仅因药内排名超过20而未通过,0,166,51,117,218,A和B均未进Top20
82,C384-316,bumetanide,FAAH — Fatty-acid amide hydrolase 1,仍可探索,MAEIEVLCKWDQJH-UHFFFAOYSA-N__CHEMBL2243,9,99,90,51–100,仅因药内排名超过20而未通过,0,49,309,121,391,198,189,101–200,仅因药内排名超过20而未通过,0,85,222,146,647,A和B均未进Top20
83,C384-328,selegiline,ACE — Angiotensin-converting enzyme,仍可探索,MEZLKOACVSPNER-GFCCVEGCSA-N__CHEMBL1808,9,146,137,101–200,仅因药内排名超过20而未通过,0,154,199,66,569,254,245,201–384,仅因药内排名超过20而未通过,0,282,227,211,475,A和B均未进Top20
84,C384-329,tizanidine,GSK3A — Glycogen synthase kinase-3 alpha,仍可探索,XFYDIVBRZNQMJC-UHFFFAOYSA-N__CHEMBL2850,9,93,84,51–100,仅因药内排名超过20而未通过,0,215,104,185,115,147,138,101–200,仅因药内排名超过20而未通过,0,197,205,98,225,A和B均未进Top20
85,C384-013,pitavastatin,MMP12 — Macrophage metalloelastase,仍可探索,VGYFMXBACGZSIL-MCBHFWOFSA-N__CHEMBL4393,10,42,32,21–50,仅因药内排名超过20而未通过,1,79,61,16,361,43,33,21–50,仅因药内排名超过20而未通过,1,75,7,173,137,A和B均未进Top20
86,C384-014,lasmiditan,NTRK2 — BDNF/NT-3 growth factors receptor,仍可探索,XEDHVZKDSYZQBF-UHFFFAOYSA-N__CHEMBL4898,10,125,115,101–200,仅因药内排名超过20而未通过,0,65,179,137,356,202,192,201–384,仅因药内排名超过20而未通过,0,266,132,130,485,A和B均未进Top20
87,C384-212,glimepiride,CA4 — Carbonic anhydrase 4,仍可探索,WIGIZIANZCJQQY-RUCARUNLSA-N__CHEMBL3729,10,189,179,101–200,仅因药内排名超过20而未通过,0,125,327,66,286,41,31,21–50,仅因药内排名超过20而未通过,0,56,60,140,56,A和B均未进Top20
88,C384-213,aprepitant,HMGCR — 3-hydroxy-3-methylglutaryl-coenzyme A reductase,仍可探索,ATALOFNDEOCMKK-OITMNORJSA-N__CHEMBL402,10,82,72,51–100,仅因药内排名超过20而未通过,0,47,154,168,124,156,146,101–200,仅因药内排名超过20而未通过,0,206,94,176,192,A和B均未进Top20
