排序,原候选编号,小分子药物名称,新靶点基因,结合排名_每药384靶点,当前实验建议,FDA身份状态,pair_id,ensemble_drug_to_target_logit_rank_within_drug_384,usable_chemical_support_ge04,recommended_disease_is_cross_area
14,C384-158,methylnaltrexone,FKBP1A,2,仍可探索,FDA名称匹配；精确结构身份待复核,JVLBPIPGETUEET-WIXLDOGYSA-O__CHEMBL1902,2,False,True
15,C384-196,thalidomide,MIF,2,仍可探索,本轮未确认FDA批准身份,UEJJHQNACJXSKW-UHFFFAOYSA-N__CHEMBL2085,11,False,False
16,C384-197,armodafinil,NR3C2,2,仍可探索,本轮未确认FDA批准身份,YFGHCGITMMYXAQ-LJQANCHMSA-N__CHEMBL1994,55,False,False
17,C384-287,diltiazem,REN,2,仍可探索,本轮未确认FDA批准身份,HSUGRBWQSSZJOP-RTWAWAEBSA-N__CHEMBL286,118,False,False
18,C384-303,upadacitinib,PRKCB,2,仍可探索,本轮未确认FDA批准身份,WYQFJHHDOKWSHR-MNOVXSKESA-N__CHEMBL3045,343,False,False
19,C384-003,carglumic acid,MMP12,3,仍可探索,本轮未确认FDA批准身份,LCQLHJZYVOQKHU-VKHMYHEASA-N__CHEMBL4393,32,False,True
20,C384-121,diazoxide,CSF1R,3,仍可探索,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,GDLBFKVLRPITMI-UHFFFAOYSA-N__CHEMBL1844,114,False,False
21,C384-222,lenalidomide,AXL,3,仍可探索,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,GOTYRUGSSMKFNF-UHFFFAOYSA-N__CHEMBL4895,335,False,False
22,C384-288,ixabepilone,CSF1R,3,仍可探索,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,FABUFPQFXZVHFB-PVYNADRNSA-N__CHEMBL1844,53,False,False
23,C384-304,esketamine,GSK3A,3,仍可探索,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,YQEZLKZALYSWHR-ZDUSSCGKSA-N__CHEMBL2850,66,False,False
24,C384-080,ibuprofen,CA4,4,仍可探索,FDA名称匹配；精确结构身份待复核,HEFNNWSXXWATRW-UHFFFAOYSA-N__CHEMBL3729,36,True,False
25,C384-082,lisinopril,REN,4,仍可探索,本轮未确认FDA批准身份,RLAWWYSOJDYHDC-BZSNNMDCSA-N__CHEMBL286,11,True,False
26,C384-004,apixaban,FLT3,4,仍可探索,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,QNZCBYKSOIHPEH-UHFFFAOYSA-N__CHEMBL1974,81,False,True
27,C384-102,nimodipine,CA7,4,仍可探索,本轮未确认FDA批准身份,UIAGMCDKSXEBJQ-UHFFFAOYSA-N__CHEMBL2326,3,False,True
28,C384-103,etravirine,FLT3,4,仍可探索,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,PYGWGZALEOIKDF-UHFFFAOYSA-N__CHEMBL1974,55,False,True
29,C384-129,darunavir,FKBP1A,4,仍可探索,FDA名称匹配；精确结构身份待复核,CJBJHOAVZSMMDJ-HEXNFIEUSA-N__CHEMBL1902,257,False,True
30,C384-162,bupivacaine,CTSC,4,仍可探索,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,LEBVLXFERQHONN-UHFFFAOYSA-N__CHEMBL2252,79,False,True
31,C384-163,belzutifan,PGR,4,仍可探索,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,LOMMPXLFBTZENJ-ZACQAIPSSA-N__CHEMBL208,13,False,True
32,C384-198,oxaprozin,FAAH,4,仍可探索,本轮未确认FDA批准身份,OFPXSFXSNFPTHF-UHFFFAOYSA-N__CHEMBL2243,90,False,False
33,C384-290,cobimetinib,PARP2,4,仍可探索,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,BSMCAPRUBJMWDF-KRWDZBQOSA-N__CHEMBL5366,89,False,False
34,C384-305,lumateperone,COMT,4,仍可探索,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,HOIIHACBCFLJET-SFTDATJTSA-N__CHEMBL2023,310,False,False
35,C384-307,tafamidis,RARB,4,仍可探索,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,TXEIIPDJKFWEEC-UHFFFAOYSA-N__CHEMBL2008,4,False,False
36,C384-006,pregabalin,MME,5,仍可探索,本轮未确认FDA批准身份,AYXYPKUFHZROOJ-ZETCQYMHSA-N__CHEMBL1944,11,False,True
37,C384-027,cabotegravir,ALDH2,5,仍可探索,本轮未确认FDA批准身份,WCWSTNLSLKSJPK-LKFCYVNXSA-N__CHEMBL1935,122,False,True
38,C384-164,pacritinib,CA7,5,仍可探索,本轮未确认FDA批准身份,HWXVIOGONBBTBY-ONEGZZNKSA-N__CHEMBL2326,8,False,True
39,C384-166,bictegravir,MET,5,仍可探索,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,SOLUWJRYJLAZCX-LYOVBCGYSA-N__CHEMBL3717,17,False,True
40,C384-167,rimegepant,REN,5,仍可探索,本轮未确认FDA批准身份,KRNAOFGYEFKHPB-ANJVHQHFSA-N__CHEMBL286,17,False,True
41,C384-217,calcipotriene,NR3C2,5,仍可探索,本轮未确认FDA批准身份,LWQQLNNNIPYSNX-UROSTWAQSA-N__CHEMBL1994,12,False,True
42,C384-122,olanzapine,DYRK1A,5,仍可探索,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,KVWDHTXUZHCGIO-UHFFFAOYSA-N__CHEMBL2292,7,False,False
43,C384-291,avibactam,MMP8,5,仍可探索,本轮未确认FDA批准身份,NDCUAPJVLWFHHB-UHNVWZDZSA-N__CHEMBL4588,36,False,False
44,C384-308,tapentadol,ESR1,5,仍可探索,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,KWTWDQCKEHXFFR-SMDDNHRTSA-N__CHEMBL206,19,False,False
45,C384-008,lubiprostone,AR,6,仍可探索,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,WGFOBBZOWHGYQH-MXHNKVEKSA-N__CHEMBL1871,158,False,True
46,C384-199,bupivacaine,FKBP1A,6,仍可探索,FDA名称匹配；精确结构身份待复核,LEBVLXFERQHONN-UHFFFAOYSA-N__CHEMBL1902,174,False,True
47,C384-200,sotagliflozin,REN,6,仍可探索,本轮未确认FDA批准身份,QKDRXGFQVGOQKS-CRSSMBPESA-N__CHEMBL286,27,False,True
48,C384-084,glasdegib,KIT,6,仍可探索,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,SFNSLLSYNZWZQG-VQIMIIECSA-N__CHEMBL1936,30,False,False
49,C384-131,selinexor,BRAF,6,仍可探索,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,DEVSOMFAQLZNKR-RJRFIUFISA-N__CHEMBL5145,114,False,False
50,C384-310,avibactam,MMP7,6,仍可探索,本轮未确认FDA批准身份,NDCUAPJVLWFHHB-UHNVWZDZSA-N__CHEMBL4073,82,False,False
51,C384-321,fluocinonide,PRKCB,6,仍可探索,本轮未确认FDA批准身份,WJOHZNCJWYWUJD-IUGZLZTKSA-N__CHEMBL3045,54,False,False
52,C384-032,desonide,NR3C2,7,仍可探索,本轮未确认FDA批准身份,WBGKWQHBNHJJPZ-LECWWXJVSA-N__CHEMBL1994,1,True,True
53,C384-009,alpelisib,DPP4,7,仍可探索,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,STUWGJZDJHPWGZ-LBPRGKRZSA-N__CHEMBL284,7,False,True
54,C384-031,atrasentan,EGLN3,7,仍可探索,本轮未确认FDA批准身份,MOTJMGVDPWRKOC-QPVYNBJUSA-N__CHEMBL5705,345,False,True
55,C384-201,methocarbamol,CA4,7,仍可探索,FDA名称匹配；精确结构身份待复核,GNXFOGHNGIVQEH-UHFFFAOYSA-N__CHEMBL3729,9,False,True
56,C384-204,avanafil,FKBP1A,7,仍可探索,FDA名称匹配；精确结构身份待复核,WEAJZXNPAWBCOA-INIZCTEOSA-N__CHEMBL1902,101,False,True
57,C384-205,indacaterol,JAK3,7,仍可探索,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,QZZUEBNBZAPZLX-QFIPXVFZSA-N__CHEMBL2148,30,False,True
58,C384-207,etravirine,MAPK9,7,仍可探索,本轮未确认FDA批准身份,PYGWGZALEOIKDF-UHFFFAOYSA-N__CHEMBL4179,142,False,True
59,C384-132,diltiazem,MMP12,7,仍可探索,本轮未确认FDA批准身份,HSUGRBWQSSZJOP-RTWAWAEBSA-N__CHEMBL4393,45,False,False
60,C384-313,ozanimod,PDE4D,7,仍可探索,本轮未确认FDA批准身份,XRVDGNKRPOAQTN-FQEVSTJZSA-N__CHEMBL288,1,False,False
61,C384-314,furosemide,REN,7,仍可探索,本轮未确认FDA批准身份,ZZUFCTLCJUWOSV-UHFFFAOYSA-N__CHEMBL286,33,False,False
62,C384-322,guanfacine,GSK3A,7,仍可探索,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,INJOMKTZOLKMBF-UHFFFAOYSA-N__CHEMBL2850,270,False,False
63,C384-010,lasmiditan,FLT3,8,仍可探索,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,XEDHVZKDSYZQBF-UHFFFAOYSA-N__CHEMBL1974,12,False,True
64,C384-033,pregabalin,ACE,8,仍可探索,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,AYXYPKUFHZROOJ-ZETCQYMHSA-N__CHEMBL1808,81,False,True
65,C384-034,etravirine,SRC,8,仍可探索,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,PYGWGZALEOIKDF-UHFFFAOYSA-N__CHEMBL267,21,False,True
66,C384-073,zavegepant,PTK2,8,仍可探索,本轮未确认FDA批准身份,JJVAPHYEOZSKJZ-JGCGQSQUSA-N__CHEMBL2695,78,False,True
67,C384-124,dasabuvir,PGR,8,仍可探索,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,NBRBXGKOEOGLOI-UHFFFAOYSA-N__CHEMBL208,6,False,True
68,C384-085,imiquimod,FDPS,8,仍可探索,本轮未确认FDA批准身份,DOUYETYNHWVLEO-UHFFFAOYSA-N__CHEMBL1782,114,False,False
69,C384-134,varenicline,PDE9A,8,仍可探索,本轮未确认FDA批准身份,JQSHBVHOMNKWFT-DTORHVGOSA-N__CHEMBL3535,126,False,False
70,C384-268,lacosamide,MAOB,8,仍可探索,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,VPPJLAIAVCUEMN-GFCCVEGCSA-N__CHEMBL2039,4,False,False
71,C384-323,indomethacin,CTSC,8,仍可探索,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,CGIGDMFJXJATDK-UHFFFAOYSA-N__CHEMBL2252,134,False,False
72,C384-325,tofacitinib,PARP2,8,仍可探索,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,UJLAWZDWDVHWOW-YPMHNXCESA-N__CHEMBL5366,17,False,False
73,C384-326,guanfacine,THRB,8,仍可探索,FDA名称匹配；精确结构身份待复核,INJOMKTZOLKMBF-UHFFFAOYSA-N__CHEMBL1947,264,False,False
74,C384-012,cabotegravir,PPARG,9,仍可探索,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,WCWSTNLSLKSJPK-LKFCYVNXSA-N__CHEMBL235,230,False,True
75,C384-037,terazosin,NTRK3,9,仍可探索,本轮未确认FDA批准身份,VCKUSRYTPJJLNI-UHFFFAOYSA-N__CHEMBL5608,15,False,True
76,C384-038,sufentanil,PDGFRA,9,仍可探索,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,GGCSSNBKKAUURC-UHFFFAOYSA-N__CHEMBL2007,220,False,True
77,C384-125,vaborbactam,CA1,9,仍可探索,本轮未确认FDA批准身份,IOOWNWLVCOUUEX-WPRPVWTQSA-N__CHEMBL261,83,False,True
78,C384-126,metoprolol,CA7,9,仍可探索,本轮未确认FDA批准身份,IUBSYMUCCVWXPE-UHFFFAOYSA-N__CHEMBL2326,6,False,True
79,C384-209,indacaterol,CA2,9,仍可探索,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,QZZUEBNBZAPZLX-QFIPXVFZSA-N__CHEMBL205,108,False,True
80,C384-211,elvitegravir,MAPK8,9,仍可探索,本轮未确认FDA批准身份,JUZYLCPPVHEVSV-LJQANCHMSA-N__CHEMBL2276,268,False,True
81,C384-269,brexanolone,ESR2,9,仍可探索,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,AURFZBICLPNKBZ-SYBPFIFISA-N__CHEMBL242,68,False,False
82,C384-316,bumetanide,FAAH,9,仍可探索,本轮未确认FDA批准身份,MAEIEVLCKWDQJH-UHFFFAOYSA-N__CHEMBL2243,174,False,False
83,C384-328,selegiline,ACE,9,仍可探索,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,MEZLKOACVSPNER-GFCCVEGCSA-N__CHEMBL1808,164,False,False
84,C384-329,tizanidine,GSK3A,9,仍可探索,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,XFYDIVBRZNQMJC-UHFFFAOYSA-N__CHEMBL2850,141,False,False
85,C384-013,pitavastatin,MMP12,10,仍可探索,本轮未确认FDA批准身份,VGYFMXBACGZSIL-MCBHFWOFSA-N__CHEMBL4393,258,False,True
86,C384-014,lasmiditan,NTRK2,10,仍可探索,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,XEDHVZKDSYZQBF-UHFFFAOYSA-N__CHEMBL4898,70,False,True
87,C384-212,glimepiride,CA4,10,仍可探索,FDA名称匹配；精确结构身份待复核,WIGIZIANZCJQQY-RUCARUNLSA-N__CHEMBL3729,23,False,True
88,C384-213,aprepitant,HMGCR,10,仍可探索,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,ATALOFNDEOCMKK-OITMNORJSA-N__CHEMBL402,134,False,True
89,C384-214,vaborbactam,MME,10,仍可探索,本轮未确认FDA批准身份,IOOWNWLVCOUUEX-WPRPVWTQSA-N__CHEMBL1944,139,False,True
90,C384-215,memantine,NR3C2,10,仍可探索,本轮未确认FDA批准身份,BUGYDGFZZOZRHP-UHFFFAOYSA-N__CHEMBL1994,121,False,True
91,C384-135,sotalol,ALDH2,10,仍可探索,本轮未确认FDA批准身份,ZBMZVLHSJCTVON-UHFFFAOYSA-N__CHEMBL1935,55,False,False
92,C384-136,enasidenib,BRAF,10,仍可探索,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,DYLUUSLLRIQKOE-UHFFFAOYSA-N__CHEMBL5145,72,False,False
93,C384-137,desoximetasone,PRKCB,10,仍可探索,本轮未确认FDA批准身份,VWVSBHGCDBMOOT-IIEHVVJPSA-N__CHEMBL3045,237,False,False
94,C384-226,nimodipine,CA12,10,仍可探索,FDA名称匹配；精确结构身份待复核,UIAGMCDKSXEBJQ-UHFFFAOYSA-N__CHEMBL3242,5,False,False
95,C384-271,thalidomide,CDK9,10,仍可探索,本轮未确认FDA批准身份,UEJJHQNACJXSKW-UHFFFAOYSA-N__CHEMBL3116,34,False,False
96,C384-317,binimetinib,PARP2,10,仍可探索,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,ACWZRVQXLIRSDF-UHFFFAOYSA-N__CHEMBL5366,87,False,False
97,C384-318,ticagrelor,PDE9A,10,仍可探索,本轮未确认FDA批准身份,OEKWJQXRCDYSHL-FNOIDJSQSA-N__CHEMBL3535,179,False,False
98,C384-319,ixabepilone,PRKCB,10,仍可探索,本轮未确认FDA批准身份,FABUFPQFXZVHFB-PVYNADRNSA-N__CHEMBL3045,343,False,False
99,C384-330,lumateperone,ACHE,10,仍可探索,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,HOIIHACBCFLJET-SFTDATJTSA-N__CHEMBL220,47,False,False
100,C384-331,alprazolam,GSK3A,10,仍可探索,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,VREFGVBLTWBCJP-UHFFFAOYSA-N__CHEMBL2850,213,False,False
101,C384-043,indacaterol,JAK1,11,仍可探索,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,QZZUEBNBZAPZLX-QFIPXVFZSA-N__CHEMBL2835,47,False,True
102,C384-044,rimegepant,JAK2,11,仍可探索,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,KRNAOFGYEFKHPB-ANJVHQHFSA-N__CHEMBL2971,12,False,True
103,C384-045,arformoterol,MMP12,11,仍可探索,本轮未确认FDA批准身份,BPZSYCZIITTYBL-YJYMSZOUSA-N__CHEMBL4393,42,False,True
104,C384-138,carbinoxamine,FAAH,11,仍可探索,本轮未确认FDA批准身份,OJFSXZCBGQGRNV-UHFFFAOYSA-N__CHEMBL2243,50,False,True
105,C384-139,ranolazine,KDR,11,仍可探索,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,XKLMZUWKNUAPSZ-UHFFFAOYSA-N__CHEMBL279,26,False,True
106,C384-227,tetracaine,CTSC,11,仍可探索,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,GKCBAIGFKIBETG-UHFFFAOYSA-N__CHEMBL2252,54,False,True
107,C384-228,cyclobenzaprine,MAOB,11,仍可探索,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,JURKNVYFZMSNLP-UHFFFAOYSA-N__CHEMBL2039,52,False,True
108,C384-277,piperacillin,MME,11,仍可探索,本轮未确认FDA批准身份,IVBHGBMCVLDMKU-GXNBUGAJSA-N__CHEMBL1944,12,False,True
109,C384-111,lisinopril,NR3C2,11,仍可探索,本轮未确认FDA批准身份,RLAWWYSOJDYHDC-BZSNNMDCSA-N__CHEMBL1994,147,False,False
110,C384-169,varenicline,ESRRG,11,仍可探索,本轮未确认FDA批准身份,JQSHBVHOMNKWFT-DTORHVGOSA-N__CHEMBL4245,346,False,False
111,C384-218,bazedoxifene,THRB,11,仍可探索,FDA名称匹配；精确结构身份待复核,UCJGJABZCDBEDK-UHFFFAOYSA-N__CHEMBL1947,9,False,False
112,C384-334,talazoparib,MET,11,仍可探索,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,HWGQMRYQVZSGDQ-HZPDHXFCSA-N__CHEMBL3717,47,False,False
113,C384-335,relebactam,MMP8,11,仍可探索,本轮未确认FDA批准身份,SMOBCLHAZXOKDQ-ZJUUUORDSA-N__CHEMBL4588,12,False,False
114,C384-046,elvitegravir,ERBB2,12,仍可探索,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,JUZYLCPPVHEVSV-LJQANCHMSA-N__CHEMBL1824,131,False,True
115,C384-047,ivabradine,FGFR2,12,仍可探索,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,ACRHBAYQBXXRTO-OAQYLSRUSA-N__CHEMBL4142,5,False,True
116,C384-048,cilastatin,PPARG,12,仍可探索,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,DHSUYTOATWAVLW-WFVMDLQDSA-N__CHEMBL235,221,False,True
117,C384-142,vibegron,NR3C2,12,仍可探索,本轮未确认FDA批准身份,DJXRIQMCROIRCZ-XOEOCAAJSA-N__CHEMBL1994,58,False,True
118,C384-143,palbociclib,REN,12,仍可探索,本轮未确认FDA批准身份,AHJRHEGDXFFMBM-UHFFFAOYSA-N__CHEMBL286,57,False,True
119,C384-230,ondansetron,FAAH,12,仍可探索,本轮未确认FDA批准身份,FELGMEQIXOGIFQ-UHFFFAOYSA-N__CHEMBL2243,100,False,True
120,C384-232,glimepiride,REN,12,仍可探索,本轮未确认FDA批准身份,WIGIZIANZCJQQY-RUCARUNLSA-N__CHEMBL286,105,False,True
121,C384-170,anastrozole,ALK,12,仍可探索,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,YBBLVLTVTVSKRW-UHFFFAOYSA-N__CHEMBL4247,127,False,False
122,C384-293,tapinarof,ALOX5,12,仍可探索,本轮未确认FDA批准身份,ZISJNXNHJRQYJO-CMDGGOBGSA-N__CHEMBL215,85,False,False
123,C384-294,benoxinate,DHFR,12,仍可探索,本轮未确认FDA批准身份,CMHHMUWAYWTMGS-UHFFFAOYSA-N__CHEMBL202,96,False,False
124,C384-295,donepezil,PDE9A,12,仍可探索,本轮未确认FDA批准身份,ADEBPBSSDYVVLD-UHFFFAOYSA-N__CHEMBL3535,172,False,False
125,C384-336,dextromethorphan,CTSC,12,仍可探索,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,MKXZASYAUGDDCJ-NJAFHUGGSA-N__CHEMBL2252,109,False,False
126,C384-337,mirdametinib,DHFR,12,仍可探索,本轮未确认FDA批准身份,SUDAHWBOROXANE-SECBINFHSA-N__CHEMBL202,57,False,False
127,C384-338,apremilast,JAK3,12,仍可探索,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,IMOZEMNVLZVGJZ-QGZVFWFLSA-N__CHEMBL2148,10,False,False
128,C384-364,cabotegravir,PDE4D,12,仍可探索,本轮未确认FDA批准身份,WCWSTNLSLKSJPK-LKFCYVNXSA-N__CHEMBL288,149,False,False
129,C384-383,ivosidenib,GSK3B,12,仍可探索,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,WIJZXSAJMHAVGX-DHLKQENFSA-N__CHEMBL262,302,False,False
130,C384-049,pregabalin,ENPEP,13,仍可探索,本轮未确认FDA批准身份,AYXYPKUFHZROOJ-ZETCQYMHSA-N__CHEMBL3439,23,False,True
131,C384-051,rasagiline,GBA1,13,仍可探索,本轮未确认FDA批准身份,RUOKEQAAGRXIBM-GFCCVEGCSA-N__CHEMBL2179,42,False,True
132,C384-145,vorinostat,ECE1,13,仍可探索,本轮未确认FDA批准身份,WAEXFXRVDQXREF-UHFFFAOYSA-N__CHEMBL4791,62,False,True
133,C384-234,palonosetron,FKBP1A,13,仍可探索,FDA名称匹配；精确结构身份待复核,CPZBLNMUGSZIPR-NVXWUHKLSA-N__CHEMBL1902,119,False,True
134,C384-272,apixaban,CA4,13,仍可探索,FDA名称匹配；精确结构身份待复核,QNZCBYKSOIHPEH-UHFFFAOYSA-N__CHEMBL3729,64,False,False
135,C384-296,pomalidomide,NTRK2,13,仍可探索,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,UVSMNLNDYGZFPF-UHFFFAOYSA-N__CHEMBL4898,277,False,False
136,C384-339,pramipexole,CA2,13,仍可探索,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,FASDKYOPVNHBLU-ZETCQYMHSA-N__CHEMBL205,177,False,False
137,C384-367,enzalutamide,BRAF,13,仍可探索,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,WXCXUHSOUPDCQV-UHFFFAOYSA-N__CHEMBL5145,264,False,False
138,C384-368,donepezil,COMT,13,仍可探索,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,ADEBPBSSDYVVLD-UHFFFAOYSA-N__CHEMBL2023,28,False,False
139,C384-052,memantine,AR,14,仍可探索,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,BUGYDGFZZOZRHP-UHFFFAOYSA-N__CHEMBL1871,38,False,True
140,C384-053,amantadine,GBA1,14,仍可探索,本轮未确认FDA批准身份,DKNWSYNQZKUICI-UHFFFAOYSA-N__CHEMBL2179,14,False,True
141,C384-146,labetalol,CA1,14,仍可探索,本轮未确认FDA批准身份,SGUAFYQXFOLMHL-UHFFFAOYSA-N__CHEMBL261,313,False,True
142,C384-236,xanomeline,CA4,14,仍可探索,FDA名称匹配；精确结构身份待复核,JOLJIIDDOBNFHW-UHFFFAOYSA-N__CHEMBL3729,96,False,True
143,C384-237,glimepiride,MME,14,仍可探索,本轮未确认FDA批准身份,WIGIZIANZCJQQY-RUCARUNLSA-N__CHEMBL1944,104,False,True
144,C384-238,pitavastatin,MME,14,仍可探索,本轮未确认FDA批准身份,VGYFMXBACGZSIL-MCBHFWOFSA-N__CHEMBL1944,2,False,True
145,C384-240,afatinib,REN,14,仍可探索,本轮未确认FDA批准身份,ULXXDDBFHOBEHA-CWDCEQMOSA-N__CHEMBL286,349,False,True
146,C384-273,metoclopramide,CA4,14,仍可探索,FDA名称匹配；精确结构身份待复核,TTWJBBZEZQICBI-UHFFFAOYSA-N__CHEMBL3729,61,False,False
147,C384-369,rasagiline,ACE,14,仍可探索,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,RUOKEQAAGRXIBM-GFCCVEGCSA-N__CHEMBL1808,100,False,False
148,C384-370,lofexidine,GSK3A,14,仍可探索,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,KSMAGQUYOIHWFS-UHFFFAOYSA-N__CHEMBL2850,37,False,False
149,C384-371,lenalidomide,PRKCB,14,仍可探索,本轮未确认FDA批准身份,GOTYRUGSSMKFNF-UHFFFAOYSA-N__CHEMBL3045,128,False,False
150,C384-018,terazosin,PIK3CA,15,仍可探索,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,VCKUSRYTPJJLNI-UHFFFAOYSA-N__CHEMBL4005,3,False,True
151,C384-054,bupivacaine,MMP12,15,仍可探索,本轮未确认FDA批准身份,LEBVLXFERQHONN-UHFFFAOYSA-N__CHEMBL4393,136,False,True
152,C384-055,pregabalin,REN,15,仍可探索,本轮未确认FDA批准身份,AYXYPKUFHZROOJ-ZETCQYMHSA-N__CHEMBL286,39,False,True
153,C384-147,rilpivirine,MAPK9,15,仍可探索,本轮未确认FDA批准身份,YIBOMRUWOWDFLG-ONEGZZNKSA-N__CHEMBL4179,55,False,True
154,C384-149,guanfacine,ROCK2,15,仍可探索,本轮未确认FDA批准身份,INJOMKTZOLKMBF-UHFFFAOYSA-N__CHEMBL2973,88,False,True
