pair_id,record_id,endpoint,publication_date,bindingdb_date,doi
UHTHHESEBZOYNR-UHFFFAOYSA-N__CHEMBL203,65408:Kd,Kd,2008-11-21,2011-04-22,
XGALLCVXEZPNRQ-UHFFFAOYSA-N__CHEMBL203,65419:Kd,Kd,2008-11-21,2011-04-22,
KTUFNOKKBVMGRW-UHFFFAOYSA-N__CHEMBL203,65420:Kd,Kd,2008-11-21,2011-04-22,
UHTHHESEBZOYNR-UHFFFAOYSA-N__CHEMBL203,65427:Kd,Kd,2008-11-21,2011-04-22,
XGALLCVXEZPNRQ-UHFFFAOYSA-N__CHEMBL203,65436:Kd,Kd,2008-11-21,2011-04-22,
UHTHHESEBZOYNR-UHFFFAOYSA-N__CHEMBL203,65444:Kd,Kd,2008-11-21,2011-04-22,
XGALLCVXEZPNRQ-UHFFFAOYSA-N__CHEMBL203,65454:Kd,Kd,2008-11-21,2011-04-22,
UHTHHESEBZOYNR-UHFFFAOYSA-N__CHEMBL203,65461:Kd,Kd,2008-11-21,2011-04-22,
XGALLCVXEZPNRQ-UHFFFAOYSA-N__CHEMBL203,65470:Kd,Kd,2008-11-21,2011-04-22,
UHTHHESEBZOYNR-UHFFFAOYSA-N__CHEMBL203,65477:Kd,Kd,2008-11-21,2011-04-22,
MLDQJTXFUGDVEO-UHFFFAOYSA-N__CHEMBL3650,65489:Kd,Kd,2008-11-21,2011-04-22,
XGALLCVXEZPNRQ-UHFFFAOYSA-N__CHEMBL203,65883:Kd,Kd,2008-11-21,2011-04-22,
UHTHHESEBZOYNR-UHFFFAOYSA-N__CHEMBL203,65890:Kd,Kd,2008-11-21,2011-04-22,
CUIHSIWYWATEQL-UHFFFAOYSA-N__CHEMBL2148,66047:Ki,Ki,2008-11-21,2011-04-22,
ZBNZXTGUTAYRHI-UHFFFAOYSA-N__CHEMBL3961,66412:Kd,Kd,2008-11-21,2011-04-23,
XGALLCVXEZPNRQ-UHFFFAOYSA-N__CHEMBL203,66428:Kd,Kd,2008-11-21,2011-04-23,
UHTHHESEBZOYNR-UHFFFAOYSA-N__CHEMBL203,66435:Kd,Kd,2008-11-21,2011-04-23,
BCFGMOOMADDAQU-UHFFFAOYSA-N__CHEMBL1824,66442:Kd,Kd,2008-11-21,2011-04-23,
ZBNZXTGUTAYRHI-UHFFFAOYSA-N__CHEMBL3009,66446:Kd,Kd,2008-11-21,2011-04-23,
UHTHHESEBZOYNR-UHFFFAOYSA-N__CHEMBL3009,66453:Kd,Kd,2008-11-21,2011-04-23,
UHTHHESEBZOYNR-UHFFFAOYSA-N__CHEMBL2742,66704:Kd,Kd,2008-11-21,2011-04-23,
UHTHHESEBZOYNR-UHFFFAOYSA-N__CHEMBL2742,66714:Kd,Kd,2008-11-21,2011-04-23,
ZBNZXTGUTAYRHI-UHFFFAOYSA-N__CHEMBL3587,66771:Kd,Kd,2008-11-21,2011-04-23,
ZBNZXTGUTAYRHI-UHFFFAOYSA-N__CHEMBL5903,66965:Kd,Kd,2008-11-21,2011-04-23,
ZBNZXTGUTAYRHI-UHFFFAOYSA-N__CHEMBL5251,66990:Kd,Kd,2008-11-21,2011-04-23,
VYFYYTLLBUKUHU-UHFFFAOYSA-N__CHEMBL238,170188:Ki,Ki,1994-12-28,2012-02-03,
VYFYYTLLBUKUHU-UHFFFAOYSA-N__CHEMBL238,170189:Ki,Ki,1994-12-28,2012-02-03,
VYFYYTLLBUKUHU-UHFFFAOYSA-N__CHEMBL238,170190:Ki,Ki,1994-12-28,2012-02-03,
VYFYYTLLBUKUHU-UHFFFAOYSA-N__CHEMBL238,170191:Ki,Ki,1994-12-28,2012-02-03,
VYFYYTLLBUKUHU-UHFFFAOYSA-N__CHEMBL238,170192:Ki,Ki,1994-12-28,2012-02-03,
ZAFYATHCZYHLPB-UHFFFAOYSA-N__CHEMBL4956,170475:Ki,Ki,1993-12-28,2012-02-09,
RAPZEAPATHNIPO-UHFFFAOYSA-N__CHEMBL228,172720:Ki,Ki,1996-12-28,2012-02-24,10.1007/bf02245606
PHLBKPHSAVXXEF-UHFFFAOYSA-N__CHEMBL228,175292:Ki,Ki,1997-12-28,2012-03-01,
PHLBKPHSAVXXEF-UHFFFAOYSA-N__CHEMBL228,175293:Ki,Ki,1997-12-28,2012-03-01,
RTHCYVBBDHJXIQ-UHFFFAOYSA-N__CHEMBL222,175385:Ki,Ki,1997-12-28,2012-03-01,
RTHCYVBBDHJXIQ-UHFFFAOYSA-N__CHEMBL222,175387:Ki,Ki,1997-12-28,2012-03-01,
KYYIDSXMWOZKMP-UHFFFAOYSA-N__CHEMBL222,175412:Ki,Ki,1997-12-28,2012-03-01,
KYYIDSXMWOZKMP-UHFFFAOYSA-N__CHEMBL222,175414:Ki,Ki,1997-12-28,2012-03-01,
PHLBKPHSAVXXEF-UHFFFAOYSA-N__CHEMBL222,175421:Ki,Ki,1997-12-28,2012-03-01,
PHLBKPHSAVXXEF-UHFFFAOYSA-N__CHEMBL222,175423:Ki,Ki,1997-12-28,2012-03-01,
PHLBKPHSAVXXEF-UHFFFAOYSA-N__CHEMBL228,176067:Ki,Ki,1997-12-11,2012-03-03,10.1016/s0014-2999(97)01393-9
YWPHCCPCQOJSGZ-UHFFFAOYSA-N__CHEMBL228,176070:Ki,Ki,1997-12-11,2012-03-03,10.1016/s0014-2999(97)01393-9
PNVNVHUZROJLTJ-UHFFFAOYSA-N__CHEMBL238,176109:Ki,Ki,1997-12-11,2012-03-03,10.1016/s0014-2999(97)01393-9
SNPPWIUOZRMYNY-UHFFFAOYSA-N__CHEMBL222,176114:Ki,Ki,1997-12-11,2012-03-03,10.1016/s0014-2999(97)01393-9
RTHCYVBBDHJXIQ-UHFFFAOYSA-N__CHEMBL222,176125:Ki,Ki,1997-12-11,2012-03-03,10.1016/s0014-2999(97)01393-9
PHLBKPHSAVXXEF-UHFFFAOYSA-N__CHEMBL222,176147:Ki,Ki,1997-12-11,2012-03-03,10.1016/s0014-2999(97)01393-9
YWPHCCPCQOJSGZ-UHFFFAOYSA-N__CHEMBL222,176150:Ki,Ki,1997-12-11,2012-03-03,10.1016/s0014-2999(97)01393-9
RZVAJINKPMORJF-UHFFFAOYSA-N__CHEMBL230,176668:Ki,Ki,1998-12-28,2012-03-04,10.1016/s0002-9343(98)00091-6
CGIGDMFJXJATDK-UHFFFAOYSA-N__CHEMBL230,176677:Ki,Ki,1998-12-28,2012-03-04,10.1016/s0002-9343(98)00091-6
OZWKMVRBQXNZKK-UHFFFAOYSA-N__CHEMBL230,176679:Ki,Ki,1998-12-28,2012-03-04,10.1016/s0002-9343(98)00091-6
OFPXSFXSNFPTHF-UHFFFAOYSA-N__CHEMBL230,176685:Ki,Ki,1998-12-28,2012-03-04,10.1016/s0002-9343(98)00091-6
KBOPZPXVLCULAV-UHFFFAOYSA-N__CHEMBL230,178979:Ki,Ki,1999-12-22,2012-04-12,10.1073/pnas.96.13.7563
CGIGDMFJXJATDK-UHFFFAOYSA-N__CHEMBL230,179003:Ki,Ki,1999-12-22,2012-04-12,10.1073/pnas.96.13.7563
CGIGDMFJXJATDK-UHFFFAOYSA-N__CHEMBL230,179004:Ki,Ki,1999-12-22,2012-04-12,10.1073/pnas.96.13.7563
OZWKMVRBQXNZKK-UHFFFAOYSA-N__CHEMBL230,179007:Ki,Ki,1999-12-22,2012-04-12,10.1073/pnas.96.13.7563
OZWKMVRBQXNZKK-UHFFFAOYSA-N__CHEMBL230,179008:Ki,Ki,1999-12-22,2012-04-12,10.1073/pnas.96.13.7563
ZRVUJXDFFKFLMG-UHFFFAOYSA-N__CHEMBL230,179015:Ki,Ki,1999-12-22,2012-04-12,10.1073/pnas.96.13.7563
ZRVUJXDFFKFLMG-UHFFFAOYSA-N__CHEMBL230,179016:Ki,Ki,1999-12-22,2012-04-12,10.1073/pnas.96.13.7563
RZVAJINKPMORJF-UHFFFAOYSA-N__CHEMBL230,179027:Ki,Ki,1999-12-22,2012-04-12,10.1073/pnas.96.13.7563
RZVAJINKPMORJF-UHFFFAOYSA-N__CHEMBL230,179028:Ki,Ki,1999-12-22,2012-04-12,10.1073/pnas.96.13.7563
CGIGDMFJXJATDK-UHFFFAOYSA-N__CHEMBL230,179197:Ki,Ki,1999-12-28,2012-04-12,
CGIGDMFJXJATDK-UHFFFAOYSA-N__CHEMBL230,179198:Ki,Ki,1999-12-28,2012-04-12,
CGIGDMFJXJATDK-UHFFFAOYSA-N__CHEMBL230,179199:Ki,Ki,1999-12-28,2012-04-12,
ZRVUJXDFFKFLMG-UHFFFAOYSA-N__CHEMBL230,179200:Ki,Ki,1999-12-28,2012-04-12,
CGIGDMFJXJATDK-UHFFFAOYSA-N__CHEMBL230,181702:Ki,Ki,2001-12-28,2012-04-25,
CGIGDMFJXJATDK-UHFFFAOYSA-N__CHEMBL230,181703:Ki,Ki,2001-12-28,2012-04-25,
CGIGDMFJXJATDK-UHFFFAOYSA-N__CHEMBL230,181704:Ki,Ki,2001-12-28,2012-04-25,
ZRVUJXDFFKFLMG-UHFFFAOYSA-N__CHEMBL230,181706:Ki,Ki,2001-12-28,2012-04-25,
PNVNVHUZROJLTJ-UHFFFAOYSA-N__CHEMBL238,182295:Ki,Ki,2001-12-28,2012-05-02,
PNVNVHUZROJLTJ-UHFFFAOYSA-N__CHEMBL238,182668:Ki,Ki,2001-12-28,2012-05-02,10.1016/S0893-133X(01)00298-6
XMXHEBAFVSFQEX-UHFFFAOYSA-N__CHEMBL1899,182739:Ki,Ki,2001-12-28,2012-05-02,10.1016/S0893-133X(01)00285-8
RTHCYVBBDHJXIQ-UHFFFAOYSA-N__CHEMBL222,184207:Ki,Ki,2002-12-28,2012-05-09,
RTHCYVBBDHJXIQ-UHFFFAOYSA-N__CHEMBL222,184208:Ki,Ki,2002-12-28,2012-05-09,
RTHCYVBBDHJXIQ-UHFFFAOYSA-N__CHEMBL222,184209:Ki,Ki,2002-12-28,2012-05-09,
RTHCYVBBDHJXIQ-UHFFFAOYSA-N__CHEMBL222,184210:Ki,Ki,2002-12-28,2012-05-09,
SNPPWIUOZRMYNY-UHFFFAOYSA-N__CHEMBL222,184761:Ki,Ki,2002-12-28,2012-05-13,10.1016/S0893-133X(02)00346-9
RTHCYVBBDHJXIQ-UHFFFAOYSA-N__CHEMBL222,184763:Ki,Ki,2002-12-28,2012-05-13,10.1016/S0893-133X(02)00346-9
PNVNVHUZROJLTJ-UHFFFAOYSA-N__CHEMBL238,187233:Ki,Ki,2003-12-28,2012-05-29,10.1016/s0028-3908(03)00268-5
PNVNVHUZROJLTJ-UHFFFAOYSA-N__CHEMBL238,187565:Ki,Ki,2004-12-01,2012-05-29,10.1016/j.biopsych.2003.07.006
PNVNVHUZROJLTJ-UHFFFAOYSA-N__CHEMBL238,187566:Ki,Ki,2004-12-01,2012-05-29,10.1016/j.biopsych.2003.07.006
KTUFNOKKBVMGRW-UHFFFAOYSA-N__CHEMBL4247,189401:Ki,Ki,2006-12-28,2012-06-10,10.1073/pnas.0511292103
HHZIURLSWUIHRB-UHFFFAOYSA-N__CHEMBL4142,189414:Ki,Ki,2006-12-28,2012-06-10,10.1073/pnas.0511292103
KTUFNOKKBVMGRW-UHFFFAOYSA-N__CHEMBL1974,189417:Ki,Ki,2006-12-28,2012-06-10,10.1073/pnas.0511292103
HHZIURLSWUIHRB-UHFFFAOYSA-N__CHEMBL2971,189424:Ki,Ki,2006-12-28,2012-06-10,10.1073/pnas.0511292103
HHZIURLSWUIHRB-UHFFFAOYSA-N__CHEMBL4898,189430:Ki,Ki,2006-12-28,2012-06-10,10.1073/pnas.0511292103
KTUFNOKKBVMGRW-UHFFFAOYSA-N__CHEMBL4898,189431:Ki,Ki,2006-12-28,2012-06-10,10.1073/pnas.0511292103
KTUFNOKKBVMGRW-UHFFFAOYSA-N__CHEMBL2007,189435:Ki,Ki,2006-12-28,2012-06-10,10.1073/pnas.0511292103
HHZIURLSWUIHRB-UHFFFAOYSA-N__CHEMBL4128,189438:Ki,Ki,2006-12-28,2012-06-10,10.1073/pnas.0511292103
HHZIURLSWUIHRB-UHFFFAOYSA-N__CHEMBL3905,189448:Ki,Ki,2006-12-28,2012-06-10,10.1073/pnas.0511292103
KYYIDSXMWOZKMP-UHFFFAOYSA-N__CHEMBL238,189515:Ki,Ki,2006-12-28,2012-06-10,10.1124/jpet.106.103382
KYYIDSXMWOZKMP-UHFFFAOYSA-N__CHEMBL222,189524:Ki,Ki,2006-12-28,2012-06-10,10.1124/jpet.106.103382
KYYIDSXMWOZKMP-UHFFFAOYSA-N__CHEMBL222,189525:Ki,Ki,2006-12-28,2012-06-10,10.1124/jpet.106.103382
KYYIDSXMWOZKMP-UHFFFAOYSA-N__CHEMBL222,189526:Ki,Ki,2006-12-28,2012-06-10,10.1124/jpet.106.103382
NTJOBXMMWNYJFB-UHFFFAOYSA-N__CHEMBL1899,190318:Ki,Ki,2009-12-28,2012-06-12,10.1007/s00213-009-1521-8
NTJOBXMMWNYJFB-UHFFFAOYSA-N__CHEMBL238,190342:Ki,Ki,2009-12-28,2012-06-12,10.1007/s00213-009-1521-8
NTJOBXMMWNYJFB-UHFFFAOYSA-N__CHEMBL222,190346:Ki,Ki,2009-12-28,2012-06-12,10.1007/s00213-009-1521-8
ALWKGYPQUAPLQC-UHFFFAOYSA-N__CHEMBL220,200776:Ki,Ki,2012-10-28,2012-10-29,10.1111/j.1747-0285.2012.01435.x
ADEBPBSSDYVVLD-UHFFFAOYSA-N__CHEMBL220,200777:Ki,Ki,2012-10-28,2012-10-29,10.1111/j.1747-0285.2012.01435.x
ALWKGYPQUAPLQC-UHFFFAOYSA-N__CHEMBL1914,200790:Ki,Ki,2012-10-28,2012-10-29,10.1111/j.1747-0285.2012.01435.x
RAPZEAPATHNIPO-UHFFFAOYSA-N__CHEMBL228,228534:Ki,Ki,2013-12-03,2014-05-05,
RBTBFTRPCNLSDE-UHFFFAOYSA-N__CHEMBL220,248230:Ki,Ki,2013-10-22,2014-10-06,10.1021/bi401043w
WAEXFXRVDQXREF-UHFFFAOYSA-N__CHEMBL325,374990:Kd,Kd,2013-09-13,2017-02-14,10.1074/jbc.M113.490706
WAEXFXRVDQXREF-UHFFFAOYSA-N__CHEMBL1937,374991:Kd,Kd,2013-09-13,2017-02-14,10.1074/jbc.M113.490706
CGIGDMFJXJATDK-UHFFFAOYSA-N__CHEMBL230,388945:Kd,Kd,2017-04-28,2017-04-17,10.1016/j.bioorg.2017.02.006
YASAKCUCGLMORW-UHFFFAOYSA-N__CHEMBL235,406731:Ki,Ki,2010-10-28,2017-06-16,10.3109/14756360903468171
ZCVMWBYGMWKGHF-UHFFFAOYSA-N__CHEMBL2755,410537:Ki,Ki,2012-02-28,2017-07-03,10.3109/14756366.2011.572879
PJDFLNIOAUIZSL-UHFFFAOYSA-N__CHEMBL2044,637074:Ki,Ki,2019-01-29,2019-05-25,
SNPPWIUOZRMYNY-UHFFFAOYSA-N__CHEMBL222,776904:Ki,Ki,2018-04-17,2020-03-12,
KYYIDSXMWOZKMP-UHFFFAOYSA-N__CHEMBL222,776924:Ki,Ki,2018-04-17,2020-03-12,
KYYIDSXMWOZKMP-UHFFFAOYSA-N__CHEMBL238,776925:Ki,Ki,2018-04-17,2020-03-12,
ONIQOQHATWINJY-UHFFFAOYSA-N__CHEMBL279,841260:Ki,Ki,2019-11-05,2020-09-08,
PJDFLNIOAUIZSL-UHFFFAOYSA-N__CHEMBL2044,963800:Ki,Ki,2020-10-13,2021-06-01,
CVWXJKQAOSCOAB-UHFFFAOYSA-N__CHEMBL1974,1236754:Kd,Kd,2023-01-03,2023-02-26,
CVWXJKQAOSCOAB-UHFFFAOYSA-N__CHEMBL1974,1236774:Kd,Kd,2023-01-03,2023-02-26,
CVWXJKQAOSCOAB-UHFFFAOYSA-N__CHEMBL1974,1236789:Kd,Kd,2023-01-03,2023-02-26,
CVWXJKQAOSCOAB-UHFFFAOYSA-N__CHEMBL1974,1236804:Kd,Kd,2023-01-03,2023-02-26,
CVWXJKQAOSCOAB-UHFFFAOYSA-N__CHEMBL3778,1236814:Kd,Kd,2023-01-03,2023-02-26,
GYQYAJJFPNQOOW-UHFFFAOYSA-N__CHEMBL1974,1476134:Ki,Ki,2025-01-09,2025-05-22,
GYQYAJJFPNQOOW-UHFFFAOYSA-N__CHEMBL1974,1476136:Ki,Ki,2025-01-09,2025-05-22,
BZZKEPGENYLQSC-FIBGUPNXSA-N__CHEMBL2971,1554169:Kd,Kd,2025-07-08,2025-10-23,
BNRNXUUZRGQAQC-UHFFFAOYSA-N__CHEMBL1827,50023369:Ki,Ki,2003-03-17,2009-11-10,10.1016/s0960-894x(02)01036-3
OFCNXPDARWKPPY-UHFFFAOYSA-N__CHEMBL1929,50042737:Ki,Ki,1996-08-23,2009-11-10,10.1021/jm950876u
JZUFKLXOESDKRF-UHFFFAOYSA-N__CHEMBL205,50075927:Ki,Ki,2013-03-04,2014-12-25,10.1016/j.bmc.2012.07.024
JZUFKLXOESDKRF-UHFFFAOYSA-N__CHEMBL205,50098085:Ki,Ki,2014-05-09,2015-02-10,10.1016/j.bmc.2014.04.006
BNRNXUUZRGQAQC-UHFFFAOYSA-N__CHEMBL1827,50121152:Ki,Ki,2003-01-23,2009-11-10,10.1021/jm0202573
BNRNXUUZRGQAQC-UHFFFAOYSA-N__CHEMBL1827,50122776:Ki,Ki,2004-01-22,2009-11-10,10.1021/jm020521s
WAEXFXRVDQXREF-UHFFFAOYSA-N__CHEMBL1865,50162535:Ki,Ki,2010-05-21,2010-11-20,10.1016/j.bmcl.2010.04.041
WAEXFXRVDQXREF-UHFFFAOYSA-N__CHEMBL325,50162548:Ki,Ki,2010-05-21,2010-11-20,10.1016/j.bmcl.2010.04.041
ADEBPBSSDYVVLD-UHFFFAOYSA-N__CHEMBL220,50164264:Ki,Ki,2010-08-19,2011-03-19,10.1021/jm100293f
CVWXJKQAOSCOAB-UHFFFAOYSA-N__CHEMBL4247,50165692:Kd,Kd,2009-10-02,2011-06-11,10.1182/blood-2009-05-222034
MLDQJTXFUGDVEO-UHFFFAOYSA-N__CHEMBL4247,50165793:Kd,Kd,2009-10-02,2011-06-11,10.1182/blood-2009-05-222034
CVWXJKQAOSCOAB-UHFFFAOYSA-N__CHEMBL1974,50166562:Kd,Kd,2009-10-02,2011-06-11,10.1182/blood-2009-05-222034
CVWXJKQAOSCOAB-UHFFFAOYSA-N__CHEMBL1974,50167551:Kd,Kd,2009-10-02,2011-06-11,10.1182/blood-2009-05-222034
NHHQJBCNYHBUSI-UHFFFAOYSA-N__CHEMBL1936,50177686:Kd,Kd,2011-11-09,2012-07-19,10.1038/nbt.1990
KTUFNOKKBVMGRW-UHFFFAOYSA-N__CHEMBL4005,50177695:Kd,Kd,2011-11-09,2012-07-19,10.1038/nbt.1990
XGALLCVXEZPNRQ-UHFFFAOYSA-N__CHEMBL4005,50177701:Kd,Kd,2011-11-09,2012-07-19,10.1038/nbt.1990
CVWXJKQAOSCOAB-UHFFFAOYSA-N__CHEMBL1974,50177812:Kd,Kd,2011-11-09,2012-07-19,10.1038/nbt.1990
UHTHHESEBZOYNR-UHFFFAOYSA-N__CHEMBL203,50177827:Kd,Kd,2011-11-09,2012-07-19,10.1038/nbt.1990
XGALLCVXEZPNRQ-UHFFFAOYSA-N__CHEMBL4005,50177992:Kd,Kd,2011-11-09,2012-07-19,10.1038/nbt.1990
CVWXJKQAOSCOAB-UHFFFAOYSA-N__CHEMBL4005,50178259:Kd,Kd,2011-11-09,2012-07-19,10.1038/nbt.1990
UBPYILGKFZZVDX-UHFFFAOYSA-N__CHEMBL1862,50178279:Kd,Kd,2011-11-09,2012-07-19,10.1038/nbt.1990
CUIHSIWYWATEQL-UHFFFAOYSA-N__CHEMBL4005,50178335:Kd,Kd,2011-11-09,2012-07-19,10.1038/nbt.1990
UBPYILGKFZZVDX-UHFFFAOYSA-N__CHEMBL4005,50178378:Kd,Kd,2011-11-09,2012-07-19,10.1038/nbt.1990
NHHQJBCNYHBUSI-UHFFFAOYSA-N__CHEMBL1936,50178420:Kd,Kd,2011-11-09,2012-07-19,10.1038/nbt.1990
CVWXJKQAOSCOAB-UHFFFAOYSA-N__CHEMBL1862,50178440:Kd,Kd,2011-11-09,2012-07-19,10.1038/nbt.1990
NHHQJBCNYHBUSI-UHFFFAOYSA-N__CHEMBL4005,50178663:Kd,Kd,2011-11-09,2012-07-19,10.1038/nbt.1990
NHHQJBCNYHBUSI-UHFFFAOYSA-N__CHEMBL1936,50178771:Kd,Kd,2011-11-09,2012-07-19,10.1038/nbt.1990
NHHQJBCNYHBUSI-UHFFFAOYSA-N__CHEMBL1936,50178816:Kd,Kd,2011-11-09,2012-07-19,10.1038/nbt.1990
XGALLCVXEZPNRQ-UHFFFAOYSA-N__CHEMBL203,50178872:Kd,Kd,2011-11-09,2012-07-19,10.1038/nbt.1990
NHHQJBCNYHBUSI-UHFFFAOYSA-N__CHEMBL4005,50178873:Kd,Kd,2011-11-09,2012-07-19,10.1038/nbt.1990
XGALLCVXEZPNRQ-UHFFFAOYSA-N__CHEMBL203,50178935:Kd,Kd,2011-11-09,2012-07-19,10.1038/nbt.1990
CVWXJKQAOSCOAB-UHFFFAOYSA-N__CHEMBL1862,50178974:Kd,Kd,2011-11-09,2012-07-19,10.1038/nbt.1990
MLDQJTXFUGDVEO-UHFFFAOYSA-N__CHEMBL3717,50178992:Kd,Kd,2011-11-09,2012-07-19,10.1038/nbt.1990
UBPYILGKFZZVDX-UHFFFAOYSA-N__CHEMBL1862,50178998:Kd,Kd,2011-11-09,2012-07-19,10.1038/nbt.1990
CVWXJKQAOSCOAB-UHFFFAOYSA-N__CHEMBL4005,50179114:Kd,Kd,2011-11-09,2012-07-19,10.1038/nbt.1990
CUIHSIWYWATEQL-UHFFFAOYSA-N__CHEMBL4005,50179136:Kd,Kd,2011-11-09,2012-07-19,10.1038/nbt.1990
UHTHHESEBZOYNR-UHFFFAOYSA-N__CHEMBL2742,50180037:Kd,Kd,2011-11-09,2012-07-19,10.1038/nbt.1990
CYOHGALHFOKKQC-UHFFFAOYSA-N__CHEMBL1936,50180296:Kd,Kd,2011-11-09,2012-07-19,10.1038/nbt.1990
CVWXJKQAOSCOAB-UHFFFAOYSA-N__CHEMBL4005,50180304:Kd,Kd,2011-11-09,2012-07-19,10.1038/nbt.1990
CVWXJKQAOSCOAB-UHFFFAOYSA-N__CHEMBL1862,50180435:Kd,Kd,2011-11-09,2012-07-19,10.1038/nbt.1990
CUIHSIWYWATEQL-UHFFFAOYSA-N__CHEMBL4005,50180866:Kd,Kd,2011-11-09,2012-07-19,10.1038/nbt.1990
XGALLCVXEZPNRQ-UHFFFAOYSA-N__CHEMBL203,50180879:Kd,Kd,2011-11-09,2012-07-19,10.1038/nbt.1990
MLDQJTXFUGDVEO-UHFFFAOYSA-N__CHEMBL203,50180901:Kd,Kd,2011-11-09,2012-07-19,10.1038/nbt.1990
CVWXJKQAOSCOAB-UHFFFAOYSA-N__CHEMBL1974,50181000:Kd,Kd,2011-11-09,2012-07-19,10.1038/nbt.1990
NHHQJBCNYHBUSI-UHFFFAOYSA-N__CHEMBL4005,50181005:Kd,Kd,2011-11-09,2012-07-19,10.1038/nbt.1990
NHHQJBCNYHBUSI-UHFFFAOYSA-N__CHEMBL1936,50181133:Kd,Kd,2011-11-09,2012-07-19,10.1038/nbt.1990
CVWXJKQAOSCOAB-UHFFFAOYSA-N__CHEMBL4005,50181179:Kd,Kd,2011-11-09,2012-07-19,10.1038/nbt.1990
UBPYILGKFZZVDX-UHFFFAOYSA-N__CHEMBL1862,50181187:Kd,Kd,2011-11-09,2012-07-19,10.1038/nbt.1990
MLDQJTXFUGDVEO-UHFFFAOYSA-N__CHEMBL4005,50181287:Kd,Kd,2011-11-09,2012-07-19,10.1038/nbt.1990
KTUFNOKKBVMGRW-UHFFFAOYSA-N__CHEMBL1974,50181330:Kd,Kd,2011-11-09,2012-07-19,10.1038/nbt.1990
