pairId,project_entity_ids,drug_names,ligand_inchikey,ligand_smiles,target_chembl_id,gene_symbol,target_class_zh,assay_lane,result_category,result_category_zh,recommended_use_zh,boltz_evidence_tier,boltzAffinityProbabilityBinary,boltzLigandIptm,boltz_target_qualification,gnina_structure_evidence_tier,dual_structure_support_ab,dta_bidirectional_top10pct_concordant,conplex_rank_within_target,conplex_rank_within_ligand,drugclip_rank_within_target,drugclip_rank_within_ligand,novelty_class,max_tanimoto_to_target_positive,receptor_protocol_status,redock_status,redock_best_symmetry_rmsd_A,effective_known_control,known_flag_conflict,technical_status_zh,task_code,start_condition,planned_runs
LOUPRKONTZGTKE-LHHVKLHASA-N__CHEMBL2041,UNII:ITX08688JL,quinidine,LOUPRKONTZGTKE-LHHVKLHASA-N,C=C[C@H]1C[N@@]2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,CHEMBL2041,RET,激酶,KINASE_BIOCHEMICAL,09_TECHNICAL_INCOMPLETE,技术未完成,修正配体构象或模型输入后重算,TECHNICAL_INCOMPLETE,,,BOLTZ_REMOTE_QUALIFIED,,False,False,147.0,12.0,677.0,333.0,N3_REMOTE,0.2448979591836734,FROZEN_PASS,PASS,0.8709,False,False,Boltz技术未完成,C0_QUINIDINE_INPUT_REPAIR,enumerate correct stereochemistry/protonation and generate valid conformer,1
LOUPRKONTZGTKE-LHHVKLHASA-N__CHEMBL4393,UNII:ITX08688JL,quinidine,LOUPRKONTZGTKE-LHHVKLHASA-N,C=C[C@H]1C[N@@]2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,CHEMBL4393,MMP12,酶（非激酶）,ENZYME_BIOCHEMICAL,09_TECHNICAL_INCOMPLETE,技术未完成,修正配体构象或模型输入后重算,TECHNICAL_INCOMPLETE,,,BOLTZ_REMOTE_QUALIFIED,OUT_OF_DOMAIN_EXPLORATORY,False,False,332.0,13.0,618.0,304.0,N3_REMOTE,0.2105263157894736,FROZEN_PASS,PASS,1.167,False,False,Boltz技术未完成,C0_QUINIDINE_INPUT_REPAIR,enumerate correct stereochemistry/protonation and generate valid conformer,1
LOUPRKONTZGTKE-LHHVKLHASA-N__CHEMBL4073,UNII:ITX08688JL,quinidine,LOUPRKONTZGTKE-LHHVKLHASA-N,C=C[C@H]1C[N@@]2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,CHEMBL4073,MMP7,酶（非激酶）,ENZYME_BIOCHEMICAL,09_TECHNICAL_INCOMPLETE,技术未完成,修正配体构象或模型输入后重算,TECHNICAL_INCOMPLETE,,,BOLTZ_REMOTE_QUALIFIED,,False,False,381.0,20.0,672.0,274.0,N3_REMOTE,0.2125,FROZEN_PASS,PASS,0.8416,False,False,Boltz技术未完成,C0_QUINIDINE_INPUT_REPAIR,enumerate correct stereochemistry/protonation and generate valid conformer,1
LOUPRKONTZGTKE-LHHVKLHASA-N__CHEMBL1899,UNII:ITX08688JL,quinidine,LOUPRKONTZGTKE-LHHVKLHASA-N,C=C[C@H]1C[N@@]2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,CHEMBL1899,HTR3A,离子通道,ION_CHANNEL_FUNCTIONAL,09_TECHNICAL_INCOMPLETE,技术未完成,修正配体构象或模型输入后重算,TECHNICAL_INCOMPLETE,,,BOLTZ_LOCAL_QUALIFIED,OUT_OF_DOMAIN_EXPLORATORY,False,False,570.0,30.0,124.0,21.0,N3_REMOTE,0.2894736842105263,FROZEN_PASS,PASS,0.1773,False,False,Boltz技术未完成,C0_QUINIDINE_INPUT_REPAIR,enumerate correct stereochemistry/protonation and generate valid conformer,1
LOUPRKONTZGTKE-LHHVKLHASA-N__CHEMBL1844,UNII:ITX08688JL,quinidine,LOUPRKONTZGTKE-LHHVKLHASA-N,C=C[C@H]1C[N@@]2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,CHEMBL1844,CSF1R,激酶,KINASE_BIOCHEMICAL,09_TECHNICAL_INCOMPLETE,技术未完成,修正配体构象或模型输入后重算,TECHNICAL_INCOMPLETE,,,BOLTZ_LOCAL_QUALIFIED,OUT_OF_DOMAIN_EXPLORATORY,False,False,111.0,11.0,574.0,187.0,N3_REMOTE,0.2307692307692307,FROZEN_PASS,PASS,0.4616,False,False,Boltz技术未完成,C0_QUINIDINE_INPUT_REPAIR,enumerate correct stereochemistry/protonation and generate valid conformer,1
LOUPRKONTZGTKE-LHHVKLHASA-N__CHEMBL3142,UNII:ITX08688JL,quinidine,LOUPRKONTZGTKE-LHHVKLHASA-N,C=C[C@H]1C[N@@]2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,CHEMBL3142,PRKDC,激酶,KINASE_BIOCHEMICAL,09_TECHNICAL_INCOMPLETE,技术未完成,修正配体构象或模型输入后重算,TECHNICAL_INCOMPLETE,,,BOLTZ_GATE_A_FAIL,OUT_OF_DOMAIN_EXPLORATORY,False,False,159.0,5.0,552.0,195.0,N3_REMOTE,0.2696629213483146,FROZEN_PASS,PASS,0.944,False,False,Boltz技术未完成,C0_QUINIDINE_INPUT_REPAIR,enumerate correct stereochemistry/protonation and generate valid conformer,1
LOUPRKONTZGTKE-LHHVKLHASA-N__CHEMBL4618,UNII:ITX08688JL,quinidine,LOUPRKONTZGTKE-LHHVKLHASA-N,C=C[C@H]1C[N@@]2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,CHEMBL4618,LTA4H,酶（非激酶）,ENZYME_BIOCHEMICAL,09_TECHNICAL_INCOMPLETE,技术未完成,修正配体构象或模型输入后重算,TECHNICAL_INCOMPLETE,,,BOLTZ_GATE_A_FAIL,OUT_OF_DOMAIN_EXPLORATORY,False,False,568.0,234.5,44.0,13.0,N3_REMOTE,0.23,FROZEN_PASS,PASS,0.764,False,False,Boltz技术未完成,C0_QUINIDINE_INPUT_REPAIR,enumerate correct stereochemistry/protonation and generate valid conformer,1
LOUPRKONTZGTKE-LHHVKLHASA-N__CHEMBL2409,UNII:ITX08688JL,quinidine,LOUPRKONTZGTKE-LHHVKLHASA-N,C=C[C@H]1C[N@@]2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,CHEMBL2409,EPHX2,酶（非激酶）,ENZYME_BIOCHEMICAL,09_TECHNICAL_INCOMPLETE,技术未完成,修正配体构象或模型输入后重算,TECHNICAL_INCOMPLETE,,,BOLTZ_LOCAL_QUALIFIED,OUT_OF_DOMAIN_EXPLORATORY,False,False,604.5,234.5,115.0,15.0,N3_REMOTE,0.2317073170731707,FROZEN_PASS,PASS,1.0677,False,False,Boltz技术未完成,C0_QUINIDINE_INPUT_REPAIR,enumerate correct stereochemistry/protonation and generate valid conformer,1
LOUPRKONTZGTKE-LHHVKLHASA-N__CHEMBL4247,UNII:ITX08688JL,quinidine,LOUPRKONTZGTKE-LHHVKLHASA-N,C=C[C@H]1C[N@@]2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,CHEMBL4247,ALK,激酶,KINASE_BIOCHEMICAL,09_TECHNICAL_INCOMPLETE,技术未完成,修正配体构象或模型输入后重算,TECHNICAL_INCOMPLETE,,,BOLTZ_LOCAL_QUALIFIED,OUT_OF_DOMAIN_EXPLORATORY,False,False,507.0,23.0,642.0,269.0,N3_REMOTE,0.2588235294117647,FROZEN_PASS,PASS,0.6688,False,False,Boltz技术未完成,C0_QUINIDINE_INPUT_REPAIR,enumerate correct stereochemistry/protonation and generate valid conformer,1
LOUPRKONTZGTKE-LHHVKLHASA-N__CHEMBL6007,UNII:ITX08688JL,quinidine,LOUPRKONTZGTKE-LHHVKLHASA-N,C=C[C@H]1C[N@@]2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,CHEMBL6007,TRPA1,离子通道,ION_CHANNEL_FUNCTIONAL,09_TECHNICAL_INCOMPLETE,技术未完成,修正配体构象或模型输入后重算,TECHNICAL_INCOMPLETE,,,BOLTZ_GATE_A_FAIL,,False,False,74.0,2.0,113.0,50.0,N3_REMOTE,0.217391304347826,FROZEN_REVIEW_REDOCK_FAILED,FAIL_RMSD_GT_2P5,2.7441,False,False,Boltz技术未完成,C0_QUINIDINE_INPUT_REPAIR,enumerate correct stereochemistry/protonation and generate valid conformer,1
