target_chembl_id,gene_symbol,uniprot_accession,target_class_zh,assay_lane,target_calibration_tier,positive_compounds,negative_compounds,panel_quota_per_class,positive_pool,primary_negative_pool,all_negative_pool,panel_quality,selected_positive,selected_negative,development_rows,locked_evaluation_rows,gnina_gate_b_remote_positive_rows,gnina_gate_a_formally_evaluable,gnina_gate_a_auroc_primary_cnn_affinity,gnina_gate_a_average_precision_primary_cnn_affinity,gnina_gate_a_bedroc_alpha20_primary_cnn_affinity,gnina_gate_a_ef_5pct,gnina_gate_a_bootstrap_auroc_ci_low,gnina_gate_a_bootstrap_auroc_ci_high,gnina_gate_a_permutation_bh_q,gnina_gate_a_primary_gate_pass,gnina_gate_a_primary_gate_strong,gnina_gate_b_formally_evaluable,gnina_gate_b_auroc_primary_cnn_affinity,gnina_gate_b_average_precision_primary_cnn_affinity,gnina_gate_b_bedroc_alpha20_primary_cnn_affinity,gnina_gate_b_ef_5pct,gnina_gate_b_bootstrap_auroc_ci_low,gnina_gate_b_bootstrap_auroc_ci_high,gnina_gate_b_permutation_bh_q,gnina_gate_b_primary_gate_pass,gnina_gate_b_primary_gate_strong,gnina_target_qualification,gnina_use_policy,gate_a_scope,gate_a_rows,gate_a_positive,gate_a_negative,gate_a_formally_evaluable,gate_a_auroc_affinity_probability_binary,gate_a_average_precision_affinity_probability_binary,gate_a_auroc_secondary_ligand_iptm,gate_a_average_precision_secondary_ligand_iptm,gate_a_bedroc_alpha20_affinity_probability_binary,gate_a_bootstrap_auroc_ci_low,gate_a_bootstrap_auroc_ci_high,gate_a_permutation_p_one_sided,gate_a_ef_5pct,gate_a_permutation_bh_q,gate_a_primary_gate_pass_raw,gate_a_gate_a_dependency_pass,gate_a_primary_gate_pass,gate_a_primary_gate_strong,gate_b_scope,gate_b_rows,gate_b_positive,gate_b_negative,gate_b_formally_evaluable,gate_b_auroc_affinity_probability_binary,gate_b_average_precision_affinity_probability_binary,gate_b_auroc_secondary_ligand_iptm,gate_b_average_precision_secondary_ligand_iptm,gate_b_bedroc_alpha20_affinity_probability_binary,gate_b_bootstrap_auroc_ci_low,gate_b_bootstrap_auroc_ci_high,gate_b_permutation_p_one_sided,gate_b_ef_5pct,gate_b_permutation_bh_q,gate_b_primary_gate_pass_raw,gate_b_gate_a_dependency_pass,gate_b_primary_gate_pass,gate_b_primary_gate_strong,development_positive_n,development_negative_n,development_positive_q25,development_positive_median,development_negative_q90,development_negative_q95,development_negative_q99,boltz_target_qualification,boltz_use_policy,final_audit_status,redock_status_final,redock_best_symmetry_rmsd_A_final,pdb_id,target_chain_id,alternate_structure_used,docking_context_included,usable_experimental_pocket_instances,usable_experimental_pdbs,alternate_experimental_pdb_count,target_route,target_route_zh,qualified_models,allowed_scope_zh,next_compute_action_zh,target_route_priority,01_STRICT_AB_DISCOVERY_CORE,02_STRICT_C_DISCOVERY_RESERVE,03_LOCAL_ANALOG_BASELINE,04_RECEPTOR_PROTOCOL_REVIEW_AB,05_RECEPTOR_PROTOCOL_REVIEW_C,06_IN_DOMAIN_BELOW_BACKGROUND,07_OUT_OF_DOMAIN_EXPLORATORY,08_KNOWN_CONTROL_CALIBRATION_ONLY,09_TECHNICAL_INCOMPLETE,strict_boltz_abc_pairs,receptor_review_abc_pairs,strict_gnina_abc_pairs,P1_DUAL_STRUCTURE_SUPPORT,P2_BOLTZ_SUPPORT_GNINA_DISAGREES,P3_GNINA_SUPPORT_BOLTZ_DISAGREES,P4_BOLTZ_ONLY_APPLICABLE,P5_GNINA_ONLY_APPLICABLE,physical_union_pairs,urgent_receptor_repair,task_code,minimum_goal
CHEMBL4523510,CYP46A1,Q9Y6A2,酶（非激酶）,ENZYME_BIOCHEMICAL,T4_POSITIVE_ONLY,61,4,0,59.0,2.0,3.0,NOT_EVALUABLE_8X8,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_EVALUABLE,DO_NOT_USE_GNINA_FOR_DISCOVERY_SELECTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOLTZ_NOT_EVALUABLE,EXPLORATORY_SCORE_ONLY,FROZEN_PASS,PASS,1.0597,2q9f,A,,True,59,21,20,E6_NO_ADEQUATE_HISTORICAL_CONTROL,历史对照不足,NONE,先补实测正负对照；仅允许限额探索,从ChEMBL/BindingDB/PubChem补正负对照；未补齐前不作概率化排序,6,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,False,C0_CONTROL_ACQUISITION,8 measured positives + 8 measured low-activity/inactive controls
CHEMBL1843,DDC,P20711,酶（非激酶）,ENZYME_BIOCHEMICAL,T5_SPARSE_OR_NONE,1,2,0,1.0,0.0,2.0,NOT_EVALUABLE_8X8,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_EVALUABLE,DO_NOT_USE_GNINA_FOR_DISCOVERY_SELECTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOLTZ_NOT_EVALUABLE,EXPLORATORY_SCORE_ONLY,FROZEN_PASS,PASS,1.2831,9gns,A,,True,16,8,7,E6_NO_ADEQUATE_HISTORICAL_CONTROL,历史对照不足,NONE,先补实测正负对照；仅允许限额探索,从ChEMBL/BindingDB/PubChem补正负对照；未补齐前不作概率化排序,6,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,False,C0_CONTROL_ACQUISITION,8 measured positives + 8 measured low-activity/inactive controls
CHEMBL3439,ENPEP,Q07075,酶（非激酶）,ENZYME_BIOCHEMICAL,T5_SPARSE_OR_NONE,3,2,0,3.0,2.0,2.0,NOT_EVALUABLE_8X8,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_EVALUABLE,DO_NOT_USE_GNINA_FOR_DISCOVERY_SELECTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOLTZ_NOT_EVALUABLE,EXPLORATORY_SCORE_ONLY,FROZEN_PASS,PASS,0.3495,4kxb,A,,True,21,7,6,E6_NO_ADEQUATE_HISTORICAL_CONTROL,历史对照不足,NONE,先补实测正负对照；仅允许限额探索,从ChEMBL/BindingDB/PubChem补正负对照；未补齐前不作概率化排序,6,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,False,C0_CONTROL_ACQUISITION,8 measured positives + 8 measured low-activity/inactive controls
CHEMBL5838,ERBB3,P21860,激酶,KINASE_BIOCHEMICAL,T2_ADEQUATE_POSITIVE_NEGATIVE,39,118,0,6.0,14.0,121.0,NOT_EVALUABLE_8X8,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_EVALUABLE,DO_NOT_USE_GNINA_FOR_DISCOVERY_SELECTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOLTZ_NOT_EVALUABLE,EXPLORATORY_SCORE_ONLY,FROZEN_PASS,PASS,1.0005,6op9,A,,False,43,20,19,E6_NO_ADEQUATE_HISTORICAL_CONTROL,历史对照不足,NONE,先补实测正负对照；仅允许限额探索,从ChEMBL/BindingDB/PubChem补正负对照；未补齐前不作概率化排序,6,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,False,C0_CONTROL_ACQUISITION,8 measured positives + 8 measured low-activity/inactive controls
CHEMBL3338,FDFT1,P37268,酶（非激酶）,ENZYME_BIOCHEMICAL,T3_MINIMUM_POSITIVE_NEGATIVE,55,15,8,55.0,15.0,25.0,PRIMARY_QUANTITATIVE,8.0,8.0,8.0,8.0,1.0,False,0.625,0.6083333333333333,0.0815390139755344,0.0,0.0,1.0,0.4795253715214404,False,False,False,0.0,0.5,6.776878889750501e-21,0.0,0.0,0.0,1.0,False,False,NOT_EVALUABLE,DO_NOT_USE_GNINA_FOR_DISCOVERY_SELECTION,GATE_A,8.0,4.0,4.0,False,0.5625,0.6678571428571428,0.0,0.3654761904761905,0.9185026400343106,0.0833333333333333,1.0,0.4512743628185907,2.0,0.6030855539971949,False,False,False,False,GATE_B,2.0,1.0,1.0,False,1.0,1.0,0.0,0.5,1.0000000000000002,1.0,1.0,0.4837581209395302,2.0,0.7086860610098991,False,False,False,False,4.0,4.0,0.3800975754857063,0.4672145247459411,0.6546912670135498,0.662291967868805,0.668372528553009,BOLTZ_NOT_EVALUABLE,EXPLORATORY_SCORE_ONLY,FROZEN_PASS,PASS,1.3397,3q30,A,,True,78,26,25,E6_NO_ADEQUATE_HISTORICAL_CONTROL,历史对照不足,NONE,先补实测正负对照；仅允许限额探索,从ChEMBL/BindingDB/PubChem补正负对照；未补齐前不作概率化排序,6,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,False,C0_CONTROL_ACQUISITION,8 measured positives + 8 measured low-activity/inactive controls
CHEMBL1962,GABRA1,P14867,离子通道,ION_CHANNEL_FUNCTIONAL,T4_POSITIVE_ONLY,279,4,0,279.0,2.0,4.0,NOT_EVALUABLE_8X8,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_EVALUABLE,DO_NOT_USE_GNINA_FOR_DISCOVERY_SELECTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOLTZ_NOT_EVALUABLE,EXPLORATORY_SCORE_ONLY,FROZEN_PASS,PASS,1.0773,8dd2,D,,False,592,81,80,E6_NO_ADEQUATE_HISTORICAL_CONTROL,历史对照不足,NONE,先补实测正负对照；仅允许限额探索,从ChEMBL/BindingDB/PubChem补正负对照；未补齐前不作概率化排序,6,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,False,C0_CONTROL_ACQUISITION,8 measured positives + 8 measured low-activity/inactive controls
CHEMBL4956,GABRA2,P47869,离子通道,ION_CHANNEL_FUNCTIONAL,T4_POSITIVE_ONLY,51,1,0,51.0,1.0,1.0,NOT_EVALUABLE_8X8,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_EVALUABLE,DO_NOT_USE_GNINA_FOR_DISCOVERY_SELECTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOLTZ_NOT_EVALUABLE,EXPLORATORY_SCORE_ONLY,FROZEN_PASS,PASS,2.4141,9crv,E,,False,16,7,6,E6_NO_ADEQUATE_HISTORICAL_CONTROL,历史对照不足,NONE,先补实测正负对照；仅允许限额探索,从ChEMBL/BindingDB/PubChem补正负对照；未补齐前不作概率化排序,6,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,False,C0_CONTROL_ACQUISITION,8 measured positives + 8 measured low-activity/inactive controls
CHEMBL1847,GABRB3,P28472,离子通道,ION_CHANNEL_FUNCTIONAL,T4_POSITIVE_ONLY,16,1,0,16.0,1.0,1.0,NOT_EVALUABLE_8X8,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_EVALUABLE,DO_NOT_USE_GNINA_FOR_DISCOVERY_SELECTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOLTZ_NOT_EVALUABLE,EXPLORATORY_SCORE_ONLY,FROZEN_PASS,PASS,1.6223,9fgg,E,,False,783,97,96,E6_NO_ADEQUATE_HISTORICAL_CONTROL,历史对照不足,NONE,先补实测正负对照；仅允许限额探索,从ChEMBL/BindingDB/PubChem补正负对照；未补齐前不作概率化排序,6,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,False,C0_CONTROL_ACQUISITION,8 measured positives + 8 measured low-activity/inactive controls
CHEMBL3972,GART,P22102,酶（非激酶）,ENZYME_BIOCHEMICAL,T2_ADEQUATE_POSITIVE_NEGATIVE,40,24,8,41.0,15.0,29.0,PRIMARY_QUANTITATIVE,8.0,8.0,8.0,8.0,0.0,False,0.25,0.4333333333333333,0.0061851434340151,0.0,0.0,0.7142857142857143,0.9466488025352128,False,False,,,,,,,,,,,NOT_EVALUABLE,DO_NOT_USE_GNINA_FOR_DISCOVERY_SELECTION,GATE_A,8.0,4.0,4.0,False,0.375,0.4928571428571429,0.125,0.3946428571428572,0.0753538705415193,0.0,0.875,0.7391304347826086,0.0,0.8713326263697418,False,False,False,False,,,,,,,,,,,,,,,,,,,,4.0,4.0,0.865398108959198,0.8893607556819916,0.8370893001556396,0.8414065837860107,0.8448604106903076,BOLTZ_NOT_EVALUABLE,EXPLORATORY_SCORE_ONLY,FROZEN_PASS,PASS,1.2407,4zyt,A,True,False,104,40,39,E6_NO_ADEQUATE_HISTORICAL_CONTROL,历史对照不足,NONE,先补实测正负对照；仅允许限额探索,从ChEMBL/BindingDB/PubChem补正负对照；未补齐前不作概率化排序,6,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,False,C0_CONTROL_ACQUISITION,8 measured positives + 8 measured low-activity/inactive controls
CHEMBL3820,GCK,P35557,酶（非激酶）,ENZYME_BIOCHEMICAL,T2_ADEQUATE_POSITIVE_NEGATIVE,96,27,8,96.0,12.0,36.0,PRIMARY_QUANTITATIVE,8.0,8.0,8.0,8.0,2.0,False,0.375,0.5238095238095237,0.0814942197220397,0.0,0.0,0.8571428571428572,0.8454508268470786,False,False,False,0.0,0.4166666666666666,0.0,0.0,0.0,0.0,1.0,False,False,NOT_EVALUABLE,DO_NOT_USE_GNINA_FOR_DISCOVERY_SELECTION,GATE_A,8.0,4.0,4.0,False,1.0,1.0,1.0,1.0,1.0000000000000002,1.0,1.0,0.0164917541229385,2.0,0.0395256916996047,False,False,False,False,GATE_B,4.0,2.0,2.0,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1729135432283858,2.0,0.3292463357362414,False,False,False,False,4.0,4.0,0.3628125935792923,0.4500039964914322,0.7105015516281128,0.7606500983238219,0.8007689356803893,BOLTZ_NOT_EVALUABLE,EXPLORATORY_SCORE_ONLY,FROZEN_PASS,PASS,0.4061,4ixc,A,,False,97,35,34,E6_NO_ADEQUATE_HISTORICAL_CONTROL,历史对照不足,NONE,先补实测正负对照；仅允许限额探索,从ChEMBL/BindingDB/PubChem补正负对照；未补齐前不作概率化排序,6,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,False,C0_CONTROL_ACQUISITION,8 measured positives + 8 measured low-activity/inactive controls
