排序,小分子药物名称,新靶点名称,当前实验建议,pair_id,historical_neural_only_rank384,chemical_neighbor_only_rank384,historical_neural_plus_chemical_rank384,historical_neural_plus_prior_rank384,original_complete_combination_rank384
46,bupivacaine,FKBP1A — Peptidyl-prolyl cis-trans isomerase FKBP1A,仍可探索,LEBVLXFERQHONN-UHFFFAOYSA-N__CHEMBL1902,103,3,11,67,6
47,sotagliflozin,REN — Renin,仍可探索,QKDRXGFQVGOQKS-CRSSMBPESA-N__CHEMBL286,3,52,8,8,6
48,glasdegib,KIT — Mast/stem cell growth factor receptor Kit,仍可探索,SFNSLLSYNZWZQG-VQIMIIECSA-N__CHEMBL1936,27,4,3,51,6
49,selinexor,BRAF — Serine/threonine-protein kinase B-raf,仍可探索,DEVSOMFAQLZNKR-RJRFIUFISA-N__CHEMBL5145,3,39,2,15,6
50,avibactam,MMP7 — Matrilysin,仍可探索,NDCUAPJVLWFHHB-UHNVWZDZSA-N__CHEMBL4073,18,4,4,27,6
51,fluocinonide,PRKCB — Protein kinase C beta type,仍可探索,WJOHZNCJWYWUJD-IUGZLZTKSA-N__CHEMBL3045,4,82,7,4,6
52,desonide,NR3C2 — Mineralocorticoid receptor,仍可探索,WBGKWQHBNHJJPZ-LECWWXJVSA-N__CHEMBL1994,161,8,17,87,7
53,alpelisib,DPP4 — Dipeptidyl peptidase 4,仍可探索,STUWGJZDJHPWGZ-LBPRGKRZSA-N__CHEMBL284,1,10,6,35,7
54,atrasentan,EGLN3 — Prolyl hydroxylase EGLN3,仍可探索,MOTJMGVDPWRKOC-QPVYNBJUSA-N__CHEMBL5705,190,10,15,35,7
55,methocarbamol,CA4 — Carbonic anhydrase 4,仍可探索,GNXFOGHNGIVQEH-UHFFFAOYSA-N__CHEMBL3729,16,14,4,33,7
56,avanafil,FKBP1A — Peptidyl-prolyl cis-trans isomerase FKBP1A,仍可探索,WEAJZXNPAWBCOA-INIZCTEOSA-N__CHEMBL1902,37,32,13,22,7
57,indacaterol,JAK3 — Tyrosine-protein kinase JAK3,仍可探索,QZZUEBNBZAPZLX-QFIPXVFZSA-N__CHEMBL2148,8,13,1,36,7
58,etravirine,MAPK9 — Mitogen-activated protein kinase 9,仍可探索,PYGWGZALEOIKDF-UHFFFAOYSA-N__CHEMBL4179,116,4,4,145,7
59,diltiazem,MMP12 — Macrophage metalloelastase,仍可探索,HSUGRBWQSSZJOP-RTWAWAEBSA-N__CHEMBL4393,24,16,10,20,7
60,ozanimod,"PDE4D — 3',5'-cyclic-AMP phosphodiesterase 4D",仍可探索,XRVDGNKRPOAQTN-FQEVSTJZSA-N__CHEMBL288,43,4,3,107,7
61,furosemide,REN — Renin,仍可探索,ZZUFCTLCJUWOSV-UHFFFAOYSA-N__CHEMBL286,22,13,8,24,7
62,guanfacine,GSK3A — Glycogen synthase kinase-3 alpha,仍可探索,INJOMKTZOLKMBF-UHFFFAOYSA-N__CHEMBL2850,6,23,5,10,7
63,lasmiditan,FLT3 — Receptor-type tyrosine-protein kinase FLT3,仍可探索,XEDHVZKDSYZQBF-UHFFFAOYSA-N__CHEMBL1974,25,11,8,41,8
64,pregabalin,ACE — Angiotensin-converting enzyme,仍可探索,AYXYPKUFHZROOJ-ZETCQYMHSA-N__CHEMBL1808,24,5,3,38,8
65,etravirine,SRC — Proto-oncogene tyrosine-protein kinase Src,仍可探索,PYGWGZALEOIKDF-UHFFFAOYSA-N__CHEMBL267,3,11,5,36,8
66,zavegepant,PTK2 — Focal adhesion kinase 1,仍可探索,JJVAPHYEOZSKJZ-JGCGQSQUSA-N__CHEMBL2695,1,48,8,20,8
67,dasabuvir,PGR — Progesterone receptor,仍可探索,NBRBXGKOEOGLOI-UHFFFAOYSA-N__CHEMBL208,4,15,4,44,8
68,imiquimod,FDPS — Farnesyl pyrophosphate synthase,仍可探索,DOUYETYNHWVLEO-UHFFFAOYSA-N__CHEMBL1782,105,2,7,108,8
69,varenicline,"PDE9A — High affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A",仍可探索,JQSHBVHOMNKWFT-DTORHVGOSA-N__CHEMBL3535,97,38,42,9,8
70,lacosamide,MAOB — Amine oxidase [flavin-containing] B,仍可探索,VPPJLAIAVCUEMN-GFCCVEGCSA-N__CHEMBL2039,4,9,5,44,8
71,indomethacin,CTSC — Dipeptidyl peptidase 1,仍可探索,CGIGDMFJXJATDK-UHFFFAOYSA-N__CHEMBL2252,4,114,20,1,8
72,tofacitinib,PARP2 — Poly [ADP-ribose] polymerase 2,仍可探索,UJLAWZDWDVHWOW-YPMHNXCESA-N__CHEMBL5366,8,41,17,2,8
73,guanfacine,THRB — Thyroid hormone receptor beta,仍可探索,INJOMKTZOLKMBF-UHFFFAOYSA-N__CHEMBL1947,33,11,7,25,8
74,cabotegravir,PPARG — Peroxisome proliferator-activated receptor gamma,仍可探索,WCWSTNLSLKSJPK-LKFCYVNXSA-N__CHEMBL235,49,5,6,98,9
75,terazosin,NTRK3 — NT-3 growth factor receptor,仍可探索,VCKUSRYTPJJLNI-UHFFFAOYSA-N__CHEMBL5608,1,77,7,4,9
76,sufentanil,PDGFRA — Platelet-derived growth factor receptor alpha,仍可探索,GGCSSNBKKAUURC-UHFFFAOYSA-N__CHEMBL2007,3,26,4,22,9
77,vaborbactam,CA1 — Carbonic anhydrase 1,仍可探索,IOOWNWLVCOUUEX-WPRPVWTQSA-N__CHEMBL261,272,1,5,285,9
78,metoprolol,CA7 — Carbonic anhydrase 7,仍可探索,IUBSYMUCCVWXPE-UHFFFAOYSA-N__CHEMBL2326,221,4,17,64,9
79,indacaterol,CA2 — Carbonic anhydrase 2,仍可探索,QZZUEBNBZAPZLX-QFIPXVFZSA-N__CHEMBL205,268,1,6,263,9
80,elvitegravir,MAPK8 — Mitogen-activated protein kinase 8,仍可探索,JUZYLCPPVHEVSV-LJQANCHMSA-N__CHEMBL2276,43,10,5,77,9
81,brexanolone,ESR2 — Estrogen receptor beta,仍可探索,AURFZBICLPNKBZ-SYBPFIFISA-N__CHEMBL242,264,6,7,241,9
82,bumetanide,FAAH — Fatty-acid amide hydrolase 1,仍可探索,MAEIEVLCKWDQJH-UHFFFAOYSA-N__CHEMBL2243,17,13,6,40,9
83,selegiline,ACE — Angiotensin-converting enzyme,仍可探索,MEZLKOACVSPNER-GFCCVEGCSA-N__CHEMBL1808,40,4,7,46,9
84,tizanidine,GSK3A — Glycogen synthase kinase-3 alpha,仍可探索,XFYDIVBRZNQMJC-UHFFFAOYSA-N__CHEMBL2850,6,46,7,15,9
85,pitavastatin,MMP12 — Macrophage metalloelastase,仍可探索,VGYFMXBACGZSIL-MCBHFWOFSA-N__CHEMBL4393,58,4,6,41,10
86,lasmiditan,NTRK2 — BDNF/NT-3 growth factors receptor,仍可探索,XEDHVZKDSYZQBF-UHFFFAOYSA-N__CHEMBL4898,18,15,6,40,10
87,glimepiride,CA4 — Carbonic anhydrase 4,仍可探索,WIGIZIANZCJQQY-RUCARUNLSA-N__CHEMBL3729,36,19,9,33,10
88,aprepitant,HMGCR — 3-hydroxy-3-methylglutaryl-coenzyme A reductase,仍可探索,ATALOFNDEOCMKK-OITMNORJSA-N__CHEMBL402,13,40,6,19,10
89,vaborbactam,MME — Neprilysin,仍可探索,IOOWNWLVCOUUEX-WPRPVWTQSA-N__CHEMBL1944,131,18,29,38,10
90,memantine,NR3C2 — Mineralocorticoid receptor,仍可探索,BUGYDGFZZOZRHP-UHFFFAOYSA-N__CHEMBL1994,20,107,16,7,10
91,sotalol,"ALDH2 — Aldehyde dehydrogenase, mitochondrial",仍可探索,ZBMZVLHSJCTVON-UHFFFAOYSA-N__CHEMBL1935,30,9,8,65,10
92,enasidenib,BRAF — Serine/threonine-protein kinase B-raf,仍可探索,DYLUUSLLRIQKOE-UHFFFAOYSA-N__CHEMBL5145,19,12,7,65,10
93,desoximetasone,PRKCB — Protein kinase C beta type,仍可探索,VWVSBHGCDBMOOT-IIEHVVJPSA-N__CHEMBL3045,2,92,8,4,10
94,nimodipine,CA12 — Carbonic anhydrase 12,仍可探索,UIAGMCDKSXEBJQ-UHFFFAOYSA-N__CHEMBL3242,6,49,5,13,10
95,thalidomide,CDK9 — Cyclin-dependent kinase 9,仍可探索,UEJJHQNACJXSKW-UHFFFAOYSA-N__CHEMBL3116,78,10,10,124,10
96,binimetinib,PARP2 — Poly [ADP-ribose] polymerase 2,仍可探索,ACWZRVQXLIRSDF-UHFFFAOYSA-N__CHEMBL5366,36,42,16,19,10
97,ticagrelor,"PDE9A — High affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A",仍可探索,OEKWJQXRCDYSHL-FNOIDJSQSA-N__CHEMBL3535,14,223,47,3,10
98,ixabepilone,PRKCB — Protein kinase C beta type,仍可探索,FABUFPQFXZVHFB-PVYNADRNSA-N__CHEMBL3045,58,5,7,60,10
99,lumateperone,ACHE — Acetylcholinesterase,仍可探索,HOIIHACBCFLJET-SFTDATJTSA-N__CHEMBL220,7,12,3,28,10
100,alprazolam,GSK3A — Glycogen synthase kinase-3 alpha,仍可探索,VREFGVBLTWBCJP-UHFFFAOYSA-N__CHEMBL2850,8,28,6,17,10
101,indacaterol,JAK1 — Tyrosine-protein kinase JAK1,仍可探索,QZZUEBNBZAPZLX-QFIPXVFZSA-N__CHEMBL2835,17,14,3,48,11
102,rimegepant,JAK2 — Tyrosine-protein kinase JAK2,仍可探索,KRNAOFGYEFKHPB-ANJVHQHFSA-N__CHEMBL2971,11,7,2,83,11
103,arformoterol,MMP12 — Macrophage metalloelastase,仍可探索,BPZSYCZIITTYBL-YJYMSZOUSA-N__CHEMBL4393,29,35,12,21,11
104,carbinoxamine,FAAH — Fatty-acid amide hydrolase 1,仍可探索,OJFSXZCBGQGRNV-UHFFFAOYSA-N__CHEMBL2243,78,4,6,113,11
105,ranolazine,KDR — Vascular endothelial growth factor receptor 2,仍可探索,XKLMZUWKNUAPSZ-UHFFFAOYSA-N__CHEMBL279,24,36,9,31,11
106,tetracaine,CTSC — Dipeptidyl peptidase 1,仍可探索,GKCBAIGFKIBETG-UHFFFAOYSA-N__CHEMBL2252,33,103,41,12,11
107,cyclobenzaprine,MAOB — Amine oxidase [flavin-containing] B,仍可探索,JURKNVYFZMSNLP-UHFFFAOYSA-N__CHEMBL2039,188,2,5,263,11
108,piperacillin,MME — Neprilysin,仍可探索,IVBHGBMCVLDMKU-GXNBUGAJSA-N__CHEMBL1944,272,5,16,56,11
109,lisinopril,NR3C2 — Mineralocorticoid receptor,仍可探索,RLAWWYSOJDYHDC-BZSNNMDCSA-N__CHEMBL1994,136,7,14,82,11
110,varenicline,ESRRG — Estrogen-related receptor gamma,仍可探索,JQSHBVHOMNKWFT-DTORHVGOSA-N__CHEMBL4245,32,31,20,25,11
111,bazedoxifene,THRB — Thyroid hormone receptor beta,仍可探索,UCJGJABZCDBEDK-UHFFFAOYSA-N__CHEMBL1947,8,52,18,4,11
112,talazoparib,MET — Hepatocyte growth factor receptor,仍可探索,HWGQMRYQVZSGDQ-HZPDHXFCSA-N__CHEMBL3717,23,4,5,112,11
113,relebactam,MMP8 — Neutrophil collagenase,仍可探索,SMOBCLHAZXOKDQ-ZJUUUORDSA-N__CHEMBL4588,26,13,7,41,11
114,elvitegravir,ERBB2 — Receptor tyrosine-protein kinase erbB-2,仍可探索,JUZYLCPPVHEVSV-LJQANCHMSA-N__CHEMBL1824,59,7,6,97,12
115,ivabradine,FGFR2 — Fibroblast growth factor receptor 2,仍可探索,ACRHBAYQBXXRTO-OAQYLSRUSA-N__CHEMBL4142,28,18,6,51,12
116,cilastatin,PPARG — Peroxisome proliferator-activated receptor gamma,仍可探索,DHSUYTOATWAVLW-WFVMDLQDSA-N__CHEMBL235,69,13,9,93,12
117,vibegron,NR3C2 — Mineralocorticoid receptor,仍可探索,DJXRIQMCROIRCZ-XOEOCAAJSA-N__CHEMBL1994,118,7,17,58,12
118,palbociclib,REN — Renin,仍可探索,AHJRHEGDXFFMBM-UHFFFAOYSA-N__CHEMBL286,20,16,12,25,12
119,ondansetron,FAAH — Fatty-acid amide hydrolase 1,仍可探索,FELGMEQIXOGIFQ-UHFFFAOYSA-N__CHEMBL2243,6,52,5,19,12
120,glimepiride,REN — Renin,仍可探索,WIGIZIANZCJQQY-RUCARUNLSA-N__CHEMBL286,11,111,11,10,12
121,anastrozole,ALK — ALK tyrosine kinase receptor,仍可探索,YBBLVLTVTVSKRW-UHFFFAOYSA-N__CHEMBL4247,1,32,7,27,12
122,tapinarof,ALOX5 — Polyunsaturated fatty acid 5-lipoxygenase,仍可探索,ZISJNXNHJRQYJO-CMDGGOBGSA-N__CHEMBL215,25,15,9,57,12
123,benoxinate,DHFR — Dihydrofolate reductase,仍可探索,CMHHMUWAYWTMGS-UHFFFAOYSA-N__CHEMBL202,119,4,6,181,12
124,donepezil,"PDE9A — High affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A",仍可探索,ADEBPBSSDYVVLD-UHFFFAOYSA-N__CHEMBL3535,314,20,50,83,12
125,dextromethorphan,CTSC — Dipeptidyl peptidase 1,仍可探索,MKXZASYAUGDDCJ-NJAFHUGGSA-N__CHEMBL2252,50,96,38,11,12
126,mirdametinib,DHFR — Dihydrofolate reductase,仍可探索,SUDAHWBOROXANE-SECBINFHSA-N__CHEMBL202,8,86,6,18,12
127,apremilast,JAK3 — Tyrosine-protein kinase JAK3,仍可探索,IMOZEMNVLZVGJZ-QGZVFWFLSA-N__CHEMBL2148,39,17,6,57,12
128,cabotegravir,"PDE4D — 3',5'-cyclic-AMP phosphodiesterase 4D",仍可探索,WCWSTNLSLKSJPK-LKFCYVNXSA-N__CHEMBL288,61,9,8,100,12
129,ivosidenib,GSK3B — Glycogen synthase kinase-3 beta,仍可探索,WIJZXSAJMHAVGX-DHLKQENFSA-N__CHEMBL262,27,4,3,99,12
130,pregabalin,ENPEP — Glutamyl aminopeptidase,仍可探索,AYXYPKUFHZROOJ-ZETCQYMHSA-N__CHEMBL3439,26,6,5,40,13
131,rasagiline,GBA1 — Lysosomal acid glucosylceramidase,仍可探索,RUOKEQAAGRXIBM-GFCCVEGCSA-N__CHEMBL2179,212,5,10,239,13
132,vorinostat,ECE1 — Endothelin-converting enzyme 1,仍可探索,WAEXFXRVDQXREF-UHFFFAOYSA-N__CHEMBL4791,46,40,24,9,13
133,palonosetron,FKBP1A — Peptidyl-prolyl cis-trans isomerase FKBP1A,仍可探索,CPZBLNMUGSZIPR-NVXWUHKLSA-N__CHEMBL1902,93,11,12,38,13
134,apixaban,CA4 — Carbonic anhydrase 4,仍可探索,QNZCBYKSOIHPEH-UHFFFAOYSA-N__CHEMBL3729,35,16,10,31,13
135,pomalidomide,NTRK2 — BDNF/NT-3 growth factors receptor,仍可探索,UVSMNLNDYGZFPF-UHFFFAOYSA-N__CHEMBL4898,221,10,11,274,13
136,pramipexole,CA2 — Carbonic anhydrase 2,仍可探索,FASDKYOPVNHBLU-ZETCQYMHSA-N__CHEMBL205,10,25,7,26,13
137,enzalutamide,BRAF — Serine/threonine-protein kinase B-raf,仍可探索,WXCXUHSOUPDCQV-UHFFFAOYSA-N__CHEMBL5145,30,10,7,64,13
138,donepezil,COMT — Catechol O-methyltransferase,仍可探索,ADEBPBSSDYVVLD-UHFFFAOYSA-N__CHEMBL2023,110,32,38,43,13
139,memantine,AR — Androgen receptor,仍可探索,BUGYDGFZZOZRHP-UHFFFAOYSA-N__CHEMBL1871,12,46,8,24,14
140,amantadine,GBA1 — Lysosomal acid glucosylceramidase,仍可探索,DKNWSYNQZKUICI-UHFFFAOYSA-N__CHEMBL2179,128,4,11,192,14
141,labetalol,CA1 — Carbonic anhydrase 1,仍可探索,SGUAFYQXFOLMHL-UHFFFAOYSA-N__CHEMBL261,199,6,10,224,14
142,xanomeline,CA4 — Carbonic anhydrase 4,仍可探索,JOLJIIDDOBNFHW-UHFFFAOYSA-N__CHEMBL3729,131,10,9,93,14
143,glimepiride,MME — Neprilysin,仍可探索,WIGIZIANZCJQQY-RUCARUNLSA-N__CHEMBL1944,25,175,35,6,14
144,pitavastatin,MME — Neprilysin,仍可探索,VGYFMXBACGZSIL-MCBHFWOFSA-N__CHEMBL1944,57,17,24,25,14
145,afatinib,REN — Renin,仍可探索,ULXXDDBFHOBEHA-CWDCEQMOSA-N__CHEMBL286,6,165,20,5,14
146,metoclopramide,CA4 — Carbonic anhydrase 4,仍可探索,TTWJBBZEZQICBI-UHFFFAOYSA-N__CHEMBL3729,62,21,15,50,14
147,rasagiline,ACE — Angiotensin-converting enzyme,仍可探索,RUOKEQAAGRXIBM-GFCCVEGCSA-N__CHEMBL1808,44,20,14,63,14
148,lofexidine,GSK3A — Glycogen synthase kinase-3 alpha,仍可探索,KSMAGQUYOIHWFS-UHFFFAOYSA-N__CHEMBL2850,20,10,8,35,14
149,lenalidomide,PRKCB — Protein kinase C beta type,仍可探索,GOTYRUGSSMKFNF-UHFFFAOYSA-N__CHEMBL3045,78,13,11,126,14
150,terazosin,"PIK3CA — Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform",仍可探索,VCKUSRYTPJJLNI-UHFFFAOYSA-N__CHEMBL4005,44,10,11,85,15
151,bupivacaine,MMP12 — Macrophage metalloelastase,仍可探索,LEBVLXFERQHONN-UHFFFAOYSA-N__CHEMBL4393,64,22,22,40,15
152,pregabalin,REN — Renin,仍可探索,AYXYPKUFHZROOJ-ZETCQYMHSA-N__CHEMBL286,14,36,8,17,15
153,rilpivirine,MAPK9 — Mitogen-activated protein kinase 9,仍可探索,YIBOMRUWOWDFLG-ONEGZZNKSA-N__CHEMBL4179,95,8,12,106,15
154,guanfacine,ROCK2 — Rho-associated protein kinase 2,仍可探索,INJOMKTZOLKMBF-UHFFFAOYSA-N__CHEMBL2973,137,3,8,155,15
155,larotrectinib,FKBP1A — Peptidyl-prolyl cis-trans isomerase FKBP1A,仍可探索,NYNZQNWKBKUAII-KBXCAEBGSA-N__CHEMBL1902,90,27,27,33,15
156,dolutegravir,MAPK9 — Mitogen-activated protein kinase 9,仍可探索,RHWKPHLQXYSBKR-BMIGLBTASA-N__CHEMBL4179,2,44,9,19,15
157,ribociclib,REN — Renin,仍可探索,RHXHGRAEPCAFML-UHFFFAOYSA-N__CHEMBL286,4,43,19,6,15
158,etravirine,TYMS — Thymidylate synthase,仍可探索,PYGWGZALEOIKDF-UHFFFAOYSA-N__CHEMBL1952,138,9,11,94,15
159,etonogestrel,VDR — Vitamin D3 receptor,仍可探索,GCKFUYQCUCGESZ-BPIQYHPVSA-N__CHEMBL1977,2,34,8,15,15
160,quetiapine,ESRRG — Estrogen-related receptor gamma,仍可探索,URKOMYMAXPYINW-UHFFFAOYSA-N__CHEMBL4245,127,3,13,104,15
161,naltrexone,"PDE9A — High affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A",仍可探索,DQCKKXVULJGBQN-XFWGSAIBSA-N__CHEMBL3535,28,251,57,5,15
162,nicardipine,FAAH — Fatty-acid amide hydrolase 1,仍可探索,ZBBHBTPTTSWHBA-UHFFFAOYSA-N__CHEMBL2243,119,4,9,151,15
163,panobinostat,PARP2 — Poly [ADP-ribose] polymerase 2,仍可探索,FPOHNWQLNRZRFC-ZHACJKMWSA-N__CHEMBL5366,47,35,21,35,15
164,enasidenib,GSK3B — Glycogen synthase kinase-3 beta,仍可探索,DYLUUSLLRIQKOE-UHFFFAOYSA-N__CHEMBL262,10,16,12,54,15
165,tipiracil,TYMS — Thymidylate synthase,仍可探索,QQHMKNYGKVVGCZ-UHFFFAOYSA-N__CHEMBL1952,87,9,9,76,15
166,dasabuvir,AR — Androgen receptor,仍可探索,NBRBXGKOEOGLOI-UHFFFAOYSA-N__CHEMBL1871,23,14,9,83,16
167,elexacaftor,"PIK3CG — Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform",仍可探索,MVRHVFSOIWFBTE-INIZCTEOSA-N__CHEMBL3267,134,2,4,171,16
168,labetalol,ACE — Angiotensin-converting enzyme,仍可探索,SGUAFYQXFOLMHL-UHFFFAOYSA-N__CHEMBL1808,28,24,14,43,16
169,ubrogepant,JAK3 — Tyrosine-protein kinase JAK3,仍可探索,DDOOFTLHJSMHLN-ZQHRPCGSSA-N__CHEMBL2148,13,9,4,102,16
