drug_chembl_id,candidate_anchor_gene,drug_chembl_id_originals,generic_name,candidate_anchor_name,first_approval_year,directions,review_ids,strict895_row_count,pair_priority_class,max_candidate_total_score,max_non_table_evidence_count,any_direct_known_label,any_known_drug_target_pair,fda_text_known_target_match,automated_novel_target_candidate,literature_window,post_approval_window_start,lit_ok,pair_pubmed_count_2000_2026,pair_pubmed_pmids_2000_2026,pair_pubmed_url_2000_2026,post_approval_pair_pubmed_count,post_approval_pair_pubmed_pmids,post_approval_pair_pubmed_url,literature_class,counts_as_reported_old_drug_new_target_signal,in_previous_12696_literature_audit,strict895_literature_status
CHEMBL1200678,CCND1,CHEMBL1200678,Atazanavir Sulfate,G1/S-specific cyclin-D1,2014.0,oncology,strict895_0014,1,strict895,103.496,5,False,False,False,True,2000/01/01..2026/06/24,2014/01/01,True,0,,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%22Atazanavir+Sulfate%22%5BTitle%2FAbstract%5D+OR+%22Atazanavir%22%5BTitle%2FAbstract%5D%29+AND+%28%22CCND1%22%5BTitle%2FAbstract%5D+OR+%22G1%2FS-specific+cyclin-D1%22%5BTitle%2FAbstract%5D%29+AND+%28%222000%2F01%2F01%22%5BPDAT%5D+%3A+%222026%2F06%2F24%22%5BPDAT%5D%29&retmode=json&retmax=3&sort=pub%2Bdate,0,,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%22Atazanavir+Sulfate%22%5BTitle%2FAbstract%5D+OR+%22Atazanavir%22%5BTitle%2FAbstract%5D%29+AND+%28%22CCND1%22%5BTitle%2FAbstract%5D+OR+%22G1%2FS-specific+cyclin-D1%22%5BTitle%2FAbstract%5D%29+AND+%28%222014%2F01%2F01%22%5BPDAT%5D+%3A+%222026%2F06%2F24%22%5BPDAT%5D%29&retmode=json&retmax=3&sort=pub%2Bdate,no_pubmed_pair_report_2000_2026,False,True,unreported_in_pubmed_pair_audit
CHEMBL4298128,IDH1,CHEMBL4298128,"Elexacaftor, Ivacaftor, Tezacaftor",Isocitrate dehydrogenase [NADP] cytoplasmic,2019.0,oncology,strict895_0015,1,strict895,103.392,5,False,False,False,True,2000/01/01..2026/06/24,2019/01/01,True,0,,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%22Elexacaftor%2C+Ivacaftor%2C+Tezacaftor%22%5BTitle%2FAbstract%5D%29+AND+%28%22IDH1%22%5BTitle%2FAbstract%5D+OR+%22Isocitrate+dehydrogenase+%5BNADP%5D+cytoplasmic%22%5BTitle%2FAbstract%5D%29+AND+%28%222000%2F01%2F01%22%5BPDAT%5D+%3A+%222026%2F06%2F24%22%5BPDAT%5D%29&retmode=json&retmax=3&sort=pub%2Bdate,0,,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%22Elexacaftor%2C+Ivacaftor%2C+Tezacaftor%22%5BTitle%2FAbstract%5D%29+AND+%28%22IDH1%22%5BTitle%2FAbstract%5D+OR+%22Isocitrate+dehydrogenase+%5BNADP%5D+cytoplasmic%22%5BTitle%2FAbstract%5D%29+AND+%28%222019%2F01%2F01%22%5BPDAT%5D+%3A+%222026%2F06%2F24%22%5BPDAT%5D%29&retmode=json&retmax=3&sort=pub%2Bdate,no_pubmed_pair_report_2000_2026,False,False,unreported_in_pubmed_pair_audit
CHEMBL1201134,KRAS,CHEMBL1201134,Lubiprostone,GTPase KRas,2006.0,immune,strict895_0016,1,strict895,103.378,5,False,False,False,True,2000/01/01..2026/06/24,2006/01/01,True,0,,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%22Lubiprostone%22%5BTitle%2FAbstract%5D%29+AND+%28%22KRAS%22%5BTitle%2FAbstract%5D+OR+%22GTPase+KRas%22%5BTitle%2FAbstract%5D%29+AND+%28%222000%2F01%2F01%22%5BPDAT%5D+%3A+%222026%2F06%2F24%22%5BPDAT%5D%29&retmode=json&retmax=3&sort=pub%2Bdate,0,,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%22Lubiprostone%22%5BTitle%2FAbstract%5D%29+AND+%28%22KRAS%22%5BTitle%2FAbstract%5D+OR+%22GTPase+KRas%22%5BTitle%2FAbstract%5D%29+AND+%28%222006%2F01%2F01%22%5BPDAT%5D+%3A+%222026%2F06%2F24%22%5BPDAT%5D%29&retmode=json&retmax=3&sort=pub%2Bdate,no_pubmed_pair_report_2000_2026,False,False,unreported_in_pubmed_pair_audit
CHEMBL3039247,KRAS,CHEMBL3039247,Hydrocortisone Butyrate,GTPase KRas,2007.0,dermatology,strict895_0017,1,strict895,103.272,5,False,False,False,True,2000/01/01..2026/06/24,2007/01/01,True,0,,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%22Hydrocortisone+Butyrate%22%5BTitle%2FAbstract%5D%29+AND+%28%22KRAS%22%5BTitle%2FAbstract%5D+OR+%22GTPase+KRas%22%5BTitle%2FAbstract%5D%29+AND+%28%222000%2F01%2F01%22%5BPDAT%5D+%3A+%222026%2F06%2F24%22%5BPDAT%5D%29&retmode=json&retmax=3&sort=pub%2Bdate,0,,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%22Hydrocortisone+Butyrate%22%5BTitle%2FAbstract%5D%29+AND+%28%22KRAS%22%5BTitle%2FAbstract%5D+OR+%22GTPase+KRas%22%5BTitle%2FAbstract%5D%29+AND+%28%222007%2F01%2F01%22%5BPDAT%5D+%3A+%222026%2F06%2F24%22%5BPDAT%5D%29&retmode=json&retmax=3&sort=pub%2Bdate,no_pubmed_pair_report_2000_2026,False,False,unreported_in_pubmed_pair_audit
CHEMBL2374220,CCND1,CHEMBL2374220,Ledipasvir,G1/S-specific cyclin-D1,2014.0,oncology,strict895_0018,1,strict895,103.138,5,False,False,False,True,2000/01/01..2026/06/24,2014/01/01,True,0,,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%22Ledipasvir%22%5BTitle%2FAbstract%5D%29+AND+%28%22CCND1%22%5BTitle%2FAbstract%5D+OR+%22G1%2FS-specific+cyclin-D1%22%5BTitle%2FAbstract%5D%29+AND+%28%222000%2F01%2F01%22%5BPDAT%5D+%3A+%222026%2F06%2F24%22%5BPDAT%5D%29&retmode=json&retmax=3&sort=pub%2Bdate,0,,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%22Ledipasvir%22%5BTitle%2FAbstract%5D%29+AND+%28%22CCND1%22%5BTitle%2FAbstract%5D+OR+%22G1%2FS-specific+cyclin-D1%22%5BTitle%2FAbstract%5D%29+AND+%28%222014%2F01%2F01%22%5BPDAT%5D+%3A+%222026%2F06%2F24%22%5BPDAT%5D%29&retmode=json&retmax=3&sort=pub%2Bdate,no_pubmed_pair_report_2000_2026,False,False,unreported_in_pubmed_pair_audit
CHEMBL2364608,EZH2,CHEMBL2364608;CHEMBL2364608__DORAVIRINE,Doravirine And Islatravir,Histone-lysine N-methyltransferase EZH2,2018.0,oncology,strict895_0019;strict895_0020,2,strict895,103.077,5,False,False,False,True,2000/01/01..2026/06/24,2018/01/01,True,0,,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%22Doravirine+And+Islatravir%22%5BTitle%2FAbstract%5D%29+AND+%28%22EZH2%22%5BTitle%2FAbstract%5D+OR+%22Histone-lysine+N-methyltransferase+EZH2%22%5BTitle%2FAbstract%5D%29+AND+%28%222000%2F01%2F01%22%5BPDAT%5D+%3A+%222026%2F06%2F24%22%5BPDAT%5D%29&retmode=json&retmax=3&sort=pub%2Bdate,0,,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%22Doravirine+And+Islatravir%22%5BTitle%2FAbstract%5D%29+AND+%28%22EZH2%22%5BTitle%2FAbstract%5D+OR+%22Histone-lysine+N-methyltransferase+EZH2%22%5BTitle%2FAbstract%5D%29+AND+%28%222018%2F01%2F01%22%5BPDAT%5D+%3A+%222026%2F06%2F24%22%5BPDAT%5D%29&retmode=json&retmax=3&sort=pub%2Bdate,no_pubmed_pair_report_2000_2026,False,True,unreported_in_pubmed_pair_audit
CHEMBL3707247,AR,CHEMBL3707247,Ozanimod Hydrochloride,Androgen receptor,2020.0,dermatology,strict895_0021,1,strict895,102.952,5,False,False,False,True,2000/01/01..2026/06/24,2020/01/01,True,0,,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%22Ozanimod+Hydrochloride%22%5BTitle%2FAbstract%5D+OR+%22Ozanimod%22%5BTitle%2FAbstract%5D%29+AND+%28%22AR%22%5BTitle%2FAbstract%5D+OR+%22Androgen+receptor%22%5BTitle%2FAbstract%5D%29+AND+%28%222000%2F01%2F01%22%5BPDAT%5D+%3A+%222026%2F06%2F24%22%5BPDAT%5D%29&retmode=json&retmax=3&sort=pub%2Bdate,0,,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%22Ozanimod+Hydrochloride%22%5BTitle%2FAbstract%5D+OR+%22Ozanimod%22%5BTitle%2FAbstract%5D%29+AND+%28%22AR%22%5BTitle%2FAbstract%5D+OR+%22Androgen+receptor%22%5BTitle%2FAbstract%5D%29+AND+%28%222020%2F01%2F01%22%5BPDAT%5D+%3A+%222026%2F06%2F24%22%5BPDAT%5D%29&retmode=json&retmax=3&sort=pub%2Bdate,no_pubmed_pair_report_2000_2026,False,True,unreported_in_pubmed_pair_audit
CHEMBL3039514,CCND1,CHEMBL3039514,Elbasvir,G1/S-specific cyclin-D1,2016.0,oncology,strict895_0022,1,strict895,102.892,5,False,False,False,True,2000/01/01..2026/06/24,2016/01/01,True,0,,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%22Elbasvir%22%5BTitle%2FAbstract%5D%29+AND+%28%22CCND1%22%5BTitle%2FAbstract%5D+OR+%22G1%2FS-specific+cyclin-D1%22%5BTitle%2FAbstract%5D%29+AND+%28%222000%2F01%2F01%22%5BPDAT%5D+%3A+%222026%2F06%2F24%22%5BPDAT%5D%29&retmode=json&retmax=3&sort=pub%2Bdate,0,,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%22Elbasvir%22%5BTitle%2FAbstract%5D%29+AND+%28%22CCND1%22%5BTitle%2FAbstract%5D+OR+%22G1%2FS-specific+cyclin-D1%22%5BTitle%2FAbstract%5D%29+AND+%28%222016%2F01%2F01%22%5BPDAT%5D+%3A+%222026%2F06%2F24%22%5BPDAT%5D%29&retmode=json&retmax=3&sort=pub%2Bdate,no_pubmed_pair_report_2000_2026,False,False,unreported_in_pubmed_pair_audit
CHEMBL1755,CCND1,CHEMBL1755,Conivaptan Hydrochloride,G1/S-specific cyclin-D1,2005.0,oncology,strict895_0023,1,strict895,102.849,5,False,False,False,True,2000/01/01..2026/06/24,2005/01/01,True,0,,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%22Conivaptan+Hydrochloride%22%5BTitle%2FAbstract%5D+OR+%22Conivaptan%22%5BTitle%2FAbstract%5D%29+AND+%28%22CCND1%22%5BTitle%2FAbstract%5D+OR+%22G1%2FS-specific+cyclin-D1%22%5BTitle%2FAbstract%5D%29+AND+%28%222000%2F01%2F01%22%5BPDAT%5D+%3A+%222026%2F06%2F24%22%5BPDAT%5D%29&retmode=json&retmax=3&sort=pub%2Bdate,0,,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%22Conivaptan+Hydrochloride%22%5BTitle%2FAbstract%5D+OR+%22Conivaptan%22%5BTitle%2FAbstract%5D%29+AND+%28%22CCND1%22%5BTitle%2FAbstract%5D+OR+%22G1%2FS-specific+cyclin-D1%22%5BTitle%2FAbstract%5D%29+AND+%28%222005%2F01%2F01%22%5BPDAT%5D+%3A+%222026%2F06%2F24%22%5BPDAT%5D%29&retmode=json&retmax=3&sort=pub%2Bdate,no_pubmed_pair_report_2000_2026,False,True,unreported_in_pubmed_pair_audit
CHEMBL2103846,RAF1,CHEMBL2103846,Ulipristal Acetate,RAF proto-oncogene serine/threonine-protein kinase,2010.0,cardiovascular,strict895_0024,1,strict895,102.594,5,False,False,False,True,2000/01/01..2026/06/24,2010/01/01,True,0,,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%22Ulipristal+Acetate%22%5BTitle%2FAbstract%5D+OR+%22Ulipristal%22%5BTitle%2FAbstract%5D%29+AND+%28%22RAF1%22%5BTitle%2FAbstract%5D+OR+%22RAF+proto-oncogene+serine%2Fthreonine-protein+kinase%22%5BTitle%2FAbstract%5D%29+AND+%28%222000%2F01%2F01%22%5BPDAT%5D+%3A+%222026%2F06%2F24%22%5BPDAT%5D%29&retmode=json&retmax=3&sort=pub%2Bdate,0,,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%22Ulipristal+Acetate%22%5BTitle%2FAbstract%5D+OR+%22Ulipristal%22%5BTitle%2FAbstract%5D%29+AND+%28%22RAF1%22%5BTitle%2FAbstract%5D+OR+%22RAF+proto-oncogene+serine%2Fthreonine-protein+kinase%22%5BTitle%2FAbstract%5D%29+AND+%28%222010%2F01%2F01%22%5BPDAT%5D+%3A+%222026%2F06%2F24%22%5BPDAT%5D%29&retmode=json&retmax=3&sort=pub%2Bdate,no_pubmed_pair_report_2000_2026,False,False,unreported_in_pubmed_pair_audit
