新靶点名称,新靶点基因,新靶点ChEMBL编号,原拟用对照,原对照ChEMBL编号,target_chembl_id,control_chembl_id,control_name,control_inchikey,fda_identity_tier,exact_fda_structure_match,fda_applications,fda_urls,endpoint,numeric_median_nM,positive_rows,weak_rows,affinity_conflict,representative_value_nM,representative_relation,assay_url,assay_description,doi,pubmed_id,status,endpoint_order,覆盖类别,未入选原因
"CYP11B1 — Cytochrome P450 11B1, mitochondrial",CYP11B1,CHEMBL1908,KETOCONAZOLE,CHEMBL157101,CHEMBL1908,CHEMBL3099695,OSILODROSTAT,USUZGMWDZDXMDG-CYBMUJFWSA-N,项目FDA注册表完整InChIKey匹配,True,NDA212801,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=212801,IC50,2.9,7.0,0.0,False,2.5,=,https://www.ebi.ac.uk/chembl/explore/assay/CHEMBL3101040,Inhibition of human recombinant CYP11B1 using 11-deoxycortisol as substrate by cell-based assay,10.1021/ml400324c,24900631.0,仅结合类IC50，SPR适用性需另证,2.0,C_仅结合类IC50线索,
XDH — Xanthine dehydrogenase/oxidase,XDH,CHEMBL1929,TOPIROXOSTAT,CHEMBL1078685,CHEMBL1929,CHEMBL1164729,FEBUXOSTAT,BQSJTQLCZDPROO-UHFFFAOYSA-N,项目FDA注册表完整InChIKey匹配,True,NDA021856,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021856,Ki,0.35,4.0,0.0,False,0.1,=,https://www.ebi.ac.uk/chembl/explore/assay/CHEMBL4054643,Non-competitive inhibition of human xanthine oxidase,10.1016/j.ejmech.2017.04.031,28478180.0,直接亲和候选，构建与SPR适用性待确认,1.0,A_完整FDA结构匹配且有Kd或Ki线索,
"ALDH2 — Aldehyde dehydrogenase, mitochondrial",ALDH2,CHEMBL1935,PRUNETIN,CHEMBL491174,,,,,,,,,,,,,,,,,,,,,,D_本次未找到合格FDA线索_不代表不存在,在本次身份、单人源蛋白、端点及阈值口径下未找到；不是无FDA药的结论
KIT — Mast/stem cell growth factor receptor Kit,KIT,CHEMBL1936,STAUROSPORINE,CHEMBL388978,CHEMBL1936,CHEMBL535,SUNITINIB,WINHZLLDWRZWRT-ATVHPVEESA-N,项目FDA注册表完整InChIKey匹配,True,NDA021938; NDA021968,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021938; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021968,Kd,0.37,3.0,0.0,False,0.71,=,https://www.ebi.ac.uk/chembl/explore/assay/CHEMBL860918,Average Binding Constant for KIT; NA=Not Active at 10 uM,10.1038/nbt1068,15711537.0,直接亲和候选，构建与SPR适用性待确认,0.0,A_完整FDA结构匹配且有Kd或Ki线索,
HDAC2 — Histone deacetylase 2,HDAC2,CHEMBL1937,研究化合物 CHEMBL235842（无通用名称）,CHEMBL235842,CHEMBL1937,CHEMBL98,VORINOSTAT,WAEXFXRVDQXREF-UHFFFAOYSA-N,项目FDA注册表完整InChIKey匹配,True,NDA021991,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021991,Kd,163.0,1.0,0.0,False,163.0,=,https://www.ebi.ac.uk/chembl/explore/assay/CHEMBL5325200,Binding affinity to C-terminal His-tagged human HDAC2 (2 to 488 residues) in transfected in baculovirus infected Sf9 cells assessed as dissociation constant,10.1021/acs.jmedchem.3c01160,37651268.0,直接亲和候选，构建与SPR适用性待确认,0.0,A_完整FDA结构匹配且有Kd或Ki线索,
MME — Neprilysin,MME,CHEMBL1944,OMAPATRILAT,CHEMBL289556,,,,,,,,,,,,,,,,,,,,,,D_本次未找到合格FDA线索_不代表不存在,在本次身份、单人源蛋白、端点及阈值口径下未找到；不是无FDA药的结论
THRB — Thyroid hormone receptor beta,THRB,CHEMBL1947,LIOTHYRONINE,CHEMBL1544,CHEMBL1947,CHEMBL1544,LIOTHYRONINE,AUYYCJSJGJYCDS-LBPRGKRZSA-N,FDA成分/活性母体名称匹配；结构身份待复核,False,ANDA076923; ANDA090097; ANDA091382; ANDA200295; ANDA211510; ANDA214803; ANDA218070; NDA010379,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=076923; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=090097; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=091382,Kd,0.1,3.0,0.0,False,0.1,=,https://www.ebi.ac.uk/chembl/explore/assay/CHEMBL811897,Binding affinity against human Thyroid hormone receptor beta 1 (hTRbeta1) using radiolabeled T3,10.1021/jm0201013,12109914.0,直接亲和候选，构建与SPR适用性待确认,0.0,B_FDA名称匹配且有Kd或Ki线索_身份待复核,
TYMS — Thymidylate synthase,TYMS,CHEMBL1952,5-FLUORODEOXYURIDYLATE,CHEMBL886,CHEMBL1952,CHEMBL225072,PEMETREXED,WBXPDJSOTKVWSJ-ZDUSSCGKSA-N,FDA成分/活性母体名称匹配；结构身份待复核,False,ANDA090384; ANDA202596; ANDA203485; ANDA203774; ANDA204890; ANDA207352; ANDA208696; ANDA209851; ANDA211899; ANDA214073; ANDA214632; ANDA215460; ANDA215479; ANDA216582; NDA021462; NDA021677; NDA208419; NDA209472; NDA214218; NDA214657; NDA215179,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=090384; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=202596; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=203485,Ki,170.65,2.0,0.0,False,340.0,=,https://www.ebi.ac.uk/chembl/explore/assay/CHEMBL830242,Inhibition of human thymidylate synthetase at 37 degree C pH 7.4,10.1021/jm058213s,16078850.0,直接亲和候选，构建与SPR适用性待确认,1.0,B_FDA名称匹配且有Kd或Ki线索_身份待复核,
IGF1R — Insulin-like growth factor 1 receptor,IGF1R,CHEMBL1957,LINSITINIB,CHEMBL1091644,CHEMBL1957,CHEMBL3545311,BRIGATINIB,AILRADAXUVEEIR-UHFFFAOYSA-N,项目FDA注册表完整InChIKey匹配,True,NDA208772,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=208772,IC50,73.0,3.0,0.0,False,24.9,=,https://www.ebi.ac.uk/chembl/explore/assay/CHEMBL3824710,Inhibition of human IGF1R using KKKSPGEYVNIEFG as substrate and [gamma-33P]ATP measured after 1 hr,10.1021/acs.jmedchem.6b00306,27144831.0,仅结合类IC50，SPR适用性需另证,2.0,C_仅结合类IC50线索,
FLT3 — Receptor-type tyrosine-protein kinase FLT3,FLT3,CHEMBL1974,STAUROSPORINE,CHEMBL388978,CHEMBL1974,CHEMBL535,SUNITINIB,WINHZLLDWRZWRT-ATVHPVEESA-N,项目FDA注册表完整InChIKey匹配,True,NDA021938; NDA021968,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021938; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021968,Kd,0.635,4.0,0.0,False,0.8,=,https://www.ebi.ac.uk/chembl/explore/assay/CHEMBL860797,Average Binding Constant for FLT3; NA=Not Active at 10 uM,10.1038/nbt1068,15711537.0,直接亲和候选，构建与SPR适用性待确认,0.0,A_完整FDA结构匹配且有Kd或Ki线索,
VDR — Vitamin D3 receptor,VDR,CHEMBL1977,研究化合物 CHEMBL4066573（无通用名称）,CHEMBL4066573,CHEMBL1977,CHEMBL846,CALCITRIOL,GMRQFYUYWCNGIN-NKMMMXOESA-N,项目FDA注册表完整InChIKey匹配,True,NDA022087,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=022087,IC50,0.75,17.0,0.0,False,0.7,=,https://www.ebi.ac.uk/chembl/explore/assay/CHEMBL912214,"Displacement of [3H]1,25-dihydroxyvitamin D3 from human VDR by HAP assay",10.1021/jm0609925,17149880.0,仅结合类IC50，SPR适用性需另证,2.0,C_仅结合类IC50线索,
CYP19A1 — Aromatase,CYP19A1,CHEMBL1978,ANASTROZOLE,CHEMBL1399,CHEMBL1978,CHEMBL1399,ANASTROZOLE,YBBLVLTVTVSKRW-UHFFFAOYSA-N,项目FDA注册表完整InChIKey匹配,True,NDA022214,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=022214,Ki,0.13,1.0,0.0,False,0.13,=,https://www.ebi.ac.uk/chembl/explore/assay/CHEMBL1961308,Competitive inhibition of human aromatase using dibenzylfluorescein substrate after 10 mins preincubation measured every 10 sec for 5 mins by Michaelis-Menten and Dixon plot analysis,10.1016/j.bmc.2012.01.047,22386564.0,直接亲和候选，构建与SPR适用性待确认,1.0,A_完整FDA结构匹配且有Kd或Ki线索,
INSR — Insulin receptor,INSR,CHEMBL1981,STAUROSPORINE,CHEMBL388978,CHEMBL1981,CHEMBL2403108,CERITINIB,VERWOWGGCGHDQE-UHFFFAOYSA-N,项目FDA注册表完整InChIKey匹配,True,NDA211225,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=211225,IC50,93.0,5.0,0.0,False,319.5,=,https://www.ebi.ac.uk/chembl/explore/assay/CHEMBL2406363,Inhibition of TEL-fused insulin receptor (unknown origin) expressed in mouse BAF3 cells after 2 to 3 days by luciferase reporter gene assay,10.1021/jm400402q,23742252.0,仅结合类IC50，SPR适用性需另证,2.0,C_仅结合类IC50线索,
DNMT1 — DNA (cytosine-5)-methyltransferase 1,DNMT1,CHEMBL1993,研究化合物 CHEMBL5592841（无通用名称）,CHEMBL5592841,CHEMBL1993,CHEMBL1201129,DECITABINE,XAUDJQYHKZQPEU-KVQBGUIXSA-N,FDA成分/活性母体名称匹配；结构身份待复核,False,ANDA202969; ANDA203131; ANDA203475; ANDA204607; ANDA205539; ANDA206033; ANDA207100; ANDA209056; ANDA212117; ANDA212265; ANDA212826; ANDA212959; ANDA213472; ANDA214486; ANDA215355; ANDA217814; NDA212576,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=202969; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=203131; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=203475,IC50,30.0,1.0,0.0,False,30.0,=,https://www.ebi.ac.uk/chembl/explore/assay/CHEMBL4137467,Inhibition of human DNMT1 using polydeoxyinosine polydeoxycytosine DNA as substrate after 15 mins in presence of SAM by TR-FRET assay,10.1021/acs.jmedchem.7b01926,29953809.0,仅结合类IC50，SPR适用性需另证,2.0,C_仅结合类IC50线索,
NR3C2 — Mineralocorticoid receptor,NR3C2,CHEMBL1994,ALDOSTERONE,CHEMBL273453,CHEMBL1994,CHEMBL103,PROGESTERONE,RJKFOVLPORLFTN-LEKSSAKUSA-N,项目FDA注册表完整InChIKey匹配,True,NDA022057; NDA210132,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=022057; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=210132,Kd,0.39,1.0,0.0,False,0.39,=,https://www.ebi.ac.uk/chembl/explore/assay/CHEMBL729176,Affinity for recombinant Mineralocorticoid receptor,10.1021/jm9601359,8709117.0,直接亲和候选，构建与SPR适用性待确认,0.0,A_完整FDA结构匹配且有Kd或Ki线索,
PDGFRA — Platelet-derived growth factor receptor alpha,PDGFRA,CHEMBL2007,STAUROSPORINE,CHEMBL388978,CHEMBL2007,CHEMBL535,SUNITINIB,WINHZLLDWRZWRT-ATVHPVEESA-N,项目FDA注册表完整InChIKey匹配,True,NDA021938; NDA021968,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021938; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021968,Kd,0.79,1.0,0.0,False,0.79,=,https://www.ebi.ac.uk/chembl/explore/assay/CHEMBL1062783,Binding constant for PDGFRA kinase domain,10.1038/nbt1358,18183025.0,直接亲和候选，构建与SPR适用性待确认,0.0,A_完整FDA结构匹配且有Kd或Ki线索,
RARB — Retinoic acid receptor beta,RARB,CHEMBL2008,TRETINOIN,CHEMBL38,CHEMBL2008,CHEMBL38,TRETINOIN,SHGAZHPCJJPHSC-YCNIQYBTSA-N,项目FDA注册表完整InChIKey匹配,True,NDA022070; NDA050802; NDA050803; NDA209353; NDA214902,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=022070; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=050802; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=050803,Kd,11.0,3.0,0.0,False,11.0,=,https://www.ebi.ac.uk/chembl/explore/assay/CHEMBL807724,Binding affinity towards retinoic acid receptor beta was determined using [3H]ATRA (5 nM) as radioligand,10.1016/s0960-894x(01)00058-0,11277515.0,直接亲和候选，构建与SPR适用性待确认,0.0,A_完整FDA结构匹配且有Kd或Ki线索,
DHFR — Dihydrofolate reductase,DHFR,CHEMBL202,研究化合物 CHEMBL310759（无通用名称）,CHEMBL310759,CHEMBL202,CHEMBL1201746,PRALATREXATE,OGSBUKJUDHAQEA-WMCAAGNKSA-N,FDA成分/活性母体名称匹配；结构身份待复核,False,ANDA206183; NDA022468,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=206183; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=022468,Ki,0.0134,1.0,0.0,False,0.0134,=,https://www.ebi.ac.uk/chembl/explore/assay/CHEMBL5150449,Inhibition of DHFR (unknown origin) at pH 6.7,10.1016/j.ejmech.2021.113218,33540357.0,直接亲和候选，构建与SPR适用性待确认,1.0,B_FDA名称匹配且有Kd或Ki线索_身份待复核,
COMT — Catechol O-methyltransferase,COMT,CHEMBL2023,研究化合物 CHEMBL5653589（无通用名称）,CHEMBL5653589,CHEMBL2023,CHEMBL1089318,OPICAPONE,ASOADIZOVZTJSR-UHFFFAOYSA-N,项目FDA注册表完整InChIKey匹配,True,NDA212489,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=212489,Ki,5.5,2.0,0.0,False,1.0,=,https://www.ebi.ac.uk/chembl/explore/assay/CHEMBL3291944,Inhibition of catalytic activity of human cloned COMT expressed in Escherichia coli using [3H]-S-adenosylmethionine as substrate after 20 mins by liquid scintillation counting,10.1021/jm500475k,24847974.0,直接亲和候选，构建与SPR适用性待确认,1.0,A_完整FDA结构匹配且有Kd或Ki线索,
NR3C1 — Glucocorticoid receptor,NR3C1,CHEMBL2034,PREDNISONE,CHEMBL635,CHEMBL2034,CHEMBL384467,DEXAMETHASONE,UREBDLICKHMUKA-CXSFZGCWSA-N,项目FDA注册表完整InChIKey匹配,True,NDA022315; NDA050818; NDA208742; NDA208912; NDA211379,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=022315; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=050818; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=208742,Kd,2.8,3.0,0.0,False,19.0,=,https://www.ebi.ac.uk/chembl/explore/assay/CHEMBL4322137,Inhibition of glucocorticoid receptor (unknown origin),10.1021/acs.jmedchem.8b01732,31188592.0,直接亲和候选，构建与SPR适用性待确认,0.0,A_完整FDA结构匹配且有Kd或Ki线索,
MAOB — Amine oxidase [flavin-containing] B,MAOB,CHEMBL2039,LAZABEMIDE,CHEMBL279390,CHEMBL2039,CHEMBL972,SELEGILINE,MEZLKOACVSPNER-GFCCVEGCSA-N,项目FDA注册表完整InChIKey匹配,True,NDA021336; NDA021479; NDA021708,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021336; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021479; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021708,Kd,58.9,1.0,0.0,False,58.9,=,https://www.ebi.ac.uk/chembl/explore/assay/CHEMBL3404821,Binding affinity to human recombinant microsomal MAO-B by ITC,10.1016/j.bmc.2014.12.063,25600407.0,直接亲和候选，构建与SPR适用性待确认,0.0,A_完整FDA结构匹配且有Kd或Ki线索,
RET — Proto-oncogene tyrosine-protein kinase receptor Ret,RET,CHEMBL2041,STAUROSPORINE,CHEMBL388978,CHEMBL2041,CHEMBL502835,NINTEDANIB,XZXHXSATPCNXJR-ZIADKAODSA-N,项目FDA注册表完整InChIKey匹配,True,NDA205832,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=205832,Kd,3.0,1.0,0.0,False,3.0,=,https://www.ebi.ac.uk/chembl/explore/assay/CHEMBL3991867,"Kinobeads (epsilon), multiple immobilized ATP-competitive broad spectrum kinase inhibitors, used to assess residual binding of ~300 proteins simultaneously from cell lysate in the presence of a compound. Quantitative readout performed by mass spectrometry.",10.1126/science.aan4368,29191878.0,直接亲和候选，构建与SPR适用性待确认,0.0,A_完整FDA结构匹配且有Kd或Ki线索,
CA2 — Carbonic anhydrase 2,CA2,CHEMBL205,DORZOLAMIDE,CHEMBL218490,CHEMBL205,CHEMBL218490,DORZOLAMIDE,IAVUPMFITXYVAF-XPUUQOCRSA-N,项目FDA注册表完整InChIKey匹配,True,NDA202667,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=202667,Kd,0.043,1.0,0.0,False,0.043,=,https://www.ebi.ac.uk/chembl/explore/assay/CHEMBL3419421,Binding affinity to human carbonic anhydrase 2 incubated for 1 hr using labeled BODIPY558/568-acetazolamide as tracer by fluorescence polarization tight binding assay,10.1021/acs.jmedchem.5b00043,25728019.0,直接亲和候选，构建与SPR适用性待确认,0.0,A_完整FDA结构匹配且有Kd或Ki线索,
