target_chembl_id,control_chembl_id,control_name,control_inchikey,fda_identity_tier,exact_fda_structure_match,fda_applications,fda_urls,endpoint,numeric_median_nM,positive_rows,weak_rows,affinity_conflict,representative_value_nM,representative_relation,assay_url,assay_description,doi,pubmed_id,status,endpoint_order
CHEMBL1994,CHEMBL389621,HYDROCORTISONE,JYGXADMDTFJGBT-VWUMJDOOSA-N,项目FDA注册表完整InChIKey匹配,True,NDA022436; NDA213876; NDA218980,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=022436; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=213876; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=218980,Kd,0.5,1,0,False,0.5,=,https://www.ebi.ac.uk/chembl/explore/assay/CHEMBL4008026,Binding affinity to MR (unknown origin),10.1021/acs.jmedchem.6b01065,28051871.0,直接亲和候选，构建与SPR适用性待确认,0
CHEMBL1974,CHEMBL535,SUNITINIB,WINHZLLDWRZWRT-ATVHPVEESA-N,项目FDA注册表完整InChIKey匹配,True,NDA021938; NDA021968,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021938; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021968,Kd,0.635,4,0,False,0.8,=,https://www.ebi.ac.uk/chembl/explore/assay/CHEMBL860797,Average Binding Constant for FLT3; NA=Not Active at 10 uM,10.1038/nbt1068,15711537.0,直接亲和候选，构建与SPR适用性待确认,0
CHEMBL2007,CHEMBL535,SUNITINIB,WINHZLLDWRZWRT-ATVHPVEESA-N,项目FDA注册表完整InChIKey匹配,True,NDA021938; NDA021968,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021938; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021968,Kd,0.79,1,0,False,0.79,=,https://www.ebi.ac.uk/chembl/explore/assay/CHEMBL1062783,Binding constant for PDGFRA kinase domain,10.1038/nbt1358,18183025.0,直接亲和候选，构建与SPR适用性待确认,0
CHEMBL1824,CHEMBL1873475,IBRUTINIB,XYFPWWZEPKGCCK-GOSISDBHSA-N,项目FDA注册表完整InChIKey匹配,True,NDA205552; NDA210563; NDA217003,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=205552; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=210563; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=217003,Kd,0.975,2,0,False,1.2,=,https://www.ebi.ac.uk/chembl/explore/assay/CHEMBL4358519,Binding affinity to DNA-tagged recombinant ERBB2 (unknown origin) measured after 1 hr by biotinylated-ligand affinity bead-based qPCR analysis,10.1021/acs.jmedchem.9b01916,32083858.0,直接亲和候选，构建与SPR适用性待确认,0
CHEMBL267,CHEMBL288441,BOSUTINIB,UBPYILGKFZZVDX-UHFFFAOYSA-N,项目FDA注册表完整InChIKey匹配,True,NDA203341; NDA217729,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=203341; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=217729,Kd,1.0,4,0,False,1.0,=,https://www.ebi.ac.uk/chembl/explore/assay/CHEMBL3784716,Binding affinity to SRC (unknown origin),10.1021/acs.jmedchem.5b01618,26789553.0,直接亲和候选，构建与SPR适用性待确认,0
CHEMBL3717,CHEMBL3402762,TEPOTINIB,AHYMHWXQRWRBKT-UHFFFAOYSA-N,项目FDA注册表完整InChIKey匹配,True,NDA214096,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=214096,Kd,1.0,1,0,False,1.0,=,https://www.ebi.ac.uk/chembl/explore/assay/CHEMBL3991789,"Kinobeads (epsilon), multiple immobilized ATP-competitive broad spectrum kinase inhibitors, used to assess residual binding of ~300 proteins simultaneously from cell lysate in the presence of a compound. Quantitative readout performed by mass spectrometry.",10.1126/science.aan4368,29191878.0,直接亲和候选，构建与SPR适用性待确认,0
CHEMBL4005,CHEMBL592445,GEDATOLISIB,DWZAEMINVBZMHQ-UHFFFAOYSA-N,项目FDA注册表完整InChIKey匹配,True,NDA219908,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=219908,Kd,1.0,1,0,False,1.0,=,https://www.ebi.ac.uk/chembl/explore/assay/CHEMBL4019279,Binding affinity to human PI3Kalpha (R108 to N1068 residues) expressed in mammalian expression system by Kinomescan assay,10.1021/acs.jmedchem.7b00930,28829592.0,直接亲和候选，构建与SPR适用性待确认,0
CHEMBL4247,CHEMBL2403108,CERITINIB,VERWOWGGCGHDQE-UHFFFAOYSA-N,项目FDA注册表完整InChIKey匹配,True,NDA211225,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=211225,Kd,1.3,1,0,False,1.3,=,https://www.ebi.ac.uk/chembl/explore/assay/CHEMBL4152830,Binding affinity to wild-type human partial length ALK (I1088 to E1409 residues) expressed in mammalian expression system by KINOMEscan assay,10.1016/j.ejmech.2018.03.071,29627725.0,直接亲和候选，构建与SPR适用性待确认,0
CHEMBL279,CHEMBL535,SUNITINIB,WINHZLLDWRZWRT-ATVHPVEESA-N,项目FDA注册表完整InChIKey匹配,True,NDA021938; NDA021968,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021938; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021968,Kd,1.5,3,0,False,0.23,=,https://www.ebi.ac.uk/chembl/explore/assay/CHEMBL860900,Average Binding Constant for VEGFR2; NA=Not Active at 10 uM,10.1038/nbt1068,15711537.0,直接亲和候选，构建与SPR适用性待确认,0
CHEMBL1974,CHEMBL576982,QUIZARTINIB,CVWXJKQAOSCOAB-UHFFFAOYSA-N,项目FDA注册表完整InChIKey匹配,True,NDA216993,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=216993,Kd,1.6,9,0,False,102.0,=,https://www.ebi.ac.uk/chembl/explore/assay/CHEMBL3991719,"Kinobeads (epsilon), multiple immobilized ATP-competitive broad spectrum kinase inhibitors, used to assess residual binding of ~300 proteins simultaneously from cell lysate in the presence of a compound. Quantitative readout performed by mass spectrometry.",10.1126/science.aan4368,29191878.0,直接亲和候选，构建与SPR适用性待确认,0
CHEMBL1868,CHEMBL535,SUNITINIB,WINHZLLDWRZWRT-ATVHPVEESA-N,项目FDA注册表完整InChIKey匹配,True,NDA021938; NDA021968,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021938; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021968,Kd,1.8,1,0,False,1.8,=,https://www.ebi.ac.uk/chembl/explore/assay/CHEMBL1061174,Binding constant for FLT1 kinase domain,10.1038/nbt1358,18183025.0,直接亲和候选，构建与SPR适用性待确认,0
CHEMBL1844,CHEMBL535,SUNITINIB,WINHZLLDWRZWRT-ATVHPVEESA-N,项目FDA注册表完整InChIKey匹配,True,NDA021938; NDA021968,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021938; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021968,Kd,2.0,1,0,False,2.0,=,https://www.ebi.ac.uk/chembl/explore/assay/CHEMBL1063702,Binding constant for CSF1R kinase domain,10.1038/nbt1358,18183025.0,直接亲和候选，构建与SPR适用性待确认,0
CHEMBL2815,CHEMBL1983268,ENTRECTINIB,HAYYBYPASCDWEQ-UHFFFAOYSA-N,项目FDA注册表完整InChIKey匹配,True,NDA212725; NDA212726; NDA218550,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=212725; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=212726; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=218550,Kd,2.0,1,0,False,2.0,=,https://www.ebi.ac.uk/chembl/explore/assay/CHEMBL3991807,"Kinobeads (epsilon), multiple immobilized ATP-competitive broad spectrum kinase inhibitors, used to assess residual binding of ~300 proteins simultaneously from cell lysate in the presence of a compound. Quantitative readout performed by mass spectrometry.",10.1126/science.aan4368,29191878.0,直接亲和候选，构建与SPR适用性待确认,0
CHEMBL279,CHEMBL1289601,LENVATINIB,WOSKHXYHFSIKNG-UHFFFAOYSA-N,项目FDA注册表完整InChIKey匹配,True,NDA206947,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=206947,Kd,2.1,1,0,False,2.1,=,https://www.ebi.ac.uk/chembl/explore/assay/CHEMBL3378499,Binding affinity to VEGFR2 (unknown origin) by proteros reporter displacement assay,10.1021/ml500394m,25589937.0,直接亲和候选，构建与SPR适用性待确认,0
CHEMBL1827,CHEMBL779,TADALAFIL,WOXKDUGGOYFFRN-IIBYNOLFSA-N,项目FDA注册表完整InChIKey匹配,True,NDA022332; NDA214522; NDA218490,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=022332; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=214522; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=218490,Kd,2.15,2,0,False,2.4,=,https://www.ebi.ac.uk/chembl/explore/assay/CHEMBL5723290,Affinity Biochemical interaction: (competitive binding assay with radiolabelled [3H]tadalafil) EUB0002731a PDE5A,10.6019/CHEMBL5723035,,直接亲和候选，构建与SPR适用性待确认,0
CHEMBL2148,CHEMBL221959,TOFACITINIB,UJLAWZDWDVHWOW-YPMHNXCESA-N,项目FDA注册表完整InChIKey匹配,True,NDA203214; NDA208246; NDA213082,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=203214; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=208246; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=213082,Kd,2.2,1,0,False,2.2,=,https://www.ebi.ac.uk/chembl/explore/assay/CHEMBL1051335,Binding constant for JAK3(Kin.Dom.2/JH1 - catalytic) kinase domain,10.1038/nbt1358,18183025.0,直接亲和候选，构建与SPR适用性待确认,0
CHEMBL206,CHEMBL81,RALOXIFENE,GZUITABIAKMVPG-UHFFFAOYSA-N,项目FDA注册表完整InChIKey匹配,True,NDA022042,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=022042,Kd,2.4,1,0,False,2.4,=,https://www.ebi.ac.uk/chembl/explore/assay/CHEMBL6139029,Binding affinity to ERalpha (unknown origin) assessed as dissociation constant incubated for 2 hrs by competitive fluorescence polarization analysis,10.1021/acs.jmedchem.5c00490,40213902.0,直接亲和候选，构建与SPR适用性待确认,0
CHEMBL2252,CHEMBL3900409,BRENSOCATIB,AEXFXNFMSAAELR-RXVVDRJESA-N,项目FDA注册表完整InChIKey匹配,True,NDA217673,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=217673,Kd,2.512,1,0,False,2.512,=,https://www.ebi.ac.uk/chembl/explore/assay/CHEMBL3859664,Reversible inhibition of human recombinant DPP1 by surface plasmon resonance direct binding assay,10.1021/acs.jmedchem.6b01127,27690432.0,直接亲和候选，构建与SPR适用性待确认,0
CHEMBL1936,CHEMBL477772,PAZOPANIB,CUIHSIWYWATEQL-UHFFFAOYSA-N,项目FDA注册表完整InChIKey匹配,True,NDA022465,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=022465,Kd,2.8,2,0,False,2.8,=,https://www.ebi.ac.uk/chembl/explore/assay/CHEMBL1060197,Binding constant for KIT kinase domain,10.1038/nbt1358,18183025.0,直接亲和候选，构建与SPR适用性待确认,0
CHEMBL2034,CHEMBL384467,DEXAMETHASONE,UREBDLICKHMUKA-CXSFZGCWSA-N,项目FDA注册表完整InChIKey匹配,True,NDA022315; NDA050818; NDA208742; NDA208912; NDA211379,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=022315; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=050818; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=208742,Kd,2.8,3,0,False,19.0,=,https://www.ebi.ac.uk/chembl/explore/assay/CHEMBL4322137,Inhibition of glucocorticoid receptor (unknown origin),10.1021/acs.jmedchem.8b01732,31188592.0,直接亲和候选，构建与SPR适用性待确认,0
CHEMBL267,CHEMBL1421,DASATINIB ANHYDROUS,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,项目FDA注册表完整InChIKey匹配,True,NDA021986; NDA022072; NDA216099,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021986; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=022072; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=216099,Kd,2.877,2,0,False,2.754,=,https://www.ebi.ac.uk/chembl/explore/assay/CHEMBL5652522,Binding affinity to human SRC incubated for 45 mins by Kinobead based pull down assay,10.1002/cmdc.201800398,29928781.0,直接亲和候选，构建与SPR适用性待确认,0
CHEMBL2041,CHEMBL502835,NINTEDANIB,XZXHXSATPCNXJR-ZIADKAODSA-N,项目FDA注册表完整InChIKey匹配,True,NDA205832,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=205832,Kd,3.0,1,0,False,3.0,=,https://www.ebi.ac.uk/chembl/explore/assay/CHEMBL3991867,"Kinobeads (epsilon), multiple immobilized ATP-competitive broad spectrum kinase inhibitors, used to assess residual binding of ~300 proteins simultaneously from cell lysate in the presence of a compound. Quantitative readout performed by mass spectrometry.",10.1126/science.aan4368,29191878.0,直接亲和候选，构建与SPR适用性待确认,0
CHEMBL3717,CHEMBL601719,CRIZOTINIB,KTEIFNKAUNYNJU-GFCCVEGCSA-N,项目FDA注册表完整InChIKey匹配,True,NDA202570; NDA217581,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=202570; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=217581,Kd,3.15,4,0,False,0.2,=,https://www.ebi.ac.uk/chembl/explore/assay/CHEMBL3877179,Binding affinity to MET (unknown origin),10.1038/nrd.2016.266,28280261.0,直接亲和候选，构建与SPR适用性待确认,0
CHEMBL5366,CHEMBL3137320,TALAZOPARIB,HWGQMRYQVZSGDQ-HZPDHXFCSA-N,项目FDA注册表完整InChIKey匹配,True,NDA217439,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=217439,Kd,3.3,1,0,False,3.3,=,https://www.ebi.ac.uk/chembl/explore/assay/CHEMBL5152040,Binding affinity to PARP2 (unknown origin) assessed as apparent dissociation constant,10.1021/acs.jmedchem.1c01012,34570508.0,直接亲和候选，构建与SPR适用性待确认,0
CHEMBL3145,CHEMBL592445,GEDATOLISIB,DWZAEMINVBZMHQ-UHFFFAOYSA-N,项目FDA注册表完整InChIKey匹配,True,NDA219908,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=219908,Kd,3.5,1,0,False,3.5,=,https://www.ebi.ac.uk/chembl/explore/assay/CHEMBL4019280,Binding affinity to human PI3Kbeta (P118 to S1070 residues) expressed in mammalian expression system by Kinomescan assay,10.1021/acs.jmedchem.7b00930,28829592.0,直接亲和候选，构建与SPR适用性待确认,0
CHEMBL4247,CHEMBL601719,CRIZOTINIB,KTEIFNKAUNYNJU-GFCCVEGCSA-N,项目FDA注册表完整InChIKey匹配,True,NDA202570; NDA217581,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=202570; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=217581,Kd,3.7,2,0,False,4.4,=,https://www.ebi.ac.uk/chembl/explore/assay/CHEMBL3877180,Binding affinity to ALK (unknown origin),10.1038/nrd.2016.266,28280261.0,直接亲和候选，构建与SPR适用性待确认,0
CHEMBL1841,CHEMBL1421,DASATINIB ANHYDROUS,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,项目FDA注册表完整InChIKey匹配,True,NDA021986; NDA022072; NDA216099,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021986; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=022072; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=216099,Kd,3.8575,2,0,False,3.715,=,https://www.ebi.ac.uk/chembl/explore/assay/CHEMBL5651448,Binding affinity to human FYN incubated for 45 mins by Kinobead based pull down assay,10.1002/cmdc.201800398,29928781.0,直接亲和候选，构建与SPR适用性待确认,0
CHEMBL2073,CHEMBL1421,DASATINIB ANHYDROUS,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,项目FDA注册表完整InChIKey匹配,True,NDA021986; NDA022072; NDA216099,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021986; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=022072; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=216099,Kd,3.8575,2,0,False,3.715,=,https://www.ebi.ac.uk/chembl/explore/assay/CHEMBL5652838,Binding affinity to human YES1 incubated for 45 mins by Kinobead based pull down assay,10.1002/cmdc.201800398,29928781.0,直接亲和候选，构建与SPR适用性待确认,0
CHEMBL1974,CHEMBL502835,NINTEDANIB,XZXHXSATPCNXJR-ZIADKAODSA-N,项目FDA注册表完整InChIKey匹配,True,NDA205832,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=205832,Kd,3.9,2,0,False,3.8,=,https://www.ebi.ac.uk/chembl/explore/assay/CHEMBL2438983,Binding affinity to human FLT3,10.1021/jm401094t,24044867.0,直接亲和候选，构建与SPR适用性待确认,0
CHEMBL1974,CHEMBL3301622,GILTERITINIB,GYQYAJJFPNQOOW-UHFFFAOYSA-N,项目FDA注册表完整InChIKey匹配,True,NDA211349,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=211349,Kd,4.25,2,0,False,7.0,=,https://www.ebi.ac.uk/chembl/explore/assay/CHEMBL3991719,"Kinobeads (epsilon), multiple immobilized ATP-competitive broad spectrum kinase inhibitors, used to assess residual binding of ~300 proteins simultaneously from cell lysate in the presence of a compound. Quantitative readout performed by mass spectrometry.",10.1126/science.aan4368,29191878.0,直接亲和候选，构建与SPR适用性待确认,0
CHEMBL206,CHEMBL1358,FULVESTRANT,VWUXBMIQPBEWFH-WCCTWKNTSA-N,项目FDA注册表完整InChIKey匹配,True,NDA210063; NDA210326,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=210063; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=210326,Kd,4.69,1,0,False,4.69,=,https://www.ebi.ac.uk/chembl/explore/assay/CHEMBL4393308,Selective estrogen receptor down-regulator activity at FLAG-tagged ERalpha (unknown origin) expressed in HEK293 cells assessed as induction of ERalpha degradation by measuring dissociation constant for degradation by luciferase reporter gene assay relative to untreated control,10.1016/j.bmc.2019.03.042,30940565.0,直接亲和候选，构建与SPR适用性待确认,0
