target_chembl_id,gene_symbol,uniprot_accession,target_class_l1,ot_project_assay_family,is_gpcr,chembl_kinase,ot_sm_structure_with_ligand,ot_sm_high_quality_pocket,ot_sm_med_quality_pocket,af_exact_sequence_model,p2rank_status,p2rank_tier,p2rank_top_score,p2rank_top_probability,pocket_residue_count,pocket_mean_plddt,known_unique_pocket_count,known_k1_pocket_count,known_k1_k2_pocket_count,known_drug_mapped,known_biolip2,known_biolip2_affinity,known_scpdb,known_klifs,known_gpcrdb,p2rank_top1_any_known_residue_match,p2rank_top1_any_known_center_match_4a,p2rank_top1_any_known_center_match_8a,p2rank_top1_any_known_combined_match_8a,p2rank_top1_best_known_recall,p2rank_top1_best_jaccard,p2rank_top1_minimum_center_distance,p2rank_top3_any_known_residue_match,p2rank_top3_any_known_center_match_4a,p2rank_top3_any_known_center_match_8a,p2rank_top3_any_known_combined_match_8a,p2rank_top3_best_known_recall,p2rank_top3_best_jaccard,p2rank_top3_minimum_center_distance,p2rank_all_any_known_residue_match,p2rank_all_any_known_center_match_4a,p2rank_all_any_known_center_match_8a,p2rank_all_any_known_combined_match_8a,p2rank_all_best_known_recall,p2rank_all_best_jaccard,p2rank_all_minimum_center_distance,p2rank_top1_any_k1_combined_match_8a,p2rank_top3_any_k1_combined_match_8a,p2rank_all_any_k1_combined_match_8a,p2rank_top1_any_k1_k2_combined_match_8a,p2rank_top3_any_k1_k2_combined_match_8a,p2rank_all_any_k1_k2_combined_match_8a,pdbe_raw_ligand_instance_count,pdbe_raw_unique_pdb_count,representative_known_pocket_id,representative_known_pocket_grade,representative_known_pocket_sources,representative_pdb_id,representative_chain_id,representative_ligand_id,representative_known_pocket_residues,representative_known_pocket_residue_count,pocket_decision_tier,primary_pocket_policy
CHEMBL4383,GIPR,P48546,Membrane receptor,excluded_or_review,True,False,True,False,False,True,completed,A_HIGH_CONFIDENCE,14.69,0.649,20,87.187,12,0,12,False,True,False,False,False,True,True,False,True,True,0.4210526315789473,0.3809523809523809,6.457554829581483,True,False,True,True,0.4210526315789473,0.3809523809523809,6.457554829581483,True,False,True,True,0.4210526315789473,0.3809523809523809,6.457554829581483,False,False,False,True,True,True,8,7,KP:P48546:a7b2f30e9475,K2_SPECIALIZED_CURATED_SITE,BIOLIP2;PDBE,7fin,R,CLR,136;139;140;171;178;182;217;218;221;225;235;239;242;260;262;264;266;275;279;287;294;297;298;301;305;309;318;322;343;344;347;352;379;383;387;391;395,37.0,E2_专库确认实验口袋,优先专库确认实验口袋；核验配体与构象语境
CHEMBL5844,GLP2R,O95838,Membrane receptor,excluded_or_review,True,False,False,False,False,True,completed,A_HIGH_CONFIDENCE,22.84,0.833,25,88.286,1,0,1,False,False,False,False,False,True,True,False,False,True,0.4418604651162791,0.3877551020408163,10.956332961338294,True,False,False,True,0.4418604651162791,0.3877551020408163,10.956332961338294,True,False,False,True,0.4418604651162791,0.3877551020408163,10.03673727702783,False,False,False,True,True,True,0,0,KP:O95838:44b5fbde7da8,K2_SPECIALIZED_CURATED_SITE,GPCRDB,7d68,,glucagon,165;168;171;172;175;176;178;179;182;186;224;228;231;232;235;236;239;242;244;246;247;248;249;252;264;267;268;271;275;332;333;334;340;343;344;347;410;414;417;418;421;422;425,43.0,E2_专库确认实验口袋,优先专库确认实验口袋；核验配体与构象语境
CHEMBL4523925,GPRC5D,Q9NZD1,Membrane receptor,excluded_or_review,True,False,True,False,False,True,completed,A_HIGH_CONFIDENCE,13.5,0.605,19,86.40789473684211,2,0,2,False,True,False,False,False,False,False,False,False,False,0.0,0.0,12.121741003896908,False,False,False,False,0.0,0.0,12.121741003896908,False,False,False,False,0.0,0.0,12.121741003896908,False,False,False,False,False,False,2,1,KP:Q9NZD1:f79adb93c075,K2_SPECIALIZED_CURATED_SITE,BIOLIP2;PDBE,9ima,A,CLR,108;112;135;138;139;142;143;145;146;147;149;150;154;169;172;173;175;176;179;183,20.0,E2_专库确认实验口袋,优先专库确认实验口袋；核验配体与构象语境
CHEMBL1854,LHCGR,P22888,Membrane receptor,excluded_or_review,True,False,True,False,False,True,completed,A_HIGH_CONFIDENCE,44.17,0.956,35,83.32457142857143,3,0,2,False,True,False,False,False,True,True,False,True,True,0.9411764705882352,0.6052631578947368,4.863681624536302,True,False,True,True,0.9411764705882352,0.6052631578947368,4.863681624536302,True,False,True,True,0.9411764705882352,0.6052631578947368,4.777727781543532,False,False,False,True,True,True,2,2,KP:P22888:fbaa4106a2ec,K2_SPECIALIZED_CURATED_SITE,BIOLIP2;PDBE,7fih,R,55Z,350;447;515;516;517;519;528;531;588;589;592;595;597;599;601;604;612,17.0,E2_专库确认实验口袋,优先专库确认实验口袋；核验配体与构象语境
CHEMBL3559701,MAS1,P04201,Membrane receptor,excluded_or_review,True,False,False,False,False,True,completed,A_HIGH_CONFIDENCE,21.52,0.812,21,88.54714285714286,3,0,0,False,False,False,False,False,False,True,False,True,True,0.8333333333333334,0.2916666666666667,4.594739777905454,True,False,True,True,0.8333333333333334,0.2916666666666667,4.594739777905454,True,False,True,True,0.8333333333333334,0.2916666666666667,4.594739777905454,False,False,False,False,False,False,3,3,KP:P04201:b457ff0e4515,K3_EXPERIMENTAL_DRUGLIKE_SITE,PDBE,9x41,R,A1MCH,84;87;91;95;102;105;106;109;262;263;266,11.0,E3_实验药物样口袋待复核,人工确认配体生物学意义后使用实验口袋
CHEMBL1965,MC2R,Q01718,Membrane receptor,excluded_or_review,True,False,False,False,False,True,completed,A_HIGH_CONFIDENCE,27.71,0.884,24,86.79916666666666,1,0,1,False,False,False,False,False,True,True,False,True,True,0.4864864864864865,0.4186046511627907,4.32384715981317,True,False,True,True,0.4864864864864865,0.4186046511627907,4.32384715981317,True,False,True,True,0.4864864864864865,0.4186046511627907,4.32384715981317,False,False,False,True,True,True,1,1,KP:Q01718:b3a2f36985ef,K2_SPECIALIZED_CURATED_SITE,GPCRDB,8gy7,,ACTH,23;28;31;76;77;80;81;83;84;87;95;99;100;102;103;104;107;110;111;165;166;169;170;174;175;178;235;238;239;242;246;255;258;259;262;265;266,37.0,E2_专库确认实验口袋,优先专库确认实验口袋；核验配体与构象语境
CHEMBL4644,MC3R,P41968,Membrane receptor,excluded_or_review,True,False,False,False,False,True,completed,A_HIGH_CONFIDENCE,17.09,0.717,16,93.77,1,0,1,False,False,False,False,False,True,True,True,True,True,0.4705882352941176,0.4705882352941176,2.508185172293328,True,True,True,True,0.4705882352941176,0.4705882352941176,2.508185172293328,True,True,True,True,0.4705882352941176,0.4705882352941176,2.508185172293328,False,False,False,True,True,True,5,5,KP:P41968:19058fefba33,K2_SPECIALIZED_CURATED_SITE,GPCRDB,8ioc,,&gamma;-MSH,37;45;91;94;95;97;98;101;110;113;114;117;118;121;124;125;128;179;180;183;184;186;188;189;192;258;261;262;265;266;278;281;282;285,34.0,E2_专库确认实验口袋,优先专库确认实验口袋；核验配体与构象语境
CHEMBL4018,NPY2R,P49146,Membrane receptor,excluded_or_review,True,False,False,False,False,True,completed,A_HIGH_CONFIDENCE,40.44,0.947,37,92.61837837837838,6,0,6,False,True,False,False,False,True,True,True,True,True,1.0,0.6666666666666666,1.3716964113826358,True,True,True,True,1.0,0.6666666666666666,1.3716964113826358,True,True,True,True,1.0,0.6666666666666666,1.3716964113826358,False,False,False,True,True,True,1,1,KP:P49146:d4b86a670bde,K2_SPECIALIZED_CURATED_SITE,BIOLIP2;PDBE,7ddz,A,H46,107;110;116;126;130;131;134;183;187;219;220;223;224;227;281;285;288;307;308;311,20.0,E2_专库确认实验口袋,优先专库确认实验口袋；核验配体与构象语境
CHEMBL4877,NPY4R,P50391,Membrane receptor,excluded_or_review,True,False,False,False,False,True,completed,A_HIGH_CONFIDENCE,54.18,0.973,30,94.52666666666669,1,0,1,False,False,False,False,False,True,True,False,True,True,0.5365853658536586,0.4489795918367347,6.9814380886439205,True,False,True,True,0.5365853658536586,0.4489795918367347,6.9814380886439205,True,False,True,True,0.5365853658536586,0.4489795918367347,6.9814380886439205,False,False,False,True,True,True,0,0,KP:P50391:9720319a3322,K2_SPECIALIZED_CURATED_SITE,GPCRDB,7x9c,,Pancreatic polypeptide,36;94;98;101;102;105;121;122;125;174;184;185;187;188;189;190;191;192;200;202;203;211;215;218;219;222;281;282;284;285;288;289;292;293;295;297;298;301;304;308;312,41.0,E2_专库确认实验口袋,优先专库确认实验口袋；核验配体与构象语境
CHEMBL1793,PTH1R,Q03431,Membrane receptor,excluded_or_review,True,False,True,False,False,True,completed,A_HIGH_CONFIDENCE,18.25,0.747,26,81.0123076923077,40,0,32,False,True,False,False,False,True,True,True,True,True,0.7777777777777778,0.4782608695652174,1.5501259082274652,True,True,True,True,0.7777777777777778,0.5294117647058824,1.5501259082274652,True,True,True,True,0.7777777777777778,0.5294117647058824,1.5501259082274652,False,False,False,True,True,True,20,14,KP:Q03431:649b1744a13e,K2_SPECIALIZED_CURATED_SITE,BIOLIP2;PDBE,6nbf,R,CLR,232;279;282;283;286;287;290;291;322;325;329;335;340;352;358;361;362;365;366;368;369;372;375;422;426;427;428;436;438;439;442;443;446;447,34.0,E2_专库确认实验口袋,优先专库确认实验口袋；核验配体与构象语境
CHEMBL1293316,RXFP1,Q9HBX9,Membrane receptor,excluded_or_review,True,False,False,False,False,True,completed,A_HIGH_CONFIDENCE,26.1,0.871,28,81.29857142857144,0,0,0,False,False,False,False,False,False,False,False,False,False,,,,False,False,False,False,,,,False,False,False,False,,,,False,False,False,False,False,False,1,1,,,,,,,,,P1_无实验口袋_P2Rank_AB探索,以P2Rank为预测起点；需另一口袋模型或结构证据确认
CHEMBL1628482,RXFP2,Q8WXD0,Membrane receptor,excluded_or_review,True,False,False,False,False,True,completed,A_HIGH_CONFIDENCE,18.83,0.761,23,75.30217391304348,0,0,0,False,False,False,False,False,False,False,False,False,False,,,,False,False,False,False,,,,False,False,False,False,,,,False,False,False,False,False,False,1,1,,,,,,,,,P1_无实验口袋_P2Rank_AB探索,以P2Rank为预测起点；需另一口袋模型或结构证据确认
CHEMBL1925,SCTR,P47872,Membrane receptor,excluded_or_review,True,False,False,False,False,True,completed,A_HIGH_CONFIDENCE,15.1,0.663,21,84.71666666666667,3,0,3,False,False,False,False,False,True,True,False,True,True,0.5333333333333333,0.4571428571428571,5.813561928513935,True,False,True,True,0.5333333333333333,0.4571428571428571,5.813561928513935,True,False,True,True,0.5333333333333333,0.4571428571428571,5.813561928513935,False,False,False,True,True,True,0,0,KP:P47872:8ee0d25c5c95,K2_SPECIALIZED_CURATED_SITE,GPCRDB,6wzg,,SECRETIN,30;31;34;35;72;117;125;129;132;135;136;139;140;142;143;146;150;188;192;195;199;200;202;203;204;205;219;222;223;226;227;230;287;288;289;295;298;299;302;366;369;370;373;374,44.0,E2_专库确认实验口袋,优先专库确认实验口袋；核验配体与构象语境
CHEMBL1917,SSTR1,P30872,Membrane receptor,excluded_or_review,True,False,True,False,False,True,completed,A_HIGH_CONFIDENCE,42.09,0.952,40,87.83250000000001,3,0,3,False,True,False,False,False,True,True,True,True,True,0.9375,0.4347826086956521,1.856871147017805,True,True,True,True,0.9375,0.4347826086956521,1.856871147017805,True,True,True,True,0.9375,0.4347826086956521,1.856871147017805,False,False,False,True,True,True,1,1,KP:P30872:6d11b5066d3c,K2_SPECIALIZED_CURATED_SITE,BIOLIP2;PDBE,8xio,A,A1D5D,114;133;134;137;138;141;192;210;220;223;227;284;287;291;309;313,16.0,E2_专库确认实验口袋,优先专库确认实验口袋；核验配体与构象语境
CHEMBL2028,SSTR3,P32745,Membrane receptor,excluded_or_review,True,False,False,False,False,True,completed,A_HIGH_CONFIDENCE,22.72,0.831,18,86.90277777777777,2,0,2,False,False,False,False,False,True,True,True,True,True,0.4137931034482758,0.3428571428571428,2.66561491474925,True,True,True,True,0.4137931034482758,0.3428571428571428,2.66561491474925,True,True,True,True,0.4137931034482758,0.3428571428571428,2.66561491474925,False,False,False,True,True,True,0,0,KP:P32745:fd5080c28730,K2_SPECIALIZED_CURATED_SITE,GPCRDB,8xir,,004-DTR-LYS-TY5-PHE-A1D5E,93;99;100;103;104;109;119;120;123;124;127;128;178;190;191;192;193;195;203;206;210;273;274;277;285;287;291;292;295;299;303,31.0,E2_专库确认实验口袋,优先专库确认实验口袋；核验配体与构象语境
CHEMBL1853,SSTR4,P31391,Membrane receptor,excluded_or_review,True,False,True,False,False,True,completed,B_MODERATE_CONFIDENCE,9.7,0.449,13,79.79923076923077,3,0,3,False,True,False,False,False,True,True,False,True,True,0.4666666666666667,0.3333333333333333,5.290657565174557,True,False,True,True,0.4666666666666667,0.3333333333333333,5.290657565174557,True,True,True,True,0.4666666666666667,0.3333333333333333,2.663557577282684,False,False,False,True,True,True,1,1,KP:P31391:0c9d657d06fa,K2_SPECIALIZED_CURATED_SITE,BIOLIP2;PDBE,7xmt,R,I8B,103;112;122;123;126;130;131;181;199;200;212;215;275;276;279,15.0,E2_专库确认实验口袋,优先专库确认实验口袋；核验配体与构象语境
CHEMBL1792,SSTR5,P35346,Membrane receptor,excluded_or_review,True,False,False,False,False,True,completed,A_HIGH_CONFIDENCE,44.99,0.958,35,78.55028571428572,6,0,4,False,False,False,False,False,True,True,True,True,True,0.85,0.4473684210526316,2.6564377367083645,True,True,True,True,0.85,0.4473684210526316,2.6564377367083645,True,True,True,True,0.85,0.4473684210526316,2.6564377367083645,False,False,False,True,True,True,2,2,KP:P35346:7298d1b550a5,K2_SPECIALIZED_CURATED_SITE,GPCRDB,8x8l,,Cortistatin,89;96;99;100;103;116;119;120;123;124;174;178;182;184;185;186;187;188;190;198;199;201;202;205;206;261;264;265;267;268;271;272;276;279;283;284;286;287;289;290;293;294,42.0,E2_专库确认实验口袋,优先专库确认实验口袋；核验配体与构象语境
CHEMBL1963,TSHR,P16473,Membrane receptor,excluded_or_review,True,False,True,False,False,True,completed,A_HIGH_CONFIDENCE,21.76,0.817,16,82.723125,18,0,8,False,True,False,False,False,True,True,False,True,True,0.5263157894736842,0.4642857142857143,4.891645916335317,True,False,True,True,0.5263157894736842,0.4642857142857143,4.891645916335317,True,True,True,True,0.5263157894736842,0.4642857142857143,1.9712702651938223,False,False,False,True,True,True,17,8,KP:P16473:d4f850b1c34f,K2_SPECIALIZED_CURATED_SITE,BIOLIP2;PDBE,7xw6,R,CLR,414;415;416;418;419;420;422;423;426;427;429;430;434;468;475;476;492;495;496;499;500;506;509;510;513;514;517;541;550;554;557;558;589;591;592;593;594;595;596;598;599;602;606;623;624;627;628;631;634;637;638;639;642;643;645;649;651;653;654;658;661;662;665;666;676;680;686;689;690,69.0,E2_专库确认实验口袋,优先专库确认实验口袋；核验配体与构象语境
CHEMBL3713453,BMP10,O95393,Enzyme,enzyme,False,False,False,False,False,True,completed,B_MODERATE_CONFIDENCE,7.67,0.341,11,85.1190909090909,1,0,0,False,False,False,False,False,False,False,False,False,False,0.0,0.0,12.121283436989408,False,False,False,False,0.0526315789473684,0.0344827586206896,12.121283436989408,False,False,False,False,0.0526315789473684,0.0344827586206896,12.121283436989408,False,False,False,False,False,False,9,4,KP:O95393:5054578bb12c,K4_FUNCTIONAL_OR_FRAGMENT_SITE,PDBE,9dpy,A,PO4,325;338;341;342;350;353;354;361;362;363;364;377;391;398;407;411;420;421;424,19.0,E4_功能配体或片段口袋待复核,区分辅因子/底物/片段；不可直接视为药物口袋
CHEMBL1795,NPR2,P20594,Enzyme,enzyme,False,False,False,False,False,True,completed,A_HIGH_CONFIDENCE,25.22,0.863,26,93.28115384615384,0,0,0,False,False,False,False,False,False,False,False,False,False,,,,False,False,False,False,,,,False,False,False,False,,,,False,False,False,False,False,False,0,0,,,,,,,,,P1_无实验口袋_P2Rank_AB探索,以P2Rank为预测起点；需另一口袋模型或结构证据确认
CHEMBL4445,PPP3CA,Q08209,Enzyme,enzyme,False,False,False,False,False,True,completed,B_MODERATE_CONFIDENCE,5.68,0.227,15,93.15933333333332,10,0,0,False,False,False,False,False,False,True,True,True,True,1.0,0.4,2.5027380271414743,True,True,True,True,1.0,0.4,2.5027380271414743,True,True,True,True,1.0,0.4,2.5027380271414743,False,False,False,False,False,False,69,14,KP:Q08209:cc15b69264ee,K3_EXPERIMENTAL_DRUGLIKE_SITE,PDBE,6nuf,A,PGE,109;155;159;232;256,5.0,E3_实验药物样口袋待复核,人工确认配体生物学意义后使用实验口袋
CHEMBL2062356,ADM,P35318,Secreted protein,excluded_or_review,False,False,True,False,False,True,completed_no_pocket,D_NO_POCKET,,,0,,0,0,0,False,False,False,False,False,False,False,False,False,False,,,,False,False,False,False,,,,False,False,False,False,,,,False,False,False,False,False,False,1,1,,,,,,,,,P2_无实验口袋_P2Rank低置信或无口袋,暂不作为标准结构筛选靶点
CHEMBL3712864,AFP,P02771,Secreted protein,excluded_or_review,False,False,False,False,False,True,completed,A_HIGH_CONFIDENCE,64.13,0.985,42,94.16976190476193,2,0,0,False,False,False,False,False,False,True,False,False,True,0.2678571428571428,0.180722891566265,14.109101777500122,True,False,False,True,0.3333333333333333,0.180722891566265,8.639494097907455,True,False,True,True,0.3333333333333333,0.2,6.790551252975396,False,False,False,False,False,False,4,2,KP:P02771:589fac5928ec,K3_EXPERIMENTAL_DRUGLIKE_SITE,PDBE,8x1n,A,PLM,26;174;176;233;234;236;237;243;246;256;260;262;265;266;269;278;282;284;285;288;307;315;348;351;352;355;374;375;411;412;425;429;431;435;457;458;469;470;474;477;505;506;513;526;531;549;552;553;556;571;572;575;600;603;604;607,56.0,E3_实验药物样口袋待复核,人工确认配体生物学意义后使用实验口袋
CHEMBL3596085,AGT,P01019,Secreted protein,excluded_or_review,False,False,False,False,True,True,completed,A_HIGH_CONFIDENCE,21.14,0.805,21,89.80666666666667,2,0,0,False,False,False,False,False,False,True,False,False,True,0.25,0.0416666666666666,9.810848523700688,True,False,False,True,0.25,0.0416666666666666,9.810848523700688,True,False,False,True,0.25,0.0416666666666666,9.810848523700688,False,False,False,False,False,False,11,7,KP:P01019:a1ed7c8f775d,K3_EXPERIMENTAL_DRUGLIKE_SITE,PDBE,6i3i,A,NAG,38;40;41;170,4.0,E3_实验药物样口袋待复核,人工确认配体生物学意义后使用实验口袋
CHEMBL3217395,ANGPT1,Q15389,Secreted protein,excluded_or_review,False,False,False,False,False,True,completed,B_MODERATE_CONFIDENCE,10.66,0.492,13,97.63923076923076,0,0,0,False,False,False,False,False,False,False,False,False,False,,,,False,False,False,False,,,,False,False,False,False,,,,False,False,False,False,False,False,3,2,,,,,,,,,P1_无实验口袋_P2Rank_AB探索,以P2Rank为预测起点；需另一口袋模型或结构证据确认
CHEMBL3580489,ANGPT2,O15123,Secreted protein,excluded_or_review,False,False,False,False,False,True,completed,C_WEAK_REVIEW,5.05,0.19,12,97.3975,1,0,0,False,False,False,False,False,False,False,False,False,False,0.0,0.0,15.67839111151476,True,False,False,True,0.375,0.2,10.542011865655674,True,False,False,True,0.375,0.2,10.542011865655674,False,False,False,False,False,False,13,5,KP:O15123:96be303f597b,K4_FUNCTIONAL_OR_FRAGMENT_SITE,PDBE,4zfg,A,SO4,337;347;405;406;473;475;480;481,8.0,E4_功能配体或片段口袋待复核,区分辅因子/底物/片段；不可直接视为药物口袋
