run_id,stage,plan_scope,arm,view,architecture,loss,seed,variant,feature_set,train_members,validation_members,test_members,status,requires,output_dir,test_use
A2_A1_scaffold_replay_global_mlp_binary_default_s303,A1,main,A,scaffold_replay,global_mlp,binary,303,default,bermol+esm2_dtiam,data/research/dti_reliability_20260920_v1/A_scaffold_replay_train.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_validation.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_test.parquet,PLANNED_NOT_STARTED,Common-input trainer and speed/validation preflight,outputs/dti_reliability_A_runs_20260920/A2_A1_scaffold_replay_global_mlp_binary_default_s303,Final retrospective evaluation only; no test-based checkpoint or gate selection
A2_A1_scaffold_replay_lightgbm_binary_default_s101,A1,main,A,scaffold_replay,lightgbm,binary,101,default,bermol+esm2_dtiam,data/research/dti_reliability_20260920_v1/A_scaffold_replay_train.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_validation.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_test.parquet,PLANNED_NOT_STARTED,Common-input trainer and speed/validation preflight,outputs/dti_reliability_A_runs_20260920/A2_A1_scaffold_replay_lightgbm_binary_default_s101,Final retrospective evaluation only; no test-based checkpoint or gate selection
A2_A1_scaffold_replay_lightgbm_binary_default_s202,A1,main,A,scaffold_replay,lightgbm,binary,202,default,bermol+esm2_dtiam,data/research/dti_reliability_20260920_v1/A_scaffold_replay_train.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_validation.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_test.parquet,PLANNED_NOT_STARTED,Common-input trainer and speed/validation preflight,outputs/dti_reliability_A_runs_20260920/A2_A1_scaffold_replay_lightgbm_binary_default_s202,Final retrospective evaluation only; no test-based checkpoint or gate selection
A2_A1_scaffold_replay_lightgbm_binary_default_s303,A1,main,A,scaffold_replay,lightgbm,binary,303,default,bermol+esm2_dtiam,data/research/dti_reliability_20260920_v1/A_scaffold_replay_train.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_validation.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_test.parquet,PLANNED_NOT_STARTED,Common-input trainer and speed/validation preflight,outputs/dti_reliability_A_runs_20260920/A2_A1_scaffold_replay_lightgbm_binary_default_s303,Final retrospective evaluation only; no test-based checkpoint or gate selection
A2_A2_scaffold_replay_global_mlp_binary_rank_default_s101,A2,main,A,scaffold_replay,global_mlp,binary_rank,101,default,bermol+esm2_dtiam,data/research/dti_reliability_20260920_v1/A_scaffold_replay_train.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_validation.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_test.parquet,PLANNED_NOT_STARTED,Common-input trainer and speed/validation preflight,outputs/dti_reliability_A_runs_20260920/A2_A2_scaffold_replay_global_mlp_binary_rank_default_s101,Final retrospective evaluation only; no test-based checkpoint or gate selection
A2_A2_scaffold_replay_global_mlp_binary_rank_default_s202,A2,main,A,scaffold_replay,global_mlp,binary_rank,202,default,bermol+esm2_dtiam,data/research/dti_reliability_20260920_v1/A_scaffold_replay_train.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_validation.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_test.parquet,PLANNED_NOT_STARTED,Common-input trainer and speed/validation preflight,outputs/dti_reliability_A_runs_20260920/A2_A2_scaffold_replay_global_mlp_binary_rank_default_s202,Final retrospective evaluation only; no test-based checkpoint or gate selection
A2_A2_scaffold_replay_global_mlp_binary_rank_default_s303,A2,main,A,scaffold_replay,global_mlp,binary_rank,303,default,bermol+esm2_dtiam,data/research/dti_reliability_20260920_v1/A_scaffold_replay_train.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_validation.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_test.parquet,PLANNED_NOT_STARTED,Common-input trainer and speed/validation preflight,outputs/dti_reliability_A_runs_20260920/A2_A2_scaffold_replay_global_mlp_binary_rank_default_s303,Final retrospective evaluation only; no test-based checkpoint or gate selection
A2_A2_scaffold_replay_global_mlp_binary_regression_default_s101,A2,main,A,scaffold_replay,global_mlp,binary_regression,101,default,bermol+esm2_dtiam,data/research/dti_reliability_20260920_v1/A_scaffold_replay_train.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_validation.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_test.parquet,PLANNED_NOT_STARTED,Common-input trainer and speed/validation preflight,outputs/dti_reliability_A_runs_20260920/A2_A2_scaffold_replay_global_mlp_binary_regression_default_s101,Final retrospective evaluation only; no test-based checkpoint or gate selection
A2_A2_scaffold_replay_global_mlp_binary_regression_default_s202,A2,main,A,scaffold_replay,global_mlp,binary_regression,202,default,bermol+esm2_dtiam,data/research/dti_reliability_20260920_v1/A_scaffold_replay_train.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_validation.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_test.parquet,PLANNED_NOT_STARTED,Common-input trainer and speed/validation preflight,outputs/dti_reliability_A_runs_20260920/A2_A2_scaffold_replay_global_mlp_binary_regression_default_s202,Final retrospective evaluation only; no test-based checkpoint or gate selection
A2_A2_scaffold_replay_global_mlp_binary_regression_default_s303,A2,main,A,scaffold_replay,global_mlp,binary_regression,303,default,bermol+esm2_dtiam,data/research/dti_reliability_20260920_v1/A_scaffold_replay_train.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_validation.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_test.parquet,PLANNED_NOT_STARTED,Common-input trainer and speed/validation preflight,outputs/dti_reliability_A_runs_20260920/A2_A2_scaffold_replay_global_mlp_binary_regression_default_s303,Final retrospective evaluation only; no test-based checkpoint or gate selection
A2_A2_scaffold_replay_global_mlp_binary_both_default_s101,A2,main,A,scaffold_replay,global_mlp,binary_both,101,default,bermol+esm2_dtiam,data/research/dti_reliability_20260920_v1/A_scaffold_replay_train.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_validation.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_test.parquet,PLANNED_NOT_STARTED,Common-input trainer and speed/validation preflight,outputs/dti_reliability_A_runs_20260920/A2_A2_scaffold_replay_global_mlp_binary_both_default_s101,Final retrospective evaluation only; no test-based checkpoint or gate selection
A2_A2_scaffold_replay_global_mlp_binary_both_default_s202,A2,main,A,scaffold_replay,global_mlp,binary_both,202,default,bermol+esm2_dtiam,data/research/dti_reliability_20260920_v1/A_scaffold_replay_train.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_validation.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_test.parquet,PLANNED_NOT_STARTED,Common-input trainer and speed/validation preflight,outputs/dti_reliability_A_runs_20260920/A2_A2_scaffold_replay_global_mlp_binary_both_default_s202,Final retrospective evaluation only; no test-based checkpoint or gate selection
A2_A2_scaffold_replay_global_mlp_binary_both_default_s303,A2,main,A,scaffold_replay,global_mlp,binary_both,303,default,bermol+esm2_dtiam,data/research/dti_reliability_20260920_v1/A_scaffold_replay_train.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_validation.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_test.parquet,PLANNED_NOT_STARTED,Common-input trainer and speed/validation preflight,outputs/dti_reliability_A_runs_20260920/A2_A2_scaffold_replay_global_mlp_binary_both_default_s303,Final retrospective evaluation only; no test-based checkpoint or gate selection
A2_A3_scaffold_replay_drugban_native_binary_default_s101,A3,main,A,scaffold_replay,drugban_native,binary,101,default,molecular_graph+sequence,data/research/dti_reliability_20260920_v1/A_scaffold_replay_train.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_validation.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_test.parquet,PLANNED_NOT_STARTED,Exact graph/sequence coverage + native parity + non-DA adapter + model-specific config freeze + resource profile,outputs/dti_reliability_A_runs_20260920/A2_A3_scaffold_replay_drugban_native_binary_default_s101,Final retrospective evaluation only; no test-based checkpoint or gate selection
A2_A3_scaffold_replay_drugban_native_binary_default_s202,A3,main,A,scaffold_replay,drugban_native,binary,202,default,molecular_graph+sequence,data/research/dti_reliability_20260920_v1/A_scaffold_replay_train.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_validation.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_test.parquet,PLANNED_NOT_STARTED,Exact graph/sequence coverage + native parity + non-DA adapter + model-specific config freeze + resource profile,outputs/dti_reliability_A_runs_20260920/A2_A3_scaffold_replay_drugban_native_binary_default_s202,Final retrospective evaluation only; no test-based checkpoint or gate selection
A2_A3_scaffold_replay_drugban_native_binary_default_s303,A3,main,A,scaffold_replay,drugban_native,binary,303,default,molecular_graph+sequence,data/research/dti_reliability_20260920_v1/A_scaffold_replay_train.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_validation.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_test.parquet,PLANNED_NOT_STARTED,Exact graph/sequence coverage + native parity + non-DA adapter + model-specific config freeze + resource profile,outputs/dti_reliability_A_runs_20260920/A2_A3_scaffold_replay_drugban_native_binary_default_s303,Final retrospective evaluation only; no test-based checkpoint or gate selection
A2_A4_cold_target_additive_binary_default_s101,A4,main,A,cold_target,additive,binary,101,default,bermol+esm2_dtiam,data/research/dti_reliability_20260920_v1/A_cold_target_train.parquet,data/research/dti_reliability_20260920_v1/A_cold_target_validation.parquet,data/research/dti_reliability_20260920_v1/A_cold_target_test.parquet,PLANNED_NOT_STARTED,Fresh cold-target fit; common-input trainer,outputs/dti_reliability_A_runs_20260920/A2_A4_cold_target_additive_binary_default_s101,Final retrospective evaluation only; no test-based checkpoint or gate selection
A2_A4_cold_target_additive_binary_default_s202,A4,main,A,cold_target,additive,binary,202,default,bermol+esm2_dtiam,data/research/dti_reliability_20260920_v1/A_cold_target_train.parquet,data/research/dti_reliability_20260920_v1/A_cold_target_validation.parquet,data/research/dti_reliability_20260920_v1/A_cold_target_test.parquet,PLANNED_NOT_STARTED,Fresh cold-target fit; common-input trainer,outputs/dti_reliability_A_runs_20260920/A2_A4_cold_target_additive_binary_default_s202,Final retrospective evaluation only; no test-based checkpoint or gate selection
A2_A4_cold_target_additive_binary_default_s303,A4,main,A,cold_target,additive,binary,303,default,bermol+esm2_dtiam,data/research/dti_reliability_20260920_v1/A_cold_target_train.parquet,data/research/dti_reliability_20260920_v1/A_cold_target_validation.parquet,data/research/dti_reliability_20260920_v1/A_cold_target_test.parquet,PLANNED_NOT_STARTED,Fresh cold-target fit; common-input trainer,outputs/dti_reliability_A_runs_20260920/A2_A4_cold_target_additive_binary_default_s303,Final retrospective evaluation only; no test-based checkpoint or gate selection
A2_A4_cold_target_global_mlp_binary_default_s101,A4,main,A,cold_target,global_mlp,binary,101,default,bermol+esm2_dtiam,data/research/dti_reliability_20260920_v1/A_cold_target_train.parquet,data/research/dti_reliability_20260920_v1/A_cold_target_validation.parquet,data/research/dti_reliability_20260920_v1/A_cold_target_test.parquet,PLANNED_NOT_STARTED,Fresh cold-target fit; common-input trainer,outputs/dti_reliability_A_runs_20260920/A2_A4_cold_target_global_mlp_binary_default_s101,Final retrospective evaluation only; no test-based checkpoint or gate selection
A2_A4_cold_target_global_mlp_binary_default_s202,A4,main,A,cold_target,global_mlp,binary,202,default,bermol+esm2_dtiam,data/research/dti_reliability_20260920_v1/A_cold_target_train.parquet,data/research/dti_reliability_20260920_v1/A_cold_target_validation.parquet,data/research/dti_reliability_20260920_v1/A_cold_target_test.parquet,PLANNED_NOT_STARTED,Fresh cold-target fit; common-input trainer,outputs/dti_reliability_A_runs_20260920/A2_A4_cold_target_global_mlp_binary_default_s202,Final retrospective evaluation only; no test-based checkpoint or gate selection
A2_A4_cold_target_global_mlp_binary_default_s303,A4,main,A,cold_target,global_mlp,binary,303,default,bermol+esm2_dtiam,data/research/dti_reliability_20260920_v1/A_cold_target_train.parquet,data/research/dti_reliability_20260920_v1/A_cold_target_validation.parquet,data/research/dti_reliability_20260920_v1/A_cold_target_test.parquet,PLANNED_NOT_STARTED,Fresh cold-target fit; common-input trainer,outputs/dti_reliability_A_runs_20260920/A2_A4_cold_target_global_mlp_binary_default_s303,Final retrospective evaluation only; no test-based checkpoint or gate selection
A2_A4_cold_target_lightgbm_binary_default_s101,A4,main,A,cold_target,lightgbm,binary,101,default,bermol+esm2_dtiam,data/research/dti_reliability_20260920_v1/A_cold_target_train.parquet,data/research/dti_reliability_20260920_v1/A_cold_target_validation.parquet,data/research/dti_reliability_20260920_v1/A_cold_target_test.parquet,PLANNED_NOT_STARTED,Fresh cold-target fit; common-input trainer,outputs/dti_reliability_A_runs_20260920/A2_A4_cold_target_lightgbm_binary_default_s101,Final retrospective evaluation only; no test-based checkpoint or gate selection
A2_A4_cold_target_lightgbm_binary_default_s202,A4,main,A,cold_target,lightgbm,binary,202,default,bermol+esm2_dtiam,data/research/dti_reliability_20260920_v1/A_cold_target_train.parquet,data/research/dti_reliability_20260920_v1/A_cold_target_validation.parquet,data/research/dti_reliability_20260920_v1/A_cold_target_test.parquet,PLANNED_NOT_STARTED,Fresh cold-target fit; common-input trainer,outputs/dti_reliability_A_runs_20260920/A2_A4_cold_target_lightgbm_binary_default_s202,Final retrospective evaluation only; no test-based checkpoint or gate selection
A2_A4_cold_target_lightgbm_binary_default_s303,A4,main,A,cold_target,lightgbm,binary,303,default,bermol+esm2_dtiam,data/research/dti_reliability_20260920_v1/A_cold_target_train.parquet,data/research/dti_reliability_20260920_v1/A_cold_target_validation.parquet,data/research/dti_reliability_20260920_v1/A_cold_target_test.parquet,PLANNED_NOT_STARTED,Fresh cold-target fit; common-input trainer,outputs/dti_reliability_A_runs_20260920/A2_A4_cold_target_lightgbm_binary_default_s303,Final retrospective evaluation only; no test-based checkpoint or gate selection
A2_A4_cold_target_drugban_native_binary_default_s101,A4,main,A,cold_target,drugban_native,binary,101,default,molecular_graph+sequence,data/research/dti_reliability_20260920_v1/A_cold_target_train.parquet,data/research/dti_reliability_20260920_v1/A_cold_target_validation.parquet,data/research/dti_reliability_20260920_v1/A_cold_target_test.parquet,PLANNED_NOT_STARTED,Exact graph/sequence coverage + native parity + non-DA adapter + model-specific config freeze + resource profile,outputs/dti_reliability_A_runs_20260920/A2_A4_cold_target_drugban_native_binary_default_s101,Final retrospective evaluation only; no test-based checkpoint or gate selection
A2_A4_cold_target_drugban_native_binary_default_s202,A4,main,A,cold_target,drugban_native,binary,202,default,molecular_graph+sequence,data/research/dti_reliability_20260920_v1/A_cold_target_train.parquet,data/research/dti_reliability_20260920_v1/A_cold_target_validation.parquet,data/research/dti_reliability_20260920_v1/A_cold_target_test.parquet,PLANNED_NOT_STARTED,Exact graph/sequence coverage + native parity + non-DA adapter + model-specific config freeze + resource profile,outputs/dti_reliability_A_runs_20260920/A2_A4_cold_target_drugban_native_binary_default_s202,Final retrospective evaluation only; no test-based checkpoint or gate selection
A2_A4_cold_target_drugban_native_binary_default_s303,A4,main,A,cold_target,drugban_native,binary,303,default,molecular_graph+sequence,data/research/dti_reliability_20260920_v1/A_cold_target_train.parquet,data/research/dti_reliability_20260920_v1/A_cold_target_validation.parquet,data/research/dti_reliability_20260920_v1/A_cold_target_test.parquet,PLANNED_NOT_STARTED,Exact graph/sequence coverage + native parity + non-DA adapter + model-specific config freeze + resource profile,outputs/dti_reliability_A_runs_20260920/A2_A4_cold_target_drugban_native_binary_default_s303,Final retrospective evaluation only; no test-based checkpoint or gate selection
