run_id,stage,track,arm,view,architecture,loss,variant,seed,feature_set,train_members,validation_members,test_members,status,requires,output_dir,test_use,disposition
E2_B_scaffold_replay_global_mlp_binary_both_default_s202,E2,controlled_fresh_training,B,scaffold_replay,global_mlp,binary_both,default,202,bermol+esm2_dtiam,data/research/dti_reliability_20260920_v1/B_scaffold_replay_train.parquet,data/research/dti_reliability_20260920_v1/B_scaffold_replay_validation.parquet,data/research/dti_reliability_20260920_v1/B_scaffold_replay_test.parquet,PLANNED_NOT_STARTED,Controlled trainer + data preflight + resource profile,outputs/dti_reliability_runs_20260920/E2_B_scaffold_replay_global_mlp_binary_both_default_s202,"Final report only, no model selection",DEFERRED_BY_A_ONLY_USER_SCOPE
E2_B_scaffold_replay_global_mlp_binary_both_default_s303,E2,controlled_fresh_training,B,scaffold_replay,global_mlp,binary_both,default,303,bermol+esm2_dtiam,data/research/dti_reliability_20260920_v1/B_scaffold_replay_train.parquet,data/research/dti_reliability_20260920_v1/B_scaffold_replay_validation.parquet,data/research/dti_reliability_20260920_v1/B_scaffold_replay_test.parquet,PLANNED_NOT_STARTED,Controlled trainer + data preflight + resource profile,outputs/dti_reliability_runs_20260920/E2_B_scaffold_replay_global_mlp_binary_both_default_s303,"Final report only, no model selection",DEFERRED_BY_A_ONLY_USER_SCOPE
E3_AB_matched_composition_global_mlp_binary_matched_A_s101,E3,controlled_fresh_training,AB,matched_composition,global_mlp,binary,matched_A,101,bermol+esm2_dtiam,data/research/dti_reliability_20260920_v1/A_MATCHED_TRAIN.parquet,data/research/dti_reliability_20260920_v1/A_B_COMMON_VALIDATION.parquet,data/research/dti_reliability_20260920_v1/A_B_COMMON_TEST.parquet,PLANNED_NOT_STARTED,Controlled trainer + data preflight + resource profile,outputs/dti_reliability_runs_20260920/E3_AB_matched_composition_global_mlp_binary_matched_A_s101,"Final report only, no model selection",DEFERRED_BY_A_ONLY_USER_SCOPE
E3_AB_matched_composition_global_mlp_binary_matched_A_s202,E3,controlled_fresh_training,AB,matched_composition,global_mlp,binary,matched_A,202,bermol+esm2_dtiam,data/research/dti_reliability_20260920_v1/A_MATCHED_TRAIN.parquet,data/research/dti_reliability_20260920_v1/A_B_COMMON_VALIDATION.parquet,data/research/dti_reliability_20260920_v1/A_B_COMMON_TEST.parquet,PLANNED_NOT_STARTED,Controlled trainer + data preflight + resource profile,outputs/dti_reliability_runs_20260920/E3_AB_matched_composition_global_mlp_binary_matched_A_s202,"Final report only, no model selection",DEFERRED_BY_A_ONLY_USER_SCOPE
E3_AB_matched_composition_global_mlp_binary_matched_A_s303,E3,controlled_fresh_training,AB,matched_composition,global_mlp,binary,matched_A,303,bermol+esm2_dtiam,data/research/dti_reliability_20260920_v1/A_MATCHED_TRAIN.parquet,data/research/dti_reliability_20260920_v1/A_B_COMMON_VALIDATION.parquet,data/research/dti_reliability_20260920_v1/A_B_COMMON_TEST.parquet,PLANNED_NOT_STARTED,Controlled trainer + data preflight + resource profile,outputs/dti_reliability_runs_20260920/E3_AB_matched_composition_global_mlp_binary_matched_A_s303,"Final report only, no model selection",DEFERRED_BY_A_ONLY_USER_SCOPE
E3_AB_matched_composition_global_mlp_binary_matched_B_s101,E3,controlled_fresh_training,AB,matched_composition,global_mlp,binary,matched_B,101,bermol+esm2_dtiam,data/research/dti_reliability_20260920_v1/B_MATCHED_TRAIN.parquet,data/research/dti_reliability_20260920_v1/A_B_COMMON_VALIDATION.parquet,data/research/dti_reliability_20260920_v1/A_B_COMMON_TEST.parquet,PLANNED_NOT_STARTED,Controlled trainer + data preflight + resource profile,outputs/dti_reliability_runs_20260920/E3_AB_matched_composition_global_mlp_binary_matched_B_s101,"Final report only, no model selection",DEFERRED_BY_A_ONLY_USER_SCOPE
E3_AB_matched_composition_global_mlp_binary_matched_B_s202,E3,controlled_fresh_training,AB,matched_composition,global_mlp,binary,matched_B,202,bermol+esm2_dtiam,data/research/dti_reliability_20260920_v1/B_MATCHED_TRAIN.parquet,data/research/dti_reliability_20260920_v1/A_B_COMMON_VALIDATION.parquet,data/research/dti_reliability_20260920_v1/A_B_COMMON_TEST.parquet,PLANNED_NOT_STARTED,Controlled trainer + data preflight + resource profile,outputs/dti_reliability_runs_20260920/E3_AB_matched_composition_global_mlp_binary_matched_B_s202,"Final report only, no model selection",DEFERRED_BY_A_ONLY_USER_SCOPE
E3_AB_matched_composition_global_mlp_binary_matched_B_s303,E3,controlled_fresh_training,AB,matched_composition,global_mlp,binary,matched_B,303,bermol+esm2_dtiam,data/research/dti_reliability_20260920_v1/B_MATCHED_TRAIN.parquet,data/research/dti_reliability_20260920_v1/A_B_COMMON_VALIDATION.parquet,data/research/dti_reliability_20260920_v1/A_B_COMMON_TEST.parquet,PLANNED_NOT_STARTED,Controlled trainer + data preflight + resource profile,outputs/dti_reliability_runs_20260920/E3_AB_matched_composition_global_mlp_binary_matched_B_s303,"Final report only, no model selection",DEFERRED_BY_A_ONLY_USER_SCOPE
E3_AB_matched_composition_global_mlp_binary_common_s101,E3,controlled_fresh_training,AB,matched_composition,global_mlp,binary,common,101,bermol+esm2_dtiam,data/research/dti_reliability_20260920_v1/A_B_COMMON_TRAIN.parquet,data/research/dti_reliability_20260920_v1/A_B_COMMON_VALIDATION.parquet,data/research/dti_reliability_20260920_v1/A_B_COMMON_TEST.parquet,PLANNED_NOT_STARTED,Controlled trainer + data preflight + resource profile,outputs/dti_reliability_runs_20260920/E3_AB_matched_composition_global_mlp_binary_common_s101,"Final report only, no model selection",DEFERRED_BY_A_ONLY_USER_SCOPE
E3_AB_matched_composition_global_mlp_binary_common_s202,E3,controlled_fresh_training,AB,matched_composition,global_mlp,binary,common,202,bermol+esm2_dtiam,data/research/dti_reliability_20260920_v1/A_B_COMMON_TRAIN.parquet,data/research/dti_reliability_20260920_v1/A_B_COMMON_VALIDATION.parquet,data/research/dti_reliability_20260920_v1/A_B_COMMON_TEST.parquet,PLANNED_NOT_STARTED,Controlled trainer + data preflight + resource profile,outputs/dti_reliability_runs_20260920/E3_AB_matched_composition_global_mlp_binary_common_s202,"Final report only, no model selection",DEFERRED_BY_A_ONLY_USER_SCOPE
E3_AB_matched_composition_global_mlp_binary_common_s303,E3,controlled_fresh_training,AB,matched_composition,global_mlp,binary,common,303,bermol+esm2_dtiam,data/research/dti_reliability_20260920_v1/A_B_COMMON_TRAIN.parquet,data/research/dti_reliability_20260920_v1/A_B_COMMON_VALIDATION.parquet,data/research/dti_reliability_20260920_v1/A_B_COMMON_TEST.parquet,PLANNED_NOT_STARTED,Controlled trainer + data preflight + resource profile,outputs/dti_reliability_runs_20260920/E3_AB_matched_composition_global_mlp_binary_common_s303,"Final report only, no model selection",DEFERRED_BY_A_ONLY_USER_SCOPE
E3_AB_matched_composition_global_mlp_binary_common_plus_B_s101,E3,controlled_fresh_training,AB,matched_composition,global_mlp,binary,common_plus_B,101,bermol+esm2_dtiam,data/research/dti_reliability_20260920_v1/A_B_COMMON_TRAIN.parquet;data/research/dti_reliability_20260920_v1/B_EXTRA_SHARED_TARGETS_TRAIN.parquet,data/research/dti_reliability_20260920_v1/A_B_COMMON_VALIDATION.parquet,data/research/dti_reliability_20260920_v1/A_B_COMMON_TEST.parquet,PLANNED_NOT_STARTED,Controlled trainer + data preflight + resource profile,outputs/dti_reliability_runs_20260920/E3_AB_matched_composition_global_mlp_binary_common_plus_B_s101,"Final report only, no model selection",DEFERRED_BY_A_ONLY_USER_SCOPE
E3_AB_matched_composition_global_mlp_binary_common_plus_B_s202,E3,controlled_fresh_training,AB,matched_composition,global_mlp,binary,common_plus_B,202,bermol+esm2_dtiam,data/research/dti_reliability_20260920_v1/A_B_COMMON_TRAIN.parquet;data/research/dti_reliability_20260920_v1/B_EXTRA_SHARED_TARGETS_TRAIN.parquet,data/research/dti_reliability_20260920_v1/A_B_COMMON_VALIDATION.parquet,data/research/dti_reliability_20260920_v1/A_B_COMMON_TEST.parquet,PLANNED_NOT_STARTED,Controlled trainer + data preflight + resource profile,outputs/dti_reliability_runs_20260920/E3_AB_matched_composition_global_mlp_binary_common_plus_B_s202,"Final report only, no model selection",DEFERRED_BY_A_ONLY_USER_SCOPE
E3_AB_matched_composition_global_mlp_binary_common_plus_B_s303,E3,controlled_fresh_training,AB,matched_composition,global_mlp,binary,common_plus_B,303,bermol+esm2_dtiam,data/research/dti_reliability_20260920_v1/A_B_COMMON_TRAIN.parquet;data/research/dti_reliability_20260920_v1/B_EXTRA_SHARED_TARGETS_TRAIN.parquet,data/research/dti_reliability_20260920_v1/A_B_COMMON_VALIDATION.parquet,data/research/dti_reliability_20260920_v1/A_B_COMMON_TEST.parquet,PLANNED_NOT_STARTED,Controlled trainer + data preflight + resource profile,outputs/dti_reliability_runs_20260920/E3_AB_matched_composition_global_mlp_binary_common_plus_B_s303,"Final report only, no model selection",DEFERRED_BY_A_ONLY_USER_SCOPE
