对照编号,新靶点名称,新靶点的已知药物名称,精确对照原始证据已匹配,对照身份,对照证据类型,对照确认状态,对照ChEMBL编号,对照完整InChIKey,对照SMILES,新靶点ChEMBL编号,新靶点基因,原对照名称,参考证据层级,真实ChEMBL实验编号,真实ChEMBL文献编号,证据文献DOI,原pair_id,对照用途
CTRL-011,"CYP11B1 — Cytochrome P450 11B1, mitochondrial",KETOCONAZOLE,True,通用名称已收录,IC50,仅功能/其他活性记录，SPR对照尚未落实,CHEMBL157101,XMAYWYJOQHXEEK-UHFFFAOYSA-N,CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,CHEMBL1908,CYP11B1,KETOCONAZOLE,FUNCTIONAL_OR_OTHER_ONLY,CHEMBL1004810; CHEMBL3868073; CHEMBL881287,CHEMBL1141125; CHEMBL1156598; CHEMBL3867461,10.1016/j.bmcl.2016.10.016; 10.1021/jm0503704; 10.1021/jm800355c,XMAYWYJOQHXEEK-UHFFFAOYSA-N__CHEMBL1908,每个靶点另计参考；不计入384候选；不是384次重复采购
CTRL-012,XDH — Xanthine dehydrogenase/oxidase,TOPIROXOSTAT,True,通用名称已收录,"Ki,IC50",仅Ki记录，需先确认SPR结合适用性,CHEMBL1078685,UBVZQGOVTLIHLH-UHFFFAOYSA-N,N#Cc1cc(-c2n[nH]c(-c3ccncc3)n2)ccn1,CHEMBL1929,XDH,TOPIROXOSTAT,Ki_NO_Kd_RECORD,CHEMBL4610164; CHEMBL6103876,CHEMBL4609975; CHEMBL6103540,10.1016/j.ejmech.2019.01.043; 10.1021/acs.jmedchem.4c01260,UBVZQGOVTLIHLH-UHFFFAOYSA-N__CHEMBL1929,每个靶点另计参考；不计入384候选；不是384次重复采购
CTRL-013,"ALDH2 — Aldehyde dehydrogenase, mitochondrial",PRUNETIN,True,通用名称已收录,Ki,仅Ki记录，需先确认SPR结合适用性,CHEMBL491174,KQMVAGISDHMXJJ-UHFFFAOYSA-N,COc1cc(O)c2c(=O)c(-c3ccc(O)cc3)coc2c1,CHEMBL1935,ALDH2,PRUNETIN,Ki_NO_Kd_RECORD,CHEMBL989246,CHEMBL1155835,10.1021/jm800488j,KQMVAGISDHMXJJ-UHFFFAOYSA-N__CHEMBL1935,每个靶点另计参考；不计入384候选；不是384次重复采购
CTRL-014,KIT — Mast/stem cell growth factor receptor Kit,STAUROSPORINE,True,通用名称已收录,"Kd,IC50",有Kd记录，待确认构建与SPR实测活性,CHEMBL388978,HKSZLNNOFSGOKW-FYTWVXJKSA-N,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,CHEMBL1936,KIT,STAUROSPORINE,Kd_RECORD_PRESENT,CHEMBL1051336; CHEMBL1060197; CHEMBL1060198; CHEMBL1061077; CHEMBL1061901; CHEMBL3620020; CHEMBL3820476; CHEMBL4021258; CHEMBL4231209; CHEMBL4328325; CHEMBL4720820; CHEMBL5621272; CHEMBL5720634; CHEMBL860918; CHEMBL869542,CHEMBL1144455; CHEMBL1146058; CHEMBL1150977; CHEMBL3616395; CHEMBL3817824; CHEMBL4020722; CHEMBL4229349; CHEMBL4325871; CHEMBL4715818; CHEMBL5620360; CHEMBL5715954,10.1016/j.bmc.2016.05.057; 10.1016/j.bmc.2017.04.003; 10.1016/j.bmc.2018.02.022; 10.1016/j.bmcl.2005.12.017; 10.1016/j.ejmech.2015.08.031; 10.1016/j.ejmech.2018.02.080; 10.1016/j.ejmech.2018.10.052; 10.1016/j.ejmech.2023.115499; 10.1038/nbt1068; 10.1038/nbt1358; 10.1182/blood-2016-08-731240,HKSZLNNOFSGOKW-FYTWVXJKSA-N__CHEMBL1936,每个靶点另计参考；不计入384候选；不是384次重复采购
CTRL-015,HDAC2 — Histone deacetylase 2,研究化合物 CHEMBL235842（无通用名称）,True,仅研究编号，实物待落实,"IC50,Ki,Kd",有Kd记录，待确认构建与SPR实测活性；须按结构落实实物,CHEMBL235842,ABZSPJVXTTUFAA-UHFFFAOYSA-N,CC(=O)Nc1ccc(C(=O)Nc2cc(-c3cccs3)ccc2N)cc1,CHEMBL1937,HDAC2,CHEMBL235842,Kd_RECORD_PRESENT,CHEMBL3828962; CHEMBL3830979; CHEMBL4256036; CHEMBL5325191; CHEMBL5325200; CHEMBL5391366; CHEMBL900122,CHEMBL1138236; CHEMBL3826926; CHEMBL4251706; CHEMBL5321294; CHEMBL5390237,10.1016/j.bmc.2016.06.040; 10.1021/acs.jmedchem.3c01095; 10.1021/acs.jmedchem.3c01160; 10.1021/acsmedchemlett.8b00012; 10.1021/jm701079h,ABZSPJVXTTUFAA-UHFFFAOYSA-N__CHEMBL1937,每个靶点另计参考；不计入384候选；不是384次重复采购
CTRL-016,MME — Neprilysin,OMAPATRILAT,True,通用名称已收录,"Ki,IC50",仅Ki记录，需先确认SPR结合适用性,CHEMBL289556,LVRLSYPNFFBYCZ-VGWMRTNUSA-N,O=C(N[C@H]1CCS[C@H]2CCC[C@@H](C(=O)O)N2C1=O)[C@@H](S)Cc1ccccc1,CHEMBL1944,MME,OMAPATRILAT,Ki_NO_Kd_RECORD,CHEMBL1045248; CHEMBL4311872; CHEMBL6079416; CHEMBL6079417; CHEMBL6119898,CHEMBL1156752; CHEMBL4308919; CHEMBL6078628; CHEMBL6115051,10.1016/j.ejmech.2024.116932; 10.1021/acs.jmedchem.5c00329; 10.1021/acsmedchemlett.8b00462; 10.1021/jm9010803,LVRLSYPNFFBYCZ-VGWMRTNUSA-N__CHEMBL1944,每个靶点另计参考；不计入384候选；不是384次重复采购
CTRL-017,THRB — Thyroid hormone receptor beta,LIOTHYRONINE,True,通用名称已收录,"Kd,IC50,Ki",有Kd记录，待确认构建与SPR实测活性,CHEMBL1544,AUYYCJSJGJYCDS-LBPRGKRZSA-N,N[C@@H](Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O,CHEMBL1947,THRB,LIOTHYRONINE,Kd_RECORD_PRESENT,CHEMBL2038197; CHEMBL3131651; CHEMBL811897; CHEMBL814602; CHEMBL882591; CHEMBL939180; CHEMBL949480,CHEMBL1134818; CHEMBL1135520; CHEMBL1142857; CHEMBL1143954; CHEMBL1152303; CHEMBL2034970; CHEMBL3124871,10.1016/j.bmc.2007.10.040; 10.1016/j.bmc.2012.03.056; 10.1016/j.bmc.2013.11.001; 10.1016/j.bmcl.2005.06.093; 10.1016/s0960-894x(01)00521-2; 10.1021/jm0201013; 10.1021/jm800824d,AUYYCJSJGJYCDS-LBPRGKRZSA-N__CHEMBL1947,每个靶点另计参考；不计入384候选；不是384次重复采购
CTRL-018,TYMS — Thymidylate synthase,5-FLUORODEOXYURIDYLATE,True,通用名称已收录,Ki,仅Ki记录，需先确认SPR结合适用性,CHEMBL886,HFEKDTCAMMOLQP-RRKCRQDMSA-N,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](COP(=O)(O)O)O2)cc1F,CHEMBL1952,TYMS,5-FLUORODEOXYURIDYLATE,Ki_NO_Kd_RECORD,CHEMBL2186825,CHEMBL2177012,10.1021/jm300850v,HFEKDTCAMMOLQP-RRKCRQDMSA-N__CHEMBL1952,每个靶点另计参考；不计入384候选；不是384次重复采购
CTRL-019,IGF1R — Insulin-like growth factor 1 receptor,LINSITINIB,True,通用名称已收录,"IC50,Kd",有Kd记录，待确认构建与SPR实测活性,CHEMBL1091644,PKCDDUHJAFVJJB-VLZXCDOPSA-N,C[C@]1(O)C[C@@H](c2nc(-c3ccc4ccc(-c5ccccc5)nc4c3)c3c(N)nccn32)C1,CHEMBL1957,IGF1R,LINSITINIB,Kd_RECORD_PRESENT,CHEMBL1108834; CHEMBL2410391; CHEMBL2410392; CHEMBL3412613; CHEMBL3789672; CHEMBL3789673; CHEMBL3789674; CHEMBL3991735; CHEMBL5210125; CHEMBL5210318; CHEMBL5664292; CHEMBL5664320; CHEMBL5664327; CHEMBL5664464; CHEMBL5664479; CHEMBL5664480,CHEMBL1156213; CHEMBL2406928; CHEMBL3407404; CHEMBL3785066; CHEMBL3991601; CHEMBL5210121; CHEMBL5210307; CHEMBL5661980,10.1016/j.bmcl.2010.03.015; 10.1016/j.bmcl.2016.02.075; 10.1016/j.ejmech.2014.12.053; 10.1021/ml400160a; 10.1126/science.aan4368; 10.4155/fmc.09.89; 10.6019/CHEMBL5210121; 10.6019/CHEMBL5210307,PKCDDUHJAFVJJB-VLZXCDOPSA-N__CHEMBL1957,每个靶点另计参考；不计入384候选；不是384次重复采购
CTRL-020,FLT3 — Receptor-type tyrosine-protein kinase FLT3,STAUROSPORINE,True,通用名称已收录,"Kd,IC50",有Kd记录，待确认构建与SPR实测活性,CHEMBL388978,HKSZLNNOFSGOKW-FYTWVXJKSA-N,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,CHEMBL1974,FLT3,STAUROSPORINE,Kd_RECORD_PRESENT,CHEMBL1050826; CHEMBL1060194; CHEMBL1061073; CHEMBL1061898; CHEMBL1063729; CHEMBL4021256; CHEMBL4145872; CHEMBL4155885; CHEMBL4155907; CHEMBL4155908; CHEMBL4155909; CHEMBL4155910; CHEMBL4155911; CHEMBL4155912; CHEMBL4155913; CHEMBL4478225; CHEMBL4720725; CHEMBL4774951; CHEMBL5133741; CHEMBL5133742; CHEMBL5621271; CHEMBL5720729; CHEMBL860797,CHEMBL1144455; CHEMBL1150977; CHEMBL4020722; CHEMBL4145442; CHEMBL4152300; CHEMBL4477208; CHEMBL4715818; CHEMBL4765455; CHEMBL5131443; CHEMBL5620360; CHEMBL5715954,10.1016/j.bmc.2017.04.003; 10.1016/j.bmc.2018.02.022; 10.1016/j.bmc.2021.116596; 10.1016/j.ejmech.2017.10.003; 10.1016/j.ejmech.2018.06.010; 10.1016/j.ejmech.2020.112710; 10.1016/j.ejmech.2023.115499; 10.1021/acs.jmedchem.6b00374; 10.1038/nbt1068; 10.1038/nbt1358; 10.1182/blood-2016-08-731240,HKSZLNNOFSGOKW-FYTWVXJKSA-N__CHEMBL1974,每个靶点另计参考；不计入384候选；不是384次重复采购
CTRL-021,VDR — Vitamin D3 receptor,研究化合物 CHEMBL4066573（无通用名称）,True,仅研究编号，实物待落实,Kd,有Kd记录，待确认构建与SPR实测活性；须按结构落实实物,CHEMBL4066573,UBDHJEXXHMTARH-DRVSFAKCSA-N,CC[C@H](C)[C@H](NC(=O)[C@H](CCCCN)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)CCNC(=S)Nc1ccc2c(c1)C(=O)OC21c2ccc(O)cc2Oc2cc(O)ccc21)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(N)=O)C(N)=O,CHEMBL1977,VDR,CHEMBL4066573,Kd_RECORD_PRESENT,CHEMBL4020678,CHEMBL4017549,10.1021/acs.jmedchem.7b00732,UBDHJEXXHMTARH-DRVSFAKCSA-N__CHEMBL1977,每个靶点另计参考；不计入384候选；不是384次重复采购
CTRL-022,CYP19A1 — Aromatase,ANASTROZOLE,True,通用名称已收录,"IC50,Ki",仅Ki记录，需先确认SPR结合适用性,CHEMBL1399,YBBLVLTVTVSKRW-UHFFFAOYSA-N,CC(C)(C#N)c1cc(Cn2cncn2)cc(C(C)(C)C#N)c1,CHEMBL1978,CYP19A1,ANASTROZOLE,Ki_NO_Kd_RECORD,CHEMBL1067556; CHEMBL1961307; CHEMBL1961308; CHEMBL3820543; CHEMBL865872; CHEMBL915480; CHEMBL967987,CHEMBL1139479; CHEMBL1149390; CHEMBL1155912; CHEMBL1157574; CHEMBL1955720; CHEMBL3817793,10.1016/j.bmc.2012.01.047; 10.1016/j.bmcl.2008.06.094; 10.1021/acs.jmedchem.5b01281; 10.1021/jm0508282; 10.1021/jm058042r; 10.1021/jm901705h,YBBLVLTVTVSKRW-UHFFFAOYSA-N__CHEMBL1978,每个靶点另计参考；不计入384候选；不是384次重复采购
CTRL-023,INSR — Insulin receptor,STAUROSPORINE,True,通用名称已收录,"Kd,IC50",有Kd记录，待确认构建与SPR实测活性,CHEMBL388978,HKSZLNNOFSGOKW-FYTWVXJKSA-N,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,CHEMBL1981,INSR,STAUROSPORINE,Kd_RECORD_PRESENT,CHEMBL1060195; CHEMBL3820500; CHEMBL4145876; CHEMBL4328453; CHEMBL5654418; CHEMBL5720755; CHEMBL859866,CHEMBL1144455; CHEMBL1150977; CHEMBL3817824; CHEMBL4145442; CHEMBL4325871; CHEMBL5653609; CHEMBL5715954,10.1016/j.bmc.2016.05.057; 10.1016/j.ejmech.2017.10.003; 10.1016/j.ejmech.2018.10.052; 10.1038/nbt1068; 10.1038/nbt1358; 10.1074/jbc.m112.357384; 10.1182/blood-2016-08-731240,HKSZLNNOFSGOKW-FYTWVXJKSA-N__CHEMBL1981,每个靶点另计参考；不计入384候选；不是384次重复采购
CTRL-024,DNMT1 — DNA (cytosine-5)-methyltransferase 1,研究化合物 CHEMBL5592841（无通用名称）,True,仅研究编号，实物待落实,Kd,有Kd记录，待确认构建与SPR实测活性；须按结构落实实物,CHEMBL5592841,YEBBNJGBFNBLTF-UHFFFAOYSA-N,O=C(O)C(Cn1c2ccc(Cl)cc2c2cc(Cl)cc(Cl)c21)N1C(=O)c2ccccc2C1=O,CHEMBL1993,DNMT1,CHEMBL5592841,Kd_RECORD_PRESENT,CHEMBL5580613,CHEMBL5579818,10.1016/j.ejmech.2024.116538,YEBBNJGBFNBLTF-UHFFFAOYSA-N__CHEMBL1993,每个靶点另计参考；不计入384候选；不是384次重复采购
CTRL-025,NR3C2 — Mineralocorticoid receptor,ALDOSTERONE,True,通用名称已收录,"Kd,IC50",有Kd记录，待确认构建与SPR实测活性,CHEMBL273453,PQSUYGKTWSAVDQ-ZVIOFETBSA-N,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@]2(C=O)[C@@H](C(=O)CO)CC[C@@H]12,CHEMBL1994,NR3C2,ALDOSTERONE,Kd_RECORD_PRESENT,CHEMBL4008026; CHEMBL4263480,CHEMBL4007392; CHEMBL4261581,10.1016/j.ejmech.2018.08.006; 10.1021/acs.jmedchem.6b01065,PQSUYGKTWSAVDQ-ZVIOFETBSA-N__CHEMBL1994,每个靶点另计参考；不计入384候选；不是384次重复采购
CTRL-026,PDGFRA — Platelet-derived growth factor receptor alpha,STAUROSPORINE,True,通用名称已收录,"Kd,IC50",有Kd记录，待确认构建与SPR实测活性,CHEMBL388978,HKSZLNNOFSGOKW-FYTWVXJKSA-N,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,CHEMBL2007,PDGFRA,STAUROSPORINE,Kd_RECORD_PRESENT,CHEMBL1062783; CHEMBL3820664; CHEMBL4021259; CHEMBL4145889; CHEMBL4328549; CHEMBL5541682,CHEMBL1150977; CHEMBL3817824; CHEMBL4020722; CHEMBL4145442; CHEMBL4325871; CHEMBL5537203,10.1016/j.bmc.2016.05.057; 10.1016/j.bmc.2017.04.003; 10.1016/j.ejmech.2017.10.003; 10.1016/j.ejmech.2018.10.052; 10.1021/acs.jmedchem.3c02040; 10.1038/nbt1358,HKSZLNNOFSGOKW-FYTWVXJKSA-N__CHEMBL2007,每个靶点另计参考；不计入384候选；不是384次重复采购
CTRL-027,RARB — Retinoic acid receptor beta,TRETINOIN,True,通用名称已收录,"Kd,IC50",有Kd记录，待确认构建与SPR实测活性,CHEMBL38,SHGAZHPCJJPHSC-YCNIQYBTSA-N,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1,CHEMBL2008,RARB,TRETINOIN,Kd_RECORD_PRESENT,CHEMBL798911; CHEMBL798913; CHEMBL807724; CHEMBL916389,CHEMBL1129343; CHEMBL1134232; CHEMBL1136268; CHEMBL1149300,10.1016/s0960-894x(01)00058-0; 10.1016/s0960-894x(02)00924-1; 10.1021/jm0401457; 10.1021/jm9502293,SHGAZHPCJJPHSC-YCNIQYBTSA-N__CHEMBL2008,每个靶点另计参考；不计入384候选；不是384次重复采购
CTRL-028,DHFR — Dihydrofolate reductase,研究化合物 CHEMBL310759（无通用名称）,True,仅研究编号，实物待落实,Kd,有Kd记录，待确认构建与SPR实测活性；须按结构落实实物,CHEMBL310759,AVRPDIOCAAWICH-UHFFFAOYSA-N,Nc1nc(N)c2c(Sc3ccc(Cl)cc3)cccc2n1,CHEMBL202,DHFR,CHEMBL310759,Kd_RECORD_PRESENT,CHEMBL3369565,CHEMBL3351755,10.1021/jm500325k,AVRPDIOCAAWICH-UHFFFAOYSA-N__CHEMBL202,每个靶点另计参考；不计入384候选；不是384次重复采购
CTRL-029,COMT — Catechol O-methyltransferase,研究化合物 CHEMBL5653589（无通用名称）,True,仅研究编号，实物待落实,Kd,有Kd记录，待确认构建与SPR实测活性；须按结构落实实物,CHEMBL5653589,MWKSRKSEWLRPBL-UHFFFAOYSA-N,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)nc2nn(C)cc12,CHEMBL2023,COMT,CHEMBL5653589,Kd_RECORD_PRESENT,CHEMBL5651155,CHEMBL5649169,10.1002/cmdc.201800398,MWKSRKSEWLRPBL-UHFFFAOYSA-N__CHEMBL2023,每个靶点另计参考；不计入384候选；不是384次重复采购
