homology_cluster,sequences,split
SEQ:030ef1b424381b56f9f5794a5a8f5526cf73f1a02d7d305f1c0b51d8b3c2485c,1,train
SEQ:032a8d7e0056e7e650a131222d8b444b2276e73c9e5f9708a86cb6cbe27cacc8,1,train
SEQ:03346d5c8912f23e69eb32efddd16d88e4bb92b47873cb99ddd9f210c7b559bd,4,test
SEQ:0336d90970053146896580852ab952df4eac27b59ba35e461e92539deb87a31e,1,train
SEQ:0337e43c6b36eeb6225519a6103bd6d083c406f5f872de6a1c6082a95912eb0d,1,test
SEQ:0343de1aa0be6a37d5d947b1b6a1f65c46d6e72cfe0977ecacd7df2f8338a087,1,train
SEQ:03530bcba0a65441225b5278da2e0c5005109c1a77a1123a9535dc0b0e70edd3,4,train
SEQ:0357a836b3f2fc54e934b9cab6530110c24fa0bccf95d2ad315b1f3c477685a3,1,train
SEQ:036a41d3c15052200cd103c0b77cd31c9af3b67f9437380ad53dc5a5c5ef663e,3,test
SEQ:0398f25f8a0f4a4191727351d2fd54d124020728f209a603d3dfc039e2b3299d,1,validation
SEQ:039cb98b515188941134a660f96368426613538bf1f29ef3e52c0fecced67e14,3,test
SEQ:03a727470f6015c9b298e56c3fed2be93d08345117682e432a93639df558e3ee,2,train
SEQ:03bfae282c699ad0b358e53c924c5fc3b921d43eccfec4f32b71a4382263a1f4,3,train
SEQ:03cb06c1350febfa7357d384beef7d7d249034818ec61e792af457d1418b3455,3,train
SEQ:03d0a5274a57c17df67b2f71b5bc460fb182f7c0324a706e995e9c33cec17dea,3,train
SEQ:03d9abb993721ba6ae3d36c3683e60da44333f2208ecae69ba1b8bc835bd46ef,1,train
SEQ:03dae8d1850d904767037c8dc8ad183fdf87675a6942cae307cddad7d426bcb1,2,train
SEQ:03de8b44a3780da282e88f9f48cb7b234b060b82b2842a37b1d451610c934fcb,1,train
SEQ:03dee70fbbd848ea193af29a5e25f204cfb0ace88b5561c7ca8770d552d0f04c,9,train
SEQ:0408b42163a62f5788f1f1a9764f21340d94cd5c24cd9d88b23ec98eeab310ff,1,test
SEQ:0434596b304f260fbee0b77eef59be2d628958c6d5b7183f9b5d51ae2af32241,1,train
SEQ:043f80df5b673d9048e118735cb0230b0baaa23f788c3bae0010f9995412d852,1,validation
SEQ:0451c5f5ef052711dec57df65d688e28c0027e49dc4be546d73beb880c6181ed,1,train
SEQ:0457c1e6c728cb48f481e7993bd74598af5d7f176913012e582d952294ec0b8c,1,train
SEQ:045de6b23d69dba05552c9aae2f5507478a5c7eddd1a1641df8082b145478595,2,train
SEQ:0472f1c5d0009e840b47541564d7889ed2461d4f06ea85258ecc0e027c476537,7,train
SEQ:04770a360e7954ab34f507b43e99f4bf5e82130f35800ddd1a5c8b5cbeeadc80,1,validation
SEQ:048414ac56487de43456c4d8277feabecbeb4db4194a42f3cd885bfd823b008f,1,train
SEQ:0485206622621e81abb7366851480e380fd9ea6f6148bec63384662578658e81,2,train
SEQ:048a74611daa88e5aa39af46f5d25ab09e1129e49c7f9ed3aa9f5479d98f10a9,5,train
SEQ:048ec9910e4cebfb8dba760f36c938dd7f122dd7d0b91a28b1973d702209d1f9,3,train
SEQ:04cd419d229d9fc0613db7be76c62961db3ca033dcda09e97a55147fade8707c,1,train
SEQ:04dd2e46d11766ee2ef7dd569987110a4a4298eb115ce7bed6744aa319a9c7fc,3,train
SEQ:04e52a2de93ec4e08ddcc8951b75e73dcc63a4a3b7dac6dd3ab173ba29e5e11b,1,train
SEQ:04e69cd2f66153581190cf72fc27a709fec4d451072fde718c545ccc994353db,1,train
SEQ:04e940a5ebf0b96fc9faa1d8b38ce5273808c79190ab719e40a85726aa6605c3,1,train
SEQ:0510ee24c4318b1296486bb65591844320d432a094ca72c3cce4dd794d7e826a,4,train
SEQ:0519d21586302713cafdb06a73c6cb58c2b237abc823854e40cc95c77c684220,8,train
SEQ:052e47ca9b6bf71afee9b7d343dc6a30ec86fb03ec890b3c8d4d3a136f96f0c9,1,train
SEQ:05452532487acca6303c94db3c6d76f9f5236b453428bc7952ed328328f86014,1,validation
SEQ:05581dae6f0579da869a0303a20bfc9b322659ea29e5b680f94f552ebd23456c,2,train
SEQ:0570c5d169e261bd58cef982a478372a4db9a32bab2b2e079eafc07bf05f0433,11,train
SEQ:057798c1089fc251ff563dc03e5373e0684e90960e1f34c27c071d8afcfbd9b9,2,validation
SEQ:057c4ddaf3a55d5ef11ad6ac36ba1ed06730e5fdf6b90985d93fb9ea844eea85,1,train
SEQ:0588437ec466618659b8271480f25567c9a0d8734dba3b9e5f67800270ecf4e0,1,test
SEQ:058d29ba453bfb351cb680585c5dcecf4f9ebfa297008ad419cabaf906f6f124,1,train
SEQ:059d7c2c8feb87a96ccef6fc7f4866895687212f5bb9393c910970133e134081,1,train
SEQ:05a26bba040196ba3ae29d8c6db9a9403080a69e24af3d55437924b7e8b89e47,1,test
SEQ:05b9e4ad04d5730fd38440bc1685b6dfe8f1d88b5cef3708ced2ddaa50e534ff,2,train
SEQ:05bc95bfe8ddeb197c181dd9c93d9626a992d470d0a022b7b32a71f711fad90e,1,train
SEQ:05cd9853a80448ec5b8ef855fee47e814e1a210eb91ef7c45ca6d63f94bcb5ed,2,train
SEQ:05d2b6ddc4b9d17b8873e7cb92ebf8e337ab9caba8e3bfb6a63d1c102f14c663,1,train
SEQ:05d60a6f764021e918cb82ec1f692b68d8c8f288fcec0a06b353b54f82973e02,1,train
SEQ:05e2a7eb23bc32816463276f185e0f70f9c3d002e11f8f7fb468f19009544e8e,1,validation
SEQ:05e48104919442dd817734f3c0ba08847b06cd02c76a8f88d96aa712545ce773,4,validation
SEQ:05e6f445058d1b3e36c095d8aee115bf30847a8cbf14993c840bc1bda72c717d,2,train
SEQ:05eb8f1a36ba790f88e4aa24996d86f186f71f1a54d3cf3bee948e9304d0ef93,1,test
SEQ:05ffe5aa5f41f7566eca5e7689a76c7096642bbb99dda345579654a166ea9737,1,train
SEQ:06007df63a9d69726404d5a53d208a408bce1301a03e4710fb9693a4ed33ad08,1,train
SEQ:06019dbd1b426460fad60e448826f8b1b2f8746454701f98b358f16020013ff4,1,train
SEQ:0611bfb309482e20df1914813626e5eff859b71953e696fbcd53414a9a76db9e,3,train
SEQ:062376c1fe9a8680bd8951737fc458bfd402da2a7822f51a7388bc14dea87068,2,train
SEQ:06328137fc9825821b1a7a7d95bea792b72346b624c39624ac8359ae06ffe578,1,train
SEQ:0632d425ca63a49d9bb1a592942716de7601d7d9a11afb83949548c534b779dd,1,train
SEQ:0646d6247e09f37514094be8bf425f8c46cfc1ae92b5554c4f0d898b3265d875,1,train
SEQ:0647ba978c0e550399fa33c8ee2f26c82b028539edf3f9473604a855d9965cbd,2,train
SEQ:066cd148df084ff5c1ce05c5a4e442ef4252675027d5fd3a4ead472795ba52bb,5,train
SEQ:069a58f431c61ca85a0441f566dc7cdf6be9d8285fe71cd10c898f816d8adf0c,2,train
SEQ:069dcf65f46230dcb8df3afdfe9a000b11850089320595f24e1665054b6bef10,1,validation
SEQ:06a4c9a78af9ca3bfbaab95ebdb702b799b2d38bc4ff1ae0135883b4c46f7dbe,5,train
SEQ:06b09d32dfa3e4405045bfbd07e4408c9a6ecf1e84be027fdc20b9bfdaaa27d4,1,train
SEQ:06b40a2742cea018a273a4feba08285b449047c8833cec1a4a9586fb1757e9bf,1,train
SEQ:06c23e2ed27e57dd2fd2b42d7251c3096047666d5ab51d70ceb14335ba388e10,1,train
SEQ:06c4676fe685ce7187acb74cf8fddf8978c9d6f7ab4804dd07cddd970a7b9139,1,train
SEQ:06c8c6f65ab7f7a1d813930ffaf5d72c3fd5f5619e5ec17e98cc8cb3e8deb182,2,train
SEQ:06e0ce45faa2300e8b207959833598caab00d7718c9cd0c6877d83cd56a665e3,1,train
SEQ:07006f6f455a8ea5033763db94d09ca6ca730ec8a322959ac7fe6b489baa94e0,1,train
SEQ:0722fb7844a54430ddcbbd730ee418dcb30a6b38450f28323ececc43805be67d,1,train
SEQ:0725c9221fe1fd935ede4a747d0678459ca0e367b238a1dea22fc4874335cf8f,1,train
SEQ:074cc29440ec26e5804d94f8f250844a95475c79a541bca6de2af6413d38a9af,1,test
SEQ:07505bc0d400eb52c0f69a9efdfea1944fb17a7261c3008f1842f3eac5714f18,1,test
SEQ:0752888ca64c34a4a86ea58b915dce94fe40bdd439d73d30ba7e924ae7ae0234,25,train
SEQ:075cd160a22e392ad92776143a4af52ed1c6ac1e68ba82bc253ba8dd9daef9c1,1,train
SEQ:076621fb418cdba70cd223fb47dfeeec524a1dc685a22aea1fe1a3399d3a4917,1,train
SEQ:07709ab07a513c4dce1a7959395be60cbd9c5b95c7f6810f9e2bbbac5fb11a0a,1,validation
SEQ:0792bebf329e1096fad87704ffde370a5de617e20765c0ba29243f7622a7effa,1,train
SEQ:0798437def06af18f0ee151fb68a7ef37e16370ca11546ce6c0bc2b644f3a960,4,train
SEQ:0798eab9a4c3c0bdc0c44b89ba863cf4168f1b6fe7d556e5c367fd0b41f7affb,1,train
SEQ:0799c348ddffc5d2e54067ca87fc51e654bd0df9c8902305ef6833b14b16b0d4,1,train
SEQ:07bcaa90ff5dd47e7cfac1beed8e4064c7b6f27cf4a4a0492219342dc2e4129b,2,train
SEQ:07cc7e6b1f5474a9018e28474f11e53587bf6d0ae5f487700eea814f26ca7c96,6,test
SEQ:07e30917478acb4fc71de076053c26962a6e837b697aa756a942ddb789640df9,1,train
SEQ:07f12b0ca60cad9c90c0df0541330c70ef0d44fac1f487ecdecb46cc620b63f6,1,train
SEQ:07f40a8b41ff608a24d14ee9cda1dc311cf92f51d1a07770c83a63e1248ec9fd,1,train
SEQ:0807e89052573fd6f64c94379482562f8b84856431646a459e25b215e5d52e66,1,train
SEQ:080998fbe7c2c29dce5ee1840cfb287113a6607d74905db15a10677286010265,1,train
SEQ:0810d4501c0594713c19a489b63f4be4f8751688ea5208af68ac76f7b615b3a3,2,train
SEQ:081c4d17fb8ac34f1390d9083195ce614a70747707cdff2588334a50d8c85144,2,train
SEQ:082ef6cfa8a9d5c17782cc036623a4c0ece915fc6a420e54678ff55dab70b98e,3,train
SEQ:082faadd2137ca7ca0b79901153ae7d795e5182ab858c1eb102864cbbb6e409e,1,test
SEQ:083d74d6b6ac13775b74eb4e3031f9b230c0ca191f33a2f68858130a582cada1,1,train
SEQ:084144427674914cba4b07ab865916ee9dc6c8c6a2a8752c081d60c89ddd4ce9,1,train
SEQ:085adf2253e1a27d598323ea2c077647f8fd3f37828c6ff2594a7065f41d3b78,1,test
SEQ:085c3182089b94015013f0db9968ed23a635fdc1b61ccdeac56505bb7ae26b15,1,test
SEQ:085f64e87f122bc4cc9fda3e06841fd9d75f204a8d3f0a012f5badfdeefa6068,1,train
SEQ:0863dab9da2afcd2d9e52bb981b6fdc17d07cc5e3853cc4b06c5280c55bbef16,1,train
SEQ:087b2c0fc91ff390f2f9b1d14bc8dc66bbfd16de688d4ffa44f60d655cb0f868,1,train
SEQ:087ec39e04049bcd985131f9b3906f227ec88fffbfe1f1b051ffaf0619e2c8b4,34,train
SEQ:0882738ecc195a7657da38a5512d99a4d254455062d0ef561b3ad17e7f9e0a96,1,train
SEQ:08ab69187b319cff68eba5e95e6d06f77a7a8e75e4b1a83c000f7ed2c160d37f,13,train
SEQ:08ae15df83f50af69ddd2a34f91d5f1af221e9b0d1b005498d5c3497460e0a89,1,train
SEQ:08af8599be5732d7e06668e812a913da44dddd0f4b800fb923f2d66ffb097d54,13,train
SEQ:08c661e11cb9a5006f05208246f1a9163e07947d799494b8abde80fde03248ea,2,train
SEQ:08da799bbf699e9a2c54e8409c6e2baafe3952854d992ce3de6f78ffa02d9508,6,train
SEQ:08dd546ac4cae44a46eb653383e02b1a176949a2b42b2a1426bc0004637a0a54,1,test
SEQ:08e3784eb5ad2f98879c2b1adf64e099fc381e78944007e2c2f3e0674f3176ef,2,validation
SEQ:08e94d00e198158ed1db5b7682cd0bf55b72692b6ec3afd93489a9c743eb745a,2,train
SEQ:08f07cc12ba9601e17da325c37d347996aa047f34f0d9498555d1ab1b6d4ac4d,1,train
SEQ:0908a4107ab9712aa23d0533553731dc9b079788c469909bc6a41dee501c4d8b,5,train
SEQ:090cb87ee8a74cb5312ef28ac2eea15e9b8e3eb2456505d13e1ad7438978c71b,1,train
SEQ:091395423a50e5ec99e589e7fb0580f30d25ae50e08af23b00e5e75f118f7115,2,train
SEQ:09210c850e66949ebc252393e45d1259fbd07bd5ebd6901cb00a7b2cd27371f9,2,test
SEQ:092555f0ab071d62e2c26318e4ce09ad60a2404560e257f75c3d3ffe25e23a6d,3,train
SEQ:0949de13d2ed928a394e2914534f809b2ef6d823f65084aba899cd4d7792329f,1,train
SEQ:0980495a2ae93c86f320bb2afe6c4f750648d7820c23e77d8501027ba2fbba12,1,train
SEQ:098b3fbefa3a013be7b7ba3cd75a2525fa7ef485f024935603e42a578984e5f5,1,test
SEQ:098f8e95556545c4417a8526c58549235f89930e00529d662ba941c1c2e8a9dd,2,validation
SEQ:099d334605bfb4edb5cb85224874841ee1502ff1d065d464258abd2698c657c7,1,train
SEQ:09a42c462cbc7bcf6075806df223dc50973cfb6241867ab956def2a4f117b366,1,train
SEQ:09bf320352cd59a0c6e33bd956c4cf0426ce33ac17175fbc01afbf9148ae455b,1,train
SEQ:09c97bb47378fe04f93adebb0da6680f30981403214d3b2e0aa0c4665d78ab6d,1,validation
SEQ:09e25706344dd177ff2052d9086931803b450cc0cf4c3f0f8c23e883467035ff,1,train
SEQ:09e319e56afa458b716d7f1f12630edb9df9c3bd8278e182bdb0a61b5242d5fe,3,test
SEQ:09e440ef97da21879ba9dd18cf571b39815dd2b7bf090cc02d7c42acef8a488b,1,train
SEQ:09f8a8f9ea90de17365339c66b0f14ecc4ed0d5f57c0cc81213942ad6d339bd4,1,validation
SEQ:0a05f736b29dbbed80036947282a91d148f76466e220161f4eb923fd44c16765,3,train
SEQ:0a09f61f67a82fbb7f310e27eaadbd2586fb486d3a22f4da5898bd03a0f8fca0,1,validation
SEQ:0a13a70645fdf84d8e8f5ae423a44361fd43a44bd1167fb4deb715861c065914,2,train
SEQ:0a1a909cf5ee3fcb36c17135913ce49913db6fb6392fe43faf9c92df9994a1b2,1,test
SEQ:0a27a76290ef3761f35e1d59209bdd8942c61f659d3acca663b70fc17ec9064e,1,train
SEQ:0a32f4aa401a826d02daf7cb67c38336c9ae907b64ef15d894ab18885b981da0,3,train
SEQ:0a3fa37548f385d330aa425444228c1f1d1abb1b3943851433b8b234db1b464f,1,train
SEQ:0a57add803858cd367943d4441f20660f5a5e0526bb3a79617efe7fb4b0212c0,1,train
SEQ:0a59d788503e05b0d9e28742df1dfc327694cd30eea8e9ef40f9bee357ea6852,1,train
SEQ:0a6342776d21661604a4528bcb4ab8e590387d27b1f3eba94c52c7deb6255ed2,1,train
SEQ:0a6aa1debade875f917132245b6e69b13523b85ec0a5a9c3cefbba21fe664a65,1,train
SEQ:0a6dd3532fb428ec0831e37a6623d71c25d45e753afe87bd4ac9721c9abfbf32,1,test
SEQ:0aaf881c8b1d65a067fae914dfcb66e980494d3f2c211741219e8acbffe5ba45,1,train
SEQ:0ab06dce4d89893055602854fed69c863118f007ea81ed465a72a98efbd0e452,1,validation
SEQ:0ac226c1624f0a1afc89ff3f2dcac364bc6a7716762d362dcfdc01538e620eb7,1,train
SEQ:0ade5cb5055eb17bde6b4f539f3f72f19246f20d8d5ee17be1f1cfac3fba4f44,5,validation
SEQ:0ae0e69b65dbe3cb790bd0d450c01e40972e9c6d43ac106741884a39875a1e42,1,validation
SEQ:0ae58e2deeb81da0a7533267334f568331e9160a32bb50de4d55a0ed56ca83f9,1,train
SEQ:0ae902f1f0fc7b45dfb6d5038ea7ec8aba1bbf47f844a1a45993d8aa3c998282,1,test
SEQ:0af2fd47dc590982040312618920cd4ad4bfc322043fffb0084b4338a46120d1,1,train
SEQ:0af3665cefd73d56bc353f7eb1853227894b60fc846c30f77852195c17ee4fe5,1,test
SEQ:0af5430cc3a0160f705d58794171e5ceccbb64eb3d634df67dedb6d409e90ffb,1,train
SEQ:0af54a6c12c3a3902cb46e90a282a610a9d210851ec73653bc7a9e2373972647,6,validation
SEQ:0afa1e079bf14b6f6a7e6230a259ec707f79eb8b37009d1810927ebafd9cfe39,13,test
SEQ:0b04e6a37856d17b120f7bba8238d881680decab704d6c65e043a2cddc75e643,1,train
SEQ:0b1aaf1fdaee0ee16ebbd100c366dd44a3abaf0e0960c2d7c399ac704332f156,2,train
SEQ:0b217b90d0abf39b97e92b54f2395e3a4921186dbd0799bcae999b646006d587,3,train
SEQ:0b255bee17a4b81c93472174a05d48ab8ae3b1b23937c7fbe3c411617195b016,1,validation
SEQ:0b2ea18f16692e16d96de3826ce62670f4e200d3bb6850c607586e348231f6fc,1,train
SEQ:0b39241871a6a7ad8ba649cebe62dcd2834dfdb6aaa43b109b60895f53d88987,17,test
SEQ:0b3c67de268a65576894459d49c8d20618eb372d90b43b3ad4ce1f84ab4cf846,4,train
SEQ:0b45a125f79ff79f518bea9817977a88d19133ebd6d02e1b5d93efd17d898558,1,train
SEQ:0b61f716216e1c950fb5b83eaf46bd4292b5d974e0e9d6c53a009df8fb8ff876,1,train
SEQ:0b63beb01de62ea4910251f17ee36750f150e89785b412f48844567ec3390baa,1,validation
SEQ:0b6cd9dfefc114e0aa72ef3c6c64756b5dfe35c5847b6ed128d8c1d22b3dd74b,1,train
SEQ:0b6d8efce18bd136b6028032c835c98d084f503da6825c6d7844e9f36cc55cc9,1,train
SEQ:0b6eb3b35c51c93edccead4a968668808d9f70d71fdc634a9ff6b236e455841d,1,train
SEQ:0b73a9ecfe713d096e2570931e596b9d42e47a4359a3d72144f02dde6c361636,1,validation
SEQ:0b7b4371349d430586f14fcc356499e91f31b6c9212ea6201bf7d5b0e5dae343,1,train
SEQ:0b82b1e9c0971a1cb38cba684eb46ef2e875b1f37e798499022d271433871a61,1,train
SEQ:0ba14e92345e90b63be2d39c6b090e486a6f38319d490fccc6b6d7d677e10278,1,train
SEQ:0ba7841e619d0bbb278168955e6137c9ec0d96a1410fa206d73713495ea379cc,1,validation
SEQ:0bb8e35a52cae24d12f9c81726c87822e1e28b75fff75746373dfa62aa4274dc,1,train
SEQ:0bc7dc2f5cf163bd57ddabb3d6eaab98ee52d87bb8fe3d68e38258795dd19950,12,train
SEQ:0bcb9f8ad767fed72301f0961e6418715edc20140e13af05ab9eab1f0fc4d20f,2,train
SEQ:0bcf52eb05430580f0358af2a04b2301874636640c881c268c92ba6351370df3,1,train
SEQ:0bd14a0b35b82c168f51810b87908d90b82fe7f018796dcbc2bbf1b91a891aa7,3,train
SEQ:0bda691f0bfa7e877907bc1aa3492e83d76abea308358a51230e3372e036de39,3,train
SEQ:0be46fb37f37fa1613d7d82f5835de86bf48b907bb4ea902c281254e5a622d4f,1,train
SEQ:0bf1f3a7b18a8a95d11f0f139917ecd97ad681a0e03704abbc83058db79d0fff,1,train
SEQ:0c2a7b6bb6beb8da07b06be1a5f86fe7733b3b76b068d6030df3c136ee543b79,1,train
SEQ:0c3feb9a2e6d6c63770c9e9d3f4b6664da11f74a182678e68fabb7586f538a97,1,validation
SEQ:0c5eb9505558859e7a1b89a9f049e7939c3cdfcdfeb249fd3a1f8d32d8f6b781,1,test
SEQ:0c775ef7351acbb4690195ef3f0c22a55e87e1bcab088764e8f51744a1833e4a,3,train
SEQ:0c7a01bf735bc5e88ec15e8d97232e1504cdbfb35be65d5a98e2bb435bfd1bc1,1,train
SEQ:0ca26b54f0c45d0135ce37c885e5d97403dfe1e0e8b7752d3773a6b8966fa1a9,1,train
SEQ:0ca994fdd07a1c873edcaf1fb941ed420716d261c98ed2c7405eee1b8cd8ce5e,2,test
SEQ:0caed4ff234c64efd5f01371efafe0b9c14cc59dbeaf60e2fa25f299f8104146,2,train
SEQ:0ccce2f7f3ddcabe62ba037745ebfa0cdd24fd54d77b5162ac4146d2672d05d3,2,train
SEQ:0ce79f08f4e811d353e435bf5265c9905e940faa90ee2afe6191efaa276b3436,1,train
SEQ:0ced5241ed09ca4ccab79e3402166a62e2510d5e509f0df450517ee66347c4ad,1,test
SEQ:0cef75068c8c54b8b1cdc91ed3f270b17d009040ac8e814bf4292c9435d0a78a,1,train
SEQ:0cf62e1ccb94abd03e5adae50ca58b2b43690058c5cc6e176c4650e6c4f083e0,1,train
SEQ:0d10acbf3c720b873460e19c59a2c62810e91b83e6d06f5477d2a48f5cfb90cf,3,train
SEQ:0d1841c359a41e74834cc9e93711528e794917a88ac14c7b102e4dc68a2cf888,4,train
SEQ:0d2f7460697f2bd35c883d293a472313078b5fa49207c09e04a485d9637cf5e0,1,train
SEQ:0d371734a19e620a79b0673f9ab5610251a93a07a3f3470fa9f8bf46b0e56ccf,4,train
SEQ:0d4afc204e7096d13c4f8e051d0ce7d34137950736cc72dab4e1f701b01a6233,2,test
SEQ:0d6250f6b8023f763dba9594f81228f6bfe5f7023d8d9168c173a471741f0f70,1,train
SEQ:0d69e453b11baab26744507a6921333d916b4ac6a742324c5ef38acc45346cc4,1,train
SEQ:0d729e137b1dfd46054211d91b5cb05e26615ab9d5167a34ed833e6f3ee28e73,1,train
SEQ:0d879d13bdd157f49fda01e82a4969eaa3a611837e16fbb8586e96a691b5f52d,2,train
SEQ:0d94b29da5df9243341df7a6599b92ba43597adfbc3aaa729f6a2fbdf505937d,1,train
SEQ:0d955e69e959b340ce13515b2f2023bbcf646be3432085a0bed4e780c549c4ef,1,train
SEQ:0dc6495e1e886cb764a54c6e13200406d258885aba2dfef26455f4f97472a0fa,1,test
SEQ:0dddc5809db5a844d346fd0b7e50581fc49878109250053309b309ef5e7fdef9,5,train
SEQ:0de3cd917bf28565f5773cec84b6a2a8c48bc14e62ad2478a58c4aeb84335c4b,1,train
