run_id,stage,track,arm,view,architecture,loss,variant,seed,feature_set,train_members,validation_members,test_members,status,requires,output_dir,test_use
E1_A_scaffold_replay_dual_cosine_binary_default_s202,E1,controlled_fresh_training,A,scaffold_replay,dual_cosine,binary,default,202,bermol+esm2_dtiam,data/research/dti_reliability_20260920_v1/A_scaffold_replay_train.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_validation.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_test.parquet,PLANNED_NOT_STARTED,Controlled trainer + data preflight + resource profile,outputs/dti_reliability_runs_20260920/E1_A_scaffold_replay_dual_cosine_binary_default_s202,"Final report only, no model selection"
E1_A_scaffold_replay_dual_cosine_binary_default_s303,E1,controlled_fresh_training,A,scaffold_replay,dual_cosine,binary,default,303,bermol+esm2_dtiam,data/research/dti_reliability_20260920_v1/A_scaffold_replay_train.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_validation.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_test.parquet,PLANNED_NOT_STARTED,Controlled trainer + data preflight + resource profile,outputs/dti_reliability_runs_20260920/E1_A_scaffold_replay_dual_cosine_binary_default_s303,"Final report only, no model selection"
E1_A_scaffold_replay_bilinear_binary_default_s101,E1,controlled_fresh_training,A,scaffold_replay,bilinear,binary,default,101,bermol+esm2_dtiam,data/research/dti_reliability_20260920_v1/A_scaffold_replay_train.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_validation.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_test.parquet,PLANNED_NOT_STARTED,Controlled trainer + data preflight + resource profile,outputs/dti_reliability_runs_20260920/E1_A_scaffold_replay_bilinear_binary_default_s101,"Final report only, no model selection"
E1_A_scaffold_replay_bilinear_binary_default_s202,E1,controlled_fresh_training,A,scaffold_replay,bilinear,binary,default,202,bermol+esm2_dtiam,data/research/dti_reliability_20260920_v1/A_scaffold_replay_train.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_validation.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_test.parquet,PLANNED_NOT_STARTED,Controlled trainer + data preflight + resource profile,outputs/dti_reliability_runs_20260920/E1_A_scaffold_replay_bilinear_binary_default_s202,"Final report only, no model selection"
E1_A_scaffold_replay_bilinear_binary_default_s303,E1,controlled_fresh_training,A,scaffold_replay,bilinear,binary,default,303,bermol+esm2_dtiam,data/research/dti_reliability_20260920_v1/A_scaffold_replay_train.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_validation.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_test.parquet,PLANNED_NOT_STARTED,Controlled trainer + data preflight + resource profile,outputs/dti_reliability_runs_20260920/E1_A_scaffold_replay_bilinear_binary_default_s303,"Final report only, no model selection"
E1_A_scaffold_replay_global_mlp_binary_default_s101,E1,controlled_fresh_training,A,scaffold_replay,global_mlp,binary,default,101,bermol+esm2_dtiam,data/research/dti_reliability_20260920_v1/A_scaffold_replay_train.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_validation.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_test.parquet,PLANNED_NOT_STARTED,Controlled trainer + data preflight + resource profile,outputs/dti_reliability_runs_20260920/E1_A_scaffold_replay_global_mlp_binary_default_s101,"Final report only, no model selection"
E1_A_scaffold_replay_global_mlp_binary_default_s202,E1,controlled_fresh_training,A,scaffold_replay,global_mlp,binary,default,202,bermol+esm2_dtiam,data/research/dti_reliability_20260920_v1/A_scaffold_replay_train.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_validation.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_test.parquet,PLANNED_NOT_STARTED,Controlled trainer + data preflight + resource profile,outputs/dti_reliability_runs_20260920/E1_A_scaffold_replay_global_mlp_binary_default_s202,"Final report only, no model selection"
E1_A_scaffold_replay_global_mlp_binary_default_s303,E1,controlled_fresh_training,A,scaffold_replay,global_mlp,binary,default,303,bermol+esm2_dtiam,data/research/dti_reliability_20260920_v1/A_scaffold_replay_train.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_validation.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_test.parquet,PLANNED_NOT_STARTED,Controlled trainer + data preflight + resource profile,outputs/dti_reliability_runs_20260920/E1_A_scaffold_replay_global_mlp_binary_default_s303,"Final report only, no model selection"
E1_A_scaffold_replay_lightgbm_binary_default_s101,E1,controlled_fresh_training,A,scaffold_replay,lightgbm,binary,default,101,bermol+esm2_dtiam,data/research/dti_reliability_20260920_v1/A_scaffold_replay_train.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_validation.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_test.parquet,PLANNED_NOT_STARTED,Controlled trainer + data preflight + resource profile,outputs/dti_reliability_runs_20260920/E1_A_scaffold_replay_lightgbm_binary_default_s101,"Final report only, no model selection"
E1_A_scaffold_replay_lightgbm_binary_default_s202,E1,controlled_fresh_training,A,scaffold_replay,lightgbm,binary,default,202,bermol+esm2_dtiam,data/research/dti_reliability_20260920_v1/A_scaffold_replay_train.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_validation.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_test.parquet,PLANNED_NOT_STARTED,Controlled trainer + data preflight + resource profile,outputs/dti_reliability_runs_20260920/E1_A_scaffold_replay_lightgbm_binary_default_s202,"Final report only, no model selection"
E1_A_scaffold_replay_lightgbm_binary_default_s303,E1,controlled_fresh_training,A,scaffold_replay,lightgbm,binary,default,303,bermol+esm2_dtiam,data/research/dti_reliability_20260920_v1/A_scaffold_replay_train.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_validation.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_test.parquet,PLANNED_NOT_STARTED,Controlled trainer + data preflight + resource profile,outputs/dti_reliability_runs_20260920/E1_A_scaffold_replay_lightgbm_binary_default_s303,"Final report only, no model selection"
E1_A_cold_target_drug_only_binary_default_s101,E1,controlled_fresh_training,A,cold_target,drug_only,binary,default,101,bermol+esm2_dtiam,data/research/dti_reliability_20260920_v1/A_cold_target_train.parquet,data/research/dti_reliability_20260920_v1/A_cold_target_validation.parquet,data/research/dti_reliability_20260920_v1/A_cold_target_test.parquet,PLANNED_NOT_STARTED,Controlled trainer + data preflight + resource profile,outputs/dti_reliability_runs_20260920/E1_A_cold_target_drug_only_binary_default_s101,"Final report only, no model selection"
E1_A_cold_target_drug_only_binary_default_s202,E1,controlled_fresh_training,A,cold_target,drug_only,binary,default,202,bermol+esm2_dtiam,data/research/dti_reliability_20260920_v1/A_cold_target_train.parquet,data/research/dti_reliability_20260920_v1/A_cold_target_validation.parquet,data/research/dti_reliability_20260920_v1/A_cold_target_test.parquet,PLANNED_NOT_STARTED,Controlled trainer + data preflight + resource profile,outputs/dti_reliability_runs_20260920/E1_A_cold_target_drug_only_binary_default_s202,"Final report only, no model selection"
E1_A_cold_target_drug_only_binary_default_s303,E1,controlled_fresh_training,A,cold_target,drug_only,binary,default,303,bermol+esm2_dtiam,data/research/dti_reliability_20260920_v1/A_cold_target_train.parquet,data/research/dti_reliability_20260920_v1/A_cold_target_validation.parquet,data/research/dti_reliability_20260920_v1/A_cold_target_test.parquet,PLANNED_NOT_STARTED,Controlled trainer + data preflight + resource profile,outputs/dti_reliability_runs_20260920/E1_A_cold_target_drug_only_binary_default_s303,"Final report only, no model selection"
E1_A_cold_target_protein_only_binary_default_s101,E1,controlled_fresh_training,A,cold_target,protein_only,binary,default,101,bermol+esm2_dtiam,data/research/dti_reliability_20260920_v1/A_cold_target_train.parquet,data/research/dti_reliability_20260920_v1/A_cold_target_validation.parquet,data/research/dti_reliability_20260920_v1/A_cold_target_test.parquet,PLANNED_NOT_STARTED,Controlled trainer + data preflight + resource profile,outputs/dti_reliability_runs_20260920/E1_A_cold_target_protein_only_binary_default_s101,"Final report only, no model selection"
E1_A_cold_target_protein_only_binary_default_s202,E1,controlled_fresh_training,A,cold_target,protein_only,binary,default,202,bermol+esm2_dtiam,data/research/dti_reliability_20260920_v1/A_cold_target_train.parquet,data/research/dti_reliability_20260920_v1/A_cold_target_validation.parquet,data/research/dti_reliability_20260920_v1/A_cold_target_test.parquet,PLANNED_NOT_STARTED,Controlled trainer + data preflight + resource profile,outputs/dti_reliability_runs_20260920/E1_A_cold_target_protein_only_binary_default_s202,"Final report only, no model selection"
E1_A_cold_target_protein_only_binary_default_s303,E1,controlled_fresh_training,A,cold_target,protein_only,binary,default,303,bermol+esm2_dtiam,data/research/dti_reliability_20260920_v1/A_cold_target_train.parquet,data/research/dti_reliability_20260920_v1/A_cold_target_validation.parquet,data/research/dti_reliability_20260920_v1/A_cold_target_test.parquet,PLANNED_NOT_STARTED,Controlled trainer + data preflight + resource profile,outputs/dti_reliability_runs_20260920/E1_A_cold_target_protein_only_binary_default_s303,"Final report only, no model selection"
E1_A_cold_target_additive_binary_default_s101,E1,controlled_fresh_training,A,cold_target,additive,binary,default,101,bermol+esm2_dtiam,data/research/dti_reliability_20260920_v1/A_cold_target_train.parquet,data/research/dti_reliability_20260920_v1/A_cold_target_validation.parquet,data/research/dti_reliability_20260920_v1/A_cold_target_test.parquet,PLANNED_NOT_STARTED,Controlled trainer + data preflight + resource profile,outputs/dti_reliability_runs_20260920/E1_A_cold_target_additive_binary_default_s101,"Final report only, no model selection"
E1_A_cold_target_additive_binary_default_s202,E1,controlled_fresh_training,A,cold_target,additive,binary,default,202,bermol+esm2_dtiam,data/research/dti_reliability_20260920_v1/A_cold_target_train.parquet,data/research/dti_reliability_20260920_v1/A_cold_target_validation.parquet,data/research/dti_reliability_20260920_v1/A_cold_target_test.parquet,PLANNED_NOT_STARTED,Controlled trainer + data preflight + resource profile,outputs/dti_reliability_runs_20260920/E1_A_cold_target_additive_binary_default_s202,"Final report only, no model selection"
E1_A_cold_target_additive_binary_default_s303,E1,controlled_fresh_training,A,cold_target,additive,binary,default,303,bermol+esm2_dtiam,data/research/dti_reliability_20260920_v1/A_cold_target_train.parquet,data/research/dti_reliability_20260920_v1/A_cold_target_validation.parquet,data/research/dti_reliability_20260920_v1/A_cold_target_test.parquet,PLANNED_NOT_STARTED,Controlled trainer + data preflight + resource profile,outputs/dti_reliability_runs_20260920/E1_A_cold_target_additive_binary_default_s303,"Final report only, no model selection"
E1_A_cold_target_dual_cosine_binary_default_s101,E1,controlled_fresh_training,A,cold_target,dual_cosine,binary,default,101,bermol+esm2_dtiam,data/research/dti_reliability_20260920_v1/A_cold_target_train.parquet,data/research/dti_reliability_20260920_v1/A_cold_target_validation.parquet,data/research/dti_reliability_20260920_v1/A_cold_target_test.parquet,PLANNED_NOT_STARTED,Controlled trainer + data preflight + resource profile,outputs/dti_reliability_runs_20260920/E1_A_cold_target_dual_cosine_binary_default_s101,"Final report only, no model selection"
E1_A_cold_target_dual_cosine_binary_default_s202,E1,controlled_fresh_training,A,cold_target,dual_cosine,binary,default,202,bermol+esm2_dtiam,data/research/dti_reliability_20260920_v1/A_cold_target_train.parquet,data/research/dti_reliability_20260920_v1/A_cold_target_validation.parquet,data/research/dti_reliability_20260920_v1/A_cold_target_test.parquet,PLANNED_NOT_STARTED,Controlled trainer + data preflight + resource profile,outputs/dti_reliability_runs_20260920/E1_A_cold_target_dual_cosine_binary_default_s202,"Final report only, no model selection"
E1_A_cold_target_dual_cosine_binary_default_s303,E1,controlled_fresh_training,A,cold_target,dual_cosine,binary,default,303,bermol+esm2_dtiam,data/research/dti_reliability_20260920_v1/A_cold_target_train.parquet,data/research/dti_reliability_20260920_v1/A_cold_target_validation.parquet,data/research/dti_reliability_20260920_v1/A_cold_target_test.parquet,PLANNED_NOT_STARTED,Controlled trainer + data preflight + resource profile,outputs/dti_reliability_runs_20260920/E1_A_cold_target_dual_cosine_binary_default_s303,"Final report only, no model selection"
E1_A_cold_target_bilinear_binary_default_s101,E1,controlled_fresh_training,A,cold_target,bilinear,binary,default,101,bermol+esm2_dtiam,data/research/dti_reliability_20260920_v1/A_cold_target_train.parquet,data/research/dti_reliability_20260920_v1/A_cold_target_validation.parquet,data/research/dti_reliability_20260920_v1/A_cold_target_test.parquet,PLANNED_NOT_STARTED,Controlled trainer + data preflight + resource profile,outputs/dti_reliability_runs_20260920/E1_A_cold_target_bilinear_binary_default_s101,"Final report only, no model selection"
E1_A_cold_target_bilinear_binary_default_s202,E1,controlled_fresh_training,A,cold_target,bilinear,binary,default,202,bermol+esm2_dtiam,data/research/dti_reliability_20260920_v1/A_cold_target_train.parquet,data/research/dti_reliability_20260920_v1/A_cold_target_validation.parquet,data/research/dti_reliability_20260920_v1/A_cold_target_test.parquet,PLANNED_NOT_STARTED,Controlled trainer + data preflight + resource profile,outputs/dti_reliability_runs_20260920/E1_A_cold_target_bilinear_binary_default_s202,"Final report only, no model selection"
E1_A_cold_target_bilinear_binary_default_s303,E1,controlled_fresh_training,A,cold_target,bilinear,binary,default,303,bermol+esm2_dtiam,data/research/dti_reliability_20260920_v1/A_cold_target_train.parquet,data/research/dti_reliability_20260920_v1/A_cold_target_validation.parquet,data/research/dti_reliability_20260920_v1/A_cold_target_test.parquet,PLANNED_NOT_STARTED,Controlled trainer + data preflight + resource profile,outputs/dti_reliability_runs_20260920/E1_A_cold_target_bilinear_binary_default_s303,"Final report only, no model selection"
E1_A_cold_target_global_mlp_binary_default_s101,E1,controlled_fresh_training,A,cold_target,global_mlp,binary,default,101,bermol+esm2_dtiam,data/research/dti_reliability_20260920_v1/A_cold_target_train.parquet,data/research/dti_reliability_20260920_v1/A_cold_target_validation.parquet,data/research/dti_reliability_20260920_v1/A_cold_target_test.parquet,PLANNED_NOT_STARTED,Controlled trainer + data preflight + resource profile,outputs/dti_reliability_runs_20260920/E1_A_cold_target_global_mlp_binary_default_s101,"Final report only, no model selection"
E1_A_cold_target_global_mlp_binary_default_s202,E1,controlled_fresh_training,A,cold_target,global_mlp,binary,default,202,bermol+esm2_dtiam,data/research/dti_reliability_20260920_v1/A_cold_target_train.parquet,data/research/dti_reliability_20260920_v1/A_cold_target_validation.parquet,data/research/dti_reliability_20260920_v1/A_cold_target_test.parquet,PLANNED_NOT_STARTED,Controlled trainer + data preflight + resource profile,outputs/dti_reliability_runs_20260920/E1_A_cold_target_global_mlp_binary_default_s202,"Final report only, no model selection"
E1_A_cold_target_global_mlp_binary_default_s303,E1,controlled_fresh_training,A,cold_target,global_mlp,binary,default,303,bermol+esm2_dtiam,data/research/dti_reliability_20260920_v1/A_cold_target_train.parquet,data/research/dti_reliability_20260920_v1/A_cold_target_validation.parquet,data/research/dti_reliability_20260920_v1/A_cold_target_test.parquet,PLANNED_NOT_STARTED,Controlled trainer + data preflight + resource profile,outputs/dti_reliability_runs_20260920/E1_A_cold_target_global_mlp_binary_default_s303,"Final report only, no model selection"
E1_A_cold_target_lightgbm_binary_default_s101,E1,controlled_fresh_training,A,cold_target,lightgbm,binary,default,101,bermol+esm2_dtiam,data/research/dti_reliability_20260920_v1/A_cold_target_train.parquet,data/research/dti_reliability_20260920_v1/A_cold_target_validation.parquet,data/research/dti_reliability_20260920_v1/A_cold_target_test.parquet,PLANNED_NOT_STARTED,Controlled trainer + data preflight + resource profile,outputs/dti_reliability_runs_20260920/E1_A_cold_target_lightgbm_binary_default_s101,"Final report only, no model selection"
E1_A_cold_target_lightgbm_binary_default_s202,E1,controlled_fresh_training,A,cold_target,lightgbm,binary,default,202,bermol+esm2_dtiam,data/research/dti_reliability_20260920_v1/A_cold_target_train.parquet,data/research/dti_reliability_20260920_v1/A_cold_target_validation.parquet,data/research/dti_reliability_20260920_v1/A_cold_target_test.parquet,PLANNED_NOT_STARTED,Controlled trainer + data preflight + resource profile,outputs/dti_reliability_runs_20260920/E1_A_cold_target_lightgbm_binary_default_s202,"Final report only, no model selection"
E1_A_cold_target_lightgbm_binary_default_s303,E1,controlled_fresh_training,A,cold_target,lightgbm,binary,default,303,bermol+esm2_dtiam,data/research/dti_reliability_20260920_v1/A_cold_target_train.parquet,data/research/dti_reliability_20260920_v1/A_cold_target_validation.parquet,data/research/dti_reliability_20260920_v1/A_cold_target_test.parquet,PLANNED_NOT_STARTED,Controlled trainer + data preflight + resource profile,outputs/dti_reliability_runs_20260920/E1_A_cold_target_lightgbm_binary_default_s303,"Final report only, no model selection"
E2_A_scaffold_replay_global_mlp_binary_rank_default_s101,E2,controlled_fresh_training,A,scaffold_replay,global_mlp,binary_rank,default,101,bermol+esm2_dtiam,data/research/dti_reliability_20260920_v1/A_scaffold_replay_train.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_validation.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_test.parquet,PLANNED_NOT_STARTED,Controlled trainer + data preflight + resource profile,outputs/dti_reliability_runs_20260920/E2_A_scaffold_replay_global_mlp_binary_rank_default_s101,"Final report only, no model selection"
E2_A_scaffold_replay_global_mlp_binary_rank_default_s202,E2,controlled_fresh_training,A,scaffold_replay,global_mlp,binary_rank,default,202,bermol+esm2_dtiam,data/research/dti_reliability_20260920_v1/A_scaffold_replay_train.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_validation.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_test.parquet,PLANNED_NOT_STARTED,Controlled trainer + data preflight + resource profile,outputs/dti_reliability_runs_20260920/E2_A_scaffold_replay_global_mlp_binary_rank_default_s202,"Final report only, no model selection"
E2_A_scaffold_replay_global_mlp_binary_rank_default_s303,E2,controlled_fresh_training,A,scaffold_replay,global_mlp,binary_rank,default,303,bermol+esm2_dtiam,data/research/dti_reliability_20260920_v1/A_scaffold_replay_train.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_validation.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_test.parquet,PLANNED_NOT_STARTED,Controlled trainer + data preflight + resource profile,outputs/dti_reliability_runs_20260920/E2_A_scaffold_replay_global_mlp_binary_rank_default_s303,"Final report only, no model selection"
E2_A_scaffold_replay_global_mlp_binary_regression_default_s101,E2,controlled_fresh_training,A,scaffold_replay,global_mlp,binary_regression,default,101,bermol+esm2_dtiam,data/research/dti_reliability_20260920_v1/A_scaffold_replay_train.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_validation.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_test.parquet,PLANNED_NOT_STARTED,Controlled trainer + data preflight + resource profile,outputs/dti_reliability_runs_20260920/E2_A_scaffold_replay_global_mlp_binary_regression_default_s101,"Final report only, no model selection"
E2_A_scaffold_replay_global_mlp_binary_regression_default_s202,E2,controlled_fresh_training,A,scaffold_replay,global_mlp,binary_regression,default,202,bermol+esm2_dtiam,data/research/dti_reliability_20260920_v1/A_scaffold_replay_train.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_validation.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_test.parquet,PLANNED_NOT_STARTED,Controlled trainer + data preflight + resource profile,outputs/dti_reliability_runs_20260920/E2_A_scaffold_replay_global_mlp_binary_regression_default_s202,"Final report only, no model selection"
E2_A_scaffold_replay_global_mlp_binary_regression_default_s303,E2,controlled_fresh_training,A,scaffold_replay,global_mlp,binary_regression,default,303,bermol+esm2_dtiam,data/research/dti_reliability_20260920_v1/A_scaffold_replay_train.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_validation.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_test.parquet,PLANNED_NOT_STARTED,Controlled trainer + data preflight + resource profile,outputs/dti_reliability_runs_20260920/E2_A_scaffold_replay_global_mlp_binary_regression_default_s303,"Final report only, no model selection"
E2_A_scaffold_replay_global_mlp_binary_both_default_s101,E2,controlled_fresh_training,A,scaffold_replay,global_mlp,binary_both,default,101,bermol+esm2_dtiam,data/research/dti_reliability_20260920_v1/A_scaffold_replay_train.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_validation.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_test.parquet,PLANNED_NOT_STARTED,Controlled trainer + data preflight + resource profile,outputs/dti_reliability_runs_20260920/E2_A_scaffold_replay_global_mlp_binary_both_default_s101,"Final report only, no model selection"
E2_A_scaffold_replay_global_mlp_binary_both_default_s202,E2,controlled_fresh_training,A,scaffold_replay,global_mlp,binary_both,default,202,bermol+esm2_dtiam,data/research/dti_reliability_20260920_v1/A_scaffold_replay_train.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_validation.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_test.parquet,PLANNED_NOT_STARTED,Controlled trainer + data preflight + resource profile,outputs/dti_reliability_runs_20260920/E2_A_scaffold_replay_global_mlp_binary_both_default_s202,"Final report only, no model selection"
E2_A_scaffold_replay_global_mlp_binary_both_default_s303,E2,controlled_fresh_training,A,scaffold_replay,global_mlp,binary_both,default,303,bermol+esm2_dtiam,data/research/dti_reliability_20260920_v1/A_scaffold_replay_train.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_validation.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_test.parquet,PLANNED_NOT_STARTED,Controlled trainer + data preflight + resource profile,outputs/dti_reliability_runs_20260920/E2_A_scaffold_replay_global_mlp_binary_both_default_s303,"Final report only, no model selection"
E2_B_scaffold_replay_global_mlp_binary_default_s101,E2,controlled_fresh_training,B,scaffold_replay,global_mlp,binary,default,101,bermol+esm2_dtiam,data/research/dti_reliability_20260920_v1/B_scaffold_replay_train.parquet,data/research/dti_reliability_20260920_v1/B_scaffold_replay_validation.parquet,data/research/dti_reliability_20260920_v1/B_scaffold_replay_test.parquet,PLANNED_NOT_STARTED,Controlled trainer + data preflight + resource profile,outputs/dti_reliability_runs_20260920/E2_B_scaffold_replay_global_mlp_binary_default_s101,"Final report only, no model selection"
E2_B_scaffold_replay_global_mlp_binary_default_s202,E2,controlled_fresh_training,B,scaffold_replay,global_mlp,binary,default,202,bermol+esm2_dtiam,data/research/dti_reliability_20260920_v1/B_scaffold_replay_train.parquet,data/research/dti_reliability_20260920_v1/B_scaffold_replay_validation.parquet,data/research/dti_reliability_20260920_v1/B_scaffold_replay_test.parquet,PLANNED_NOT_STARTED,Controlled trainer + data preflight + resource profile,outputs/dti_reliability_runs_20260920/E2_B_scaffold_replay_global_mlp_binary_default_s202,"Final report only, no model selection"
