target_id,uniprot_id,gene,protein_length,protein_sha256,target_chembl_id,sequence_sha256,target_class_l1,target_class_l2,ot_project_assay_family,structure_ready_strict,target_feature_index,homology_cluster,cluster_known,sampling_cluster,sampling_family,hash_priority,selected_APP96
CHEMBL1846,P21817,RYR1,5038,13ec7d20623e4c991345c6e854938a42b0c3ba3acffa421ee016a700bcc189ef,CHEMBL1846,13ec7d20623e4c991345c6e854938a42b0c3ba3acffa421ee016a700bcc189ef,Ion channel,Ligand-gated ion channel,ion_channel,False,403.0,SEQ:13ec7d20623e4c991345c6e854938a42b0c3ba3acffa421ee016a700bcc189ef,True,SEQ:13ec7d20623e4c991345c6e854938a42b0c3ba3acffa421ee016a700bcc189ef,ion_channel,1f273a69fbed863bc872d38273439de151dfa5ff6819829ada17aec838a153e0,True
CHEMBL1862,P00519,ABL1,1130,bf5ccc817349256c1c2f16dd66d61bfcd29ac4897fdead01d85e01cd84e33670,CHEMBL1862,bf5ccc817349256c1c2f16dd66d61bfcd29ac4897fdead01d85e01cd84e33670,Enzyme,Kinase,kinase,True,3777.0,SEQ:8977888f113d1f375634cfa39b0d8f17baa1f9c513ab8a9f7b56fcc44021a03f,True,SEQ:8977888f113d1f375634cfa39b0d8f17baa1f9c513ab8a9f7b56fcc44021a03f,kinase,4dba23f18bf820a63262be983f01965a9501972711a7a2c4412c88844928bde3,True
CHEMBL1865,Q9UBN7,HDAC6,1215,9a7fa3c16640c215ee56fb067330853d5928b50181834259d9e00abb24e9b751,CHEMBL1865,9a7fa3c16640c215ee56fb067330853d5928b50181834259d9e00abb24e9b751,Epigenetic regulator,Eraser,nuclear_epigenetic_transcription,True,3043.0,SEQ:9a7fa3c16640c215ee56fb067330853d5928b50181834259d9e00abb24e9b751,True,SEQ:9a7fa3c16640c215ee56fb067330853d5928b50181834259d9e00abb24e9b751,nuclear_epigenetic_transcription,23ef02f7c46758d6f7c2206a872fa5d77dcc4fc594d1bd6692ca43fc5b100c90,True
CHEMBL1868,P17948,FLT1,1338,cabcd0382ed2f6481aa338d4235c57b559cc4d1a254f9c9aae6c341230ecaa90,CHEMBL1868,cabcd0382ed2f6481aa338d4235c57b559cc4d1a254f9c9aae6c341230ecaa90,Enzyme,Kinase,kinase,True,4005.0,SEQ:52b1cbc0ca3474810cb7949467e3a5a2851350643eb734f1c33aaca65b4a6fe4,True,SEQ:52b1cbc0ca3474810cb7949467e3a5a2851350643eb734f1c33aaca65b4a6fe4,kinase,53aca5a1b7db3010141ff3e54ade2545779fff69081f96151105981eb347ef75,True
CHEMBL1871,P10275,AR,920,043f80df5b673d9048e118735cb0230b0baaa23f788c3bae0010f9995412d852,CHEMBL1871,043f80df5b673d9048e118735cb0230b0baaa23f788c3bae0010f9995412d852,Transcription factor,Nuclear receptor,nuclear_epigenetic_transcription,True,82.0,SEQ:043f80df5b673d9048e118735cb0230b0baaa23f788c3bae0010f9995412d852,True,SEQ:043f80df5b673d9048e118735cb0230b0baaa23f788c3bae0010f9995412d852,nuclear_epigenetic_transcription,c10394f9e4f3f322b140946481159921d8e7ff304057476500bbac5f9d4f9fca,True
CHEMBL1873,P00750,PLAT,562,4d29fd09ba426cc617b6e576d98a128ec8eacdad5c5c1704381f32f5b0963348,CHEMBL1873,4d29fd09ba426cc617b6e576d98a128ec8eacdad5c5c1704381f32f5b0963348,Enzyme,Protease,enzyme,False,1502.0,SEQ:4d29fd09ba426cc617b6e576d98a128ec8eacdad5c5c1704381f32f5b0963348,True,SEQ:4d29fd09ba426cc617b6e576d98a128ec8eacdad5c5c1704381f32f5b0963348,enzyme,03ccd2799c9f81b058d26b1e9187dfd4b4912fce742d2bf0871cb81a4b566b23,True
CHEMBL1874,Q13621,SLC12A1,1099,da02982123f1f4c22734b86851c507afb751568922ebc5feb52d3c74a9e37d6a,CHEMBL1874,da02982123f1f4c22734b86851c507afb751568922ebc5feb52d3c74a9e37d6a,Transporter,Electrochemical transporter,transporter,True,,,False,UNMAPPED:CHEMBL1874,transporter,7d1d1ef10b2a09b7f10c6ae063d2e91ab1ca5bca83225683411d24d15a079f05,True
CHEMBL1876,P55017,SLC12A3,1021,88a8c1a1f2cf753a5c462e5f24930bbc0dd9ff72cc88a4aafa5800d2e014f52f,CHEMBL1876,88a8c1a1f2cf753a5c462e5f24930bbc0dd9ff72cc88a4aafa5800d2e014f52f,Transporter,Electrochemical transporter,transporter,False,,,False,UNMAPPED:CHEMBL1876,transporter,ba5cbc3ebda326ac6c2116482e7dcf31f839693a0102dd2d0bdd3b45e778c328,True
CHEMBL1893,Q05940,SLC18A2,514,0b6a052b9555faa3d4d4664f357b23e5ca0f6f71a459d41757d4b10000fce676,CHEMBL1893,0b6a052b9555faa3d4d4664f357b23e5ca0f6f71a459d41757d4b10000fce676,Transporter,Electrochemical transporter,transporter,True,241.0,SEQ:039cb98b515188941134a660f96368426613538bf1f29ef3e52c0fecced67e14,True,SEQ:039cb98b515188941134a660f96368426613538bf1f29ef3e52c0fecced67e14,transporter,89a18487cba61c0b1fd1673141990b7e0a59baf2f607971a764ba5002ec3f378,True
CHEMBL1902,P62942,FKBP1A,108,7c2c9a4005a08f9f8ed2ce2e3b7d9432dd39547abafef80ffab6adbb89753b2c,CHEMBL1902,7c2c9a4005a08f9f8ed2ce2e3b7d9432dd39547abafef80ffab6adbb89753b2c,Enzyme,Isomerase,enzyme,False,2429.0,SEQ:39b0d8c15a36d623fb08a72aedcf35ebdd082059773c7cca3cd9d2f46e43b33d,True,SEQ:39b0d8c15a36d623fb08a72aedcf35ebdd082059773c7cca3cd9d2f46e43b33d,enzyme,0005036cafb59000b705130ec4b66161e21230fa2658bb0a69de6c39a5ae6a3c,True
CHEMBL1919,P54289,CACNA2D1,1103,e03d2e2ed78aa1bafd41b89899496ec841b53734dee0bf878a1743bb56279654,CHEMBL1919,e03d2e2ed78aa1bafd41b89899496ec841b53734dee0bf878a1743bb56279654,Auxiliary transport protein,Calcium channel auxiliary subunit alpha2delta family,excluded_or_review,True,4479.0,SEQ:d6d8452f76cc3f6139b4f8a26fda368bf45c8a247218abf27402397b08b56943,True,SEQ:d6d8452f76cc3f6139b4f8a26fda368bf45c8a247218abf27402397b08b56943,excluded_or_review,68317e37359e106a90fcaa12edde04525190b579e2d18775b7340d652306dc48,True
CHEMBL1929,P47989,XDH,1333,ac8a99218b7d0124307d89d41cee6bdb225105c8c24eae60ef2be8577b84c3a3,CHEMBL1929,ac8a99218b7d0124307d89d41cee6bdb225105c8c24eae60ef2be8577b84c3a3,Enzyme,Oxidoreductase,enzyme,True,3394.0,SEQ:0027ca265a312088abd02e8ce011f420752c659eb948ff8d3d46e13f489b74a8,True,SEQ:0027ca265a312088abd02e8ce011f420752c659eb948ff8d3d46e13f489b74a8,enzyme,16de78d4a3ad41e4bdb2d9479f2bded2f0c3b528e079e7d0672d5616c42c293f,True
CHEMBL1962,P14867,GABRA1,456,b7c5362c168b0a1efb482e33444363f383ebfedc7cbf97406491bbca73a78b70,CHEMBL1962,b7c5362c168b0a1efb482e33444363f383ebfedc7cbf97406491bbca73a78b70,Ion channel,Ligand-gated ion channel,ion_channel,False,3620.0,SEQ:0b39241871a6a7ad8ba649cebe62dcd2834dfdb6aaa43b109b60895f53d88987,True,SEQ:0b39241871a6a7ad8ba649cebe62dcd2834dfdb6aaa43b109b60895f53d88987,ion_channel,93fba0569270f0cd1c2e85a7cba0bfa5704cfc22afe97f2aaad91dcdcdd869ed,True
CHEMBL1964,Q9UK17,KCND3,655,7ed37e7b0bd23b2e4067bbae94ccbcdfecf8992873fa005a302b8c23521f0a5c,CHEMBL1964,7ed37e7b0bd23b2e4067bbae94ccbcdfecf8992873fa005a302b8c23521f0a5c,Ion channel,Voltage-gated ion channel,ion_channel,False,2482.0,SEQ:7443b756c7b70f6c0c3a32d1af93451b9e956f57df61f131a4008e932c20f812,True,SEQ:7443b756c7b70f6c0c3a32d1af93451b9e956f57df61f131a4008e932c20f812,ion_channel,86b6edb651cb73b28b8b3fa9dc2f1de9d833dca836cc30dfcfb35d3aa8d14129,True
CHEMBL1972,Q12879,GRIN2A,1464,1e865dd08ec23cfb4ba716c63359e383fb948aa26261eeb5a0f9d7462536db0f,CHEMBL1972,1e865dd08ec23cfb4ba716c63359e383fb948aa26261eeb5a0f9d7462536db0f,Ion channel,Ligand-gated ion channel,ion_channel,True,613.0,SEQ:1e865dd08ec23cfb4ba716c63359e383fb948aa26261eeb5a0f9d7462536db0f,True,SEQ:1e865dd08ec23cfb4ba716c63359e383fb948aa26261eeb5a0f9d7462536db0f,ion_channel,2f01e6079c20c7cef9efb752b8d3176a1e75afaccd55d3984548715814a63088,True
CHEMBL1980,Q14524,SCN5A,2016,3b1719ba4947964cb94b865175fff405120a047e44643495f0965aa8178f7f49,CHEMBL1980,3b1719ba4947964cb94b865175fff405120a047e44643495f0965aa8178f7f49,Ion channel,Voltage-gated ion channel,ion_channel,True,1160.0,SEQ:31f3d057dcbc2abdd4120b7c760ca6af6ae43dd23ee21bbb6f2b25d42fe0fcc2,True,SEQ:31f3d057dcbc2abdd4120b7c760ca6af6ae43dd23ee21bbb6f2b25d42fe0fcc2,ion_channel,38244c8f942848c153fe42192abbe9a7b1904585ed1cf29a323d102694f61963,True
CHEMBL1993,P26358,DNMT1,1616,fc574e32e4a88543e8f5373b656b0b1999faaac2fec70fcdbe637f375aa2f65a,CHEMBL1993,fc574e32e4a88543e8f5373b656b0b1999faaac2fec70fcdbe637f375aa2f65a,Epigenetic regulator,Writer,nuclear_epigenetic_transcription,True,5019.0,SEQ:fc574e32e4a88543e8f5373b656b0b1999faaac2fec70fcdbe637f375aa2f65a,True,SEQ:fc574e32e4a88543e8f5373b656b0b1999faaac2fec70fcdbe637f375aa2f65a,nuclear_epigenetic_transcription,3535dcb88e8a2e0ea9de82e17fa54ade3f218504b4e63c8d801c86e48cdcbe61,True
CHEMBL1994,P08235,NR3C2,984,cc3ab1bd86da746c869394db023aa68c2e557d769f04f80ee36b584a8929621c,CHEMBL1994,cc3ab1bd86da746c869394db023aa68c2e557d769f04f80ee36b584a8929621c,Transcription factor,Nuclear receptor,nuclear_epigenetic_transcription,True,4043.0,SEQ:cc3ab1bd86da746c869394db023aa68c2e557d769f04f80ee36b584a8929621c,True,SEQ:cc3ab1bd86da746c869394db023aa68c2e557d769f04f80ee36b584a8929621c,nuclear_epigenetic_transcription,cf8293f7a2c169a8c052a389d9cb07bdd55f841a73cc1d31e94360b5d90eca3f,True
CHEMBL1997,Q99808,SLC29A1,456,49bca4bf056d239c66207751c15e2f1bf5c5f810a8685932c00ef588360f46ae,CHEMBL1997,49bca4bf056d239c66207751c15e2f1bf5c5f810a8685932c00ef588360f46ae,Transporter,Electrochemical transporter,transporter,True,1433.0,SEQ:49bca4bf056d239c66207751c15e2f1bf5c5f810a8685932c00ef588360f46ae,True,SEQ:49bca4bf056d239c66207751c15e2f1bf5c5f810a8685932c00ef588360f46ae,transporter,96e32d901507792acca7b6cad1dc589ba5cc1faa3bea465c7c9d2d31bf8bf9fa,True
CHEMBL1998,Q7L0J3,SV2A,742,c5d9213c34bf5df524998185d5e67ff22d9413864b0dbf5f6b446919ba2204e9,CHEMBL1998,c5d9213c34bf5df524998185d5e67ff22d9413864b0dbf5f6b446919ba2204e9,Transporter,Electrochemical transporter,transporter,True,,,False,UNMAPPED:CHEMBL1998,transporter,3c21496562574ef1c79d2c0f665c7fa8c186866571118ac5f009a8c1d14a111d,True
CHEMBL2012,P38435,GGCX,758,d470ce9e5cd48738569283710aac2d2c179cb6ca14c10de393aa380d06b4d0ee,CHEMBL2012,d470ce9e5cd48738569283710aac2d2c179cb6ca14c10de393aa380d06b4d0ee,Enzyme,Lyase,enzyme,True,,,False,UNMAPPED:CHEMBL2012,enzyme,07f8257f83646010f5f67b71d3c36c7054fa7fcf2c289f28cc26024f0f84a9d6,True
CHEMBL2023,P21964,COMT,271,fc502f28a5134139f882e1cd5f20b4d641ea2c1f06edf89614d705d32c7fe408,CHEMBL2023,fc502f28a5134139f882e1cd5f20b4d641ea2c1f06edf89614d705d32c7fe408,Enzyme,Transferase,enzyme,True,5018.0,SEQ:fc502f28a5134139f882e1cd5f20b4d641ea2c1f06edf89614d705d32c7fe408,True,SEQ:fc502f28a5134139f882e1cd5f20b4d641ea2c1f06edf89614d705d32c7fe408,enzyme,110c6ee9b9c68435b22fd7b9a7d5e1bb9811c47dd63bc86be75d193124ebf6bb,True
CHEMBL2033,P05108,CYP11A1,521,a97380fe4bf1f95f9d7ca044c8c320981c944c020311ffe61542426c78221856,CHEMBL2033,a97380fe4bf1f95f9d7ca044c8c320981c944c020311ffe61542426c78221856,Enzyme,Cytochrome P450,enzyme,True,3331.0,SEQ:223bf6426d9ad4fccd858bc2988b9ec441020f239760a0e13758c1f2e3dfc124,True,SEQ:223bf6426d9ad4fccd858bc2988b9ec441020f239760a0e13758c1f2e3dfc124,enzyme,1bad2c1d613760a7f4a278fb161de65a7f61277e0714cc65716dc36037180eeb,True
CHEMBL2034,P04150,NR3C1,777,c1fd6a3590b53159505eb6b17dec8d5d5f5e8fbe40b0c075bea4b0b518dcca11,CHEMBL2034,c1fd6a3590b53159505eb6b17dec8d5d5f5e8fbe40b0c075bea4b0b518dcca11,Transcription factor,Nuclear receptor,nuclear_epigenetic_transcription,True,3840.0,SEQ:c1fd6a3590b53159505eb6b17dec8d5d5f5e8fbe40b0c075bea4b0b518dcca11,True,SEQ:c1fd6a3590b53159505eb6b17dec8d5d5f5e8fbe40b0c075bea4b0b518dcca11,nuclear_epigenetic_transcription,303ad325d79242338491e1efaba0dc23a043a2b20c9131474308f197ec6c552e,True
CHEMBL2046267,Q5XXA6,ANO1,986,67d0180c2237bd5632e91bb92196fa42a3c92129e8c6b900363df248cd1368e0,CHEMBL2046267,67d0180c2237bd5632e91bb92196fa42a3c92129e8c6b900363df248cd1368e0,Ion channel,Other ion channel,ion_channel,True,1986.0,SEQ:67d0180c2237bd5632e91bb92196fa42a3c92129e8c6b900363df248cd1368e0,True,SEQ:67d0180c2237bd5632e91bb92196fa42a3c92129e8c6b900363df248cd1368e0,ion_channel,44370d7a133fd7bb6eb914b0868fadd97eedf959cd1a7581040e0092a836f698,True
CHEMBL2047,Q96RI1,NR1H4,486,450a21105b740fd60df57b1fa1f127cbbcfe9167e01cd5ddd638d7d55c4c53e5,CHEMBL2047,450a21105b740fd60df57b1fa1f127cbbcfe9167e01cd5ddd638d7d55c4c53e5,Transcription factor,Nuclear receptor,nuclear_epigenetic_transcription,True,1343.0,SEQ:450a21105b740fd60df57b1fa1f127cbbcfe9167e01cd5ddd638d7d55c4c53e5,True,SEQ:450a21105b740fd60df57b1fa1f127cbbcfe9167e01cd5ddd638d7d55c4c53e5,nuclear_epigenetic_transcription,660faba282abedae4068f3774ea2e350cfa31b308021d0978a58bc37567c3c88,True
CHEMBL206,P03372,ESR1,595,59afaf3c8774c9cec06a003e9fa0d1fb1da47637c45ea570236e0ca79b5a0a44,CHEMBL206,59afaf3c8774c9cec06a003e9fa0d1fb1da47637c45ea570236e0ca79b5a0a44,Transcription factor,Nuclear receptor,nuclear_epigenetic_transcription,True,1717.0,SEQ:59afaf3c8774c9cec06a003e9fa0d1fb1da47637c45ea570236e0ca79b5a0a44,True,SEQ:59afaf3c8774c9cec06a003e9fa0d1fb1da47637c45ea570236e0ca79b5a0a44,nuclear_epigenetic_transcription,ec154dd08f2bdb2bd4eb8179fd5680d36b4b0204d308030a1ff57df698b77d75,True
CHEMBL2061,P19793,RXRA,462,8e243e32883cfc5ef70c61b40fccb9f5c9241e4ff31f0797437cd643f82d9740,CHEMBL2061,8e243e32883cfc5ef70c61b40fccb9f5c9241e4ff31f0797437cd643f82d9740,Transcription factor,Nuclear receptor,nuclear_epigenetic_transcription,True,2793.0,SEQ:20d95bbd7219ed692991fc802f5ec153736cebcc544b1d5f94408f674165e914,True,SEQ:20d95bbd7219ed692991fc802f5ec153736cebcc544b1d5f94408f674165e914,nuclear_epigenetic_transcription,149e43106aa05135d19315995e78b7644ae24771a6cf3763d1aa02cc664997bf,True
CHEMBL2068,P29317,EPHA2,976,29416c9490a3c35fa69a9086f09fb7c75915d5d7467cb594e5b517e8fa9f344f,CHEMBL2068,29416c9490a3c35fa69a9086f09fb7c75915d5d7467cb594e5b517e8fa9f344f,Enzyme,Kinase,kinase,True,823.0,SEQ:08af8599be5732d7e06668e812a913da44dddd0f4b800fb923f2d66ffb097d54,True,SEQ:08af8599be5732d7e06668e812a913da44dddd0f4b800fb923f2d66ffb097d54,kinase,0cedf94201064b19b79570be00c3981fab440dcd2e9e916d1ab1944f6016c334,True
CHEMBL208,P06401,PGR,933,55af49dbd176eaddc736537238e00422c66a0de2d3ff6fb967010908ca36a64d,CHEMBL208,55af49dbd176eaddc736537238e00422c66a0de2d3ff6fb967010908ca36a64d,Transcription factor,Nuclear receptor,nuclear_epigenetic_transcription,True,1660.0,SEQ:55af49dbd176eaddc736537238e00422c66a0de2d3ff6fb967010908ca36a64d,True,SEQ:55af49dbd176eaddc736537238e00422c66a0de2d3ff6fb967010908ca36a64d,nuclear_epigenetic_transcription,8d1efb1fdabf3e456e02b7c2213138030ab0bfb2031845cc44b586ffae6437eb,True
CHEMBL2189110,Q15910,EZH2,746,4c4d28512cf712104d0b7374cb68ae9d3cf5d4f5d7e81c617fb0ad49332165f7,CHEMBL2189110,4c4d28512cf712104d0b7374cb68ae9d3cf5d4f5d7e81c617fb0ad49332165f7,Epigenetic regulator,Writer,nuclear_epigenetic_transcription,True,1484.0,SEQ:4c4d28512cf712104d0b7374cb68ae9d3cf5d4f5d7e81c617fb0ad49332165f7,True,SEQ:4c4d28512cf712104d0b7374cb68ae9d3cf5d4f5d7e81c617fb0ad49332165f7,nuclear_epigenetic_transcription,3470fa2948f7a4fdaceab48ece8d47e52de4b5e3de0d7a734b3813511cd438bc,True
CHEMBL2216739,Q92523,CPT1B,772,a93d8265b260ba945a147042f68980aeec2ea04e8b4588fbcc912da3ec27dc1e,CHEMBL2216739,a93d8265b260ba945a147042f68980aeec2ea04e8b4588fbcc912da3ec27dc1e,Transporter,Group translocator,transporter,True,3330.0,SEQ:7c1f21c862900d30cbfd1d44115947e15b67118c5c72905e8be4187c97ef02b5,True,SEQ:7c1f21c862900d30cbfd1d44115947e15b67118c5c72905e8be4187c97ef02b5,transporter,64bc2d5c15b2cbb328be014ed4f316da8e40944c6a7bd87436af5f04a102bf95,True
CHEMBL2321614,Q9NPC2,KCNK9,374,450f49966564e0d2c6fd76f6e8ff87cdea199af3f851173d6695a04424f3f627,CHEMBL2321614,450f49966564e0d2c6fd76f6e8ff87cdea199af3f851173d6695a04424f3f627,Ion channel,Voltage-gated ion channel,ion_channel,False,1345.0,SEQ:450f49966564e0d2c6fd76f6e8ff87cdea199af3f851173d6695a04424f3f627,True,SEQ:450f49966564e0d2c6fd76f6e8ff87cdea199af3f851173d6695a04424f3f627,ion_channel,37267870f6f57c5768b755599eb420166ca15874d0d51e407902efe1959c4109,True
CHEMBL2321615,O95069,KCNK2,426,438dc726c30d0ff5ba1dfed88531d0758ecfa43be6730b09dce8957af6ef8e39,CHEMBL2321615,438dc726c30d0ff5ba1dfed88531d0758ecfa43be6730b09dce8957af6ef8e39,Ion channel,Voltage-gated ion channel,ion_channel,False,1312.0,SEQ:438dc726c30d0ff5ba1dfed88531d0758ecfa43be6730b09dce8957af6ef8e39,True,SEQ:438dc726c30d0ff5ba1dfed88531d0758ecfa43be6730b09dce8957af6ef8e39,ion_channel,91c8a56992e086e955609b497b4eeeb1d4022f438289e5edae276ff26cee8e56,True
CHEMBL2331041,P57789,KCNK10,538,87932b006a468d0082ca6d023f78fb2ddccafe498ce651b71fcda079d3627856,CHEMBL2331041,87932b006a468d0082ca6d023f78fb2ddccafe498ce651b71fcda079d3627856,Ion channel,Voltage-gated ion channel,ion_channel,False,2667.0,SEQ:87932b006a468d0082ca6d023f78fb2ddccafe498ce651b71fcda079d3627856,True,SEQ:87932b006a468d0082ca6d023f78fb2ddccafe498ce651b71fcda079d3627856,ion_channel,1bb98886dcc7c22479e10ca5572b7af7aec7bab32874e9c85408bb444c4e0d31,True
CHEMBL2331042,Q7Z418,KCNK18,384,f361d925fefd6f05b6b6744b27baa67387e3d878959303ad383b7ea97baa85e4,CHEMBL2331042,f361d925fefd6f05b6b6744b27baa67387e3d878959303ad383b7ea97baa85e4,Ion channel,Voltage-gated ion channel,ion_channel,False,4823.0,SEQ:f361d925fefd6f05b6b6744b27baa67387e3d878959303ad383b7ea97baa85e4,True,SEQ:f361d925fefd6f05b6b6744b27baa67387e3d878959303ad383b7ea97baa85e4,ion_channel,4ecc20e5b60d782493f2e6248febad8089a1171e28eb4ecd3c30f4b3ce931274,True
CHEMBL2331065,Q9C0B1,FTO,505,022c267c8428b62788b29f05279a1243080b944a7d58045a0c103edd1af36027,CHEMBL2331065,022c267c8428b62788b29f05279a1243080b944a7d58045a0c103edd1af36027,Enzyme,Oxidoreductase,enzyme,True,43.0,SEQ:022c267c8428b62788b29f05279a1243080b944a7d58045a0c103edd1af36027,True,SEQ:022c267c8428b62788b29f05279a1243080b944a7d58045a0c103edd1af36027,enzyme,0029a18b2d06cc13102e5c0209f4e3bc43ce146e2a6c27970a27518f30bde759,True
