target_id,target_name,organism,target_type,component_id,uniprot_id,gene,protein_length,protein_sha256,small_molecule_moa,chembl_gpcr,ot_class_contains_gpcr,is_gpcr,assay_lane,evidence_class,af_exact_sequence_model,structure_ready_strict,legacy_384_member,local_exact_af_file_exists
CHEMBL1827,"cGMP-specific 3',5'-cyclic phosphodiesterase",Homo sapiens,SINGLE PROTEIN,124,O76074,PDE5A,875,c5b3e22fca3e7eb5509db07f615e1e9cfb78fbfb82b25c1541f882b2613f56a3,True,False,False,False,ENZYME_BIOCHEMICAL,SM_MOA_NON_GPCR,True,True,True,True
CHEMBL1829,Histone deacetylase 3,Homo sapiens,SINGLE PROTEIN,126,O15379,HDAC3,428,9d0bf140dd3e9610a05d0391d0b3076177bb6c5932d4b003e913cd9bfb378d81,True,False,False,False,NUCLEAR_EPIGENETIC_DOMAIN,SM_MOA_NON_GPCR,True,True,True,True
CHEMBL1834,Immunoglobulin heavy constant epsilon,Homo sapiens,SINGLE PROTEIN,134,P01854,IGHE,546,8a7573ba66d9b3284203b369c41a27c08ba54e62ad5359346d8f7dd55fa82f1d,False,False,False,False,EXTRACELLULAR_SPECIAL,NO_DIRECT_SM_EVIDENCE_NON_GPCR,True,False,False,True
CHEMBL1835,Thromboxane-A synthase,Homo sapiens,SINGLE PROTEIN,135,P24557,TBXAS1,533,2527e74d770f31ba23b27e94f47140ab3b881c5f75f5f675cd15269c21c43def,True,False,False,False,ENZYME_BIOCHEMICAL,SM_MOA_NON_GPCR,True,True,True,True
CHEMBL1839,Thyroid peroxidase,Homo sapiens,SINGLE PROTEIN,139,P07202,TPO,933,5ef0edb0ae15eab922119f2b67389d5724f897d5a6430209a7fc299242e56d98,True,False,False,False,ENZYME_BIOCHEMICAL,SM_MOA_NON_GPCR,True,True,True,True
CHEMBL1841,Tyrosine-protein kinase Fyn,Homo sapiens,SINGLE PROTEIN,141,P06241,FYN,537,a25f82cd1b4be74e9b43bdc43c058fe9ce987dc011b712f1ce43a21e4d45d0a4,True,False,False,False,KINASE_BIOCHEMICAL,SM_MOA_NON_GPCR,True,True,True,True
CHEMBL1842,Myeloid cell surface antigen CD33,Homo sapiens,SINGLE PROTEIN,142,P20138,CD33,364,8fb99dae835bde979e1d51a7f507aaab6d497877d6889da514fcbbe87f15f14d,False,False,False,False,EXTRACELLULAR_SPECIAL,NO_DIRECT_SM_EVIDENCE_NON_GPCR,True,False,False,True
CHEMBL1843,Aromatic-L-amino-acid decarboxylase,Homo sapiens,SINGLE PROTEIN,143,P20711,DDC,480,b58d47b64e57c2bcc0ce08c90525cc9827590c4c915163a5664c66f25057eb86,True,False,False,False,ENZYME_BIOCHEMICAL,SM_MOA_NON_GPCR,True,True,True,True
CHEMBL1844,Macrophage colony-stimulating factor 1 receptor,Homo sapiens,SINGLE PROTEIN,145,P07333,CSF1R,972,52b1cbc0ca3474810cb7949467e3a5a2851350643eb734f1c33aaca65b4a6fe4,True,False,False,False,KINASE_BIOCHEMICAL,SM_MOA_NON_GPCR,True,False,True,True
CHEMBL1846,Ryanodine receptor 1,Homo sapiens,SINGLE PROTEIN,152,P21817,RYR1,5038,13ec7d20623e4c991345c6e854938a42b0c3ba3acffa421ee016a700bcc189ef,True,False,False,False,ION_CHANNEL_FUNCTIONAL,SM_MOA_NON_GPCR,False,False,True,False
CHEMBL1847,Gamma-aminobutyric acid receptor subunit beta-3,Homo sapiens,SINGLE PROTEIN,153,P28472,GABRB3,473,7f10a0276ca0f6917022cb3000efe665000389079d05be3da18888261d53eba2,True,False,False,False,ION_CHANNEL_FUNCTIONAL,SM_MOA_NON_GPCR,True,False,True,True
CHEMBL1856,3-oxo-5-alpha-steroid 4-dehydrogenase 2,Homo sapiens,SINGLE PROTEIN,164,P31213,SRD5A2,254,7be15bef7aeb161cc050a294e7a4a2e1f70cd9358f41b59831a41a435a20ebed,True,False,False,False,ENZYME_BIOCHEMICAL,SM_MOA_NON_GPCR,True,True,True,True
CHEMBL1859,Voltage-dependent T-type calcium channel subunit alpha-1H,Homo sapiens,SINGLE PROTEIN,167,O95180,CACNA1H,2353,a64a69646209bd7078de92ee938caf58bd2616e8e36c85917fc353526695ee56,True,False,False,False,ION_CHANNEL_FUNCTIONAL,SM_MOA_NON_GPCR,True,True,True,True
CHEMBL1861,4-hydroxyphenylpyruvate dioxygenase,Homo sapiens,SINGLE PROTEIN,171,P32754,HPD,393,11e560a685bf1b104cc898e25b632bc4bd7d8e027955f2d7e663ee781abe6ae5,True,False,False,False,ENZYME_BIOCHEMICAL,SM_MOA_NON_GPCR,True,True,True,True
CHEMBL1862,Tyrosine-protein kinase ABL1,Homo sapiens,SINGLE PROTEIN,173,P00519,ABL1,1130,bf5ccc817349256c1c2f16dd66d61bfcd29ac4897fdead01d85e01cd84e33670,True,False,False,False,KINASE_BIOCHEMICAL,SM_MOA_NON_GPCR,True,True,True,True
CHEMBL1864,Thrombopoietin receptor,Homo sapiens,SINGLE PROTEIN,176,P40238,MPL,635,61da292a0dae7936eff33d3c0909040d846053dc4925c3fb94d6a9bbe00d7c12,True,False,False,False,NON_GPCR_MEMBRANE_SPECIAL,SM_MOA_NON_GPCR,True,True,False,True
CHEMBL1865,Protein deacetylase HDAC6,Homo sapiens,SINGLE PROTEIN,178,Q9UBN7,HDAC6,1215,9a7fa3c16640c215ee56fb067330853d5928b50181834259d9e00abb24e9b751,True,False,False,False,NUCLEAR_EPIGENETIC_DOMAIN,SM_MOA_NON_GPCR,True,True,True,True
CHEMBL1868,Vascular endothelial growth factor receptor 1,Homo sapiens,SINGLE PROTEIN,181,P17948,FLT1,1338,cabcd0382ed2f6481aa338d4235c57b559cc4d1a254f9c9aae6c341230ecaa90,True,False,False,False,KINASE_BIOCHEMICAL,SM_MOA_NON_GPCR,True,True,True,True
CHEMBL1869,Ornithine decarboxylase,Homo sapiens,SINGLE PROTEIN,182,P11926,ODC1,461,71b182dc828675c75a9f1ae326cc5a0231d50d0cfc106de567a415a618343c84,True,False,False,False,ENZYME_BIOCHEMICAL,SM_MOA_NON_GPCR,True,True,False,True
CHEMBL1871,Androgen receptor,Homo sapiens,SINGLE PROTEIN,187,P10275,AR,920,043f80df5b673d9048e118735cb0230b0baaa23f788c3bae0010f9995412d852,True,False,False,False,NUCLEAR_EPIGENETIC_DOMAIN,SM_MOA_NON_GPCR,True,True,True,True
CHEMBL1873,Tissue-type plasminogen activator,Homo sapiens,SINGLE PROTEIN,189,P00750,PLAT,562,4d29fd09ba426cc617b6e576d98a128ec8eacdad5c5c1704381f32f5b0963348,True,False,False,False,ENZYME_BIOCHEMICAL,SM_MOA_NON_GPCR,True,False,True,True
CHEMBL1874,Solute carrier family 12 member 1,Homo sapiens,SINGLE PROTEIN,190,Q13621,SLC12A1,1099,da02982123f1f4c22734b86851c507afb751568922ebc5feb52d3c74a9e37d6a,True,False,False,False,TRANSPORTER_MEMBRANE_FUNCTIONAL,SM_MOA_NON_GPCR,True,True,True,True
CHEMBL1876,Solute carrier family 12 member 3,Homo sapiens,SINGLE PROTEIN,192,P55017,SLC12A3,1021,88a8c1a1f2cf753a5c462e5f24930bbc0dd9ff72cc88a4aafa5800d2e014f52f,True,False,False,False,TRANSPORTER_MEMBRANE_FUNCTIONAL,SM_MOA_NON_GPCR,True,False,True,True
CHEMBL1886,ATP-sensitive inward rectifier potassium channel 11,Homo sapiens,SINGLE PROTEIN,200,Q14654,KCNJ11,390,607eea43ecd23c2d43d7d12cc6f26edfeb0c9ab22a17b1d09c9281e301ed99c7,True,False,False,False,ION_CHANNEL_FUNCTIONAL,SM_MOA_NON_GPCR,True,False,True,True
CHEMBL1887,Interferon alpha/beta receptor 1,Homo sapiens,SINGLE PROTEIN,201,P17181,IFNAR1,557,bb6479b4723c23e7050daad4e48261c2d58fd33a8260609a8fa6c3b2eb522914,False,False,False,False,NON_GPCR_MEMBRANE_SPECIAL,NO_DIRECT_SM_EVIDENCE_NON_GPCR,True,False,False,True
CHEMBL1892,Glutamate carboxypeptidase 2,Homo sapiens,SINGLE PROTEIN,206,Q04609,FOLH1,750,75c34e924155e3529903bd10daf1da3d8929c12d17075ff191d84ec07703843f,False,False,False,False,ENZYME_BIOCHEMICAL,OT_DIRECT_EXTENSION_NON_GPCR,True,True,False,True
CHEMBL1893,Synaptic vesicular amine transporter,Homo sapiens,SINGLE PROTEIN,207,Q05940,SLC18A2,514,0b6a052b9555faa3d4d4664f357b23e5ca0f6f71a459d41757d4b10000fce676,True,False,False,False,TRANSPORTER_MEMBRANE_FUNCTIONAL,SM_MOA_NON_GPCR,True,True,True,True
CHEMBL1899,5-hydroxytryptamine receptor 3A,Homo sapiens,SINGLE PROTEIN,214,P46098,HTR3A,478,ce82cc02fd301ba6e478be5129ef6dd8f51452ce094b362910739b89e26b4995,True,False,False,False,ION_CHANNEL_FUNCTIONAL,SM_MOA_NON_GPCR,True,False,True,True
CHEMBL1900,Aldo-keto reductase family 1 member B1,Homo sapiens,SINGLE PROTEIN,215,P15121,AKR1B1,316,ea6689b6c8edb306fc5da3e16dba9d7362e6e517d15f469c38e5c4fb8858d27f,True,False,False,False,ENZYME_BIOCHEMICAL,SM_MOA_NON_GPCR,True,True,True,True
CHEMBL1902,Peptidyl-prolyl cis-trans isomerase FKBP1A,Homo sapiens,SINGLE PROTEIN,217,P62942,FKBP1A,108,7c2c9a4005a08f9f8ed2ce2e3b7d9432dd39547abafef80ffab6adbb89753b2c,True,False,False,False,ENZYME_BIOCHEMICAL,SM_MOA_NON_GPCR,True,False,True,True
CHEMBL1903,Sodium- and chloride-dependent GABA transporter 1,Homo sapiens,SINGLE PROTEIN,218,P30531,SLC6A1,599,9061011260b9d045e365e5402f4e150b7e1bc166a21b6dcd06b0d24f3294833e,True,False,False,False,TRANSPORTER_MEMBRANE_FUNCTIONAL,SM_MOA_NON_GPCR,True,True,True,True
