candidate_rank,project_full_inchikey,target_chembl_id,drug_name,gene_symbol,molecule_chembl_id,modeled_chembl_preferred_entity,chembl_standard_inchikey,project_vs_chembl_full_inchikey_status,source_label_vs_chembl_preferred_name_class,identity_execution_status,prodrug,pubchem_cid,pubchem_identity_status,pubchem_vendor_record_status,preassay_chemistry_flags,experimental_handling_risk_tier,risk_tier_reasons,chembl_known_mechanism_count,chembl_known_mechanisms,execution_wave,target_assay_class,primary_assay_route,orthogonal_confirmation_route,required_counterassays,active_species_requirement,execution_authorization,success_gate,deployment_branch,target_lane_evidence_status,known_target_component_count,target_family_relation,top10_view_count_of_8,top20_view_count_of_8,supportive_ge80pct_view_count_of_8,target_centered_supportive_count_of_4,drug_centered_supportive_count_of_4,minimum_directional_percentile,maximum_directional_percentile,directional_percentile_range,rank_discordance_flag,selection_bias_status,rank_rule,boltz_primary_completed,boltz_affinity_probability_binary,boltz_support_count_3seed,physical_metadata_consistency_flag,boltz_rank_within_selectively_computed_target_subset,boltz_target_subset_denominator,gnina_primary_completed,gnina_primary_cnn_affinity,gnina_cnn_rank_within_selectively_computed_target_subset,gnina_target_subset_denominator,receptor_ensemble_decision,comparison_bias,independent_exact_pair_validation_status,internal_selection_overlap,portfolio_decision_state,orthogonal_priority_reason,claim_boundary
11,STPKWKPURVSAJF-LJEWAXOPSA-N,CHEMBL288,maralixibat,PDE4D,CHEMBL363392,MARALIXIBAT,STPKWKPURVSAJF-LJEWAXOPSA-N,EXACT_FULL_INCHIKEY_MATCH,EXACT_NORMALIZED_NAME,IDENTITY_PRECHECK_PASS_NOT_PROCUREMENT_RELEASE,0,9831643,EXACT_FULL_INCHIKEY_MATCH,VENDOR_RECORD_INDICATOR_PRESENT_NOT_STOCK_VERIFIED,MW_GT_600|CLOGP_GT_5|BRENK_ALERT,R2_MODERATE_COUNTERASSAY,CHEMISTRY_OR_PROPERTY_ALERT,1,Ileal bile acid transporter inhibitor,W2_CONTINGENT_ONLY,METABOLIC_OR_SIGNAL_ENZYME,PDE4D cAMP-hydrolysis concentration response,LC-MS/coupled orthogonal product assay or direct binding,"PDE4A/B/C, coupling-enzyme, fluorescence, aggregation and substrate controls",TEST_EXACT_FROZEN_ENTITY; NO_PREDECLARED_SEPARATE_ACTIVE_SPECIES,W2_CONTINGENT_COMPUTATIONAL_READINESS_ONLY_PROCUREMENT_AND_ASSAY_NOT_AUTHORIZED,Two QC-valid independent curves <=10 uM plus nonidentical/direct orthogonal confirmation and required species/counterassay gates.,SEEDED_KNOWN_GRAPH_185,PRIMARY_RETROSPECTIVE_EXTERNAL_SUPPORT_KIRHUB,1,F4_DISTANT_OR_UNRESOLVED_KNOWN_TARGET,3,5,5,2,3,0.5006954102920723,0.9680111265646733,0.4673157162726008,LOWER_RANGE_LT_0.50,INTERNAL_EVIDENCE_OVERLAPS_WITH_SELECTION_NOT_INDEPENDENT_VALIDATION,Retain frozen rank 1-30; no V18 reranking.,True,0.7973384261131287,3.0,CONSISTENT_MAIN_AND_MULTISEED_METADATA,4.0,76,False,,,0,NOT_RUN_OR_NOT_APPLICABLE,SELECTIVELY_COMPUTED_SUBSET_NOT_RANDOM_NEGATIVE_CONTROL_PANEL,NONE_IN_FROZEN_CHEMBL_BINDINGDB_AND_LITERATURE_AUDITS,YES_INTERNAL_DTA_OR_PHYSICAL_EVIDENCE_OVERLAPS_WITH_SELECTION,W2_CONTINGENT_NOT_PROCUREMENT_OR_ASSAY_AUTHORIZED,FROZEN_STANDARD_ORTHOGONAL_AND_COUNTERASSAY_ROUTE,"Identity/readiness/internal sensitivity audit only; no binding, efficacy, rank change or execution authorization beyond frozen wave."
12,QYSXJUFSXHHAJI-YRZJJWOYSA-N,CHEMBL2039,cholecalciferol,MAOB,CHEMBL1042,CHOLECALCIFEROL,QYSXJUFSXHHAJI-YRZJJWOYSA-N,EXACT_FULL_INCHIKEY_MATCH,EXACT_NORMALIZED_NAME,IDENTITY_PRECHECK_PASS_NOT_PROCUREMENT_RELEASE,0,5280795,EXACT_FULL_INCHIKEY_MATCH,VENDOR_RECORD_INDICATOR_PRESENT_NOT_STOCK_VERIFIED,CLOGP_GT_5|LOW_SOLUBILITY_HEURISTIC,R2_MODERATE_COUNTERASSAY,CHEMISTRY_OR_PROPERTY_ALERT,1,Vitamin D receptor agonist,W2_CONTINGENT_ONLY,METABOLIC_OR_SIGNAL_ENZYME,MAOB amine-oxidation substrate-product assay,LC-MS product or direct MAOB binding/thermal shift,"MAOA, peroxide/redox, optical, detergent aggregation and no-enzyme controls",TEST_EXACT_FROZEN_ENTITY; NO_PREDECLARED_SEPARATE_ACTIVE_SPECIES,W2_CONTINGENT_COMPUTATIONAL_READINESS_ONLY_PROCUREMENT_AND_ASSAY_NOT_AUTHORIZED,Two QC-valid independent curves <=10 uM plus nonidentical/direct orthogonal confirmation and required species/counterassay gates.,SEEDED_KNOWN_GRAPH_185,PRIMARY_RETROSPECTIVE_EXTERNAL_SUPPORT_KIRHUB,1,F4_DISTANT_OR_UNRESOLVED_KNOWN_TARGET,4,5,5,3,2,0.2885952712100139,0.978442280945758,0.6898470097357441,HIGH_RANGE_GE_0.50,INTERNAL_EVIDENCE_OVERLAPS_WITH_SELECTION_NOT_INDEPENDENT_VALIDATION,Retain frozen rank 1-30; no V18 reranking.,True,0.757123589515686,2.0,CONSISTENT_MAIN_AND_MULTISEED_METADATA,4.0,147,False,,,0,NOT_RUN_OR_NOT_APPLICABLE,SELECTIVELY_COMPUTED_SUBSET_NOT_RANDOM_NEGATIVE_CONTROL_PANEL,NONE_IN_FROZEN_CHEMBL_BINDINGDB_AND_LITERATURE_AUDITS,YES_INTERNAL_DTA_OR_PHYSICAL_EVIDENCE_OVERLAPS_WITH_SELECTION,W2_CONTINGENT_NOT_PROCUREMENT_OR_ASSAY_AUTHORIZED,HIGH_MODEL_PERCENTILE_RANGE_GE_0.50_PRIORITY_ORTHOGONAL_DISCRIMINATION,"Identity/readiness/internal sensitivity audit only; no binding, efficacy, rank change or execution authorization beyond frozen wave."
13,FIKPXCOQUIZNHB-WDEREUQCSA-N,CHEMBL5491,repotrectinib,WEE1,CHEMBL4298138,REPOTRECTINIB,FIKPXCOQUIZNHB-WDEREUQCSA-N,EXACT_FULL_INCHIKEY_MATCH,EXACT_NORMALIZED_NAME,IDENTITY_PRECHECK_PASS_NOT_PROCUREMENT_RELEASE,0,135565923,EXACT_FULL_INCHIKEY_MATCH,VENDOR_RECORD_INDICATOR_PRESENT_NOT_STOCK_VERIFIED,NONE,R2_MODERATE_COUNTERASSAY,KNOWN_TARGET_BROAD_FAMILY_OVERLAP,6,Nerve growth factor receptor Trk-A inhibitor | CD74-ROS1 inhibitor | Neurotrophic tyrosine kinase receptor type 2 inhibitor | ROS1-SDC4 inhibitor | Proto-oncogene tyrosine-protein kinase ROS inhibitor | NT-3 growth factor receptor inhibitor,W2_CONTINGENT_ONLY,KINASE,WEE1 biochemical kinase assay at ATP near Km,NanoBRET/CETSA/direct binding with phospho-CDK readout,"known drug targets, ATP shift, kinase panel and cell-cycle toxicity",TEST_EXACT_FROZEN_ENTITY; NO_PREDECLARED_SEPARATE_ACTIVE_SPECIES,W2_CONTINGENT_COMPUTATIONAL_READINESS_ONLY_PROCUREMENT_AND_ASSAY_NOT_AUTHORIZED,Two QC-valid independent curves <=10 uM plus nonidentical/direct orthogonal confirmation and required species/counterassay gates.,UNSEEDED_TARGET_DTA_199,EXPLORATORY_INTERNAL_SUPPORT_EXTERNAL_NOT_REPLICATED,8,F3_BROAD_PROTEIN_CLASS_OVERLAP,3,5,5,3,2,0.60778859527121,1.0,0.39221140472879,LOWER_RANGE_LT_0.50,INTERNAL_EVIDENCE_OVERLAPS_WITH_SELECTION_NOT_INDEPENDENT_VALIDATION,Retain frozen rank 1-30; no V18 reranking.,True,0.876278281211853,3.0,CONSISTENT_MAIN_AND_MULTISEED_METADATA,1.0,53,True,6.7605705261,26.0,53,NOT_RUN_OR_NOT_APPLICABLE,SELECTIVELY_COMPUTED_SUBSET_NOT_RANDOM_NEGATIVE_CONTROL_PANEL,NONE_IN_FROZEN_CHEMBL_BINDINGDB_AND_LITERATURE_AUDITS,YES_INTERNAL_DTA_OR_PHYSICAL_EVIDENCE_OVERLAPS_WITH_SELECTION,W2_CONTINGENT_NOT_PROCUREMENT_OR_ASSAY_AUTHORIZED,FROZEN_STANDARD_ORTHOGONAL_AND_COUNTERASSAY_ROUTE,"Identity/readiness/internal sensitivity audit only; no binding, efficacy, rank change or execution authorization beyond frozen wave."
14,GMRQFYUYWCNGIN-NKMMMXOESA-N,CHEMBL2039,calcitriol,MAOB,CHEMBL846,CALCITRIOL,GMRQFYUYWCNGIN-NKMMMXOESA-N,EXACT_FULL_INCHIKEY_MATCH,EXACT_NORMALIZED_NAME,IDENTITY_PRECHECK_PASS_NOT_PROCUREMENT_RELEASE,0,5280453,EXACT_FULL_INCHIKEY_MATCH,VENDOR_RECORD_INDICATOR_PRESENT_NOT_STOCK_VERIFIED,CLOGP_GT_5,R2_MODERATE_COUNTERASSAY,CHEMISTRY_OR_PROPERTY_ALERT,1,Vitamin D receptor agonist,W2_CONTINGENT_ONLY,METABOLIC_OR_SIGNAL_ENZYME,MAOB amine-oxidation substrate-product assay,LC-MS product or direct MAOB binding/thermal shift,"MAOA, peroxide/redox, optical, detergent aggregation and no-enzyme controls",TEST_EXACT_FROZEN_ENTITY; NO_PREDECLARED_SEPARATE_ACTIVE_SPECIES,W2_CONTINGENT_COMPUTATIONAL_READINESS_ONLY_PROCUREMENT_AND_ASSAY_NOT_AUTHORIZED,Two QC-valid independent curves <=10 uM plus nonidentical/direct orthogonal confirmation and required species/counterassay gates.,SEEDED_KNOWN_GRAPH_185,PRIMARY_RETROSPECTIVE_EXTERNAL_SUPPORT_KIRHUB,1,F4_DISTANT_OR_UNRESOLVED_KNOWN_TARGET,4,4,4,2,2,0.3657858136300417,0.9749652294853964,0.6091794158553547,HIGH_RANGE_GE_0.50,INTERNAL_EVIDENCE_OVERLAPS_WITH_SELECTION_NOT_INDEPENDENT_VALIDATION,Retain frozen rank 1-30; no V18 reranking.,True,0.7640905380249023,3.0,CONSISTENT_MAIN_AND_MULTISEED_METADATA,2.0,147,False,,,0,NOT_RUN_OR_NOT_APPLICABLE,SELECTIVELY_COMPUTED_SUBSET_NOT_RANDOM_NEGATIVE_CONTROL_PANEL,NONE_IN_FROZEN_CHEMBL_BINDINGDB_AND_LITERATURE_AUDITS,YES_INTERNAL_DTA_OR_PHYSICAL_EVIDENCE_OVERLAPS_WITH_SELECTION,W2_CONTINGENT_NOT_PROCUREMENT_OR_ASSAY_AUTHORIZED,HIGH_MODEL_PERCENTILE_RANGE_GE_0.50_PRIORITY_ORTHOGONAL_DISCRIMINATION,"Identity/readiness/internal sensitivity audit only; no binding, efficacy, rank change or execution authorization beyond frozen wave."
15,CYQFCXCEBYINGO-IAGOWNOFSA-N,CHEMBL2808,dronabinol,NR1H3,CHEMBL465,DRONABINOL,CYQFCXCEBYINGO-IAGOWNOFSA-N,EXACT_FULL_INCHIKEY_MATCH,EXACT_NORMALIZED_NAME,IDENTITY_PRECHECK_PASS_NOT_PROCUREMENT_RELEASE,0,16078,EXACT_FULL_INCHIKEY_MATCH,VENDOR_RECORD_INDICATOR_PRESENT_NOT_STOCK_VERIFIED,CLOGP_GT_5|LOW_SOLUBILITY_HEURISTIC|BRENK_ALERT,R2_MODERATE_COUNTERASSAY,CHEMISTRY_OR_PROPERTY_ALERT,1,Cannabinoid CB1 receptor agonist,W2_CONTINGENT_ONLY,NUCLEAR_RECEPTOR,NR1H3/LXR-alpha coregulator-recruitment concentration response,direct LXR-alpha binding or cellular target-gene engagement,"ESR1/known target, LXR-beta, mock reporter, cytotoxicity and partitioning",TEST_EXACT_FROZEN_ENTITY; NO_PREDECLARED_SEPARATE_ACTIVE_SPECIES,W2_CONTINGENT_COMPUTATIONAL_READINESS_ONLY_PROCUREMENT_AND_ASSAY_NOT_AUTHORIZED,Two QC-valid independent curves <=10 uM plus nonidentical/direct orthogonal confirmation and required species/counterassay gates.,UNSEEDED_TARGET_DTA_199,EXPLORATORY_INTERNAL_SUPPORT_EXTERNAL_NOT_REPLICATED,1,F4_DISTANT_OR_UNRESOLVED_KNOWN_TARGET,3,5,5,3,2,0.6299212598425197,0.9944367176634216,0.3645154578209018,LOWER_RANGE_LT_0.50,INTERNAL_EVIDENCE_OVERLAPS_WITH_SELECTION_NOT_INDEPENDENT_VALIDATION,Retain frozen rank 1-30; no V18 reranking.,True,0.8209452629089355,2.0,CONSISTENT_MAIN_AND_MULTISEED_METADATA,7.0,87,True,4.4826683998,82.0,87,NO_SUPPORT_ACROSS_QUALIFIED_STATES,SELECTIVELY_COMPUTED_SUBSET_NOT_RANDOM_NEGATIVE_CONTROL_PANEL,NONE_IN_FROZEN_CHEMBL_BINDINGDB_AND_LITERATURE_AUDITS,YES_INTERNAL_DTA_OR_PHYSICAL_EVIDENCE_OVERLAPS_WITH_SELECTION,W2_CONTINGENT_NOT_PROCUREMENT_OR_ASSAY_AUTHORIZED,FROZEN_STANDARD_ORTHOGONAL_AND_COUNTERASSAY_ROUTE,"Identity/readiness/internal sensitivity audit only; no binding, efficacy, rank change or execution authorization beyond frozen wave."
16,OHRURASPPZQGQM-GCCNXGTGSA-N,CHEMBL4801,romidepsin,CASP1,CHEMBL343448,ROMIDEPSIN,OHRURASPPZQGQM-GCCNXGTGSA-N,EXACT_FULL_INCHIKEY_MATCH,EXACT_NORMALIZED_NAME,IDENTITY_PRECHECK_PASS_NOT_PROCUREMENT_RELEASE,1,5352062,EXACT_FULL_INCHIKEY_MATCH,VENDOR_RECORD_INDICATOR_PRESENT_NOT_STOCK_VERIFIED,TPSA_GT_140|BRENK_ALERT|ESTER_HYDROLYSIS_STABILITY_CONTROL|ENONE_ELECTROPHILE_CONTROL|DISULFIDE_REDUCTION_STATE_CONTROL,R3_HIGH_SPECIAL_HANDLING,PREDECLARED_COMPOUND_SPECIFIC_R3|CHEMBL_PRODRUG_FLAG,1,Histone deacetylase inhibitor,W2_CONTINGENT_ONLY,METALLOPROTEASE_OR_PROTEASE,CASP1 peptide-cleavage concentration response,LC-MS cleavage or activity-based probe/direct binding,"other caspases, fluorescence, aggregation, inflammasome context and no-enzyme controls","Measure disulfide reduction and reduced/oxidized state in assay matrix; include glutathione dependence, thiol-state and no-target controls.",W2_CONTINGENT_COMPUTATIONAL_READINESS_ONLY_PROCUREMENT_AND_ASSAY_NOT_AUTHORIZED,Two QC-valid independent curves <=10 uM plus nonidentical/direct orthogonal confirmation and required species/counterassay gates.,UNSEEDED_TARGET_DTA_199,EXPLORATORY_INTERNAL_SUPPORT_EXTERNAL_NOT_REPLICATED,11,F4_DISTANT_OR_UNRESOLVED_KNOWN_TARGET,6,6,6,4,2,0.6509186351706037,0.9947780678851176,0.3438594327145138,LOWER_RANGE_LT_0.50,INTERNAL_EVIDENCE_OVERLAPS_WITH_SELECTION_NOT_INDEPENDENT_VALIDATION,Retain frozen rank 1-30; no V18 reranking.,True,0.7679373621940613,3.0,CONSISTENT_MAIN_AND_MULTISEED_METADATA,3.0,81,False,,,0,NOT_RUN_OR_NOT_APPLICABLE,SELECTIVELY_COMPUTED_SUBSET_NOT_RANDOM_NEGATIVE_CONTROL_PANEL,NONE_IN_FROZEN_CHEMBL_BINDINGDB_AND_LITERATURE_AUDITS,YES_INTERNAL_DTA_OR_PHYSICAL_EVIDENCE_OVERLAPS_WITH_SELECTION,W2_CONTINGENT_NOT_PROCUREMENT_OR_ASSAY_AUTHORIZED,FROZEN_STANDARD_ORTHOGONAL_AND_COUNTERASSAY_ROUTE,"Identity/readiness/internal sensitivity audit only; no binding, efficacy, rank change or execution authorization beyond frozen wave."
17,HMABYWSNWIZPAG-UHFFFAOYSA-N,CHEMBL5491,rucaparib,WEE1,CHEMBL1173055,RUCAPARIB,HMABYWSNWIZPAG-UHFFFAOYSA-N,EXACT_FULL_INCHIKEY_MATCH,EXACT_NORMALIZED_NAME,IDENTITY_PRECHECK_PASS_NOT_PROCUREMENT_RELEASE,0,9931954,EXACT_FULL_INCHIKEY_MATCH,VENDOR_RECORD_INDICATOR_PRESENT_NOT_STOCK_VERIFIED,NONE,R1_STANDARD,NO_PREDECLARED_R3_OR_R2_FLAG,1,"PARP 1, 2 and 3 inhibitor",W2_CONTINGENT_ONLY,KINASE,WEE1 biochemical kinase assay at ATP near Km,NanoBRET/CETSA/direct binding with phospho-CDK readout,"known drug targets, ATP shift, kinase panel and cell-cycle toxicity",TEST_EXACT_FROZEN_ENTITY; NO_PREDECLARED_SEPARATE_ACTIVE_SPECIES,W2_CONTINGENT_COMPUTATIONAL_READINESS_ONLY_PROCUREMENT_AND_ASSAY_NOT_AUTHORIZED,Two QC-valid independent curves <=10 uM plus nonidentical/direct orthogonal confirmation and required species/counterassay gates.,UNSEEDED_TARGET_DTA_199,EXPLORATORY_INTERNAL_SUPPORT_EXTERNAL_NOT_REPLICATED,3,F4_DISTANT_OR_UNRESOLVED_KNOWN_TARGET,2,3,3,2,1,0.5716272600834492,0.9916550764951322,0.4200278164116829,LOWER_RANGE_LT_0.50,INTERNAL_EVIDENCE_OVERLAPS_WITH_SELECTION_NOT_INDEPENDENT_VALIDATION,Retain frozen rank 1-30; no V18 reranking.,True,0.7614389657974243,3.0,CONSISTENT_MAIN_AND_MULTISEED_METADATA,3.0,53,True,6.5998454094,30.0,53,NOT_RUN_OR_NOT_APPLICABLE,SELECTIVELY_COMPUTED_SUBSET_NOT_RANDOM_NEGATIVE_CONTROL_PANEL,NONE_IN_FROZEN_CHEMBL_BINDINGDB_AND_LITERATURE_AUDITS,YES_INTERNAL_DTA_OR_PHYSICAL_EVIDENCE_OVERLAPS_WITH_SELECTION,W2_CONTINGENT_NOT_PROCUREMENT_OR_ASSAY_AUTHORIZED,FROZEN_STANDARD_ORTHOGONAL_AND_COUNTERASSAY_ROUTE,"Identity/readiness/internal sensitivity audit only; no binding, efficacy, rank change or execution authorization beyond frozen wave."
18,LWQQLNNNIPYSNX-UROSTWAQSA-N,CHEMBL1966,calcipotriene,DHODH,CHEMBL1200666,CALCIPOTRIENE,LWQQLNNNIPYSNX-UROSTWAQSA-N,EXACT_FULL_INCHIKEY_MATCH,EXACT_NORMALIZED_NAME,IDENTITY_PRECHECK_PASS_NOT_PROCUREMENT_RELEASE,0,5288783,EXACT_FULL_INCHIKEY_MATCH,VENDOR_RECORD_INDICATOR_PRESENT_NOT_STOCK_VERIFIED,CLOGP_GT_5|BRENK_ALERT,R2_MODERATE_COUNTERASSAY,CHEMISTRY_OR_PROPERTY_ALERT,1,Vitamin D receptor agonist,W2_CONTINGENT_ONLY,METABOLIC_OR_SIGNAL_ENZYME,DHODH dihydroorotate-to-orotate assay,LC-MS product or direct binding/thermal shift,"ubiquinone/redox coupling, mitochondrial ETC, optical, aggregation and no-enzyme controls",TEST_EXACT_FROZEN_ENTITY; NO_PREDECLARED_SEPARATE_ACTIVE_SPECIES,W2_CONTINGENT_COMPUTATIONAL_READINESS_ONLY_PROCUREMENT_AND_ASSAY_NOT_AUTHORIZED,Two QC-valid independent curves <=10 uM plus nonidentical/direct orthogonal confirmation and required species/counterassay gates.,SEEDED_KNOWN_GRAPH_185,PRIMARY_RETROSPECTIVE_EXTERNAL_SUPPORT_KIRHUB,1,F4_DISTANT_OR_UNRESOLVED_KNOWN_TARGET,6,6,6,3,3,0.3129346314325452,0.995827538247566,0.6828929068150209,HIGH_RANGE_GE_0.50,INTERNAL_EVIDENCE_OVERLAPS_WITH_SELECTION_NOT_INDEPENDENT_VALIDATION,Retain frozen rank 1-30; no V18 reranking.,True,0.7296115756034851,3.0,CONSISTENT_MAIN_AND_MULTISEED_METADATA,10.0,104,False,,,0,NOT_RUN_OR_NOT_APPLICABLE,SELECTIVELY_COMPUTED_SUBSET_NOT_RANDOM_NEGATIVE_CONTROL_PANEL,NONE_IN_FROZEN_CHEMBL_BINDINGDB_AND_LITERATURE_AUDITS,YES_INTERNAL_DTA_OR_PHYSICAL_EVIDENCE_OVERLAPS_WITH_SELECTION,W2_CONTINGENT_NOT_PROCUREMENT_OR_ASSAY_AUTHORIZED,HIGH_MODEL_PERCENTILE_RANGE_GE_0.50_PRIORITY_ORTHOGONAL_DISCRIMINATION,"Identity/readiness/internal sensitivity audit only; no binding, efficacy, rank change or execution authorization beyond frozen wave."
19,GMRQFYUYWCNGIN-NKMMMXOESA-N,CHEMBL1966,calcitriol,DHODH,CHEMBL846,CALCITRIOL,GMRQFYUYWCNGIN-NKMMMXOESA-N,EXACT_FULL_INCHIKEY_MATCH,EXACT_NORMALIZED_NAME,IDENTITY_PRECHECK_PASS_NOT_PROCUREMENT_RELEASE,0,5280453,EXACT_FULL_INCHIKEY_MATCH,VENDOR_RECORD_INDICATOR_PRESENT_NOT_STOCK_VERIFIED,CLOGP_GT_5,R2_MODERATE_COUNTERASSAY,CHEMISTRY_OR_PROPERTY_ALERT,1,Vitamin D receptor agonist,W2_CONTINGENT_ONLY,METABOLIC_OR_SIGNAL_ENZYME,DHODH dihydroorotate-to-orotate assay,LC-MS product or direct binding/thermal shift,"ubiquinone/redox coupling, mitochondrial ETC, optical, aggregation and no-enzyme controls",TEST_EXACT_FROZEN_ENTITY; NO_PREDECLARED_SEPARATE_ACTIVE_SPECIES,W2_CONTINGENT_COMPUTATIONAL_READINESS_ONLY_PROCUREMENT_AND_ASSAY_NOT_AUTHORIZED,Two QC-valid independent curves <=10 uM plus nonidentical/direct orthogonal confirmation and required species/counterassay gates.,SEEDED_KNOWN_GRAPH_185,PRIMARY_RETROSPECTIVE_EXTERNAL_SUPPORT_KIRHUB,1,F4_DISTANT_OR_UNRESOLVED_KNOWN_TARGET,6,6,6,3,3,0.3191933240611961,1.0,0.6808066759388038,HIGH_RANGE_GE_0.50,INTERNAL_EVIDENCE_OVERLAPS_WITH_SELECTION_NOT_INDEPENDENT_VALIDATION,Retain frozen rank 1-30; no V18 reranking.,True,0.8089948892593384,3.0,CONSISTENT_MAIN_AND_MULTISEED_METADATA,2.0,104,False,,,0,NOT_RUN_OR_NOT_APPLICABLE,SELECTIVELY_COMPUTED_SUBSET_NOT_RANDOM_NEGATIVE_CONTROL_PANEL,NONE_IN_FROZEN_CHEMBL_BINDINGDB_AND_LITERATURE_AUDITS,YES_INTERNAL_DTA_OR_PHYSICAL_EVIDENCE_OVERLAPS_WITH_SELECTION,W2_CONTINGENT_NOT_PROCUREMENT_OR_ASSAY_AUTHORIZED,HIGH_MODEL_PERCENTILE_RANGE_GE_0.50_PRIORITY_ORTHOGONAL_DISCRIMINATION,"Identity/readiness/internal sensitivity audit only; no binding, efficacy, rank change or execution authorization beyond frozen wave."
20,PGTVWKLGGCQMBR-FLBATMFCSA-N,CHEMBL2034,ganaxolone,NR3C1,CHEMBL1568698,GANAXOLONE,PGTVWKLGGCQMBR-FLBATMFCSA-N,EXACT_FULL_INCHIKEY_MATCH,EXACT_NORMALIZED_NAME,IDENTITY_PRECHECK_PASS_NOT_PROCUREMENT_RELEASE,0,6918305,EXACT_FULL_INCHIKEY_MATCH,VENDOR_RECORD_INDICATOR_PRESENT_NOT_STOCK_VERIFIED,LOW_SOLUBILITY_HEURISTIC,R2_MODERATE_COUNTERASSAY,CHEMISTRY_OR_PROPERTY_ALERT,1,GABA-A receptor; anion channel positive allosteric modulator,W2_CONTINGENT_ONLY,NUCLEAR_RECEPTOR,NR3C1 coregulator-recruitment concentration response,direct NR3C1 binding or cellular GR target engagement,"known receptor pharmacology, reporter interference, mock and viability",TEST_EXACT_FROZEN_ENTITY; NO_PREDECLARED_SEPARATE_ACTIVE_SPECIES,W2_CONTINGENT_COMPUTATIONAL_READINESS_ONLY_PROCUREMENT_AND_ASSAY_NOT_AUTHORIZED,Two QC-valid independent curves <=10 uM plus nonidentical/direct orthogonal confirmation and required species/counterassay gates.,SEEDED_KNOWN_GRAPH_185,PRIMARY_RETROSPECTIVE_EXTERNAL_SUPPORT_KIRHUB,16,F4_DISTANT_OR_UNRESOLVED_KNOWN_TARGET,5,5,5,2,3,0.0375521557719054,0.9947780678851176,0.957225912113212,HIGH_RANGE_GE_0.50,INTERNAL_EVIDENCE_OVERLAPS_WITH_SELECTION_NOT_INDEPENDENT_VALIDATION,Retain frozen rank 1-30; no V18 reranking.,True,0.5994226932525635,2.0,CONSISTENT_MAIN_AND_MULTISEED_METADATA,30.0,141,False,,,0,NOT_RUN_OR_NOT_APPLICABLE,SELECTIVELY_COMPUTED_SUBSET_NOT_RANDOM_NEGATIVE_CONTROL_PANEL,NONE_IN_FROZEN_CHEMBL_BINDINGDB_AND_LITERATURE_AUDITS,YES_INTERNAL_DTA_OR_PHYSICAL_EVIDENCE_OVERLAPS_WITH_SELECTION,W2_CONTINGENT_NOT_PROCUREMENT_OR_ASSAY_AUTHORIZED,HIGH_MODEL_PERCENTILE_RANGE_GE_0.50_PRIORITY_ORTHOGONAL_DISCRIMINATION,"Identity/readiness/internal sensitivity audit only; no binding, efficacy, rank change or execution authorization beyond frozen wave."
